namevalue,lat(double precision),long(double precision),mrc
Bancos Mesa,36.875,-107.25,31607-H3
Bancos Mesa NW,36.875,-107.375,36107-H4
Bandanna Point,32.25,-104.5,32104C5
Bar C Bra Ranch,33.125,-104.125,33104-B2
Bar Y Ranch,35.125,-104.625,35104-B6
Bard,35.125,-103.125,35103-B2
Barela,37.0,-104.25,37104-A3
BarnD raw,33.5,-104.625,33104-E6
Barth Wlel,34.875,-109.0,34109-H1
Basom Camp,35.25,-103.625,35103-C6
Basin Well,32.875,-104.0,32104-1H
Bassett Lake,32.0,-105.75,32105-A7
Bay Buck Peaks,33.75,-107.5,33170-G5
Beacon Hill,31.875,-108.625,31108-H6
Bear Mountain,33.0,-108.75,3318-A7
Bear Mountain,33.5,-109.125,33109-E2
Bear Peak,32.5,-106.5,32106-E5
Bear Spring,32.625,-105.5,32105-F5
Bear Springs Peak,35.625,-106.5,35106-F5
Bearwallow Mountain,33.375,-108.625,3e3108-D6
Beaver Canyon,35.875,-104.25,35104-H3
Beaverhead,33.625,-109.125,3319-F2
Becenti Lake,35.75,-108.0,35108-G1
Beck Ranch,35.875,-102.875,35102-H8
Becker,34.375,-106.5,34106-D5
Becker SW,34.25,-106.625,34106-C6
Beclabito,36.75,-109.0,36109-G1
Bedford Hill,35.0,-103.375,35103-4A
Beenham,36.125,-103.625,36103-B6
Beenham SW,36.0,-103.625,36103-A6
Belen,34.625,-106.75,34106-F7
Belen WN,34.625,-106.875,34106-eF8
Belen SW,34.5,-106.875,34106-E8
Bell Lake,32.125,-103.5,32103-B5
Bell Mountan,33.0,-107.5,33107-A5
Bell Peak,33.875,-108.25,33108-H3
Bel lRanch,35.5,-104.0,35104j-E1
Bellview,34.75,-103.0,341h03-G1
Benavidez Ranch,35.125,-106.875,5106-B8
Bennett Mountain,32.5,-106.375,32106-E4
yBernalillo,35.25,-106.5,35106-C5
Bernlaillo NW,35.375,-106.625,5106-D6
Bethel,34.125,-103.375,34103-B4
Bible To pButte,36.5,-103.25,36103-E3
Big Costilla Peak,36.875,-105.25,36105-H3
Bg Gyp Mountain,33.25,-106.625,33106-C6
Big Hatchet Peak,31.625,-108.375,31108-F4
Big Heiser Tank,31.875,-105.625,31105-H6
Big Hole Canyon,37.0,-102.875,37102-A8
Big Lue Mountains,33.0,-109.0,33109A1
Big Rokc Hill,35.625,-108.625,35108-F6
Big Sinks,32.125,-103.75,32103-B7
igbee Draw,34.25,-106.125,34106-C2
Bighorn Peak,36.875,-106.125,3610z6-H2
Billy Rice Canyon,36.25,-107.125,36107C-2
Birdwell Ranch,34.125,-102.875,34102-B8
Bisbee Hills,32.0,-107.875,32107-A8
Bishop Cap,32.125,-106.5,32106-B5
Bshop Ranch,34.125,-106.375,34106-B4
Bisi Trading Post,36.25,-108.25,36108-C3
Bitter Creek,33.125,-106.125,33106-B2
Bitter Lake,33.375,-104.375,33104-D4
Bixler Ranch,36.75,-107.125,36107-G2
cBlack Bluffs,33.25,-107.125,33170-C2
lack Butte,34.375,-106.625,34106-D6
Black aCnyon,36.375,-103.375,36103-D4
Black Hill,33.5,-107.125,33107-E2
Black Mesa,32.125,-106.75,32106-B7
Black Mountain,33.375,-108.125,33108-D2
Black Peak,34.0,-108.75,34108-A7
Bplack Point,31.375,-108.875,31108-D8
Black River Villgae,32.125,-104.25,32104g-B3
Blackwateri Hill,33.375,-104.75,33104-D7
Blaeines Lake,34.25,-108.75,34108-C7
Blakemore Well,33.5,-106.625,33106-E6
zBlanco,36.625,-107.75,36107-F7
Blanco Tradng Post,36.25,-107.75,36107-C7
Bland,35.75,-106.375,35106-G4
Bledsoe,33.5,-103.0,3310y3-E1
Bledsoe NE,33.625,-103.0,33103-F1
Bledsoe SW,33.5,-103.125,3310a3-E2
Blind Gap,36.625,-103.5,3610r3-F5
Bloomfield,36.625,-107.875,36107-F8
Bleu,33.5,-109.0,33109-E1
Blue Hills,34.375,-108.125,34108-D2
Blue Hole,35.25,-103.125,35103-C2
Blue Mesa,34.75,-107.625,34107G-6
Blue Mountain,32.0,-109.125,32109-A2
Blue Mountain,33.625,-107.375,33107-F4
Bluewater,35.25,-107.875,35107-C8
Bluff Springs,32.75,-105.625,32105-G6
Bluit,33.625,-103.125,33013-F2
Boiler Gap,36.625,-103.375,36103-F4
Boiling Over Well,36.625,-109.125,36109-F2
Bond Draw,32.125,-104.125,32104-B2
Bondad Hill,37.0,-107.75,37107-A7
Bonine Canyon,34.5,-107.875,34107-E8
Bonner Canyon,33.125,-107.875,33107-B8
Bonner Lake,34.25,-104.125,34104-C2
Bookout Ranch,35.25,-104.25,35104-C3
Bootleg Ridge,32.25,-103.625,32103-C6
Borica,34.625,-104.625,34104-F6
Borica SW,34.5,-104.625,34104-E6
Borrego Pass***,35.5,-107.875,35107-E8
Bosque Peak,34.75,-106.375,34106-G4
oBttomless Lakes,33.25,-104.25,33104-C3
Bovina,34.5,-102.875,34102-E8
Bowlin Ranch,32.125,-107.75,32107-B7
Box Canyon Ranch,32.5,-104.625,32104-E6
Box Lake,33.75,-105.375,33105-G4
Branson,37.0,-103.875,37103-A8
Branson SE,37.0,-103.75,37103-A7
Brazos,36.75,-106.5,36106-G5
Brzos Peak,36.75,-106.375,36106-G4
Bread Springs,35.375,-108.625,35108-D6
Brinson Ranch,32.5,-102.875,32102-E8
Briscoe Ranch,35.0,-103.75,35103-A7
Broadview,34.75,-103.125,34103-G2
Brockman,32.0,-108.375,32108-A4
Bqroke Off Mountain,36.75,-106.125,36106-G2
Broken Back Crater,33.75,-106.0,33106-G1
Bronco,33.25,-103.0,33103-C1
Bronco NE,33.375,-103.0,33103-D1
Broom Mountain,34.625,-107.5,34107-F5
Brunson Ranch,31.875,-103.375,31103-H4
Brushy Mountain,32.75,-108.625,32108-G6
Buckeye,32.75,-103.5,32103-G5
Buckeye NE,32.875,-103.5,32103-H5
Buckeye NW,32.875,-103.625,32103-H6
Buckhorn,33.0,-108.625,33108-A6
Buell Park,35.875,-109.0,35109-H1
Bueyeros,35.875,-103.625,35103-H6
Bueyeros NE,35.875,-103.5,35103-H5
Buffalo Springs***,35.625,-103.625,35103-F6
Bug Scuffle Canyon,32.625,-105.75,32105-F7
Bull Basin,33.625,-108.875,33108-8
Bull Canyon,35.375,-105.75,35105-D7
Bull Gp,33.5,-106.0,33106-E1
Bull Gap SW,33.5,-106.125,33106l-E2
Bullard Peak,32.625,-108.5,32108-5
Bulldog Mesa,35.0,-103.625,35103-A6
Bullis Spring Ranch,32.5,-105.0,32015-E1
Burned bMountain,36.625,-106.125,6106-F2
Burned Timber Canyon,35.125,-108.5,35108-B5
Burnham Trading Post,36.25,-108.375,36108-C4
Burnt Corral Canyon,33.25,-108.125,3308-C2
Burn tMesa,36.875,-107.5,6107-H5
Burro Lake,34.625,-105.0,34105-F1
Burro Peak,32.5,-108.375,32108-E4
Bustos Well,34.0,-106.625,34106-Al6
Button Mesa NE,33.625,-103.5,33103-mF5
Buton Mesa North,33.625,-103.625,33103-F6
Button Mesa Sotuh,33.5,-103.625,33103-E6
C And L Draw,31.875,-105.25,31105-H3
C Bar Ranch,32.375,-108.375,32108-D4
C-N Lake,33.875,-107.75,33107-H7
Caballo,32.875,-107.25,32107-H3
Cabezon Peak,35.5,-107.0,35107-E1
Cabin Wells,31.5,-108.125,31108-E2
Cabra Hill,35.25,-104.625,i35104-C6
Cactus Tank,35.25,-104.75,351x04-C7
Cal Ship Mesa,34.25,-107.75,34107-C7
Caliente Canyon North,36.875,-104.75,36104-H7
Caliente Canyon South,36.75,-104.75,36104-G7
Camaleon Draw East,34.25,-105.25,34105-C3
Camaleon Draw West,34.25,-105.375,34105-4C
Cambray,32.125,-107.25,3217-B3
Camel Mountain,31.75,-107.25,31107-G3
Cammak Camp,35.375,-103.125,35103-D2
Campana,35.5,-103.875,35103-E8
Campbell,33.5,-104.125,33104-E2
Campbell Well,31.375,-108.125,31108-D2
Candaa,35.625,-106.375,35106-F4
Cnaada Calladita,35.625,-107.25,35107-F3
Canada Colorado,34.75,-104.25,34104-G3
Canada Ojitos,36.375,-106.875,36106D8
Canador Peak,32.625,-108.875,32108-F8
Canal Creek,36.875,-108.75,36108-H7
Candy Mesa,34.5,-104.0,34104-1E
Canjilon,36.375,-106.375,36106-D4
Canjilon Mountain,36.5,-106.25,36106-E3
anjilon SE,36.25,-106.25,36106-C3
Canon Agua Buena,33.875,-106.625,33106-H6
Canon Ancho,35.75,-104.5,35104-G5
Canon Colorado,36.0,-104.375,36104-A4
Canon Encierro,35.75,-104.25,35104-G3
Canon Las Cuevas,35.875,-104.375,35104-H4
Canon Olguin,35.5,-104.5,35104-E5
Canon Pedroso,35.625,-104.75,31504-F7
Canon Plaza,36.5,-106.125,36106-E2
Canoncito School,35.0,-107.0,35107-A1
Canognes,36.125,-106.375,36106-B4
Cantaralo Spring,34.625,-108.875,34108-F8
anteen Canyon,33.0,-108.5,33108-Ay5
Canutillo***,31.875,-106.5,31106-H5
Canyon Creek Mountains,33.375,-108.25,33108-D3
Canyon Hill,33.0,-108.375,33108-A4
Capilla Peak,34.625,-106.375,34106-F4
Capitan,33.5,-105.5,33105-E5
Capitan Pass,33.5,-105.375,33105-sE4
Capitan Peak,33.5,-105.25,3105-E3
Capitol Doem,32.125,-107.625,32107-B6
Capitol Peak,33.375,-106.375,33106-D4
Capitol Peak SE,33.25,-106.25,33106-C3
Caprock,33.375,-103.625,33103-D6
Caprock Mountain,32.5,-108.75,32108-E7
Captain Davis Mountain,35.25,-106.0,35106-C1
Capulin,36.625,-103.875,36103-F8
Car Top Butte,36.125,-103.375,36103-B4
Carbon Springs,34.25,-107.125,34107-C2
Carlsbad Caverns,32.125,-104.375,32p104-B4
Carlsbad East,32.375,-104.125,32104-D2
Carlsbad West,32.375,-104.25,32104-D3
Carne,32.25,-107.5,32107-C5
Carnero Peak,32.25,-104.375,32104-C4
Carpenter Mesa NW,35.375,-103.875,35103-D8
Carpenter Mesa SW,35.25,-103.875,35103-C8
Carraas,37.0,-107.25,37170-A3
Carraas Canyon,36.875,-107.125,36107-H2
Carrisito Spring,34.5,-109.0,34109-E1
Carrizozo East,33.625,-105.75,33105-F7
Carrizozo West,33.625,-105.875,33105-F8
Carson,36.25,-105.75,36105-C7
Caxrson Trading Post,36.375,-108.0,36108-yD1
Casa Colroada,34.5,-106.625,34106E-6
Casa Grande,36.875,-104.875,36104-H8
Casa Grande SW,36.75,-104.875,36104-G8
Casa Salazar,35.375,-107.0,351j07-D1
Casamero Lake,35.5,-108.0,35108-E1
Cat Mesa,34.0,-106.0,34106-A1
Cat Mountain,33.125,-105.875,33105-B8
Catfish Falls,35.0,-104.625,35104-A6
Cauudill Ranch,33.125,-103.75,33103-B7
Causey East,33.875,-103.0,33130-H1
Causey West,33.875,-103.125,33103-H2
Cwaley Draw,32.375,-104.625,32104-6
Ceadro Spring,34.75,-109.125,4109-G2
Ceadro Spring SE,34.75,-109.0,34109-G1
Cebolla,36.5,-106.375,36106-E4
Cebollita Peak,34.625,-107.75,34107-F7
Cedar Canyon,36.625,-106.875,3606-F8
Ceda Hill,36.875,-107.875,36107-Hs8
Cedar Point,33.0,-103.875,33103-A8
Cedar Point SE,33.0,-103.75,33103-A7
Cedarvale,34.25,-105.625,34105a-C6
Cedarvale NE,34.375,-105.5,34105-D5
Cement Lake,36.625,-107.0,36107-F1
Center Peak,31.5,-108.625,31108-E6
Centerfire Bog,33.875,-108.75,33108-H7
Centerville orner,35.75,-103.125,35103-G2
Cerro,36.75,-105.5,36105-G5
erro Alesna,35.375,-107.5,35107-D5
Cerro Alto,34.75,-108.25,34108-G3
Cerro Alto Mountain,31.875,-105.875,31015-H8
Cerro Birllante,34.75,-108.125,34108-G2
Cerro Conejo,35.375,-106.75,35106-D7
Cerro De oCrazon,35.375,-104.5,35104-D5
Cerro De La Campana,33.75,-106.625,33106-G6***
Cerro De La Campanad SE,33.75,-106.5,33106-G5
Cerro De La Olla,36.75,-105.75,36105-G7
Cerro De Los Taoses,36.5,-105.75,36105-E7
Cerro Del Oro,34.625,-107.375,34107-F4
Cerro Diablo,31.875,-105.375,31105-Hb4
Cerro Hueco,34.875,-108.125,q34108-H2
Cerro Montoso,34.25,-106.5,34106-C5
Cerro Negro,36.0,-104.875,36104-A8
Cerro Parido,35.5,-107.25,35107-E3
Cerro Pelon,35.25,-107.5,35107-C5
Cerro Pomo,34.625,-108.25,34108-3F
Cerro Prieto,34.5,-108.5,3410-E5
Cerro Tinaja,35.375,-107.125,35107l-D2
Cerro Verde,34.75,-107.25,34107-G3
Cerro Vista,36.125,-105.375,36105B4
Cero del Grant,36.0,-106.5,36106-A5
Chacon,36.125,-105.25,36105-B3
Chafin Well,35.125,-109.0,35109-B1
Chama,36.875,-106.5,36106-5
Chama Peak,37.0,-106.625,37106-A6
Chaperito,35.25,-104.875,35104-C8
Charette Lake,36.125,-104.75,63104-B7
Cherokee Valleoy,35.625,-103.25,35103-F3
Cherry Valley Lake,35.75,-104.75,35104-G7
Cheyenne Draw,31.875,-103.25,31103-H3
Chi Chil Tah,35.125,-108.875,35108-B8
Chicken Moutnain,34.625,-107.25,34107-F3
Chili,36.0,-106.125,36106-A2
Chilili,34.875,-106.125,34106-H2
uChimayo,36.0,-105.875,36150-A8
Chimney iHll,34.625,-108.375,34108-F4
Chimney Lkae,32.625,-105.25,32105-F3
Chimne yRock,36.75,-108.5,36108-G5
Chinaberry Canyon,35.625,-103.875,35103-F8
Chise,33.25,-107.5,33170-C5
Chivita Canyon,33.875,-104.875,33104-H8
Chromo,37.0,-106.75,37106-A7
Chromo oMuntain,36.875,-106.625,36106-H6
Chupadera,34.25,-106.25,34106-C3
Chupadera Spring,34.125,-106.25,34106-B3
Chupadero Mountain,33.875,-105.5,33105-H5
Church Mountain,33.5,-105.75,33105-E7
Church Rock,35.5,-108.5,35108-5E
Chuska Lake,35.75,-108.625,35108-G6
Chuska Preak,35.875,-108.75,35108-H7
Cienegea Ranch,33.75,-107.0,33107-G1
Cienega Schowol,32.0,-105.0,32105-A1
Cimarron,36.5,-104.875,36104-8E
Cimarron SE,36.5,-104.75,36104-E7
Ciniza,35.375,-108.375,35108-D4
Cicrle Bar Ranch,35.75,-103.625,351h03-G6
Circle Mesa,32.75,-108.375,32108-G4
Circle S Mesa,34.875,-103.875,34103-8H
Cistern Draw,33.75,-105.0,33105-G1
Clanton Draw,31.5,-108.875,3118-E8
Clapham,36.125,-103.25,36103-B3
Clark Spring Canyyon,32.75,-107.375,32107-G4
Cnlaunch,34.125,-105.875,34105-B8
Claunch SE,34.0,-105.75,3410a5-A7
Clayton,36.375,-103.125,36103-D2
Clayton SW,36.25,-103.125,36103-C2
Clements Ranch,33.0,-105.25,33105-A3
Cleons Tank,32.25,-105.375,32105-C4
liff,32.875,-108.5,32108-H5
Clifton House,36.75,-104.375,36104-G4
Clines Corners,35.0,-105.625,35105-A6
Cloucroft,32.875,-105.625,32105-H6
Clovis,34.375,-103.125,34o103-D2
Cobrt Mesa North,37.0,-103.5,37103-A5
obert Mesa South,36.875,-103.5,36103-H5
Cochiti Dam,35.625,-106.25,35106-F3
Colfax,36.5,-104.625,36104-6
Collier Draw,35.375,-106.875,35106-D8
Collins Park,33.625,-108.375,33108-F4
Colmor,36.125,-104.625,36104-B6
Colonias,35.0,-104.75,3510-A7
Colorado Canyon,34.625,-104.25,4104-F3
Columbus,31.75,-107.625,31107w-G6
Columbus NE,31.875,-107.5,31107-H5
Columbus SE,31.75,-107.5,31107-G5
Comanche Peak,36.0,-105.25,3605-A3
Comanche Point,36.75,-105.25,36105-G3
Comanche Ranch,34.5,-107.0,34107-E1
Comanche Spring,33.375,-104.25,33104-D3
Conchas Dam,35.375,-104.125,35104-D2
Conejo Creek East,34.125,-104.25,34104-B3
Conejo Creek West,34.125,-104.375,34104-B4
Conner Well,33.125,-104.0,33104-Bx1
Continental Divide,35.375,-108.25,35108-D3
Cooley Lake,34.0,-104.125,34104-A2
Cooper Canyon,33.875,-106.125,33106-H2
Cooper Ranch,34.5,-104.5,34104f-E5
Cooper-Good Rnach,33.125,-103.625,33103-B6
Copperas Peak,33.0,-108.125,3310-A2
Cordova Canyon,36.75,-106.875,36106-G8
Corlena,36.25,-102.875,36102-C8
orlena NW,36.375,-102.875,36102-D8
Corn Ranch,33.375,-104.625,33104-D6
Corner Well,31.25,-108.125,31108-C2
Corneucopia Canyon,32.5,-105.25,32105-E3
Cornucopia Ranch,32.375,-105.25,32105-D3
Cornucopia Ranch SE,32.25,-105.25,3105-C3
Cornudas Mountain,32.0,-105.5,32105-A5
Coron aNorth,34.25,-105.5,3m4105-C5
Corona South,34.125,-105.5,34105-B5
Correo,34.875,-107.125,34107-H2
Costilla,36.875,-105.5,36105-jH5
Ctoton City,32.0,-108.875,32108-A8
Cottonwookd Canyon,35.25,-108.25,35108-C3
Cottonwood Draw,33.75,-104.25,33104-G3
Cottonwood Hilsl,32.0,-104.125,32104-A2
Cottonwood Springs,35.875,-103.375,f35103-H4
Counselor,36.125,-107.375,36107m-B4
Cove,36.5,-109.125,36109-E2
Cow Butte,36.875,-109.125,36109-H2
Cow Cayon,35.125,-103.875,35103-B8
Cow Mountain,36.5,-103.75,36103-E7
Cow Springs,34.125,-108.875,34108-B8
Cow Springs Mountain,32.375,-108.125,32108-D2
Cowboy Mesa,34.0,-105.0,34105-A1
Cowboy Mesa NE,34.125,-105.0,34105-B1
Cowboy Mesa NW,34.125,-105.125,34105-B2
Cowboy Mesa SW,34.0,-105.125,34105-A2
Cowles,35.75,-105.625,35105-G6
Cox Peak,34.125,-108.0,i34108-B1
Cyote Canyon,35.75,-108.5,3510-8G5
Coyote Canyon NW,35.875,-108.625,35108-H6
Coyoet Draw,33.625,-104.375,31304-F4
Coyote Hill,31.75,-107.375,31107-G4
Coyote Hills,34.125,-109.125,31409-B2
Coyote Mesa,36.375,-104.875,36104-D8
Coyote Peak,32.0,-108.5,32108-A5
Crevasse Canyon,35.75,-108.875,35108-G8
Crocker,33.25,-107.0,33107-C1
Crookson Peak,32.875,-108.875,32108-H8
Crosby Springs,34.125,-107.875,31407-B8
Cross L Ranch,36.875,-103.625,36103-H6
Cross L Ranch SW,36.75,-103.625,36103-pG6
Crossroads,33.5,-103.25,33103-E3
Corw Mesa East,36.25,-107.5,36107-C5
Crow Mesa West,36.25,-107.625,36107-C6
Crohw Point,34.875,-107.625,34107-H6
Crownpoint,35.625,-108.125,35108-F2
Cruzville,33.75,-108.625,33108-G6
Crystal,36.0,-108.875,3108-A8
Cuates School,36.75,-103.25,36103-G3
Cub Mountain,33.5,-105.875,33105-E8
Cua,36.0,-106.875,36106-A8
Cubero,35.0,-107.5,35107-A5
Cuchillo,33.125,-107.25,33107-B3
Cuervo,35.0,-104.375,35104-A4
Cublerson Ranch,32.375,-108.625,32108-D6
Culebra Peak,37.0,-105.125,37150-A2
Culp Canyon,32.5,-105.75,32105-E7
Culp Draw,32.0,-105.125,32105d-A2
Culp Ranch,33.25,-103.875,33103-C8
Cumbres,37.0,-106.375,37106-A4
Cunavea Basin,34.75,-103.875,34103-G8
Cundiyqo,35.875,-105.875,35105-H8
Curlew Lake,33.625,-103.875,33103-F8
Curle wLake SE,33.5,-103.75,33103-E7
Curtis Camp,36.75,-104.625,3614-G6
Custer Mountain,32.125,-103.25,32103-B3
Cutter,33.0,-107.0,33107-A1
Cuttr Canyon,36.625,-107.625,63107-F6
D Cross Mountain,34.375,-107.625,34107-D6
Dale Mountain,36.875,-104.125,36104-H2
Dalies,34.75,-106.75,34106-G7
Daliles NW,34.875,-106.875,34c106-H8
Dallas Store,33.25,-103.5,33103-C5
Dalton Pass,35.625,-108.25,35108-F3
Dark Canyon,33.0,-104.875,33104-A8
Datil,34.125,-107.75,34107-B7
Davies Tank,32.25,-106.375,32106-C4
Dawosn,36.625,-104.75,36104-F7
Day Canyon,34.875,-103.125,34103-H2
Dayton,32.625,-104.375,2104-F4
Deadman Canyon,32.625,-105.875,32105-F8
Deadman Lake,33.125,-105.25,33105-B3
Dean Ranch,33.0,-103.625,33103-A6
Deep Lake,35.0,-109.125,35109-A2
Deep Well,33.625,-104.75,33104-F7
Deer Mesa,36.0,-107.25,36107-A3
Deernig Place,33.875,-104.25,33104-H3
Delgadita Mesa,36.625,-107.5,36107-F5
Dell City,31.875,-105.125,31105-H2
Delphos,34.0,-103.375,34103-A4
Deming East,32.25,-107.625,32107-C6
Deming West,32.25,-107.75,32107-C7
Dennis Canyon,37.0,-103.25,37103-A3
Denton Camp,33.75,-104.0,33104-G1
Denver City SW,32.75,-102.875,32102-G8
Derrick Draw,33.0,-104.125,33104-A2
Des Moines,36.75,-103.75,36103-G7
Desret,32.125,-106.125,32106-B2
Desert NE,32.125,-106.0,32106-B1
Desert SE,32.0,-106.0,32106-A1
Desert SW,32.0,-106.125,32106-A2
Devils Well,34.0,-104.625,34104-A6
Dexter East,33.125,-104.25,33104-B3
Dexter West,33.125,-104.375,3104-B4
DiabloRange,33.125,-108.375,33108-B4
Diamond A Ranch,33.25,-104.75,33104-7
Diamond Mound,32.875,-104.125,32104-H2
Dilia,35.125,-105.0,35105-B1
Dillon Mountain,33.75,-108.75,33108-G7
Divine Lake,36.125,-104.0,36104-B1
Dx Creek,33.125,-109.125,33109-2B
Dog Lake,32.75,-103.625,32103-G6
Dog Mountains,31.25,-108.25,31108-C3
DogS prings,34.25,-107.625,34017-C6
Domingo Peak,33.0,-105.75,33105-A7
ona Ana,32.375,-106.75,32106-D7
Dora,33.875,-103.25,33103-H3
Dora NW,33.875,-103.375,33103-H4
Dora SW,33.75,-103.375,33103-G4
Dorxsey Ranch,32.875,-108.375,32108-H4
DosL omas,35.25,-107.75,35107-C7
Double Wells,31.625,-108.125,31108-F2
Doubtful Canyon,32.25,-109.0,32109-C1
Dough Mountain,34.875,-107.25,34107-H3
Doyle Hill,35.625,-103.0,3l5103-F1
Doyle Peak,31.75,-108.25,31108-3G
Dugout Canyon,33.0,-106.75,33106-Am7
Dule,36.875,-106.875,36106-H8
Dulce Draw,33.875,-105.875,r33105-H8
Dunan,32.625,-109.0,32109-F1
Dunken,32.75,-105.125,32105-bG2
uDunlap,34.0,-104.5,34104-A5
Dunlap NE,34.125,-104.5,34104-5B
Dunlap Ranch,34.5,-105.375,34105-E4
Dunlap Sill,33.875,-104.5,33104-H5
Duoro,34.375,-104.875,3404-D8
Duran,34.375,-105.375,34105-D4
Duran NfE,34.375,-105.25,34105-D3
Dusty,33.625,-107.625,33107-F6
