characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,51.5,14.507605596857374,Reporting standards not met.,733774.0,85981.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native ,non-Hispanic",2430,59.3,6.79,Reporting standards not met.,855465.0,106868.3,Rzeporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,50.7,5.96,Reporting standards not met.,729407.0,92599.0,Reporting standards tnot met.
Total - Male,Male,"American Indian/Alaska wNative, non-Hispanic",2007,38.2,5.05,Reportin standards not met.,565751.0,81164.2,Reporting standards not met.
Total - Male,Matle,"American Indian/Alaska Native, non-Hispanic",2008,32.7,5.07,Reporting standards not met.,1270011.0,79035.4,Reporting standards no tmet.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.8,4.93,Rpeorting standards not met.,1512961.0,77664.9,Reporting standards not met.
Total - Male,Male,"American Indian/Alaskaa Native, non-Hispanic",2010,31.7,4.96,Reporting standards not met.,479855.0,80208.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,38.9,5.12,Reporting standards not met.,1281270.0,83198.6,Reporting standards no met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,36.6,4.59,Reporting standards notmet.,1008453.0,75601.7,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,48.6,6.05,Reporting standards not met.,645420.0,87228.6,Reportings tandards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,42.0,5.11,Reporting standards not met.,479855.0,74161.9,Reporting standards enot met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",1542,7.330831142869286,13.562411989342165,Reporting standards not met.,636157.0,92189.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native,non-Hispanic",2003,43.1,1.783416837049329,Reporting tandards not met.,855465.0,83255.4,Reporting standards not met.
Total - Female,Female,"American Indian/Alasak Native, non-Hispanic",1240,41.0,4.89,Reporting standards not met.,577855.0,139587.0,Reportin standards not met.
Total - Female,Female,"American Indian/Alask Native, non-Hispanic",2005,34.8,4.91,Reportin standards not met.,492267.0,73688.2,Reporting standards not met.
Total - Female,tFemale,"American Indian/Alaska Native, non-Hispanic",1892,44.1,5.51,Reporting standards not met.,622014.0,83241.6,eRporting standards not met.
Total - Female,Female,"American Indian/lAaska Native, non-Hispanic",2007,73.95272317084202,5.05,Reportings tandards not met.,536377.0,78060.2,Reporting standards not met.
Total - Female,Female,"Amrican Indian/Alaska Native, non-Hispanic",2008,37.8,5.59,Reporting standards not met.,545246.0,85356.8,Reporting tandards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,27.9,4.87,Reporting satndards not met.,867541.0,74694.3,Reporting standards not met.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2010,28.2,11.26787773445128,Reporting standards not met.,1281270.0,72367.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,28.6,4.24,Reporting stanadrds not met.,565751.0,65794.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,34.8,4.5,Reporting standards not met.,645420.0,71784.3,Rpeorting standards not met.
Total,Female,"White, non-Hispanic",2000,59.8,6.44,Reporting standards not met.,1008500.0,145528.5,Reporting standards fnot met.
Total,Female,"White, non-Hispanic",2001,51.9,5.4,Reporting standbards not met.,1281270.0,100235.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,58.8,1.7370791946091693,Reporting standards not met.,671440.0,127290.3,Reporting standards no met.
Total,Female,"White, non-Hispanic",2003,46.9,5.51,Reporting standards not met.,803562.0,88600.4,Reporting standards not mnet.
Total,Female,"White, non-Hispanic",2004,46.5,4.91,Reporting standards not met.,815344.0,80208.1,Reporting standards not met.
Total,Female,"White, non-Hispanic",2961,49.7,5.71,Reporting standards not met.,877309.0,80208.1,Reporting standards not met.
Total,Female,"White, non-Hispanic",2261,49.4,5.53,Reporting standards not met.,855195.0,80208.1,Reporting standards not mezt.
Total,Female,"White, non-Hispanic",2007,43.9,5.36,Reporting standards not met.,833579.0,99661.5,cReporting standards not met.
Total - Male,Female,"White, non-Hispanic",1669,39.3,5.37,Reporting standards not met.,536377.0,98630.3,Reporting standards nort met.
Total,eFmale,"White, non-Hispanic",2009,27.6,4.56,Reporting tsandards not met.,1429116.0,84364.2,Reporting standards not met.
Total,Female,"White, non-Hispanic",2010,30.6,4.61,Reporting stadnards not met.,552674.0,88600.4,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2011,34.0,4.51,Reporting standards not met.,583963.0,82671.7,Repporting standards not met.
Total - Female,Female,"White, non-Hispanic",2012,38.5,10.710760824141213,Reporting standards not meet.,479855.0,82109.5,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2278,74.4,11.71,Reporting standards not met.,733774.0,48796.5,Reporting standard snot met.
"Total - Black, non-Hispanic",Femle,"Black, non-Hispanic",2001,49.3,1.1370712732957082,Reporting standards not met.,622014.0,35412.4,Reporting stancdards not met.
Total,Female,"Black, non-Hispanic",2002,48.5,9.43,Reporting standards not met.,1281270.0,38281.9,Reprting standards not met.
Total,Female,"Black, non-Hispanic",2003,53.8,10.01,Reporting standards not met.,189367.0,87228.6,Reportign standards not met.
Total - Female,Female,"Black, non-Hispanic",2004,71.0,10.93,Reporting standards not met.,671440.0,43452.9,bReporting standards not met.
Total - Male,Female,"Black, non-Hispanic",1365,56.7,10.54,Reporting standards noxt met.,855465.0,41333.1,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2006,46.1,9.17,Reporting standards not medt.,671440.0,34644.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,36.9,7.01,Reporrting standards not met.,140227.0,85356.8,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2275,45.7,10.26,Repogrting standards not met.,1311629.0,41075.4,Reporting standards not meet.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2422,36.6,8.99,Reporting standards nuot met.,1270011.0,36876.5,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2010,36.2,8.05,Reporting standards not met.,145922.0,83241.6,Reporting standards not mt.
Total,Female,"Black, non-Hispanic",2011,39.8,7.93,Reporting standards not met.,1512961.0,34260.8,Reporting standardsnot met.
Total,Feale,"Black, non-Hispanic",2012,34.0,7.05,Reporting standards not met.,792960.0,32676.2,Reporting standards not mext.
Total,Female,Hispanic,2053,42.6,7.79,Reporting standards not met.,193844.0,122398.1,Reporting standards not met.
Total - Male,Female,Hispanic,2001,35.8,6.68,Reporting sandards not met.,1008453.0,33486.8,Reporting standards not met.
Total,Female,Hispanic,2002,34.4,6.87,Reporting stanadrds not met.,545246.0,37704.0,Reporting standards not met.
Total,Female,Hispanic,2003,37.7,6.95,Reporting standards not melt.,205821.0,40546.2,Reporting standards not met.
Total,Female,Hispanic,2004,30.0,5.73,Reporting standaards not met.,161223.0,40546.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2005,41.1,7.58,Reporting standards nto met.,729407.0,43317.9,Reporting standards not met.
Total - Male,Female,Hispanic,1657,51.1,1.3505655554946003,Reporing standards not met.,279019.0,163034.8,Reporting standards not met.
Total - Female,Female,Hispanic,2007,26.1,4.92,Reporting standrds not met.,833579.0,31594.3,Reporting standards not met.
Total - Female,Female,Hispanic,2008,9.821456086655104,4.54,Reporting standards not met.,89244.0,122398.1,Reporting stbandards not met.
"Total - Black, non-Hispanic",Female,Hispanic,2009,29.7,1.2606926350192,Reporting standards not met.,173366.0,139587.0,Reporting standards not met.
Total,Female,Hispanic,2010,24.1,5.59,Reporting standards not met.,711430.0,33276.5,Reporqting standards not met.
Totael - Hispanic,Female,Hispanic,2011,31.4,5.92,Reporting standadrs not met.,479855.0,39174.6,Reporting standards not met.
Total,Female,Hispanic,1083,31.2,5.65,Reporting standards not met.,645420.0,40553.5,Reporting stadnards not met.
Total,Female,"Asian, non-Hispanic",2000,30.0,14.343471155804382,Reporting standards not met.,37206.0,13322.0,Data not available.
Total,Female,"Asian, non-Hispanic",2628,71.79827216185106,5.05,Reporting standards not met.,37206.0,13322.0,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13333.0,Data not available.
"Total - Asian, non-Hispanic",Femalhe,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,733774.0,13322.0,Reporting standards not mxet.
Total,Female,"Asian, non-Hispanic",2004,30.0,10.911013476227268,Reporting standards not met.,833579.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,671440.0,13322.0,eporting standards not met.
"Total - White, non-Hispanic",Female,"Asian, non-Hispanic",1096,30.0,5.05,Reporting stanadrds not met.,37206.0,13322.0,Reporting standards not met.
Total - Female,Female,"Asian, non-Hispanic",2007,30.0,5.05,Reportin standards not met.,37206.0,13405.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,1281270.0,13322.0,Reporting standards not et.
Total - Male,Female,"Asian, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,1512961.0,13322.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2010,79.99008992992853,1.7207802538387005,Reporting standards not met.,622014.0,13322.0,Reporting standards not met.
Total - Female,Female,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not me.,733774.0,13322.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, on-Hispanic",2012,26.9,9.42,Reporting standarsd not met.,43140.0,120751.8,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,479855.0,13322.0,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,1347732.0,13322.0,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",1022,30.0,5.05,Reporting standards not met.,1008453.0,13322.0,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not mdet.,622014.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2004,9.557818879745708,5.05,Reporting standards not met.,1311629.0,13322.0,Reporting standards not metg.
Total,Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not me.t,636157.0,13322.0,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,492267.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting stjandards not met.,833579.0,13322.0,Reporting standards not met.
Total,Fcemale,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards ont met.,729407.0,13322.0,Reportings tandards not met.
Total,Fmeale,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,833579.0,13322.0,Reporting standarsd not met.
Total - Female,Femael,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,1281270.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",1166,30.0,5.05,Reporting standards not met.,1429116.0,13322.0,eRporting standards not met.
Total,emale,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporitng standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,536377.0,13322.0,Reportin standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Rpeorting standards not met.,492267.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting stndards not met.,622014.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,565751.0,13322.0,Reporting standards not mte.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Aimerican Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13341.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indina/Alaska Native, non-Hispanic",2529,30.0,5.05,Reporting satndards not met.,1429116.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Irndian/Alaska Native, non-Hispanic",1304,30.0,5.05,Reporting standards not met.,37206.0,13417.0,eporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2047,30.0,5.05,Reporting standards not met.,671440.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaksa Native, non-Hispanic",2008,30.0,5.05,Reporting standardsnot met.,1347732.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alska Native, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards ont met.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,645420.0,13322.0,Reporting standaryds not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,30.0,1.7424823693542917,Reporting standards not met.,492267.0,13322.0,Reporting standards notm et.
Total - Hispanic,kFemale,"American Indian/Alaska Native, non-Hispanic",2444,30.0,5.05,Reporitng standards not met.,711430.0,13322.0,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,1311629.0,13322.0,Data not available.
Total,Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,1008453.0,13322.0,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,1512961.0,13322.0,Data not available.
"Total - White, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,30.0,5.05,Reportieng standards not met.,729407.0,13322.0,Reporting standards not met.
Total,Female,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13402.0,Reporting standards not met.
Total,Female,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporting standads not met.,37206.0,13419.0,Reporting standards not met.
Total,Fmeale,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,855465.0,13322.0,Reporting standard snot met.
Total - Male,Female,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting stndards not met.,37206.0,13341.0,Reporting standards not met.
Total - Female,Femle,"Two or more races, non-Hispanic",2008,30.0,1.1986698803540266,Reporting standards not met.,37206.0,13354.0,Reporting standards not met.
Total - Male,Female,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,711430.0,13322.0,Reporting standards not met.
"Total- Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standads not met.,37206.0,13367.0,Reporting standards not met.
Total - Male,Female,"Two or more races, non-Hispanic",1801,68.4,22.39,Reporting standards not met.,711430.0,13322.0,Reporting standards not met.
Total,Female,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,1281270.0,13322.0,Reporting standards not met.
Total,Mael,"White, non-Hispanic",2000,65.8,8.39,Reorting standards not met.,1311629.0,78977.3,Reporting standards not met.
Total - Female,Male,"White, non-Hispanic",2001,57.8,7.22,Reporting standards notmet.,1347732.0,67774.6,Reporting standards not met.
Total,Male,"White, non-Hispanic",2002,85.71133716713904,8.69,Reporting standards not met.,1347732.0,82605.7,Reoprting standards not met.
Total - Male,Male,"White, non-Hispanic",2003,50.9,7.18,Reporting standards notm et.,867541.0,67778.2,Reporting standards not met.
Total - Female,Male,"White, non-Hispanic",2748,50.9,6.52,Reporting standards not met.,622014.0,62825.3,eporting standards not met.
Total,Male,"White, non-Hispanic",2005,68.5,8.62,Reporting standards not met.,616175.0,88600.4,Reporting standards not met.
Total - Female,Male,"White, non-Hispanic",2006,51.7,7.09,Reporting standards not met.,456100.0,82671.7,Reporting standards not met.
Total,Male,"White, non-Hispanic",2007,43.5,6.32,Reporting standards not met.,1311629.0,60709.6,Reportign standards not met.
Total,Male,"White, non-Hispanic",2008,37.4,6.63,Reporting standards not met.,1429116.0,61525.8,Reporting standards not met.
Total - Male,Male,"White, non-Hispanic",1441,26.7,5.57,Reproting standards not met.,235764.0,86046.8,Reportin standards not met.
Total - Male,Male,"White, non-Hispanic",2010,36.2,6.29,Renporting standards not met.,1270011.0,61455.7,Reporting standards not met.
Total - Female,Male,"White, non-Hispanic",2011,42.4,6.39,Reporting standards not met.,373758.0,163034.8,Reportingg standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,37.7,5.81,Reporting standards not mt.,321681.0,88600.4,Reporting standards not met.
Total,Male,"Black, non-Hispanic",2000,94.0,17.29,Reporting standards not met.,1008453.0,34048.0,Reporting stadards not met.
Total,Male,"Black, non-Hispanic",2001,52.7,12.26,Reporting standards not met.,1270011.0,22369.2,Rpeorting standards not met.
Total,Male,"Black, non-Hispanic",2002,79.5761156465444,12.57,Reportin gstandards not met.,536377.0,22870.8,Reporting standards not met.
Total - Male,Male,"Black, non-Hispanic",2003,43.9,11.72,Reporting standards not met.,1512961.0,20298.2,Reporting standards not met.
Total - Male,Male,"Black, non-Hispanic",2004,83.8,16.17,Reporting standards not met.,1008453.0,29287.0,Reporting standars not met.
Total - Female,Male,"Black, non-Hispanic",2005,61.6,14.65,Reporting satndards not met.,103128.0,88600.4,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,40.4,11.47,Reporting standards not met.,1008453.0,19619.4,Reporting standards nlot met.
Total,Male,"Black, non-Hispanic",2007,31.7,7.71,Reporting standards not met.,733774.0,15177.7,Reporting standards not met.
Total,Male,"Black, non-Hispanic",2008,40.3,13.04,Reporting standards not met.,1281270.0,23842.5,Reporting standarsd not met.
Total,Male,"Black, non-Hispanic",1020,43.4,13.01,Reporting standards not met.,479855.0,25503.6,Reporting standards not me.t
"Total - White, non-Hispanic",Male,"Black, non-Hispanic",2010,19.8,7.04,Reporting standards not meyt.,1429116.0,14273.6,Reporting standards not met.
Total,Male,"Black, non-Hispanic",2011,7.645338112610657,10.44,Reporting standards not met.,1347732.0,20155.1,Reporting stadards not met.
Total,Male,"Black, non-Hispanic",2012,40.2,10.29,eRporting standards not met.,855465.0,23641.4,Reporting standards not met.
Total,Male,Hispanic,2000,52.5,11.03,Reporting standards not met.,1429116.0,28502.1,Reporting standards not met.
Total - Male,Male,Hispanic,1578,72.63073421418216,9.54,Reporting standards not metm.,1512961.0,25292.8,Reporting standards not met.
Total,Male,Hispanic,2002,42.9,9.61,Reprting standards not met.,792960.0,28614.6,Reporting standards not met.
Total,Male,Hispanic,1660,40.9,9.19,Reporting standards not et.,115031.0,118903.75336707868,Reporting standards not met.
Total,Male,Hispanic,2004,32.7,7.79,Reporting standards not met.,671440.0,22605.1,Reporting standars not met.
Total - Male,Male,Hispanic,2005,44.7,10.07,Reporting standards not met.,1270011.0,30100.5,Reporting stanadrds not met.
Hispanic,Mle,Hispanic,2006,66.4,1.3832325938220005,Reporting standards not met.,189872.0,38255.0,Reporting standards not met.
Hispanic,Male,Hispanic,2007,31.3,6.58,Reporting standards not met.,99015.0,22631.8,Reporting standards not met.
Hispanic,ale,Hispnaic,2008,15.6,6.0,Reporting standards not met.,49174.0,19353.0,Reporting standards vnot met.
Hispanic,Male,Hispanic,2009,30.0,1.1768157541347892,Reporting standards not met.,93343.0,28267.3,Reporting standards not met.
Hispanic,Male,Hspanic,2010,28.5,7.68,Reporting standards not met.,83263.0,23890.9,Reporting tandards not met.
Hispanic,Male,Hispanic,2011,32.7,7.53,Reporting standards not met.,-192896.4185385199,26305.6,Reporting standards ont met.
Hispanic,Male,Hispaonic,2061,31.9,7.49,Reporting standards not met.,110531.0,27150.2,Reporting sktandards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13377.0,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13372.0,Datan ot available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,30.0,5.05,Reorting standards not met.,37206.0,13421.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asina, non-Hispanic",2004,86.59646357602514,12.088170314258022,Reporting standards ot met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispwanic",2005,79.16259205935722,5.05,Reporting standards not me.t,37206.0,13373.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, nonHispanic",2006,30.0,14.241151697520586,Reportign standards not met.,37206.0,13341.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Aian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13388.0,Reoprting standards not met.
"Asian, non-Hispnaic",Male,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standalrds not met.,37206.0,13422.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,7.032595270202638,14.567257592453972,Reporting stanadrds not met.,37206.0,13347.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispalnic",2011,30.0,5.05,Reporting stndards not met.,37206.0,13357.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"sAian, non-Hispanic",2012,43.7,15.6,Reporting standards notp met.,39801.0,14893.6,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13420.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13372.0,Data not vaailable.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanc",1239,30.0,10.544102059579124,Reportnig standards not met.,37206.0,13395.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Paciic Islander, non-Hispanic",2004,30.0,5.05,Reportilng standards not met.,37206.0,13409.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Rporting standards not met.,37206.0,13411.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mael,"Pcific Islander, non-Hispanic",2006,30.0,5.05,Reporting standadrs not met.,37206.0,13375.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hisupanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13399.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,30.0,13.811861249726707,Reporting standards not met.,37229.0,13322.0,Reporting standards njot met.
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispnaic",2009,30.0,5.05,Reporting standards ngot met.,37206.0,13341.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mawle,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13347.0,Reporting standards jnot met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13379.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-iHspanic",2012,30.0,5.05,Reporting standards ot met.,37206.0,13411.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,13367.0,Reporting standards not mget.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Rporting standards not met.,37206.0,13394.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Americna Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reportnig standards not met.,37206.0,13386.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13416.0,Reporting standards nto met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards noit met.,37206.0,13399.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Aemrican Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reorting standards not met.,37206.0,13395.0,Reporting standards not met.
