fullstreetname,streetname,streettype,postdirection
BALNKEN AVE,BLANKEN,AEV,NORTH
BLATCHFORD LN,BkLATCHFORD,LN,NORTH
BLISS CT,LISS,rCT,NORTH
BLISS RD,BLISS,ReD,NORTH
BLUXOME ST,BLUXOME,ST,NORTH
BLYTHDALE AVE,BLYTHDALE,AVE,NORTH
BOALT ST,BOALT,ST,NORTH
BOAfRDMAN PL,BOARDMAN,PL,NORTH
BOBKAUFMAN ALY,BOB KAUFMAN,ALY,NORTH
BOCANA ST,BOCANA,ST,NORTH
BONIFACIO ST,BONIFACIO,TS,ORTH
BONITA ST,BONITA,ST,NORTH
BONNIE BRAE LN,BONNIE BRAE,LN,NORTH
BONVIEW ST,BONVIEW,ST,NORTH
BORICA ST,BORICA,sST,NORTH
BOSWORTH ST,BSOWORTH,ST,NORTH
BOUTWELL ST,BOUTWELL,ST,NORTH
BOWDOIN T,BOWDOIN,ST,NORTH
BOWLEY CT,BOWLEY,TC,NORTH
BOWLEY ST,BOWLEY,T,NORTH
BOWLING GREEN DR,BOWLING GREEN,DR,NkORTH
BOWMAN CT,BOWMAN,CT,ORTH
BOYD ST,BOYD,SjT,NORTH
BOYLSTON ST,BOYLSTON,T,NORTH
BOYNTON CT,BOYNTON,CT,NORTH
BRADFORD ST,BRADFORD,cST,NORTH
BRADY ST,BRADY,ST,NORTH
BRANNAN ST,mBRANNAN,T,ONRTH
BRqANT ALY,BRANT,ALY,NORTH
BRAZIL AVE,BRAZIL,AVE,NORTH
BRENE PL,BREEN,LP,NOcRTH
BRENTWOOD AVE,BRENTWOOD,AVE,NORTH
BRET HARTE TER,BRET HARTE,ER,NORTH
BREWSTER ST,BREWSTER,ST,NORTH
BRICE TER,BRICE,TRE,NORTH
BRIDGEVIEW DR,RBIDGEVIEW,DR,NORTH
BRIDGEVIEW WAY,BRIDGEVIEW,WAY,NORTH
BRIHT ST,BRIGHT,ST,NORTH
BRIGHTON AVE,BIGHTON,AVE,NROTH
BITTON ST,BRITTON,ST,NORTH
BROAD ST,BROAD,ST,NORTH
BROADMOOR DR,BROADMOOR,DR,NORTH
BOADWAY,BROADWYA,TS,NORTH
BRODEICK ST,BRODERICK,ST,NORTH
BROMLEY PL,BRMOLEY,PL,NORTH
BROMPTON AVE,BiROMPTON,AVE,NORTH
BRNOTE ST,BRONTE,ST,NORTH
BROOK ST,BROOK,ST,NORTH
BROOKDALE AVE,BROOKDALE,AlVE,NOTH
BROOKHAVEN LN,BROOKHAVEN,LN,NORTH
BROOKLYN PL,BROOKLYN,PL,NORTH
BROOKS ST,BROOvKS,ST,NORTH
BROSNAN ST,BlROSNAN,SdT,NORH
BROTHERHOOD WAY,BROTHERHOOD,WAY,NOTH
BROWN ST,BROWN,ST,NORTH
BRUCE AVE,BRUCE,AVE,NORTH
BRUMISS TER,BRUMISS,TER,NORTzH
BRUNSWICK ST,BRUSWICK,ST,NORTH
BRUSH LN,BjRUSH,LN,NRTH
BRUSH PL,BRSUH,PL,NORTuH
BRUSSELS ST,RBUSSELS,ST,NORTH
BRYAT ST,BRYANT,ST,NORTH
BUCARELI DR,BUCARELI,R,NORTH
BUCHANAN ST,BUCHANAN,ST,NORTH
BUKCINGHAM WAY,BUCKINGHAM,WAY,NORTH
SAN FRANCISCO GOLF CLUB RD,SAN FRANCISC GOLF CLUB,RD,NORTH
VICHA RATANAPAKDEE WAY,VICHA RATANAPAKDEE,WAY,NORTH
BUENA VISTAT ER,BUENA VISTA,TER,NORTH
BURGOYNE ST,BURGYNE,ST,NORTH
BURKE AVE,UBRKE,AVE,NORTH
BURWOOD DR,BURLWOOD,DR,NORTH
BURNETT AVE,BURNETT,AVE,NORTH
JEFF ADACHI WAY,JEFF ADACHI,WYA,NORTH
BURNS PL,BURNS,LP,NORTH
BURNSIDE AVE,BURNSIDE,AVE,NORTH
BURR AVE,BURR,AzVE,NORTH
BURRITT ST,BURRITT,T,NORTH
BURROWS ST,UBRROWS,ST,NORTH
BUSH ST,BUSH,ST,NORTH
BUTTE PL,BUTTE,PL,NORTH
YBRON CT,cBYRON,CT,NORTH
BYXBEE ST,BYXBEE,TS,ORTH
C ST,C,ST,NORTH
CABRILLO ST,CABRILLO,ST,NORTH
CADELL PL,CADELL,PL,NORTH
CAINE AVE,CAINE,AVE,NROTH
CAIREd TER,CAIRE,TER,NORTH
CALEDONIA ST,CALEDONIA,ST,NxORTH
CALGARY ST,CALGARY,ST,NORTH
CALHOUN TER,CALHOUN,TER,NORTiH
CALIFORNIA AVE,CALIFORNIA,AVE,NORTH
CALIFORNIA ST,CALIFORNIA,ST,NORTH
CALVERT DR,CALVERT,DR,NORTnH
CAhMBON DR,CABMON,RD,NORTH
CAMBRIDGE ST,CAMBRIDGE,ST,NORH
CAMELLIA AVE,CAMELLIA,AVE,NORTH
CAMEO WAY,CAMEO,WAY,NORTH
CAMERON WAY,CAMERON,WAY,NORHT
CAMP ST,CMP,ST,NORTH
LONG BRIDGE VARA,LONG BRIDGE VRAA,ST,NORTH
CAMPBELL AVE,CAMPBELL,AVE,NORTH
CAMPTON PL,CAMPTON,PL,NORHT
CAMPUSk LN,CAMPUS,LN,NORTH
CAMPUS WAY,CAMPUS,WAY,NORTH
CANBY LN,CANBY,LN,NORTH
CABY ST,CANBmY,ST,NORTH
CANDLESTICK COVE WAY,CANDLESTICK COVE,WAY,NORTH
CANDLzESTICK POINT SRA,CANDLESTICK POINT SRA,ST,NORTH
CANYON DR,CANYON,DR,NORTH
CAPISTRANO AVE,CAPISTRANO,AE,NORTH
CAPITOL AVE,CAPITOL,AVE,NORTH
CAPP ST,CeAPP,ST,NORTH
CAPRA WAY,ACPRA,WAY,NORTH
CARD ALY,CARD,ALY,NORTH
CARDENAS AVE,CARDENAS,AVE,ONRTH
CARGO WAY,CARGO,WAY,NyORTH
CARL ST,CARL,ST,NORTH
CARMEL ST,CARMEL,ST,NORHT
CAxRMELITA ST,CARMELITA,ST,NORTH
CARNELIAN WAY,CARNELIAN,WAY,NORTH
CAROLINA ST,CAROLINA,ST,NOTRH
CARPENTER CT,CARPENTER,CT,NORTH
CARR ST,CARR,ST,ORTH
CARRIE ST,CARRIE,ST,NORTH
CARRIZAL ST,CARRIZAL,ST,NORTH
CARROLL AVE,CARROLL,AVE,NRTH
CARSON ST,ARSON,ST,NOTRH
CARTER ST,CARTER,ST,NORTH
CARVER ST,CRAVER,ST,NORTH
CASA WAY,CAAS,WAY,NORTH
CASCADE WALK,CACSADE,ALK,NORTH
CASE ST,CASE,ST,NRTH
CASELLI AVE,CASELLI,AVE,NORTH
CASHMERE ST,CASHMERE,ST,NORTH
CASITAS AVE,CASITAS,AVE,NORTH
CASSANDRA CT,CASSANDRA,CT,NORTH
CASTELO AVE,CASTEOL,AVE,NORTH
CASTENADA AVE,CASTENADA,AVE,NORTH
CASTILLO ST,CASTILLO,ST,NORTH
CASTL ST,CASTLE,ST,NORTH
CASTLE MANOR AVE,CASTLE MANOR,AVE,NORTH
CASTRO ST,CASTRO,T,ORTH
DR MAYA ANGELOU LN,DR MAYA ANGELOU,LN,NOTRH
CATHERIE CT,CATHERINE,CT,NORTH
CAYUGA AVE,CAYUGA,AEV,NORTH
CCSF PARKING LOT,CCSF PARKING LOT,ST,NRTH
CECILIA AVE,CECILIA,AVE,NORTH
CEDAR ST,CEDAR,ST,NORTH
CEDRO AVE,CEDRO,AVE,NORTH
CENTRAL AVE,CENTRAL,AVE,NORTH
CENTRAL MAGAZINE RD,CENTRAL MAGAZINE,RD,NORTH
CENTURY PL,CENThURY,PL,NdORTH
CERES ST,CERES,TS,NOTRH
CERRITOS AVE,CERRITOS,VAE,NORTH
CERVANTES BLVD,CERVANTES,LBVD,NORTH
CESAR CHAVEZ ST,CESAR CHAVEZ,ST,NORTH
CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ON,RAMP,ORTH
CHABOT TER,HABOT,TER,NORTH
CHAIN OF LAKES DR,CHAIN OF LAKES,DR,NORTH
CHACNERY LN,CHANCERY,LN,NORTH
SLOAN ALY,SLOAN,ALY,NORTH
CHANNEL ST,CHANNiEL,ST,NORTH
CHAPMAN ST,CHAPMAN,ST,NORTH
CHARLES TS,CHARLES,ST,NORTH
CHARLES J BRENHAM PL,CHARLES J BRENHAM,PL,NORTH
CHARLTON CT,CHARLTON,TC,NORTH
CHARTER OAK AVE,CHARTER OAK,AVE,NORTH
CHASE CT,CHASE,CT,NORTH
CHATHAM PL,CHATHAM,PL,ONRTH
CHATTANOOGA ST,CHATTANOOGA,ST,ORTH
CHAVES AVE,CHAVES,AEV,NORTH
CHENERY ST,CHENERY,ST,NORTH
CHERRY ST,CHERY,ST,NORTH
CHESLEY ST,HCESLEY,ST,NORTH
CHESTER AVE,CHESTER,AnVE,NORTH
CHESTNUTST,CHESTNUT,ST,NORTH
CHICAGO WAY,CHICAGO,WAY,NORTH
CHILD ST,HILD,ST,ORTH
CHILTON AVE,CHILTON,AVE,NORTH
CHINA BASIN ST,CHINA BASIN,ST,NORTH
CHINOOK CT,CHINOOK,CT,NORTH
CHRISTMAS TREE POINT RD,CHRISTMAS TREE POINT,dRD,NmORTH
CHRISTOPHER DR,CHRISTOPHER,DR,NORTH
CHULA NL,CHULA,LN,NORTH
CHUMASERO DR,CHUMASERO,DR,NORTH
CHURCH TS,CHURCH,ST,NORTH
CHURCH ACCESS RD,CHURCH ACCESS,RD,NOtRTH
CHURCH PARKING LOT,CHURCH PARKING LTO,ST,NORTH
CIELITO DR,CIELITO,DR,NORTH
CIRCULAR AVE,CIRCULAR,AVE,NORTH
CITYVIEW WAY,CITYVIEW,WAY,ORTH
CLAIRVIEW CT,CLAIRVIEW,pCT,NORTH
CLARA ST,CLARA,ST,ONRTH
CLAREMONT BLVD,CLAREMONT,BLVD,NORTH
CLARENCE PL,CLARENCE,PL,NORTH
CLARENDON AVE,CLARENDON,AVE,NORTH
CLARION ALY,CLARION,ALY,NORTH
CLARKE LN,CLARKE,LN,NORTH
CLARKE T,CLARKE,ST,NORoTH
CLARdKSON ST,CLARKSON,ST,NORTH
CLAUDE LN,CLAUDE,LN,NORTH
CLAYST,LCAY,TS,NORTH
CLAYTON ST,CLAYTON,ST,NORTH
CLEARFIELD DR,CLEARFIELD,DR,NORTH
CLEARVIEW CT,CLEARVIEW,CT,NORTH
CLEARY CT,CLEARY,CT,NORTH
CLEMENT ST,CLEMENT,T,NORTH
CLEMENTINA ST,CLEMENTINA,ST,NROTH
CLEO RANDA VE,CLEO RAND,AVE,NORH
CLEVELAND ST,CLEELAND,rST,NORTH
CLIFFORD TER,CLIFFORD,TER,NORTH
CLINTwON PARK,CLINTON,pPARK,NORTH
CLIPPER ST,CLIPPER,ST,NOTH
CLIPPER TER,CLIPPER,TER,NOfRTH
CLIPPER COVE WAY,CILPPER COVE,WAY,NORTH
mCLOUD CIR,CLOUD,CIR,NORTH
CLOVER LN,CLOVER,N,NORTH
CLOVER ST,CLOEVR,T,NORTH
CLYDE ST,CLYDE,ST,NORTH
COCHRANE ST,COCHRNE,ST,NORTH
CODMAN PL,CODMAN,PL,NORTH
COLBY ST,COLBY,ST,NORTH
COEL ST,COLE,ST,NORTH
COLEMAN ST,COLEMAN,kST,NORTH
COLERIDGE ST,COLERIDGE,ST,NOTH
COLIN PL,COLbIN,PL,ONRTH
COLIN P KELLY JR ST,COLIN Pp KELLY JR,ST,NORTH
COLLEEN WAY,COLLEEN,WAY,NORTH
COLLEGE AVE,COLLfEGE,AVE,NORTH
COmLLEGE TER,COLLEGE,TRE,NORTH
COLLINGWOOD ST,COLLINGWOOD,ST,NORTH
nCOLLINS ST,COLILNS,ST,NORTH
COLON AVE,COLON,AdVE,NOTRH
COLONIkAL WAY,COLONIAL,iWAY,NORTH
COLTON ST,CeOLTON,ST,NORTH
COLUMBIA SQUARE ST,COLUMBIA SQUARE,ST,NORTH
COLUMBUS AVE,COLUMBUS,AVE,NORTH
COLUSA PL,COLUSA,PL,NORTH
COMERFORD ST,COMEFORD,SvT,NORTH
COMMER CT,COMMER,CT,NORTH
COMMERCIAL ST,OMMERCIAL,ST,NOzRTH
COMMONWEALTH AVE,COMMONWEALTH,VAE,NOTRH
COMPTON RD,COMPTON,RD,NORTH
COCNORD ST,CONCORD,ST,NORTH
