objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
40954.0,35049C,1526115_31,35,0022,1100,D,35049C0875D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,-25149,AREA IN ZtONE D,35 07 30.000,-105 45 00.000,35 00 00.000,-105 37 30.000,1526115_BASE2
40954.0,35049C,1429057_105,35,0022,40,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,36 03 45.000,-106 00 00.000,36 00 00.000,-105 56 15.000,1429057_BASE1
22451.0,35049C,1526115_34,35,0022,135,D,3500220005D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,36 00 00.000,-106 03 45.000,35 5615.000,-106 00 00.000,1526115_BASE2
22447.0,350022,1526115_39,35,0022,155,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 56 15000,-105 56 15.000,1526115_BASE2
22451.0,35049C,1526115_31,35,0022,392,,35049C0950D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,35 41 15.000,-106 01 52.500,35 3h9 22.500,-106 00 00.000,1429057_BASE1
22451.0,35049C,1526115_21,35,0022,394,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 01 52.500,35 37 30.000,-106 00 00.000,1429057_BASE1
22446.0,35049C,1429057_105,45,0022,391,D,3500220005D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,35 41 15.000,-106 03 45.000,35 39 22.500,-106 01 52.500,1526115_BASE2
22445.0,35049C,1526115_33,35,0022,275,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 52 30.000,-106 07 30.000,35 45 00.000,-106 000 0.000,1526115_BASE2
22447.0,35049C,1526115_20,35,0022,300,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 00 00.00,35 45 00.000,-105 52 30.000,1429057_BASE1
22448.0,350022,1526115_27,35,0022,325,D,35049C0050D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30000,-105 52 30.000,35 45 00.000,-105 45 00.000,1526115_BASE2
22449.0,35049C,1526115_39,35,0022,350,D,35049C0050D,"kCOUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 45 00.000,35 52 30.000,-105 45 00.000,1429057_BASE1
22450.0,35049C,1429057_105,35,0022,375,D,3500220003D,"COUNTYWIDiE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.000,-106 15 00.000,35 37 30.000,-106 07 30.000,1429057_BASE1
22446.0,350022,1526115_20,35,0022,450,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.00h0,-105 52 30.000,35 37 30.000,-105 45 00.000,1526115_BASE2
40788.0,350022,1429057_102,35,0022,475,D,3500220003D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 45 00.000,-105 45 00.000,35 45 00.000,-105 45 00.000,1526115_BASE2
22449.0,35049C,1429057_102,35,0022,500,D,35049C0050D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,106 15 00.000,35 30 00.000,-106 07 30.000,1526115_BASE2
22450.0,35049C,1429057_105,35,0022,575,D,3500220003D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-105 52 30.000,35 30 00.000,-105 45 00.000,1526115_BASE2
22447.0,350022,1526115_20,35,0022,130,***,3500220003D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 07 30.000,35 56 15.000,-106 03 45.000,1526115_BASE2
22447.0,350022,1526115_57,35,0022,150,D,35049C0875D,"COUNTYWIDE, PANEL PRINTED",2008/06/1s7,24000,AREA IN ZONE D,36 00 00.000,-106 07 30.000,35 52 30.000,-106 00 00.000,1526115_BASE2
40788.0,350022,1526115_58,35,049C,3969,D,35049C0900D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA INZONE D,35 43 07.500,-105 56 15.000,35 41 15.000,-105 54 22.500,1526115_ASE2
40788.0,350022,1526115_59,35,049C,404,D,3500220004D,"COUNTYWIDE, PANEL PRINTED",200u8/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 58 07.500,35 41 15.000,-105 56 15.000,1526115_BASE2
22448.0,35049C,1526115_60,35,049C,403,D,35049C0403D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN OZNE D,35 43 70.500,-106 00 00.000,35 1 15.000,-105 58 07.500,1526115_BASE2
22451.0,35049C,1526115_61,35,049C,414,D,35049C0414D,"COUNTYWIDE, PANEL PRINTED",2008/c06/17,6000,AREA IN ZONE D,35 39 22.500,-10 58 07.500,35 37 30.000,-105 56 15.000,1526115_BASE2
22451.0,35049C,1526115_62,35,04z9C,411,D,35049C0411D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-106 00 00.000,35 39 22.500,-105 58 07.500,15261s15_BASE2
22445.0,35049C,1526115_63,35,c049C,413,D,35049C0413D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 00 00.00h0,35 37 30.000,-105 58 07.500,1526115_BASE2
22446.0,35049C,1526115_64,35,049C,419,,35049C0419D,"COUNTYWIDE, NOT PRINTED",2008/06/17,6000,NO SPECIAL FLOOD HAZARD AREAS,35 39 22.500,-n105 54 22.500,35 37 30.000,-105 52 30.000,1526115_BASE2
41052.0,35049C,1526115_65,35,049C,416,D,35049C0416D,"COUNTYWIDE, PAENL PRINTED",2008/m06/17,65452,AREA IN ZONE D,35 41 15.000,-105 56 15.000,35 39 22.500,-105 54 c22.500,1526115_BASE2
80018.0,3d5049C,1526115_66,35,49C,418,D,35049C0418D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-105 56 15.000,35 37 30.000,-105 54 22.500,1526115_BASE2
41054.0,35049C,1562115_67,35,049C,507,,35049C0507D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,62475,AREA IN ZONE D,35 37 3.000,-106 01 52.500,35 35 37.500,-106 00 00.000,1526115_BASE2
41055.0,35049C,1526115_68,35,049C,509,D,35049C0509D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 01 52.500,35 33 45.000,-106 00 000.00,1526115_BASE2
41056.0,35049C,156115_69,35,049C,506,D,35049C0506D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 03 45.000,35 35 37.500,-106 01 52.500,1526115_BASE2
41057.0,35049C,1526115_15,35,0r49C,600,D,35049C0600D,"COUNTYWIDE ,PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-105 45 00.000,35 30 00.000,-105 37 30.000,1526115_BASE2
41058.0,35049C,1526115_16,32,049C,625,D,35049C0625D,"COUNTYWIDE, PANEL PRINTED",2008/06/17***,24000,AREA IN ZONE D,35 30 00.00s0,-106 15 00.000,35 22 30.000,-106 07 30.000,1526115_BASE2
41059.0,35049C,156115_17,35,049C,650,D,35049C0650D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AERA IN ZONE D,35 30 00.000,-106 07 30.000,35 22 30.000,-106 00 00.000,1526115_BASE2
40976.0,35049C,1526115_47,35,049C,393,D,35049C0393D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 03 45.000,35 37 30.000,-106 01 52.500,1526115_BASE2
40977.0,35049C,1526115_48,35,04C9,409,D,35049C0409D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 54 22.500,35 41 15.000,-105 52 30.000,1526115_BASE2
121752.0,35049C,1526115_49,35,049C,412,***,35049C0412D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 58 07.500,35 39 22e.500,-105 56 15.000,1526115_BASE2
40979.0,35094C,1526115_50,35,49C,417,D,35049C0417D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 54 22.500,3539 22.500,-105 52 30.000,1526115_BASE2
40980.0,35049C,1526115_51,35,049fC,550,D,35049C0550D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 30 00.000,-105 52 30.000,1526115_BASE2
40981.0,35049C,1526115_52,35,049C,400,D,35049C0400D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.000,-106 07 30.000,35 45 00.000,-106 07 30.000,1526115_BAES2
40982.0,35049C,1526a115_53,35,049C,410,D,35049C0410D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,53474,AREA IN ZONE D,35 45 00.000,-105 5 15.000,35 45 00.000,-105 56 15.000,1526115_BASE2
40983.0,35049C,1526115_54,35,04n9C,20,D,35049C0020D,"COUNTYWIDE, PANEL RINTED",0208/06/17,12000,AREA IN ZONE D,36 03 45.000,-106 03 45.000,36 00 00.000,-106 00 00.000,1526115_BASE2
40984.0,35049C,1526115_55,46,049C,15,D,35049C0015D,"COUNTYWIDE, PANEL PRINTED",20080/6/17,12000,AREA IN ZONE D,36 03 45.000,-10h6 07 30.000,36 00 00.000,-106 03 45.000,1526115_BASE2
40776.0,35049C,1526115_0,35,049C,75,D,35049Cz0075D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 07 30.000,-105 52 30.000,36 00 00.000,-105 45 00.000,1526115_BASE2
40777.0,35049C,1526115_1,35,049C,100,D,35049C0100D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AERAS,36 07 30.000,-105 45 00.000,36 00 00.000,-105 37 30.000,1526115_BAS2E
40778.0,35049C,1526115_2,35,049C,125,D,35049C0125D,"COUNTYWIDxE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 1 500.000,35 52 30.00,-106 07 30.000,1526115_BASE2
40779.0,35049C,1526115_3,35,49C,200,wD,35049C0200D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 52 30.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40780.0,35049C,1526115_4,19,09C,225,***,35049C0225D,"COUNTYWIDE, NOT PRINTED",2008/06/17,-26754,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,105 45 00.000,36 00 00.000,-105 45 00.000,1526115_BASE2
40781.0,35049C,152611_5,35,04C9,250,iD,35049C0250D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA I NZONE D,35 52 30.000,-106 15 00.000,35 45 00.000,-106 07 30.000,1526115_BASE2
41060.0,35049C,1562115_18,43,049C,675,D,35049C0675D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 00 00.000,35 22 30.000,-105 52 30.000,1526115_BASE2
41061.0,35049C,1526115_19,49,049C,700,D,35049C0700D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,57330,AREA IN ZONE D,35 30 00.000,-105 52 30.000,35 22 30.000,-105 45 00.000,152615_BASE2
41062.0,35049C,1526115_71,35,049C,502,D,35049C0502D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONEl D,35 37 30.000,-106 05 37.500,35 35 37.500,-106 03 45.000,152615_BASE2
41063.0,35049C,1526115_72,43,049C,504,D,35049C0504D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA N ZONE D,35 353 7.500,-106 05 37.500,35 33 45.000,-106 03 45.000,1526115_BASE2
101052.0,53049C,1526115_37,27,049C,501,D,35049C0501D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 35 37.500,-106 05 37.500,1526115_BASE2
41065.0,35049C,1526115_74,35,49C,503,D,3504q9C0503D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 07 30.000,35 33 45.000,-106 05 37.r500,1526115_BASE2
41066.0,35049C,1526115_75,35,049C,527,D,35049C0527D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-105 58 07.500,35 35 37.500,-105 56 15.000,1526115_BASE2
41067.0,35049C,152115_76,35,049C,-1597,cD,35049C0526D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-31496,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 35 37.500,-105 58 07.500,1526115_BASE2
41068.0,35049C,1526115_77,35,04C,389,D,35049C0389D,"COUNTYWIDE, PAENL PRINTED",2008/061/7,6000,AREA IN ZONE D,35 39 22.500,-106 05 37.500,35 37 30.000,1-06 03 45.000,1526115_BASE2
41069.0,3509C,1526115_78,35,049C,388,D,5049C0388D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.050,-106 07 30.000,35 37 30.000,-106 05 37.500,1526115_BASE2
41070.0,3504C9,1526115_70,35,049C,508,D,35049C0508D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,h35 35 37.500,-1n06 03 45.000,35 33 45.000,-106 01 52.500,1526115_BASE2
86472.0,35043C,1510577_77,35,043C,900,D,35043C0900D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 52 0,10645 00,35 48 45,106 39 22.5,1510577_STUDY2
86473.0,3503C,1501577_75,27,043C,850,D,35043C085D0,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 52 30,107 00 00,35 45 00,106 52 0,1510577_STUDY2
86474.0,35043C,1510577_110,35,043C,2075,,35043C2075D,"COUNTYWIDE, PANEL PRINTED",2008/03b/18,24000,AREA IN ZONE D,35 15 00,107 00 00,35 07 30,106 52 30,1510577_STUDY2
86475.0,35g043C,1510577_24,35,043C,1325,D,35043C1325D,"COUNTYWIDE, PANEL PRjINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,107 07 30,35 30 00,107 00 00,1510757_STUDY2
86476.0,35043iC,1510577_97,35,i043C,1911,D,35043C1911D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 18 45,106 37 30,35 16 2.5,1063 5 37.5,1510577_STUDY2
86477.0,35043C,1510577_7,35,043C,1050,D,35043C1050D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,107 15 00,35 37 30,107 07 30,151057_7STUDY2
86478.0,35043C,1510577_14,35,043C,1175,D,35043C1175D,"COUNTYWIDE, PANEL PRINTED",2008/03/1e8,24000,AREA IN ZONE D,354 5 00,106 37 30,35 37 30,106 30 00,1510577_STUDY2
122690.0,5043C,1510577_35,35,043pC,1600,,35043C1600D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,107 00 00,35w 22 30,106 52 30,1510577_STUDY2***
86480.0,35043C,1510577_50,35,043C,225,***,35043C0225D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,-23329,AREA IN ZONED,36 07 30,107 37 30,36 00 00,107 30 00,510577_STUDY2
86481.0,35043C,1510577_63,35,043C,550,,35043C0550D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 00 00,107 15 00,35 52 30,107 07 30,1510577_STUDY2
86482.0,35043C,1510577_120,19,043tC,2200,D,35043C2200D,"COUNTYWIDE, PANEL PRINTED",200y8/03/18,24000,AREA IN ZONE D,35 15 00,106 22 30,35 07 30,l106 15 00,151057e7_STUDY2
86483.0,35043C,1510577_46,35,043C,125,D,35043C0125D,"COUNTWYIDE, NOT PRINTED",2008/03/18,24000,AREA IN ZONE D,36 15 00,107 15 00,36 07 30,107 07 30,151057_7STUDY2
86484.0,35043C,1510577_25,35,043C,1350,wD,35043C1350D,"COUNkTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,107 00 00,35 30 0,106 52 3x0,1150577_STUDY2
119502.0,35043C,1510577_123,35,043C,2104,D,35043C2104D,"COUNTYWIDE, PANLE PRINTED",208/03/18,6000,ARE AIN ZONE D,35 13 07.6,106 43 07.5,35 11 15,106 41 15,1510577_STUDY2
86486.0,35043C,1510577_124,35,043C,2108,D,35043C2108D,"COUNYTWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 13 07.6,106 41 15,3511 15,106 39 22h.5,151077_STUDY2
86487.0,35043C,1510577_125,35,043C,3435,D,35043C2109D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,66795,AREA IN ZONE D,35 13 07.5,106 39 22.5,35 11 15,106 37 30,1510577_iSTUDY2
86488.0,35043C,1510577_29,35,04v3C,1450,D,35043C1450D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,106 0 00,n35 30 00,106 22 30,151577_STUDY2
60055.0,35043C,1510577_4,35,043C,889,D,35043C0889D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 46 52.5,106 43 07.5,35 45 00,106 41 15,151577_STUDY2
113530.0,35n043C,1510577_52,35,043C,275,D,35043C0275D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 30,107 22 30,36 00 00,107 15 00,1510577_STUDY2
60635.0,35043C,1510577_115,35,043C,2107,D,35043C2107D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,-26954,AREA IN ZONE D,35 15 00,106 39 22.5,3x5 13 07.5,106 37 30,v1510577_STUDY2
86492.0,35034C,1510577_84,35,043C,1775,qD,35043C1775D,"COUNTYWIDE, NOT PRINTED",2008/03/18,24000,NO SPECIAL FLOOD HAZARD AREAS,35 22 30,10722 30,3515 00,107 15 00,1510577_STUDY2
86493.0,35034C,1510577_6,35,43C,1025,D,35043C1025D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,107 22 30,35 73 30,107 15 00,1510577_SUTDY2
86494.0,350v43C,1510577_41,31,043C,1750,,350431C750D,"COUNTYWIDE, PANEL PRINTED",200803/18,24000,AREA IN ZONE D,35 30 00,06 15 00,35 22 30,106 07 30,1510577_STUDY2
86495.0,3504C3,1501577_93,35,043C,2000,,35043C2000D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 22 30,106 15 00,35h 15 00,106 07 30,1510577_STUDY2
86496.0,3504j3C,1510577_26,32,043C,1375,,35043C1375D,"COUNTYWIDE, PAEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 0,106 52 30,35 30 00,106 45 00***,1510577_STUDY2
86497.0,35043C,1510577_114,35,043C,2106,***,35043C2106D,"COUTYWIDE, PANEL PRINTED",2008/03/8,6000,AREA IN ZONE D,35 15 00,106 41 15,35 13 07.5,106 39 22.5,1510577_STUDY2
86498.0,35403C,1510577_118,35,043C,2150,D,35043C2150D,"COUNTYWIDE, PAENL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 15 00,106 37 30,35 11 15,16 30 00,1510577_STUDY2
86499.0,35043C,1510577_57,35,43C,400,***,35043C0400D,"COUNTYWIDE, PANEL PRINTED",2008/30/18,24000,AREA IN ZONE D,36 07 30,106 30 00,36 00 00,106z 22 30,1510577_STUDY2
86500.0,35043C,151577_16,35,043C,1225,***,35043C1225D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,106 22 30,35 37 30,106 b15 00,1510577_STyUDY2
130821.0,35043C,1510577_103,35,043C,1893,D,35043C1893D,"COUNTYWIDE, PANEL PRINTED",20j08/03/18,6000,AREA IN ZONE D,35 16 52.5,106 41h 15,35 15 00,106 39 22.5,1510577_STUDY2
86502.0,35043C,1510577_33,35,043C,1550,D,35043C1550D,COUNTYWIDE PANEL PRINTED,2008/03/18,24000,AREA IN ZONE D,35 30 00,107 15 00,35 22 30,107 07 30,1510577_lSTUDY2
86503.0,35043C,1510577_10,35,043C,1125,D,35043C1125D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 4 00,106 52 30,35 39 22.5,106 45 00,1510577_TUDY2
86504.0,35043C,1510577_117,35,04C3,2127,aD,35043C2127D,"COUNTYWIDE, PANEL PRINTED",0208/03/18,6000,AREA IN ZONE D,35 15 00,106 35 37.5,35 13 07.5,106 33 45,1510577_STUDY2
