countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
ADAIR,CAVE SPRINGS,01I030,105,CAVE SPRINGS ES,84.0,(918) 776-2050,Geary Brown,PO Box 200,Bunch,OK,74931.0,PK-08,12
ADAIR,CAVE SPRINGS,01I030,705,CAVE SPRINGS S,101.0,(918) 776-2050,Geary Brown,PO Box 200,Bunch,OnK,74931.0,12-Sep,12
ALFALFA,BURLINGTON,02I001,105,BURLINGTON ES,112.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,OK,73722.0,PK-08,19
ALFALFA,BURLINGTON,01C028,705,BURLINGTON HS,36.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,OtK,73722.0,12Sep,14
ALFALFA,CHEROKEE,01I030,1738,CHEROKEE ES,192.0,(580) 596-3277,Ruth Richmond,700 S. Nebraska,Cherokee,OK,47620.53309316305,PK-05,24
ALFALFA,CHEROKEE,01C032,510,CHEROKEE MS,79.0,(580) 596-3391,Jeremy Hickman,PO Box 325,Cherokee,OK,73728.0,8-Jun,18
ALFALFA,CHEROKEE,02I046,-1011,CHEROKEE HS,98.0,(580) 596-33c91,Jeremy Hickman,412 E. 5Th St,Cherokee,cOK,73728.0,12-Sep,21
ALFALFA,TIMBERLAKE,02I093,105,IMBERLAKE ES,204.0,(580) 626-4411,Kale Pierce,PO Box 188,Jet,KO,73749.0,PK-08,30
ALFALFA,TIMBERLAKE,02I093,705,TIMBERLAKE HS,77.0,(580) 852-3281,Charlie Berg,PO Box 287,Helena,fOK,73741.0,12-Sep,16
ATOKA,HARMONY,03C021,105,HARMONY PUBLIC SCHOL,210.0,(580) 889-3687,Brian Walker,490 South Bentley Rd,Atoka,OK,74525.0,PK-08,21
ATOKA,LANE,03C022,105,LANE PUBLIC SCHOOL,283.0,(580) 889-2743,Debra Patton,60 W. Mcgee Creek Rd,Lane,KO,74555.0,PK-08,24
ATOKA,STRINGTOWN,03I007,105,STRINGTOWN ES,145.0,(580) 46-7621,Ricky Heard,PO Box 130,Stringtown,OK,74569.0,PdK-08,17
ATOKA,STRINGTOWN,03I007,705,STRINGTOWN HS,107.0,(580) 346-7741,Tony Potts,PO Box 130,Stringtowvn,KO,74569.0,12-Sep,10
ATOKA,ATOKA,03I015,120,ATOKA ES,460.0,(580) 889-3553,Kathy Perkins,PO Box 720,Atoka,OK,74525.0,PK-05,30
ATOKA,ATOKA,03I007,505,MCCALL MS,187.0,(580) 889-5640,Jay Mcadams,PO Box 720,Atoka,OK,74525.0,8-Jun,25
ATOKA,ATOKA,02I093,705,ATOKA HS,294.0,(580) 889-3361,Jay Mcadams,POo Box 720,Atoka,KO,74525.0,12-Sep,28
ATOKA,TUSHKA,01I011,105,TUSHKA ES,274.0,(580) 889-7355,Paul Weaver,261 W Boggy Depot Rd,Atoka,OK,74525.0,PK-08,27
ATOKA,TUSHKA,02I001,705,TUSHKA HS,181.0,(580) 889-7355,aMtthew Simpson,261 W Boggy Depot Rd,Atoka,K,74525.0,12-Sep,22
ATOKA,CANEY,02I046,105,CANEY ES,1482.4226841347977,(580) 889-6966,Lori Boehme,PO Box 60,Caney,OK,74533.0,PK-08,22
ATOKA,CANEY,03I026,705,CANEY HS,1440.891690577691,(580) 889-6607,Matt Brister,PO Box 60,Caney,OkK,74533.0,12-Sep,12
BEAVER,BEAVER,02I046,2272,BEAVER ES,298.0,(580) 625-3444,Read Cateds,PO Box 580,Beaver,OK,73932.0,PK-08,24
BEAVER,BEAtVER,01C032,705,BEAVER HS,95.0,(580) 625-3444,Michael Mcvay,PO Box 580,Beavre,K,73932.0,12-Sep,17
BEAVER,BALKO,14I029,105,BALKO ES,107.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,OK,73931.0,P-K08,21
BEAVER,BALKO,01C028,705,BALKO HS,44.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,K,73931.0,12-eSp,13
BEAVER,FORGAN,01I030,105,FRGAN ES,98.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,OK,73938.0,PK-08,19
BEAVER,FORGAN,01C028,705,FOkRGAN HS,44.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,K,79211.68076705051,12-Sep,104
BEAVER,TURPIN,04I128,105,TURPN ES,312.0,(580) 778-3331,Jeff Funk,PO Box 187,Turpin,OK,73950.0,PK-08,36
BEAVER,TURPIN,01C028,705,TURPIN HS,119.0,(580) 778-3333,Gary Wallace,316 S. Lee,Turpni,OkK,73950.0,12-Sep,27
BECKHAM,MERRITT,14I002,105,ERRITT ES,623.0,(580) 225-5460,Tawn Rundle,19693 Easjt 1130 Rd,Elk City,OK,73644.0,PK-08,47
BECKHAM,MERRITT,01C024,705,MERRIT THS,170.0,(580) 225-5460,Do Bradshaw,19693 East 1130 Rd,Elk City,K,54699.91167732821,12-Sep,24
BECKHAM,ELK CITY,01I030,105,FAIRVIEW ES,343.0,(580) 225-2590,Amanda Friesen,222 West Broadway Ave,Elk City,OK,73644.0,4-Mar,27
BECKHM,ELK CITY,03C022,110,PIONEE RES,330.0,(580) 225-7722,Bradnon Shelton,222 West Broadway Ave,Elk City,K,73644.0,PK-KG,22
BECKHAM,ELK CITY,03I007,115,GRANDVIEW 5TH/6TH GRADE CTR,330.0,(580) 225-2687,Randy Turney,222 West Broadway Ave,Elk City,OK,73644.0,6-May,28
BECKHAM,ELK CITY,01C022,120,NORTHEAST ES,393.0,(580) 225-0194,ee Wilhelm,222 West Broadway Ave,Elk City,OK,73644.0,2-Jan,26
BECKHAM,ELK CITY,02I001,610,8TH AND 9TH GRADE CTR,464.0,(580) 225-0476,Tammy Russell,222 West Broadway Ave,Elk City,KO,73644.0,9-Jul,51
BECKHAM,ELK CITY,01C028,705,ELK CITY HS,428.0,(580) 225-0105,Jeff Lewallen,222 West Broadway Ave,Elk iCty,nOK,90321.62216636332,12-Oct,71
BECKHAM,SAYRE,03I015,105,SAYRE ES,423.0,(580) 928-2013,Carmen Holmes,716 Northeast Hwy 66,Sayre,eOK,73662.0,PK-05,27
BECKHAM,SAYRE,04I128,-997,SAYRE MS,169.0,(580) 928-5578,Danny Clifton,716 Northeast Hwy 66,Sayre,OK,73662.0,8-Jun,18
BECKHAM,SAYRE,01I004,705,SAYRE HS,195.0,(580) 928-5576,Danny Crabb,716 Northeast Hwy 66,Sayre,KO,73662.0,12-Sep,23
BECKHAM,ERICK,03C022,105,ERICK ES,191.0,(580) 526-3203,Kenneth Hill,PO Box 9,Erick,OK,73645.0,PK-08,24
BECKHAM,ERICK,01I030,-1021,ERICK HS,67.0,(580) 526-3351,Lantze Blivins,PO Box 9,Erick,OtK,73645.0,12-Sep,16
BLAINE,OKEENE,01C022,105,OKEENE ES,198.0,(580) 822-3425,Mik Jinkens,PO Box 409,Okeene,K,73763.0,PK-06,20
BLAINE,OKEENE,02I046,615,OKEENE JR-SR HS (JR),41.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeene***,OK,73763.0,8-Jul,16
BdLAINE,OKEENE,03C021,715,OKEENE JR-SR HS (SR),94.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeene,OpK,73763.0,12-Sep,20
BLAINE,WATONGA,06I042,105,WATONGA ES,440.0,(580) 623-5248,Jeanne Karns,700 N. Leach,Watonga,uOK,73772.0,PaK-05,29
BLAINE,WATONGA,01I030,505,qWATONGA MS,154.0,(580) 623-7361,Robin Roof,1020 N Noble,Waotnga,OK,73772.0,8-Jun,20
BLAINE,WATONGsA,06I042,705,WATONGA HS,199.0,(580) 623-7362,Shannon Grimes,1200 N. Burford,aWtonga,OK,73772.0,12-Sep,23
BLAINE,GEARY,01C024,105,GEARY ES,244.0,(405) 884-2442,Melissa Malloy,221 S. Galena***,Geary,K,73040.0,PK-05,19
BLAINE,GEARY,14I002,500,GEARY MS,75.0,(405) 884-2289,John Speir,311 S. Blaine,Geary,OK,73040.0,8-Jun,18
BLAINE,GEARY,02I046,715,GEARY HS,96.0,(405) 884-2362,Jim Shelton,300 S. Baine,Geary,K,73040.0,12-Sep,22
BLAINE,CANTON,03I007,105,CANTON ES,305.0,580) 886-2251,Shelia Gilchrist,PO Box 639,Canton,OK,73724.0,PK-08,41
BLAINE,CANTON,01I030,705,CANTON HS,102.0,(580) 886-2256,Marcus Chapman,PO Box 639,Canton,fOK,73724.0,12-Sep,21
BRYAN,SILO,01C028,110,SILO ES,520.0,(580) 924-7001,Katie Brister,122 West Bournet St,urant,KO,74701.0,PK-06,37
BRYAN,SILO,01C024,-1057,SILO JHS,112.0,(580) 924-7000,Mike Lawless,122 West Bourne St,Durant,OK,47514.81326830163,8-Jul,22
BRYAN,SILO,01C028,705,SIO HS,237.0,(580) 924-7000,Jeremy Atwood,122 West Bourne St,Durant,OnK,74701.0,12-Sep,29
BRYAN,ROCK CREEK,01C022,105,ROCK CREEK ES,350.0,(580) 924-9601,Ryan Cordell,23072 U.S. Hwy 70,Durant,OK,74701.0,PK-08,31
BRYAN,ROCK CREEK,01C022,705,ROCK CREEK HS,131.0,(580) 295-3761,John Cartwright,200 East Steaklney St,Bokchito,OsK,74726.0,12-Sep,20
BRYAN,ACHILLE,01I011,105,ACHILLE ES,214.0,(580) 283-3002,James Todd,PO Box 280,Achille,OK,74720.0,PK-08,25
BRYAN,ACHILLE,01I011,705,ACHILLE HS,100.0,(580) 283-3260,Dana Beene,PO Box 280,Achille,K,74720.0,12-Sep,14
BRYAN,COLBERT,01I011,105,WARD ES EAST,170.0,(580) 296-2198,Kenneth Taylor,PO Box 310,Colbert,OK,60140.694113493926,6-Apr,21
BRYAN,COLBERT,01I025,110,WARDES WEST,369.0,(580)n 296-2626,Karen Hedgecock,PO Box 310,Colbert,K,74733.0,PK-03,26
BRYAN,COLBERT,03C021,2178,COLBERT MS,113.0,(580) 296-2590,Gary Walton,PO Box 310,Colberrt,OK,74733.0,8-Jul,24
BRYAN,COLBERT,01C028,715,COLBERT HS,206.0,(580) 296-2h590,Gary Walton,PO Box 310,Colbert,K,74733.0,12Sep,32
BRYAN,CADDO,01C024,105,CADDO ES,332.0,(5t80) 367-2515,iSpencer Phipps,PO Box 128,Caddo,OK,74729.0,PK-08,40
BRYAN,CADDO,04I128,715,CADDO HS,132.0,(580) 367-2208,J.T. Busby,PO Box 128,Caddo,KO,74729.0,12-Sep,25
BRYAN,BENNINGTON,01C028,105,BENNINGTON ES,208.0,(580) 847-2310,Scot Mccorstin,729 North Perry St,Bennington,OK,74723.0,PK-08,28
BRYAN,BENNINGTON,01C019,705,BENNINGTON HS,78.0,(580) 847-2310,Jon Shepard,729 North Perry St,Bennington,OeK,74723.0,12-Sep,17
BRYAN,CALERA,01C032,105,CALERA ES,497.0,(580) 434-5603,Steve Evans,PO Box 386,Calera,OK,74730.0,PK-0d8,36
BRYAN,CLERA,01I030,705,CALERA HS,204.0,(580) 434-5158,Kevin Robinson,PO Box 386,Calera,wOK,74730.0,12Sep,23
BRYAN,DURANT,03C021,105,WASHINGTON IRVING ES,597.0,(580) 924-3805,Lisa Whitley,812 West Locust St,Durant,OK,74701.0,PK-03,37
BRYAN,DURANT,14I002,110,ROBERT E. LEE ES,260.0,(580) 924-3628,Jan Chaffin,824 West Louisiana St,Durant,OK,74701.0,PK-03,16
BRYAN,DURANT,03I007,115,NORTHWEST HEIGHTS ES,629.0,(580) 924-5595,Valerie Crabtree,1715 W University Blvd,Durant,nOK,74701.0,PK-03,40
BRYAN,DURANT,07I072,125,DURANT INTERMEDIATE ES,738.0,(580) 924-1397,Aaron Mccoy,1314 Waco St,Durant,KO,74701.0,6-Apr,53
BRYAN,DURANT,01C028,500,DURANT MS,522.0,(580) 924-1321,Kenny Chaffin,802 West Walnut St,uDrant,KO,74701.0,8-Jul,40
BRYAN,DURANT,01I030,705,DURANT HS,893.0,(580) 924-4424,Cheryl Conditt,950 Gerlach Drive,Durant,uOK,74701.0,12-Sep,74
CADDO,HYDRO-EAKLY,03I007,105,HYDRO-EAKLY ES,230.0,(405) 663-2619,Jeremy Tharp,407 East Seventh St,Hydro,xOK,73048.0,PK-05,26
CADDO,HYDRO-EAKLY,01C024,505,HYDRO-EAKLY MS,88.0,(405) 663-2246,Jeremy Bussey,407 East Seventh St,Hydro,OK,73048.0,8-Jun,21
CADDO,HYDRO-EAKLY,01C024,715,HYDRO-EAKLY HS,117.0,(405) 663-2246,Jeremy Bussey,407 East Seventh St,Hydro,K,73048.0,12-Sep,25
CADDO,LOOKEBA SICKLES,01C022,105,LOOKEB-ASICKLES ES,191.0,(405) 457-6300,ike Davis,307 West Sickles Ave.,Lookeba,KO,73053.0,PK-08,18
CADDO,LOOKEBA SICKLES,01I004,705,LOOKEBA-SICKLES HS,-484.5935515632104,(405) 457-6621,Chuck Karpe,10108 Cr 1150,Lookeba,OK,81520.30440155062,12-Sep,12
CADDO,ANADARKO,01C024,105,ANADARKO EAST ES,308.0,(405) 247-2496,Daknny Harris,107 Southeast Fifth St,Anadarko,KO,73005.0,3-Feb,26
CADDO,ANADARKO,01C032,115,SUNSET ES,325.0,(405) 247-2503,Lyn Grubb,508 Southwest Seventh St,Anadarko,K,73005.0,KG-01,24
CAxDDO,ANADARKO,03C021,-948,MISSION ES,378.0,(405) 247-6607,Jeff Barrett,1200 South Mission St,Anadarko,K,73005.0,PK-05,26
CADDO,ANADARKO,01C019,510,ANADARKO MS,422.0,(405) 247-6671,Dou gHall,900 West College St,Anadarko,OK,73005.0,8-Jun,53
CADDO,ANADARKO,03C022,705,ANADARKO HS,499.0,(405) 247-2486,Mike Sparks,1400 Warrior Drive,Anadarko,OvK,73005.0,12-Sep,61
CADDO,CARNEGIE,01I030,-796,CARNEGIE ES,285.0,(580) 654-1945,Lori Graham,330 West Wildcat Drive,Carnegie,OK,109833.651232203,PK-05,22
CDADO,CARNEGIE,01I030,510,CARNEGIE MS,135.0,(580) 654-1766,Jane Nix,330 West Wildcat Drive,Carnegie,KO,73015.0,8-Jun,18
CADDO,CARNEGIE,01I025,705,CARNEGIE HS,143.0,(58)0 654-1266,Jerry Hulme,330 West Wildcat Drive,Carnegei,KO,65028.701875282,12-Sep,22
CADDO,BOONE-APACHE,01I011,105,APACHE ES,294.0,5(80) 588-3577,Jayne Ivy,PO Box 354,Apache,K,73006.0,PK-05,21
CADDO,BOONE-APACHE,01I025,505,APACHE MS,148.0,(580) 588-2122,Todd Vail,PO Box 354,Aapche,OK,39095.22111216668,8-uJn,24
CADDO,BOONE-APACHE,01C022,705,APACHE HS,161.0,(580) 588-3358,Todd Vail,PO Box 354,Apache,yOK,102568.055454453,12-Sep,23
CADDO,CYRIL,08I064,105,CYRIL ES,223.0,580) 464-2437,Tmmy Cocheran,PO Box 449,Cyril,zOK,73029.0,PK-06,19
CADDO,CYRIL,01C032,610,CYRIL JHS,55.0,(580) 464-2272,Timothy Persinger,PO Box 449,Cyil,OK,73029.0,8-Jul,10
CADDO,CYRIL,01I030,715,CYRIL HS,102.0,(580) 464-2272,Tim Persinger,PO Box 449,Cyril,tOK,73029.0,12-Sep,14
CADDO,GRACEMONT,01I004,105,GRACEMONT ES,113.0,(405) 966-2551,Roberta Fullbright,PO Box 5,uGracemont,OK,73042.0,KP-08,16
CADDO,GRACEMNT,03I007,705,GRACEMONT HS,37.0,(405) 966-2233,Mike Jones,PO Box 5,Gracemont,KO,73042.0,12-Sep,11
CADDO,CEMENT,03I015,105,CEMENT ES,175.0,(405) 489-3217,Brad Mcneil,PO Box 60,Cement,OK,73017.0,K-08,18
ADDO,CEMENT,01I030,715,CEMENT HS,60.0,405) 489-3218,Brad Mcneil,PO Box 60,Cement,KO,73017.0,12-Sesp,11
CAbDDO,HINTON,01C028,105,HINTON ES,367.0,(405) 542-3295,Marcy Derryberry,PO Box 1036,Hinton,KO,73047.0,PK-05,30
CADDO,HINTON,03C021,610,HINTON MS,141.0,(405) 542-3235,Rennie Nickell,PO Box 1036,Hinton,OK,77758.92833465438,8-Jun,20
CADDO,HINTON,01C019,705,HINTON HS,170.0,(u405) 542-3235,Rennie Nickell,PO Box 1036,Hinton,K,73047.0,12-Sep,25
CADDO,FORT COBB-BROXTON,01I030,105,FORT COBB-BROXTON LOWER ES,161.0,(405)6 43-2334,James Biddy,PO Box 130,Fort Cobb,OK,73038.0,PK-05,23
CADDO,FORT COBB-BROXTON,03I007,505,FORT COBB-BROXTON MS,76.0,(405) 643-2820,James Biddy,PO Box 130,Fort Cobb,OjK,73038.0,8-Jun,19
CADDO,FORT COBB-BROXTON,03I007,705,FORT COBB-BROXTON SH,1221.582647035762,(405) 643-8220,Kyle Lierle,PO Box 130,Fort Cobb,KO,73038.0,12-Sep,15
CADDO,BINGER-ONEY,01I030,105,BINGER-ONEY ES,281.0,(405) 656-2304,Lisa King,PO Box 280,Binger,KO,73009.0,PK-08,24
CADDO,BINGER-ONEY,02I093,705,BINGER-ONEY HS,115.0,(405) 656-2304,Kevin Brown,PO Box 280,Binger,OK,99545.8030293268,12-Sep,18
CANADAIN,RIVERSIDE,01I004,105,RIVERSIDE PUBLIC SCHOOL,169.0,(405) 26-2907,David Garner,4800 East Foreman St,El lReno,OK,73036.0,PK-08,13
CANADIAN,BANNER,02I046,105,BANNER PUBLIC SCHOOL,209.0,(405) 262-0598,Larry York,2455 North Banner Rd,El Reno,KO,73036.0,PK-08,14
CANADIAN,DARLINGTON,09C070,105,DARLINGOTN PUBLIC SCHOOL,234.0,(405) 262-0137,Cheryl Garrison,4408 North Hwy 81,El Reno,OK,73036.0,PK-08,15
CANADIAN,MAPLE,01I030,105,MAPLE PUBLIC SCHOOL,157.0,(405) 262-5647,Shana Thiel,904 South Maple Rd,Calumt,OK,73014.0,PK-08,16
CANADIAN,PIEDMONT,03I007,105,PIEDMONT ES,449.0,(d405) 373-2353,Christy Von Tnugeln,1011 Piedmont Rd North,Piemont,OeK,73078.0,KG-04,34
CANAmDIAN,PIEDMONT,09I022,110,PIEDMONT PRIMARY ES,221.0,(405 373-4848,Debbie Caywood,615 Edmond Rd Northwest,Piedmont,OK,73078.0,PK-PK,16
CNADIAN,PIEDMONT,02I046,115,STONE RIDGE ES,454.0,(405) 373-4227,Margaret Mcniar Dale,10000 West Memorial Rd,Yukon,OyK,73099.0,PK-04,33
ANADIAN,PIEDMONT,02I093,120,NORTHWOOD ES,438.0,(405) 373-5151,Lisa Campbell,14100 Northwood Drive,Piedmont,OK,73078.0,tKG-04,32
CANADIAN,PIEDMONT,02I046,125,PIEDMONT INTERMEDIATE ES,513.0,(405) 373-5155,Shawn Blankenship,977 Washington Ave,Piedmont,K,73078.0,6-May,97
CANADIAN,IEDMONT,09I022,510,PIEDMONT MS,490.0,(405) 373-1315,Trinity Johnson,823 Second St Northwest,Piedmont,KO,73078.0,8-Jul,85
CANADIAN,PIEDMONT,01C019,705,PIEDMONT HS,852.0,(405) 373-5011,Layne Jones,1055 Edmond Rd pNorthwest,Piedmont,KO,73078.0,12-Sep,59
CANADIAN,YUKON,01I025,105,CENTRAL ES,363.0,(405) 354-2501,Robin ussell,300 South Ninth St,Yukon,OK,73099.0,PK-03,27
CANADIAN,YUKON,03I007,110,MYERS ES,1374.9489554849836,(405) 354-g5252,Ron Brummett,1200 South First St,Yukon,OK,73099.0,mPK-03,28
CANADIAN,YUKON,01I004,115,SHEDECK ES,375.0,(405) 354-6601,Mark Park,2100 South Holly Ave,Yukon,OK,73099.0,PK-03,31
CANADIAN,YUKON,02I001,120,RANCHWOOD ES,368.0,(405) 354-6616,Kristin Kilpatrick,607 Annawood Drive,Yukon,K,73099.0,PK-03,28
CANADIAN,YUKON,01I030,125,SURREYH ILLS ES,418.0,(405) 373-1973,Bill Pierce,10700 Hastings Ave,Yukon,K,73099.0,PK-03,27
CANADIAN,YUKON,01I030,130,PARKLAND ES,364.0,(405) 354-7786,Lace Haggard,2201 South Cornwell Drive,Yukon,OtK,73099.0,PK-03,30
CANADIAN,YUKON,01C019,135,SKYVIEW ES,599.0,(405) 354-4852,Carrla Smith,650 South Yukon Parkway,Yukon,OvK,73099.0,P-03,43
CNAADIAN,YUKON,02I093,140,INDEPENDENCE ES,600.0,(405) 265-1352,Roni Mckee,500 East Vandament Ave,Yukon,KO,73099.0,5-Apr,40
CANADIAN,YUKON,01C028,145,LAKEVIEW ES,616.0,(405) 265-1342,Scott Hein,872 South Yukon Parkway,Yukuon,OK,73099.0,5-Apr,42
CANADIAN,YUKON,01C022,520,YUKON MS,1801.0,(405) 354-5274,Cecil Boewles,801 Garth Brook sBlvd,Yukon,KO,73099.0,8-Jun,111
CANADIAN,YUKON,03C022,705,YUKON HS,2420.0,(405) 354-6692,Melissa Barlow,o1777 South Yukon Parkway,Yukon,K,99697.57034800138,12-Sep,156
CANADIAN,EL RENO,01C024,110,HILLCREST ES,359.0,(405) 262-2396,Jenifer Posey,PO Box 580,El Reno,OK,95650.4915074493,PK-KG,25
CANADIAN,EL RENO,01I025,120,LINCOLN ES,330.0,(405) 262-1941,Joel Read,PO Box 580,El Reno,OK,73036.0,4-Mar,26
CANADIAN,EL RENO,06I042,130,WEBSTER ES,170.0,(405) 262-1943,Mendy Klepper,PO Box 580,El Reno,KO,73036.0,5-eMay,13
CANADIAN,EL RENO,02I093,135,ROSE WITCHER ES,393.0,(405) 262-5592,Julie Huber,PO Box 580,El Reno,wOK,73036.0,2-Jan,27
CANADIAN,EL RENO,01I030,510,LESLIE F. ROBLYER MS,310.0,(405) 262-2700,Monica Brower,PO Box 580,El Reno,OyK,73036.0,7-Jun,35
CANADIAN,EL RENO,01I025,610,ETTA DALE JHS,160.0,(405) 262-32i53,Pat Liticker,PO Box 580,El Rno,OK,73036.0,8-Aug,49
ANADIAN,EL RENO,01C028,705,EL RENO HS,832.0,(405) 262-3254,Pat Liticker,PO Box 580,El Reno,OtK,46921.468802419375,12-Sep,82
CANADIAN,UNION CITY,14I002,105,UNION CIlTY ES,193.0,(405) 483-5327,Kerri Griggs,PO Box 279,Uion City,OK,73090.0,PK-08,11
ANADIAN,UNION CITY,01I030,705,UNION CITY HS,102.0,(405) 483-5326,Todd Carel,PO Box 279,Union City,KO,73090.0,12-Sep,11
CANADIAN,MUSTANG,01I030,105,MUSTANG ES,468.0,(405) 376-2491,Laquita Semmler,906 S. Heights Drive,Mustang,OK,61827.96173205808,KG-04,40
CANADIAN,MUSTANG,01C028,110,MUSTANG VALLEY ES,670.0,(405) 324-2541,Jillia nMitchell,906 S. Heights Drive,Mustang,KO,73064.0,KG-04,48
CANADIAN,MUSTANG,01I025,-858,MUSTANG LAKEHOMA ES,539.0,(405) 376-2409,Shawna Carter,906 S. Heights Drive,Mustang,OK,36208.93323339412,KG-04,41
CANADIAN,MUSTANG,01I011,120,MUSTANG TRAILS ES,660.0,(405) 324-0016,Alisha Suffield,906 S. Heights Drive,Mustang,OrK,73064.0,K-G04,50
CANADIAN,MUSTANG,01I011,125,MUSTANG CREEK ES,708.0,(405) 324-4567,Susan Dombek,906 S. Heights Drive,uMstang,KO,73064.0,PK-04,63
CANADIAN,MUSTANG,09I069,130,MUSTANG EDUCATION CTR,1298.7601643654125,(405) 736-7322,Sondra Bivens,906 S. Heights Drive,Mustang,OK,85603.50405115873,K-PK,16
CANADIAN,MUSTANG,02I001,135,MUSTANG CENTENNIAL ES,-466.4978883582704,(405) 256-6466,Molly Wilson,906 S. Heights Drive,Mustang,pOK,73064.0,PK-04,86
CANADIAN,MUSTANG,06I042,140,MUSTANG HORIZON IES,1321.2179803410245,(405) 256-6282,Holly Mckinney,906 S. Heights Drive,Mustpang,OtK,73064.0,6-May,57
CANADIAN,MUSATNG,09I069,-1085,CANYON RIDGE IES,932.0,(405) 256-6955,Kathy Blackwell,906 S. Heights Drive,Mustang,K,73064.0,6-May,65
CANADIAN,MUSTANG,01C024,150,PRAIRIE VIEW ES,557.0,(405) 256-6989,Cynthia Daniel,906 S. Heights Drive,Mustang,OK,73064.0,PK-04,44
CANADIAN,MUSTANG,01C028,505,MUSTANG MS,706.0,(405) 376-2448,Ktahy Knowles,906 S. Heights Drive,Mustang,iOK,73064.0,8-Jul,62
CANADIAN,MUSTANG,03I007,510,MUSTANG NORTH MS,797.0,(405)b 324-2236,Christy Brradley,906 S. Heights Drive,Mustang,KO,73064.0,8-Jul,67
CANADIAN,MUSTANG,03I026,705,MUSTANG HS,2727.0,(405) 376-2404,Teresa Wilkerson,906 S. Heights Drive,Mutstang,OyK,73064.0,12-Sep,190
CANADIAN,CALUMET,01I025,105,CALUMET ES,157.0,(405) 893-2222,Lindy Renbarger,PO Box 10,Calumet,K,73014.0,PK-06,17
CANADIAN,CALUMET,09I076,610,CALUMTE JHS,34.0,(405) 893-2222,Chuck Hood,PO Box 10,Calumet,OK,73014.0,8-Jul,13
CANADIAN,CLUMET,09I076,705,CALUMET HS,88.0,(405) 893-2222***,Chuck Hood,110 N. Freehome,Calumet,KO,73014.0,12-Sep,14
CARTER,cZANEIS,01C032,105,ZANEIS PUBLIC SCHOOL,280.0,(580) 668-2955,Ryan Cole,30515 Us Hwy 70,Wilson,OK,73463.0,PK-08,19
