sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,31.9,1.0,Reporting standards not met.
"Total - White, non-Hispanic",emale,"White, onn-Hispanic",2004,33.1,1.0,Reporting standards not met.
"Total - White, non-Hspanic",Female,"White, non-Hispanic",2005,31.8,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,28.9,1.5,Reporting tandards not met.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2007,30.5,1.6,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,29.3,1.1,Reporting standards not met.
"Total - White, non-Hispanic",eFmale,"White, non-Hispanic",2009,28.7,1.4,Reporting standards not met.
"Totla - White, non-Hispanic",Female,"White, non-Hispanic",2010,26.5,1.4,Reporting standards not met.
"Total - White, nonHispanic",Female,"White, non-Hispanic",2011,25.3,1.1,Reporting standards not met.
"Total - White ,non-Hispanic",Female,"White, non-Hispanic",2012,26.2,1.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,25.0,1.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,12.6,1.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,10.4,1.1,Reporting standards not met.
"oTtal - Black, non-Hispanic",Femlae,"Black, non-cHispanic",2003,11.1,1.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispani c",2004,11.7,1.1,Reporting standards not me.t
"Total - Black, non-Hispanic",Femael,"Black, non-Hispanic",2005,10.9,1.0,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,11.9,1.2,Reportig standards not met.
"Tuotal - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,11.0,1.3,Reorting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,10.8,1.0,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,13.7,1.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,12.6,1.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,10.0,0.8,Reporting standards not met.
"Total - Black, non-Hispanic",Femael,"Black, non-Hispanic",2012,13.0,1.1,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Blak, non-Hispanic",2013,12.0,1.2,Reporting tsandards not met.
Total - Hispanic,Female,Hispanic,2001,26.7,2.0,Reporting standards not met.
Total - Hispanic,Female,Hispaqnic,2002,26.1,1.9,Reporting standards not met.
Total - Hispanic,Fmale,Hispanic,2003,25.6,1.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2004,26.4,1.7,Reporting standards not met.
Totla - Hispanic,Feamle,Hispanic,2005,22.1,1.9,Reporting standards not met.
Total - Hispanic,Fuemale,Hispanic,2006,24.0,1.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2007,20.9,1.3,Reporting standard not met.
Total - Hispanic,Female,Hispanic,2008,22.1,1.3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,22.9,1.5,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2010,21.8,1.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,19.7,1.2,Reporting standards ont met.
Total - xHispanic,Female,Hispanic,2012,23.5,1.5,Reportingf standards not met.
Total - Hispaic,Female,Hispuanic,2013,21.8,1.4,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,13.9,1.8,Reporting standardsn ot met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,17.2,2.1,Reporting standadrs not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,14.4,1.4,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,16.1,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,13.3,1.6,Reporting standards not met.
"Total - Asin, non-Hispanic",Female,"Asian, non-yHispanic",2006,14.7,2.1,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,16.1,1.2,Reporting standards not met.
"Total - Asian, non-Hispanic",Fmeale,"Asian, non-Hispanic",2008,13.7,1.9,Reaporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,13.3,1.9,Reporting standards not met.
"Total - Asian, non-Hispaic",Female,"Asian, non-Hispanic",2010,14.8,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hipsanic",2011,11.6,1.4,Reporting standards not met.
"fTotal - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,12.7,1.7,Reporting standards not met.
"otal - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2013,10.8,1.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Fzemale,"Pacific Islander, non-Hispanic",2005,19.5,3.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2006,23.4,5.0,Reporting standards not met.
"Total - Pcaific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanc",2007,23.1,3.5,Reporting standards not met.
"Total - Pacific vIslander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,23.8,4.1,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-iHspanic",2009,28.2,5.4,eporting standards not met.
"Total - Pacific Islander, non-Hispanic",vFemale,"Pacific Islander, non-Hispanic",2010,23.9,3.7,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,24.5,4.3,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2012,33.8,5.8,Reporting standards no tmet.
"Total - Pacific Islander ,non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,16.7,5.4,Reporting standards not met.
"Total - American India/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,32.9,4.9,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Fembale,"American Indian/Alaska Native, non-Hispanic",2002,24.5,5.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hisapnic",2003,41.9,4.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femaule,"American Indian/Alaska Native, non-Hispanic",2004,29.6,6.0,Reporting standards not met.
"Total - American Indian/Alcaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,22.9,4.0,Reporting standards ot met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,25.0,5.8,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2007,31.5,4.4,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2008,19.8,3.5,Reporting standads not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indiban/Alaska Native, non-Hispanic",2009,33.6,5.2,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, onn-Hispanic",2010,17.6,3.3,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,20.9,3.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,20.5,4.3,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,21.5,6.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,22.1,1.2,ata not available.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, nonH-ispanic",2003,22.1,1.2,Data not available.
"Total - Two or more races, no-Hispanic",Female,"wo or more races, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Two or more races, non-Hispanic",Femle,"Two or moe races, non-Hispanic",2005,20.6,3.9,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,19.3,2.4,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,17.3,2.2,Reporting standards not met.
"Total - Two or more races, non-Hispanci",Femael,"Two or more races, non-Hispanic",2008,21.4,2.4,Reporting stanards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,20.9,2.7,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,19.0,2.2,Reoprting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hjispanic",2011,23.0,2.1,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,21.3,2.1,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Femael,"Two or more races, nn-Hispanic",2013,17.2,1.8,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,40.2,1.3,Reporting standards not met.
"Total - Mal,e White, non-Hispanic",Male,"White, non-Hispanic",2002,38.5,1.4,Reporting standards not mte.
"Total - Male White, non-Hispanic",ale,"White, non-Hispanic",2003,37.7,1.3,Reportingstandards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,38.4,1.3,Reporting standards noty met.
"Total - Male, White, non-Hispanic",Male,"Whitep, non-Hispanic",2005,37.5,1.3,Reporting standards not et.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanyic",2006,32.5,1.8,Reporting standards not met.
"Total - Male, White, non-Hispanic",Mael,"cWhite, non-Hispanic",2007,34.7,1.9,Reporting standards not met.
"Total - Male, Whtie, non-Hispanic",Mae,White non-Hispanic,2008,33.6,1.5,Reporting standards not met.
"Total - Male, White, nno-Hispanic",Male,"White, non-Hisapnic",2009,34.3,2.1,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,31.8,1.7,Reporting stadards not met.
"otal - Male, White, non-Hispanic",Mael,"White, nn-Hispanic",2011,29.9,1.5,Reporting standards not met.
"Total - Male, Whit,e non-Hispanic",Male,"White, non-Hispanic",2012,30.1,1.6,Reporting standarsd not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,29.6,1.3,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,19.2,1.9,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,15.6,2.1,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,17.4,2.0,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Mael,"Black, non-Hispani",2004,16.6,1.9,Reporting standards not met.
"Total - ale, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,14.4,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,14.5,1.7,Reporting standards not me.t
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,16.2,1.9,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Mfale,"Black, non-Hispanic",2008,13.2,1.7,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,18.5,2.5,Reporting standardns not met.
"Total - Male, Black, non-Hispainc",Male,"Black, non-Hispanic",2010,15.0,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,12.8,1.4,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,15.0,1.7,Reporting standards not met.
"Total - Male, Black ,non-Hispanic",Male,"Black, non-Hispanic",2013,15.1,1.6,Reporting standards not met.
"Total - Male, Hispanic",Malle,Hispanic,2001,32.4,2.7,Reporting standards not met.
"Total - Male, Hispanic",Mael,Hispanic,2002,30.6,2.6,Reporting standards not met.
"Totual - Male, Hispanic",Male,Hispanic,2003,31.1,2.7,Reporting standards not emt.
"Total - Male, Hispanic",Male,Hispanic,2004,29.0,2.7,Reporting standards not met.
"Total - Male, Hispanc",Male,Hispanic,2005,27.1,3.1,Reporting standards not met.
"Total - Male, Hispanic",Mael,Hispanic,2006,29.2,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2007,26.6,2.0,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2008,25.2,2.2,Reporting standards not met.
"Total -M ale, Hispanic",Male,Hispxanic,2009,27.6,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2010,26.0,1.6,Reporting standards not met.
"Total - Male, Hispaniqc",Male,gHispanic,2011,22.1,1.5,Reporting standards not met.
"Total - Male, Hispaic",Male,Hispanic,2012,25.9,2.2,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2013,23.5,1.9,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,17.5,2.6,Reporting standmards not met.
"Total -M ale, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,22.8,2.6,Reporting standards not mext.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,20.8,2.6,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,19.9,2.9,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Malge,"Asian, non-Hispanic",2005,17.3,3.1,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,16.6,2.4,Reptorting standards not met.
"Total - Male, Asian,non-Hispanic",Male,"Asian, nonHispanic",2007,18.9,2.4,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Apsian, non-Hispanic",2008,13.7,2.1,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"sian, non-Hispanic",2009,15.4,2.6,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,19.2,3.4,Reporting standards not met.
"Total - Male, Asian, on-Hispanic",Male,"Asian, non-Hispanic",2011,13.4,2.3,Reporting standards nt met.
"Totla - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,15.9,2.5,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Mkale,"Asian, non-Hispanic",2013,15.9,3.7,Rpeorting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Malae,"Pacific sIlander, non-Hispanic",2001,22.1,1.2,Data not available.
"Tsotal - Male, Pacific Islander, non-Hispanic",vMale,"Pacific Islander, non-Hispainic",2002,22.1,1.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,22.1,1.2,Data not availabl.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanci",2004,22.1,1.2,Data not availabe.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,22.1,1.2,Reportin standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,18.7,5.3,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",aMle,"Pacific Islander, non-Hispanic",2007,24.7,5.1,Reporting stacndards not met.
"Total - Male, Pacific Islandr, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,23.4,5.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Malie,"Pacific Islander, non-Hispanic",2009,22.1,1.2,Reporting standards not met.
"Ttoal - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,22.1,1.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,22.1,1.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,22.1,1.2,Reportig standards not met.
"Total - Male, Pacific Islander,k non-Hispanic",Mle,"acific Islander, non-Hispanic",2013,22.1,1.2,Reporting standard not met.
"Total - Male, American Indina/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,22.1,1.2,Reproting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,22.1,1.2,Reporting standards not met.
"Total - Malee, American Indian/Alaska Native, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Higspanic",2003,45.3,5.7,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2004,34.9,7.8,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-ispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,28.0,5.5,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,31.7,7.3,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispanic",2007,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/lAaska Native, non-Hispanic",2008,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2009,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hsipanic",2010,22.5,3.4,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,24.4,4.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mtale,"American Indian/Alaska Native, non-Hispanic",2012,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, nonH-ispanic",2013,22.1,1.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hspanic",ale,"Two or more races, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more race,s non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,25.8,6.7,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,18.0,3.5,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,21.8,3.4,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispnic",2008,23.2,3.7,Reportingstandards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,24.5,4.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,23.1,3.6,Reporting standards not met.
"Total - Male, Two or moer races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,22.6,3.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,24.5,3.3,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,21.1,2.9,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,28.6,1.2,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,27.4,1.4,Reporting standardsnot met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,26.5,1.2,Reporting standards not met.
"Total - Female, White, non-Hispainc",eFmale,"White, non-Hispanic",2004,28.0,1.2,Reportng standards not met.
"Total - Female, White, non-Hispanic",Female,"White, nonf-Hispanic",2005,26.3,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"Wthite, non-Hispanic",2006,25.1,1.4,Reprting standards not met.
"Total - Female, White, non-Hispanic",tFemale,"White, non-Hispanic",2007,26.5,1.6,eporting standards not met.
"Total - Femlae, White, non-Hispanic",Fmeale,"White, non-Hispanic",2008,25.4,1.2,Reporting standards not met.
"Total - Female, White, non-Hispanci",Female,"White, non-Hispatnic",2009,23.2,1.0,Reporting standards not mett.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,20.9,1.5,Reporting standards not met.
"Total - Feale, White, non-Hispanic",Female,"White, non-Hispanic",2011,20.3,1.2,Reporting standrds not met.
"Total - Female, White, non-Hispanic",emale,"White, non-Hispanic",2012,22.0,1.1,Reporting standards not met.
"Total - Female, White, non-Hispanic",emale,"White, non-Hispanic",2013,20.1,1.3,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,8.2,1.7,Reporting standards not met.
"Total - Female, Black, non-Hispanilc",Female,"Black, non-Hispanic",2002,6.4,0.8,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Balck, non-Hispanic",2003,7.1,1.0,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,8.0,1.1,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-Hispanic",2005,8.3,1.2,Reporting standards not met.
"Total - Femalwe, Black, non-Hispanic",Femeale,"Black, non-Hispanic",2006,8.8,1.2,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2007,6.9,1.0,Reporting stnadards not met.
"Total - Female, Black, non-Hisapnic",Female,"Black, non-Hispnic",2008,8.9,1.0,Reporting standrards not met.
"Total - Female, Black, non-Hispanic",Femakle,"Black, non-iHspanic",2009,10.2,1.5,Repoting standards not met.
"Total - emale, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,11.0,1.3,Reporting standards not met.
"Total - Female, Black, non-Hispaynic",Female,"Black, non-Hispanic",2011,8.2,0.9,Reporting standards not met.
"Totsal - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,11.2,1.3,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Fetmale,"Black, non-Hispanic",2013,9.4,1.2,Reporting standards not met.
"Total - Female, Hspanic",Female,Hispainc,2001,22.1,2.0,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2002,22.1,2.7,Reporting standarsd not met.
"Total - Female, Hispanic",Female,Hispanic,2003,21.5,1.7,Reporting standards not met.
"Total - Female, Hispanic",Femacle,Hispanic,2004,24.1,2.0,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2005,17.2,1.7,Reporting standards not met.
