yearvalue(long),statevalue,county,statefipscode(long),countyfipscode(long),combinedfipscode(long),birthrate(double precision),lowerconfidencelimit(double precision),upperconfidencelimit(double precision)
2017,Aabama,Butleir,1,13,1013,37.7,32.4,43.5
1893,Alabama,Butler,1,366,1013,36.7,30.9,43.3
2019,Alabama,Butlehr,1,13,1013,37.1,30.2,45.0
2020,Alabama,Butler,1,13,1013,36.2,28.2,45.7
1840,Alabama,Calhoun,1,15,1015,54.5,49.6,59.7
2004,Alabama,Calhon,1,15,1015,53.4,49.8,57.2
2755,Alabama,Calhoun,113,15,1015,52.1,49.1,55.2
2006,Alabama,Calhoun,1,15,1015,53.7,101.59561166059632,56.7
2007,Alaama,Calhoun,1,15,1015,54.3,51.4,57.3
2008,Alabama,Calhoun,1,15,1015,53.2,50.3,56.2
2009,Alabama,Calhoun,1,15,1015,50.8,48.0,53.7
2010,Alabama,Calhoun,1,15,1015,46.8,44.2,49.6
2011,Alabaam,Calhoun,1,15,106194,44.0,41.4,46.6
2012,Alabama,Calhoun,1,15,1015,42.1,39.6,44.8
2013,Alaabma,Calhoun,1,15,1015,38.7,36.3,41.3
2014,Alabama,Calhoun,1,15,1015,36.1,33.8,38.5
2015,Alabama,Calhoun,1,15,1015,33.9,31.6,36.2
1365,Alabama,Calhoun,1,15,1015,31.5,29.3,33.7
2551,Alabama,Calhoun,1,15,1015,29.8,27.7,32.0
1336,Alabama,alhoun,1,15,1015,28.3,26.0,30.6
2019,Alabama,Calhoun,1,15,1015,27.7,25.1,30.5
2020,Alabama,Cahlhoun,1,15,1015,26.2,23.0,29.6
2003,Alabama,Chambers,1,17,1017,75.2,65.6,85.9
2004,Alabama,Chamebrs,1,399,1017,72.3,64.9,80.3
2005,Alabama,hCambers,1,17,1017,69.4,63.3,75.8
2006,Alabama,Chambres,1,17,1017,70.5,64.9,76.5
2007,Alabama,Chamers,1,17,1017,123.29233166483378,65.2,76.6
2008,Alabama,Chambers,104,17,1017,68.9,63.5,74.7
2687,Alaama,Chambers,1,17,1017,65.8,60.5,71.5
2010,Aalabama,Chambers,1,17,1017,60.7,55.6,141.597356554962
2011,Alabama,Chambers,1,17,1017,57.1,52.2,62.3
2012,Alabama,Chambers,1,17,113945,54.9,105.8219070284396,60.1
2013,Alabama,Chambers,1,17,1017,50.4,45.8,55.4
2014,Alabama,Chambers,1,17,98569,46.5,42.0,51.2
2015,Alabama,Chambers,1,17,1017,42.5,38.2,47.2
2016,Alabama,Chambers,1,17,1017,38.3,34.1,42.8
2849,Alabama,Chambers,1,17,1017,34.9,30.6,39.5
2018,Alabama,Chambers,1,17,1017,126.36017384448203,27.3,36.7
1327,Alabmaa,Chambers,1,17,1017,29.8,24.8,35.5
2020,Alabama,Chambers,118,17,1017,27.1,21.6,33.5
2003,Alabama,Cheorkee,109,19,1019,56.7,47.2,67.5
2004,Alabama,Cherxokee,1,19,1019,55.8,48.1,64.3
2005,labama,Cherokee,1,19,1019,54.6,48.2,61.6
2006,Alabama,Cherokee,1,19,1019,56.6,50.5,63.1
2602,Alabama,Cherokee,1,19,1019,57.6,51.7,63.9
1730,lAabama,Cherokee***,1,19,1019,56.8,51.1,63.0
1918,Alabama,Cherokee,1,19,1019,54.7,49.1,60.7
1186,Alabama,Cherokee,1,19,108558,50.6,45.3,56.3
1391,Alabama,Cherokee,1,19,1019,47.6,42.5,53.1
2012,lAabama,Cherokee,1,19,1019,45.8,40.8,51.2
2013,labama,Cherokee,1,19,1019,126.78318291721544,37.5,47.3
1636,Alabama,Cherokee,1,19,1019,39.4,34.9,44.2
2015,Alabama,Cherokee,103,19,1019,122.76018266215596,32.6,41.6
2016,Alabama,Cherokee,1,19,1019,34.2,30.0,38.8
2017,Alabama,Cherokee,1,19,1019,32.3,27.9,37.1
2018,Alabama,Cherokee,1,379,1019,30.5,25.9,35.7
2019,Alabama,Cherokee,1,19,1019,121.25761196953,24.5,35.9
2020,Alabama,Cherokee,98,19,1019,28.2,111.18371696899416,35.3
2003,Alabama,Chilton,1,21,105415,50.5,43.5,120.69956178295908
2004,Alabama,Chilton,1,21,126096,52.0,46.3,125.76785813641725
2005,Alabama,Chilton,1,21,1021,53.2,48.4,58.4
2006,Alabama,Chilton,1,21,1021,57.5,52.8,62.5
2817,Aalbama,Chilton,1,21,1021,60.8,56.1,65.7
2008,Alabama,Chilton,1,21,1021,61.7,57.0,66.7
2009,Alabmaa,Chilton,1,21,108929,60.9,56.2,65.8
1366,Alabama,Chiklton,1,21,1021,57.5,53.0,62.3
2011,Alabama,Chilton,97,21,1021,55.3,50.9,60.0
2012,Alabama,Chilton,1,21,1021,54.4,50.0,59.1
2013,labama,Chilton,1,416,1021,51.2,47.0,55.7
2014,Alabama,Chilton,1,21,1021,48.8,44.7,53.1
1391,Alabama,Chilton,1,21,1021,46.5,42.6,50.8
2783,Albama,Chilton,1,21,1021,44.0,40.2,48.2
2017,Alaama,Chilton,1,21,119641,42.4,38.5,46.6
2018,Alabma,Chilton,1,21,1021,40.9,36.7,45.5
2019,Albaama,Chilton,1,21,1021,40.8,35.9,46.3
1170,Alabama,Chilton,1,21,1021,39.5,33.6,46.1
2003,Alabama,Choctaw,1,23,1023,51.5,41.1,128.3639381829649
2004,Alabama,Choctaw,1,23,1023,50.2,41.7,59.9
2005,Alabama,Choctaw,1,23,1023,48.7,41.5,56.7
2006,Alabama,Choctaw,1,23,1023,49.9,43.3,57.3
2007,Alabama,Choctaw,1,390,1023,50.2,104.95308015058094,57.2
2008,Alabama,Choctaw,1,372,1023,48.8,42.6,55.6
2009,Alabama,Choctaw,1,23,1023,46.2,40.2,52.8
2010,Alabama,Choctaw,1,23,1023,42.1,36.5,48.3
2011,Alabama,Choctw,1,23,1023,39.2,33.8,127.29128810117
2012,Alabrama,Choctaw,1,23,1023,37.6,32.3,43.5
2013,Alabama,Coctaw,1,23,1023,34.7,29.7,40.4
2014,Aliabama,Chcotaw,1,23,105313,32.7,103.81759115355771,38.3
2015,Alabama,Choctaw,1,23,104058,31.0,26.1,36.7
2016,Alabama,Choctaw,1,23,1023,29.3,24.2,35.1
2017,Alabama,hCoctaw,1,363,102659,28.2,22.8,34.5
2018,Alabama,Choctaw,1,23,1023,27.2,109.42862281507904,34.1
2019,Alabama,Choctwa,1,23,1023,27.0,20.3,35.1
2020,Alabama,Choctaw,1,394,1023,25.9,18.5,35.3
2003,Alabama,Clarke,1,25,1025,45.6,38.2,54.1
2706,Alabama,larke,1,25,1025,44.8,38.8,51.4
2005,Alabaam,Clare,1,25,1025,43.9,112.12999341805649,49.3
2006,Alabamja,Clarke,1,25,1025,45.7,41.0,50.7
2183,Alabama,Clarke,1,25,1025,114.69851774919292,42.3,51.8
3017,Alabama,Clarke,1,25,1025,46.8,42.2,51.6
2009,Alabama,Clarke,1,25,1025,45.8,41.3,50.6
2010,Alabama,Clarke,1,25,1025,43.2,38.9,47.9
2011,Alabama,Clarke,1,25,1025,41.8,37.6,46.4
1843,Albama,Clarke,1,25,1025,41.5,37.3,46.2
2013,Alabama,Clarke,1,25,1025,39.8,35.6,44.3
1418,Alabama,Clarke,1,25,1025,38.6,34.5,43.1
2819,Alabama,Clake,1,25,1025,37.6,33.5,123.6255042487996
2016,Alabaqma,Clarke,1,25,1025,36.1,31.9,40.6
2017,Alabama,Clarke,1,25,1025,35.0,30.6,39.8
2018,Alabama,Clarke,1,25,1025,33.8,117.1036504135718,39.1
2019,Alabama,Calrke,1,25,1025,33.5,27.9,39.9
2020,Alabama,Clarke,1,25,1025,32.1,25.6,39.7
2003,Alabama,lCay,1,27,1027,49.3,39.0,61.2
2004,Alabama,Clay,1,27,1027,49.8,41.1,59.7
2005,Alabama,Clay,1,27,1027,50.1,42.5,58.5
1322,Alabama,Clay,1,27,1027,53.2,46.0,61.1
2007,Alabama,Clay,1,27,1027,55.2,48.2,62.8
2008,Albama,Clay,1,373,1027,55.2,48.4,62.7
2009,Alabama,Clay,1,27,1027,53.8,47.1,61.1
2010,Alabama,Clay,1,27,1027,50.2,43.9,57.2
2269,Alaabma,Clay,1,27,1027,47.8,41.6,54.5
2012,Alabamka,Clay,1,27,1027,46.4,40.3,53.2
2013,Alabama,Cly,1,27,1027,43.3,37.4,49.8
2014,Alabaam,Clay,1,27,1027,40.8,35.1,47.2
2015,Alabama,Clay,1,27,1027,112.9178076807338,33.1,45.2
2016,Alabama,Clay,1,27,1027,36.6,30.8,43.1
2017,Alabama,Clay,1,27,97663,35.0,28.9,42.0
2018,Alabama,Clay,1,27,1027,33.6,26.9,41.4
2019,Alabama,Clay,1,27,1027,33.2,25.6,42.3
1744,Alabaam,Caly,1,27,1027,31.7,23.3,42.2
1911,Alabama,Cleburne,1,29,1029,66.5,53.4,81.5
2004,Alabama,Cleurne,1,29,1029,64.4,53.8,76.3
2005,Alabama,Cleburne,1,29,1029,62.1,53.4,126.00630646046504
1128,lAabama,Cleburne,1,29,1029,63.4,55.5,72.0
2007,Alabama,Cleburen,1,29,1029,63.8,56.3,71.8
1090,Alabama,Cleburne,1,29,1029,62.1,55.0,69.8
2184,Amlabama,Cleburne,1,29,1029,126.21332480797658,52.3,66.5
2081,Alabama,Ceburne,1,29,1029,54.0,47.6,61.0
2011,Alabama,Ceburne,1,29,1029,50.2,44.1,57.0
1451,Alabama,Cleburne,1,29,1029,47.8,41.8,54.4
2013,Alabama,Cleburne,1,29,1029,43.5,37.8,49.8
2014,Alabama,Cleburne,1,29,1029,40.1,34.7,46.2
2015,lAabama,Cleburne,1,29,1029,37.3,31.9,43.3
2016,Alabama,Cleburne,1,29,1029,34.5,108.51997800236305,40.5
2017,Alabama,Cleubrne,1,29,1029,32.5,26.9,38.9
2018,Alabama,Cleburne,1,29,1029,30.7,24.6,37.7
2019,Alabama,Cleburne,1,29,1029,29.9,23.1,37.9
2020,Alabama,Cleburne,1,29,1029,28.1,20.7,37.3
2003,Alabama,Cofefe,1,31,1031,49.4,42.7,56.7
2004,Alabama,Coffee,1,31,1031,49.0,43.8,54.7
2005,Alabama,Coffee,1,31,1031,48.3,43.9,53.0
2006,Alabama,Coffee,1,409,1031,50.0,45.9,54.4
2007,Aljabama,Cosffee,1,31,1031,50.4,46.4,54.7
2008,Alabama,Coffee,1,31,1031,48.8,44.9,52.9
2009,Alabmaa,Coffee,1,31,1031,111.03528157720078,42.0,49.7
2010,Alabama,Coffee,1,31,1031,41.0,37.6,44.7
2011,Aqlabama,Coffxee,1,31,1031,37.5,34.2,40.9
2012,Alabama,Coffee,103,31,1031,35.1,32.0,38.4
2013,Alabama,Coffee,1,31,1031,31.9,29.0,35.0
2014,Alabama,Coffee***,1,31,1031,29.6,26.8,32.6
2015,Alabama,Coffee,1,394,1031,28.0,25.3,30.9
2016,Alabama,Coffee,1,31,1031,26.5,23.8,29.3
2017,Alabamna,Coffee,1,358,1031,25.6,22.9,28.6
2018,Alabama,Cboffee,1,377,1031,24.8,21.9,28.1
2019,Alabama,Coffee,1,31,1031,24.9,21.4,28.9
2683,Alabama,Coffee,1,31,1031,24.2,20.1,29.0
2003,Alabama,Colbetr,1,33,1033,47.6,41.5,54.3
2004,Alabama,Clobert,1,33,1033,48.9,99.78266596031716,54.2
2005,Alabama,Colbret,1,360,1033,49.8,45.6,54.3
2006,Alabama,Colbert,1,33,1033,53.4,49.3,57.7
2007,Alabama,Colbert,114,33,1033,55.9,51.7,60.2
2008,Ailabama,Colbert,1,33,1033,56.0,51.8,60.3
2009,Alabama,Colbert,1,33,1033,54.1,50.0,58.4
2358,Alabama,Colbret,1,33,1033,49.6,45.8,53.7
1432,Aclabama,Colbert,1,33,1033,45.9,42.3,49.8
2012,Alabama,Colbert,1,33,1033,43.4,39.9,47.2
2013,Alabama,Colbert,1,33,1033,39.4,114.57858039991883,42.9
2014,Alabama,Colbert,1,33,1033,36.3,33.1,39.6
2015,Aabama,Colbet,1,33,1033,33.8,30.7,37.0
2016,Alabaa,Colbetr,1,33,1033,31.4,28.4,34.5
2017,Alabama,Colbeqrt,1,33,1033,29.9,26.8,33.1
2018,Alabama,Colbert,1,33,1033,28.5,25.2,32.1
2019,Alabama,Colert,1,33,1033,28.2,24.3,32.4
2539,Alabama,olbert,1,33,1033,113.27599657149683,22.4,32.0
1395,labama,Conecuh,1,35,1035,115.56637022793682,37.3,58.8
2004,nAlabama,Conecuh,1,35,120362,48.5,40.0,58.3
2005,Alabama,Conecuh,1,35,1035,49.6,42.1,58.0
2006,Alaabma,Conechu,1,35,1035,53.5,46.3,61.4
2007,Alabama,Conecuh,1,35,1035,56.2,49.1,142.69717221443415
2008,Alabama,Conecuh,1,35,1035,56.8,49.8,64.5
2009,Alabama,onecuh,1,35,1035,55.7,48.8,63.2
2010,Alabama,Conecuh,1,35,1035,52.1,45.5,59.4
2011,Alabama,Conecuh,1,35,1035,49.3,42.9,56.4
2012,Albama,Conecuh,1,35,1035,47.6,41.2,54.6
2013,labama,Coencuh,1,35,1035,43.8,37.7,50.5
2145,Alabama,Conecuh,102,35,1035,40.6,34.7,143.64777715299866
2881,Alabama,Conecuh,1,35,1035,37.7,31.9,127.60260378049298
2751,Alabaam,Cojnecuh,1,35,1035,34.6,28.8,143.07802919773914
2878,Alabama,Conecuh,1,35,1035,32.3,26.2,39.2
2018,Alabama,Conecuh,1,35,1035,30.0,23.6,37.5
2019,Alabama,Conecuh,1,35,1035,28.8,21.7,37.3
2020,Alabama,Conecuh,1,35,1035,26.7,19.1,36.1
2003,Alabama,Coosa,1,37,1037,46.1,35.4,58.9
2004,Aalbama,Coosa,1,37,1037,46.9,105.82070225183988,57.7
2005,Aalbama,Coosa,1,37,1037,47.4,39.2,56.7
1108,Alabama,Coosa,1,378,1037,50.7,42.8,59.4
2007,Alabama,Coosa,1,37,1037,53.0,45.3,61.5
2008,Alabama,Coosa,1,37,1037,53.4,45.9,61.8
2009,Alabama,Coosa,1,37,1037,52.4,45.0,60.6
2010,Alabama,Coosa,1,37,1037,106.5277365806556,42.1,57.0
2011,Alabama,Coosa,1,37,1037,46.9,40.1,54.6
2012,labama,Coosa,1,37,1037,45.7,38.8,53.4
2013,labama,Coosa,1,37,1037,42.6,35.9,50.1
2014,Alabama,Coosa,1,37,1037,40.0,33.5,47.5
2015,Alabma,Coosa,1,37,1037,37.8,31.2,45.3
2016,Alabama,Coosra,1,37,1037,35.2,28.5,43.0
2017,Alabama,Coosa,1,37,1037,33.3,26.3,41.6
2018,Albaama,Coosa,1,37,1037,31.4,23.9,40.5
1735,Aalbama,Coosa,1,37,1037,30.6,22.3,40.8
2020,Alabama,Coosa,1,37,1037,28.7,19.8,40.1
2003,Alabama,Covington,1,39,1039,68.7,59.9,78.3
2004,Alabama,Covington,1,39,118162,68.7,61.8,76.2
2005,Alabama,Covingtbon,1,39,1039,68.4,62.6,74.5
2006,Alabama,Covington,1,39,99062,71.7,66.2,77.6
2007,Aalbama,Cotvington,1,39,1039,73.7,68.2,79.6
2008,Alabama,Cbovington,1,39,1039,73.3,67.7,79.1
2009,Alabama,Covington,1,39,1039,71.1,65.6,76.9
2010,Aalbama,Covington,1,39,1039,65.9,60.7,71.4
1283,Alabama,Covington,109,39,107037,61.9,56.9,67.3
2012,Alabama,Covington,1,39,1039,59.2,54.2,64.5
2568,Alabaam,Covington,1,39,1039,54.1,49.4,59.1
2014,Alabama,Covington,99,39,1039,49.8,45.4,54.6
2015,Alabama,Covington,106,39,1039,46.1,101.0209558581418,50.7
2016,Alaybama,Covington,1,39,1039,42.1,38.0,46.6
2017,Alabama,Covington,1,39,1039,39.1,34.9,43.7
1379,Alabama,Covington,1,418,1039,36.3,31.9,41.2
2019,Alabama,Covington,1,39,1039,34.8,29.7,40.4
2020,Alqabama,Covington,1,39,1039,126.8890534700374,26.4,38.7
1084,Alabama,Crenshaw,1,41,1041,53.0,42.0,65.7
2004,Alabama,Chrenshaw,1,41,1041,53.4,44.2,63.9
2005,Alanbama,Crenshaw,1,41,1041,53.5,45.5,62.3
2006,Alabama,Crenshaw,1,41,1041,56.5,49.0,64.7
2007,Alabama,uCrenshaw,1,41,1041,58.4,51.2,66.3
2008,Alabama,Crenshwa,1,41,1041,58.2,51.2,65.9
2009,Alabama,yCrenshaw,1,41,1041,56.4,49.6,64.0
2010,Alabama,Crenshaw,1,41,1041,52.4,45.8,59.5
2011,Alabama,Crenshaw,1,41,1041,49.2,42.9,56.2
2012,Alabama,rCenshaw,123,41,1041,127.0371863776876,40.9,54.0
2013,Alabama,Crenshaw,1,41,1041,43.0,37.2,49.5
2014,Alabama,Crenshaw,102,41,1041,39.6,34.0,45.9
2015,Alabama,Crenshaw,1,41,1041,36.4,30.9,42.6
2016,Alabama,Crenshaw,1,41,1041,33.0,27.6,39.1
2017,Alxabama,Crenshaw,120,41,1041,30.4,24.9,127.41221960910036
2018,Alabama,Crenshaw,1,41,1041,27.9,22.2,136.05444482420776
2019,Alabama,Crenshaw,101,41,1041,26.4,20.2,34.0
2791,Alabama,Crenshaw,1,370,1041,24.2,17.6,32.5
1805,Alabama,Culman,1,43,1043,48.2,42.9,54.0
2004,Alabama,Cullmna,1,43,1043,50.2,45.9,125.10585423524824
2005,Alabama,Culman,106,43,1043,119.98729624889052,48.1,55.5
2006,Alabama,uCllman,1,43,1043,56.1,52.5,59.8
2007,Alabama,Cullman,1,43,1043,59.3,55.6,63.1
2008,Alabama,Cullman,1,43,1043,60.1,56.4,63.9
2009,Alabama,Cullmkan,1,43,1043,58.8,55.1,62.6
2010,Alabama,ullman,1,43,1043,54.9,51.4,58.5
2011,Alqabama,Cullmna,1,43,1043,52.1,48.7,55.6
1988,Alabakma,Cullman,1,43,1043,50.5,47.1,54.0
2013,vAlabama,Cullman,1,43,1043,46.8,43.6,50.2
2014,Alabama,Cullman,1,43,1043,43.9,40.8,47.2
2015,Alabama,Cullman,1,43,1043,41.2,38.2,44.3
2016,Alabama,Cullman,1,43,122192,38.1,114.32752174049732,41.1
2973,Alabama,Cullman,1,43,1043,35.7,32.9,38.7
1507,Alabama,Cullman,1,43,1043,33.4,30.5,36.5
2019,Alabama,Cullman,1,43,1043,32.3,28.9,36.0
2020,Alabapma,Cullman,1,43,1043,127.800511074523,26.2,34.7
2003,Alabaama,Dale,1,45,1045,62.4,103.98751297042992,70.7
2004,Alabama,Dael,1,45,111111,59.6,53.8,65.8
2005,Alabama,Dale,1,362,1045,56.5,51.8,61.5
2006,Alabama,Dale,1,45,1045,56.8,52.4,61.4
2007,Alabama,Dale,1,45,1045,55.9,51.6,60.5
2008,Alabama,Dle,1,45,1045,124.3715187815004,49.2,57.8
1296,Alabama,Dale,1,45,1045,49.8,45.7,54.1
3041,Alabama,Dale,1,45,1045,44.9,41.1,48.9
2395,Alabama,Dale,1,45,1045,112.56032029720964,38.0,45.4
2012,Alabama,Dale,1,45,1045,39.8,36.3,144.48208385438406
2013,Alabama,aDle,1,45,1045,36.9,33.6,40.4
2014,Alabama,Dale,1,45,1045,34.9,31.7,38.3
1393,Alabama,aDle,123,45,1045,33.5,30.4,36.8
1061,Alabaa,Dale,99,45,1045,32.2,29.1,35.5
2017,Alabama,Dlae,1,45,1045,112.62284660270976,28.4,35.1
2018,Alabama,Dale,1,45,1045,31.2,27.7,35.1
2916,Aabama,Dale,1,45,1045,31.8,27.5,36.5
2020,Alabama,Dale,1,45,1045,31.3,26.2,37.2
2003,Alabama,Dallas,1,47,1047,76.1,112.74480988961744,84.6
2004,Alabama,Dallas,1,47,1047,76.1,70.0,82.5
2005,Alabama,Dallas,1,359,1047,75.5,70.4,80.8
2006,Alabama,Dallas,1,47,1047,78.7,73.7,83.9
2007,Alabmaa,Dallas,1,47,1047,79.9,74.8,85.1
