OBJECTID,ZCTA5CE10,ALAND10,County,GlobalID,INTPTLON10_1,ID,Zip,Visits_Age_0_to_17
78,48304,29280740,,a95034bc-aa4a-446d-8abe-8d975bac3a9a,-083.2331516,,,
79,48348,85808148,,7396e6a8-cfc8-434b-bbaa-b9d69760dd4a,-083.4038752,,,
80,48346,46526882,,1b303a91-1856-404c-9ec9-b40eb1c5ded7,-083.4289043,42,48346,2
81,48237,13341572,,676d4909-9904-4b3a-8b41-64dc63a43ff0,-083.1824197,30,48237,4
82,48025,20795336,,f0771c96-89f1-4698-a4d2-835c3a22cfbc,-083.2648239,,,
83,48017,5683647,,4431259e-64e6-48e7-bbf9-f980341b1226,-083.1503605,,,
84,48005,94471583,,5988a8de-6f4f-4242-af77-e967ee998055,-082.9238283,,,
85,48211,10848548,Wayne,7b2e7a86-d919-47f4-b06d-9ed2d727aacc,-083.0457331,78,48211,8
86,48120,8253572,Wayne,d9d0de36-ccc8-430b-9dfb-36f15ca6bcf6,-083.1762109,50,48120,2
87,48201,5193540,Wayne,3b54934b-134d-445e-b04f-0d51898c4fe5,-083.0601841,,,
88,48127,19924557,Wayne,e68a16cd-c1db-4716-acba-8128384847bd,-083.2832964,54,48127,3
89,48442,221106779,,b5d57638-bbf5-4257-8182-fa37870cf4e3,-083.6061018,,,
90,48314,19963757,,90824e5d-230b-4000-8294-884f0f1c9a24,-083.0534892,17,48314,3
91,48038,28395064,,c210a950-18fd-43fb-87eb-3fdbe5cfd802,-082.9375883,,,
92,48026,10725535,,58c58771-a916-475b-8372-c7cf065073d5,-082.9467415,2,48026,1
93,48386,43311680,,2194884a-fae3-4285-84b2-48e9adea9476,-083.4802806,,,
94,48326,44779600,,9b702d8f-f123-4aca-a6c4-854ef301c975,-083.2440754,,,
95,48390,32461268,,d6d0771b-41a6-48c8-9501-2be476c0360e,-083.4742179,46,48390,4
96,48374,23521854,,19044409-2b29-4b68-95fd-def7e9580d16,-083.5228625,,,
97,48377,24977248,,cef24d39-4403-4788-ae08-1e54f6900cce,-083.4741625,,,
98,48342,14852162,,0d5d56be-7921-4fd6-94dd-b59a9e8a4ff1,-083.2734150,41,48342,2
99,48327,29357542,,84efcb10-2dc7-431b-8f87-281c79b3d2ba,-083.4099874,35,48327,2
100,48367,60738183,,05ef7845-5229-49f0-8cb7-700d77465104,-083.1369016,,,
101,48204,12980500,Wayne,bb524c4d-2c99-4396-ba1f-fdf9c4281fd1,-083.1429352,,,
103,48141,16194528,Wayne,dabd1bab-0992-441d-85e4-50ca449d21eb,-083.3198665,57,48141,14
106,48243,42722,Wayne,e9cfc089-6ba7-40f2-99e7-53fe709929f2,-083.0395060,,,
107,48186,21391213,Wayne,96df6440-9164-401d-b5be-dc9c7a490460,-083.3707389,64,48186,8
108,48226,3197600,Wayne,2602ecbf-6b75-40f5-8127-bd7604980c5c,-083.0502670,90,48226,1
109,48462,123305612,,e8aa9bc5-bad6-4636-b5d2-8d394f9e127d,-083.4216680,,,
110,48066,25516402,,9fd29491-f40a-4f64-b966-76575af6c0bc,-082.9365822,10,48066,4
111,48310,21908557,,7a300c87-fa31-4341-8a72-b90dba3c323d,-083.0683965,15,48310,2
112,48092,21213730,,db1adbf0-d432-4c76-8841-8f413811322f,-083.0589380,13,48092,2
113,48051,39007428,,3a425a5a-acec-4b35-998c-bb6131a4b1ba,-082.8210012,,,
115,48370,30968042,,9354ed37-ca67-42b5-b3cd-509a8deb4198,-083.2003646,,,
116,48307,39752809,,51145716-2a24-47cd-936e-06d1dfa87a5f,-083.1226790,32,48307,1
117,48382,42605404,,2f965df3-0881-4602-94dc-be9a437e2869,-083.5071571,,,
118,48336,23545178,,a1ac77a2-0bda-4b72-91fb-1be20e66070b,-083.3472697,38,48336,3
119,48334,23280642,,f443e147-d37e-49ea-aa4c-4b0f02239dcb,-083.3492034,,,
120,48030,7297399,,81612a65-32c0-49e6-a1e4-32847ca19a26,-083.0976891,20,48030,2
121,48324,22267787,,63ab9842-109c-45e8-a215-13abafeed27b,-083.3924626,34,48324,2
122,48362,25688754,,8cb91544-0bfc-4740-8bfd-5eda0db86a73,-083.2703389,,,
123,48350,61607645,,b9ea3d41-0927-419a-ae58-a22980e3996c,-083.5310441,,,
124,48084,16008059,,9cf7c1bd-b3b7-4225-8db5-a542b0fda328,-083.1757059,,,
125,48072,6220197,,31452052-dd2a-4438-9f7a-0f724c50abb5,-083.1858587,25,48072,6
126,48009,13084514,,1b8d7bde-5d5f-426a-9b2b-81559d4e87cf,-083.2176527,,,
127,48168,52837702,Wayne,b199b854-da5f-4580-bd31-e16c136b45b7,-083.5404983,,,
128,48170,88448610,Wayne,704939b5-e6dc-4163-ba16-2f9f9e92804f,-083.5343063,,,
129,48224,14852847,Wayne,5e09560c-b06d-4f05-bed2-67d1fc760cbb,-082.9412646,88,48224,29
130,48209,17501605,Wayne,003e9011-2b2a-4b6b-97b5-5ac21c65cb59,-083.1168627,76,48209,3
131,48212,13854094,Wayne,330367d4-b516-4eff-9501-8160a6127c33,-083.0563945,79,48212,5
132,48239,25193320,Wayne,4f518163-70b5-475f-acbb-452fc4aab662,-083.2831741,97,48239,4
133,48093,14641248,,2e9c1964-31fb-4b39-b5a0-dbec9cb55c36,-083.0164831,,,
134,48042,58854197,,106bb606-4cc5-43ac-b28d-c47f5e354fac,-082.9079746,,,
135,48080,11325638,,35314ab0-0367-4f99-a901-800de01ccf27,-082.8961751,,,
136,48095,43806880,,ad3ca237-1909-4b05-aae0-84dcde37cf8c,-083.0480700,,,
137,48306,58870695,,fdbcdba1-cdf3-4841-af5c-fb4a4f8a65ee,-083.1473059,,,
138,48071,18374593,,9b6303b1-e5a6-47db-8327-797eec0a321a,-083.1033699,24,48071,2
139,48375,22224685,,98473b6a-9c33-491e-81d2-619e059ea0f6,-083.4639580,,,
140,48067,11888903,,b7479054-68b1-4a9f-af14-92fe2f8688a2,-083.1375244,23,48067,3
141,48034,11188519,,73e50e2e-0683-4949-8eaf-deb64bb72d95,-083.2910783,22,48034,1
142,48033,23215673,,b09e3fb2-246e-4331-a834-05278ff144de,-083.2932048,21,48033,4
143,48075,19155677,,937943a6-79d5-4cd9-b32a-11cafc6c778f,-083.2303980,26,48075,3
144,48085,24113159,,2703b8c5-5ca9-44c5-8473-ca691cd6aebe,-083.1221110,28,48085,2
145,48322,30447134,,86175128-1cc7-4870-8434-7bd4650e1e25,-083.3817212,,,
146,48069,1396492,,c86acd88-d8a0-4689-ae5b-d9fad85f8192,-083.1443317,,,
147,48206,8095663,Wayne,790530a5-9579-413e-95fb-a36d877a851e,-083.1078968,73,48206,8
148,48135,15198077,Wayne,7514461a-680f-491b-8590-9d012871cbec,-083.3412117,56,48135,4
149,48150,31043463,Wayne,9cefefca-af2d-49b4-9fb4-09f9fac844cf,-083.3767879,,,
150,48152,31368242,Wayne,c23134a7-1a69-456d-acb4-b90aeea2844d,-083.3742642,,,
152,48238,13974835,Wayne,99174fa1-1a84-46f4-9f50-2bfba08f62d3,-083.1413516,96,48238,25
153,48122,7055271,Wayne,6295e93a-c3d6-4d02-b06b-50ab8f20262e,-083.1825893,,,
154,48021,13253190,,995b5779-0e70-480e-9653-cdae684d0b2b,-082.9463410,1,48021,6
155,48035,22772757,,010b2ec2-7e30-4bbd-aaca-615ebf8730b7,-082.9075891,3,48035,3
156,48044,34968458,,fe7149a5-5ef6-42a5-a606-343863ad66e9,-082.9289054,,,
157,48094,45382986,,981bc210-737c-45f5-9ac7-52688a6d311d,-083.0374907,14,48094,4
158,48089,20623879,,1f896adb-bb72-4ee9-85d3-2aa3a11de60b,-082.9938568,11,48089,12
159,48065,96830565,,638398df-3ff5-42f9-9203-3e038592cca6,-083.0392897,9,48065,1
160,48050,48119193,,321b10a8-69a5-4274-9b1b-b2364af81466,-082.7994673,,,
161,48015,4424023,,a2f708e2-2e1b-461d-bccf-060854cf63bd,-083.0271494,,,
162,48082,8542622,,2cb1bcb0-7722-42de-9738-61eda63a04c5,-082.8871955,,,
163,48323,22625294,,d13f8fb2-8242-41a4-ac39-a7652178ab39,-083.3779085,,,
164,48098,24324089,,71d93152-8ac8-499d-90f3-2f6c96f2616c,-083.1784500,,,
165,48381,51852337,,0e79e645-5d8d-4032-ba81-95e667024432,-083.5917929,,,
166,48234,20288109,Wayne,7df37a89-0454-4cb2-ade3-46bc0d21f806,-083.0395007,94,48234,16
167,48210,13057914,Wayne,f0a4b506-83d2-4922-b688-5e73b40bdd75,-083.1283313,77,48210,3
168,48202,8616314,Wayne,58079008-66f7-45d8-b480-017c7661207b,-083.0777179,70,48202,5
169,48235,16189821,Wayne,315fc2a7-dd60-45cb-9aba-cece9742fb52,-083.1948030,95,48235,13
170,48124,22934067,Wayne,3b735fc1-58be-4e63-b8af-f3850269abce,-083.2476095,51,48124,2
172,48154,30085171,Wayne,d7053496-6cea-400b-b8c8-55bb378b88c2,-083.3723195,,,
173,48240,9695508,Wayne,0626946e-845b-4a8f-b6e6-0ec0cebe38df,-083.3013004,98,48240,2
174,48125,10489268,Wayne,ce6ee72b-df73-49cd-b70e-43f862d968fd,-083.2648321,52,48125,7
