Grant Number,Grant Type,First name,Middle name,Last name,Institution,City,State,Postal Code,Country,Commission Date,Year Awarded,Project Title,Program,Division,Grant Amount Approved,Final Grant Award,Grant Start Date,Grant End Date,Project Description
RC-10256-16,O,Frederick,S.,Previts,Ohio Historical Society,Columbus,OH,43211-2497,USA,11/1/2015,2016,Ohio Board Programming Grant,State Board Programs,Records,"$23,361 ","$23,361 ",1/1/2016,12/31/2016,"To support a one-year project to facilitate the implementation of its strategic plan for 2015-2017. The Ohio Historical Records Advisory Board will sponsor an awards program, administer a regrant program, and offer a webinar on applying for NHPRC grants."
PD-50012-16,O,Holly,C.,Shulman,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,11/1/2015,2016,Dolley Madison Digital Edition,Publishing Historical Records-PD,Publications,"$45,183 ","$45,183 ",7/1/2016,6/30/2017,"To support a project to edit the Dolley Madison Digital Edition, volumes 10 (1848) and 11 (1849)."
RC-10269-16,O,John,,Dougan,Missouri Office of the Secretary of State,Jefferson City,MO,65101,USA,11/1/2015,2016,Missouri Board Programming Grant,State Board Programs,Records,"$11,853 ","$11,853 ",1/1/2016,12/31/2016,"To support one-year project at the Missouri Historical Records Advisory Board to offer introductory-level best practices workshops on disaster preparedness and reference services, distribute an informational poster on disaster preparedness best practices, sponsor an oral history workshop, and create a new plan of work for board activities through 2018."
RC-10273-16,O,David,,Matte,Idaho State Historical Society,Boise,ID,83712-8250,USA,11/1/2015,2017,Idaho Board Programming Grant,State Board Programs,Records,"$17,350 ","$17,350 ",1/1/2016,12/31/2016,To support a one-year project of the Idaho Historical Records Advisory Board to award regrant funding and offer an outreach program aimed at increasing citizen engagement.
PD-50009-16,O,John,P.,Kaminski,University of Wisconsin,Madison,WI,53715-1218,USA,11/1/2015,2016,The Documentary History of the Ratification of the Constitution and the Adoption of the Bill of Rights,Publishing Historical Records-PD,Publications,"$149,725 ","$149,725 ",1/1/2016,12/31/2016,"To support a project to edit The Documentary History of the Ratification of the Constitution, to publish a combined volume on New Hampshire and Vermont’s ratification and one on South Carolina and to commence work on the final two volumes in the series devoted to North Carolina’s ratification."
RC-10266-16,O,Rebecca,L.,Wendt,Friends of California Archives,Sacramento,CA,95814-5704,USA,11/1/2015,2016,California Board Programming Grant,State Board Programs,Records,"$22,050 ","$22,050 ",1/1/2016,12/31/2016,To support a two-year project at the California Historical Records Advisory Board to develop curriculum for training archivists about project management and to conduct a survey to identify the needs of the state’s archival repositories.
RH-50188-16,O,Angela,I.,Fritz,"University of Arkansas, Fayetteville",Fayetteville,AR,72701,USA,11/1/2015,2016,Seeing Red: James D. Bales and the Southern Red Scare,Access to Historical Records,Records,"$73,989 ","$73,989 ",4/1/2016,9/30/2017,"To support Seeing Red: James D. Bales and the Southern Red Scare, an 18 month project to arrange, describe, re-house, and make accessible the papers of James D. Bales, comprising 435 linear feet of materials that document the history of American conservatism and the anti-Communist education movement in the post-WWII era."
RH-50204-16,O,Madeleine,,Thompson,Wildlife Conservation Society,Bronx,NY,10460-1068,USA,11/1/2015,2016,Promoting Access to Key WCS Archives Collections,Access to Historical Records,Records,"$60,237 ","$60,237 ",6/1/2016,6/30/2017,To support a project to arrange and describe 13 collections (approximately 191.25 linear feet) that document the mid-20th century environmental and wildlife conservation movements and the developing field of animal care in zoos and aquariums.
RC-10264-16,O,Chelle,,Somsen,South Dakota Department of Education,Pierre,SD,57501-2217,USA,11/1/2015,2016,South Dakota Board Programming Grant,State Board Programs,Records,"$7,932 ","$7,932 ",3/1/2016,2/28/2017,"To support a one-year project to advance the South Dakota Historical Records Advisory Board’s ongoing efforts to increase access to the state’s historical records, encourage education and awareness regarding archival issues, and identify records that are at risk."
RH-50190-16,O,Michelle,,Light,"University of Nevada, Las Vegas",Las Vegas,NV,89154-1055,USA,11/1/2015,2016,America’s Great Gamble: A Project to Promote the Discovery of Sources About the Expansion of Legalized Gambling Across the US,Access to Historical Records,Records,"$129,600 ","$129,600 ",4/1/2016,9/30/2017,"To support America's Great Gamble, a two-year project to process and make accessible three of its unprocessed collections, comprising 359 linear feet of materials that document the contemporary history of legalized gambling in the United States."
RH-50202-16,O,Amy,,Rushing,"University of Texas, San Antonio",San Antonio,TX,78249,USA,11/1/2015,2016,Su Voto Es Su Voz: Documenting Democracy Through the Records of the Southwest Voters Registration Education Project,Access to Historical Records,Records,"$145,650 ","$145,650 ",3/1/2016,8/31/2017,"To support Su Voto Es Su Voz: Documenting Democracy Through the Records of the Southwest Voters Registration Education Project, to process 500 linear feet of textual records and to reformat 154 pieces of audiovisual material."
RH-50209-16,O,Lee,,Boulie,"Country Music Foundation, Inc.",Nashville,TN,37203-4206,USA,11/1/2015,2016,Conserving and Digitizing Rare Transcription Discs in the Bob Pinson Recorded Sound Collection,Access to Historical Records,Records,"$114,069 ","$114,069 ",1/1/2016,12/31/2017,"To support Conserving and Digitizing Rare Transcription Discs in the Bob Pinson Recorded Sound Collection, a two-year project to preserve, digitize, and make available online approximately 700 rare transcription discs recorded from the 1930s until the 1960s that were recorded for industry personnel, as proof for radio advertising, or for auditions by performers."
PE-50003-15,O,John,R.,Kaufman-McKivigan,Indiana University-Purdue University at Indianapolis,Indianapolis,IN,46202,USA,5/1/2015,2015,The Frederick Douglass Papers Project,Publishing Historical Records-PE,Publications,"$62,546 ","$62,546 ",7/1/2015,6/30/2016,To support a project to edit the Frederick Douglass Papers and provide digital access to out-of-print volumes online.
PE-50015-15,O,Christopher,,Brick,George Washington University,Washington,DC,20052-0001,USA,5/1/2015,2015,Eleanor Roosevelt Papers,Publishing Historical Records-PE,Publications,"$182,813 ","$182,813 ",6/1/2015,6/30/2016,"To support a project to edit volumes 3-5 of the Eleanor Roosevelt Papers print edition, and to prepare an electronic edition focused on Eleanor Roosevelt’s career in broadcast journalism."
PE-50013-15,O,Esther,,Katz,New York University,New York,NY,10012-1018,USA,5/1/2015,2015,Margaret Sanger Papers Project,Publishing Historical Records-PE,Publications,"$52,368 ","$52,368 ",7/1/2015,6/30/2016,To support a project to complete the final volume of the Selected Papers of Margaret Sanger and to continue preparation of the Speeches and Articles of Margaret Sanger digital edition.
PE-50002-15,O,Daniel,W.,Stowell,Illinois Historic Preservation Agency,Springfield,IL,62701-1507,USA,5/1/2015,2015,The Papers of Abraham Lincoln,Publishing Historical Records-PE,Publications,"$96,830 ","$96,830 ",7/1/2015,6/30/2016,To support a project to edit and publish an electronic edition of the Papers of Abraham Lincoln. The focus of this grant is on Lincoln’s pre-Presidential papers.
PE-50014-15,O,Paul,B,Israel,"Rutgers, The State University of New Jersey",New Brunswick,NJ,08901-8559,USA,5/1/2015,2015,Thomas A. Edison Papers,Publishing Historical Records-PE,Publications,"$90,320 ","$90,320 ",7/1/2015,6/30/2016,"To support a project to edit the Papers of Thomas A. Edison, including work on the project’s online image edition, and volume 9 of the print edition, covering the years 1920-1931."
PE-50006-15,O,Daniel,M.,Feller,University of Tennessee,Knoxville,TN,37996-1529,USA,5/1/2015,2015,The Papers of Andrew Jackson,Publishing Historical Records-PE,Publications,"$105,000 ","$105,000 ",9/1/2015,8/31/2016,"To support a project to edit two volumes of the Papers of Andrew Jackson, which will document Jackson’s presidency in 1832 and 1833."
PE-50009-15,O,Ernest,,Freeburg,University of Tennessee,Knoxville,TN,37996-1529,USA,5/1/2015,2015,The Correspondence of James K. Polk,Publishing Historical Records-PE,Publications,"$47,440 ","$47,440 ",9/1/2015,8/31/2016,To support a project to edit and digitally publish the final volume of the Correspondence of James K. Polk.
RH-50175-15,O,Zaheer,,Ali,Brooklyn Historical Society,Brooklyn,NY,11201-2711,USA,5/1/2015,2015,Voices of Generations: Investigating Brooklyn's Cultural Identity,Access to Historical Records,Records,"$106,186 ","$106,186 ",8/1/2015,1/31/2017,"To support “Voices of Generations: Investigating Brooklyn’s Cultural Identity,” an 18-month project to process and digitize 525 oral histories from 10 collections that document different ethnic and cultural groups in the borough of Brooklyn."
RG-50003-15,O,Helmut,M.,Knies,State Historical Society of Wisconsin,Madison,WI,53706,USA,5/1/2015,2015,Wisconsin State Preservation of Electronic Records Project,State Government Electronic Records,Records,"$166,667 ","$166,667 ",10/1/2015,9/30/2018,"To support Wisconsin State Preservation of Electronic Records, a project to implement a sustainable electronic records workflow and transfer management system in select state agencies."
DL-10011-15,O,Rachel,,Vagts,Berea College,Berea,KY,40404,USA,5/1/2015,2015,Archives Leadership Institute at Berea College,Archives Leadership Institute,Professional Development,"$243,954 ","$243,954 ",8/1/2015,7/31/2018,"To support three years of the Archives Leadership Institute. The institute, to be known as ALI@Berea, draws on the project director and steering committee's experience leading the Institute at Luther College."
RD-10186-15,O,Nadia,,Ghasedi,Washington University,St. Louis,MO,63130-4899,USA,5/1/2015,2015,Eyes on the Prize Interview Digitization and Reassembly Project,DDAC,Records,"$150,000 ","$150,000 ",10/1/2015,9/30/2016,"To support the “Eyes on the Prize Interview Digitization and Reassembly Project,” to make available approximately 95 hours of previously inaccessible interview footage created for the award-winning documentary series on America’s Civil Rights Years, 1954-1965."
PE-50012-15,O,Leslie,S.,Rowland,"University of Maryland, College Park",College Park,MD,20742,USA,5/1/2015,2015,Freedmen and Southern Society Project,Publishing Historical Records-PE,Publications,"$118,700 ","$118,700 ",8/1/2015,7/31/2016,"To support a project to edit two volumes of the Freedmen and Southern Society papers, focusing respectively on law and justice and family and kinship."
RG-50005-15,O,Kelly,Anderson,Eubank,North Carolina Department of Cultural Resources,Raleigh,NC,27699-4601,USA,5/1/2015,2015,Transforming Online Mail with Embedded Semantics,State Government Electronic Records,Records,"$199,999 ","$199,999 ",10/1/2015,9/30/2018,"To support TOMES (Transforming Online Mail with Embedded Semantics), in partnership with the state archives in Kansas and Utah, a project at the State Archives of North Carolina to develop tools for preservation and processing of email, including transformation from native formats to XML and appraisal using natural language processing."
PE-50011-15,O,Clayborne,,Carson,Stanford University,Stanford,CA,94305,USA,5/1/2015,2015,"Martin Luther King, Jr., Papers Project",Publishing Historical Records-PE,Publications,"$81,110 ","$81,110 ",7/1/2015,6/30/2016,"To support a project to edit two volumes of the Martin Luther King, Jr., Papers, documenting the period from September 1962 through 1964."
DH-50013-15,O,Paul,,Quigley,Virginia Polytechnic Institute and State University,Blacksburg,VA,24060,USA,5/1/2015,2015,Mapping the Fourth of July in the American Civil War Era: A Crowdsourced Digital Archive,Literacy and Engagement,Professional Development,"$74,224 ","$74,224 ",7/1/2015,6/30/2017,"To support “Mapping the Fourth of July in the American Civil War Era: A Crowdsourced Digital Archive,” a project to use a variety of primary sources to build a website through which college and high school students, Civil War enthusiasts, and the general public can analyze and discuss how different regions celebrated the Fourth of July during the Civil War."
PE-50008-15,O,Marc,J.,Selverstone,The Rector and Visitors of the University of Virginia,Charlottesville,VA,22903-4833,USA,5/1/2015,2015,Miller Center - Presidential Recordings,Publishing Historical Records-PE,Publications,"$87,750 ","$87,750 ",7/1/2015,6/30/2016,"To support a project to edit the Presidential Recordings from the Oval Office, with a focus on selected recordings from the Johnson and Nixon tapes."
PE-50017-15,O,Susie,Lan,Cassel,University Auxiliary and Research Services Corporation,San Marcos,CA,92078-4362,USA,5/1/2015,2015,The Ah Quin Diary Project,Publishing Historical Records-PE,Publications,"$54,669 ","$54,669 ",1/1/2016,12/31/2016,"To support a project to edit the Ah Quin Diary, the earliest known English-language manuscript written by a Chinese immigrant to the United States."
RC-10240-15,O,Jim,,Corridan,Indiana Commission on Public Records,Indianapolis,IN,46204-2744,USA,5/1/2015,2015,Indiana Board Programming Grant,State Board Programs,Records,"$28,400 ","$28,400 ",1/1/2016,12/31/2016,"To support a personal digital archives workshop, an Electronic Records Day event, a statewide roundtable on digital government, and a regrant program for digitizing records and making them available online."
RG-50006-15,O,John,,Dougan,Missouri Office of the Secretary of State,Jefferson City,MO,65101,USA,5/1/2015,2015,State of Missouri Records Services Division Electronic Records,State Government Electronic Records,Records,"$31,690 ","$31,690 ",7/1/2015,6/30/2017,To support a two-year project to test a mechanism for transferring electronic records to the Missouri State Archives from select partner agencies.
RD-10180-15,O,Heather,,Gilbert,College of Charleston,Charleston,SC,294241407,USA,5/1/2015,2015,Digitizing Twentieth Century Civil Rights Collections from the Avery Research Center for African American History and Culture,DDAC,Records,"$81,725 ","$81,725 ",10/1/2015,3/31/2017,"To support the “Digitizing 20th Century Civil Rights Collections Project” from the Avery Research Center for African American History and Culture, an 18-month project to digitize approximately 93,600 pages from 16 collections documenting the history of the 20th century civil rights activism in Charleston and the surrounding Lowcountry region."
PE-50010-15,O,Ed,,Folsom,University of Iowa,Iowa City,IA,52242,USA,5/1/2015,2015,"Walt Whitman and Post-Reconstruction America, Part 4",Publishing Historical Records-PE,Publications,"$58,070 ","$58,070 ",8/1/2015,7/31/2016,To support a project to prepare “Walt Whitman and Post-Reconstruction America” as part of the online Walt Whitman Archive.
PE-50001-15,O,John,F.,Marszalek,Ulysses S. Grant Association,Starkville,MS,39759,USA,5/1/2015,2015,The Papers and Memoirs of Ulysses S. Grant,Publishing Historical Records-PE,Publications,"$43,490 ","$43,490 ",7/1/2015,6/30/2016,To support a project to prepare a scholarly edition of Grant’s Memoirs and complete the comprehensive edition of the Papers of Ulysses S. Grant.
RC-10244-15,O,Mark,E.,Harvey,Michigan Department of Natural Resources and Environment,Lansing,MI,48933,USA,5/1/2015,2015,Michigan Board Programming Grant,State Board Programs,Records,"$10,000 ","$10,000 ",3/1/2015,2/28/2017,To support a demonstration regrant program focusing on increasing the level of online descriptive information available for the state’s records.
RD-10171-15,O,Kathryn,E. S.,Michaelis,"Georgia State University Research Foundation, Inc.",Atlanta,GA,30303-1213,USA,5/1/2015,2015,The Uprising of 34 Oral History Digitization Project,DDAC,Records,"$121,418 ","$121,418 ",8/1/2015,1/31/2017,"To support the “Uprising of '34 Oral History Digitization Project,” an 18-month project at the Southern Labor Archives to digitize 292 hours of audio and video oral history interviews documenting the textile mill strikes of 1934, one of the largest labor strikes in U.S. History."
RH-50161-15,O,Tanisha,,Jones,"New York Public Library - Astor, Lenox and Tilden Foundations",New York,NY,10016-0133,USA,5/1/2015,2015,Digital Preservation and Access of U-matic Dance Recordings,Access to Historical Records,Records,"$121,410 ","$121,410 ",10/1/2015,9/30/2017,"To support a two-year project to digitize, preserve, and make available U-matic videotapes of original dance documentation from nearly every major American choreographer, company, and style from the 1960s to the present in the Jerome Robbins Dance Division’s Archive of the Recorded Moving Image."
PE-50005-15,O,Stephen,,Rice,Ramapo College of New Jersey,Mahwah,NJ,07430-1623,USA,5/1/2015,2015,The Jane Addams Papers Project,Publishing Historical Records-PE,Publications,"$80,382 ","$80,382 ",9/1/2015,8/31/2016,"To support a newly reconstituted project to edit the Papers of Jane Addams, which aims to provide both print and digital access to the post-1901 papers of this leading social reformer and activist."
DH-50003-15,O,Diane,,Weaver Dunne,"Connecticut Radio Information Systems, Inc.",Windsor,CT,06095-4557,USA,5/1/2015,2015,Literacy and Engagement Project,Literacy and Engagement,Professional Development,"$67,047 ","$67,047 ",7/1/2015,12/31/2016,"To support an 18-month project, in partnership with the IDEAL Group and the Connecticut State Library, to improve access to selected World War I documents for those with print disabilities. Podcasts of narrations will be created and a suite of tools designed to convert source materials into Americans with Disabilities Act-compliant formats and improve accessibility through knowledge mining."
DH-50007-15,O,Margaret,,Orelup,Keene State College,Keene,NH,03435-3510,USA,5/1/2015,2015,Citizen Archivists Initiative,Literacy and Engagement,Professional Development,"$44,601 ","$44,601 ",7/1/2015,6/30/2017,"To support a Citizen Archivist Initiative, in collaboration with the Historical Society of Cheshire County and Keene High School, a two-year project to place 300-500 18th- and 19th-century documents online and teach students and the public to read, interpret, and transcribe them."
DH-50018-15,O,Mario,,Einaudi,Henry E. Huntington Library & Art Gallery,San Marino,CA,91108-1218,USA,5/1/2015,2015,Decoding the Civil War:  Engaging the Public with 19th Century Technology & Cryptography through Crowdsourcing,Literacy and Engagement,Professional Development,"$107,982 ","$107,982 ",7/1/2015,6/30/2017,"To support in partnership with the Abraham Lincoln Presidential Library and Museum, North Carolina State University, and Zooniverse, “Decoding the Civil War: Engaging the Public with 19th Century Technology and Cryptology through Crowdsourcing,” a two-year project to transcribe and decode Civil War military telegrams through crowdsourcing for online access and develop lesson plans for high school students to learn about primary sources from the telegrams."
PE-50007-15,O,Patrick,,Lewis,Kentucky Historical Society,Frankfort,KY,40601-1931,,5/1/2015,2015,Civil War Governors of Kentucky Digital Documentary Edition,Publishing Historical Records-PE,Publications,"$62,400 ","$62,400 ",10/1/2015,9/30/2016,To support a project to edit the Civil War Governors of Kentucky Digital Documentary Edition.
RG-50004-15,O,Beth,,Shields,"Kentucky Arts, Education & Humanities Cabinet",Franklin,KY,406020537,,5/1/2015,2015,"Kentucky State Archives Digital Repository: Leadership in Preservation, Access, and Training (L-PAT)",State Government Electronic Records,Records,"$200,000 ","$200,000 ",10/1/2015,9/30/2017,"To support the Kentucky State Archives Digital Repository: Leadership in Preservation, Access, and Training, a project to make electronic records accessible online; improve workflows for the ingest of born-digital records; improve video/audio preservation and access; provide training for Kentucky government officials and repository users; and provide training to archives and records management programs in other states and territories."
PE-50004-15,O,Denton,L.,Watson,"Research Foundation for State Univ of New York, Old Westbury",Albany,NY,12201-0009,,5/1/2015,2015,"The Papers of Clarence Mitchell, Jr.",Publishing Historical Records-PE,Publications,"$52,030 ","$52,030 ",9/1/2015,8/31/2016,"To support a project to edit volumes 5-7 of the Papers of Clarence Mitchell, Jr. Mitchell served as the NAACP’s chief congressional lobbyist from 1950 to 1978."
PD-50008-15,O,Charlene,B.,Bickford,George Washington University,Washington,DC,20052-0001,USA,1/1/2015,2015,First Federal Congress Project,Publishing Historical Records-PD,Publications,"$152,582 ","$152,582 ",1/1/2015,12/31/2015,"To support a project to edit The Documentary History of the First Federal Congress, Vols. 21-22 (1790-1791, and Supplemental Materials)."
PD-50002-15,O,Sean,,Quimby,"Columbia University in the City of New York, Trustees of",New York,NY,10027-6900,USA,1/1/2015,2015,The Selected Papers of John Jay,Publishing Historical Records-PD,Publications,"$109,536 ","$109,536 ",7/1/2015,6/30/2016,"To support a project to edit The Selected Papers of John Jay, Vols. 4-6 (1784-1829)."
PD-50001-15,O,Ellen,R.,Cohn,Yale University,New Haven,CT,06511-6614,USA,1/1/2015,2015,The Papers of Benjamin Franklin,Publishing Historical Records-PD,Publications,"$154,894 ","$154,894 ",7/1/2015,6/30/2016,"To support a project to edit The Papers of Benjamin Franklin, Vols. 42-44 (1784-1785)"
PD-50003-15,O,Sara,,Martin,Massachusetts Historical Society,Boston,MA,2215,USA,1/1/2015,2015,The Adams Papers,Publishing Historical Records-PD,Publications,"$133,388 ","$133,388 ",7/1/2015,6/30/2016,"To support a project to edit The Papers of John Adams, Vols. 18-19 (1785-1788) and The Adams Family Correspondence, Vol. 13 (1798-1799)."
PQ-50004-15,O,Mark,,Saunders,University of Virginia,Charlottesville,VA,22903,USA,1/1/2015,2015,The Founders Online - Published Volumes,Cooperative Agreements,Publications,"$167,529 ","$167,529 ",10/1/2014,9/30/2015,"The National Archives, through its National Historical Publications and Records Commission (NHPRC), has entered into a cooperative agreement with The University of Virginia Press to create Founders Online, www.founders.archives.gov.  This site makes freely available online the historical documents of the Founders of the United States of America.  Through this website, users will be able to read and search through thousands of records from George Washington, Benjamin Franklin, Alexander Hamilton, John Adams, Thomas Jefferson, and James Madison and see firsthand the growth of democracy and the birth of the Republic. Scholars have collected from archives across the country and around the world copies of the original 18th- and 19th-century documents, transcribed them, provided annotations, and produced hundreds of books. These transcripts and annotations will be searchable in multiple ways."
RC-10236-15,O,Ann,B.,Jenks,State Historical Society of North Dakota,Bismarck,ND,58505-0803,USA,1/1/2015,2015,North Dakota Board Programming Grant,State Board Programs,Records,"$6,000 ","$6,000 ",10/1/2015,9/30/2016,"To support basic funding for the state historical records advisory board, including microfilming and indexing county marriage records."
RC-10253-15,O,Jeffrey,,Kintop,Nevada State Library and Archives,Carson City,NV,89701-4285,USA,1/1/2015,2015,Nevada Board Programming Grant,State Board Programs,Records,"$15,813 ","$15,813 ",3/1/2015,2/29/2016,"To support basic funding for the state historical records advisory board, including National History Day workshops for teachers, workshops on information governance and digital preservation, and other collaborative projects with state and local cultural institutions."
RC-10239-15,O,Jodie,,Foley,Montana Historical Records Advisory Board,Helena,MT,59620-1201,USA,1/1/2015,2015,Montana Board Programming Grant,State Board Programs,Records,"$10,045 ","$10,045 ",1/1/2015,12/31/2015,"To support basic funding, including a Traveling Student Archivist Program and training opportunities."
RC-10241-15,O,Patricia,,Smith-Mansfield,Utah State Historical Records Advisory Board,Salt Lake City,UT,84101-1182,USA,1/1/2015,2015,Utah Board Programming Grant,State Board Programs,Records,"$30,535 ","$30,535 ",7/1/2015,6/30/2016,"To support basic funding, including a program to microfilm city and county commission minutes, and a statewide regrant program."
RC-10242-15,O,Rick,,Hendricks,New Mexico Commission of Public Records,Santa Fe,NM,87501-2641,USA,1/1/2015,2015,New Mexico Board Programming Grant,State Board Programs,Records,"$50,000 ","$50,000 ",7/1/2015,6/30/2017,"To support basic funding for the state historical records advisory board, a statewide regrant program, workshops on basic archival practices and preserving family histories, and the maintenance of an online database of the state’s archival repositories."
RC-10249-15,O,Mary Beth,,Herkert,"Oregon Secretary of State, Archives Division",Salem,OR,97310,USA,1/1/2015,2015,Oregon Board Programming Grant,State Board Programs,Records,"$10,000 ","$10,000 ",7/1/2015,6/30/2016,"To support basic funding for the state historical records advisory board, including an on-site archival services program to address the needs of the state’s small repositories."
RC-10232-15,O,Dean,K.,Dawson,Alaska Department of Education and Early Development,Juneau,AK,99811-0571,USA,1/1/2015,2015,Alaska Board Programming Grant,State Board Programs,Records,"$18,700 ","$18,700 ",7/1/2015,6/30/2016,To support the state historical records advisory board and the development of a Journeyman Archivist Processing program.
RC-10250-15,O,Melanie,,Sturgeon,Arizona State Library,Phoenix,AZ,85007-4649,USA,1/1/2015,2015,Arizona Board Programming Grant,State Board Programs,Records,"$47,348 ","$47,348 ",7/1/2015,6/30/2017,"To support basic funding for the state historical records advisory board, including a statewide regrant program, an Arizona Archives Summit, and a statewide archival training program."
RC-10245-15,O,Lizette,,Pelletier,Connecticut State Library,Hartford,CT,6106,USA,1/1/2015,2015,Connecticut Board Programming Grant,State Board Programs,Records,"$55,000 ","$55,000 ",7/1/2015,6/30/2017,"To support basic funding for the state historical records advisory board, including a traveling archivist program, a roundtable program for sharing information about archival topics, and workshops and community events to help citizens digitize their records and objects related to Connecticut’s role in World War I."
RH-50167-15,O,Shawn,,Nicholson,Michigan State University,East Lansing,MI,48824,USA,1/1/2015,2015,Signals Through Time: Women's Overseas Service League Oral Histories,Access to Historical Records,Records,"$18,719 ","$18,719 ",7/1/2015,6/30/2016,"To support processing and digitization of two audio recording collections of the Women’s Overseas Service League oral histories, including a partnership with the University of Texas-San Antonio."
RC-10238-15,O,Kevin,,Cherry,North Carolina Department of Cultural Resources,Raleigh,NC,27699-4601,USA,1/1/2015,2015,North Carolina Board Programming Grant,State Board Programs,Records,"$60,768 ","$60,768 ",5/1/2015,4/30/2017,"To support basic funding for the state historical records advisory board, including the Teaching Digital North Carolina project to create online educational content to use primary source materials in history, civics, and government classes."
