geo_id_tract,CountOfPARID
42003475402,25
42003476100,153
42003476200,100
42003477100,44
42003477200,104
42003477300,86
42003478100,51
42003478200,120
42003479000,72
42003480101,91
42003480102,67
42003480200,106
42003480300,174
42003480400,170
42003481000,132
42003482500,325
42003483800,343
42003484300,232
42003484500,135
42003484600,92
42003485000,159
42003486700,315
42003486800,289
42003486900,543
42003487000,184
42003488100,327
42003488200,191
42003488300,169
42003488400,226
42003488500,168
42003488600,284
42003489001,121
42003489002,48
42003490002,920
42003490003,138
42003490004,149
42003491101,429
42003491200,253
42003492700,544
42003492800,727
42003492900,138
42003494000,146
42003495000,625
42003496101,258
42003496102,640
42003496200,409
42003497000,237
42003498000,203
42003499300,271
42003499400,232
42003500300,324
42003501000,127
42003503002,384
42003504100,1179
42003507000,292
42003508000,131
42003509400,585
42003510000,168
42003512000,416
42003512800,391
42003512900,363
42003513800,911
42003514000,280
42003515100,219
42003515200,113
42003515300,122
42003515401,33
42003516100,49
42003516200,34
42003517000,400
42003518001,99
42003519000,88
42003520001,251
42003520002,472
42003521100,87
42003521200,202
42003521301,218
42003521302,282
42003521401,120
42003521402,93
42003521500,120
42003522000,265
42003523100,970
42003523200,193
42003523300,166
42003523400,149
42003523501,137
42003523502,102
42003523600,155
42003523701,197
42003523702,247
42003523800,222
42003524000,109
42003525100,52
42003525200,44
42003525300,67
42003526101,530
42003526102,222
42003526201,152
42003526202,212
42003526301,57
42003526302,76
42003550900,487
42003551200,236
42003551300,270
42003551900,356
42003552000,167
42003552100,475
42003552200,333
42003552300,620
42003552400,405
42003560400,60
42003560500,44
42003560600,109
42003561000,207
42003561100,235
42003561200,113
42003561400,169
42003561500,255
42003561600,243
42003561700,179
42003561900,626
42003562000,60
42003562300,908
42003562400,900
42003562500,778
42003562600,712
42003562700,68
42003562800,151
42003562900,887
42003563000,320
42003563100,485
42003563200,394
42003563300,168
42003563800,491
42003563900,298
42003564000,861
42003564100,103
42003564200,401
42003564400,1144
42003564500,484
42003980000,5
42003980100,10
42003980400,80
42003980500,19
42003980600,111
42003980700,111
42003980800,45
42003980900,86
42003981000,1
42003981200,22
42003981800,20
42003982200,11
42007603803,1
42007605001,2
42019911502,1
42019912200,2
42019912700,2
42125714000,4
42125741100,1
42125741300,1
42125746100,2
42125746302,1
42125771100,4
42125771200,4
42129801701,1
42129802101,1
42129802103,1
42129802200,1
