OBJECTID,ID,NAME,START_DATE,END_DATE,AGENCY,AGENCY_TYPE,DESCRIPTION,PROJECT_TYPE,PROJECT_STATUS,PERMIT_NUMBER,EXTERNAL_ID,BUDGET_ID,PAVE_CURB_TO_CURB,SHAPE_Length,SHAPE_Area
75393,63753,1334  ALASKAN WAY,2023/08/01 00:00:00+00,2024/02/01 00:00:00+00,Private Development,Permitted Work,"Scope of Work:  ROW and minor site improvements to improve pedestrian movement through the 0-lot line ROW in Union Street and to accommodate the SDOT Union Street pedestrian bridge. Work in the ROW includes a raised concrete sidewalk along the building in Union Street, rerouting SCL service to the building to allow removal of the ""outbuilding"" and pavement patching and loading dock striping.",Other Construction,Active,SUSIPX420486,SUSIPX420486,,0,402.209029530369,3654.27184132952
75422,73696,SUUMP0000495 - JB0001080520-Comcast-Cannon,2023/04/03 00:00:00+00,2023/04/07 00:00:00+00,Comcast,Telecommunications,"PROOF/PULL, TRENCH",Excavation,Active,,,,0,392.956654851331,3563.16582879706
75449,69987,Spot Rehab Crews,,,SPU,Water/Sewer,13047245 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 060-074 060-073,Excavation,Active,,13047245,BC-SU-C370B,0,61.8355389986299,304.21397648047
75464,70480,DEMAND METERING,2023/01/14 00:00:00+00,2023/01/20 00:00:00+00,SPU,Water/Sewer,"12008647 - SERVICE RENEW - 4"" COMBO - SERVICE - 4"" COMBO AMR / ZEN-60002253-1",Excavation,Active,,12008647,BC-SU-C110B,0,61.8354087443146,304.212686086244
75466,70494,METERING - GI PIPE RENEWAL,2023/01/07 00:00:00+00,2023/01/13 00:00:00+00,SPU,Water/Sewer,"12553143 - SERVICE RENEW - 3/4"" DOM - METER / PCN-J0024158-1",Excavation,Active,,12553143,BC-SU-C110B,0,61.8350682028536,304.209333977753
75469,70519,2018 MOVE SEATTLE - RAINIER/JACKSON MULTIMODAL CORRIDOR,,,SPU,Water/Sewer,11862081 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - 841 RAINIER AVE S,Excavation,Active,,11862081,BC-SU-C370B,0,61.8350234983221,304.20890022798
75478,70594,TASK ORDER CONTRACT ? SPOT SEWER,,,SPU,Water/Sewer,12248216 - CNTRCTR STRUCTURE INSTALL - WASTEWATER MAINTENANCE HOLE - 076-387,Excavation,Active,,12248216,BC-SU-C370B,0,61.8358696387067,304.21721598944
75802,73662,CSG 873666 MINOR,2022/12/27 00:00:00+00,,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8346133033269,304.204861356429
75803,73798,CSG 796451 MINOR,2023/01/31 00:00:00+00,2023/01/31 00:00:00+00,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8345562545202,304.204303541877
75840,72451,CSG 595920 MINOR,2022/10/12 00:00:00+00,2022/12/30 00:00:00+00,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8344675881578,304.20343389042
75892,63816,SPOT SEWER REHAB CONTRACT 21-1,,,SPU,Water/Sewer,11225905 - CNTRCTR MAINLINE REHAB DIG SPOT - COMBINED MAIN LINE - 036-451 036-006,Excavation,Active,,11225905,BC-SU-C370B,0,61.834756872465,304.206287427222
75912,70417,"2"" Fire Service Taps",,2041/10/31 00:00:00+00,SPU,Water/Sewer,"12776161 - SERVICE RENEW - 3/4"" DOM - SERVICE - 2"" DC AMR / ZEN-31026773-1",Excavation,Active,,12776161,BC-SU-C110B,0,61.8343641200654,304.202413451784
75914,70432,METERING - GI PIPE RENEWAL,2023/01/28 00:00:00+00,2023/02/03 00:00:00+00,SPU,Water/Sewer,"12906701 - SERVICE RENEW - 3/4"" DOM - SERVICE - 3/4"" AMR / ZEN-31026769-1",Excavation,Active,,12906701,BC-SU-C110B,0,61.8341121861991,304.199931244272
75915,70449,METERING - GI PIPE RENEWAL,2023/01/07 00:00:00+00,2023/01/13 00:00:00+00,SPU,Water/Sewer,"12444972 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-J0000167-1",Excavation,Active,,12444972,BC-SU-C110B,0,61.8342307154168,304.201100774254
75918,70467,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"12613858 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-L0017880-1",Excavation,Active,,12613858,BC-SU-C110B,0,61.8343112193037,304.201891172879
75920,70481,Water Svc Line Renewal Small,,,SPU,Water/Sewer,"13129331 - SERVICE RENEW - 3/4"" DOM - SERVICE / PCN-T0310602-1",Excavation,Active,,13129331,BC-SU-C110B,0,61.8339150352983,304.197996757979
75924,70517,Drainage Rehab Program,,,SPU,Water/Sewer,12030305 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CATCH BASIN - SEC 1264 S KING ST,Excavation,Active,,12030305,BC-SU-C370B,0,61.8350572169431,304.209226094784
75925,70518,Drainage Rehab Program,,,SPU,Water/Sewer,12030349 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CATCH BASIN - 1265 S KING ST,Excavation,Active,,12030349,BC-SU-C370B,0,61.8350572169431,304.209226094784
75930,70567,Spot Rehab Crews,2020/01/09 00:00:00+00,2022/12/30 00:00:00+00,SPU,Water/Sewer,10701853 - WW STRUCTURE REPAIR - WASTEWATER MAINTENANCE HOLE - 051-031,Excavation,Active,,10701853,BC-SU-C370B,0,61.835027780428,304.208937699009
76024,70585,Drainage Rehab Program,,,SPU,Water/Sewer,12814474 - DRAINAGE STRUCTURE REPAIR - DRAINAGE MAINTENANCE HOLE - D071-053,Excavation,Active,,12814474,BC-SU-C370B,0,61.8356593040617,304.215147248071
76027,70617,Spot Rehab Crews,,,SPU,Water/Sewer,13059425 - SEWER/WW CASTING RAISE/LOWER - WASTEWATER MAINTENANCE HOLE - 231-180,Excavation,Active,,13059425,BC-SU-C370B,0,61.8341919313596,304.200716456793
76037,70832,Lining Rehab Crew Programmatic,2022/12/19 00:00:00+00,2023/01/01 00:00:00+00,SPU,Water/Sewer,13146398 - MAINLINE GRIND MILL - COMBINED MAIN LINE - 030-250 030-249,Excavation,Active,,13146398,BC-SU-C370B,0,61.83447315946,304.203474351206
76049,71203,Spot Rehab Crews,,,SPU,Water/Sewer,13210807 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 013-286 013-284,Excavation,Active,,13210807,BC-SU-C370B,0,61.8343785046704,304.202557661591
76054,73690,Drainage Rehab Program,2022/12/11 00:00:00+00,2023/12/10 00:00:00+00,SPU,Water/Sewer,13738856 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - SEC 1ST AVE W/W GALER ST,Excavation,Active,,13738856,BC-SU-C370B,0,61.8346193284742,304.204905922645
76055,73725,Spot Rehab Crews,,,SPU,Water/Sewer,13749445 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 047N-113 047N-051,Excavation,Active,,13749445,BC-SU-C370B,0,61.8350107077347,304.20877223133
76056,73807,Drainage Rehab Program,2022/12/22 00:00:00+00,2025/12/17 00:00:00+00,SPU,Water/Sewer,13764424 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - SWC 47TH AVE SW/SW HOLGATE ST,Excavation,Active,,13764424,BC-SU-C370B,0,61.8351566735865,304.210207554331
76057,73808,Lining Rehab Crew Programmatic,,2023/12/30 00:00:00+00,SPU,Water/Sewer,13764156 - MAINLINE GRIND MILL - COMBINED MAIN LINE - 037-236 037-435,Excavation,Active,,13764156,BC-SU-C370B,0,61.8347789554184,304.206483677114
76058,73825,Drainage Rehab Program,2022/12/23 00:00:00+00,2025/12/18 00:00:00+00,SPU,Water/Sewer,13765343 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - 3042 34TH AVE SW,Excavation,Active,,13765343,BC-SU-C370B,0,61.835244754528,304.211073712015
76180,73689,Spot Rehab Crews,,,SPU,Water/Sewer,13738720 - WW STRUCTURE INSTALL - WASTEWATER MAINTENANCE HOLE - 224-030,Excavation,Active,,13738720,BC-SU-C370B,0,61.8340358001306,304.199174062415
76181,73719,Spot Rehab Crews,,,SPU,Water/Sewer,13742313 - WW MAINLINE DIG SPOT 12 INCH - COMBINED MAIN LINE - 036-283 036-282,Excavation,Active,,13742313,BC-SU-C370B,0,61.8346733272748,304.205447156577
76182,73755,Lining Rehab Crew Programmatic,,2023/12/30 00:00:00+00,SPU,Water/Sewer,13763184 - MAINLINE GRIND MILL - COMBINED MAIN LINE - 037-435 037-237,Excavation,Active,,13763184,BC-SU-C370B,0,61.8347789554184,304.206483677114
76183,73794,Spot Rehab Crews,,,SPU,Water/Sewer,13763272 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 038-262 038-257,Excavation,Active,,13763272,BC-SU-C370B,0,61.8347640215463,304.206355470811
76184,73819,Drainage Rehab Program,2022/12/22 00:00:00+00,2025/12/17 00:00:00+00,SPU,Water/Sewer,13765136 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - SWC 47TH AVE SW/SW HOLGATE ST,Excavation,Active,,13765136,BC-SU-C370B,0,61.8351566735865,304.210207554331
76185,73821,Drainage Rehab Program,2022/12/23 00:00:00+00,2025/12/18 00:00:00+00,SPU,Water/Sewer,13765201 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - SEC 47TH AVE SW/SW HOLGATE ST,Excavation,Active,,13765201,BC-SU-C370B,0,61.8351566735865,304.210207554331
76186,73823,Drainage Rehab Program,2022/12/23 00:00:00+00,2025/12/18 00:00:00+00,SPU,Water/Sewer,13765177 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CATCH BASIN - SEC 47TH AVE SW/SW HOLGATE ST,Excavation,Active,,13765177,BC-SU-C370B,0,61.8351566735865,304.210207554331
76393,71558,Rehab Progr Mangmnt,,,SPU,Water/Sewer,13285277 - CNTRCTR MAINLINE REHAB DIG FULL - COMBINED MAIN LINE - 025-107 025-108,Excavation,Active,,13285277,BC-SU-C370B,0,61.8344317514252,304.203080574092
76399,71781,Drainage Rehab Program,2022/12/19 00:00:00+00,2023/01/01 00:00:00+00,SPU,Water/Sewer,13347908 - DRAINAGE STRUCTURE REPAIR - CATCH BASIN,Excavation,Active,,13347908,BC-SU-C370B,0,61.8354615125929,304.213205740953
76545,46525,2014 CITYWIDE CURB RAMP REPAIR,2015/06/19 00:00:00+00,2023/12/10 00:00:00+00,SPU,Water/Sewer,5725539 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CATCH BASIN - SEC 1ST AVE W/W GALER ST,Excavation,Active,,5725539,BO-SU-N200B,0,61.8346193284742,304.204905922645
76618,70491,METERING - GI PIPE RENEWAL,2023/01/07 00:00:00+00,2023/01/13 00:00:00+00,SPU,Water/Sewer,"12552234 - SERVICE RENEW - 2"" DOM - SERVICE - 2"" DOM / PCN-U0449689-1",Excavation,Active,,12552234,BC-SU-C110B,0,61.8356535793323,304.215101508496
76629,70576,SPOT SEWER REHAB CONTRACT 21-1,,,SPU,Water/Sewer,12342550 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - WASTEWATER MAINTENANCE HOLE - 059-454,Excavation,Active,,12342550,BC-SU-C370B,0,61.8353395856445,304.212006249612
76670,70776,Spot Rehab Crews,,,SPU,Water/Sewer,13139249 - WW MAINLINE DIG SPOT 8 INCH - SANITARY MAIN LINE - 014-203 014-202,Excavation,Active,,13139249,BC-SU-C370B,0,61.8344854344903,304.203605934893
76681,71110,Spot Rehab Crews,,,SPU,Water/Sewer,13188101 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 002-174 002-173,Excavation,Active,,13188101,BC-SU-C370B,0,61.8343072399424,304.201860169302
76683,73699,Spot Rehab Crews,,,SPU,Water/Sewer,13741286 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 066-410 066-409,Excavation,Active,,13741286,BC-SU-C370B,0,61.835448369224,304.213079332556
76684,73716,Rehab Progr Mangmnt,,,SPU,Water/Sewer,13748416 - CNTRCTR MAINLINE REHAB DIG SPOT - COMBINED MAIN LINE - 040-102 040-076,Excavation,Active,,13748416,BC-SU-C370B,0,61.8348082879278,304.206780631945
76685,73718,Spot Rehab Crews,,,SPU,Water/Sewer,13743481 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 042-064 042-065,Excavation,Active,,13743481,BC-SU-C370B,0,61.8349756577542,304.20843679935
76686,73765,Remove pole A1075192 + ADA Ramp Restorations @ 4701 47TH AVE NE,2023/02/16 00:00:00+00,2023/03/17 00:00:00+00,Lumen,Telecommunications,,Other Construction,Active,,P.005335,,0,61.8344681309653,304.203432677415
76687,73816,Drainage Rehab Program,2022/12/23 00:00:00+00,2025/12/18 00:00:00+00,SPU,Water/Sewer,13765426 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - NWC 24TH AVE W/W MCGRAW ST,Excavation,Active,,13765426,BC-SU-C370B,0,61.8346685993758,304.205406520596
76688,73818,Drainage Rehab Program,2022/12/22 00:00:00+00,2025/12/17 00:00:00+00,SPU,Water/Sewer,13765112 - DRAINAGE STRUCTURE (SHALLOW) INSTALL - CATCH BASIN - SWC 47TH AVE SW/SW HOLGATE ST,Excavation,Active,,13765112,BC-SU-C370B,0,61.8351566735865,304.210207554331
76689,73833,Spot Rehab Crews,,,SPU,Water/Sewer,13767824 - SEWER/WW RING & COVER CASTING REPLACE EXISTING - WASTEWATER MAINTENANCE HOLE - 028-361,Excavation,Active,,13767824,BC-SU-C370B,0,61.8346260890193,304.204990461775
76690,73835,JB0001248064-Comcast-Cannon,2023/04/24 00:00:00+00,2023/04/26 00:00:00+00,Comcast,Telecommunications,"TIE INTO EXISTING SPLICE CASE. OVERLASH (1) 96CT FIBER ON EXISTING STRAND. 
OVERLASH (1) 96CT FIBER ON EXISTING STRAND.
PLACE (1) TRANSITION CASE & TRANSITION FROM 96CT TO 24CT FIBER. AERIAL STRIKE TO BUILDING",Aerial Work,Active,,,,0,1404.0814305946,13581.9184278083
76920,73801,CSG 813800 MINOR,2023/01/09 00:00:00+00,2023/01/09 00:00:00+00,Comcast,Telecommunications,,Excavation,Active,,,,0,61.8349967601327,304.208636463779
77109,72292,New Anchor Placements on 3 Poles @ 13540 LINDEN AVE N,2022/12/27 00:00:00+00,2023/01/25 00:00:00+00,Lumen,Telecommunications,,Other Construction,Active,,N.937225,,0,185.501811295943,912.594626289847
77183,62525,E Harrison E Mercer Sp Swr Rpr,2021/08/24 00:00:00+00,2023/01/30 00:00:00+00,SPU,Water/Sewer,Project consists of two sites:Site 1 - The E. Harrison St. and 25th Ave E site 8? VCP sewer line is currently broken between MH 037-255 and MH 037-233 in the un-opened ROW of E Harrison St. between 25th Ave E and 26th Ave E. This repair requires a deep (20 feet+/-) excavation and replacing up to 10 feet of pipe. Engineering drawings and specifications have been developed to repair this problem.,Other Construction,Active,,C316079,BC-SU-C370B,,1781.45863715682,92694.9606865067
77187,45050,SCWQ Storage Tunnel,2019/12/25 00:00:00+00,2024/02/15 00:00:00+00,SPU,Water/Sewer,"Design, permitting, and construction for tunnel storage, including drop shafts/structures; single design services consultant contract for pump station/force main and storage tunnel; includes engineering services during construction and construction management specific to the work package. A minimum 15.24 MG, 14,000-ft long offline storage tunnel constructed primarily in public right-of-way and ext",Other Construction,Active,,C315503,BC-SU-C360B,,9142.40069143256,575369.675687699
77193,45152,Pump Station Ventilation Upgd,2018/12/26 00:00:00+00,2022/05/30 00:00:00+00,SPU,Water/Sewer,The purpose of this project is to upgrade and replace the ventilation systems at SPU pump stations to bring them up to current codes. Ventilation system improvements were bundled together as part of this project to ensure consistency across the pump stations as well as facilitate a more efficient delivery. This project was originally scoped to improve ventilation systems at 49 stations. Design was,Other Construction,Active,365415,C315090,BC-SU-C370B,0,58759.6531461812,799084.0821927
77194,45177,SCWQ-SPU Wallingford Convey,2023/01/02 00:00:00+00,2024/12/29 00:00:00+00,SPU,Water/Sewer,Design and construction of Basin 147 diversion structure and conveyance to SCWQP storage tunnel in Wallingford neighborhood,Other Construction,Active,405871,C315507,BC-SU-C360B,,1946.12309340505,52852.5203962748
77210,64995,"PS 62, 63, 71 Improvements",2023/06/05 00:00:00+00,2025/01/05 00:00:00+00,SPU,Water/Sewer,"This scope consists of the design and construction of the following types of improvements at PS 62,63,71:  Replacement of motor starters, valves, sections of piping, grating, rails, and ladders; Upgrades to electrical systems, ventilation systems, SCADA panels, and flow monitoring systems; Improvements to painting and coatings on equipment and concrete structures.",Other Construction,Active,,C600219,BC-SU-C370B,,1115.50274227749,10346.1716376619
77232,72926,Spot Rehab Crews,,,SPU,Water/Sewer,13523528 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 025-410 025-132,Excavation,Active,,13523528,BC-SU-C370B,0,61.8344175902416,304.202937328499
77249,73294,Spot Rehab Crews,,,SPU,Water/Sewer,13648392 - WW MAINLINE DIG SPOT 8 INCH - COMBINED MAIN LINE - 048-268 048-269,Excavation,Active,,13648392,BC-SU-C370B,0,61.8351318281168,304.209971699385
77260,73585,Rehab Progr Mangmnt,,,SPU,Water/Sewer,13709019 - CNTRCTR STRUCTURE INSTALL - WASTEWATER MAINTENANCE HOLE - 015-324,Excavation,Active,,13709019,BC-SU-C370B,0,61.8342263908557,304.201052637474
77261,73587,Rehab Progr Mangmnt,,,SPU,Water/Sewer,13711339 - CNTRCTR MAINLINE REHAB DIG FULL - COMBINED MAIN LINE - 047-075 047-074,Excavation,Active,,13711339,BC-SU-C370B,0,61.8351830374817,304.210456004036
77262,73655,Drainage Rehab Program,,,SPU,Water/Sewer,12290222 - CB OUTFALL/INLET LINE FULL REPLACEMENT - CATCH BASIN - NWC LATONA AVE NE/NE 40TH ST,Excavation,Active,,12290222,BC-SU-C370B,0,61.834512308778,304.203874217732
77281,57986,Spot Rehab Crews,,,SPU,Water/Sewer,9108850 - SEWER/WW RING & COVER CASTING REPLACE EXISTING - WASTEWATER MAINTENANCE HOLE - 057-048,Excavation,Active,,9108850,BC-SU-C370B,0,61.8353084011358,304.211694945779
