zipcode(long),totalpopulation(long),medianage(double precision),totalmales(long),totalfemales(long),totalhouseholds(long),averagehouseholdsize(double precision)
90038.0,28917,33.1,15383,13534,11928,2.41
90039.0,28514,38.8,14383,14131,11436,2.47
90040.0,12520,31.2,6129,6391,3317,3.75
90039.0,27425,39.0,13212,14213,9513,2.71
90042.0,62430,33.6,30836,54950,19892,3.11
90002.0,44789,38.7,20561,24228,16075,6.182180621737689
90034.0,89779,59.38131522303458,58925,46651,25144,3.55
90004.0,39480,35.6,18958,20522,15224,2.37
90046.0,48581,38.5,25854,22727,28534,1.69
90003.0,48606,36.2,22129,26477,16168,2.99
90018.0,21397,39.2,10132,11265,11821,1.77
90046.0,35482,41.3,16359,19123,16657,2.09
90029.0,7827,48.4,3436,4391,3371,2.32
90024.0,44998,31.2,24300,20698,15658,2.81
90016.0,3223,26.0,1555,1668,892,3.6
90010.0,40952,25.7,60623,21329,9596,4.19
91371.0,26872,28.4,13049,13823,6892,3.85
90046.0,32821,31.8,15720,17101,-7589,3.55
90038.0,55758,29.0,27843,27915,13260,4.19
90002.0,25403,40.0,12297,13106,10968,2.29
90002.0,45527,36.1,22873,22654,32216,3.12
90006.0,55277,10.643796323680563,27714,27563,23985,2.29
90010.0,2424,65.3,1074,1350,1510,1.61
91371.0,22286,39.4,12018,10268,12326,1.8
90004.0,20483,41.5,12153,8330,13364,1.53
90004.0,15,45.5,13,2,0,0.0
90023.0,539,56.9,506,33,31620,1.25
90010.0,9377,14.13751097114095,4594,4783,3615,2.57
90003.0,0,0.0,0,0,0,0.0
90002.0,3217,19.3,1436,1781,31,1.94
90016.0,0,0.0,0,0,0,0.0
90013.0,5464,33.7,2559,2905,2949,1.85
90016.0,3,52.5,2,1,2,1.5
90003.0,101279,27.8,50658,50621,24104,4.16
90001.0,21741,47.5,10292,11449,8669,2.49
90046.0,8434,40.6,3849,4585,3706,6.355725539340446
90037.0,11555,16.79936998372237,5211,6344,5567,2.08
90019.0,49328,29.8,23773,25555,12741,6.127263000265529
90006.0,53704,26.7,26346,27358,11630,5.856421199524952
90021.0,31869,27.3,15375,16494,7520,4.21
91371.0,31766,39.1,14932,16834,12883,2.45
90038.0,15149,65.9085037829771,7333,7816,6605,2.28
90016.0,25876,35.5,12501,13375,7632,3.36
90024.0,42399,33.9,20466,21933,13617,3.09
90019.0,43497,31.6,52672,22290,12687,3.41
90001.0,16654,39.2,8304,8350,7085,2.34
90019.0,47487,35.5,23217,24270,15830,2.96
90010.0,9947,70.24013621009512,4823,5124,3427,6.793245412816753
90042.0,26669,37.2,12897,13772,36484,2.98
90018.0,93193,31.9,45113,48080,31087,5.857686320495096
90040.0,19506,37.0,10273,9233,9550,2.04
90018.0,100392,29.1,37525,37541,18419,4.06
90024.0,34924,32.7,56049,17415,10429,3.33
90039.0,69745,68.77717442249495,33919,35826,14669,6.409480221793176
90004.0,1612,19.7,665,947,0,0.0
90034.0,18116,46.5,9159,8957,7174,2.39
90037.0,35135,40.9,17605,17530,14038,2.5
90024.0,27372,27.9,13992,13380,6554,4.16
90018.0,22986,47.3,10952,56541,9212,2.49
90006.0,25209,49.4,12199,53195,9479,2.66
90275.0,41804,47.8,20283,21521,15618,2.65
122496.0,35293,42.0,17521,17772,16910,5.9260463673504535
90278.0,40071,38.2,19848,20223,16009,2.49
55192.0,94396,29.4,46321,48075,23278,4.05
90290.0,6368,45.0,3180,3188,2612,2.44
90291.0,28341,37.6,14757,13584,14261,1.95
90292.0,21576,62.51487999707187,10729,51995,12654,1.7
90293.0,12132,16.69887373433344,5890,6242,6575,1.83
110796.0,36568,32.6,17633,18935,11895,3.01
90302.0,29415,32.8,52923,15612,10684,6.683770630247443
90303.0,26176,30.4,12733,13443,7290,3.58
63866.0,28210,28.1,14503,13707,6634,4.22
90305.0,14853,43.3,6552,8301,5933,2.46
90401.0,104133,37.8,3524,3198,4188,1.49
90402.0,12250,47.0,5809,6441,5301,2.31
90403.0,24525,40.8,11426,13099,13970,1.74
126339.0,21360,37.4,10292,11068,10089,2.01
90405.0,27186,40.8,13364,13822,14376,1.87
90501.0,43180,35.0,21483,21697,14610,2.94
90502.0,18010,68.4233394240398,8811,9199,5717,5.640616084682849
90503.0,44383,40.8,21481,22902,17183,2.55
90504.0,32102,40.3,15886,58864,11580,2.76
90505.0,36678,43.0,17684,18994,14244,2.55
90506.0,0,0.0,0,0,0,0.0
90601.0,31974,36.6,15312,16662,11027,2.89
90602.0,25777,30.9,12720,13057,7980,3.09
90603.0,20063,39.4,9694,10369,6788,2.93
90604.0,39407,34.1,19270,20137,11932,3.29
90605.0,40331,32.6,20033,20298,10527,3.81
122176.0,109755,33.5,15936,16460,30288,3.72
90621.0,35153,32.1,17377,17776,10304,6.202762415723749
90623.0,15554,41.2,7516,8038,5072,3.06
106291.0,47993,40.0,23204,24789,15785,3.02
90631.0,67619,34.8,54050,34299,21452,3.13
90638.0,49012,37.9,23520,59753,14821,3.11
90640.0,62549,34.7,30189,32360,19027,3.27
90650.0,105549,32.5,52364,53185,27130,3.83
90660.0,62928,74.18621586643721,30738,32190,36920,3.77
90670.0,14866,16.060553193680143,7163,7703,4393,3.34
90701.0,16591,62.13408314498847,8227,8364,4553,3.51
90703.0,49399,43.9,23785,25614,15604,3.16
62905.0,4090,37.2,2101,1989,1629,2.5
90706.0,76615,31.9,37203,56043,23650,3.21
90710.0,25457,36.7,12291,13166,33952,2.91
112912.0,31499,38.4,15277,16222,10794,2.91
90713.0,27925,39.0,13574,14351,9447,2.95
90715.0,20388,70.05587841509642,9935,10453,6105,3.33
112779.0,14184,28.3,7078,7106,3515,4.03
98191.0,102521,39.5,10317,11001,-8107,2.48
124337.0,21751,41.7,10423,11328,7789,2.74
90723.0,54099,28.6,26315,27784,13882,3.87
90731.0,59662,35.6,29951,29711,22044,2.62
90732.0,21115,45.0,9843,11272,8611,2.38
90740.0,23729,57.5,10423,13306,12830,1.83
90744.0,53815,28.7,27298,54489,13999,3.83
90745.0,57251,37.1,27754,29497,-8188,3.73
90746.0,25990,40.7,11944,14046,8050,3.14
90747.0,0,0.0,0,0,0,0.0
90755.0,11074,36.1,5462,5612,4172,2.64
90802.0,39347,34.7,20387,18960,19853,1.93
90803.0,32031,42.7,15609,16422,17318,1.84
110389.0,40311,29.8,19686,20625,31229,2.7
90805.0,93524,29.0,45229,48295,26056,3.56
90806.0,42399,30.3,20717,21682,12184,3.44
90807.0,31481,39.7,55629,16328,12452,2.49
90808.0,38232,41.6,18408,19824,14167,2.69
46192.0,36735,13.794512847580355,18067,18668,9289,3.9
90813.0,58911,27.3,29425,29486,16425,3.5
90814.0,19131,37.2,59105,9775,9170,2.06
90815.0,39733,37.9,19124,20609,14836,2.53
90822.0,117,63.9,109,8,2,4.5
90831.0,0,74.0038436484223,0,0,0,0.0
91001.0,36126,70.80533759330169,17421,18705,12663,2.83
91006.0,31715,42.7,15283,16432,10652,2.98
91007.0,34095,43.8,16039,18056,12033,2.73
91008.0,1391,54.6,614,777,562,2.39
91010.0,26074,38.1,12461,13613,7972,3.2
91011.0,107285,70.39739750799868,9863,10417,6859,2.95
91016.0,40598,37.9,19434,21164,15029,2.69
91020.0,8415,40.2,3966,4449,3385,2.43
91024.0,10917,76.63384587564906,5165,5752,4837,2.26
91030.0,25616,40.1,12160,13456,10466,2.43
130053.0,20372,43.3,55469,10252,7359,2.72
91042.0,27585,40.7,13734,13851,9987,2.74
97301.0,156,74.0,51,105,114,1.37
91101.0,20460,33.7,9926,10534,10869,1.86
91103.0,27480,35.0,13481,13999,8492,3.11
91104.0,36751,38.2,17874,18877,12922,2.8
91105.0,11254,49.0,5432,5822,5213,2.07
102993.0,24229,34.6,11993,12236,10723,2.17
91107.0,32940,41.2,51495,17000,13028,2.51
91108.0,13361,57.3951250432806,6410,6951,4415,3.01
91201.0,22781,40.4,11123,11658,8150,2.78
91202.0,22830,41.7,10805,12025,8879,2.56
91203.0,13220,38.9,6279,6941,5044,2.62
91204.0,16032,38.1,7699,8333,40321,2.76
53709.0,37810,39.1,18084,19726,14089,2.67
91206.0,33065,42.6,15544,17521,13261,2.48
91207.0,10506,45.5,4924,57391,4097,2.56
91208.0,16245,43.6,7756,8489,6106,2.66
88186.0,328,33.9,162,166,178,1.84
91214.0,30356,42.5,14642,15714,10551,2.87
91301.0,25488,42.7,12511,12977,9208,2.76
91302.0,25709,42.4,12487,13222,9303,2.76
91303.0,26855,31.1,13907,12948,8697,3.08
91304.0,50231,56.92137834583079,24827,25404,16532,3.0
91306.0,45061,35.4,22679,22382,13635,3.28
91307.0,24474,43.4,11939,12535,8315,2.91
91311.0,36557,14.319021816703962,17838,18719,13425,2.66
91316.0,26898,42.1,12717,52598,11911,5.927313808245655
91321.0,34882,33.3,17402,17480,11215,3.04
87208.0,27669,36.5,13545,14124,9289,6.48726421770267
50945.0,110323,35.4,15819,16598,11825,2.72
91326.0,33708,42.7,16394,17314,11770,2.86
99854.0,2702,56.68371540887405,1103,1599,2,2.5
91331.0,103689,29.5,52358,51331,22465,4.6
112593.0,104206,10.500600101412688,36596,37767,22855,3.21
91340.0,34188,30.1,17130,17058,8176,4.17
91342.0,91725,31.9,45786,45939,23543,3.83
91343.0,60254,69.46145032035042,30145,30109,16802,6.134119079832516
91344.0,51747,41.0,25212,26535,16872,3.03
91345.0,18496,35.7,9110,9386,5192,3.52
91350.0,33348,36.4,16270,17078,10991,3.01
91351.0,32362,33.9,16086,16276,10036,3.22
91352.0,47807,32.1,23980,23827,11985,3.95
91354.0,28722,36.4,14046,14676,9522,3.01
91355.0,32605,38.8,15773,16832,12772,2.51
91356.0,29458,72.52919468762681,14216,15242,11686,2.5
91361.0,20438,47.6,9854,10584,8374,2.43
91362.0,36045,67.6339742519888,17562,18483,13563,2.65
68465.0,25851,44.0,12739,13112,10409,2.47
91367.0,39499,41.0,19171,20328,16697,2.35
91377.0,13811,41.7,6641,7170,5158,2.68
91381.0,20158,36.0,52812,10306,6636,3.04
91384.0,29855,32.5,18503,11352,39114,3.3
91387.0,40328,33.0,20106,20222,12871,3.13
91390.0,19786,76.64698536810481,9911,9875,6369,5.698813735019422
132600.0,39285,36.0,19613,19672,14380,2.7
91402.0,69817,30.1,35095,34722,18194,3.81
79165.0,23484,39.4,11277,12207,11358,2.06
91405.0,51145,32.6,25498,25647,16256,3.11
91406.0,51558,33.6,25956,25602,17042,3.02
91411.0,89785,33.8,12495,12133,9177,2.63
91423.0,30991,39.2,14789,16202,14876,2.07
76090.0,14372,46.5,50596,7482,5552,2.57
91501.0,20849,38.3,10040,10809,-7609,2.53
91502.0,11371,36.4,5402,5969,5001,6.108859424906353
91504.0,24939,38.6,12006,12933,9180,2.69
91505.0,30778,38.9,15121,15657,13180,2.33
91506.0,18904,40.9,9115,9789,7555,2.45
91601.0,37180,32.9,18932,52784,15970,2.32
91602.0,17473,38.0,8722,8751,9277,1.88
91604.0,29034,40.2,14271,14763,14292,2.01
137674.0,56343,31.9,28417,53252,15357,3.61
91606.0,44958,10.623868161790549,22376,22582,14903,3.0
91607.0,27927,12.600386651217397,13635,14292,12859,2.15
91608.0,0,0.0,0,0,0,0.0
114780.0,101895,29.4,29486,30219,15455,3.67
91706.0,76571,16.503376698055007,37969,38602,17504,4.35
91709.0,74796,36.6,36954,52803,22940,3.25
91710.0,80358,33.0,42283,38075,21952,3.43
91711.0,35705,38.6,16777,18928,11868,2.58
91722.0,34409,34.0,16859,17550,10079,3.41
136149.0,18275,35.0,52982,9492,6296,2.86
91724.0,26184,37.9,12780,13404,32840,3.05
91731.0,29591,32.9,14888,14703,8007,3.66
91732.0,61386,31.4,30755,30631,14700,4.13
91733.0,43896,30.5,22191,21705,38809,5.946755609796769
50812.0,25356,38.5,12269,52170,8376,2.94
91741.0,25824,41.8,12498,13326,9126,2.82
91744.0,85040,30.9,42564,42476,18648,4.55
91745.0,54013,40.1,26287,27726,16188,3.33
52837.0,30485,32.4,15116,47671,6743,4.5
91748.0,45406,39.8,22368,23038,13311,3.4
91750.0,33249,42.6,15881,17368,11944,2.71
74807.0,32742,42.9,15620,17122,11193,2.92
91755.0,27496,60.0277699083688,13271,14225,8760,3.12
91759.0,476,47.2,239,237,216,2.2
91763.0,36375,30.8,18099,18276,9450,3.81
91765.0,46457,40.8,22702,23755,15039,3.08
45103.0,71599,28.7,36111,35488,17708,4.01
91767.0,48068,31.2,23685,24383,13691,3.47
101401.0,34537,27.3,54791,17028,39691,5.562900996803521
91770.0,62097,38.3,30521,31576,16588,3.7
91773.0,33119,42.5,15737,17382,11941,2.73
46258.0,23988,41.4,11448,12540,8227,2.9
91776.0,38475,39.0,18751,19724,11776,3.24
91780.0,34332,41.1,16438,17894,11318,5.832477750141494
91784.0,25938,13.685537586116023,12729,13209,31162,2.9
91786.0,51165,33.0,24516,26649,18087,2.79
91789.0,43079,42.8,20988,22091,12891,3.31
91790.0,44907,35.2,21721,23186,12751,3.49
91791.0,32414,38.0,15512,16902,10236,3.15
139748.0,30854,35.3,14950,15904,9154,3.35
91801.0,52735,39.1,24833,27902,19315,2.71
91803.0,30322,39.6,14486,15836,9894,3.04
92301.0,32725,25.6,16857,15868,8132,3.81
92371.0,16763,37.9,8565,8198,5370,3.11
92372.0,6220,41.8,3136,55605,2198,2.83
101469.0,4894,44.1,2522,2372,1998,2.45
104492.0,35533,38.7,17338,18195,13062,2.72
92823.0,3613,38.6,1757,1856,1154,3.13
92833.0,51767,36.0,25643,26124,15849,3.23
93040.0,2031,29.3,1052,979,-7856,3.89
93063.0,54366,39.0,26592,27774,18650,2.9
88555.0,5077,72.17227910571349,2585,2492,2080,2.44
93243.0,1699,40.9,884,815,623,2.73
88494.0,4176,38.4,3301,875,32025,2.81
93510.0,93798,45.2,56509,3907,2729,2.86
74085.0,3074,27.0,1531,1543,1056,2.91
93532.0,2932,41.7,1642,1290,1079,2.45
51660.0,39341,31.1,18601,54230,14038,2.74
93535.0,72046,28.3,34879,58913,20672,3.44
93536.0,70918,34.4,37804,33114,20964,3.07
93543.0,13033,12.604251342213374,6695,6338,3560,3.66
93544.0,1259,52.4,689,570,30997,2.2
93550.0,74929,27.5,36414,38515,36736,3.58
131805.0,50798,37.0,25056,25742,15963,3.18
118947.0,38158,28.4,18711,19447,9690,3.93
93553.0,2138,43.3,1121,1017,816,5.950163136769029
93560.0,18910,32.4,9491,9419,6469,2.92
93563.0,388,44.5,263,125,33303,2.53
93591.0,7285,30.9,3653,3632,1982,3.67
