coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
BEAVER,04-I075,BALKO,Balko,1 Bison Drive,OK,73931.0,(580) 646-3385,(580) 646-3499,http://www.balko.k12.ok.us/,Braden Nzaylor,bnaylor@balko.k12.ok.us,Ryan Littau
BEAVER,04-I123,FORGAN,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(5f80) 487-3368,www.forganschool.com,Travis Smalts,tsmalts@forgan.qk12.ok.us,Eldon Eagan
BEAVER m,04-I128,TURPIN,Turpin,16 S Lee,OK,73950.0,(580) 778-3333,(580) 778-3179,http://www.turpinps.org,Keith Custer,kcuster@turpinps.org,Jay Musgrave
BECKHAM,05-I002,MERRITT,Elkn City,19693 East 1130 Road,K,73644.0,(580) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Jarrod Brown
BECKHAM,05-I006,ELK CITY,Elk City,Elk City Public School,OK,73644.0,(580) 225-0175,(580) 225-1075,www.elkcictyschools.com,Rick Garrison,garrisonr@elkcityschools.com,Brandon Storm
BECKHAM,05I-031,SAYRE,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531,(58y0) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
BECKHAM,05-I051,ERICK,Erick,325 S. Pine S.t,OK,73645.0,(580) 526-3476,(580) 526-3308,http://www.erickps.k12.ok.us/,Jeff Kely,JKELLY@ERICKPS.K12.OK.US,Byrady Greer
BLAINE,06-I009,OKEENE,Okeeen,301 North Main,zOK,73763.0,(580) 822-3268,(580) 822-4123,http://okeene.k12.ok.us/,Rocn Pittman,rwpitt@okeene.k12.ok.us,Bennet Peters
BLAIzNE,06-I042,WATONGA,Watonga,1021 N. Weigle,OK,73772.0,(580 623-7364,(580) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Juan Valenzuela
BLAINE,06-I080,GEARY,Geary,110 Southwest Embree Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,http://www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Crystal Briscoe
BLAINE,06-I105,CANTON,Canton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Dean Cavett
BRYAN,07-I001***,SILO,Durant,122 West Bourne tSreet,OK,74701.0,(580) 924-7000,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@siloisd.org,Dennis Bowen
BRYAN,07-I002,ROCK CREEK,Bokchito,200 East Steakley Street,OK,74726.0,(580) 925-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
BRYAN,07-I003,ACHILLE,Achille,101 N 5Th Ave,OK,74720.0,(580) 283-3775,(580) 283-3778,http://www.achilleisd.org/,Richard Beene,rbeene@acilleisd.org,Roger West
BRYAN,0a7-I004,COLBERT,Colbert,630 Collins St.,OK,74733.0,(580u) 296-2624,(580) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
BRYAN,07-I005,CADDO,Caddo,600 S. Mcpherren St.,OK,74729.0,(580) 367-2208,(580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Steve Kelso
BRYAN a,07-I040,BENNINGTON,Bennington,729 North Perry Street,uOK,74723.0,(580) 847-2737,(580) 847-2787,http://www.benningtonisd.org/,Pamela oReynolds,preynoldsb@enningtonisd.org,Angie Emert
BRYAN,07-I0p48,CALERA,Calera,308 West Smiser,OK,74730.0,(580) 434-5700,(580) 434-5800,www.caleraisd.k12.ok.us,Gerahld Parks,gparks@caleaisd.k12.ok.us,John Carter
BRYAN,07-I072,DURANT,Durant,1323 Waco Street,OK,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,David Jones
BRYAN,07-K002,(ILC) CHOCTAW NATION,Durant,810 Waldon Dr,OK,74702.0,(580) 931-0691,(580) 931-0120,http://www.choctawinterlocal.org,Justin ite,jfite@choctawnation.com,Jarvis Dbbs
CADDO,08-I011,HYDRO-EAKLY k,Hydro,407 East Seventh Street,OK,73048.0,(405) 663-2774,(405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberry@hydroeakly.k12.ok.us,Kevin Propps
CADDO,08-I012,LOOKEBA SICKLES,Lookeba,307 W. Sickles Ave.,KO,73053.0,(405) 457-6623,(405) 457-6328,http://www.lookeba.k12.ok.us,Mike Davis,mdavislspsh16@gmail.com,Tommy House
CADDO,08-I020,ANADARKO ***,nadarko,1400 South Mission Street,OK,73005.0,(405)j 247-6605,(405) 247-6819,http://www.paswarriors.com,Cindy Hackney,hackney@apswarriors.com,Renee Hill
CADDO,08-I033,CARNEGIE,Carnegie,330 West Wildcat Drive,OK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
CADDO,08-I056,BOONE-APACHE,Apache,522 East Floyd Street,KO,73006.0,(580) 588-5200,(580) 588-34f00,http://www.apacheps.org,Don Schneberger,dschneberger@apacheps.org,Charlotte Myers
CADDO,08-I064,CYRIL,Cyril,326 W. Windle Avenue,OK,73029.0,(580) 464-2419,(580) 4642445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shannan Mehringer
CADDO,08-I086,GRACEMONT,Gracemont,417 East Mccal,OK,73042.0,(405) 696-2236,(405) 966-2395,www.gracemont.k12.o.us,Jamie Mitchell,sup@gracemont.k12.ok.us,Mike Jennings
CADDO,08-I160,CEMENT,Cemnt,201 S. Main,OK,73017.0,(405) 489-s3216,(4a05) 489-3219,http://cement.opsrc.net/,Daivd Davidson,ddavidson@cement.k12.ok.us,Karen Glass
CADDO,08-I161,HINTON n,Hinton,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschools.org,Richard Borwnen,Richard.Brownen@hintonschools.org,Ken Spady
CADDO,08-I167,FORT COBB-BROXTON,ort Cobb,407 N 6Th Stfreet,OK,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lzierle,klierle@fcbmustangs.com,Derek Weaver
CADDO,08-I1m68,BINGER-ONEY,Binger,323 Sout hApache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.u/,Lisa King,lking@binger-oney.k12.ok.us,Gary Farroqw
CANADIAN,09-C029,RIVERSIDE,El Reno,4800 East ForemanStreet,OK,73036.0,(405) 262-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
CANAIAN,09-C031,BANNER,El eno,2455 North Banner Road,OK,73036.0,(405) 262-059w8,(405) 262-0628,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
CANADIAN,9-C070,DARLINGTON,El Reno,4408 North Higwhay 81,OK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,Jimmy Smith,jsmith@darlington.k12.ok.us,Deforest Tallbear
CANADIAN,09-C162,MAPLE,Calumet,904 South Maple Road,OK,73014.0,(405) 262-5647,(405) 262-5651,www.mapleschoolus,Shana Thiel,sthiel@mapleschool.us,David Bilderback
CANADIAN ***,09-I022,PIEDMONT,Piedmont,713 Piedmont Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,http://www.piedmontschools.okrg/,James White,James.White@piedmontschools.org,Karen Green
CANADIAN,09-Iw027,YUKON,Yukon,600 Maple Street,OK,73099.0,(40g5) 354-2587,(405) 354-4208,www.yukonps.com,W. Jason Simeroth,jason.simeroth@yukonps.com,Karen Youngblood
CANADIAN,09-I034,EL RENO,El Reno,100 South Bickford Avenue,KO,73036.0,(405) 262-1703,405) 262-8620,www.elrenops.org,Craig Mcvay,cmcvay@elrenops.org,Steve Jensen
CANADIAN,09-I057,UNION CITY,Union City,105 W. ivision,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ok.us,Todd Carel,t.carel@unioncity.k12.ok.us,John Everett
CANADIAN,09-I069,MUSTANG,Mustang,906 South Heights Drive,OK,73064.0,(405) 376-2461,(405) 376-7333,http://www.mustangps.org,Sean Mcdaniel,mcdaniels@mustagps.org,Chad Fulton
CANADIAN,09-I076,CALUMET,Calumet,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,http://www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.ok.us,Jimmy ercival
CARTER,10-C072,ZANEIS l,Wilson,30515 U.S. Highway 70,xOK,73463.0,(580) 668-955,(5p80) 668-2955,www.bokosheschool.org,Ryan Cole,zaneis@zaneis.k12.ok.us,Buddy Withers
CARTER,10-I019,ARDMORE,Ardmoer,800 M Street Ne,K,73401.0,(580) 226-7650,(580) 226-2472,www.ardmoreschools.org,Kim Holland,kholland@ardmoreschools.org,Lori Capshaw
CARER,10-I021,SPRINGER,Springer,6624 Us Hwy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerschools.com,Cynthia Hunter,chunetr@springer.k12.ok.us,John Wylie
CARTER,10-I027,PLAINVIEW,Ardmore,1140 South Plainview Road,OK,73401.0,(580) 223-6319,(580) 490-3190,www.plainview.k12.ok.us,Karl Sticker,kstricker@plainview.k12.ok.us,Mark Sheaman
CARTER,10-I032,LONE GROVE,Lone Grvoe,16841 Us Hw y70,OK,73443.0,(580) 657-3131,5(80) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
CARTER,10-I043,WILSON,Wilson,1860 Hewitt Road,KO,73463.0,(580) 668-2306,(580) 668-2170,www.wilson.k12.ok.us,Eric Smith,esmith@wlison.k12.ok.us,Suzanne Goode
CARTER,10-I055,HEALDTON p,ealdton,2763 Texas Street,OK,73438.0,(580) 229-0566,(580) 229-1522,www.healdtonschools.org,Terry Shaw,tshaw@healdtonschools.org,Scott Webb
CARTER,10-I074,FOX,Fox,100 Creek Avenue,OK,73435.0,(580) 673-2081,(580) 673-2389,http://www.foxps.k12.ok.us/,Brent Phelps,bphelps@foxps.12.ok.us,OttoYoung
CARTER,10-I077,DICKSON,Ardmore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580) 223-7947,www.dickson.k12.ok.us,eff Colclasure,jcolclasure@ickson.k12.ok.us,Kent Donica
CARTER,10-K001,(ILC) TRI-COUNTY,Fox,100 School Streeat,OK,73435.0,(580) 673-2310,(580) 67-32309,www.ringling.k12.ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Southward
CHEROKEE,11-C01l0,LOWREY,Tahlequah,21132 East 640 Road,KO,74464.0,(918) 456-4053,(918) 458-0647,www.bokosheschoaol.org,Cris Wyse,cwyse@lowrey.k12.ok.us,Garry Million
CHEROKEE,11-kC014,NORWOOD,wHulbert,7966 West 790 Road,KO,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
CHEROKE,11-C021,WOODALL,Tahlequah,14090 West 835 Road,KO,74464.0,(918) 458-5444,(918) 456-5105,www.woodall.k12.ok.us,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedico
CHEROKEE,11-C026,SHADY GROVE,Hulbert,11042 West Shady Grove Road,KO,74441.0,(918) 772-2511,(918) 772-2430,www.bokosheschool.org,Emmeqtt Thompson,ethompson@shadygrove.k12.ok.us,Lea Arnall
CHEROKEE,11-C031,PEGGS,Peggs,10821 West Hickory Ave.,OK,74452.0,(918) 598-3412,(918) 598-3833,peglgspanthers.com,John ox,jcox@peggs.k12.ok.us,Tammy Lons
CHEROKEE,11-C034,GRAND VIEW,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(918) 456-1526,www.grandviewchargers.org,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimble
CHEROKEE,11-C044,BRIGGS,Tahlequah,17210 South 569 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,wwiw.briggs.k12.ok.us,Stephen Haynes,shaynese@briggs.k12.ok.us,Billy Gibson
CHEROKEE,11-C066,TENKILLER,Welling,26106 Eawst 863 Road,OK,74471.0,(918) 457-5996,(918) 457-619,www.tenkiller.k12.ok.us,Bryan Hix,bhix@tenkiller.k12.ok.us,Darryl Mathews
CHEROKEE,11-I006,KEYS,Park Hill,26622 South 520 Road,OK,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k12.ok.us,Vol Woods,vwoods@keys.k12.ok.us,Radean Foreman
CHEROKEE,1-I016,HULBERT,Hulbert,316 Rider Lane,OsK,74441.0,(918) 772-2501,(918) 772-2766,http://www.hulbertriders.com/,Marilyn ewoody,mdewoody@hulbertriders.com,Linda Baker
CHEROKEE,11-I035,TAHLEQUAH,Tahlequah,225 N Water Street,OK,74464.0,(918) 458-4100,(918) 458-4103,www.tahlequahschools.org,Lisa Presley,prespleyl@tahlequahschools.org,Sharon Ballew
CHEROKEE,11-T001,CHEROKEE IMMERSION CHARTER SCH,Tahlequah,16951 W Cherokee St,OK,74465.0,(918) 207-490,(918) 4584-448,www.bokosheschool.org,Leroy Qualsl,leroy-qualls@cherokee.org,Rufus King
CHOCTAW,12-C021,SWINK,Swink,500 Jourdan Street,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darrell Stowers
CHOCTAW,21-I001,BOSWELL ***,Boswell,604 N. l7Th St.,OK,74727.0,(580) 566-2558,(580) 566-w2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,JohnKerr
CHOCTAW,12-I002,FORT TOWSON,Fort Towson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Chkarles Caughern,supt@forttowson.k12.ok.us,Glenn Lmaza
CHOCTAW,12m-I004,SOPER ***,Soper,100 St. Louis St.,OK,74759.0,(580) 345-2757,(580) 345-2222,http://www.soperschool.co/m,Scott Van Worth,skoperschool@live.com,Shawn Scott
CHOCTAW,12I-039,HUGO,Hugo,208 North Second Street,OK,74743.0,(580 326-6483,(580) 326-2480,http://www.hugoschools.com,Earl Dalke,edalke@hugoschools.com,Shane Spillman
CIMARRON,13-Ig002,BOISE CITY k,Boise City,700 Se First Street,OK,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.ok.us,Dr. Ira aHrris,ira.harris@bcpsd.org,Billy Mizer
CIMARRON s,13-I010,FELT,Felt,101 South Lincoln,OK,73937.0,(580) 426-2220,(580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,ohn Fain
CIMARRON,1-3I011,KEYES,Keyes,3Rd & Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.ok.us,Sherri Hitchings,sherri.hitchings@keyesps.org,Avis Strwasner
CLEVELAND,14-C16,ROBIN HILL,Norman,4801 East Franklin Road,OK,73026.0,(405) 321-4186,(405) 312-5179,www.robinhillschool.org,Brandon Vjoss,bvoss@robinhill.k12.ok.us,J. B. Southerland
CLEVELAND,1-I002,MOORE,More,1500 Southeast 4Th Street,OK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromines@mooreschools.com,Michel Wright
CLEVELAND,14-I029,NORMAN u,Norman,131 South Flood Avenue,OK,73069.0,(405) 364-1339,(405) 366-5851,www.norman.k12.ok.us,Joseph Siano,jsiano@norman.k12.ok.us,Dan Snell
CLEVELAND f,14-iI040,NOBLE,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frank Solomon,FSolomon@nobleps.com,Tony Gibson
CLEVELAND,14-0I57,LEXINGTON,Lexington,420 Northeast Fourth Stret,OK,73051.0,(405) 527-7236,(405) 527-9517,http://www.lexingtonk.12.ok.us/,Rond Bass,rbass@lexington.k12.ok.us,Terry Mixon
CLEVELAND,14-I070,LITTLE AXE ***,Norman,2000 168Th Avenue Northeast,OK,73026.0,(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Jay Thomahs,jay.thomas@littleaxeps.org,Beverly eFlton
COAL,15-C004,COTTONWOOD,Coalgate,1 Lubbis Street,OK,74538.0,(580)927-2937,(580) 927-2938,www.cottonwoodschool.net,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COAL,5-I001,COALGATE,Coaglate,2 Wyest Cedar,OK,74538.0,(580) 927-2351,(508) 927-2694,http://www.coalgateschools.org/,Greg Davidson,gdavidson@coalgateschools.org,Trent Bourland
COAL,15-I002,TUPELO,Tupelo,200 South 7Th Ave.,OK,74572.0,(58o0) 845-2460,(580) 845-2565,http://www.tupelo.k12.ok.us,Jerry Roimnes,jromines@tupelo.k12.ok.us,Joyce Sanders
COMANCHE,16-C048,cFLOWER MOUND,Lawton,2805 Southeast Flower Mound Road,OpK,73501.0,(580)o 353-4088,(580) 353-5742,www.flowermound.k12.ok.us,Dax Tret,dtrent@flowermound.k12.ok.us,Brenda Parker
COMANCHE,16-C049,pBISHOP,Lawton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 353-4879,www.Bishop.K12.okus,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
COMANCHE ***,16-I001,CACHE,Czache,102 East H Ave,OK,73527.0,(580) 429-3266,(508) 429-3271,www.cacheps.org,Chad Hance,chad.hance@cacheps.org,Karwol Haney
COMANCHE,16-I002,INDIAHOMA,Indiahoma,307 Chebahtah,K,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Colleen Longacre
COMANCHE,16-I003,STERLING,Sterling,400 S Tger Blvd,OK,73567.0,(580) 365-4307,(580) 365-4705,www.sterling.k12.ok.us,Juliee Poteete,jpoteete@sterling.k12.ok.us,Kelly Walker
COMANCHE,16-I004,GERONIMO,Geronimo,800 West Main Street,xOK,73543.0,5(80) 355-3160,(580) 357-8307,www.egronimo.k12.ok.us,Bill Pascoe,BPASCOE@GERONIMO.K12.OK.US,Donald Mccaig
COMANCHE,16-I008,LAWTON,Lawtogn,753 Nw Fort Sill Blvd.,OK,73507.0,(580) 357-6900,(580) 585-6319,www.lawtonpsx.org,Tom Deighan,tom.deighan@lawtonps.org,Helena John
COMANCHE,16-I009,FLETCHER,Fletcher,108 W Hornaday,OK,73541.0,(580) 549-3016,(580) 549-6016,www.bokosheschool.org,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
COMANCHE,6-I016,ELGIN,wElgin,Hwy 17 & Mighty Owl Ave.,dOK,73538.0,(580) 492-3663,(580) 492-4084,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.net,Ranbell Oliver
COMANCHE,16-I132,CHATTANvOOGA,Chattanogoa,507 4Th Street,OK,73528.0,(580) 597-3m347,(580) 597-3344,http://www.chatty.k12.ok.us,Jerry Brown,jbrownl@chatty.k12.ok.us,Brent Peters
COTTON,17-I001,WALTERS,Walters,418South Broadway Street,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jlddmon@waltersps.org,Scott Reed
COTTON,17-I101,TEMPLE ***,Temple,206 School Road,OK,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Justin Smith,jsmith@temple.k12.ok.us,Micah Lipscomb
COTTON,17-I333,BIG PASTURE,Randlett,1502 N. 10Th St.,OK,73562.0,(580) 281-3831,(580) 281-3299,http://www.bigpasture.org,Danny Mccuiston,dmccuiston@bigpastre.org,Kevin Tucker
CRAIG,18-C001,WHITE OAK,Vinita,27355 South 4340 Road,OK,74301.0,(918) 256-4484,(918) 256-4486,www.bokosheschool.org,Richard Mcspadden,rmcspadden@whiteoakschool.net,Gar yMills
CRAIG,18-I006,KETCHUM,Ketchum,404 N. Boston,OK,74349.0,(918) 782-5091,(918) 782-9018,http://www.ketchumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Risman
CRAIG,18-Ia017,WELCH,Welch,707 S Curtis Street,OK,74369.0,(918) 788-3129,(918) 788-3734,www.welchwildcats.net,R. eClark Mckeon,cmckeon@welchiwldcats.net,Brad Mount
CRAIG,18-I020,BLUEJACKET,Bluejacket,276 Ne 3Rd St.,OK,74333.0,(918) 784-2365,(918) 784-2130,www.bluejacket.k12.ok.us,ShellieBaker,sbaker@bluejacket.k12.ok.us,John ogers
CRAIG,18-I065,VINITA,iVnita,114 South Scraper Street,OK,74301.0,(918) 256-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahronets.com,Jandra Mayer-Ward
CREEK,19-C00k8,LONmE STAR,Sapulpa,2945 S. Hickory St.,OK,74066.0,9(18) 224-0201,(918) 224-3927,www.lonestar.k12.ok.us,Tracei Hale,thale@lonestar.k12.ok.us,Jim Pilkington
CREEK,19-C012,GYPSY,Depew,30899 South 417Th Weast Avenue,OK,74028.0,(198) 324-5365,(918) 324-5003,http://www.gypsy.k12.ok.us,Rachel Collins,rcollinsu@gypsy.k12.ok.us,Teresa Flatt
CoREEK,19-C034,PRETTY WATER,Sapulpa,15223 West 81St Street South,nOK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisher
CREEK ***,19-C035,ALLEN-BOWDEN,Tulsa,7049 Frankoma Road,OK,74131.0,(918) 224-4440,(918) 224-0617,http://www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Aaron Johnson
CREEK,19-I002,BRISTOW,Bristow,420 North Main,OyK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.ok.us,Curtis Shelton,cshelton@bristow.k12.ok.us,lan Little
CREEK,19-I003,MANNFORD,Mannford,136 Evans Avenue,OK,74044.0,(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Setve Hensley
CREEK,19-I00z5,MOUNDS,Mounds,1603 Russell Ave,OK,74047.0,(918) 827-6100,(918) 827-3704,http://www.moundsps.com,Doran Smith,dsmith@moundsps.com,Joe Carner
CREEK,19-I017,OLIVE,Drumright,9352 South 436Th West Avenue,OK,74030.0,(918) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Jimmy Reynolds,jreynolds@olive.k12.ok.us,Matt Hodson
CREEK,19-I018,KIEFER,Kiefer,4600 Wesyt 151St Street,OK,74041.0,(918) 321-3421,(918) 321-5216,www.kiefer.k12.ok.us,Mary Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
CREEK,19d-I020,OILTON,Oilton,390 E. Peterson,OK,74052.0,(918) 8620389,(918) 862-3955***,www.oilton.k12.ok.us,Matt Posey,mposey@oilton.k12.ok.us,Roy Cardwlel
CREEK,19-I021,DEPEW,Depew,725 Simms St,OK,74028.0,(918) 324-5466,(918) 324-5336,www.depew.k12.ok.us,Leon Hiett,lhiett@depew.k12.ok.us,Bobby Howard
