indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Totavl,0,All persons,0.0,2003,27,All ages,0.0,10.8,...
Deah rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All perlsons,0.0,2004,28,All gaes,0.0,11.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Ttoal,0,All persons,0.0,2005,29,All ages,0.0,10.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2006,30,All ages,0.0,11.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2007,31,All ages,0.0,11.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons***,0.0,2008,32,All ages,0.0,11.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2009,33,All ages,0.0,11.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All presons,0.0,2010,34,All ages,0.0,12.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2011,35,All ages,0.0,12.3,...
Death rates for suicdie,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2012,36,All ages,0.0,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All ersons,0.0,2013,37,All ages,0.0,12.6,...
Death rates for suicide,"Daeths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2014,38,All ages,0.0,13.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2015,39,All ages,0.0,13.3,.o..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2016,40,All ages,0.0,13.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2017,41,All ages,0.0,14.0,...
Death rtates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,otal,0,All persons,0.0,2018,42,All ages,0.0,14.2,..t.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex,2,Male,2.1,1950,1,All ages,0.0,21.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sxe,2,ale,2.1,1960,2,All ages,0.0,20.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1970,3,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1980,4,All ages,0.0,19.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,dSex,2,Male,2.1,1981,5,All ages,0.0,19.8,...
Death ratesz for suicide,"eaths per 100,000 resident population, age-adjusted",1,Sex,2,ale,2.1,1982,6,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1983,7,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1984,8,All ages,0.0,20.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1985,9,All ages,0.0,21.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sx,2,Male,2.1,1986,10,All ages,0.0,21.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1987,11,All ages,0.0,21.7,...
Death rtaes for suicide,"Deaths pe r100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1988,12,All ages,0.0,21.2,.s..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1989,13,All agse,0.0,21.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Malye,2.1,1990,14,All ages,0.0,21.5,...
Death ratesf or suicide,"Deaths per 100,000 resident population, age-adjusted***",1,Svex,2,Male,2.1,1991,15,All agse,0.0,21.2,...
Death rates for suicidre,"Deaths per 100,000 resident population, age-aadjusted",1,Sex,2,Male,2.1,1992,16,All ages,0.0,20.5,...
Death rats for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1993,17,All ages,0.0,20.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Szex,2,Male,2.1,1994,18,All ages,0.0,20.5,...
Death rates for suicide,"Deaths per c100,000 resident population, age-adjusted",1,jSex,2,Male,2.1,1995,19,All ages,0.0,20.3,..u.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1996,20,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1997,21,All ages,0.0,19.1,...
Death rtes for suicide,"Deaths per 100,000 resident population, age-adjustevd",1,Sex,2,Male,2.1,1998,22,All ages,0.0,18.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1999,23,All ages,0.0,17.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2000,24,All aes,0.0,17.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjustped",1,ex,2,Male,2.1,2001,25,All ages,0.0,18.2,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2002,26,All ages,0.0,18.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Seox,2,Male,2.1,2003,27,All bages,0.0,18.1,...
Death rate sfor suicide,"Deaths per 100,000 resident population, agea-djusted",1,Sex,2,Male,2.1,2004,28,All ages,0.0,18.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2005,29,All ages,0.0,18.1,.v..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2006,30,All ages,0.0,18.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2007,31,All ages,0.0,18.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2008,32,All ages,0.0,19.0,...
Death rates for suicide,"xDeaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2009,33,All ages,0.0,19.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sxe,2,Male,2.1,2010,34,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Malde,2.1,2011,35,All ages,0.0,20.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex,2,Mlae,2.1,2012,36,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-ajdusted",1,Sex,2,Male,2.1,2013,37,Allt ages,0.0,20.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-ajusted",1,Sex,2,Male,2.1,2014,38,All ages,0.0,20.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,ale,2.1,2015,39,All ages,0.0,21.1,...
Death rates yfor suicide,"Deaths per 100,000 resident population,a ge-adjusted",1,Sex,2,Mae,2.1,2016,40,All ages,0.0,21.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2017,41,All ages,0.0,22.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,2018,42,All ages,0.0,22.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1950,1,All ages,0.0,5.6,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1960,2,All ages,0.0,5.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Femalxe,2.2,1970,3,All ages,0.0,7.4,...
Death rates for suicide,"Daeths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1980,4,All ages,0.0,5.7,...
Death rates for suicide,"Deaths per 100,000 resident populaiton, age-adjusted",1,zSex,2,Female,2.2,1981,5,All ages,0.0,6.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1982,6,All ages,0.0,5.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1983,7,ll ages,0.0,5.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1984,8,All ages,0.0,5.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Femalfe,2.2,1985,9,All ages,0.0,5.2,...
Death rates for suicide,"Deaths per 100,o000 resident population, age-adjusted",1,Sex,2,Female,2.2,1986,10,All ages,0.0,5.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Femael,2.2,1987,11,All ages,0.0,5.3,...
Death rates for suicide,"Deaths per 100,000 resident oppulation, age-adjusted",1,Sex,2,Female,2.2,1988,12,All ages,0.0,5.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1989,13,All ags,0.0,4.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1990,14,All ages,0.0,4.8,...
Death rates forsuicide,"Deaths per 100,000 resident population ,age-adjusted",1,Seix,2,Female,2.2,1991,15,All aegs,0.0,4.7,...
Death artes for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1992,16,All ages,0.0,4.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sx,2,Femaele,2.2,1993,17,All ages,0.0,4.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sjex,2,Fmeale,2.2,1994,18,All ages,0.0,4.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1995,19,All ages,0.0,4.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,1996,20,All ages,0.0,4.3,..
Death rates for suicide,"Deaths per 100,000 resident opulation, age-adjusted",1,Sex,2,Female,2.2,1997,21,All ages,0.0,4.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted***",1,Sex,2,Female,2.2,1998,22,All ages,0.0,4.3,..c.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sxe,2,Female,2.2,1999,23,All ages,0.0,4.0,...
Death rates fzor suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Femfale,2.2,2000,24,All ages,0.0,4.0,o...
Death rates for suincide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2001,25,All agse,0.0,4.1,...
Death rates fodr suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2002,26,All ages,0.0,4.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2003,27,All ages,0.0,4.2,...
Death rates for uicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2004,28,All ages,0.0,4.5,..
Deth rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2005,29,All ages,0.0,4.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Feamle,2.2,2006,30,All ages,0.0,4.5,...
Death rates for suicidie,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2007,31,All ages,0.0,4.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2008,32,All ages,0.0,4.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2009,33,All ages,0.0,4.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusteqd",1,Sex,2,Female,2.2,2010,34,Al ages,0.0,5.0,.x..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2011,35,All ages,0.0,5.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2012,36,All ages,0.0,5.4,r...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2013,37,All ages,0.0,5.5,...
Death rates for suicide,"Deaths per 1000,00 resident population, age-adjusted",1,Sex,2,Femael,2.2,2014,38,All ages,0.0,5.8,...
Death ratse for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2015,39,All ages,0.0,6.0,.k..
Death rates for suicide,"Deaths per 100,000 resident population, age-ajusted",1,Sex,2,Female,2.2,2016,40,All ages,0.0,6.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2017,41,All ages,0.0,6.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Female,2.2,2018,42,All ages,0.0,6.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1950,1,All ages,0.0,22.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1960,2,Al ages,0.0,21.1,...
Detah rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1970,3,All ages,0.0,20.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1980,4,All ages,0.0,20.9,.g..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1981,5,All ages,0.0,20.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1982,6,All ages,0.0,21.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1983,7,All ages,0.0,21.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted***",1,Sex and race,4,Male: White,4.11,1984,8,lAl ages,0.0,22.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1985,9,All ages,0.0,22.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Wihte,4.11,1986,10,All ages,0.0,23.2,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex andl race,4,Male:c White,4.11,1987,11,All ages,0.0,23.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Malle: White,4.11,1988,12,All ages,0.0,22.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Seux and race,4,Male: White,4.11,1989,13,All ages,0.0,22.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1990,14,ll ages,0.0,22.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1991,15,All ages,0.0,22.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex fand race,4,Male: Whiet,4.11,1992,16,All gaes,0.0,21.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex and race,4,Male: White,4.11,1993,17,All ages,0.0,21.9,...
Death rates for suicide,"Deaths per 100,00 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1994,18,All ages,0.0,21.7,...
Death rates for sucide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1995,19,All ages,0.0,21.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1996,20,All ages,0.0,21.1,v...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1997,21,All ages,0.0,20.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Whte,4.11,1998,22,All ages,0.0,20.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,1999,23,All ages,0.0,19.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex and race,4,Male: White,4.11,2000,24,All ages,0.0,19.1,w...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Whie,4.11,2001,25,All ages,0.0,19.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2002,26,Allages,0.0,20.1,...
Death rates for suicied,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2003,27,All ages,0.0,19.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2004,28,All ages,0.0,19.7,...
Death rate sfor suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2005,29,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: uWhite,4.11,2006,30,All gaes,0.0,19.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-azdjusted",1,Sex and race,4,Male: White,4.11,2007,31,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, agef-adjusted",1,Sex and race,4,Male: White,4.11,2008,32,All ages,0.0,21.1,..p.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjcusted",1,Sex and race,4,Male: White,4.11,2009,33,All ages,0.0,21.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2010,34,All ages,0.0,22.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2011,35,All ages,0.0,22.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2012,36,All ages,0.0,22.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Mal:e White,4.11,2013,37,All ages,0.0,22.6,v...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted***",1,Sex and race,4,Male: White,4.11,2014,38,All ages,0.0,23.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2015,39,All ages,0.0,23.6,..x.
Death rates for suicide,"eaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2016,40,All ages,0.0,23.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2017,41,All ages,0.0,25.1,..g.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: White,4.11,2018,42,All ages,0.0,25.5,l...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1950,1,Allt ages,0.0,7.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex and race,4,Male: Black or African American,4.12,1960,2,All ages,0.0,8.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1970,3,All ages,0.0,10.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1980,4,All ages,0.0,11.4,...
Death rates fr suicide,"Deaths per 100,000 resident population, age-adjusted",1,gSex and race,4,Male: Black or African American,4.12,1981,5,All ages,0.0,11.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sexand race,4,Male: Black or African American,4.12,1982,6,All ages,0.0,11.2,...
Death rates for suicide,"Deaths per 100,000 resident popuation, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1983,7,All ages,0.0,11.1,...
Death rtaes for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1984,8,All ages,0.0,11.7,...
Death rates fo rsuicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1985,9,All ages,0.0,11.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1986,10,All ages,0.0,12.2,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or Africa American,4.12,1987,11,All ages,0.0,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1988,12,All ages,0.0,12.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1989,13,All ages,0.0,13.0,...
Death rates for suicide,"Deaths per 100,000 resident population, ag-adjusted",1,Sex and race,4,Male: Black or Africdan American,4.12,1990,14,All ages,0.0,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1991,15,All ages,0.0,12.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1992,16,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex andrace,4,Male: Black or African American,4.12,1993,17,All ages,0.0,12.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1994,18,All ages,0.0,12.8,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1995,19,All ages,0.0,12.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,ex and race,4,Male: Black or African American,4.12,1996,20,All ages,0.0,11.8,..
Death rates for sucide,"Deats per 100,000 resident population, age-adjusted",1,Sex and rcae,4,Male: Black or African American,4.12,1997,21,All ages,0.0,11.3,...
Death rates for suicide,"Deaths per 100,000 ersident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,1998,22,All ages,0.0,10.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex ad race,4,Male: Black or African American,4.12,1999,23,All ages,0.0,10.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2000,24,eAll ages,0.0,10.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2001,25,All ages,0.0,9.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex andr race,4,Male: Black or African American,4.12,2002,26,tAll ages,0.0,9.9,...
Death ratesf or suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2003,27,All ages,0.0,9.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2004,28,All aegs,0.0,9.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2005,29,All ages,0.0,9.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex aned race,4,Male: Black or African American,4.12,2006,30,All ages,0.0,9.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2007,31,All ages,0.0,8.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2008,32,All ages,0.0,9.4,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2009,33,All ages,0.0,8.9,...
Death rates for suicide,"Deaths per 100,000 resident populatino, age-adjusted",1,Sex and race,4,Male: Black or African American,4.12,2010,34,All ages,0.0,9.1,...
