OBJECTID_1,OBJECTID,Perimeter,Area,ACRES,DELINSQMI,TINWSYS_IS,PWS_ID,PWS_Name,PWS_label,TINWSYS_D_,TINWSF_IS,TINWSF_NAM,TINWSF_WAT,Src_label,DWS_ID,OREGON_DWP,CITY,CNTY_NAME,EPA_METHOD,OR_METHOD,Comments,FIPS_CNTY,OR_CNTY_NU,TINWSYS_ST,UTM_ZONE,SDWIS_link,UpStrm_Cd,UpStrmPWSs,DwnStrm_Cd,Assessment,SUBBASIN,SUBBASIN_N,HUC12_NHD,HUC12_WBD,WRD_basin,DATE_DEL,INITIALS_D,DATE_DIG,INITIALS_1,DATE_PROC,INITIALS_P,METHOD,Comment,HUC4_edit,Separate,SQMI,Shape__Area,Shape__Length
11,14,846903.098435,13767985646.1,316070.723558,493.860505624,3949,4100276,"ELKTON, CITY OF",City of Elkton,C,11694,UMPQUA RIVER, ,Umpqua River,100424,153,ELKTON,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00276,10,YES,185,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100276,17100303,Umpqua, , , ,2000/04/13 00:00:00+00,AECZ,2000/04/13 00:00:00+00,AECZ,2000/04/13 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,493.860505624,2421445762.625,355107.802434392
12,15,733414.600174,12695670593.1,291453.658768,455.396341883,3895,4100513,MEDFORD WATER COMMISSION,Medford Water Commission,C,11867,ROGUE RIVER, ,Rogue River,100766,196,MEDFORD,JACKSON, , , ,29,15,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00513,12,YES,75,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100513,17100308,Middle Rogue, , , ,2000/03/28 00:00:00+00,AECZ,2000/03/28 00:00:00+00,AECZ,2000/03/28 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,455.396341883,2163646688.51563,302783.284698069
13,16,534511.108817,12567960020.6,288521.815716,450.815337115,4008,4101092,USFS TILLER RANGER STATION,USFS Tiller Ranger Station,C,11768,SOUTH UMPQUA RIVER, ,South Umpqua River,101634,171,ROSEBURG,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=01092,13,NO,170,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4101092,17100302,South Umpqua, , , ,2000/05/12 00:00:00+00,KTS,2000/05/12 00:00:00+00,KTS,2002/03/04 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,450.815337115,2186411849.53906,222934.86684896
14,17,792333.576664,12371977057.2,284022.647962,443.785387498,3958,4100333,"GOLD HILL, CITY OF",City of Gold Hill,C,11701,ROGUE RIVER, ,Rogue River,100494,197,GOLD HILL,JACKSON, , , ,29,15,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00333,14,YES,74,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100333,17100308,Middle Rogue, , , ,2000/03/27 00:00:00+00,AECZ,2000/03/27 00:00:00+00,AECZ,2000/03/27 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,443.785387498,2099678368.61719,326530.854520936
15,18,724114.936477,12329767105.9,283053.636941,442.271307777,4231,4100613,"PENDLETON, CITY OF",City of Pendleton,C,18559,UMATILLA RIVER, ,Umatilla River,500056,30,PENDLETON,UMATILLA, , , ,59,30,OR,11,https://yourwater.oregon.gov/inventory.php?pwsno=00613,15,NO,184,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100613,17070103,Umatilla, , , ,2001/11/06 00:00:00+00,AECZ,2001/11/06 00:00:00+00,AECZ,2001/11/06 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,442.271307777,2340705231.69531,315507.07614802
16,19,683732.120969,10035112687.7,230375.40928,359.961577046,4319,4100837,SPRINGFIELD UTILITY BOARD,Springfield Utility Board,C,20710,MIDDLE FORK WILLIAMETTE RIVER, ,Middle Fork Willamette River, ,210,SPRINGFIELD,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00837,19,YES,72,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100837,17090001,Middle Fork Willamette, , , ,2006/09/13 00:00:00+00,SDA,2006/09/13 00:00:00+00,SDA,2006/09/13 00:00:00+00,SDA,DRG_AI,DWSA accepted by Chuck Davis-SUB (sda 07JUN2007), ,JoinToRight,359.961577046,1800116832.33594,289469.575968866
17,20,556952.224402,9752028239.41,223876.658578,349.807279073,3115,4101012,PP&L-TOKETEE VILLAGE,PP&L-Toketee Village,C,11755,TOKETEE LAKE (N.UMPQUA RIVER), ,Toketee Lake (N.Umpqua River),101539,162,IDLEYLD PARK,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=01012,20,NO,123,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4101012,17100301,North Umpqua, , , ,2000/12/14 00:00:00+00,AECZ,2000/12/14 00:00:00+00,AECZ,2000/12/14 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,349.807279073,1708467128.45313,233073.546650646
18,21,518567.042079,8384992513.16,192493.711048,300.771423551,3988,4100706,"RIDDLE, CITY OF",City of Riddle,C,11726,COW CREEK, ,Cow Creek,101107,184,RIDDLE,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00706,22,YES,166,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100706,17100302,South Umpqua, , , ,2000/05/01 00:00:00+00,KTS,2000/05/01 00:00:00+00,KTS,2002/03/07 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,300.771423551,1449533875.9375,215586.723376317
19,22,511153.859325,7879290465.64,180884.343042,282.631786039,4234,4100551,"MYRTLE POINT, CITY OF",City of Myrtle Point,C,11787,NORTH FORK COQUILLE RIVER, ,North Fork Coquille River,100838,165,MYRTLE POINT,COOS, , , ,11,6,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00551,23,NO,34,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100551,17100305,Coquille, , , ,2000/04/06 00:00:00+00,AECZ,2000/04/06 00:00:00+00,AECZ,2000/04/06 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,282.631786039,1377938044.63281,213719.427877631
20,23,600683.392448,7320089778.75,168046.810358,262.573141218,4544,4100187,CLACKAMAS RIVER WATER-CLACKAMAS,Clackamas River Water - Clackamas,C,11690,CLACKAMAS RIVER, ,Clackamas River,100284,53,CLACKAMAS,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00187,26,YES,14,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100187,17090011,Clackamas, , , ,2000/04/04 00:00:00+00,KTS,2000/04/04 00:00:00+00,KTS,2000/09/06 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,262.573141218,1375461110.30469,260287.269862136
21,24,587528.951934,6789919890.78,155875.735779,243.555837187,4001,4100939,"WESTFIR, CITY OF",City of Westfir,C,11745,NORTH FORK OF WILLAMETTE, ,North Fork of Willamette River,101450,144,WESTFIR,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00939,27,NO,71,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100939,17090001,Middle Fork Willamette, , , ,2000/05/16 00:00:00+00,KTS,2000/05/16 00:00:00+00,KTS,2000/05/17 00:00:00+00,KTS,DRG_AI, , ,JoinToRight,243.555837187,1213654637.55469,248373.896244134
22,25,524753.772754,5896889579.93,135374.498796,211.522654396,4687,4100811,"SHERIDAN, CITY OF",City of Sheridan,C,11815,SOUTH YAMHILL RIVER, ,South Yamhill River,101254,71,SHERIDAN,YAMHILL, , , ,71,36,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00811,29,YES,223,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100811,17090008,Yamhill, , , ,2000/03/08 00:00:00+00,KTS,2000/03/08 00:00:00+00,KTS,2000/03/08 00:00:00+00,KTS,DRG_AI, , ,JoinToRight,211.522654396,1097953152.15625,226461.304057119
23,26,472700.690408,5729801000.49,131538.657479,205.529152337,3993,4100821,"SILETZ, CITY OF",City of Siletz,C,11486,SILETZ RIVER, ,Siletz River,101267,82,SILETZ,LINCOLN, , , ,41,21,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00821,30,NO,144,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100821,17100204,Siletz-Yaquina, , , ,2000/03/27 00:00:00+00,KTS,2000/03/27 00:00:00+00,KTS,2001/09/19 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,205.529152337,1058309110.61719,203122.617171413
24,27,455624.145895,5712158341.73,131133.636144,204.896306502,3905,4100720,"ROSEBURG, CITY OF - WINCHESTER",City of Roseburg,C,11730,NORTH UMPQUA RIVER, ,North Umpqua River,101126,164,ROSEBURG,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00720,31,YES,122,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100720,17100301,North Umpqua, , , ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,204.896306502,1000599491.44531,190664.006037673
25,28,375087.093514,5660777233.2,129954.08348,203.053255463,3971,4100534,"MOLALLA, CITY OF",City of Molalla,C,11803,MOLALLA RIVER, ,Molalla River,100811,75,MOLALLA,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00534,32,NO,88,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100534,17090009,Molalla-Pudding, , , ,1999/09/07 00:00:00+00,CJB,1999/09/07 00:00:00+00,CJB,1999/09/17 00:00:00+00,AECZ,DRG_AV, , ,JoinToRight,203.053255463,1052392385.57031,161744.215186181
26,29,541670.662586,5360009427.49,123049.377126,192.264651784,3945,4100246,"CRESWELL, CITY OF",City of Creswell,C,11845,COAST FORK WILLAMETTE RIVER, ,Coast Fork Willamette River,100373,145,CRESWELL,LANE, , , ,39,20,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00246,33,YES,20,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100246,17090002,Coast Fork Willamette, , , ,2000/10/04 00:00:00+00,AECZ,2000/10/04 00:00:00+00,AECZ,2000/10/04 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,192.264651784,953498910.515625,228537.495193124
27,30,551898.63327,5027449706.46,115414.825903,180.335665496,3889,4100379,HILLSBORO-FOREST GROVE-BEAVERTON,Hillsboro & JWC Plant,C,11704,TUALATIN RIVER, ,Tualatin River,100569,36,FOREST GROVE,WASHINGTON, , , ,67,34,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00379,35,YES,182,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100379,17090010,Tualatin, , , ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,2000/03/20 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,180.335665496,951525104.890625,240168.092765812
28,31,414498.013021,4859212275.58,111552.610479,174.300953897,4306,4100957,WINSTON-DILLARD WATER DISTRICT,Winston-Dillard Water District,C,11749,SOUTH UMPQUA RIVER, ,South Umpqua River,101471,168,WINSTON,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00957,36,YES,159,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100957,17100302,South Umpqua, , , ,2000/04/28 00:00:00+00,KTS,2000/04/28 00:00:00+00,KTS,2002/02/25 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,174.300953897,846660788.679688,173030.875335827
29,32,480889.973489,4414284151.15,101338.425352,158.341289633,3973,4100549,TRI-CITY WATRI-CITY JW & SA,Tri-City JW & SA,C,11831,SOUTH UMPQUA RIVER, ,South Umpqua River,100835,178,MYRTLE CREEK,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00549,37,YES,165,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100549,17100302,South Umpqua, , , ,2000/04/28 00:00:00+00,KTS,2000/04/28 00:00:00+00,KTS,2002/03/06 00:00:00+00,AECZ,DRG_AI, ,N/A,JoinToRight,158.341289633,765895719.273438,200321.737271574
30,33,500685.314698,4361508336.39,100126.85451,156.448210193,3254,4100152,"BROWNSVILLE, CITY OF",City of Brownsville,C,11492,CALAPOOIA RIVER, ,Calapooia River,100227,125,BROWNSVILLE,LINN, , , ,43,22,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00152,38,NO,206,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100152,17090003,Upper Willamette, , , ,2000/03/31 00:00:00+00,KTS,2000/03/31 00:00:00+00,KTS,2001/10/01 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,156.448210193,791788270.25,213233.541267773
31,34,347522.917314,4100261523.55,94129.4289405,147.077232739,3901,4100672,"POWERS, CITY OF",City of Powers,C,11862,SOUTH FORK (COQUILLE RIVER), ,South Fork Coquile River,101050,187,MYRTLE CREEK,COOS, , , ,11,6,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00672,39,NO,36,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100672,17100305,Coquille, , , ,2000/04/06 00:00:00+00,AECZ,2000/04/06 00:00:00+00,AECZ,2000/04/06 00:00:00+00,AECZ,DRG_AI,Modified to NHD hydrography (sda 19SEP2016)., ,JoinToRight,147.077232739,707499243.867188,144381.269100233
32,35,475330.880123,4690705378.17,107684.208931,168.256576477,3967,4100493,LYONS MEHAMA WATER DISTRICT,Lyons Mehama Water District,C,11709,NORTH SANTIAM RIVER, ,North Santiam River,100735,85,LYONS,MARION, , , ,47,24,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00493,40,YES,112,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4106169,17090005,North Santiam, , , ,2000/03/21 00:00:00+00,KTS,2000/03/21 00:00:00+00,KTS,2001/11/26 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,168.256576477,865790783.6875,204123.417940731
33,36,363704.132007,3814136862.19,87560.8842695,136.813881689,3879,4100157,CANBY UTILITY,Canby Utility,C,11818,MOLALLA RIVER MAIN INTAKE & IG (NEW 10/98), ,Molalla River Main Intake & IG,100239,69,CANBY,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00157,230,YES,86,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100157,17090009,Molalla-Pudding, , , ,2000/02/10 00:00:00+00,KTS,2000/02/10 00:00:00+00,KTS,2000/08/23 00:00:00+00,AECZ,DRG_AI,"New source 10/1998; New delineation added (sda).", ,JoinToRight,136.813881689,713516476.5,157273.229716839
34,37,638951.193926,3759636457.07,86309.7221226,134.858940834,3926,4190416,GEORGIA-PACIFIC CPLP WAUNA,Georgia-Pacific CPLP Wauna,NTNC,11765,COLUMBIA RIVER, ,Columbia River,103001,1,CLATSKANIE,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=90416,42,YES,52,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4190416,17080003,Lower Columbia-Clatskanie, , , ,2000/12/14 00:00:00+00,AECZ,2000/12/14 00:00:00+00,AECZ,2000/12/14 00:00:00+00,AECZ,DRG_AI, ,done,JoinToRight,134.858940834,741832825.570313,272456.49539638
35,38,468559.25508,3744945737.75,85972.468264,134.33198168,3983,4100624,PHILOMATH PUBLIC WORKS,Philomath Public Works,C,11795,MARY'S RIVER, ,Mary's River,100968,109,PHILOMATH,BENTON, , , ,3,2,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00624,43,YES,201,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100624,17090003,Upper Willamette, , , ,2000/03/29 00:00:00+00,KTS,2000/03/29 00:00:00+00,KTS,2001/10/03 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,134.33198168,686232701.046875,200575.765087251
36,39,380525.562035,3663331879.04,84098.8643803,131.404475611,3972,4100548,CLARKS BRANCH WTR. ASSOCIATION,Clarks Branch Water Association,C,11715,SOUTH UMPQUA RIVER, ,South Umpqua River,100834,172,MYRTLE CREEK,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00548,44,YES,161,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100548,17100302,South Umpqua, , , ,2000/04/28 00:00:00+00,KTS,2000/04/28 00:00:00+00,KTS,2002/03/11 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,131.404475611,638207308.703125,158781.152664834
37,40,511689.47841,5437956909.93,124838.812255,195.060644173,3893,4100473,"LEBANON, CITY OF",City of Lebanon,C,11841,SANTIAM CANAL (SO SANTIAM), ,Santiam Canal,100710,119,LEBANON,LINN, , ,A portion of Sweet Home (west of Foster Lake) merged with Lebanon (BF- 8/2/18),43,22,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00473,46,YES,156,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100473,17090006,South Santiam, , , ,2000/01/23 00:00:00+00,KTS,2000/01/23 00:00:00+00,KTS,2001/10/23 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,195.060644173,991017913.070313,218376.255422052
38,41,276560.889005,2856909417.25,65585.8779826,102.477934361,3900,4100657,PORTLAND BUREAU OF WATER WORKS,Portland Bureau of Water Works,C,11811,BULL RUN, ,Bull Run,101008,45,PORTLAND,CLACKAMAS, , , ,5,3,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00657,48,NO,61,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100657,17080001,Lower Columbia-Sandy, , , ,2000/03/07 00:00:00+00,KTS,2000/03/07 00:00:00+00,KTS,2000/03/07 00:00:00+00,KTS,DRG_AI, ,done,JoinToRight,102.477934361,539850054,120186.800321539
39,42,350371.5533,2826780494.54,64894.2103236,101.397203644,3979,4100581,"OAKLAND, CITY OF",City of Oakland,C,11720,CALAPOOYA CREEK, ,Calapooya Creek,100887,158,OAKLAND,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=00581,49,NO,190,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4100581,17100303,Umpqua, , , ,2000/04/13 00:00:00+00,AECZ,2000/04/13 00:00:00+00,AECZ,2002/02/25 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,101.397203644,498979067.054688,147238.477506586
40,43,257260.677623,2517825425.38,57801.5495114,90.3149211233,4010,4101095,USFS WOLF CREEK JOB CORPS,USFS Wolf Creek Job Corps,C,11824,LITTLE RIVER, ,Little River,101638,166,ROSEBURG,DOUGLAS, , , ,19,10,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=01095,50,NO,124,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4101095,17100301,North Umpqua, , , ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,2000/04/24 00:00:00+00,AECZ,DRG_AI, , ,JoinToRight,90.3149211233,440613850.234375,107599.677818524
41,44,268710.655038,2486449144.85,57081.2463425,89.1894474217,4162,4105246,PGE BEAVER GENERATING STATION,PGE Beaver Generating Station,NTNC,11764,COLUMBIA RIVER, ,Columbia River,102259,2,CLATSKANIE,COLUMBIA, , , ,9,5,OR,10,https://yourwater.oregon.gov/inventory.php?pwsno=05246,51,NO,51,http://www.deq.state.or.us/wq/dwp/swrpts.asp?#4105246,17080003,Lower Columbia-Clatskanie, , , ,2000/03/31 00:00:00+00,CJB,2000/03/31 00:00:00+00,CJB,2000/03/31 00:00:00+00,KTS,DRG_AV, ,N/A,JoinToRight,89.1894474217,480059429.273438,118040.320145177
