namevalue,lat(double precision),long(double precision),mrc
Baily Points,33.25,-107.875,32105-H8
Baldy Mountain,36.625,-105.125,37104-A2
Bancos Mesa,36.875,-107.25,36107-H3
Bancos Mesa NW,36.875,-107.375,34106-D7
Bandanna Point,32.25,-104.5,34106-D7
Bar C Bar Ranch,28.30780084886774,-80.3970949432512,32107-B1
Bar Y Ranch,35.125,-104.625,32105-G8
Bard,35.125,-103.125,35106-A6
Barela,37.0,-104.25,32105-G8
Barn Draw,33.5,-104.625,34104-C3
Barth Well,34.875,-109.0,36104-C3
Bascom Camp,35.25,-103.625,36106-B3
Basin Well,32.875,-104.0,36106-B3
Bassett aLke,32.0,-105.75,34108-G7
Bay Buck Peaks,33.75,-107.5,36105-F1
Beacon Hill,31.875,-131.41207361055092,33104-E3
Bear Mountain,33.0,-108.75,33108-A7
Bear Mountain,33.5,-109.125,36105-F1
Bear Peak,15.964006045110033,-106.5,34108-D3
Bear Spring,32.625,-105.5,36104-B3
Bear Springs Peak,35.625,-106.5,35106-F5
Bearwallow Mountain,33.375,-108.625,36106-B3
Beaver Canyon,35.875,-165.76058290339958,33104-E3
Beaverhead,33.625,-109.125,37103-A7
Becenti Lake,18.974170476792423,-108.0,34108-D3
Beck Ranch,35.875,-102.875,35102-H8
Bceker,34.375,-106.5,36104-C3
Becker SW,43.47267638214164,-106.625,37104-A2
Beclabito,36.75,-109.0,34104-C3
Bedford Hill,35.0,-103.375,32106-A8
Beenham,36.125,-103.625,33108-A7
Beenham SW,36.0,-103.625,37103-A7
Belen,34.625,-106.75,32107-B4
Belen NW,34.625,-106.875,34104-C3
Belen SW,19.439444901022,-106.875,32107-B4
ell Lake,32.125,-103.5,35105-B4
Bell Mountain,33.0,-148.51475326801588,36106-B3
Bell Peak,33.875,-108.25,36104-C3
Bell Ranch,35.5,-104.0,34106-D3
Bellview,34.75,-103.0,32107-H2
Benavidez Ranch,51.008701078959575,-106.875,36105-F1
Bennett Mountain,32.5,-106.375,36104-C3
Bernalillo,35.25,-106.5,32106-A8
Bernalillo NW,35.375,-106.625,37104-A2
Bethel,34.125,-103.375,36105-C2
Bible Top Butte,36.5,-139.41690076528772,32106-A8
Big Costilla Peak,36.875,-105.25,37104-A2
Big Gyp Mountain,33.25,-106.625,33106-C6
Big Hatchet Peak,31.625,-108.375,32105-H8
Big Heiser Tank,31.875,-105.625,35104-H5
Big Hole Canyon,37.0,-102.875,34106-D3
Big Lue Mountains,33.0,-64.70560353251615,36104-C3
Big Rock Hill,35.625,-108.625,35104-H5
Big Sinks,32.125,-103.75,36104-C3
Bigbee Draw,34.25,-106.125,37104-A2
Bighorn Peak,24.798542604932777,-106.125,36104-C3
Billy Rice Canyon,21.386113676438484,-164.05016929950344,36104-B3
Birdwell Ranch,34.125,-102.875,37104-A2
Bisbee Hills,32.0,-107.875,35106-B5
Bishop Cap,32.125,-106.5,37104-A2
Bishop Ranch,34.125,-106.375,36105-C2
Bisti Trading Post,36.25,-108.25,37104-A2
Bitter Creek,33.125,-64.3198576392833,36104-B3
Bitter Lake,33.375,-104.375,33104-E3
Bixler Ranch,36.75,-107.125,35106-A6
Black Bluffs,33.25,-107.125,36105-F1
Black Butte,34.375,-106.625,36105-C2
Black Canyon,36.375,-129.98442252424186,34108-B2
Black Hill,57.90055992325397,-107.125,33107-E2
Black Mesa,32.125,-106.75,34106-D7
Black Mountain,33.375,-108.125,36106-B3
Black Peak,49.88992187898714,-108.75,32107-B1
Black Point,31.375,-108.875,36104-B3
Black River Village,32.125,-104.25,36105-C2
Blackwater Hill,33.375,-104.75,33104-E3
Blaines Lake,34.25,-108.75,36106-B3
Blakemore Well,33.5,-106.625,34104-C3
Blanco,36.625,-66.26230026133281,35104-H5
Blanco Trading Post,36.25,-107.75,34106-D3
Bland,35.75,-106.375,36104-B3
Bledsoe,33.5,-103.0,32107-B4
Bledsoe NE,33.625,-103.0,37104-A2
Bledsoe SW,33.5,-103.125,33106-C6
Blind Gap,36.625,-103.5,36104-D4
Bloomfield,36.625,-107.875,33108-A7
Blue,33.5,-109.0,33108-A7
Blue Hills,34.375,-108.125,34106-D3
Blue Hole,35.25,-103.125,36106-B3
Blue Mesa,34.75,-107.625,36105-F1
Blue Mountain,32.0,-109.125,36106-B3
Blue Mountain,33.625,-107.375,33104-E3
Bluewater,14.815372690042018,-107.875,37103-A7
Bluff Springs,32.75,-105.625,33104-E3
Bluit,33.625,-103.125,37104-A2
Boiler Gap,36.625,-145.0008576549216,32107-B4
Boiling Over Well,36.625,-109.125,35102-H8
Bond Draw,32.125,-104.125,32104-B2
Bondad Hill,37.0,-107.75,34106-D3
Bonine Canyon,34.5,-107.875,33106-C6
Bonner Canyon,33.125,-107.875,36104-B3
Bonner Lake,34.25,-104.125,37103-A7
Bookout Ranch,40.70773670442851,-104.25,34108-D3
Bootleg Ridge,32.25,-103.625,34106-D7
Borica,34.625,-104.625,36104-C3
Borica SW,34.5,-104.625,35104-H5
Borrego Pass,35.5,-107.875,32105-H8
Bosque Peak,34.75,-106.375,37104-A2
Bottomless Lakes,33.25,-104.25,34108-D3
Bovina,34.5,-102.875,35104-H5
Bowlin Ranch,32.125,-107.75,35107-F2
Box Canyon Ranch,32.5,-104.625,35104-H5
Box Lake,33.75,-105.375,34108-D3
Branson,37.0,-103.875,36104-D4
Branson SE,37.0,-103.75,37103-A7
Brazos,36.75,-106.5,36106-B3
Brazos Peak,36.75,-106.375,34106-D7
Bread Springs,35.375,-108.625,37104-A2
Brinson Ranch,32.5,-102.875,35106-B5
Briscoe Ranch,35.0,-103.75,36108-H1
Broadview,34.75,-103.125,36104-C3
Brockman,54.251251432694296,-108.375,33104-E3
Broke Off Mountain,36.75,-106.125,36106-B3
Broken Back Crater,33.75,-106.0,36104-D4
Bronco,33.25,-103.0,32107-B4
Bronco NE,33.375,-103.0,35104-H5
Broom Mountain,34.625,-107.5,36104-B3
Brunson Ranch,31.875,-166.58371015705117,36106-B3
Brushy Mountian,42.30505674424783,-108.625,34104-C3
Buckeye,32.75,-103.5,34106-D3
Buckeye NE,55.54466433584144,-103.5,35104-H5
Buckeye NW,32.875,-103.625,32107-B4
Buckhorn,20.01057981156848,-108.625,34104-C3
Buell Park,35.875,-109.0,32107-B1
Bueyeros,35.875,-103.625,32105-G8
Bueyeros NE,35.875,-103.5,36105-C2
Buffalo Springs,35.625,-103.625,35106-B5
Bug Scuffle Canyon,32.625,-105.75,35104-H5
Bull Basin,33.625,-108.875,36105-F1
Bull Canyon,35.375,-105.75,34106-D3
Bull Gap,33.5,-106.0,34106-D3
Bull Gap SW,33.5,-106.125,37104-A2
Bullard Peak,32.625,-108.5,34104-C3
Bulldog Mesa,57.67681252810955,-103.625,34108-B2
Bullis Spring Ranch,32.5,-105.0,34106-D7
Burned Mountain,36.625,-106.125,33108-A7
Burned Timber Canyon,35.125,-108.5,37104-A2
Burnham Trading Post,36.25,-108.375,34106-D7
Burnt Corral Canyon,46.23925478461397,-108.125,34106-D7
Burnt Mesa,36.875,-107.5,32107-B1
Burro Lake,34.625,-105.0,33109-G2
Burro Peak,32.5,-108.375,34108-D3
Bustos Well,34.0,-106.625,36106-B3
Button Mesa NE,52.25556874411812,-103.5,36104-C3
Button Mesa North,50.4545738479965,-103.625,32107-B1
Button Mesa South,33.5,-103.625,32106-A8
C And L Draw,31.875,-105.25,35106-A6
C Bar Ranch,32.375,-108.375,36104-B3
C-N Lake,33.875,-107.75,34108-B2
Caballo,32.875,-107.25,33108-A7
Cabezon Peak,35.5,-107.0,37104-A2
Cabin Wells,31.5,-108.125,34106-D3
Cabra Hill,35.25,-104.625,32107-B1
Cactus Tank,35.25,-104.75,36104-C3
Cal Ship Mesa,34.25,-107.75,36106-B3
Caliente Canyon North,36.875,-104.75,36104-B3
Caliente Canyon South,36.75,-104.75,36104-D4
Camaleon Draw East,34.25,-82.80194412538428,35106-A6
Camaleon Draw West,34.25,-105.375,36105-F1
Cambray,32.125,-107.25,32105-H8
Camel Mountain,31.75,-107.25,32105-H8
Cammak Camp,35.375,-103.125,36106-B3
Campana,35.5,-83.85088537445596,34108-D3
Campbell,22.336811295541697,-104.125,32107-B1
Campbell Well,31.375,-108.125,36105-F1
Canada,35.625,-106.375,34104-C3
Canada Calladita,35.625,-107.25,36104-D4
Canada Colorado,34.75,-104.25,36104-D4
Canada Ojitos,36.375,-106.875,32105-H8
Canador Peak,32.625,-87.90819642672223,36105-F1
Canal Creek,36.875,-108.75,34106-D3
Candy Mesa,26.729127624870564,-104.0,32107-B4
Canjilon,36.375,-106.375,35104-H5
Canjilon Mountain,36.5,-106.25,36104-D4
Canjilon SE,36.25,-106.25,32107-B1
Canon Agua Buena,33.875,-76.28621527116437,32107-B4
Canon Ancho,35.75,-104.5,37104-A2
Canon Colorado,36.0,-63.85436662406748,36104-B3
Canon Encierro,35.75,-104.25,37104-A2
Canon Las Cuevas,35.875,-104.375,34104-C3
Canon Olguin,41.19631669096119,-104.5,32106-A8
Canon Pedroso,19.390108615446977,-104.75,36104-C3
Canon Plaza,36.5,-106.125,32107-B4
Canoncito School,35.0,-107.0,34108-G7
Canones,36.125,-106.375,34108-D3
Cantarlao Spring,34.625,-108.875,36107-H3
Canteen Canyon,33.0,-65.92178960874612,32105-G8
Canutillo,31.875,-106.5,36104-B3
Canyon Creek Mountains,59.57454359584207,-108.25,36105-F1
Canyon Hill,33.0,-108.375,36106-B3
Capilla Peak,34.625,-106.375,34106-F4
Capitan,33.5,-105.5,32107-B1
Capitan Pass,33.5,-105.375,36104-D4
Capitan Peak,41.49749608959498,-93.210112991467,36106-B3
Capitol Doem,32.125,-107.625,35107-F2
Capitol Peak,33.375,-106.375,36104-B3
Capitol Peak SE,33.25,-106.25,34106-F4
aprock,33.375,-103.625,35106-A6
Caprock Mountain,32.5,-108.75,35106-A6
Captain Davis Mountain,35.25,-106.0,36106-B3
Capulin,36.625,-103.875,35107-D5
Car Top Butte,36.125,-103.375,32104-B2
Crabon Springs,34.25,-107.125,36104-C3
Carlsbad Caverns,32.125,-104.375,36106-B3
Carlsbad East,32.375,-104.125,35102-H8
Carlsbad West,32.375,-104.25,36104-D4
Carne,32.25,-140.4364173643187,32105-H8
Carnero Peak,32.25,-119.81378446977968,36106-B3
Carpenter Mesa NW,35.375,-103.875,34108-B2
Carpenter Mesa SW,41.19631434018308,-103.875,36105-F1
Carracas,37.0,-107.25,35106-A6
Carracas Canyon,36.875,-107.125,37104-A2
Carrisito Spring,34.5,-109.0,36106-B3
Carrizozo East,33.625,-86.28010132566182,34106-D3
Carrizozo West,53.763280908398144,-105.875,35107-F2
Carson,36.25,-105.75,32106-A8
Carson Trading Post,36.375,-108.0,32106-A8
Casa Colorada,34.5,-106.625,36104-B3
Casa Grande,36.875,-104.875,32107-B1
Casa Grande SW,36.75,-96.37355112933788,37104-A2
Casa Salazar,35.375,-107.0,34106-D3
Casamero Lake,35.5,-108.0,35106-B5
Cat Mesa,34.0,-127.07317211285508,36104-C3
Cat Mountain,33.125,-105.875,36104-B3
Catfish Falls,35.0,-104.625,32107-B1
Caudill Ranch,33.125,-103.75,36104-C3
Causey East,41.14642896654001,-103.0,33109-G2
Causey West,33.875,-103.125,36104-C3
Cawley Drw,32.375,-104.625,36106-B3
Ceadro Spring,34.75,-109.125,32105-G8
Ceadro Spring SE,34.75,-109.0,36104-D4
Cebolla,36.5,-106.375,35106-A6
Cebollita Peak,34.625,-107.75,36104-C3
Cedar Canyon,36.625,-106.875,34106-D7
Cedar Hill,36.875,-107.875,32107-B4
Cedar Point,33.0,-117.66948389091996,32107-B4
Cedar Point SE,33.0,-103.75,32107-B4
Cedarvale,15.2947411599674,-105.625,36105-C2
Cedarvale NE,56.889308356500685,-105.5,37104-A2
Cement Lake,43.61855455531588,-107.0,32107-B4
Center Pveak,31.5,-108.625,32105-G8
Centerfire Bog,33.875,-108.75,37104-A2
Centerville Corner,35.75,-103.125,36105-F1
Cerro,36.75,-141.9174052096182,36104-D4
Cerro Alesna,35.375,-107.5,35107-D5
Cerro Alto,34.75,-108.25,36104-D4
Cerro Alto Mountain,31.875,-105.875,32107-B1
Cerro Brillante,34.75,-108.125,32107-B1
Cerro Conejo,35.375,-106.75,36104-B3
Cerro De Corazon,35.375,-104.5,36105-F1
Cerro De La Campana,33.75,-106.625,34104-C3
Cero De La Campana SE,33.75,-106.5,34106-D7
Cerro De La Olla,36.75,-105.75,32106-A8
Cerro De Los Taoses,36.5,-105.75,36104-C3
Cerro Del Oro,34.625,-107.375,34106-D3
Cerro Diablo,31.875,-105.375,36104-C3
Cerro Hueco,28.19543583228188,-108.125,35106-A6
Cerro Montoso,34.25,-106.5,35105-B4
Cerro Negro,36.0,-104.875,32105-H8
Cerro Parido,35.5,-107.25,36104-B3
Cero Pelon,35.25,-107.5,36104-D4
Cerro Pomo,34.625,-127.64546377521626,36104-C3
eCrro Prieto,34.5,-108.5,35102-H8
Cerro Tinaja,35.375,-107.125,37103-A7
Cerro Verde,34.75,-107.25,36106-B3
Cerro Vista,36.125,-105.375,34108-D3
Cerro del Grant,36.0,-106.5,35106-B5
Chacon,36.125,-105.25,32106-A8
Chafin Well,35.125,-109.0,35105-B2
Chama,36.875,-106.5,36104-C3
Chama Peak,37.0,-106.625,32107-B4
Chaperito,35.25,-104.875,36104-D4
Charette Lake,36.125,-104.75,35107-D5
Cherokee Valley,35.625,-95.3310670142473,35104-H5
Cherry Vallney Lake,35.75,-104.75,32107-H2
Cheyenne Draw,31.875,-103.25,32106-A8
Chi Chil Tah,35.125,-80.5140969127034,36104-D4
Chicken Mountain,34.625,-74.63223383810706,36105-F1
Chili,36.0,-106.125,36108-H1
Chilili,34.875,-106.125,36104-C3
Chimayo,36.0,-105.875,35106-A6
Chimney Hill,34.625,-108.375,36104-D4
Chimney Lake,32.625,-78.25666439784118,37104-A2
Chimney Rock,36.75,-108.5,36108-H1
Chinaberry Canyon,35.625,-103.875,34108-D3
Chise,33.25,-107.5,32107-B4
Chivita Canyon,33.875,-104.875,32105-G8
Chromo,37.0,-106.75,36108-H1
Chromo Mountain,36.875,-106.625,36106-B3
Chupadera,34.25,-106.25,36104-D4
Chupadera Spring,34.125,-106.25,35104-H5
Chupadero Mountain,33.875,-105.5,34104-C3
Church Mountain,24.48119762694628,-105.75,37104-A2
Church Rock,40.73832751437244,-108.5,32105-H8
Chuska Lake,35.75,-108.625,36105-F1
Chuska Peak,35.875,-108.75,32105-G8
Cienega Ranch,33.75,-107.0,35106-F5
Cienega School,32.0,-105.0,32105-H8
Cimarrno,21.48383063753333,-104.875,36104-B3
Cimarron SE,36.5,-104.75,36104-B3
Ciniza,35.375,-108.375,36104-D4
Cirucle Bar Ranch,19.35528587318357,-103.625,34106-D7
Circle Mesa,24.889209116118465,-108.375,34108-D3
Circle S Mesa,34.875,-103.875,33104-E3
Cistern Draw,33.75,-105.0,35106-B5
lanton Draw,31.5,-108.875,35107-F2
Clapham,36.125,-103.25,36108-H1
Clark Spring Canyon,32.75,-107.375,34104-C3
Claunch,34.125,-105.875,36104-B3
Claunch SE,40.698001056366216,-105.75,35105-B2
Clayton,36.375,-103.125,36104-B3
Clayton SW,36.25,-103.125,34106-D3
Clements Ranch,33.0,-105.25,35104-H5
Cleones Tank,32.25,-105.375,32107-B4
Cliff,32.875,-108.5,32107-B1
Clifton House,42.77218482183761,-104.375,34106-D7
Clines Corners,35.0,-105.625,36106-B3
Cloudcroft,32.875,-105.625,37104-A2
Clovis,15.069154857364818,-103.125,36104-B3
Cobert Mesa North,37.0,-82.19654107789358,32105-G8
Cobert Mesa South,36.875,-103.5,35106-B5
Cochiti Dam,35.625,-106.25,37104-A2
Colfax,55.787415012229005,-104.625,35104-H5
Collier Draw,35.375,-149.01353342406333,35104-H5
Collins Park,33.625,-152.835582302276,34106-D7
Colmor,36.125,-104.625,36105-F1
Colonias,35.0,-104.75,32107-B1
Colorado Canyon,34.625,-104.25,35104-H5
Columbus,31.75,-107.625,32107-B4
Columbus NE,31.875,-107.5,36104-B3
Columbus SE,21.265293852033015,-107.5,32106-A8
Comanche Peak,36.0,-105.25,36104-C3
Comanche Point,36.75,-105.25,35104-H5
Comanche Ranch,34.5,-107.0,34104-C3
Comanche Spring,33.375,-104.25,36105-F1
Conchas Dam,59.195467040804935,-104.125,35104-H5
Conejo Creek East,58.54306233356699,-104.25,37104-A2
Conejo Creek West,34.125,-104.375,34108-D3
Conner Well,56.48834730057687,-104.0,36104-B3
Continental Divide,35.375,-124.26814117125724,36104-C3
Cooley Lake,34.0,-52.033586938014125,36104-B3
Cooper Canyon,33.875,-106.125,37104-A2
Cooper Ranch,52.6253349855227,-104.5,32107-B4
Cooper-Good Ranch,33.125,-103.625,35106-A6
Copperas Peak,33.0,-108.125,36104-C3
Cordova Canyon,36.75,-106.875,32105-G8
Corlena,36.25,-102.875,37104-A2
Corlena NW,36.375,-102.875,34108-D3
Corn Ranch,33.375,-104.625,32105-H8
Corner Well,31.25,-108.125,36104-D4
Cornucopia Canyon,59.146660554596096,-105.25,36104-B3
Cornucopia Ranch,32.375,-105.25,36104-B3
Cornucopia Ranch SE,32.25,-105.25,34106-D3
Cornudas Mountain,32.0,-105.5,34106-D7
Corona North,34.25,-105.5,36105-F1
Corona South,34.125,-105.5,33104-E3
Correo,34.875,-107.125,32107-B1
Costilla,36.875,-105.5,36108-H1
Cotton City,32.0,-108.875,32108-A8
Cottonwood Canyon,35.25,-108.25,34108-D3
Cottonwood Draw,33.75,-104.25,34106-D7
Cottonwood Hills,32.0,-104.125,32107-B1
Cottonwood Springs,35.875,-103.375,32105-G8
Counselor,36.125,-107.375,35105-B2
Cove,36.5,-109.125,32105-H8
Cow Butte,36.875,-109.125,34104-C3
Cow Canyon,35.125,-103.875,34106-D7
Cow Mountain,36.5,-103.75,36107-H3
Cow Springs,34.125,-108.875,35106-B5
Cow Springs Mountain,32.375,-50.28125971128883,36105-C2
Cowboy Mesa,34.0,-105.0,33104-E3
Cowboy Mesa NE,34.125,-105.0,36104-D4
Conwboy Mesa NW,34.125,-105.125,34106-D3
Cowboy Mesa SW,34.0,-105.125,35106-B5
Cowles,35.75,-105.625,35107-D5
Cox Peak,34.125,-108.0,36104-C3
Coyote Canyon,49.33381728720476,-108.5,32105-H8
Coyote CanyonN W,35.875,-108.625,34106-F4
Coyote Draw,33.625,-104.375,34108-D3
Coyote Hill,31.75,-107.375,34104-C3
Coyote Hills,43.8041104806468,-109.125,32106-A8
Coyote Mesa,36.375,-104.875,33104-E3
Coyote Peak,32.0,-108.5,34108-D3
Crevasse Canyon,57.42491629799503,-108.875,34108-D3
Crocker,33.25,-107.0,36104-B3
Crookson Peak,32.875,-108.875,36105-F1
Crosby Springs,34.125,-107.875,34108-D3
Cross L Ranch,36.875,-103.625,34108-B2
Cross L Ranch SW,36.75,-103.625,35104-H5
Crossroads,33.5,-103.25,36106-B3
Crow Mesa East,36.25,-107.5,34106-D7
Crow Mesa West,36.25,-107.625,34108-D3
Crow Point,34.875,-107.625,36105-C2
Crownpoint,35.625,-108.125,36105-F1
Cruzville,33.75,-108.625,35106-B5
Crystal,36.0,-108.875,34106-D3
Cuates School,36.75,-103.25,36104-C3
Cub Mountain,33.5,-105.875,32106-A8
Cuba,36.0,-106.875,32107-B1
Cubero,57.78326387756367,-107.5,36104-D4
Cuchillo,33.125,-107.25,36108-H1
Cuervo,35.0,-104.375,36104-C3
Culberson Ranch,32.375,-108.625,34108-D3
Culebra Peak,37.0,-105.125,35106-A6
Culp Canyon,32.5,-105.75,35106-A6
Culp Draw,32.0,-105.125,36106-B3
Culp Ranch,33.25,-103.875,32105-H8
Cumbres,37.0,-106.375,33104-E3
Cunavea Basin,34.75,-103.875,32107-B4
Cundioy,35.875,-105.875,34106-D7
Curlew Lake,25.178663224991418,-103.875,35107-F2
Curlew Lake SE,33.5,-103.75,34106-D3
Curtis Camp,36.75,-104.625,36106-B3
Custer Mountain,32.125,-103.25,36105-C2
Cutter,33.0,-107.0,36105-F1
Cutter Canyon,36.625,-107.625,34106-D7
D Cross Mountain,34.375,-107.625,32107-B4
Dale Mountain,36.875,-104.125,36106-B3
Dalies,34.75,-106.75,35106-B5
Dalies NW,34.875,-106.875,34108-D3
Dallas Store,33.25,-103.5,34108-D3
Dalton Pass,35.625,-108.25,37104-A2
Dark Canyon,33.0,-104.875,36108-H1
Datil,34.125,-107.75,32106-A8
Davies Tank,32.25,-106.375,32108-A8
Dawson,36.625,-104.75,37104-A2
Day Canyon,55.64262659476135,-103.125,32107-B4
Dayton,32.625,-104.375,37104-A2
Deadman Canyon,32.625,-105.875,35107-F2
Deadman Lake,33.125,-105.25,37104-A2
Dean Ranch,16.464528062546435,-103.625,34106-F4
Deep Lake,35.0,-109.125,34106-D3
Deep Well,33.625,-104.75,34108-D3
Deer Mesa,36.0,-107.25,35105-B2
Deering Place,33.875,-104.25,33107-E2
Delgadita Mesa,36.625,-107.5,33109-G2
Dell City,31.875,-105.125,32108-A8
Delphos,34.0,-103.375,36104-C3
Deming East,32.25,-107.625,36106-B3
Deming West,32.25,-107.75,36104-D4
Denns Canyon,37.0,-103.25,36104-C3
Denton Camp,33.75,-104.0,33104-G1
Denver City SW,16.018843170647347,-136.36527262649122,32102-G8
Derrick Draw,57.61959952276289,-104.125,33104-A2
Des Moines,36.75,-103.75,36103-G7
Desert,32.125,-106.125,32106-B2
Deser NE,32.125,-106.0,32106-B1
Desert SE,32.0,-106.0,32106-A1
Desert SW,46.74352200867486,-106.125,32106-A2
Devils Well,34.0,-122.97456451229482,34104-A6
Dexter East,27.879089488638453,-104.25,33104-B3
Dexter West,33.125,-104.375,33104-B4
Diablo Range,33.125,-108.375,33180-B4
Diamod A Ranch,27.85046563355204,-104.75,33104-C7
Diamond Mound,15.541035570955044,-104.125,32104H-2
Dilia,35.125,-105.0,35105-B1
Dillon Mountain,33.75,-64.9275588761541,33108-bG7
Divin eLake,36.125,-104.0,36104-B1
DixC reek,33.125,-109.125,33109-B2
Dog Lawke,32.75,-103.625,32103-G6
Dog Mountains,31.25,-108.25,31108-C3
Dog Springs,34.25,-78.81457254580914,34107-C6
Domingoj Peak,33.0,-105.75,33105-A7
Dona Ana,32.375,-106.75,32106-D7
Dora,33.875,-103.25,33103-3
Dora NW,33.875,-103.375,33103-H4
ora SW,22.48629956584696,-165.72745503487565,33103-G4
Dorsey Ranch,32.875,-53.253183070845125,3x2108-H4
Dos Lomas,35.25,-107.75,35107-C7
Double Wells,31.625,-81.92936875776218,31108-F2
