OBJECTID,FOLIO_ID,EVENT_ADDR,FIELD_INSP_BY,CREATED_DATE,LAST_EDITED_DATE,YEAR_,MONTH_,DAY_,COMMENTS,PARCELS_IMPACTED,RECID,P_AREA,SHAPE_Length,SHAPE_Area
42,SED 25-A-2,3401 25th Ave S,,,2021/02/23 23:32:11+00,1933,12,18,"Before improvement, a ravine crossed 24th Ave S.  This was filled and later graded.  A slide occurred in the eastern part of the fill, undermining the pavement, destroying 2 garages, and encroaching on the houses along 25th Ave S. This polygon was derived from a sketch in the file.","3402-3424 24th Ave S, 3401-3421 25th Ave S",42,27798.71181383,634.761538627707,27798.7135055044
45,SED 59-A,3717 59th Ave SW,,,2021/02/23 23:32:11+00,1958,1,28,Polygon does not represent the extent or geometry of the slide. It tags parcels believed to have been effected from the information in file SED 59-A. See file and/or attachment for more information.,"3717, 3720",45,8527.49415679,369.382510887649,8527.49246052342
47,SED D-8,3414 Dose Terrace,,,2021/02/23 23:32:11+00,1933,12,18,Slide geometry is supported by file SED D-8. See subfolder D-8 1933.,,47,107742.55268107,1309.45809468029,107742.549770685
52,SED B-1,12th Ave S & S Bayview St,,,2021/02/23 23:32:11+00,1968,9,30,Slide geometry taken from S&W report found in file. Also refer to scarp 8017.,"2349, 2325",52,21404.23054455,618.269222995006,21404.2409438103
57,SED 25-A-1 1934-1938,25th Ave S / S McClellan St,,,2021/02/23 23:32:11+00,,,,"This polygon was drawn from a sketch dated Jan 16, 1934-May 1938.  Comments read ""conditions have been taken care of and excavated.  Recently 45' drop but no houses affected.""",,57,31457.85001741,685.763090330134,31457.8519820611
60,SED B-1,10th Ave S & S Bayview St,,,2021/02/23 23:32:11+00,1921,2,1,Polygon does not represent exact geometry of slide. See SED B-1 and/or attachments for slide descriptions.,,60,92100.07192829,1303.418123101,92100.0542827984
61,SED 23-B 1973,2360 23rd Ave S,,,2021/02/23 23:32:11+00,1937,9,,Small slide to the E of house at 2360.  Excess dirt had been pushed by the builder into this alley.  This polygon does not represent the particular shape of the slide.,"2360 23rd Ave S, 2314 S Bayview St, 2352 23rd Ave S",61,5008.26180912,291.012382285927,5008.26414965184
68,SED L-15-A,1200 S Lander St,,,2021/02/23 23:32:11+00,1987,1,2,Slide geometry taken from GeoEngineers geotechnical report in file. Also see point 10 for additional information.,1200,68,11281.41322954,491.57740275479,11281.4171305125
72,SED MC-1,2815 12th Ave S,,,2021/02/23 23:32:11+00,1934,1,1,Slide location/geometry taken from map in file.,,72,9043.99191501,389.806714770977,9043.99072897182
73,SED I-2,Inverness Dr NE & Paisley Dr NE,,,2021/02/23 23:32:11+00,1969,2,31,Slide complex. several episodes of movement. Most prominent event occurred in February of 1969. Polygon generated from sketch in subfolder I-2-F.,See polygon extent.,73,239020.82398595,2259.15346274827,239020.821797327
74,SED 88-A,4250 NE 88th St,,,2021/02/23 23:32:11+00,1972,3,5,"Polygon tags parcel. Heavy precipitation resulted in slope failure that affected this property. Additionally, the record shows that a slide also occurred in 1959. See files SED 88-A and/or attachment for more info.",4250,74,10571.02703839,412.906381608429,10571.0222186389
75,SED I-2,8700 Blk Paisley Dr NE,,,2021/02/23 23:32:11+00,1967,2,,Numerous scarps and set downs in asphalt and shoulder. Movement again occurred in 1969 breaking a water main.,"8756, 8762, 8770, 8776, 8784, 4583, 4603",75,34454.71080126,782.130773622173,34454.7181842212
77,SED 45-A,8644 45th Ave Ne,,,2021/02/23 23:32:11+00,1972,3,13,See file and/or attachment for more information. Slide geometry taken from Shannon and Wilson report in file.,8644,77,8771.25717381,372.650073639767,8771.24869609988
79,SED 54-A,,,,2021/02/23 23:32:11+00,,,,Polygon represents extent of sliding from three events spanning 1964-1977. See SED 54-A and/or attachments for sketch of slide extent.,"5401, 5411, 5425, 8500, 8508",79,72667.53653137,1136.21841825087,72667.5272465284
80,SED 58-A,7756 57th Ave NE,,,2021/02/23 23:32:11+00,1950,,,"This polygon was derived from a Shannon & Wilson map estimating the extent of the slide in 1950 (also labelled 1949).  The file references extensive sliding in 1950 which destroyed a house at 7756 57th, but original files from this event were not found.  The event in 1966 was a reactivation of parts of this slide.",,80,124737.47627121,1379.33009820606,124737.476259341
84,SED 70-A,"700 Blk; N 70th et al",,,2021/02/23 23:32:11+00,1955,1,14,Earth movement. Slid at a creep causing damage to pavement. See point 853.,,84,221242.62790009,2453.35968105372,221242.620013778
86,SED H-8,,,,2021/02/23 23:32:11+00,,,,,,86,40850.59838686,733.785397896052,40850.5978689616
87,SED H8,,,,2021/02/23 23:32:11+00,1969,6,,Also see point 422. See SED H-8 for further information.,5659,87,7671.87419876,356.783667365291,7671.87022572791
88,SED 40-B,,,,2021/02/23 23:32:11+00,,,,,,88,28047.67939951,678.707987543426,28047.680016746
90,SED P-17,5021 NE Pullman Ave,,,2021/02/23 23:32:11+00,11,14,1951,"A claim reports settlement and damage on lots 10 and 11 of Blk 22.  The cause of the settlement was unclear.  This polygon only represents the impacted parcels, not the slide outline.",,90,7113.86203514,342.923977151177,7113.86355146334
92,SED 22-A-2,2117 NE 52nd St,,,2021/02/23 23:32:11+00,1999,,,This polygon represents an area of slope failure as mapped in the attached files.  Soil creep was reported to be active in Aug. 1999.,,92,122474.20166166,1475.18025664658,122474.199515645
94,SED C-14,3200 W Commodore Way,,,2021/02/23 23:32:11+00,1946,3,22,This polygon represents the approximate extent of landslide based off of engineering blueprints in file.,3200,94,3414.3817285,220.625697786316,3414.38399852888
95,SED C-13,3030 W Commodore Way,,,2021/02/23 23:32:11+00,1954,12,10,This polygon is associated with point 385. The polygon represents an approximate landslide extent based off of photos. ,3030,95,6502.60991286,330.241189452926,6502.61227740225
99,SED 46-A 1927,3826 46th Ave NE,,,2021/02/23 23:32:11+00,1927,8,12,"These four properties settled, cracked, and move to the west over the course of several days.  Refer to overlapping slide point.","3826, 3822, 3818, 3814 46th Ave NE",99,16270.50939539,531.338773533448,16270.5148436035
104,SED L-16-F 1965,5045 NE Laurelcrest Ln,,,2021/02/23 23:32:11+00,1965,2,5,Landslide crushed garage and damaged car.  This polygon was derived from a sketch in the attached file.,,104,14352.29577658,621.131955756443,14352.2858445083
108,SED 13-B-3,3623 13th Ave W,,,2021/02/23 23:32:11+00,1961,2,14,This slide set-down approximately 3-4' along the SW corner of this property.  This polygon was derived from a sketch in the attached file.  Also refer to slide point 568.,"3611, 3619, 3623, 3627 13th Ave W.",108,10791.51131422,427.056483949608,10791.5091121375
110,SED L-16-C 1933,5012 NE Laurelcrest Ln,,,2021/02/23 23:32:11+00,1933,12,21,"In 1933, a landslide destroyed a garage at 5012 and damaged a house at 5005 NE Laurelcrest.  In 1950, a landslide damaged a house at 5012.  In 1975, a tree slid into the house.  In 1982, a retaining wall at 5005 was bulging.  Refer to overlapping slide points.",,110,105346.17576318,1375.96429552531,105346.176498015
114,SED 13-B-2,13th Ave W and W Ruffner St,,,2021/02/23 23:32:11+00,1923,,,Month and day of event not known.  Sliding occurred at this intersection following grading of 13th Ave W.  The shape of this polygon only represents the general area of sliding.,,114,1047.2833105,210.866072879098,1047.28124057327
120,"1937, 1938",4735 W Bertona St,,,2021/02/23 23:32:11+00,1938,3,31,"Sliding began Dec. 27, 1937 and expanded in Jan and March 1938.  Refer to sketch ""Scale Drawing of 1937-38 Slide Condition"" and April 11, and detailed 1938 report by Henry Fitch (attached).","4737, 4735, 4733 W Bertona St;  3251 Perkins Ln W",120,14354.52909581,530.445834834016,14354.5328176637
121,SED 14-A-4,,,,2021/02/23 23:32:11+00,1964,1,27,"This polygon does not represent the extent of the sliding, just the general area known to have been impacted.  Sliding at this site likely occurred in 1950 (see attached photos), and records of sliding exist from 1964 and 1965.  Refer to attached file and overlapping points.","3401, 3405 14th Ave W",121,4047.06753852,269.973794533125,4047.06746504927
125,"SED P-10, P-9",3211 Perkins Ln W,,,2021/02/23 23:32:11+00,1932,11,5,"This polygon does not represent the slide's shape, just its general location.  Drainage issues resulted in sliding and damage to properties on lots 8-10.","3211 Perkins Ln W, 3057 Perkins Ln W",125,27409.9061923,670.061825402485,27409.9034087449
130,SED C-16,3220 6th Ave W,,,2021/02/23 23:32:11+00,1931,12,18,This polygon was drawn from sketches in the attached file.  Both 519 and 515 W Cremona St as mentioned in the file were on what is now 3220 6th.  Cracks were noted across this area and the houses slid into the street.,"3220, 3212, 524 6th Ave W",130,19376.89721824,514.949527289051,19376.8944084871
131,SED H-5-E,7500 Blk Highland Park Way SW,,,2021/02/23 23:32:11+00,1926,4,11,Landsliding on lots due to street grading. See file SED H-5-E for additional information.,,131,10061.97793552,403.282557870395,10061.9846997843
132,SED 45-C,7822 45th Ave SW,,,2021/02/23 23:32:11+00,1963,2,2,Rockery at rear of excavation failed. Earth in back of excavation slid into the pit.,"7812, 7816, 7822",132,22707.53987613,603.23057703016,22707.5301369797
134,SED R-9,45th Ave SW & SW Rose St,,,2021/02/23 23:32:11+00,1916,2,17,"Extensive landsliding at this location followed grading of the surrounding streets. As a result, the City acquired the property to deter development. Movement also occurred at this location in 1912. Polygon does not represent landslide geometry",,134,53914.65948315,932.428225494763,53914.6655987584
136,SED 46-B,8440 46th Ave SW,,,2021/02/23 23:32:11+00,1958,12,6,A landslide occurred on these two properties following excavation for the driveway at 8444 46th Ave SW.  The slide expanded over the next months and deposited debris into the street.  This polygon was derived from photos in the attached file.  Refer to the overlapping slide point.,"8440, 8444 46th Ave SW",136,3100.65385557,207.628403134587,3100.65771878936
137,SED F-4,8626 Fauntleroy Pl SW,,,2021/02/23 23:32:11+00,1962,8,31,"For years prior minor sloughing had occurred at this location. In Jan 1961 damages were incurred and the street was blocked. In 1962, during the construction of a retaining wall, there was a 11' scarp set down.","8626, 8616",137,5076.3092392,301.004528287379,5076.30200059911
138,SED M-12,8610 Myers Way S,,,2021/02/23 23:32:11+00,1927,11,30,Slide occurred due to grading of 1st Ave S. Slide geometry taken from sketch in file.,,138,10984.70922861,428.361799992289,10984.7181978726
149,SED 45-D,9332 45th Ave SW,,,2021/02/23 23:32:11+00,1953,1,8,Slide geometry taken from sketch in file. Damage to home at 9332.,"9332, 9322",149,3493.61724847,266.651734041082,3493.61821641049
159,DCLU A-31,5934-6012 47TH AVE S,JP,,2021/02/23 23:32:11+00,,,,"No file remains for this event, which occurred between 1988 and 1991.  This polygon only tags the addresses described in the event location, and does not represent the shape of the slide.  Other properties may or may not have been impacted.",5934-6012 47th Ave S,159,33696.05189637,840.443939535126,33696.053841891
161,SED 47-A,,,,2021/02/23 23:32:11+00,,,,,,161,6852.21235585,424.264869038502,6852.2052688194
168,SED H-5-A,W Marginal Way SW j& Highland Park Way SW,,,2021/02/23 23:32:11+00,1934,1,,Slide failed along clay surface. Occurred during wet winter conditions of 1933-34 winter. See file SED H-5-A.,,168,1166376.17083426,5158.2252897828,1166376.14824102
169,SED C-18,6700 Blk Croft Pl SW,,,2021/02/23 23:32:11+00,1939,12,21,Extensive grading by WPA in 1937-38. Fill placed on 1925-26 slide area and cut made during 1937-38 grading operations initiated earth movement.,,169,49812.54398067,906.885870490083,49812.5438402162
171,SED C-18,6700 Blk Croft Pl SW,,,2021/02/23 23:32:11+00,1926,,,"After paving had been completed, slide occurred on the improvement blocking traffic at Croft Pl and 22nd Ave SW (Delridge)",,171,48070.37169174,1069.34539912745,48070.3637943958
180,SED O-2 1930s,SLIDE ON OTHELLO,,,2021/02/23 23:32:11+00,1934,,,This polygon was derived from a 1934-1938 Slide Area & Conditions map.  The slide undermined one house and deposited dirt and bushes in the street.  Files from 1948 also refer to a slide occurring in this location sometime between 1916 and 1948.  Refer to SED O-2 1948.,,180,9427.25974479,380.282732710472,9427.26180228608
182,SED O-2 1916,SLIDE ON OTHELLO,,,2021/02/23 23:32:11+00,1916,2,9,"Deep fissures opened on tract 10 of Lincoln Gardens Addition.  These fissures were reported to stretch over the entire lot.  This polygon extends over that tract, and does not represent the particular shape or extent of the movement.","4411 SW Othello St, 7325 44th Ave SW",182,10013.46648463,545.601376703695,10013.4639146702
183,SED H-5-A,7226 Highland Park Way SW,,,2021/02/23 23:32:11+00,1934,1,,Slide deposited onto sidewalk. See file SED H-5-A and/or attachment for additional information.,7226,183,80101.7835617,1108.83092304038,80101.7842125946
186,SED T-1,3502 E Terrace St,,,2021/02/23 23:32:11+00,1963,7,14,Water seepage initiated slide. Polygon geometry based off of sketch in file. ,"416, 415, 3502, 3352",186,5534.77749255,441.331652718885,5534.77650892407
194,SED L-1,207 E Spruce St,,,2021/02/23 23:32:11+00,1933,12,11,Property damaged by slide after grading of Lake Dell Ave. Drainage issues may have been a factor.  Foundation of house was destroyed. See point 884 for landslide initiation point.,207,194,4201.63565735,287.920630277963,4201.62762824247
201,SED J-2,3508 S Jackson St,,,2021/02/23 23:32:11+00,1931,,,"Sliding occurred at 3510 S Jackson St, in the platted alley, and may have impacted 3508 S Jackson St.  This polygon does not represent the shape of the slide.",,201,1078.36190019,131.637014307921,1078.36346095108
207,SED H-3-A 1926,1041 Harbor Ave SW,,,2021/02/23 23:32:11+00,1926,12,24,"The house at 1041 Harbor Ave SW was apparently wrecked in a landslide on this date.  The shape of the polygon does not represent the shape or extent of the landslide, only the general location of the event.",1041 Harbor Ave SW ,207,26901.01901677,736.965099854318,26901.0276192191
208,SED A-2-A,1176 Alki Ave SW,,,2021/02/23 23:32:11+00,1967,1,19,Debris and mud slid from upslope onto 1176 and 1200 Alki Ave SW (now 1200 Alki).  The garage was pushed off the foundation at 1200 Alki.  Refer to overlapping slide point.,,208,9051.51250035,509.691115300916,9051.52154845155
209,SED D-1-B,12th St & S Dearborn St,,,2021/02/23 23:32:11+00,,,,,,209,87265.53221686,1261.05741845179,87265.562836911
210,SED L-6,815 Lakeside Ave S,,,2021/02/23 23:32:11+00,1959,1,15,Extent and geometry approximated based off of 1959 event photograph.,"815, 809",210,1524.96016341,153.635468368747,1524.96011684195
211,SED C-3,1025 California Ln SW,,,2021/02/23 23:32:11+00,1933,12,28,The polygon does not represent the outline of a slide. The shape was drawn by SDOT. A crack in the hillside between California and Alki near 1025 California Ln SW ran E 50-100ft from the edge of a steep bluff and caused a set-down in many areas. Refer to S&W pt. 1179 and SED C-3.,,211,4629.09211528,308.45222284745,4629.09068783176
219,SED H-10,11th-13th Ave W / W Howe St,,,2021/02/23 23:32:11+00,1968,,21,Exact date of slide event unknown. Polygon sourced from pictures taken in 1968 and originally filed in SED H-10.  This file is missing as of 7/2018.,"1914, 1110, 1928, 1926, 1924, 1922",219,78272.69018134,1236.68104490026,78272.6897989466
226,"SED 12-B, SED 15-B",15th W and W Blaine St,,,2021/02/23 23:32:11+00,1998,1,14,Slide runout went into the street. See photos in file SED 12-B. Polygon shape approximated by photos and 1999 satellite imagery.,,226,9638.22912281,436.624728339345,9638.22546823894
229,SED B-9-B,909 Broadway Ave E,,,2021/02/23 23:32:11+00,1916,1,1,Polygon tags the appropriate parcels. Does not represent landslide geometry or extent. See file SED B-2-B and/or attachment.,909,229,14776.04863248,486.322866979295,14776.0519163853
234,"SED 12-B, SED G-4",W Blaine St and 11th Ave W,,,2021/02/23 23:32:11+00,1932,1,21,Landslide area depicted in files SED 12-B and SED G-4,"1217, 1805 ,1803, 1403",234,73949.16609451,1135.38855132508,73949.171959793
239,SED M-3,Pier 91,,,2021/02/23 23:32:11+00,1974,10,21,"This polygon represents an 8' set-down about 30' across.  In addition, there was a small, continuous flow of water from above.  Photos show debris deposited on Pier 91.  Refer to slide point on 1706 magnolia.",,239,3160.41217264,210.462246472014,3160.41315747872
244,SED 23-C-5,4533 21st Ave SW,,,2021/02/23 23:32:11+00,1976,1,9,Slow-moving landslide following filling at 4533 21st Ave SW.  Undulations in 23rd Ave SW were noted following the sliding.  Refer to overlapping point and attached file.,,244,57789.01020984,1140.8569140352,57789.0142622374
245,SED 35-A,4800 Blk 35th Ave SW (Camp Long/ West Seattle Golf Course),,,2021/02/23 23:32:11+00,,3,2,Creeping deep-seated slide caused extensive settlement. Movement was also observed 2.5 blocks to the north near the golf range. Slide geometry based off of sketch provided in file.,"4828, 4832, 4842, 4846, 4850, 4852",245,29827.56950401,1035.539179556,29827.5775690242
247,SED S-3 1956,4304 S Snoqualmie St,,,2021/02/23 23:32:11+00,1965,1,6,Moderate set-down immediately east of 4304 Snoqualmie St.  The shape of this polygon was derived from sketches in the attached file.,,247,8275.44546737,364.536732581339,8275.44036164956
249,SED S-3 1934,4320 S Snoqualmie St,,,2021/02/23 23:32:11+00,1934,1,23,This polygon represents the approximate extent (not shape) of the slide as shown in a sketch in the file.  The slide damaged the house at 4320 and involved about 30 tons of earth.  Refer to overlapping slide point.,4320 Snoqualmie,249,3343.02274808,248.360883626367,3343.0230668731
252,SED J-3,5233 SW Jacobsen Rd,,,2021/02/23 23:32:11+00,1959,1,20,Polygon tags appropriate parcels. It does not represent the exact geometry of the slide event.,"5223, 5401",252,4948.33847485,477.146887425999,4948.33068722949
253,SED 22-C-6 1972,4803 21st Ave SW,,,2021/02/23 23:32:11+00,1972,3,7,"Slide opposite 4803 21st Ave SW.  ""Slide into canyon removed support for street.""  The polygon shape does not represent the particular shape of the event, only the general location of the slide.",,253,1319.86992238,155.861560585974,1319.86887480264
255,SED J-6,4800 Blk SW Jacobsen Rd,,,2021/02/23 23:32:11+00,1933,12,17,Polygon tags parcels. Does not represent the slide geometry. Large landslide was initiated by heavy rains and inadequate drainage along SW Jacobsen Rd.,,255,69323.39352808,1458.72745197742,69323.3884526168
257,SED M-4,5405 W Marginal Way,,,2021/02/23 23:32:11+00,1934,1,,"The file described that slides on this slope occurred every winter following the grading of W Marginal Way.  In 1934, this slide area was sketched and described as ""very badly faulted and broken up.""",,257,1258627.2697542,5804.90442417393,1258627.24697267
261,SED 38-B-1,5200 Blk 38th Ave SW,,,2021/02/23 23:32:11+00,1927,1,2,Grading of 38th Ave SW is believed to be responsible for the sliding as it removed the lateral support. Several homes sustained serious damages and slid off of their foundations. Polygon tags the appropriate parcels. Does not represent slide geometry.,"5202, 5208, 5214",261,18887.61600113,561.800153214774,18887.6133647866
263,SED 38-B-1,5200 Blk 38th Ave SW,,,2021/02/23 23:32:11+00,1927,1,2,Grading of 38th Ave SW is responsible for the sliding. Several homes were damaged. Polygon tags appropriate parcels. Does not represent slide geometry.,"5226, 5228",263,8666.45633003,379.778198868534,8666.44924803615
269,SED M-5 1954,6000 Blk W Marginal Way,,,2021/02/23 23:32:11+00,1954,2,26,"A slide developed west of W Marginal Way, creeping onto the street.  The polygon of this slide area was derived from a sketch in the attached file.",,269,457501.79111205,2815.47263058104,457501.818811049
275,SED F-2 1940,2870 Fairview Ave,,,2021/02/23 23:32:11+00,1940,2,21,"A landslide followed filling of lots 28, 29, and the end of Shelby St.  The set-down slide bulged at the toe, disrupting houses below on both sides of Shelby St.  This polygon represents the slide area as shown in two maps in SED F-2.",,275,27341.86132587,682.115409160295,27341.861080768
277,SED S-1,822 E Shelby St,,,2021/02/23 23:32:11+00,1922,12,1,This polygon represents the known extent of a slide which began on 816 and 822 E Shelby St and destroyed a wall at 821 Millard St (presumably now E Gwinn Pl).  The polygon does not represent the shape of the slide.,,277,6072.11633335,310.622922617544,6072.1183686696
279,SED A-8-E,2552 5th Ave N,,,2021/02/23 23:32:11+00,1932,5,20,Slide geometry extracted from engineering sketch on file. Slide area experienced several reactivations.,2552,279,1570.81258992,155.971182081706,1570.81252023019
282,SED P-7,2637 Perkins Ln W,,,2021/02/23 23:32:11+00,1933,12,19,This polygon does not represent the shape of landsliding. This polygon tags all parcels affected by the 1933 event. See point 368 for further info.,"2637, 2639, 2643, 2647, 2657, 2633, 2653",282,43389.23761803,911.483880453959,43389.2134282454
285,SED 14-A-2,2647 14th Ave W,,,2021/02/23 23:32:11+00,1925,2,6,This polygon was derived from a sketch in the file.  The slide destroyed the house at 2647 14th Ave W and broke water mains and sewers.,2647 14th Ave W,285,6027.23030407,318.672194427169,6027.22469279385
295,SED 23-A-2,2215 W Raye St,,,2021/02/23 23:32:11+00,1964,3,2,This polygon does not represent the extent and shape of landsliding. It tags the parcels impacted by the slide event.,"2215, 2207",295,9570.68250675,406.895150146672,9570.67928798025
301,SED E-1,Eastlake and Aloha,,,2021/02/23 23:32:11+00,1931,,,This polygon was derived from maps in the attached file.  Refer to overlapping slide points.,,301,23613.27850844,635.307574664483,23613.275879848
302,SED R-10,400 Blk W Roy St,,,2021/02/23 23:32:11+00,1934,5,11,Exact date unknown. Polygon only represents general area of slide. Letter in file states that slide was likely caused by excavating on private property and making fills on others,400 Blk W Roy St.,302,15739.75323673,506.886765042247,15739.7596218009
305,SED H-6-C,715 McGilvra Blvd,,,2021/02/23 23:32:12+00,1927,2,,A set down of about 4' broke the edge of the property back 30-40 ft.  This polygon does not represent the shape of the slide.  Refer to overlapping point.,,305,3545.81094655,265.766988588149,3545.8174164562
306,SED M-10,600 Blk W Mercer St,,,2021/02/23 23:32:12+00,1936,,,"Day unknown.  The SW edge of the polygon represents the toe of slide (sliding fill).  The rest of the slide extent is unknown, but extends onto the tagged properties.  Refer to sketch in SED M-10.",,306,8284.72499145,371.658733323007,8284.72719378943
308,SED H-6-B,530 Hillside Dr E,,,2021/02/23 23:32:12+00,1950,1,20,"Settlement of the street here was described in 1938.  Apparently this was continuous, as settlement resumed in 1945.  The house at 530 Hillside Drive partially collapsed in 1946, and was completely destroyed in 1950.  The 1950 event was described as being a rotational slide.   The toe of the slide is sketched in the file; however, the rest of the shape of this polygon was derived from general descriptions of the slide.  The area actually impacted may have been larger or shaped differently.",,308,14427.09053456,521.779630834032,14427.0913016957
314,SED 32-A,120 32nd Ave E,,,2021/02/23 23:32:12+00,1907,3,2,"This outline represents a landslide that occurred years prior to 1928.  A similar slide occurred in 1928, damaging a house and resulting in a lawsuit.  Both slides, the 1928 slide and the ""old slide,"" are mapped in the file.  The S&W point indicates that the ""old slide"" occurred in 1907 following grading of 32nd Ave.",,314,58072.24796148,900.743217373123,58072.2445000203
316,SED 33-A,,,,2021/02/23 23:32:12+00,1972,1,31,Excavation in late fall of 1971 along 32nd Ave resulted in settlement along 33rd Ave.  This polygon does not represent the shape of the slide but rather the properties estimated to have been impacted.  Refer to overlapping slide point.,,316,26652.2642649,655.113107237074,26652.2699840656
321,SED M-1,,,,2021/02/23 23:32:12+00,,,,,,321,39834.22973242,1070.70935438155,39834.250894286
324,SED 38-A ,1128 38th Ave,,,2021/02/23 23:32:12+00,1971,1,8,Earth movement occurred during repair of broken sewer line.,1128,324,491.38819141,88.7822088325659,491.389257765025
326,SED 37-A,934 37th Ave,,,2021/02/23 23:32:12+00,1956,12,10,"A landslide occurred behind the house at this address and crossed 38th Ave.  This polygon does not represent the particular shape of the slide, but generally follows the impacted property as described in the attached claim.","920 37th Ave, 921 38th Ave",326,13073.01601358,548.73412848585,13073.0143120286
328,SED V-8-D 1921,1919 Brook Ave SW,,,2021/02/23 23:32:12+00,1921,12,11,"Refer to the attached file and overlapping Shannon & Wilson slide point (ID 1300).  At least two houses were destroyed in this slide.  The shape of the polygon does not represent the shape of the slide, just the impacted parcels.","1911 36th Ave SW, 1914, 1919 Brook Ave SW",328,40550.75411289,794.308709209113,40550.7465626366
333,SED G-6,1724 NW Greenbrier Way,,,2021/02/23 23:32:12+00,1967,12,7,Slide compromised foundation of house resulting in collapse. Movement and cracking also observed in house at 1718 Greenbrier Way,"1724, 1718",333,1471.55239225,153.493787497282,1471.55299985001
334,SED 27-B,9223 27th Ave NW,,,2021/02/23 23:32:12+00,1970,2,3,"Polygon indicates general extent of sliding as described in the attached Dames & Moore report, but does not indicate the slide's outline.  Ground cracks and cracks in the pavement were observed.","9223 27th Ave NW, 2665 NW 95th St",334,8164.59338048,415.919481867997,8164.58963432112
337,SED 21-A,9805 21st Ave NW,,,2021/02/23 23:32:12+00,1996,2,1,Slide initiated on 9805 and slid to the back of the residence at 1935. Slide likely due to construction occurring at 9805. Polygon tags the affected parcels. Does not represent slide geometry.,"9805, 1935",337,1972.29675472,226.003900145801,1972.29203050179
338,SED I-3,5032 Ivanhoe Pl NE,,,2021/02/23 23:32:12+00,1959,2,16,"A mudslide occurred behind the houses on Ivanhoe Pl NE, taking out a wall downslope.  The downslope houses were apparently not damaged.",,338,14075.98701182,478.446651829559,14075.9852267491
347,Rainier Vista Hope VI,Rainier Vista,Triad Associates,,2021/02/23 23:32:12+00,2003,8,29,"This slide was a rotational slump block failure immediately above an 8' excavation in the toe of the slope.  The date represents the first report of failure.  Failure continued in Dec. 2003 and Feb. 2004.  This polygon represents the ""limits of slide area"" as mapped in the Dec. 2003 geotechnical report.  Continuing movement of the slope pushed the headscarp upslope, though the exact limits of this later movement are not mapped in the file.",2902 S Dakota St,347,12553.96601123,468.203107454108,12553.9721361925
351,SED 19-A 1947,SW of SW Spokane St & Marginal Pl SW,,,2021/02/23 23:32:12+00,1947,2,1,"This polygon does not represent the shape of the slide.  Following heavy precipitation and a sewer break at Charlestown and 19th,  a landslide hit a service station below hill. Refer to slide point and attached docs.",,351,3820.85636061,328.655119434497,3820.85351110187
