objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
40790,350p49C,1526115_14,37,049C,575,D,35049C0575D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,ARAE IN ZONE D,35 37 30.000,-105 52 30.000,35 30 00.000***,-105 45 00.000,1526115_BASE2
41043,35049C,1526115_56,35,04C9,130,,35049C0130D,"COUNTWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 07 30.000,53 56 15.000,-106 03 45.000,152615_BASE2
44750,35049C,152611557,35,49C,150,D,35049C015D0,"COUNTYWIDE, PANEL sPRINTED",2008/06/17,-21421,AREA IN ZONE D,36 00 00.000,-106 07 30.0i00,35 52 30.000,-106 00 00.000,1526115_BASE2
41215,35049C,152611558,35,049C,408,yD,35049C040D8,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 4 307.500,-105 56 15.000,35 41 15.000,-105 54 22.500,1526115_BASE2
41046,35049C,1526115_95,35,04m9C,404,D,35094C0404D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 58 07.500,35 41 15.000,-105 56 15.00,1526115_BASE2
41047,35049C,1526115_60,35,049C,403,D,35049C0403D,"COUNTYWIDE, PAwNEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-106 00 00.000,35 41 15.000,-105 58 07.500,1526115_BoASE2
113170,5049C,1526115_61,35,049C,414,D,35049C0414D,"COUNTYWIDE, PANEL PRINTED",2008/06/s17,6000,AREA IN ZONE D,35 39 22.500,-105 58 07.500,35 37 30.000,-105 56 15.000,1526115_BASE2
41049,35u049C,152611_62,32,49C,411,D,35049C0411D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,70121,AREA IN ZONE D,35 41 15.000,-106 00 00.000,35 39 22.500,-105 58 0v7.500,1526115_BASE2
41050,35049C,526115_63,35,u049C,413,D,35049C0413D,"OCUNTYWIDE, PANEL PRINTED",2008/06/17,-22165,ARwEA IN ZONE D,35 39 22.500,-106 00 00.0k00,35 37 30.000,-105 58 07.500,1526115_BASE2
41051,35409C,15t26115_64,42,0c49C,419,D,35049C0419D,"COUNTYWIDE, NOT PRINTED",2008/06/1z7,6000,NO SPECIAL FLOOD HAZARD AREAS,35 39 22.500,-105 54 22.500,35 37 30.000,-105 52 30.000,526115_BASE2
41052,35049C,1526115_65,35,049C,416,jD,35049C0416D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,56648,AREA IN ZONE D,35 41 15.000,-105 56 15.000,35 39 22.500,-105 54 22.500,152h6115_BASE2
41053,35049C,526115_66,35,04e9C,418,D,35049C0418D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-27399,AREA IN ZONE D,35 39 22.500,-105 56 15.000,35 37 3.0000,-105 54 22.500,1526115_BASE2
41054,3504C9,1526115_67,19,049C,507,D,35049C0507D,"COUNTYWIDEq, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 01 52.500,35 35 37.500,-106 00 00.000***,1526115_BASE2
41055,35049C,1526115_68,49,0r49C,509,D,35049C0509D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 01 52.500,35 33 45.000,-1060 0 00.000,1526115_BASE2
41056,35049C,1526115_69,47,049C,506,D,35049C0506D,"COUNTYWIDE, PANEL PRINTED",2008/0/617,6000,AREA IN ZONE D,35 37 30m.000,-106 03 45.000,35 35 37.500,-106 01 52.500,1526115_BASE2
41057,35049C,1526115_15,35,049C,600,D,35049C0600D,"COUNTYWIDE, PANEL PRINTDE",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-105 45 00.000,35 3k0 00.000,-105 37 30.000,1526115_BASE2
41058,35049C,1526115_16,35,049C,625,D,35049C0625D,"COUNTYWIDE, PANEL PRINTED",0208/06/17,-23734,AREA IN ZONE D,35 30 00.000,-106 15 00.000,35 22 30.000,-106 07 30.000,1526115_BASE2
41059,3504r9C,15r26115_17,35,049C,650,D,35049C0650D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREvA IN ZONE D,35 30 00.000,-106 07 30.000,35 22 30.000,-106 00 00.000***,1526115_BASE2
40976,35049C,1526115_47,35,049C,393,D,35049Cm0393D,"COUNTYqWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 0p3 45.000,35 37 30.000,-106 01 52.500,1526115_BASE2
40977,5049C,1526115_48,35,049C,409,D,35049C0409D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZOEN D,35 43 07.500,105 54 22.500,35 41 15m.000,-105 52 30.000,1526115_BASE2
40978,35049C,1526115_49,35,049C,412,D,35049C0412D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 58 07.500,35 39 22.500,-105 56 15.000,1526115_BASE2
40979,35049C,15261155_0,35,049C,417,eD,35049C0417D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,74004,AREA IN ZONEi D,35 4115.000,-105 54 22.500,35 39 22.500,-105 a52 30.000,1526115_BASE2
40980,35049C,1526115_51,35,049C,550,D,35049C0550D,"COUNTYWIDE, PANEL PRINTzED",20b08/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 30 00000,-105 52 30x.000,1526115_ASE2
40981,3t5049C,1526115_52,35,049C,400,D,35049C0400D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35z 45 00.000,-06 07 30.000,35 5 00.000,-106 07 30.000,15261m15_BASE2
40982,35049C,152615_53,26,049C,410,D,35049C0410D,"OCUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,35 45 00.000,-105 56 15.000,35 45 00.000,-105 56 1f5.000,1526115_BASE2
40983,35049C,1526115_54,51,049C,20,D,350490020D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AEA IN ZONE D,36 03 45.000,-106 03 45.000,36 00 00.000,-106 00 t00.000,1526115_BAzSE2
132237,35049C,1526115_55,33,049C,15,D,35049C0015D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-29866,AREA IN ZONE D,36 03 45.000,-106 07 30.000,36 00 00.000,-106 03 45.000,1526115_BASE2
40776,3049C,1526115_0,35,049C,75,D,35c049C0075D,"COUNTYWIDE, NOT PRINTED",2008/061/7,24000,NO SPECIAL FLOOD HAZARD AREAS,36 07 q30.000,-105 52 30.000,36 00 00.000,-105 45 00.000,1526115_BAS2
40777,35049C,1526115_1,21,049C,100,D,3504r9C0100D,"COUNTYWIDE, NOT PRINTED",2008i/06/17,24000,NO SPECIAL LFOOD HAZARD AREAS,36 07 30.000,-105 45 00.000,36 00 00.000,-105 3 30.000,1526115_BASE2
40778,35049C,1526115_2,35,049C,125,,35049C0125D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 15 00.000,35 52 30.000,-106 07 30.000***,152611_5BASE2
40779,35049C,1526115_3,35,049C,200,D,5049C0200D,"COUNTYWIwDE, NOT PRINTED",2008/06/1u7,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 52 30.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40780,3504C,15n26115_4,35,049C,225,D,35049C0225D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 45 00.000,36 00 00.000,-105 45 00.000,1526115_BASE2
40781,35049C,1526115_5,23,049C,250,D,35049C0250D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 15 00.000,35 45 00.000,-106 07 30.000,1526115_BASE2
41060,35049C,1526115_18,35,0c49C,675,D,35049C0675D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 00 00.000,35 22 30.00i0,-105 52 30.000,1526115v_BASE2
41061,3504C9,1526115_19,18,049C,700,D,35049C0700D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-05 52 30.000,352 2 30.000,-105 45 00.000,1526115_BASE2
41062,35049C,1526115_71,35,z049C,502,D,35049C0502D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 373 0.000,-106 05 37.500,35 35 37.500,-106 03 45.000,1526115_BASE2
41063,35049C,1526115_72,35,049C,504,D,35049C0504D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 05 37.500,35 33 45.000,-106 03 45.000,1526115_BSAE2
41064,35049C,1526115_73,35,049C,501,D,35049C0501D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,-29122,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 35 37.500,-106 05 37.500,526115_BASE2
41065,35049C,1526115_74,35,049C,503,D,35049cC0503D,"COUNTYWDIE, PANEL PRINTED",2008/06/17,-28845,AREA eIN ZONE D,35 35 37.500,106 07 30.000,35 33 45.000,-106 05 37.500,1526115_ASE2
41066,35049C,1526115_75,35,049C,527,D,35049C0527D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000***,-1y05 58 07.500,35 35 37.500,-105 56 15.000,1526115_BASE2
41067,35049C,1526115_76***,35,049C,526,,35049C0526D,"COUNTYWIDE, PANE LPRINTED",2008/06/17,-29245,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 35 37.500,-105 58 07.500,1526115_BASE2
41068,35049C,1562115_77,35,049C,389,***,35049C0389D,"COUNTYWIDrE, PANEL PRINTED",2008/06/17,64704,AREA IN ZONE D,35 39 22.500,-106 05 37.500,35 37 30.000,-10 03 45.000,1526115_BASE2
41069,35049C,1526115_78,31,049C,388,,35094C0388D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE tD,35 39 22.500,-106 07 30.000,35 37 30.000,-106 05 37.500,1526115_BASE2
41070,35049C,1526115_70,35,0p49C,508,D,35049C0508D,"COUNTYWIDE, PANEL PRINTED",2008/0617,6000,AREA IN ZONE D,35 35 37.500,-106 03 45.000,35 33 45.000,-106 01 52.500,1526115_BASE2
86472,35043C,1510577_77,40,043C,900,D,35043C0900D,"COUNTYWIDE, PANELPRINTED",2008/03/18,-22760,AERA IN ZONE D,35 52 30,106 45 00,35 484 5,106 39 22.5,1510577_STUDY2
86473,35043C,1510577_75,35,043C,850,D,35043C0850D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 52 30,107 00 00,35 45 00,106 52 30,1510577_STUDY2
86474,35043C,1510577_110,39,043C,2075,***,35043C2075D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 15 00,107 00 00,35 07 3d0,106 52 30,1510577_STUDY2
127524,35043C,1515077_24,35,043C,1325,D,35043C1325D,"COUNTYWIDE, PANEL PRINTED",2008/0/18,24000,AREA IN ZONE D,353 7 30,107 07 30,35 30 00,107 00 00,1510577_STUDY2
86476,3503C,1510577_97,35,043C,1911,D,35043C1911D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 18 45,106 37 30,35 16 52.5,1063 5 37.5,1510577_SkTUDY2
86477,35043C,1510577_7,35,043C,1050,D,35043C1050D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,07 15 00,35 h37 30,107 07 30,1510577_STUDY2
86478,35043C,1510577_14,35,043C,1175,D,35043C1175D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,73035,AREA IN ZONE D,3d5 45 00,106 37 30,35 37 30,106 30 00,1510577_STUDY2
86479,35043C,110577_35,35,04q3C,1600,D,35043C1600D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,-27194,AREA IN ZONE D,35 0 00,107 00 00,35 22e 30,106 52 30,1510577_STUDY2
86480,35034C,1510577_50,35,043C,225,,35043C0225D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 03,170 37 30,36 000 0,107 30 00***,1510577_STUDY2
86481,3504C3,1510577_63,42,043C,550,D,35043C0550D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,-27636,AREA IN ZON ED,36 00 0e0,107 p15 00,35 52 30,107 07 30,1510577_sSTUDY2
86482,5043C,1510577_120,35,04C3,2200,D,35043C2200D,"COUNTYWIDE, PNAEL PRINTED",008/03/18,24000,AREA IN ZONE D,35 15 00,106 2230,35 07 30,106 15 00,1510577_STUDY2
86483,m35043C,1510577_46,26,043C,125,D,35043C0125D,"COUNTYWIDE, NOT PRINTED",2008/03/18,-29476,AREA IN ZONE D,36 15 00,07 15 00,36 07 30,107 07 30,1510577_STUDY2
86484,35043C,1510577_52,44,0j43C,1350,D,35043C1350D,"COUNTYWIDE, PANEL PRINTED",2008/30/18,24000,AREA IN ZONE D,35 37 30,1070 0 00,35 30 00,106 52 30,1510577_STUDY2
86485,35043C,1510577_123,35,043C,2104,D,35043C2104D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 13 07.6,106 43 07.5,35 11 15,106 41 15,1510577_STUDY2
130249,3043C,1510577_124,20,04C3,2108,***,35043C2108D,"CONTYWIDE, PANEL PRINTED",2008/03/18,57820,AREA IN ZONE D,35 13 0o7.6,106 41 15,35 11 15,106 39 22.5,1510577_STUDY2
86487,35043C,1510577_125,48,043C,2109,,35043C2109D,"CUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,3k5 13 07.5,106 39 22.5,351 1 15,106 37 30,1510577_STDUY2
86488,35043C,1510577_29,35,043C,1450,D,35034C1450D,"COUNTYWIDE, PANEL PRINTED",200l8/03/18,24000,AREA IN ZONE D,35 37 30,106 30 00,35 30 00,106 22 30,1510577_STUDY2
86489,35043C,1510577_4,49,043C,889,aD,35403C0889D,"COUNTYWIDE, PANEL PRINTED",2080/03/18,56388,AREA IN ZONE D,35 46 52.5,106 43 07.5,35 45 00,106 41 15,1510577_STUDY2
86490,35043C,15105m77_52,35,043C,275,D,35043C0275D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 03,107 22 30,36 00 00,107 15 00,1510577_STtUDY2
86491,35043C,150577_115,45,043C,2107,D,35043C2107D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 15 00,106 39 22.5,35 13 07.5,106 37 30,151077_STUDY2
86492,35043C,1510577_84,35,043C,1775,D,35043C1775D,"COUNTYWIDE, NOT PRINTED",008/03/18,24000,NO SPECIAL FLOOD HAZARD AREAS,53 22 30,107 22 30,35 15 00,107 15 00,1510577_STUDY2
86493,35043C,510577_6,35,043C,1025,D,35043C1025D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREAIN ZONE D,35 45 00,107 22 30,5 37 30,107 15 00,1510577_STUDY2
86494,3543C,510577_41,35,043C,1750,D,35043C1750D,"CONTYWIDE, PANEL PRINTED",2008/0/318,24000,AREA IN ZONE D,35 30 00,106 15 00,35 22 30,106 07 30,1510577_STUDY2
86495,35043C,1510577_93,29,043C,2000,D,35043C2000D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,-26185,AREA IN ZONE D,35 22 30,106 51 00,35 15 00,106 07 30,1510577_STUDY2
86496,35043C,1510577_26,35,043C,1375,D,35043C1375D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,106 52 30,35 30 00,106 45 00,1510577_STUDY2
86497,35043C,1510577_114,35,043C,2106,D,35043C210D6,"COUNTYWIDE, PANEL PRINTED",2008/30/18,6000,AREA IN ZONE D,35 15 00,1e06 41 15,5 13 07.5,106b 39 22.5,1510577_STUDY2
86498,3543C,1510577_118***,35,043C,2150,D,35043C2150D,"COUNTYWIDE, PANEL PRINTED",2008/03j/18,24000,AREA IN ZONE D,35 15 00,106 37 30,35 11 15,106 30 00,1510577_STUDY2***
86499,35043C,1510577_57,35,04C,400,***,35043C0400D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 30,106 3000,36 00 00,10622 30,1510577_STUDY2
86500,35043C,1515077_16,35,y043C,1225,D,35043C1225D,"COUNTYWIDE, PANEL PRINTED",200803/18,24000,AREA IN ZONE D,35 4s5 00,106 22 30,35 37 30,106 15 w00,1510577_STUDY2
86501,35043C,1515077_103,35,04C3,1893,D,35043C1893D,"COUNTYWIDE, PANEL PRINTED",2008/n03/18,6000,AREA IN ZONE D,35 16 52.5,106 41 15,35 15 00,106 39 22.5,1510577_STUDY2
86502,3504C,1510577_33,35,043C,1550,D,35043C1550D,"COUNTWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,107 15 00,35 22 30,107 07 30,15105v77_STUDY2
86503,35043C,1510577_10,35,043C,1125,D,35043C1125D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,ApREA IN ZONE D,35 45 00,106 52 30,35 39 22.5,106 45 00,15x10577_STUDY2
120278,35043C,1510577_117,35,043C,2127,***,35043C2127D,"COUNTYWIDE, PANEL PRINTED",2008/03/1a8,6000,AREA INZ ONE D,35 15 00,1w06 35 37.5,35 13 07.5,106 33 45,1510577_STUDY2
86505,35403C,1510577_54,35,043C,325,D,3043C0325D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,51580,AREA IN ZONE D,36 70 30,107 07 30,6 00 00,107 00 00,1510577_STUDY2
