"rpt_rec_num","Provider CCN","Facility Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural versus Urban","Fiscal Year Begin Date","Fiscal Year End Date","Type of Control","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days Other","Total Days Total","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges Title Other","Total Discharges Total","SNF Average Length of Stay Title V","SNF Average Length of Stay Title XVIII","SNF Average Length of Stay Title XIX","SNF Average Length of Stay Total","SNF Admissions Title V","SNF Admissions Title XVIII","SNF Admissions Title XIX","SNF Admissions Other","SNF Admissions Total","SNF Days Title V","SNF Days Title XVIII","SNF Days Title XIX","SNF Days Other","SNF Days Total","SNF Number of Beds","SNF Bed Days Available","SNF Discharges Title V","SNF Discharges Title XVIII","SNF Discharges Title XIX","SNF Discharges Title Other","SNF Discharges Total","NF Number of Beds","NF Bed Days Available","NF Days Title V","NF Days Title XIX","NF Days Other","NF Days Total","NF Discharges Title V","NF Discharges Title XIX","NF Discharges Title Other","NF Discharges Total","NF Average Length of Stay Title V","NF Average Length of Stay Title XIX","NF Average Length of Stay Total","NF Admissions Title V","NF Admissions Title XIX","NF Admissions Other","NF Admissions Total","Total RUG Days","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Total Charges","Total Costs","Wage-related Costs (core)","Total Salaries (adjusted)","Contract Labor","Cash on hand and in banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for uncollectible notes and accounts receivable","Inventory","Prepaid expenses","Other current assets","Total Current Assets","Land","Land improvements","Buildings","Leasehold improvements","Fixed equipment","Major movable equipment","Minor equipment depreciable","Total fixed Assets","Investments","Other Assets","Total other Assets","Total Assets","Accounts payable","Salaries, wages, and fees payable","Payroll taxes payable","Notes and Loans Payable (short term)","Deferred income","Other current liabilities","Total current liabilities","Mortgage payable","Notes Payable","Unsecured Loans","Other long term liabilities","Total long term liabilities","Total liabilities","General fund balance","Total fund balances","Total Liabilities and fund balances","Total General Inpatient Care Services Revenue","Inpatient Revenue","Outpatient Revenue","Gross Revenue","Less Contractual Allowance and discounts on patients' accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from service to patients","Total Other Income","Total Income","Net Income","Inpatient PPS Amount","Nursing and Allied Health Education Activities","Allowable Bad Debts"
1236084,035196,MESA CHRISTIAN HEALTH & REHAB CTR,255 WEST BROWN ROAD,MESA,AZ,85201,MARICOPA,38060,U,11/01/2018,12/31/2018,4,,421,6819,692,7932,191,11651,,19,34,36,89,,22.16,200.56,89.12,,12,18,48,78,,421,6819,692,7932,191,11651,,19,34,36,89,,,,,,,,,,,,,,,,,,421,825663,1154426,582199,256290,124792,825663,,2100,,,1530654,,46210,,,1782049,,,9891803,11145,,17697,,9920645,,-1000977,-975142,10727552,241549,185220,,,6961,116495,550225,10250804,,,,10250804,10801029,-73477,-73477,10727552,1703964,2286074,,2286074,379563,1906511,1980089,-73578,100,-73478,-73478,235486,,
1236085,035225,SUN CITY HEALTH & REHAB CTR,9940 WEST UNION HILLS DRIVE,SUN CITY,AZ,85373,MARICOPA,38060,U,11/01/2018,12/31/2018,4,,96,3072,659,3827,118,7198,,3,17,13,33,,32,180.71,115.97,,6,13,19,38,,96,3072,659,3827,118,7198,,3,17,13,33,,,,,,,,,,,,,,,,,,96,442554,531384,162770,156221,69670,442554,,-10300,,,679806,,28548,,,849378,,,,62541,,17900,,80441,,-555517,-525813,404006,265283,100585,,,8413,86568,460849,,,,,,460849,-56843,-56843,404006,822805,985575,,985575,68526,917049,973938,-56889,47,-56842,-56842,48717,,
1236219,105828,WATERS EDGE EXTENDED CARE,1500 SOUTHWEST CAPRI STREET,PALM CITY,FL,34990,MARTIN,38940,U,11/20/2018,12/31/2018,4,,451,355,12894,13700,36,13140,,17,2,7,26,,26.53,177.5,53.69,,17,3,7,27,,451,355,590,1396,36,13140,,17,2,7,26,,,,,,,,,,,,,,,,,,451,853307,2144309,180497,93211,182356,853307,60463,5303227,,,830785,,265964,797111,,7197087,7035036,6750,51478043,,,1571086,,59971216,,9124889,9124889,76293192,1023947,403072,,432033,,1136847,2995899,14410000,,,39433465,53843465,56839364,19453828,19453828,76293192,1890873,2071370,,2071370,202151,1869219,2997616,-1128397,2289233,1160836,1160836,245315,,
1236296,225743,BILLERICA HEALTHCARE SOLUTIONS  LLC,194 BOARDMAN STREET,HAVERHILL,MA,01830-6405,ESSEX,15764,U,10/01/2018,12/31/2018,5,,214,3468,899,4581,68,6256,,3,1,4,8,,71.33,3468,572.63,,4,2,10,16,,214,3468,899,4581,68,6256,,3,1,4,8,,,,,,,,,,,,,,,,,,214,503112,643259,186778,79880,69306,503112,,313141,,,296327,,,7584,8001,625053,,,,,,21108,,21108,,,,646161,46326,50574,4547,,,187123,288570,,,,,447409,735979,-89818,-89818,646161,1117228,1304006,,1304006,247792,1056214,1146371,-90157,338,-89819,-89819,118072,,
1236308,245083,PARK HEALTH  A VILLA CENTER,4415 WEST 36 1/2 ST,ST. LOUIS PARK,MN,55416-0000,HENNEPIN,33460,U,10/01/2018,12/31/2018,6,,170,3035,335,3540,70,6440,,3,32,6,41,,56.67,94.84,86.34,,5,15,6,26,,170,3035,335,3540,70,6440,,3,32,6,41,,,,,,,,,,,,,,,,,,170,447889,800883,273523,103466,87141,447889,121228,33307,,,678346,44159,,12042,76750,757923,,,,15913,,107431,,90042,,,,847965,214029,135629,,213000,,1048626,1611284,,,,315672,315672,1926956,-1078991,-1078991,847965,930346,1203869,,1203869,174056,1029813,1248772,-218959,90,-218869,-226586,79039,,19139
1236349,365578,NEW LEXINGTON CENTER,920 SOUTH MAIN STREET,NEW LEXINGTON,OH,43764,PERRY,18140,U,10/01/2018,12/31/2018,6,,453,5067,1210,6730,100,9200,,12,11,24,47,,37.75,460.64,143.19,,13,7,31,51,,453,5067,1210,6730,100,9200,,12,11,24,47,,,,,,,,,,,,,,,,,,453,760743,942703,626373,350052,111938,760743,259606,9758,,,742654,96148,21067,-36656,,876805,,31716,,35766,17298,21327,,101430,,-1603567,-1603567,-625332,281973,205801,,,26053,144426,658253,,,,32053,32053,690306,-1315638,-1315638,-625332,1491735,2120201,,2120201,457739,1662462,1703446,-40984,3212,-37772,-37772,232802,,9531
1236437,235232,THE OASIS OF MONROE REHABILITATION A,1215 NORTH TELEGRAPH ROAD,MONROE,MI,48162-3368,MONROE,33780,U,10/01/2018,12/31/2018,4,,275,5159,682,6116,152,13984,,8,13,8,29,,34.38,396.85,210.9,,3,1,4,8,,275,5159,682,6116,152,13984,,8,13,8,29,,,,,,,,,,,,,,,,,,275,478513,1329262,95070,272399,109432,478513,180623,268414,,,810563,19370,,17842,59413,1133529,,,,,,,,,,,18302,1151831,1301179,-23915,,,,,1277264,,,,,,1277264,-125433,-125433,1151831,964160,1059230,,1059230,2102,1057128,1807775,-750647,,-750647,-776018,118979,,
1236441,235281,HASTINGS REHABILITATION AND HEALTHCA,240 EAST NORTH STREET,HASTINGS,MI,49058,BARRY,24340,U,10/01/2018,12/31/2018,4,,232,3995,1568,5795,106,9752,,8,8,28,44,,29,499.38,131.7,,5,4,11,20,,232,3995,1568,5795,106,9752,,8,8,28,44,,,,,,,,,,,,,,,,,,232,603793,1055186,45395,153665,158158,603793,85669,194598,,,899935,22203,,17842,57584,1154423,,,,,,,,,,,46763,1201186,911783,-6926,,,,,904857,,,,,,904857,296329,296329,1201186,1142185,1187580,,1187580,1924,1185656,1658979,-473323,,-473323,-502432,101771,,
1236457,235504,THE OASIS OF ADRIAN REHABILITATION A,130 SAND CREEK HIGHWAY,ADRIAN,MI,49221-9129,LENAWEE,99923,R,10/01/2018,12/31/2018,4,,257,2910,1662,4829,114,10488,,4,13,9,26,,64.25,223.85,185.73,,4,4,11,19,,257,2910,1662,4829,114,10488,,4,13,9,26,,,,,,,,,,,,,,,,,,257,562163,963588,89559,189281,111280,562163,128350,122697,,,661124,11126,,4867,57246,831474,,,,,,,,,,,28369,859843,754466,-10707,,,,,743759,,,,,,743759,116084,116084,859843,829548,919107,,919107,2703,916404,1525751,-609347,,-609347,-640385,105796,,
1236471,245340,GALTIER A VILLA CENTER,445 GALTIER AVE,ST. PAUL,MN,55103,RAMSEY,33460,U,10/01/2018,12/31/2018,6,,531,6939,445,7915,107,9844,,11,130,11,152,,48.27,53.38,52.07,,16,30,13,59,,531,6939,445,7915,107,9844,,11,130,11,152,,,,,,,,,,,,,,,,,,531,1058032,1044971,553696,166953,161813,1058032,126560,78015,,,1899346,83740,,19622,31250,1945792,,,,3454,,104217,,80300,,,,2026092,190776,363860,,576600,,1077231,2208467,,,,44904,44904,2253371,-227279,-227279,2026092,1979360,2533056,,2533056,420856,2112200,2103003,9197,35649,44846,44846,290063,,10726
1236472,245417,ROBBINSDALE A VILLA CTR,3130 GRIMES AVE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,33460,U,10/01/2018,12/31/2018,6,,628,4907,883,6418,75,6900,,23,53,20,96,,27.3,92.58,66.85,,23,22,20,65,,628,4907,883,6418,75,6900,,23,53,20,96,,,,,,,,,,,,,,,,,,628,928453,1048384,579385,192023,149167,928453,182164,147058,,,986093,77186,,15447,750100,1845133,,,,21767,,106859,,104984,,3868,3868,1953985,184083,304282,,471600,,344690,1304655,,,,31475,31475,1336130,617855,617855,1953985,1991909,2571294,,2571294,432684,2138610,1976837,161773,1523,163296,163296,343490,,28901
1236511,366038,GREENFIELD SNF  INC.,238 SOUTH WASHINGTON ST,GREENFIELD,OH,45123,HIGHLAND,99936,R,12/01/2018,12/31/2018,4,,97,687,389,1173,50,1550,,1,6,7,14,,97,114.5,83.79,,3,9,6,18,,97,687,389,1173,50,1550,,1,6,7,14,,,,,,,,,,,,,,,,,,97,110389,162108,146107,63286,10525,110389,,61387,,,233778,,,51732,,346897,,,,,,,,,,,17750,364647,50744,57390,1234,114904,,110738,335010,,,,,,335010,29637,29637,364647,263980,410087,,410087,148659,261428,272497,-11069,156,-10913,-10913,102719,,
1236708,175332,OTTAWA HEALTHCARE  INC.,110 WEST 15TH STREET,OTTAWA,KS,66067,FRANKLIN,99917,R,11/01/2018,12/31/2018,4,,470,2094,4583,7147,151,9211,,16,3,1,20,,29.38,698,202.25,,17,8,9,34,,470,2094,1481,4045,80,4880,,16,3,1,20,,,,,,,,,,,,,,,,,,470,606770,623623,331523,143031,89582,606770,95863,909688,,,642055,14959,,4183,,1540967,,,,,,,,,-1245200,,-1245200,295767,183062,144203,46013,,,26997,400275,,,,,,400275,-104508,-104508,295767,941855,1273379,,1273379,150428,1122951,1230393,-107442,2934,-104508,-104508,225730,,
1236854,105851,STRATFORD COURT AT BOCA POINTE,6347 VIA DE SONRISA DEL SUR,BOCA RATON,FL,33433,PALM BEACH,48424,U,11/01/2018,12/31/2018,4,,1387,879,27930,30196,527,32147,,38,1,32,71,,36.5,879,62.19,,50,2,,52,,1387,879,346,2612,60,3660,,38,1,3,42,,,,,,,,,,,,,,,,,,1387,1569933,3156092,838944,425207,238859,1569933,,-12239,,,339043,11649,3250,129070,882352,1329827,,,,211217,,192232,,622451,,-10679,-10679,1941599,-369196,113386,,,13375,2348781,2106346,,,,-4263,-4263,2102083,-160484,-160484,1941599,4104472,4943416,,4943416,433190,4510226,4726025,-215799,55315,-160484,-160484,774398,,9380
1237368,145045,NAPERVILLE MANOR HEALTH AND REHAB CE,200 MARTIN,NAPERVILLE,IL,60540,DUPAGE,16974,U,11/01/2018,12/31/2018,6,,189,3720,516,4425,118,7198,,6,30,24,60,,31.5,124,73.75,,29,16,16,61,,189,3720,516,4425,118,7198,,6,30,24,60,,,,,,,,,,,,,,,,,,189,851460,711925,500525,365291,180763,851460,,209699,,,1107034,25370,,461313,34694,1787370,,,,,,,,,,,,1787370,921391,351024,18560,,,285233,1576208,,570452,,,570452,2146660,-359290,-359290,1787370,858605,1359130,,1359130,156395,1202735,1563385,-360650,1360,-359290,-359290,362575,,
1237421,215188,OASIS NURSING & REHAB  LLC,85 HOSPITAL ROAD,PRINCE FREDERICK,MD,20678,CALVERT,47894,U,10/01/2018,12/31/2018,5,,1593,,9007,10600,149,13708,,83,,14,97,,19.19,,109.28,,83,,14,97,,1593,,9007,10600,149,13708,,83,,14,97,,,,,,,,,,,,,,,,,,1593,1536447,1635514,71283,343426,223604,1536447,,329601,2599425,,,,,42996,,2972022,,,,,43591,,,155841,,,,3127863,590719,931209,,,,965125,2487053,,600000,,,600000,3087053,40810,40810,3127863,3141350,3212771,,3212771,,3212771,3171961,40810,,40810,40810,789821,,
1237422,215246,BEDFORD COURT HEALTHCARE CENTER,1701 INTERNATIONAL AVE,SILVER SPRING,MD,20906,MONTGOMERY,43524,U,10/01/2018,12/31/2018,4,,1510,1660,27377,30547,354,32568,,50,5,36,91,,30.2,332,64.25,,50,4,5,59,,1510,1660,878,4048,60,5520,,50,5,8,63,,,,,,,,,,,,,,,,,,1510,1972446,3453576,961231,471194,250732,1972446,17510,-7224,,,313139,30935,2724,-101143,2242150,2418711,,8684,,58057,,24707,,255512,,24498,24498,2698721,-68545,178947,,,,2383445,2493847,,27348,,1062,28410,2522257,176464,176464,2698721,5413235,6374360,,6374360,858107,5516253,5426022,90231,86233,176464,176464,841340,,
1237458,355024,FARGO NURSING AND REHAB CENTER  LLC,1315 SOUTH UNIVERSITY DRIVE,FARGO,ND,58103,CASS,22020,U,10/24/2018,12/31/2018,6,,815,3385,1078,5278,110,7590,,20,11,5,36,,40.75,307.73,146.61,,19,9,6,34,,815,3385,1078,5278,110,7590,,20,11,5,36,,,,,,,,,,,,,,,,,,815,822324,661843,504073,278626,158877,822324,,-7780,,,1214434,15091,,216,,1197301,,,,,24227,,,21805,,,,1219106,149051,288069,,,,139391,1216126,,,,,,1216126,2980,2980,1219106,977072,1481145,,1481145,-4563,1485708,1484167,1541,1439,2980,2980,375451,,
1237467,365336,LOCUST RIDGE HEALTHCARE,12745 ELM CORNER ROAD,WILLIAMSBURG,OH,45176,BROWN,17140,U,12/01/2018,12/31/2018,5,,832,980,292,2104,61,1891,,13,,2,15,,64,,140.27,,,3,,3,,832,980,292,2104,61,1891,,13,,2,15,,,,,,,,,,,,,,,,,,832,130269,136292,338733,26076,11566,130269,15374,50300,,,234691,,,14009,,299000,,,,,18380,,,18168,,,11129,328297,163313,37340,,,,16917,217570,,,,,78000,295570,32727,32727,328297,286774,314775,,314775,15487,299288,266561,32727,,32727,32727,385358,,
1237474,365430,GAYMONT NURSING CENTER,66 NORWEED AVENUE,NORWALK,OH,44857,HURON,99936,R,11/06/2018,12/31/2018,4,,309,3003,1401,4713,112,6272,,14,13,22,49,,22.07,231,96.18,,11,11,20,42,,309,3003,1401,4713,112,6272,,14,13,22,49,,,,,,,,,,,,,,,,,,309,486456,633694,317291,167753,63786,486456,98462,113114,,,843530,,4076,72091,,1032811,,3000,48805,,99374,,,149437,,10000,10000,1192248,954928,114607,6096,,,11917,1087548,,,,,,1087548,104700,104700,1192248,1041671,1358962,,1358962,159820,1199142,1120150,78992,25670,104662,104662,152513,,
1237483,365551,CLOVERNOOK HEALTHCARE,7025 CLOVERNOOK AVENUE,CINCINNATI,OH,45231,HAMILTON,17140,U,10/09/2018,12/31/2018,4,,638,7600,1231,9469,119,9996,,13,10,20,43,,49.08,760,220.21,,13,11,31,55,,638,7600,1231,9469,119,9996,,13,10,20,43,,,,,,,,,,,,,,,,,,638,1169211,1239540,196531,171235,194798,1169211,,61572,,,1726881,,,29607,,1818060,,,,,106220,,,150419,9437,,139228,2107707,623932,362795,,980669,,162006,2129402,,,,,,2129402,-21695,-21695,2107707,2316917,2512848,,2512848,125794,2387054,2408751,-21697,2,-21695,-21695,330713,,14739
1237578,525219,EDENBROOK OF PLATTEVILLE,1300 NORTH WATER STREET,PLATTEVILLE,WI,53208,GRANT,99952,R,11/01/2018,12/31/2018,6,,58,2202,1360,3620,99,6039,,2,,,2,,29,,1810,,,,,,,58,2202,1360,3620,99,6039,,2,,,2,,,,,,,,,,,,,,,,,,58,406999,432673,301383,98226,58410,406999,,88771,,,680221,,,-2704,,614975,,,4134,1750,,15713,,171597,,,,786572,263712,240538,,5023,,,509273,,200565,,,200565,709838,76734,76734,786572,893220,1194603,,1194603,279909,914694,839672,75022,1341,76363,76363,31567,,
1237716,495254,THE COLONNADES HEALTH CARE CENTER,100 COLONNADES HILL DRIVE,CHARLOTTESVILLE,VA,22901,ALBEMARLE,16820,U,11/01/2018,12/31/2018,4,,672,61,19516,20249,316,19276,,35,,28,63,,19.2,,28.96,,23,,18,41,,672,61,599,1332,34,2074,,35,,11,46,,,,,,,,,,,,,,,,,,672,1095362,3113948,436867,221736,154483,1095362,13145,,,,-65411,7408,9685,7021,2157290,2225657,,,,23636,,8806,,275505,,-364352,-364352,2136810,227289,52811,,,10767,2813669,3104536,,-197388,,-177113,-374501,2730035,-593225,-593225,2136810,3305508,3742375,,3742375,234149,3508226,4209310,-701084,107859,-593225,-593225,347857,,
1237991,525373,CARE AND REHAB - BOSCOBEL,207 PARKER STREET,BOSCOBEL,WI,53805-1642,GRANT,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238067,165559,ENNOBLE SKILLED NURSING AND REHABILI,2000 PASADENA DRIVE,DUBUQUE,IA,52001,DUBUQUE,20220,U,10/04/2018,12/31/2018,4,,423,,4863,5286,102,9078,,20,,17,37,,21.15,,142.86,,12,,15,27,,423,,4863,5286,102,9078,,20,,17,37,,,,,,,,,,,,,,,,,,423,506797,703031,345352,158417,103763,506797,,35454,,,824374,11256,,83306,50000,981878,,,,1873,1745,4704,,8092,,80203,80203,1070173,293241,62577,,,,809845,1165663,,,,,,1165663,-95490,-95490,1070173,1081290,1425285,,1425285,313171,1112114,1209828,-97714,2226,-95488,-95488,212856,,
1238156,676455,FIVE POINTS NURSING AND REHABILITATI,1625 POINT WEST PARKWAY,AMARILLO,TX,79124,POTTER,11100,U,10/04/2018,12/31/2018,4,,765,672,747,2184,120,10680,,17,4,6,27,,45,168,80.89,,40,13,18,71,,765,672,747,2184,120,10680,,17,4,6,27,,,,,,,,,,,,,,,,,,765,529124,911870,263385,192396,42533,529124,91402,-124,,,472051,18095,,8300,,462132,,,,8552,,64270,,67269,24497,,70943,600344,169973,162028,28814,,274478,,1405859,,-1313,,,-1313,1404546,-804202,-804202,600344,565453,803313,25525,828838,192172,636666,1440994,-804328,125,-804203,-804203,381940,,
1238224,365297,SIDNEY SNF  INC.,705 FULTON STREET,SIDNEY,OH,45365,SHELBY,99936,R,12/01/2018,12/31/2018,5,,285,688,314,1287,50,1550,,13,45,26,84,,21.92,15.29,15.32,,15,66,40,121,,285,688,314,1287,50,1550,,13,45,26,84,,,,,,,,,,,,,,,,,,285,108768,179435,116208,63693,11686,108768,,49248,,,252813,,,52561,,354622,,,,,,,,,,,17750,372372,44736,54396,,66308,,126590,292030,,,,28758,28758,320788,51584,51584,372372,274808,391016,,391016,91370,299646,288203,11443,91,11534,11534,142986,,
1238232,365684,SPRINGFIELD SNF  INC.,2000 VILLA ROAD,SPRINGFIELD,OH,45503,CLARK,44220,U,12/01/2018,12/31/2018,5,,27,1277,534,1838,99,3069,,,5,1,6,,,255.4,306.33,,2,47,4,53,,27,1277,534,1838,99,3069,,,5,1,6,,,,,,,,,,,,,,,,,,27,161911,259270,59530,58744,18521,161911,36170,63480,,,340360,,,91742,,508445,,,,,,,,,,,34440,542885,98951,78899,352,170360,,168556,517118,,,,,,517118,25767,25767,542885,399060,458590,,458590,88048,370542,421181,-50639,2606,-48033,-48033,39603,,
