ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Start_Date,End_Date,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
11,LouVelo,"​LouVelo shared docked bicycles and usage across the city,",,PW&A - Streets and Roads,,STAE,STAE,Public,Different,Continuous,,2018/10/29 03:59:59+00,,Citywide,Latitude/longitude,Published on Open Data Portal
12,Meter,"Meter Information, location type, rates etc (Using Lojic now)

",Meter Bagging,Parking Authority of River City,,,,Public,Access Consolidated Database,Continuous,,,,Citywide,Not applicable,
13,Meter Bagging Order Transaction Detail,"DB of Financial Transactions for Meter Bagging.(Ongoing)

",Meter Bagging,Parking Authority of River City,OnStreet,,,Internal,Access Consolidated Database,Continuous,2007-,,,Subset of city,Not applicable,
14,Meter Order Summary,"​Order centric data for Meter Bagging (Ongoing)
",Meter Bagging,Parking Authority of River City,On Street,,,Public,Unknown,Continuous,2007-,,,Citywide,Not applicable,
15,Metro-Owned Property,"​List of all properties (and their attributes) owned or managed by various divisions of Metro Louisville.(The public version is published on Open Data Portal but no longer being updated, https://data.louisvilleky.gov/dataset/property-available-purchase)
",Sharepoint,Develop Louisville,Vacant and Public Property Administration,Connie Sutton,,Internal,csv file,Daily,"Properties span back to early 1900s, list is continuously updated and modified",,,Citywide,"Street address;#Parcel (block/lot);#Not applicable",
16,Moves Request Form,"​List of moves requested by agency.
",SharePoint lists,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,Other,Continuous,Ongoing,,,Citywide,Not applicable,
17,Mowing Log,"​Spreadsheet used to track mowing frequency.
",Excel Spreadsheet,OMB - Fleet & Facilities,Facilities,Kathleen Doran,,Internal,Excel Spread Sheets,Continuous,Ongoing,,,Citywide,Not applicable,
18,Narcan Use,​Narcan use from LMEMS PCR and other agencies/ providers use of narcan and dosage amount,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,2018/04/09 03:59:59+00,,Citywide,"Street address;#Zip code;#City;#Other",
19,National Flood Hazard - Base Flood Elevations,"​
Base Flood Elevations for the 1% annual chance flood.
Flood hazard and supporting data are developed using specifications for horizontal control consistent with 1:12,000–scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes, ensure that the other information meets FEMA’s standards for map accuracy.
The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. USGS imagery and map services that meet this standard can be found by visiting the Knowledge Sharing Site (KSS) for Base Map Standards (420).
The NFHL data are from FEMA’s Flood Insurance Rate Map (FIRM) databases. New data are added continually. The NFHL also contains map changes to FIRM data made by Letters of Map Revision (LOMRs).
The NFHL is stored in North American Datum of 1983, Geodetic Reference System 80 coordinate system, though many of the NFHL GIS web services support the Web Mercator Sphere projection commonly used in web mapping applications.",LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/27 03:59:59+00,,Citywide,Not applicable,Open Data Link
20,National Flood Hazard - Cross Sections,"​
Normally, any FIRM that has associated flood profiles has cross sections. The S_XS table contains information about cross section lines. These lines usually represent the locations of channel surveys performed for input into the hydraulic model used to calculate flood elevations. Sometimes cross sections are interpolated between surveyed cross sections using high accuracy elevation data. Depending on the zone designation (Zone AE, Zone A, etc.), these locations may be shown on Flood Profiles in the FIS report and can be used to cross reference the Flood Profiles to the planimetric depiction of the flood hazards. This information is used in the Floodway Data Tables in the FIS report, as well as on the FIRM panels.
Flood hazard and supporting data are developed using specifications for horizontal control consistent with 1:12,000–scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes, ensure that the other information meets FEMA’s standards for map accuracy.
The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. USGS imagery and map services that meet this standard can be found by visiting the Knowledge Sharing Site (KSS) for Base Map Standards (420).
The NFHL data are from FEMA’s Flood Insurance Rate Map (FIRM) databases. New data are added continually. The NFHL also contains map changes to FIRM data made by Letters of Map Revision (LOMRs).
The NFHL is stored in North American Datum of 1983, Geodetic Reference System 80 coordinate system, though many of the NFHL GIS web services support the Web Mercator Sphere projection commonly used in web mapping applications.",LOJIC,PW&A - Streets and Roads,"Public Works, Lojic",Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Other,Open Data Link
21,National Flood Hazard - FIRM Panels,"​
The S_FIRM_Pan table contains information about the FIRM panel area. A spatial file with location information also corresponds with this data table. The spatial entities representing FIRM panels are polygons. The polygon for the FIRM panel corresponds to the panel neatlines. Panel boundaries are generally derived from USGS DOQQ boundaries. As a result, the panels are generally rectangular. In situations where a portion of a panel lies outside the jurisdiction being mapped, the user must refer to the S_Pol_Ar table to determine the portion of the panel area where the FIRM Database shows the effective flood hazard data for the mapped jurisdiction. This information is needed for the FIRM Panel Index and the following tables in the FIS report: Listing of NFIP Jurisdictions, Levees, Incorporated Letters of Map Change, and Coastal Barrier Resources System Information. The spatial entities representing FIRM panels are polygons. The polygon for the FIRM panel corresponds to the panel neatlines. Panel boundaries are generally derived from USGS DOQQ boundaries. As a result, the panels are generally rectangular. FIRM panels must not overlap or have gaps within a study. In situations where a portion of a panel lies outside the jurisdiction being mapped, the user must refer to the S_Pol_Ar table to determine the portion of the panel area where the FIRM Database shows the effective flood hazard data for the mapped jurisdiction. This information is needed for the FIRM Panel Index and the following tables in the FIS report: Listing of NFIP Jurisdictions, Levees, Incorporated Letters of Map Change, and Coastal Barrier Resources System Information.
Flood hazard and supporting data are developed using specifications for horizontal control consistent with 1:12,000–scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes, ensure that the other information meets FEMA’s standards for map accuracy.
The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. USGS imagery and map services that meet this standard can be found by visiting the Knowledge Sharing Site (KSS) for Base Map Standards (420).
The NFHL data are from FEMA’s Flood Insurance Rate Map (FIRM) databases. New data are added continually. The NFHL also contains map changes to FIRM data made by Letters of Map Revision (LOMRs).
The NFHL is stored in North American Datum of 1983, Geodetic Reference System 80 coordinate system, though many of the NFHL GIS web services support the Web Mercator Sphere projection commonly used in web mapping applications.",LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/27 03:59:59+00,,Citywide,Not applicable,Open Data Link
22,National Flood Hazard - Letter of Map Amendment (LOMA),"​
The LOMA point layer indicates coordinates for Letters of Map Amendment, which can affect flood zone determination without a map change. Please be aware that LOMA point layer is provided ‘as-is’ and that there are several issues that must be considered before using this information. The first is its positional accuracy. Where the point is shown on the map may, or may not, be totally accurate as there are a variety of methods that can be used to translate a mailing address into a geographic coordinate (geocoding). The second is the completeness of the dataset. This point layer only includes LOMAs that have a coordinate associated with them. There are a number of LOMAs that have been processed by FEMA which do not have any type of a coordinate associated with them and those LOMAs are not included within this data.
Flood hazard and supporting data are developed using specifications for horizontal control consistent with 1:12,000–scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes, ensure that the other information meets FEMA’s standards for map accuracy.
The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. USGS imagery and map services that meet this standard can be found by visiting the Knowledge Sharing Site (KSS) for Base Map Standards (420).
The NFHL data are from FEMA’s Flood Insurance Rate Map (FIRM) databases. New data are added continually. The NFHL also contains map changes to FIRM data made by Letters of Map Revision (LOMRs).
The NFHL is stored in North American Datum of 1983, Geodetic Reference System 80 coordinate system, though many of the NFHL GIS web services support the Web Mercator Sphere projection commonly used in web mapping applications.",LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/28 03:59:59+00,,Citywide,Not applicable,Open Data Link
23,National Flood Hazard - Letter of Map Revision (LOMR) ,"
The S_LOMR feature class should contain at least one record for each Letter of Map Revision incorporated into the NFHL. Multipart polygons are not allowed. The spatial entities representing LOMRs are polygons. The spatial information contains the bounding polygon for each LOMR area, broken on panel boundaries.
Flood hazard and supporting data are developed using specifications for horizontal control consistent with 1:12,000–scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes, ensure that the other information meets FEMA’s standards for map accuracy.
The minimum horizontal positional accuracy for base map hydrographic and transportation features used with the NFHL is the NSSDA radial accuracy of 38 feet. USGS imagery and map services that meet this standard can be found by visiting the Knowledge Sharing Site (KSS) for Base Map Standards (420).
The NFHL data are from FEMA’s Flood Insurance Rate Map (FIRM) databases. New data are added continually. The NFHL also contains map changes to FIRM data made by Letters of Map Revision (LOMRs).
The NFHL is stored in North American Datum of 1983, Geodetic Reference System 80 coordinate system, though many of the NFHL GIS web services support the Web Mercator Sphere projection commonly used in web mapping applications.",LOJIC,PW&A - Streets and Roads,Lojic,Lojic,,Public,Lojic,Continuous,,2020/08/31 03:59:59+00,,Citywide,Not applicable,Open Data Link
24,Neighborhood Plans,"​PDF files and/or hard copies of neighborhood plans
",,Develop Louisville,Advanced Planning,Mike King,,Public,Unknown,Yearly,,,,Citywide,Neighborhood,Published
25,Number of High Sick Leave Consumers ,"​This dataset shows the number of employees who use 75% or more of their earned sick time during the last 26 pay periods.  The data is broken down by department and includes the last 6 years worth of counts.  This data is example information only, and should not be regarded as production ready, correct or as an authoritative source of information.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A.  ","Moreno-Rivera, Carmen A.  ",Public,csv file,Bi-Weekly,Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/number-high-sick-leave-consumers
26,ODMap Case Information,,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Application Database,Daily,Daily,2018/01/08 05:00:00+00,,Citywide,"Street address;#Zip code;#City;#Other",https://odmap.hidta.org/
27,Order Meter,"Data on orders with meter information (Using Lojic now)

",Meter Bagging,Parking Authority of River City,,,,Public,Access Consolidated Database,Continuous,2007-,,,Citywide,Not applicable,
28,Organizational Charts,​Documents showing department positions by division and the employees occupying those positions (Same),Publisher,PW&A - Streets and Roads,Personnel,jessica brunk,,Internal,Publisher and PDF,Irregularly,5 years,,,Other,Not applicable,
29,OSHA Data ,​This dataset shows the number of OSHA incidents during a pay period. The data is broken down by department and includes pay periods going back six years.,PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A","Moreno-Rivera, Carmen A",Public,csv file,Bi-Weekly,Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/osha-data
30,Overlay Districts,"​Parcel-level overlay district layer. (Updated Frequently)
",LOJIC,Develop Louisville,Office of Planning and Design Services,,,Public,GIS Feature Class,Continuous,Today,,,Citywide,Parcel (block/lot),http://lojic.org
31,Palm Audit Data,"​Information on collections for Palm meters. Cash only, (Ongoing)
",Palm,Parking Authority of River City,,,,Public,csv file,Continuous,,,,Citywide,Not applicable,
32,Parking Citations,"Parking violations from PARC. Note: needs geocoding, there is no latitude or longitude in data. There is information about the house number, block, or intersection as well as the street name, so geocoding is possible. PARC is working on... (Ongoing)
",T2,Parking Authority of River City,PARC,PARC,Parking Authority of River City,Public,csv file,Yearly,updates yearly,2018/01/01 05:00:00+00,12/1/2018,Citywide,Not applicable,Published on Open Data Portal
33,Parking Garage Incidents,"​This data contains information about reported incidents in garages. Contains location data and type of incident, as well as when it was reported. Used to analyze occurances in garages. (Ongoing)
",TrackTik,Parking Authority of River City,Off Street Parking,Darrel Gatewood,Bryan Forbis,Internal,csv file,Continuous,8-03-2019 to Today,,,Subset of city,"Latitude/longitude;#Other",
34,Parking Meter Data,"​Detailed data on meter locations, type, cost and enforcement rules.
",Lojic Meter Map,Parking Authority of River City,On Street Parking,Steven Bartley,Andrew McKinney,Public,Lojic Database,Irregularly,,,,Citywide,"Latitude/longitude;#Street address;#Parcel (block/lot)",Lojic Map Web App
35,Participant Records,"Program participant and participation records.

",KEE Suite,Kentuckiana Works Foundation,,Jaime L. Disney,,Public,Unknown,Continuous,,,,Citywide,Not applicable,
36,Passport Transaction Detail,​Cash transaction detail per passport app(Ongoing),Passport (GO502),Parking Authority of River City,,,,Internal,Excel Spread Sheets,Continuous,,,,Citywide,Not applicable,
37,Pavement Marking Inventory,"​pavement markings and symbols to comply with MUTCD, only arterial and collector Metro maintained roadways
",LOJIC,PW&A - Streets and Roads,Engineering,Stuart Sparks,Bonnie Roades,Public,dbaseIV file,Continuous,Continuous,,,Citywide,"Latitude/longitude;#Other",
38,"People CountsNumber of visitors to library locations, viewable by locations and date/time.Number of visitors to library locations, viewable by locations and date/time.",,SenSource Inc - Vea,Library,,Greg Schwartz,Greg Schwartz,Public,Unknown,Continuous,,2017/08/01 03:59:59+00,,Citywide,Other,
39,Permitted Body Ear Pierce Tattoo Studios,​A list of current subject permitted facilities,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
40,Permitted Food Service Establishments,​A list of currently permitted food service establishments,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
41,Permitted Food Service Types with Subtypes,​List of subject information.  For reference when working with other Public Health Food Service Establishment datasets.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Continuous,,,,Other,Not applicable,Open Data Portal
42,Permitted Mobile Home Rec Vehicle Parks,​A list of currently permitted mobile home and recreational vehicle parks,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
43,Permitted Public Facility Establishments,"​List of all currently permitted Public Facility type establishments (hotels, pools, schools, studios etc...) ",EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
44,Permitted Public Facility Types with Subtypes,​A reference table for use with other public facilities related tables that lists types and subtypes of facilities,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
45,Permitted Swimming Areas,​A list of currently permitted swimming facilities.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
46,Permitted Youth Camps,​List of permitted youth camps.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
47,Permtted Hotels Motels,​List of currently permitted Hotels and Motels,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Street address,Open Data Portal
48,Plan Certain Districts,"​Parcel-level plan certain districts layer. (Updated Frequently)
",LOJIC,Develop Louisville,Office of Planning and Design Services,,,Public,GIS Feature Class,Continuous,Today,,,Citywide,Parcel (block/lot),http://lojic.org
49,PowerDMS Student Records,"​Records for all Metro employees who have been assigned to take courses on PowerDMS.
",PowerDMS,Human Resources,Communications and Policy,David Holland,,Internal,Excel Spread Sheets,Continuous,,2015/06/05 03:59:59+00,,Other,Not applicable,
50,Preventative Maintenance Schedule,"​LIst of scheduled preventative maintenance for fleet vehicles.
",SharePoint lists,OMB - Fleet & Facilities,Fleet,Kathleen Doran,,Internal,Other,Continuous,Ongoing,,,Citywide,Not applicable,
51,Property Foreclosures,"​List of every property that has been referred for foreclosure and contains all notes for properties currently being foreclosed on.
",Sharepoint,Develop Louisville,Vacant and PUblic Property Administration ,Carrie Fry,,Internal,csv file,Daily,Spans back to 2012,,,Citywide,"Street address;#Parcel (block/lot);#Not applicable",https://data.louisvilleky.gov/dataset/property-foreclosures
52,Property Maintenance Cases,​Note: Relying on Accela resolution.,Hansen 8,Codes & Regulations,Property Maintenance Division,Benjamin Anderson,,Public,csv file,Not updated (historical only),5 Years,,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/property-maintenance-case-inspections//
53,Public Art Collection,"Public art collection information, including artist, location, type, and date acquired.

",PastPerfect,Develop Louisville,Public Art,Sarah Lindgren,,Internal,Unknown,Continuous,,,,Citywide,Latitude/longitude,
54,Public Health Complaints - Bulk,​Records of Public Health Complaints Investigated by Public Health Environmental Services.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Zip code,Open Data Portal
55,Public Health Inspection Violations - Bulk,Detail of violations on Public Health inspections.  Can be linked to dataset Public Health Inspections - Bulk though inspection ID.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
56,Public Health Inspections - Bulk,​Details of inspections conducted by Public Health Environmental Services.  Can be linked to Public Health Inspections Violations - Bulk through Inspection ID.  Can be linked to Public Health Permitted Establishments - Bulk through EstablishmentID.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,Not applicable,Open Data Portal
57,Public Health Permitted Establishments - Bulk,​List of Public Health permitted establishments with supplemental information.,EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,csv file,Quarterly,,,,Citywide,"Latitude/longitude;#Street address;#Zip code",Open Data Portal
58,Public Health Stakeholder Logs,"​Health department programs and CHE's ""root cause teams"" created listings of organizaitons/groups that they collaborate with or are impacted by their work.  They have also rated the degree of engagement and included contact information as appropriate.
",,Public Health & Wellness,Center for Health Equity,Angela Graham,,Public,VMSG data,Yearly,2018-2019 (data set is new and intented to be updated at least annually),,,Citywide,Street address,
59,Recycling Route Areas,"​Recycling   Route Areas

",LOJIC,PW&A - Solid Waste Mgmt Srvs,GIS,Metro Public Works,Metro Public Works GIS,Public,Oracle Database,Continuous,Current,,,Citywide,Planning district,
60,Registered Businesses of Jefferson County,​Published to the open data portal monthly.  A list of registerred businesses.,Metro Integrated Tax System (MINTS),OMB - Revenue Commission,,Angela Dunn,Charles Paisley,Public,csv file,Monthly,12 months,,,Citywide,"Street address;#Zip code;#City",https://data.louisvilleky.gov/dataset/business-listings-registrations
61,Related Cases (BOZA),"​Point feature class of cases that BOZA has decided, geographically coded onto parcels.  This is used for the Related Cases field of the Land Development Report for any given parcel. (Updated Frequently)
",LOJIC,Develop Louisville,Office of Planning and Design Services,,,Public,GIS Feature Class,Continuous,Today,,,Citywide,Parcel (block/lot),http://lojic.org
62,Resident Satisfaction Survey,,,Office of Performance Improvement,,Carmen Moreno-Rivera,,Internal,Excel Spread Sheets,Not updated (historical only),Annual,,,Citywide,Zip code,
63,Restaurant Inspection Data,"​Restaurant inspection dates, grades, scores and locations for the past year  for all establishments.​
",EHMIS-Environmental Health Management Information System,Public Health & Wellness,Environmental Services,Kelly Monahan,Gerald Kaforski,Public,Flat file,Quarterly,,,,Citywide,Latitude/longitude,https://data.louisvilleky.gov/dataset/restaurant-inspection-data/
64,Retired Data Governance Members,,Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle ,Michael Schnuerle ,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today ,,,Other,Not applicable,
65,Return to Work Program,​notes and records of time away from work and time working modifed duty stored in peoplesoft (Same),,PW&A - Streets and Roads,Personnel,Kelsey Thomas,Jessica Brunk,Sensitive,peoplesoft,Daily,several years,,,Other,Not applicable,
66,Roadway Data,"​Centerline data with road attributes (same, additional information to be included for shapefiles)
",Excel Spreadsheet,PW&A - Streets and Roads,Engineering,Matt Haines,Scott Stepro,Public,Excel Spread Sheets,Continuous,Daily,,,Citywide,Other,
67,Safety & Training Tracking,"​Tracking of employee's safety and equipment training and committees/attendees
",Excel Spreadsheet,PW&A - Streets and Roads,Safety,Chris Scamahorne,John Renn,Internal,PWA Shared Drive,Daily,Daily,,,Citywide,Not applicable,
68,Sales Inventory,"Properties owned by Urban Renewal, Landbank, and Metro that are managed by VPPA sales team.  Used frequently by sales team to prioritize and strategize dispositions. (The public version is lon longer being updated on Open Data Portal,https://data.louisvilleky.gov/dataset/landbankmetro-properties-available-sale)
",Sharepoint,Develop Louisville,Vacant and Public Property Administration,Joshua Watkins,,Internal,csv file,Daily,Spans back to 1930s,,,Citywide,"Street address;#Parcel (block/lot)",https://data.louisvilleky.gov/dataset/property-available-purchase
69,Service Requests/Work Orders,"Work requested by citizens and others for the division to carry out a resolution within the public Metro & State right-of-way (non-interstate). Data collected includes date, citizens contact, council district, issue, inspection comments, completed resolution. 

Data sets that use work orders includes, for example, potholes, right of way obstruction/hazard, grass cutting, vegetation, drainage, basketball goals, snow/ice removal, weather related incidents (for example: flooding). (Moved to Accela)
",Hansen 8,PW&A - Streets and Roads,Roads & Ops,Stella Irvin ,Whitney Hickman,Internal,Excel Spread Sheets,Continuous,Continous,2005/01/01 05:00:00+00,,Citywide,Street address,
70,Short Term Rentals,"​License numbers and addresses for licensed short term rentals in Louisville Metro (Replaced Hansen with Accela), dataset is updated frequently.
",Hansen 8,Develop Louisville,Office of Planning and Design Services,,,Public,Other,Monthly,Continuous,,,Citywide,Street address,https://louisvilleky.gov/government/planning-design/short-term-rental-information
71,Sidewalk Repairs,"​Dataset contains all information regarding sidewalk and curb repairs. Information can vary typically it contains an average estimated cost, linear feet/square yeards completed, location/address, Metro SW Rating, Metro Council District that SW falls in, whether or not trees are present (Moved to Accela)
",Hansen,PW&A - Streets and Roads,Engineering,Craig Allen,,Internal,Excel Spread Sheets,Daily,,2002/01/01 05:00:00+00,,Citywide,Street address,
72,Sign Inventory,"​Inventory of signage for Metro maintained roadways in Jefferson County as of 2013 as part of MUTCD(Manual on Uniform Traffic Control Devices) compliance
",LOJIC,PW&A - Streets and Roads,Engineering,Stuart Sparks,Bonnie Roades,Public,dbaseIV file,Continuous,daily when Accela launches,,,Citywide,"Latitude/longitude;#Not applicable",
73,Signage Data,"​Tracks the number of no parking signs that are placed and pulled, total number of citations issued for each section, pictures of signage or block 
",Excel Spreadsheet,PW&A - Solid Waste Mgmt Srvs,Street Sweeping,Marquita Benberry,Teresa Fletcher,Public,Excel Spread Sheets,Daily,Daily,2016/03/01 05:00:00+00,,Other,Street address,
74,Speed Humps,​This is a file with details associated with every speed hump installed on roadways owned and maintained by Louisville Metro Public Works.(Same),Excel Spreadsheet,PW&A - Streets and Roads,Traffic Operations,Greg Dow,,Public,Excel Spread Sheets,Continuous,perm,,,Citywide,"Latitude/longitude;#Street address",
75,Substance Abuse Data Set,​Data set includes all types of substance abuse calls for service (CFS) in Jefferson County with LMEMS response.,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,2018/01/08 05:00:00+00,,Citywide,"Zip code;#Other",
76,Suburban Street Sweeping Routes,"​Suburban Street Sweeping Routes​
",LOJIC,PW&A - Solid Waste Mgmt Srvs,GIS,Metro Public Works,Metro Public Works GIS,Public,Oracle Database,Continuous,Current,,,Citywide,Planning district,
77,Summary for Daily Complaints,"​compilation of complaints reported through Hansen; list is placed in Sharepoint (Moved to Accela)
",Hansen 8,PW&A - Solid Waste Mgmt Srvs,,Semone Carter,,Public,Excel Spread Sheets,Continuous,continuous/daily,,,Subset of city,Not applicable,
