CITY,LIBRARY NAME,POPULATION,ASSOCIATED SYSTEM,SYSTEM HEADQTRS, MAILING ADDRESS,ZIP CODE,LIBRARY CONTACT,PHONE,FAX,EMAIL,URL,COUNTY,HOURS,CONG DIST,LIBRARY ADDRESS
Buffalo,Buffalo Public Library,1302,,,PO Box 265,73834,Kathy Summars,(580) 735-2995,(580) 735-6157,bufpublibrary@buffalo.lib.ok.us,http://www.buffalo.lib.ok.us/,Harper,"Mon, Thu, Fri 2:30-6; Tues 2-5; Wed 9-12 & 2-5",3,"11 E Turner
Buffalo, OK 73834
(36.83539115500048, -99.6274375859997)"
Canton,Canton Public Library,618,,,PO Box 694,73724,Director,(580) 886-2266,,,,Blaine,Tue-Fri 1-4:30,3,"PO Box 694
Canton, OK 73724
(36.05667123000046, -98.59016601499968)"
Carmen,Carmen Public Library,357,,,PO Box 98,73726,Loreta Green,(580) 987-2301,(580) 987-2303,tkcarmen@yahoo.com,,Alfalfa,Mon-Fri 1:30-5:30,3,"110 N 6th
Carmen, OK 73726
(36.58304216200048, -98.46111618099968)"
Carnegie,Carnegie Public Library,1714,,,PO Box 7,73015,Barbara Ann Cotton,(580) 654-1980,(580) 654-1048,carnlibr@carnegienet.net,,Caddo,"Mon, Wed 1-6, Fri 11-4",3,"6 E Main
Carnegie, OK 73015
(35.10601827000045, -98.60209877999966)"
Catoosa,Catoosa Public Library,7226,,,PO Box 489,74015,Janie Ducotey,(918) 266-1684,(918) 266-1685,jducotey@catoosapubliclibrary.com,http://www.catoosapubliclibrary.com,Rogers,Mon 1-5; Tue-Thu 9-7; Fri 9-3; Sat 10-2,2,"105 E Oak
Catoosa, OK 74015
(36.18516521900045, -95.74628703699966)"
Chandler,Chandler Public Library,3090,,,1021 Manvel,74834,Carmen Harkins,(405) 258-3204,(405) 258-3205,charkins@chandlerok.com,http://www.chandlerlibrary.okpls.org/,Lincoln,Mon-Fri 9-6; Sat 9-12,3,"1021 Manvel
Chandler, OK 74834
(35.69965053700048, -96.88080453799967)"
Checotah,Jim Lucas-Checotah Public Library,3352,Eastern Oklahoma District Library System,,626 W Gentry ST,74426,Kathe Smith,(918) 473-6715,(918) 473-6603,ksmith@eodls.org,http://www.eodls.lib.ok.us/checotah.html,McIntosh,Mon 9-8; Tue-Fri 9-6; Sat 9-12,2,"626 W Gentry ST
Checotah, OK 74426
(35.470980547000465, -95.5269087589997)"
Chelsea,Chelsea Public Library,1982,,,618 Pine,74016,Laura Adkins,(918) 789-3364,(918) 789-4219,laura@chelseapubliclibrary.com,http://www.chelsealibrary.okpls.org,Rogers,Tue- Fri 9-1 & 1:30-6:30; Sat 9-1,2,"618 Pine
Chelsea, OK 74016
(36.535434987000485, -95.4325210559997)"
Cherokee,Cherokee City-County Library,4624,,,123 S Grand,73728,Star Baker,(580) 596-2366,(580) 596-2968,bakerstar@live.com,http://www.cherokee.okpls.org,Alfalfa,Mon-Thu 10-6; Fri 10-5; Sat 9-12,3,"123 S Grand
Cherokee, OK 73728
(36.75751534200049, -98.35712620799967)"
Cheyenne,Minnie R. Slief Library,813,Western Plains Library System,,PO Box 370,73628,Charlotte Nance,(580) 497-3777,(580) 497-3777,minnier.slief@wplibs.com,http://www.wplibs.com/,Roger Mills,Mon-Thu 10:30-5:30; Fri 10:30-5; Sat 9-1,3,"201 S Cearlock
Cheyenne, OK 73628
(35.61123430100048, -99.6719898289997)"
Chickasha,Chickasha Public Library,16210,,,527 Iowa AVE,73018,Catharine Cook,(405) 222-6075,(405) 222-6072,cathcook@chickasha.lib.ok.us,http://www.chickashapl.okpls.org/,Grady,"Mon, Thu 9:30-8; Tue, Wed, Fri 9:30-6; Sat 10-2",4,"527 Iowa AVE
Chickasha, OK 73018
(35.04755371800047, -97.9393303119997)"
Choctaw,Choctaw Library,11364,Metropolitan Library System,,PO Box 549,73020,Rosemary Czarski,(405) 390-8418,(405) 606-3269,rczarski@metrolibrary.org,http://www.metrolibrary.org,Oklahoma,Mon-Thu 9-9; Fri 9-6; Sat 9-5,4,"2525 N Muzzy
Choctaw, OK 73020
(35.454053728000474, -97.26504796299969)"
Chouteau,Chouteau Public Library,2112,,,PO Box 1270,74337,Shirley Summers,(918) 476-4445,,,,Mayes,Mon-Wed 12-5; Thu 3-7; Sat 10-12,,"111 N McCracken
Chouteau, OK 74337
(36.18746501200047, -95.3456344549997)"
Claremore,Will Rogers Library,18745,,,1515 N Florence AVE,74017,Sherry Beach,(918) 341-1564,(918) 342-0362,seldridge@claremorecity.com,http://www.willrogerslibrary.org,Rogers,"Mon, Tue 9:30-8; Wed, Thu 9:30-6; Fri, Sat  9:30-5",2,"1515 N Florence AVE
Claremore, OK 74017
(36.32490034400047, -95.6037445399997)"
Clayton,Cartwright Memorial Library,719,,,PO Box 207,74536,Mary Smith,(918) 569-4776,(918) 569-4776,cml_clayton@yahoo.com,,Pushmataha,"Mon, Wed 9-5; Tue 8-5; Fri 9-2",2,"113 Lawson
Clayton, OK 74536
(34.591946049000455, -95.35062394699969)"
Cleveland,Jay C. Byers Memorial Library,3282,,,215 E Wichita AVE,74020,Michelle Miller,(918) 358-2676,(918) 358-5606,michelle@jcbyerslibrary.com,http://www.jcbyerslibrary.okpls.org/,Pawnee,Mon-Fri 9:30-6; Sat 9:30-2,3,"215 E Wichita AVE
Cleveland, OK 74020
(36.31115982400047, -96.46243440499967)"
Clinton,Clinton Public Library,9127,Western Plains Library System,,721 Frisco,73601,Kathy Atchley,(580) 323-2165,(580) 323-7884,clinton.public@wplibs.com,http://www.wplibs.com/,Custer,"Mon, Wed 9-6; Tue, Thu 9-8; Fri 9-5; Sat 9-1",3,"721 Frisco
Clinton, OK 73601
(35.51442979000046, -98.96870895399968)"
Clinton,Western Plains Library System,47555,,Yes,501 S 28th,73601,Tim Miller,(580) 323-0974,(580) 323-1190,tim.miller@wplibs.com,http://www.wplibs.com,Custer,Mon-Fri 8-5,3,"501 S 28th
Clinton, OK 73601
(35.50762153800048, -98.99367563099969)"
Clinton,WPLS Bookmobile,47555,Western Plains Library System,Yes,501 S 28th,73601,Twala Bardwell,(580) 323-0974,(580) 323-1190,bookmobile@wplibs.com,http://www.wplibs.com,Custer,Tue-Thu 8-5,3,"501 S 28th
Clinton, OK 73601
(35.50762153800048, -98.99367563099969)"
Coalgate,Coal County Public Library,1969,Southeastern Public Library System of Oklahoma,,PO Box 49,74538,Margie Jump,(580) 927-3103,(580) 927-3846,jump@oklibrary.net,http://www.oklibrary.net/coalgate,Coal,Mon-Fri 10-6; Sat 10-3,2,"115 W Ohio
Coalgate, OK 74538
(34.53954235700047, -96.21885349499968)"
Collinsville,Collinsville Library,5672,Tulsa City-County Library System,,1223 Main,74021,Rhonda Weldon,(918) 549-7528,(918) 549-7531,rweldon@tulsalibrary.org,http://www.tulsalibrary.org,Tulsa,Mon-Thu 12-8; Fri 12-5; Sat 10-5,1,"1223 Main
Collinsville, OK 74021
(36.44366212200049, -95.87976896899966)"
Cordell,Cordell Public Library,2902,Western Plains Library System,,208 S College,73632,Rhonda Schmidt,(580) 832-3530,(580) 832-3530,cordell.public@wplibs.com,http://www.wplibs.com/,Washita,"Mon, Wed-Fri 11-6; Tue 11-7; Sat 9-1",3,"208 S College
Cordell, OK 73632
(35.289860226000485, -98.99025454599968)"
Coweta,Coweta Public Library,9505,,,PO Box 850,74429,Paula Emmons,(918) 486-6532,(918) 486-3497,emmons@cityofcoweta-ok.gov,http://www.coweta.lib.ok.us/,Wagoner,"Mon, Tue, Thu 10-8; Wed 10-6; Fri 10-5; Sat 10-2",1,"120 E Sycamore
Coweta, OK 74429
(35.95092263400045, -95.65021662399965)"
Crescent,Crescent Community Library,1433,,,PO Box 759,73028,Kathy Counts,(405) 969-3779,(405) 969-3775,cclib@pldi.net,,Logan,Mon-Fri 9-6; Sat 10-1,3,"205 N Grand
Crescent, OK 73028
(35.95142995800046, -97.59552991399966)"
Cushing,Cushing Public Library,7890,,,215 N Steele AVE,74023,La Dawn Conner,(918) 225-4188,(918) 225-6201,cushingpubliclibrary.org@gmail.com,http://www.cushingpubliclibrary.org,Payne,"Mon-Thu 9-8; Fri, Sat 9-6",3,"215 N Steele AVE
Cushing, OK 74023
(35.97837882300047, -96.7689441609997)"
Davis,Davis Public Library,2701,Chickasaw Regional Library System,,209 E Benton,73030,Shannon Beaver,(580) 369-2468,(580) 369-3290,davis@crlsok.org,http://www.crlsok.org,Murray,Mon-Thu 11:30-5:30; Fri 11:30-2:30;  Sat 10-1,4,"209 E Benton
Davis, OK 73030
(34.505198005000466, -97.12105864399967)"
Del City,Del City Library,21746,Metropolitan Library System,,4509 SE 15th,73115,Devin McGhee,(405) 672-1377,(405) 606-3292,dmcghee@metrolibrary.org,http://www.metrolibrary.org,Oklahoma,Mon-Thu 9-9; Fri 9-6; Sat 9-5,5,"4509 SE 15th
Del City, OK 73115
(35.449768479000454, -97.43698933099967)"
Dewey,Herbert F.Tyler Memorial Library,3465,,,821 N Shawnee,74029,Sandy Hadley,(918) 534-2106,(918) 534-3698,tylerli2001@yahoo.com,,Washington,Mon-Fri 8:30-5:30; Sat 9-12,1,"821 N Shawnee
Dewey, OK 74029
(36.799435196000445, -95.9368992899997)"
Drumright,Drumright Public Library,2928,,,104 E Broadway,74030,Brenda Grisham,(918) 352-2228,(918) 352-9261,blgrisham@drumright.lib.ok.us,,Creek,"Mon 11-8; Tue, Wed, Fri, Sat 11-4; Thu 2-8",3,"104 E Broadway
Drumright, OK 74030
(36.085448262000455, -96.58535001999968)"
Duncan,Duncan Public Library,23507,,,2211 N Highway 81,73533,Jan Cole,(580) 255-0636,(580) 255-6136,jcole@duncan.lib.ok.us,http://www.youseemore.com/duncan,Stephens,"Mon,Tue, Thu 9:30-8; Wed, Fri 9:30-6; Sat 9-3",4,"2211 N Highway 81
Duncan, OK 73533
(34.53322031400046, -97.9670040419997)"
Durant,Donald W. Reynolds Community Center & Library,16097,,,1515 W Main ST,74701,Dottie Davis,(580) 924-3486,(800) 521-6529,dodavis@durant.org,http://www.donaldwreynolds.okpls.org/,Bryan,"Mon, Wed 9-6; Tue, Thu 9-8; Fri 9-5; Sat 9-1",2,"1515 W Main ST
Durant, OK 74701
(33.99475239800046, -96.39231242499966)"
Edmond,Edmond Library,82963,Metropolitan Library System,,10 S BLVD,73034,Melody Kellogg,(405) 341-9282,(405) 606-3411,mkellogg@metrolibrary.org,http://www.metrolibrary.org,Oklahoma,Mon-Thu 9-9; Fri 9-6; Sat 9-5; Sun 1-6,5,"10 S BLVD
Edmond, OK 73034
(35.65491046900047, -97.47809366499968)"
El Reno,El Reno Carnegie Library,17268,,,215 E Wade,73036,Amy Brandley,(405) 262-2409,(405) 422-2136,abrandley@elrenolibrary.org,http://www.elrenolibrary.okpls.org,Canadian,Mon-Thu 9-7; Fri 9-5; Sat 9-1,3,"215 E Wade
El Reno, OK 73036
(35.53141313700047, -97.95240579799969)"
Elgin,Elgin Community Library,2188,,,PO Box 310,73538,Leslie Durham,(580) 492-6650,(580) 492-5787,coe_library@tds.net,,Comanche,"Tue-Thu 10-6; Fri,Sat 9-12",4,"Hwy 17
Elgin, OK 73538
(34.78246053500044, -98.29366882499966)"
Elk City,Elk City Carnegie Library,11789,,,221 W Broadway,73644,Pat Sprowls,(580) 225-0136,(580) 225-1051,library@elkcity.com,http://www.elkcity.com/library,Beckham,"Mon, Wed, Fri 10-6; Tue, Thu 10-9; Sat 10-2",3,"221 W Broadway
Elk City, OK 73644
(35.41070790200047, -99.40693101399967)"
Enid,Public Library of Enid and Garfield County,49451,,,120 W Maine AVE,73701,Jade Powell,(580) 234-6313,(580) 249-9280,jpowell@enid.org,http://www.enid.org/library/,Garfield,"Mon-Thu 9-8; Fri, Sat 10-6",3,"120 W Maine AVE
Enid, OK 73701
(36.39550773500048, -97.8791599379997)"
Erick,Erick Community Library,1023,,,PO Box 385,73645,Jackie Morrow,(580) 526-3425,,,,Beckham,"Mon, Wed, Fri 2-6",3,"200 S Sheb Wooley
Erick, OK 73645
(35.213630442000465, -99.86659681099968)"
Eufaula,Eufaula Memorial Library,2828,Eastern Oklahoma District Library System,,301 S First ST,74432,Margaret Collins,(918) 689-2291,(918) 689-4124,mcollins@eodls.org,http://www.eodls.lib.ok.us/eufaula.html,McIntosh,"Mon, Wed, Fri 8:30-5:30; Tue, Thu 8:30-8; Sat 8:30-12:30",2,"301 S First ST
Eufaula, OK 74432
(35.284340286000486, -95.58393695199965)"
Fairfax,Fairfax Public Library,1379,,,158 E Elm,74637,Marcy Sterling,(918) 642-5535,(918) 642-3350,director@fairfax.lib.ok.us,http://www.fairfax.lib.ok.us,Osage,"Tue, Thu 12:30-6; Sat 11-3",3,"158 E Elm
Fairfax, OK 74637
(36.57344537000046, -96.7034943329997)"
Fairview,Fairview City Library,2623,,,PO Box 419,73737,Ernestine Titus,(580) 227-2190,(580) 227-2187,librarian@fairviewok.org,http://www.fairviewoklibrary.org,Major," Mon, Wed-Fri 9-5:30; Tue 9-7; Sat 9-12",3,"115 S 6th
Fairview, OK 73737
(36.26883559400045, -98.47854217999969)"
Fort Gibson,Q.B. Boydstun Library,4155,Eastern Oklahoma District Library System,,PO Box 700,74434,Rhonda Lee,(918) 478-3587,(918) 478-4599,rlee@eodls.org,http://www.eodls.lib.ok.us/ft_gibson.html,Muskogee,Mon-Thu 9-6; Fri 9-2; Sat 9-12,2,"201 E South AVE
Fort Gibson, OK 74434
(35.79295241700049, -95.24762486399965)"
Frederick,Frederick Public Library,3974,,,200 E Grand,73542,Dena Northcutt,(580) 335-3601,(580) 335-3601,library@frederickok.org,,Tillman,Mon-Thu 10:30-6; Fri 10:30-4:30; Sat 9-12,4,"200 E Grand
Frederick, OK 73542
(34.38960354800048, -99.01536995099968)"
Gage,Gage Public Library,429,,,PO Box 328,73843,Starla Clark,(580) 923-7727,,,,Ellis,Mon-Fri 9-4,3,"515 N Maine
Gage, OK 73843
(36.320107590000475, -99.7565519909997)"
Gate,Gateway to the Panhandle Museum Library,5575,,,PO Box 27,73844,Florence Whisenhunt,,,,,Beaver,Mon-Sat 1-6,3,"Main Street
Gate, OK 73844
(36.85335281900046, -100.05903566899968)"
Geary,Geary Public Library,1280,,,106 W Main ST,73040,Teresa Perkins,(405) 884-2372,(405) 884-2372,grylib@pldi.net,http://www.geary.okpls.org/,Blaine,"Tue 10-12 & 1-6; Wed 9-12 & 1-5:30, Fri 9-12 & 1-5:30",1,"106 W Main ST
Geary, OK 73040
(35.631043613000486, -98.31791024599966)"
Glenpool,Glenpool Library,10938,Tulsa City-County Library System,,PO Box 580,74033,Ron Cook,(918) 549-7535,(918) 549-7538,rcook@tulsalibrary.org,http://www.tulsalibrary.org/,Tulsa,Mon-Thu 12-8; Fri 12-5; Sat 10-5,4,"730 E 141st ST
Glenpool, OK 74033
(35.959166172000494, -95.99850538199968)"
Grandfield,Grandfield Public Library,1047,,,PO Box 725,73546,Cathy Haney,(580) 479-5598,(580) 479-5538,grandpl@hotmail.com,http://www.grandfield.booksystems.net,Tillman,"Tue,Wed 2-6; Thu-Sat 9-1",2,"101 W 2nd
Grandfield, OK 73546
(34.23079284500045, -98.68351771499965)"
Grove,Grove Public Library,6647,Eastern Oklahoma District Library System,,1140 NEO Loop,74344,Brenda Newnam,(918) 786-2945,(918) 786-5233,bnewnam@eodls.org,http://www.eodls.lib.ok.us/grove.html,Delaware,"Mon, Wed, Fri 8:30-5; Tue, Thu 8:30-9; Sat 8-12",3,"1140 NEO Loop
Grove, OK 74344
(36.58498128600047, -94.75258400699965)"
Guthrie,Guthrie Public Library,10345,,,201 N Division,73044,Cyndi Selinger,(405) 282-0050,(405) 282-2804,cselinger@cityofguthrie.com,http://www.guthrie.okpls.org/,Logan,"Mon, Wed, Fri 9-5:30; Tues, Thu 11-8; Sat 9-1",3,"201 N Division
Guthrie, OK 73044
(35.87916450400047, -97.4253585939997)"
Guymon,Guymon Public Library & Art Center,11823,,,1718 N Oklahoma,73942,Rachel Sides,(580) 338-7330,(580) 338-2659,rsides@guymon.lib.ok.us,http://www.guymon.biblioneix.com,Texas,Mon-Thu 9:30-7; Fri 9:30-5; Sat 9:30-2,5,"1718 N Oklahoma
Guymon, OK 73942
(36.69721770700045, -101.48934981199966)"
Harrah,Harrah Library,5193,Metropolitan Library System,,PO Box 893,73045,Jo Nita White,(405) 454-2001,(405) 454-0322,harrah@metrolibrary.org,http://www.metrolibrary.org,Oklahoma,"Mon-Thu 9:30-12:30, 1-6; Fri, Sat 9-12:30, 1-5",2,"1930 N Church
Harrah, OK 73045
(35.49670430100048, -97.15761770099965)"
Hartshorne,Hartshorne Public Library,2115,Southeastern Public Library System of Oklahoma,,720 Pennsylvania AVE,74547,Cathryn Tucker,(918) 297-2113,(918) 297-7004,tucker@oklibrary.net,http://www.oklibrary.net/hartshorne,Pittsburg,"Tue, Thu 10-7; Wed, Fri 10-6; Sat 10-3",2,"720 Pennsylvania AVE
Hartshorne, OK 74547
(34.84631424300045, -95.56070901899966)"
Haskell,Rieger Memorial Library,2008,Eastern Oklahoma District Library System,,PO Box 429,74436,Peggy Matthews,(918) 482-3614,(918) 482-3266,pmatthews@eodls.org,http://www.eodls.lib.ok.us/haskell.html,Muskogee,Tue-Thu 9-6; Fri 9-2; Sat 9-12,4,"116 N Broadway
Haskell, OK 74436
(35.81304206000044, -95.6749369049997)"
Healdton,Healdton Community Library,2819,Chickasaw Regional Library System,,554 4th ST,73438,Vali Hayes,(580) 229-0590,(580)229-0654,healdton@crlsok.org,http://www.crlsok.org,Carter,Mon-Thu 11:30-5:30; Fri 11:30-2:30;  Sat 10-1,2,"554 4th ST
Healdton, OK 73438
(34.227582835000476, -97.48775704699966)"
Heavener,Heavener Public Library,3432,Southeastern Public Library System of Oklahoma,,PO Box 246,74937,Milena Robinson,(918) 653-2870,(918) 653-4805,robinson@oklibrary.net,http://www.oklibrary.net/heavener,LeFlore,"Tue, Wed 9-6; Thu, Fri 10-6; Sat 9-2",3,"203 E C AVE
Heavener, OK 74937
(34.86030003600047, -94.59836601199964)"
Hennessey,Hennessey Public Library,2156,,,525 S Main,73742,Mary Haney,(405) 853-2073,(405) 853-6500,answers@hennessey.lib.ok.us,http://www.hennessey.lib.ok.us,Kingfisher,Mon-Thu 9-6; Sat 10-1,2,"525 S Main
Hennessey, OK 73742
(36.105024141000456, -97.89895651499967)"
