stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
Corbins Corner Shopping Center - Tesla Supercharger,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342)
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,NONE,1,NONE,NONE,POINT (-72.261825 41.811817)
Hammonasset Beach State Park - South,1288 Boston Post Rd,Maddison,24 hours daily,NOEN,4,NONE,NONE,POINT (-73.070231 41.7640244)
Schaller Mitsubishi,150 Ledge Rd,New Britain,Dealership business hours,NONE,n1,NONE,NONE,POINT (-73.4764687 41.072882)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.679679 41.650999)
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.106051 41.299792)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,Harwinton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.070231 41.7640244)
Corbins Corner Shopping Center - Tesla Supercharger,1084 Shnnecossett Rd,Grtoon,24 hours daily,NONE,2,NONE,NONE,POINT (-72.065994 41.317722)
Middletown School Disrtict - Lawrence Elementary School,Kaplan Djr,Middletown,24 hours daily,NOEN,2,NONE,NONE,POINT (-73.025659 41.550922)
Fairfield Mitsubishi,150 Ledge Rd,Fairfield,Dealership business hours,NONE,1,NONE,ONE,POINT (-73.230597 41.176442)
Gates Nissan,150 Ledge Rd,North Windham,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.188445 41.728247)
Water''s Edge Resort and Spa - Tesla Destinatiobn,1525 Boston Post Rd,Wqestbrook,24 hours daily,NONE,3,NONE,NONE,POINT (-72.43786 41.28006)
Fairfield Rail Station,100 nUiversal Dr,North Haven,24 hours daily,NONnE,ONE,6,NONE,POINT (-72.261825 41.811817)
UNION STATION,150 Ledge Rd,New Haven,24 hours daily,NONE,10,NONE,NONE,POINT (-72.679679 41.650999)
Torrington Town Hall,150 Ledge Rd,Torrington,24 hours daily,NONE,v1,NONE,NONE,POINT (-73.025659 41.550922)
Schaller Mitsubishi,1451 Farmington Ave,Bristol,Dealership business hours,NONE,2,1,NONE,POINT (-72.894672 41.699374)
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only,NONE,1,NOEN,NONE,POINT (-73.5318605 41.0409048)
Goodwives Shopping Center,150 Ledge Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.025659 41.550922)
Dunkin’ - Tesla Supercharger,30 Tolland Turnpike,Manchester,Dealership business hours,NONE,2,NONE,NONE,POINT (-73.4764687 41.072882)
City of Meriden - City Hall,150 Ledge Rd,Meriden,24 hours daily,NONE,4,NONE,NONE,POINT (-72.817586 41.467376)
Goodwives Shopping Center,150 Ledge Rd,New Haven,24 hours daily; permit lot,NONE,2,NONE,NONE,POINT (-72.188445 41.728247)
Dunkin’ - Tesla Supercharger,105 Miller St,Meeriden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.817586 41.467376)
Blogoslawski Parking Garage,10 Franklin Squrae,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-73.106051 41.299792)
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-73.065583 41.44548100000001)
Brass Mill Center - Entrance 5,150 Ledge Rd,Waterbury,6am-12pm daily,NONE,2,NONE,NNE,POINT (-73.264511 41.143125)
Goodwives Shopping Center,150 Ledge Rd,Simsbury,24 hours daily,NONE,2,NONE,NxONE,POINT (-73.106051 41.299792)
Goodwives Shopping Center,150 Ledge Rd,Hartford,7am-7pm M-F,NONE,5,NONE,NONE,POINT (-73.065583 41.44548100000001)
Middletown School District - Moody School,150 Ledge Rd,Middletown,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.065583 41.44548100000001)
Barberino Nissan,150 Ledge Rd,Wallingford,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.817586 41.467376)
CityPlace Grage,185 Asylum St,Hatrford,Garage business hours,NONE,2,NONE,NOkNE,POINT (-72.43786 41.28006)
CURRAN VOLKSWAG,150 Ledge Rd,Stratford,24 hourds daily,NONE,2,NONE,NONE,POINT (-73.106051 41.299792)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Stonington,24 hours daily; for customer use only,NONE,e3,NONE,NONE,POINT (-72.894672 41.699374)
The Plaza at Buckland Hills - Tesla Supercharger,110 Myrtle Avenue,Wsetport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.106051 41.299792)
Goodwives Shopping Center,1 Star Point,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5318605 41.0409048)
Hammonasset Beach State Park - South,150 Ledge Rd,Stratford,24 hours daily,NONE,NONE,1,NONE,POINT (-72.773473 41.527367)
Goodwives Shopping Center,150 Ledge Rd,Waterbury,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.065994 41.317722)
The Plaza at Buckland Hills - Tesla Supercharger,150 Ledge Rd,Niantic,24 hours daily,NONE,1,NONE,ONE,POINT (-72.065994 41.317722)
Central Connecticut State University - Sheriadn Dorm Lot,150 Ledge Rd,New Britain,24 hours daily,NONE,1,NONE,NONE,POINT (-72.817586 41.467376)
Goodwives Shopping Center,24 Main St,New Milford,24 hours daily,NONE,***,NONE,NONE,POINT (-73.106051 41.299792)
Hotel HiHo - Tesla Destination,150 Ledge Rd,Fairfield,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-72.065994 41.317722)
Summer Street Garage,150 Ledge Rd,Stamford,Restricted to garage hours; pay lot,NONE,j3,NONE,NONE,POINT (-73.070231 41.7640244)
The Plaza at Buckland Hills - Tesla Supercharger,3 Primrose St,Newtown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.773473 41.527367)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Stamford,24 hours daily,NONE,4,NONE,NONE,POINT (-73.230597 41.176442)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.065583 41.44548100000001)
The Plaza at Buckland Hills - Tesla Supercharger,150 Ledge Rd,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NoONE,POINT (-72.670609 41.929342)
GUNERY,150 Ledge Rd,Washington,24h ours daily,NONE,2,NONE,NONE,POINT (-72.43786 41.28006)
The Plaza at Buckland Hills - Tesla Supercharger,150 Ledge Rd,Storrs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.261825 41.811817)
JAGLRNH,521 Washington Ave,North Hxaven,24 hours daily,NONE,2,NONE,NONE,POINT (-73.230597 41.176442)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Stafford Springs,24 hours daily,NONE,4,NONE,NONE,POINT (-73.025659 41.550922)
The Plaza at Buckland Hills - Tesla Supercharger,425 Oakwood Ave,West Hartford,24 hours daily,NONE,2,NONE,NOE,POINT (-73.106051 41.299792)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,Newington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.8231924 41.4618954)
Corbins Corner Shopping Center - Tesla Supercharger,150 Ledge Rd,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
The Plaza at Buckland Hills - Tesla Supercharger,105 Columbus Blvd,Hartfod,6am-12am daily,NONE,2,NONE,NONE,POINT (-73.5318605 41.0409048)
The Plaza at Buckland Hills - Tesla Supercharger,150 Ledge Rd,Norwalk,6am-12am,NONE,10,NONE,NONE,POINT (-73.418883 41.104791)
City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot,NONE,2,NONE,NONE,POINT (-72.773473 41.527367)
Riverview Cinemas 8 and Playhouse - Tesla Destination,150 Ledge Rd,Southbury,24 hours daily; for customer use only,NONE,4,rNONE,NONE,POINT (-73.025659 41.550922)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Ridgefield,24 hours daily,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
Meriden Station Garage,24 Colony St,Meriden,24 hours daily,NONE,3,NONE,NONE,POINT (-72.679679 41.650999)
Dunkin’ - Tesla Supercharger,150 Ledge Rd,Westport,24 hours daily,NONE,q3,NONE,NONxE,POINT (-73.106051 41.299792)
Dunkin’ - Tesla Supercharger,350 Trolley Line Blvd,Mashantuckebt,24 hours daily,NONE,2,NONE,NONE,POINT (-73.230597 41.176442)
TOWN HALL LOT,150 Ledge Rd,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
Goodwives Shopping Center,150 Ledge Rd,Ledyard,24 hours daily,NONE,2,NONE,NONE,POINT (-73.418883 41.104791)
Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.43786 41.28006)
Barberino Nissan,150 Ledge Rd,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-72.026147 41.365973)
Dunkin’ - Tesla Supercharger,350 Grasmere Ave,Fairfild,8am-10pm daily; for customer use only; see inside for access,NONE,1,NONE,NONE,POINT (-72.43786 41.28006)
Tamarack Country Club - Tesla Destination,150 Ledge Rd,Greenwich,24 hours daily; for member use only; see valet for access,NONE,***,ONE,NONE,POINT (-72.0741188 41.525611)
Madison Beach Hotel - Tesla Destination,150 Ledge Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NONE,POINT (-72.773473 41.527367)
Newington Electric,72 Pane Rd,Newington,24 hours daily,NONE,3,NONE,NONE,POINT (-72.773473 41.527367)
Premie Kia,205 N Main St,Branford,24 hours daily; priority for customer use,NzONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
GLASTONBURYEV,150 Ledge Rd,Glastonbury,24 hours daily,NONE,NONE,2,NONE,POINT (-72.026147 41.365973)
The Plaza at Buckland Hills - Tesla Supercharger,98 Maher Rd,Stamford,24 hours daily,NONE,14,NONE,NNE,POINT (-72.0741188 41.525611)
EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
Dunkin’ - Tesla Supercharger,161 Water St,New London,Restricted to garage hours; pay lot,8,4,NONE,1 Conductive 120V,POINT (-72.188445 41.728247)
City of New Haven - Union Station Garage,1201 Boston Post Road,Mlford,24 hours daily; for Tesla use only,NONE,NONE,14,NONE,POINT (-73.138786 41.988528)
The Plaza at Buckland Hills - Tesla Supercharger,24 Adams St,Manchester,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.43786 41.28006)
Fairfield Rail Station,369 N Frontage Rd,New London,24 hours daily; for Tesla use only,NONE,NONE,8,ONNE,POINT (-73.065583 41.44548100000001)
Dunkin’ - Tesla Supercharger,1 Central Square,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-73.106051 41.299792)
The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,2,NNOE,NONE,POINT (-73.230597 41.176442)
Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily,NONE,2,NONE,NOEN,PINT (-72.668833 41.764376)
The Plaza at Buckland Hills - Tesla Supercharger,355 High St,Windham,24 hours daily,ONE,2,NONE,NONE,POINT (-72.214432 41.723169)
The Plaza at Buckland Hills - Tesla Supercharger,401 Bridgeport Ave,Shelton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.11066 41.29434)
Dunkin’ - Tesla Supercharger,5 Sugar Hollow dR,Dnbury,24 hours daily,NONE,,NONE,NONE,POINT (-73.475576 41.3777667)
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,adison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-72.5804966772461 41.2904885216395)
Canton Town Hall,4 Market St,Canton,24hours daily,NONE,2,ONNE,NONE,POINT (-72.923177 41.811022)
UNION STATION,50 Union Ave,NewHaven,24 hours daily,NONE,2,ONE,tNONE,POINT (-72.9263108 41.2974027)
TOD,120 Main St,Drham,24 hours daily,NONE,***,NONE,NONE,POINT (-72.6809263 41.472228)
Delamar Southport - Tesla Destination,275 Old Post Rd,Firfield,24 hours daily; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.245943 41.146162)
Adrew Ward School,755 Melville Ave,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.234423 41.185685)
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm M-F,NONE,2,NONE,NONE,POINT (-72.678633 41.763294)
Arapahoe Parking Lot,105 LaSalle Rd,Wesnt Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.744596 41.759108000000005)
Southington Public Library,255 Main St,Southintgon,24 hours daily,NONE,***,NONE,NONE,POINT (-72.877465 41.596225)
NBCSG,84 Maher Rd,Stamford,24 hours daily,NNOE,2,NONE,NONE,POINT (-73.5160406 41.053776)
Paul Mivller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,NONE,1,1,NONE,POINT (-73.233711 41.167407)
Town of New Fairfield - Town Hall,4Brush Hill Rd,Ne Fairfield,24 hours daily,NONE,1,NOoNE,NONE,POINT (-73.487032 41.465514)
Chip's Family Restaurant - Tesla Destination,321 Boston Post Rd,Orange,24 hours daily; for custiomer use only,NOuNE,,NONE,NNE,POINT (-73.004741 41.2645)
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,NONE,2,1,NONE,POINT (-72.968506 41.307620)
STOP SHOP,148 Heights Rd,Darien,24 hours daily,NONE,mNONE,x1,NONE,POINT (-73.4948097 41.g070243)
East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit,NONE,6,NOEN,NONE,POINT (-72.756902 41.305071)
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,NONE,,NOpNE,NONE,POINT (-73.472615 41.331117)
Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.416634 41.28648200000001)
Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily,NONE,NONE,1,ONNE,POINT (-73.314364 41.138478)
Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.166282 41.190701)
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,POINT (-72.289249 41.956727)
Constitution Plaza -l South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-72.670032 41.767185)
Coventry Town Hall,1712 Main St,Coventry,24 hours daily,NOEN,2,NONE,NONE,POINT (-72.312334 41.780058)
Curran Volkswagen,2785 Main St,Stratford,Dealership business hours,NONE,i1,NONE,NONE,POINT (-73.131808 41.198467)
644 West Putnam,644 West Putnam Avenue,Greenawich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,3,NONE,NONE,POINT (-73.6476069 41.016928)
Grove treet Parking Garage,65 Grove Street,New Haven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-72.9217309 41.3103893)
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for access,NONE,5,NOEN,NONE,OINT (-72.08668800000001 41.488423)
CVS West Haven,355 Campbell Amve,West Haven,24 hours adily,NONE,NONE,1,NONE,POINT (-72.948327 41.268415)
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5pm daily,NNOE,2,NOcNE,NONE,POINT (-72.766414 41.690789)
City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 hours daily; pay lot,NONE,2,NONE,NONE,POINT (-72.928864 41.305993)
Figaro Restaurant,90 Elm St,Enfield,Restaurant business hours; for guest use only,NONE,1,NONE,NpONE,POINT (-72.583384 41.997588)
Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,24 hours daily,NONE,,NONE,NOEN,POINT (-72.647076 41.541535)
Mansfield Parking Garage,9 Dog Ln,Storrs,Garage business hours; pay lot,NONE,4,NONE,NONE,POINT (-72.243355 41.804877)
Brass Mill Center - Entrance 6,495 Union St,Watnerbury,6am-12pm daily,NONE,***,NONE,NONE,POINT (-73.026799 41.55022)
Ellington Town Hall,55 Main St,Ellington,24 hours daily,NONE,2,NONE,NONE,POINT (-72q.467484 41.903582)
Fairfield Tennis Center,210 Old Dam Rd,Fairfield,24 hours daily,ONNE,2,NONE,NONE,POINT (-73.2665157 41.1247386999999)
Trinity College,18-60 Crescent St,Hartford,24 hours daily,NONE,4,NONE,NNE,POINT (-72.689438 41.745582)
Saugatuck Fire Station,Railroad Place,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,7,oNONE,NONE,POINT (-73.370496 41.119206)
COMCAST,222 ew Park Dr,Berlin,24 hours daily,NhONE,4,NONE,NONE,POINT (-72.749512 41.597163)
Kent Town Hall,41 Kent Green Blvd,Kfent,24 hours daily,NONE,2,NONE,NONE,POINT (-73.47251 41.727g419)
Dunkin' Donuts,1205 Tolland Tpke,Manchesetr,24 hours daily,NONE,NONE,1,NONE,POINT (-72.555059 41.797073)
County Line Nissan - North,522 Winsted Rd,Torrington,Dealership business hours,NONE,1,NONE,NOgNE,POINT (-73.1107105 41.8269547)
TOWN OF MADISNO,761 Boston Post Rd,Madison,24 hours daily,NONE,2,NONE,NONE,POINT (-72.595184 41.28028400000001)
Rocky Neck State Park,244 W Main St,Niantic,Dawn to dbusk,NONE,2,NONE,NONE,POINT (-72.24323 41.300883)
ELEMENT TSATION,111 Morgan St,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5370682 41.0631099)
Saybrook Point Marina,2 Bridge St,Old Saybrook,24 hurs daily,NONE,1,NONE,NONE,POINT (-72.351019 41.283487)
Town of Groton - Town Hall,45 Fort Hil lRd,roton,24 hours daily,NONE,g2,ONE,NONE,POINT (-72.033489 41.345816)
Harte Nissan,165 W Service Rd,Hartford,Dealership business hours,NOwNE,1,1,NONE,POINT (-72.656681 41.791382000000006)
Highland Park Market,317 Highland St,Manchester,24 hours daily,NONE,2,NONE,NONE,PIONT (-72.490259 41.766005)
Nissan Norwich,691 W Thames St,Norich,Dealership business hours; contact 860-892-6000 for more information,NONE,,NONE,NONE,POINT (-27.097938 41.498591)
Wesleyan University,56 Hamlin Ct,MIddletown,24 hours daily,2,NOyNE,NONE,NONE,POINT (-72.65242 41.557262)
HAMPTON INN,12o9 Plains Rd,Milford,24 hours daily,NONE,NONE,***,ONE,POINT (-73.076682 41.22269)
Aitoro Appliance,401 Westport Ave,Norwalk,Store business hours; see inside for access,NONE,1,NONE,NNOE,POINT (-73.39019 41.126373)
Putnam Downtown Municial Parking Lot,165 Knnedy Dr,Putnam,4 hours daily,NONE,1,NONE,NONE,POINT (-71.9105761999999 41.914329)
NYALA GAR 3,400 Nyala Farms Rd,Westport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.3269248 41.1223426)
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 hours daily,NONE,2,ONNE,NONE,POINT (-73.4755992 41.3781241)
East Norwalk Library,51 Van Zant St,Norwalk,2 hours daily,NONE,4,NONE,NONE,POINT (-73.40565000000001 41.102079)
Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwickh,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.673445 41.040555)
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 hours daily; pay lot,2,2,NONE,1 Tesla Conductive,POINT (-72.927405 41.305794)
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.025954 41.365919)
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily,NdONE,2,NONE,NONE,POINT (-a73.038159 41.235232)
SPIREP,1 N Water St,Norwalk,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4165867 41.0999699)
Town ofNorfolk - Town Clerk,19 Maple Aeve,Norfolk,24 hours daily,NONE,2,NONE,NONE,POINT (-73.197598 41.990635)
Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily,NONE,NONE,6,NONE,POINT (-72.150349 41.380138)
Clinton Town Hall,54 E Mainn St,Clinton,24 hours adily,NONE,2,NOEN,NONE,POINT (-72.524041 41.276743)
Cargill Chevrolet,23 Livery St,Putnam,24 hours daily,NONE,x3,NONE,NONE,POINT (-71.90810200000001 41.916161)
Bedford Street Garage,17 Forest St,Stamford,Restricted to garage hours; pay lot,NNE,4,NONE,NONE,POINT (-73.537286 41.056092)
Pomfre Town Hall,5 Haven Rd,Pomfret,j24 hours daily,NONE,2,NONE,NONE,POINT (-71.9986079999999 41.859648)
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daily; for customer use only; see valet for access,NONE,,NONE,eNONE,POINT (-73.623525 41.017757)
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.602704 41.784813)
Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily,NONE,2,NONE,NONE,POINT (-72.211716 41.712492)
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access,NONE,2,ONNE,NONE,POINT (-73.225707 41.491538)
Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,42 hours daily,NONE,2,ONE,NONE,POINT (-73.358893 41.140188)
Morgan Street Garage,155 Morgan St,Hartford,24 hours daily,NONE,4,NOEN,NONE,POINT (-72.672545 41.769974)
NBCSG,Unnamed Rad,Stamford,24 hours daily,NONE,8,kNONE,ONNE,POINT (-73.5160366 41.0532451)
Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours,NONE,g1,NONE,NONE,POINT (-73.083686 41.209761)
Congregational Church of Somersville,22 Maple St,Somersville,24 hours daily,NONE,2,NNE,NONE,POINT (-72.489406 41.983904)
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-73.462202 41.07848)
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 hours daily,NONE,2,NOEN,NOwNE,POINT (-72.909054 41.359826)
City of Milford - Parsons Government Center,70 W River St,Milford,24 hours daily,NOEN,1,NONE,NONE,POINT (-73.062364 41.226575)
Hoffman Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NONE,NOEN,POINT (-72.869319 41.820371)
Premier Chervolet,512 Providence Rd,Brooklyn,Dealership business hours,NONE,a1,NONE,NONE,POINT (-71.906607 41.798222)
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only,NONE,2,mNONE,NNOE,POINT (-72.815676 41.45749)
HONDADANBURY,102 Federl Rd,Danbury,24 hours daily,NOEN,2,NONE,NONE,POINT (-73.4232598 41.4158651)
Village Center,87 Main St,East Hampton,24 hours daily,xNONE,1,NONE,NONE,POINT (-72.501947 41.575311)
Conecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,24 hours daily,NONE,k2,NONE,NONE,POINT (-72.6724543999999 41.725002)
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,tamford,24 hors daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.53513900000002 41.051614)
Woodbridge Town Library,10 Newton Rd,Woodbridge,24 hours daily,NONE,2,NOE,NONE,POINT (-73.011407 41.353582)
Waterworks - Tesla Destination,60 Backus Ave,Danury,24 hours daily; for customer use only,NNOE,2,NsONE,NONE,POINT (-73.491965 41.370291)
Town of East Haxven,250 Main St,East Haven,24 hours daily,NONE,1,NONE,NONE,POINT (-72.871663 41.277368)
