characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,10.6,2.06,Data not available.,159126,60899.7,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2008,9.6,2.41,Data not available.,111144,36546.9,Reporting standards not met.
Total,Female,"White, non-Hispanic",2009,10.2,2.56,Data not available.,201131,38033.8,Reporting standards not met.
Total,Female,"White, non-Hispanic",2010,6.7,1.8,Data not available.,416297,25836.4,Reporting standards not met.
Total,Female,"White, non-Hispanic",2011,6.9,1.73,Data not available.,257074,24270.7,Reporting standards not met.
Total,Female,"White, non-Hispanic",2012,4.1,1.32,Data not available.,416297,18192.2,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2000,21.7,5.49,Data not available.,311837,21457.5,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2001,20.4,5.19,Data not available.,350937,20453.5,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2002,15.7,4.48,Data not available.,63399,18864.9,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2003,18.1,5.05,Data not available.,68502,—,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2004,17.6,4.82,Data not available.,367967,18784.7,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2005,25.0,6.38,Data not available.,388254,25320.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,18.9,5.23,Data not available.,380883,21059.3,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2007,9.0,2.26,Data not available.,97900,—,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2008,19.2,6.32,Data not available.,70220,58842.3,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2009,18.3,6.02,Data not available.,258058,22748.4,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2010,14.0,4.52,Data not available.,257074,17271.7,Reporting standards not met.
Total - Female,Female,"Black, non-Hispanic",2011,17.9,5.0,Data not available.,65478,18864.9,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2012,9.0,2.26,Data not available.,201131,—,Reporting standards not met.
Total,Female,Hispanic,2000,15.6,4.6,Data not available.,54183,22853.2,Reporting standards not met.
Total,Female,Hispanic,2001,24.7,5.94,Data not available.,99746,22237.2,Reporting standards not met.
Total,Female,Hispanic,2002,16.6,4.7,Data not available.,56435,19119.6,Reporting standards not met.
Total,Female,Hispanic,2003,16.5,4.48,Data not available.,416297,20750.1,Reporting standards not met.
Total - Male,Female,Hispanic,2004,9.0,2.26,Data not available.,186456,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2005,17.9,4.85,Data not available.,187123,23337,Reporting standards not met.
Total,Female,Hispanic,2006,12.3,3.87,Data not available.,54403,37899,Reporting standards not met.
Total - Male,Female,Hispanic,2007,12.6,3.12,Data not available.,61742,58842.3,Reporting standards not met.
Total,Female,Hispanic,2008,19.3,5.63,Data not available.,275729,28499,Reporting standards not met.
Total - Male,Female,Hispanic,2009,9.0,2.26,Data not available.,—,—,Reporting standards not met.
Total - Female,Female,Hispanic,2010,9.0,2.26,Data not available.,275729,—,Reporting standards not met.
Total,Female,Hispanic,2011,9.0,2.9,Data not available.,311837,15318.6,Reporting standards not met.
Total - Male,Female,Hispanic,2012,9.0,3.0,Data not available.,50478,45815.5,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,350937,—,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,257074,—,Data not available.
Total,Female,"Asian, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,380883,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,201131,—,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting stanadrds not met.
Total,Female,"Asian, non-Hispanic",2005,9.0,2.26,Data not available.,—,51377,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2006,9.0,2.26,Data not available.,311837,—,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2007,9.0,2.26,Data not available.,380883,—,Reporting standards not met.
Total - Hispanic,Female,"Asian, non-Hispanic",2008,9.0,2.26,Data not available.,—,43852.4,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2009,9.0,2.26,Data not available.,56435,—,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,27947.5,Data not available.
Total,Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,416297,—,Data not available.
Total - Female,Female,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,275729,—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,56750.9,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,350937,—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,15005.4,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Data not available.,367967,—,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,206783,—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,c—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting stanidards not met.,111144,—,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Data not available.,186456,—,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standarsds not met.,388254,—,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,***,Repgorting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Data not available.,201131,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,416297,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,416297,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,201131,—,Reporting standards not met.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not et.,—,w—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,r—,Reporting stadnards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not et.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards nvot met.,—,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporing standards not met.,—,z—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,***,Reportingt standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,d—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,d—,Data not aailable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporing standards not met.,***,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standads not met.,y—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,h—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reprting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,z—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,r—,—,Reporting standards not mt.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standardsn ot met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,e—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,Reporting standrds not met.,140206,30837.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,Reporting standards not met.,117377,26522.8,Reportig standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2002,10.1,2.69,Reporting standards not met.,80468,22125.5,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,Reporting standards not met.,179785,37075,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2004,18.3,3.71,Reporting standards not me.t,142399,29916,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2005,14.8,3.56,Reporting standards not met.,114844,28532.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2006,14.5,3.42,Reporting standards not met.,113085,27540.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,Reporting standards not met.,121763,26332.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,eRporting standards not met.,97302,29009.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,28899.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,Reporting standards not met.,67696,20785.2,Reporting standards noqt met.
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,Reportign standards not met.,57580,17570.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,k—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,Reporting standards not met.,57099,17117.2,Reporting standarsd not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,30.5,8.56,Reporting standards not me.t,58625,17233.3,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.0,2.26,Rporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,Rpeorting standards not met.,49612,16193.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,9.0,2.26,Rpeorting standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hipanic",2005,37.4,10.54,Reporting standards not met.,70504,21018.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,l—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"lack, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,***,Reportng standards not met.
"Black, non-Hispanic",Male,"Black, nonHispanic",2008,9.0,2.26,Reporting standards not mt.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,9.0,2.26,Repdorting standards not met.,,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispainc",2010,9.0,2.26,Reporting standards not met.,—,,Reporting standards nto met.
"Black, non-Hispanic",Male,"Black, non-Hispaic",2011,9.0,2.26,Reporting standards not met.,—,p—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hisapnic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting stnadards not met.
Hispanic,Male,Hispanic,2000,26.7,8.18,Reporting standards not met.,46623,15033.4,Reporting standards not met.
Hispanic,Male,Hispanic,2001,38.2,9.95,Reporting standards not met.,69536,19136,Reporting standards not met.
Hispanic,Male,Hispanic,2002,21.1,6.84,Reporting standards nqot met.,42585,14503.4,Reporting standards not met.
Hispanic,Male,Hhispanic,2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2004,9.0,2.26,Rexporting standards not met.,—,y—,Reporting standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,Reporting standards not met.,50570,17134.8,Reporitng standards not met.
Hispanic,Male,Hispainc,2006,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
Hispanic,Male,Hispnic,2007,24.0,5.81,Reporting standards not met.,61742,16022.7,Reporting tandards not met.
Hispanic,Male,Hispanci,2008,27.6,8.98,Reporting standards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Male,Hispanic,2009,9.0,2.26,Reporting standards notm et.,—,,Reporting standards not met.
Hispanic,Male,Hipsanic,2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not me.
Hispanic,Male,Hisanic,2011,9.0,2.26,Reporting standards not et.,—,—,Reporting standards not met.
Hispanic,Male,Hispaic,2012,13.5,5.08,Reporting standard not met.,37239,14335.9,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispaniac",2002,9.0,2.26,Data not available.,—,,cData not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanci",2003,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not et.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.0,2.26,eRporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,n—,—,Reporting sktandards not met.
"Asian, non-Hispanic",Male,"Asian,non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanc",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards nwot met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.0,2.26,Reporting stadnards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asivan, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,s—,—,Reporitng standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hiuspanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hisjpanic",2012,9.0,2.26,Reporting standards not met.,—,***,Reporting standards notmet.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,***,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,***,Dat anot available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,n—,Data not ajvailable.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,l—,—,Reporting stanards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,d—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,h—,—,Reporting standards not mret.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting stayndards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reportings tandards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,,Reporting standards notm et.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standars not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not me.,—,***,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reportnig standards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,u—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,***,Reporting tandards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American India/nAlaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting stanjdards not met.,t—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Americcan Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reoprting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not et.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,,—,Reporting standards not mte.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, nonH-ispanic",2009,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Amercian Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards ot met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alnaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,,Reporting standards not me.t
"American Indian/Alaska Native, non-Hispanic",Male,"American Indina/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not avalable.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,***,Data not availale.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,s—,Data not avilable.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not maet.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standardsg not met.,—,***,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,m—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
