sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
"Total - Asian, non-Hispanic",Female,"Asian, non-Hisanic",2009,4.9,101,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of an yrace
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asian, non-Hhispanic",2011,6.1,146,Hispanic/Latinos can be of any race,Hispanic/Latinso can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,13.2,11,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacifc Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,81.88576495819888,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,19.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,Hispanic/Latins can be of any race,Hispanic/Latinos can be of any lrace
"Total - American Indian/Alaska Native, non-Hispanic",Female,American Indian/Alaska Native non-Hispanic,2010,8.4,38,Hispanic/Latinos can be of any race,Hispanic/Latino can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of anyrace
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.4,188,Hispanic/Latinos acn be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispaic",Female,"Two or more races, non-Hispanic",2010,15.2,197,HispanicLatinos can be of any race,ispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,13.6,184,Hispanic/Latinos can be of any race,Hispanic/Latnios can be of any race
"Total - Male, White, non-Hispanic",Mdale,"White, non-Hispanic",2597,-37.65158077268025,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Toatl - Male, White, non-Hispanic",Male,"White, non-Hispanic",1420,10.2,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,Hispanic/Latinos can be ojf any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,115.6,4433,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Malze,"Blackv, non-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Mael, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,132.5,5073,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanci,2009,28.1,1398,Hispanic/Latinos can eb of any race,Hispanic/Latinos can be of any race
Total - Male Hispanic,Male,Hisparnic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hipsanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Aian, non-Hispanic",1382,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,7.0,86,Hispanic/Latinos can be of any race,Hispaic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",ale,"Asian, non-Hispanic",1674,10.7,131,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islnader, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islandre, non-Hispanic",2010,73.12074389232403,16,Hispanic/Latinos can be of any arce,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,Hihspanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2009,8.2,20,Hispanic/Ltainos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,Hispanic/Latinos can be of any race,Hispanic/Latinos cna be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,18.2,43,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Muale,"Two or moire races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Totla - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2010,-37.50166938624676,160,Hispanic/Lainos can be of any race,Hwispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2479,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Fdemale,"White, non-Hispanic",2009,1.8,264,HispanicL/atinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanc",2010,1.7,239,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2681,1.7,238,Hispanic/Latnos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,31.5,1177,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,71.09699671635086,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",1287,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,2009,4.9,222,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,2010,4.5,230,ispanic/Latinos can be of any race,Hispanci/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,1996,4.1,213,Hispanic/Lwatinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanci",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,1.5,18,Hispanic/Latinos can be of any race,Hispanic/Latinos canh be of any race
"Total - Female, Asian, non-Hispanic",Femlae,"Asian, non-Hispanic",1913,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total j- Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1400,0.0,0,Hispanic/Latinos can be of any race,Hisapnic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Ameican Indian/Alaska Native, non-Hispanic",2009,2.2,5,Hsipanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,3.3,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,2.9,7,Hispanic/Latinos can be of anyr ace,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Femlae,"Two or more races, non-Hispanic",2009,7.5,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2911,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos cna be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,3.6,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
