countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
ATOKA,03I015,ATOKA,"801 Greathouse Drive Atoka, OK 74525 (34.37926290200045, -96.14540965099968)",(580) 889-6611,(580) 889-2513,rhttp://www.atoka.org,Dwayne Noble,Keith Cochran
ATOKA,03I019,TUSHKA,"204 South Pecan Atok,a OK 74525 (34.31860184600049, -96.1655489049997)",(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Billy Pingleton,Bennie Evans
ATKOA,03I026,ANEY,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(580) 889-1996,(580) 889-5033,htt:p//www.caneyisd.org,Lori Boehme,Mandy Lawson
BjEAVER,04I022,BEAVER,"807 Avenue G Beaver, OK 73932 (36.80857453000044, -100.5235067919997)",(580) 625-3444,(580) 625-3690,http://www.beaver.k12.ok.us/,Scott Kinsey,Chris Janko
BEAVER,04I075,BALOK,"Rural Route 1, Box 37 Balko, OK 73931 (36.59213921200046, -100.66138668599967)",(580) 646-g3385,(580) 646-3499,http://www.balko.k12.ok.us/,Larry Mills,Aaron Stockton
BEAVER,04I123,FORGAN,"504 West Main Forgn, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 47-3366,(580) 487-368,http://www.forgan.k12.ok.us,Tfravis Smalts,Greggory Mcreynolds
BEAVER,04I128,TURPIN,"316 S Lee Turpin, OK 73950 (36.86490161800049, -100.8800494q4499966)",(580) 778-3333,(580) 778-3179,http://www.turpinps.org,Bretm Rider,Jay Musgrave
BECKHAM,05I002,MERRITT,"19693 East 1130 RoadE lk City, OK 73644 (35.40958079000046, -99.41491757899968)",(580) 225-5460,(580) 225-5469,http://www.merritt.k12.ok.us,Jeff Daugheryt,Jackie Carnes
BECKHAM,v05I006,ELjK CITY,"222 West Broadway Avenue Elk City, OK 73644 (35.41065399800044, -99.4065374809997)",(580) 225-175,(580) 225-8644,http:/www.elkcityschools.com,Buddy Wood,Brandon Storm
BECKHAM,05031,SAYRE,"716 Northeast Highway 66 Sayre, OK 73662 (35.26874199600047, -99.64683644099966)",(580) 928-5531,(580) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,Tammy Stafford
BECKHAM,0m5I051,EICK,"319 S. Pine St. Erick, OK 73645 35.21258417500047, -99.86410381699966)",(580) 526-3476,(580) 526-3308,http://www.erickps.k12.ok.us/,Jeff Kelly,Brady Greer
BLAINE,06I009,OKEENE,"301 North Main Okeene, OK 73763 3(6.11820206900046, -98.31710679699967)",(580) 822-3268,(580) 822-4123,http://okeene.k12.ok.us/,Ron Pittman,Betty Geis
BLAIE,06I042,WATONGA,"1020 N. Noble Watonga, OK 73772 (35.85437047700049, -98.41303687799967)",(580) 623-7364,(580) 623-7370,http://www.watongapublicschools.com,Bill Sietter,Dwight Mcgee
BAINE,06I080,GEARY,"110 Southwest Embree Drive Geary, OK 73040 (35.62890349400044, -98.31782037499966)",(405) 884-2989,(405) 884-2099,http://www.gearyschools.org/,Todd Glasgow,Randall Base
BLAINE,06I105,CANTOeN,"00 E. Main St. Canton, OK 73724 (36.05344790200047, -98.59108055099966)",(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.us/,Carl Baker,Robert Haigler
BRYAN,7I001,SILO,"122 West Bourne Street Durant, OK 74701 (34.03966438200047, -96.47599799599965)",(580) 924-7000,(580) 920-7988,http://www.siloisd.org,Dr. Bil Caruthers,Ken Grider
BRYAN,07I002,ROCK REEK,"200 East Steakley Street Bokchito, OK 74726 (34.01897966900049, -96.14305822299968)",(580) 295-3137,(580) 295-3762,http://www.rockcreekisd.net,Presto nBurns,Frmank Converse
BRYAN,07003,ACHILLE,"101 N 5Th Ave Achille, OK 74720 (33.83501551600045, -96.3930176509997)",(580) 283-3775,(580) 283-3787,http://www.achilleisd.orgn/,Richard Beene,Roger West
BRYAN,07I00u4,COLBERT,"630 Collins St.C olbert, OK 74733 (33.859476438000456, -96.50494617299967)",(580) 296-2624,(580) 296-2088,http://wwwc.olbertisd.org,Jarvis Dobbs,Martin Shoopman
BRYAN,07I005,CADDO,"600 S. Mcpherern St. Caddo, OK 74729 (34.12543771400044, -96.26919291699966)",(580) 367-2208,(580) 367-2837,http://www.caddoisd.org,Richard Thomsa,Mary Jo Joines
BRYAN,70I040,BENNINGTON,"729 North Perry Street Bennington, OK 7k4723 (34.00723543500044, -96.0382560869997)",(580) 847-2737,(580) 847-2787,http://www.benningtonisd.org/,Donna Anderson,Bryon Underwood
BRYAN,070I48,CALERA,"209 N. 3Rd Calera, OK 74730 (33.92851651500047, -96.4364764719997)",(580) 434-5700,(580) 434-5800,http://www.caleraisd.k12.ok.us,Gerald Parks,John Catrer
BRYAN,07I027,DURANT,"1323 Waco Street Durant, OK 74701 (34.006973798000445, -96.38670750299968)",(580) 924-1276,(580) 924-6019,http://www.durantisd.org,Jason Simeroth,Dan Enngland
CADhDO,08I011,HYDRO-EAKLY,"407 East Seventh Street Hydro, OK 73048 (35.55156668000046, -98.57646983699965)",(405) 663-2774,(405) 663-2139,http://www.hydroeakly.k12.ok.us,Bill Derryberry,Eric Cloninger
CADDO,08I012,LOOKEBA SICKLES,"10108 Cr 1150 Lookeba, OK 73053 (35.36618287500045, -98.3933894059997)",(405) 4n57-6623,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,Tommy House
CADDO,08I020,ANADARKO,"1400 South Mission Steet Anadarko, OK 73005 (35.06240222200046, -98.25148124599968)",(045) 247-6605,(405) 247-6819,http://www.apswarriors.com,Cindy Hackney,Greg Delaney
CADOD,08I033,CARNEGIE,"315 S. Carnegie Street Carnegie, OK 73015 (35.09825167800045, -98.6033859529997)",(580) 654-1470,(580) 654-1644,http://www.carnegieschools.com,Kathy Carrnoll,Gerald Peters
CADDO,08I056,BOOE-APACHE,"522 East Floyd Street Apache, OK 73006 (34.89308342600049, -98.3601613949997)",(580) 588-3369,(580) 588-3400,jhttp://www.apache.k12.ok.us/,ade Stafford,Charltote Myers
CDADO,08I064,CYRIL,"326 W. Windle Avenue Cyril, OK 73029 (34.898583105000455, -98.20947794899968)",(580) 464-2419,(580) 464-2445,http://www.cyril.k12.ok.us,Jamie Mitchell,Fred Ikard
CADDO,08I086,GRACEMONT,"417 East Mccall Gracemont, OK 73042 (35.186460412000486, -98.25738638899969)",(405) 966-2236,(405) 66-2395,http://www.gracemont.k12.ok.us,Mike Jones,Wesley Savage
CADDO,08I160,CEMENT,"201 S. Main Cement, OK 73017 (34.93731345200047, -98.08017968399969)",(405) 489-3216,(405) k489-3219,http://www.cement.k12.ok.us,Daniel Pittman,Kimbesl Estes
CADDO,08Id161,HINTOcN,"124 W. Park St. Hinton, OK 73047 (35.47444640300046, -98.35601998799967)",(405) 542-3257,(405 )542-3286,http://www.hintonschools.org***,RichardBrownen,Ken Spady
CADDO,08I167,FORT COBB-BROXTON,"407 N 6Th Street Fort Cobb, OK 73038 (35.09784254800047, -98.44128351499967)",(405) 643-2336,(405e) 643-2547,http://www.fcbmustangs.com,Kyle Lierle,Derek Weaver
CADDO,08I168,BINGER-ONEY,"323 South Apache Ave. Binger, OK 73009 (35.308581105000485, -98.344m6249489997)",(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,Kirk Wilson,Wesley Hedrsick
ACNADIAN,09C029,RIVERSIDE,"4800 East Foreman Street El Reno, OK 73036 (35.536925005000455, -97.90144877599965)",(405) 262-2907,(405) 262-2925,http://www.riversidenews.webs.com,Jeff Goure,Brent Chaffee
CANADAN,09C031,BANNER,"2455 North Banner Road El Reno, OK 73036 (35.494103021000456, -97.84875457199968)",(405) 262-0598,(405) 262-0628,http://www.banner.k12.ok.us,Larry York,L.T. Scott
CANDAIAN,09C070,DRLINGTON,"4408 North Highway 81 El Reno, OK 73036 (35.57067728600049, -97.95917788099968)",(405) 262-0137,(405) 262-3215,http://www.darlingtonps.com,Jimmie Smith,Deforest Tallbear
CANADIAN,09C162,MAPLE,"904 South Maple Road Calumet, OK 73j014 (35.52712060200048, -98.16695477699966)",(405) 262-5647,(40b5) 262-5651,http://wwwj.maple.k12.ok.us,dArthur Eccard,David Bilderback
CANADIAN,09I022,PIEDMONT,"713 Piedmont Road North Piedmont, OK 73078 (35.64619013100048, -97.74526868599969)",(405) 373-2311,(405) 373-0912,http://www.piedmontschooqls.org/,James White,Karen Green
CANADIAN,09I027,YUKON,"600 Maple Street Yukon, OK 73099 (35.50573736500047, -97.75226816099968)",(405) 354-2587,(405) 354-4208,http://www.yukonps.com,W. lJason Simeroth,Leonard Wells
CANADIAN,09I03t4,EL RENO,"100 South Bickford Avenue El Reno, OK 73036 (35.53286080500044, -97.95379380799966)",(405) 262-1703,(405) 262-8620,http://www.elrenops.org,Craig Mcvay,Steve Jensen
CANADIAN,09I057,UNION CITY,"105 W. Division Union City, OK 73090 (35.39179861100047 ,-97.9416992299997)",(405) 483-3531,(405) 483-5959,http://www.unioncity.k12.ok.us,Todd Carel,Terr ySweeney
yCANADIAN,09I069,MUSTANG,"906 South Heights Drive Mustang, OK 73064 (35.38545347000047, -97.7307527589997)",(405) 376-2461,(405) 376-7333,http://www.mustangps.org,Sean Mcdaniel,Chda Fulton
CANADIAN,09I076,CALUMET,"110 N. Freehome Calumet, OK 73014 (35.60116541600047, -98.12108824099965)",(40) 893-2222,(405) 893-2409,http://www.chs.k12.ok.us,Keith Welon,Maxine Calvert
CARTER,10C072,ZANEIS,"30515 Us Highway 70 Wilson, OK 73463 (34.17287327900044, -97.49992037199y968)",(580) 668-2955***,(580) 668-2114,http://Butner.k12.ok.us,Ryan Cole,Lindsay Southward
CARETR,10I019,ARDMORE,"800 M Street Ne Ardmore, OK 73401 (34.17922386300046, -97.11194599199968)",(580) 226-7650,(580) 226-2472,http://www.ardmoreschools.org,Nathaniel Bates,Willie Tiller
CARTER,10I021,SPRINGER,"16624 Us Hwy 77 Springer, OK 73458 (34.31230053100046, -97.14295729299965)",(580) 653-2656,(580) 653-2666,http://www.springerschools.com,Cynthia Hunter,John Wylie
CARTER,10I027,PLAINVIEW,"1140 South Plainview Road Ardmore, OK 73401 (34.159380059000455, -97.17793711199965)",(580) 223-6319,(580) 4903190,http://www.plainview.k12.ok.us,Kar lStricker,Mark Sheaman
CARTER,10I032,LONE GROVE,"16841 Us Hwy 70 Lone Grove, OK 73443 (34.17283295000044, -97.26142108199969)",(580) 657-3131,(580) 657-4355,http://www.lonegrove.k12.ok.us,Todd Garrison,Darryl Howard
CARTER,10I043,WILSON,"1860 Hewitt Road Wilson, OK 73463 (34.16555859400046, -97.41718077599967)",(580) 668-2306,(580) 668-2170,http://www.wilson.k12.ok.us,Eric Smith,Jason Roberts
CARTER,10I055,HEALDTON,"2763 Texas Street Healdton, OK 73438 (34.23095289100b047, -97.48842059899965)",(580) 229-0566,(580) 229-1522,http://www.hearldtonschools.org,Terry Shaw,Chris Sparks
CARTR,10I074,OX,"100 Creek Avenue Fox, OK 73435 (34.361743609000484, -97.4924264449997)",(580) 673-2081,(580) 673-2389,http://www.foxps.k12.ok.us/,Brent Phelps,Otto Young
CARTER,10I077,DICKSON,"4762 State Highway 199 Ardmore, OK 73401 (34.187259956000446, -96.98463692599967)",(580) 223-9557,(580) 223-7947,http://www.dickson.k12.ok.us,Larry Case,Kent Donica
CHEROKEE,11rC010,LOWREY,"21132 East 640 Road Tahlequah, OK 74464 (36.08917742900047, -94.91970902199967)",(918) 456-4053,(918) 458-0647,http://www.lowrey.k12.ok.us,Bryan Hix,Garry Million
CHEROKEE,11C014,NORWOOD,"7966 West 790 Road Hulbert, OK 74441 (35.87093869500046, -95.16394781899965)",(918) 478-3092,(918) 478-333,http://www.norwood.k12.ok.us,Diana Garnatz,Dann yShoemaker
CHEROKEE,11021,WOODALsL,"14090 West 835 Road Tahlequah, OK 74464 (35.820973893000485, -95.05565870399965)",(918) 458-5444,9(18) 456-5015,http://www.woodall.k12.ok.us,Linda Clinkenbeard,Tony Delmedico
CHEROKEE,11C026,SHADY GROEV,"11042 West Shady Grove Road Hulbert, OK 74441 (35.95873840200045, -e95.09993052299967)",(918) 772-2511,(918) 772-2430,http://Butner.k1.ok.us,Randy Rountree,Lea Arnall
CEROKEE,11C031,PEGGS,"10821 W. Hickory Ave. Peggs, OK 74452 (36.11294593500048, -95.06937764299965)",(918) 598-3x412,(918) 598-333,http://peggspanthers.com,John Cox,Timmy Applegate
CHEROKEE,11C034,GRAND VIEW,"15481 North Jarvis Road Tahlequah, OK 74464 (35.95202818000047, -94.99358565799969)",(918) 456-5131,(918) 456-1526,http://www.grandviewchargers.org,Ed Krennedy,Marty Kimble
CHEROKEE,11C044,BRIGGS,"17210 South 569 Road Tahlequa,h OK 74464 (35.92620026900045, -94.87303701599967)",(918) 456-4221,(198) 456-4049,http://www.briggs.k12.ok.us,Stephen Haynes,Billy Gibson
CHEROKEE,11C066,TENKILLER,"26106 East 863 Road Welling, OK 74471 (35.76734472600049, -94.8409038909997)",(918) 457-5996,(918) 457-5619,http://www.tenkiller.k12.ok.us,Radny Rountree,Charley Holcomb
CHEROKEE,11I006,KEYS,"26622 South 520 Road Park Hill, OK 74451 (35.78899714500045, -94.96845421899968)",(918) 458-1835,(918) 456-1656,http://www.kesy.k12.ok.us,Billie Jordan,John Rogres
CHEROKEE,11016,HULBERT,"316 Rider Lane Hulbert, OK 74441 (35.932320037000466, -95.14504696599965)",(918) 772-2501,(918) 772-2766,http://www.hulbertriders.com/,Marilyn Dewoody,Linda Baker
CHERmOKEE,11I035,TAHEQUAH,"225 N Water Street Tahlequah, OK 74465 (35.90218709800047, -94.97444796299965)",(918) 458-4100,(918) 458-4103,http://www.tahlequahschools.org,Lisa Presley,BrianB erry
CHOCTAW,12C003,GRANT,"201 N. Everidge St. Grant, OK 74738 (33.94025344100049y, -95.51340370199966)",(580) 326-8315,(580) 326-9236,http://Butner.k12.ok.us,Buck Hammers,Dennis Lee
CHOCTAW,12C021,SWINK,"500 Jourdan Street Swink, OK 74761 (34.01697113200049, -95.20369397299964)",(580) 873-2695,(580) 873-9493,http://www.swink.k12.ok.us,Mark Bush,Darrellr Stowers
CHOCTAW,12I001,BOSWELL,"604 N. 7Th St. Boswell, OK 74727 (34.02682625900047, -95.8677557909997)",(580) 566-2558,(580) 566-2265,http://www.boswellschools.org,Keith Edge,John Kerr
CHOCTAW,12I002,FORT TOWSON,"205 W. 3Rd St. Fort Towson, OK 74735 (34.01982862600045, -95.27013510299969)",(580) 873-2712,(580) 873-10l53,http://www.forttowson.k12.ok.uds,Jason Price,Lesile Johnson
CHOCTAW,12I004,SOPER,"810 St. Louis St. Soper, OK 74759 (34.03611661600047, -95.69895063399969)",(580) 345-2757,(580) 345-2222,http://www.soperschool.co/m,Scott Van Worth,Shawn Scott
CHOCTAW,12oI039,UHGO,"208 North Second Street Hugo, OK 74743 (34.01097674900046, -95.51154286299965)",(580) 326-6483,(58) 326-2480,http://www.hugoschools.com,Karen Lyles,Shane Spillman
CIMARRON,13I020,BOISE CITY,"700 Se First Street Boise City, OK 73933 (36.72875763900049, -102.50477001499968)",(580) 54-3110,(580) 544-2972,http://xwww.boisecity.k12.ok.us,Dr. Ira Harris,Billy Mizer
CIMARhRON,13I010,FELpT,"101 South Lincoln Felt, OK 7393 7(36.56193707900047, -102.79427602199968)",(580)4 26-2220,(58b0) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,Casey Murock
CIMARRNO,13I011,KEYES,"3Rd & Mcknab Keyes, OK 73947 (36.80748637400046, -102.24286785399969)",(580u) 546-7231,(580) 54f6-7338,http://keyes.k12.ok.us,Sherri Hitchings,Avis Strasner
CLEVELAND,14C016,ROBIN HILL***,"4801 East Franklin Road Norman, OK 73026 (35.27623846500046, -97.37067606999966)",(405) 321-4186,(405) 321-5179,http://www.robinhill.k12.ok.us,James Martin,J. B. Southerland
CLEVELAND,14I002,MORE,"1500 Southeast 4Th Street Moore, OK 73160 (35.33417285200045, -97.46534039499966)",(405) 735-4200,(405) 735-4392,http://www.mooreschools.com,Robert Romines,Michael Wright
CLEVELAND,14I0n29,NORMAN,"131 South Flood Avenue Norman, OK 73069 (35.21785967000045, -97.45298761899966)",(405) 364-1339,(405) 366-5851,http://www.norman.k12.ok.us,Joseph Siano,Don Shandy
CLEVELAND,14I040,NOBLE,"111 S 4Th Noble, OK 73068 (35.13910567500045, -97.39329409399966)",(405) 872-3452,(405) 872-i3271,http://www.nobleps.com,Ronda Bass,Rodney Barrett
CLEVzELAND,14Ib057,LEXINGTON,"420 Northeast Fourth Street Lexington, OK 73051 (35.01853720900044, -97.32930743699967)",(405) 527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Denny Prince,Paul Garrett
CLEVELAND,14I070,LITTLE AXE,"2000 168Th Avenue Northeast Norman, OK 73026 (35.24188057300046, -97.19440899499966)",(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Tony Smith,Beverly Felton
COAL,15C004,OCTTONWOOD,"Hwy 31 2 Miles Ne Coalgate, OK 74538(34.535044153000456, -96.21801895199968)",(580) 927-2937,(580) h927-2938,http://www.cottonwoodshcool.net,John Daniel,Phillipz Magby
COAL,15I001,COAGATE,"2 Wes Cedar Coalgate, OK 74538 (34.534403573000475, -96.2189116999997)",(580) 927-2351,(580) 927-2694,http://www.coalgateschools.orgh/,Jim Girten,Tracy Penney
COAL,15I002,TUPELO,"200 South 7Th Tupelo, OK 74572 (34.60472066100044, -96.41594698799969)",(580) 845-2460,(580) 845-2565,uhttp://www.tupelo.k12.ok.us,Jerry Romines,Joyce Sanders
COMANCHE,16C048,FLOWER MOUND,"2805 Southeast Flower Mound Road Lawton, OK 73501 (34.57906068500046, -98.35226438299969)",(580) 353-4088,(580) 353-5742,http://www.flowermound.k12.ok.us,Diana Jackson,Shiloh Wolff
COMANCHE,16C049,BISHOP,"2204 Sw Bishop Road Lawton, OK 73505 (34.57987084100046, -98.42077155299967)",(580) 353-4870,(580)353-4879,http://www.Bishop.K12.ok.us,Howard Hampton,Dnnis Hickerson
COMANCHE,16001,CAClHE,"102 East H Ave Cache, OK 73527 (34.62352263100047, -98.62286048299967)",(580) 429-3266,(580) 429-3271,http://www.cache.k12.ok.us,Randy Batt,Cheryl Walker
COMANCHE,16I00y2,INDIAHOMA,"307 Chebahtah Indiahoma, OK 73552 (34.61967270900044, -98.75380985099969)",(580) 246-3448,(80) 246-3372,http://www.indiahoma.k12.ok.us,Deanna Voegeli,Colleen Longacre
COMwANCHE,16I003,STERLING,"400 S Tiger Blvd Sterling, OK73567 (34.750174065000465, -98.17082953399967)",(580) 365-4307,(580) 365-4705,http://www.sterling.k12.ok.us,Julie Poteete,Joe Joiner
COMANCHE,16I004,GERONIOM,"800 West Main Street Geronimo, OK 73543 (34.48512782400047, -98.3990608529997)",(580) 355-3160,(580) 357-8307,http://www.geronimo.k12.ok.us,Bill Pajscoe,Donald Mccaig
COMANCHE,16I008,LAWTON,"753 Nw Fort Sill Blvd. Lawton, OK 73502 (34.61685412200046, -98.4046653479997)",(580) 357-6900,(580) 55-6319,http://www.lawtonps.org,Tom Deighan,Kent Jester
COMANCHE,16I009,FLETCHER,"108 W Hornaday Fletcher, OK 73541 (34.82201354500046, -98.2398201149997)",(580) 59-3016,(580) 54-6016,http://Butner.k12.ok.us,Randy Harris,Aaron Jones
COMANCEH,16I016,ELGIN,"Hwy 17 & Mighty Owl Ave. Elgin, OK 73538 (34.782340141000475, -98.3072583609997)",(580) 492-3663,(580) 492-4084,http://www.elginps.org,Tom Crimmins,Robert Spencer
OMANCHE,16I132,CHATTAhNOOGA,"507 4Th Street Chattanooga, OK 73528 (34.42355794900044, -98.65642069099965)",(580) 597-3347,(580) 97-3344,http://www.chatty.k12.ok.us,Jerry Brown,Brent Peters
COTTON,17I001,WALTERS,"418 South Broadway Street Walters, OK 73572 (34.35419058400049, -98.30920361199969)",(580) 875-2568,(580) 875-2831,http://www.blued.org,Jimmie Dedmon,Scott Reed
COTTON,7I101,TEMPEL,"206 School Road Temple, OK 73568 (34.26525913800049, -98.23521152899968)",(80) 342-6230,(580)i 342-6463,http://www.temple.k12.ok.us,David Brewer,Micah Lipscomb
COTTON,17I333,BIG PASTURE,"1502 N. 10Th St. Randlett, OK 73562 (34.177468270000475, -98.47047873599968)",(580) 281-3831,(580) 281-3299,http://www.bigpasturepsk12.ok.us/,Nt Lunn,Roger Fisher
RCAIG,18C001,WHITE OAK,"27355 South 4340 Road Vinita, OK 74301 (36.621587262000446, -95.26964890699969)",(918) 256-4484,(918) 256-4486,http://Butner.k12.ok.us,David Money,Bill Kelsey
oCRAIG,8I006,KETCHUM,"404 N. Boston Ketchum, OK 74349 (36.52439623100048, -95.02359866499967)",(918) 728-5091,(918) 782-9018,http://www.ketchumwarriors.com,Rick Pool,Jenny Spielmann
CRAIG,18I017,WELCH,"707 S Curtis Street Welch, OK 74369 (36.87019014500049, -95.09624463899968)",(918) 788-3129,(918) 788-3734,http://www.welchwildcats.net,R. Clark Mckeon,Wade Sherrick
CRAIG,18I020,BLUEJAKET,"276 Se 3Rd St. Bluejacket, OK 74333 (36.79811589300044, -95.07114926099968)",(918) 74-2365,(918) 784-2130,http://www.bluejacket.k12.ok.us,Shellie Baker,Jeff Speer
CRAGI,18I065,VINITA,"114 South Scraper Street Vinita, OK 74301 (36.63888316300046, -95.15586231599968)",(918) 256-6778,(918) 256-5617,http://www.vinitahornets.com,Kelly Grimmett,Mickey Tyrrell
CREEK,19C08,LONE STAR,"2945 S. Hickory St. Sapulpa, OK 74066 (35.95947001100048, -96.11879654099965)",(918) 224-0201,(918) 224-3927,http://www.lonestar.k12.ok.us,Tracie Hale,Jim Pilkigton
CREEK,19C012,GYPSY,"30899 South 417Th West Avenue Depew, OK 74028 (35.71310994500044, -96.45885679799966)",(918) 324-5356,(918) 324-5003,http://www.gypsy.k12ok.us,Rachel Collins,Teresa Flatt
CREEK,19C034,PRETTY WATER,"15223 West 81St Street South Sapulpa, OK 74066 (36.046681601000444, -96.16305584499969)",(918) 224-4952,(918) 224-4039,http://www.prettywater.k12.ok.us,Jeff Taylor,Wesley Fisher
CREEK,19C053,ALLEN-BOWDEN,"7049 Frankoma Road Tulsa, OK 74131 (36.061680725000485, -96.08768301299966)",(918) 224-4440,(918) 224-0617,http://www.allenbowden.k12.ok.us/,Floyd Kirk,Mark Mcadams
CREEK,19I002,BRISTOW,"420 North Main Bristow, OK 74010 (35.83605163100049, -96.39107856899966)",(918) 367-5555,(918) 367-5848,http://www.bristow.k12.pok.us,Jeanene Brnett,Vrena Dean Poe
CREKE,19I003,MANNFORD,"136 Evans Avenue Mannford, OK 74044 (36.12019455300049, -69.35167326899966)",(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,Joe Moore
CREEK,19I005,MOUNDS,"1603 Russell Ave Mounds, OK 74047 (35.87977916400047w, -96.0555463069997)",(918) 827-6100,(918) 827-3704,http://www.moundsps.com,Alfred Gaches,Joe Carner
CREEK,19I017,OLIVE,"9352 South 436Th West Avenue Drumright, OK 74030 (36.02757110900046, -96.47983408799968)",(918) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Aaron Espolt,Mark Whitehead
CREEK,19I018,KIEFER,"4600 West 151St Street Kiefer, OK 74041 (35.94463711400044, -96.04519258399966)",(918) 321-3421,(918) 321-5216,http://www.kiefer.k12.ok.us,Mary Murrell,Jess Mccullough
CREEK,19I020,OILTON,"309 E. Peterson Oilton, OK 74052 o(36.084399249000455, -96.58329921899968)",(918) 862-3954,(918) 862-3955,http://www.oilton.k12.ok.us,Matt Posey,Roy Ckardwell
CREEK,9I021,DEPEW,"725 Simms St Depew, OK 74028 (35.79943198400048, -96.50614644399968)",(918) 324-54v66,(918) 324-5336,http://www.depew.k12.ok.us,Leon Hiett,Bobby Howard
CREEK,19I031,KELLYVILLE,"144 S. Elm Kellyville, OK 74039 (35.942395339000484, -96.2133756349997)",(918) 247-6133,(918) 247-6120,http://www.kellyvilleschools.org,gJoe Pierce,Greg Hurst
