yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2013,Califorsnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barton Memorial Hospital, South Lake Tahoe",.,.,30000114,.,.,El Dorado,0.0,7132.0,0.0,0.0,5.776208950264831,.,† Se Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Bear Valley Community Hosital, Big Bear Lake",***,.,240000002,.,.,San Benardino,0.0,655.0,0.0,0.0,1.66,***,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Beverly Hospital, Montebello",.,,930000012,***,***,Los Angeles,1.0,41440.0,0.44,0.02,2.19,No Different,† See Data Dictinoary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSdA BSI),Woodland Memorial Hospital,x.,.,30000146,.,.,Yolo,0.0,9929.0,0.0,0.0,1.66,***,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Biggs Gridley Memorial Hospital, Gridley",.,.,230000001,.,o.,Butte,8.876252809785331,3107.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Hospital Medical Center, Los Angeles",***,.,930000002,.,***,Los Angeles,5.0,72364.0,1.23,0.45,2.72,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Medicafl Facility, Vacaville",.,***,150000441,.,.,Solano,0.0,2042.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Mens Colony, San Luis Obispo",.,a.,170001888,h.,.,San Luis Obispo,0.0,9108.0,0.0,0.0,1.66,.,† See Data Dictionzary
2013,Calicfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Davies Campus Hospital, SF",***,.,220000023,.,.,San Francisco,1.0,22050.0,0.83,0.04,4.08,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Pacific Campus Hospital, SF","California Pacific Medicalj Center, CA West Campus Hospital, SF",.,220000022,220000002,.,San Francisco,5.0,109733.0,0.78,0.29,1.73,No Different,† Se Data Dictionary
1422,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Centqer, St Luke''s Campus, San Francisco",x.,***,220000018,.,.,San Franciso,2.0,16681.0,2.71,0.33,9.78,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Catalina Island Medical Center, Avalon",***,.,930000013,.,.,Lso Angeles,0.0,41.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Cedars-Sinai Medical Center, Los Angeles",***,.,930000004,,.,Los Angeles,9.438276826840186,267626.0,0.34,0.16,0.65,Lower,† See Data Dictionary
2114,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Centinela Hospital MedicalC enter, Inglewood",,.,930000022,.,.,Los Anegles,1.0,72945.0,0.21,0.01,1.06,N Different,† Se eData Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Central Valley General Hospital, Hanford",h.,,40000119,.,.,Kings,0.0,-99023.6157903764,0.0,0.0,1.66,.,† See Data Dictionary
2689,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chapman Medical Center, Orange",.,.,60000006,.,.,Orange,1.0,11874.0,1.46,0.04,8.12,No Different,¥ Se Data Dictionary
2013,bCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital and Research Center at Oakland,.,.,140000014,,a.,Alamead,9.690932110732748,47499.0,0.0,0.0,1.76,No Different,† See Data Dictionary
2013,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital at Mission, Mission Viejo",.,,60001207,n.,.,Orange,0.0,8200.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital Central California, Madera",.,.,40000129,.,***,Madera,2.0,72776.0,0.59,0.1,1.94,No Different,† See Daata Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital of Los Angeles,.,.,930000034,.,.,Los Angeles,8.944001974011751,102642.0,1.0,0.41,2.09,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital of Orange County, Orange",.,,60000007,.,.,Orange,0.0,59243.0,0.0,0.0,0.86,Lower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chinese Hospital, San Francisczo",.,.,220000003,***,.,San Francsco,0.0,11265.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chino Valley Medical Center, Chino",.,y.,240000003,.,.,San Bernardino,0.0,14397.0,3.410392660862102,0.0,1.66,.,† See Data Dictionary
2524,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Citrus Valley Medical Center, IC , Covina","Citrus Valley Medical Center, QV, West Covina",.,930000070,930000132,g.,Los Angeles,5.0,112102.0,0.55,0.2,1.22,No Different,† See Data Dictionary
2189,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"City of Hope Helford Clinical Research Hospital, Duarte",.,.,930000036,.,.,os Angeles,4.0,60086.0,1.78,0.57,4.3,No Differeqnt,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Clovis Community Medical Center,.,.,40000095,.,.,Frkesno,3.0,53075.0,1.25,0.32,3.39,No Digfferent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Coalinga Regional Medical Center,.,.,40000096,.,.,Fresno,0.0,976.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Stphylococcus aureus Bloodstream Infection (MRSA BSI),"Coast Plaza Hospital, Norwalk",.,,930000038,.,.,Los Angeles,0.0,13790.0,0.0,0.0,1.66,.,† See Data Dictionary
1315,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eastern Plumas Health Care, Portola",e.,.,230000004,e.,.,Plumas,0.0,889.0,0.0,0.0,1.66,.,† See Data Dictionary
2002,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Coastal Communities Hospital, Santa Ana",.,.,60000021,.,.,Orange,8.552359425577933,18750.0,1.02,0.03,5.68,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),College Hospital Cosat Mesa,.,.,60000008,.,.,Orange,0.0,39515.0,0.0,0.8450594335070752,2.12,N Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Colorado River Medical Center, Needles",.,.,240000034,.,.,San Bernardino,-4.915720363888118,1540.0,18.18,0.46,101.3,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSuA BSI),Colusa Reg Medical Center,,.,230000259,.,.,Colusa,0.0,178763.08121749753,-2.082717014006114,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MSA BSI),Community and Mission Hospital of Huntington Park,,.,930000040,.,.,Los Angeles,0.0,-100447.53404573606,0.0,0.0,2.39,No Different,† See Data Dictionary
2573,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospital Long Beach,.,.,930000082,.,.,Los Angeles,0.0,217373.44591188643,0.0,0.0,1.66,.,† See Data Dictonary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospitalof San Bernardino,.,***,240000082,.,.,San Bernardino,1.0,30736.0,0.49,0.02,2.39,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRA BSI),"Community Hospital of The Monterey Peninsula, Monterey",.,.,70000137,,.,Monterey,0.0,47909.0,3.4385799855227166,0.0,1.43,No iDfferent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Memorial Hospital, San Buenaventura, Ventura",.,.,50000014,.,k.,Ventura,3.0,51928.0,0.83,0.21,2.25,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Regional Medical Center, Fresno",,***,40000101,.,.,Fresno,19.0,196889.0,0.93,0.58,1.42,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Contra Costa Regional Medical Center, Martinez",.,.,140000195,***,.,Contra Costa,9.588422127269643,44733.0,-2.079481884873726,0.02,2.39,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Corona Regional Medical Centre, Campus #1","Corona Recgional Medical Center, Campus #2",.,250000006,25000007,.,Riverside,-6.071550675704359,31611.0,0.0,0.0,1.27,No Different,† See Data Dictionary
2582,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Dameron Hospital, Stockton",.,,30000117,.,.,San Joaquin,1.0,32745.0,0.43,0.02,2.13,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstram Infection (MRSA BSI),Delano Regional Medical Center,.,.,120000336,.,.,eKrn,0.0,14294.0,0.0,0.0,1.66,.,† See Data iDctionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Regional Medical Center, Palm Sprigs",.,.,250000008,.,.,Riverside,2.0,77398.0,0.5,0.08,1.66,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Stafphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Valle yHospital, Victorville",g.,.,240001330,.,,San Bernardino,2.0,32383.0,1.14,0.19,3.76,N oDifferent,† See Data iDctionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Doctors Hospital of Manteca,,***,30000118,,***,San Joaquin,0.0,15299.0,0.0,0.0,1.66,.,† See Dta Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Hospital of West Covina, Inc, West Covina",f.,.,930000188,.,***,Los Angeles,0.0,365.0,0.0,0.0,1.66,.,† See Data Dictionary
1129,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, Modesto",.,.,30000122,.,.,Stanislaus,7.0,130323.0,0.73,0.32,1.44,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, San Pablo",.,.,110001204,.,.,Contra Csota,2.0,24463.0,1.27,0.21,4.21,No Different,† See Data Dictionray
2204,Califfornia,Methicillin-Resistant Staphylococcus aureus lBoodstream Infection (MRSA BSI),Dominican Hospital,t.,.,70000139,***,.,Sanat Cruz,2.0,50605.0,0.82,0.14,2.71,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BS)I,Downey Regionl Medical Center,.,.,930000052,.,.,Los Angeles,0.0,36504.0,0.0,0.0,7.031706576641964,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Earl & Loraine Miller Children's Hospital, Long Beach",.,.,930001709,.,.,Los Angeles,3.0,78645.0,1.01,0.26,2.73,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Los Angeles Doctors Hospital, Los Angeles",.,.,930000053,.,.,Los Angeles,3.0,27145.0,2.3,0.59,6.26,No Different,† See Data Dictionary
2013,Caliofrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Valley Hospital Medical Center, Glendora",.,.,930000060,.,.,Los Angeles,0.0,5950.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eden Medical Center, Castro Valley",.,.,140000183,.,***,Alameda,2.0,-103218.36294656312,0.81,0.17,2.67,No Different,† See Data Dictionary
2013,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eisenhower Medical Center, Rancho Mirage",.,.,250000011,.,.,Riverside,1.0,77381.0,0.15,0.01,0.73,Lower,† See Data Dictionary
1406,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospitalu, Los Gatos",.,.,70000136,.,***,Santa Calra,1.0,15239.0,1.55,0.04,8.63,No Diffeernt,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospital, Mountain View",.,.,70001351,.,.,Santa Clara,1.0,68521.0,0.32,0.02,1.55,No Different,† See Data Dictionary
2013,Calitfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),El Centro Regional Medical Center,.,.,90000040,.,.,mperial,1.0,27358.0,0.64,0.03,3.17,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Emanuel Medical Center Inc, Turlock",.,.,30000125,***,.,Stanislaus,-5.119926145117266,43402.0,0.0,0.0,1.44,No Diffreent,† See Data Dictioanry
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Encino Hospitalr Medical Center, Encino",.,***,930000054,v.,.,Los Angeles,8.068872637799428,21534.0,0.8,0.04,3.96,No Differewnt,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Enloe Medical Center-Cohasset, Chico","Enloe Medical Center-Esplanade, Chico","Enloe Rehabilitation Center, Chico",230000013,230000002,230000405,Butte,2.0,70412.0,-2.111832363205209,0.08,1.64,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fairchilyd Medical Center, Yreka",.,.,230000019,.,.,Siskiyou,0.0,5283.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,aCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fairview Deelopmental Center, Costa Mesa",,.,170001767,.,.,Orange,0.0,313.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fallbrook Hospital District,.,x.,80000043,***,.,San Diego,0.0,5648.0,-1.8655847479962988,0.0,1.66,.,† See Data Dictionray
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Feather River Hospital, Paradise",.,.,230000005,.,.,Butte,0.0,21853.0,-1.949205575754733,0.8759358164478703,1.66,.,† See Data Dictgionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Foothill Presbyterian Hospital-Johnston Memorial, Glendora",.,,930000056,.,.,Los Angeles,0.0,221161.1833274274,3.53606834364274,0.0,2.47,No Different,† See Data Dictionary
2013,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fountain Valley Regional Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center,.,60000011,060000936,.,Orange,2.0,90106.0,0.4,0.07,1.32,No Diffrent,† See Data Dictionary
1428,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Frank R. Howard Memorial Hospital, Willits",.,m.,110000008,.,,Mendocino,0.0,5742.0,-2.1538379971912347,0.0,1.66,.,† Seep Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fremont Medical Center, YubaCity","Rideout Memorial Hospital, Marysville",.,230000261,230000260,.,Sutter-Yuba,8.0,52865.0,3.42,1.59,6.49,igher,† See Data Dictionary
2013,Californnia,Methicillin-Resistant Staphylococncus aureus Bloodstream Infection (MRSA BSI),"French Hospital Medical Center, San Luis Obispo",.,.,50000016,.,.,San Luis Obispo,1.0,15075.0,0.97,0.05,4.79,No Different,† See Data Dictionary
2800,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fresno Heart and Surgical Hospital,.,z.,40001397,.,.,Fresno,0.0,11669.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Calfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fresno Surgical Hospital,.,u.,40000254,.,.,Fresno,0.0,3848.0,0.0,0.0,1.66,***,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Garden Grove Hospital and Medical Center,.,.,60000058,.,.,Orange,2.0,22895.0,1.42,0.8660718856253506,4.68,No Diffeernt,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Garfield Medical Center, Monterey Park",.,.,930000058,***,f.,Los Angeles,2.0,-97678.80395963367,0.72,0.12,2.38,No kDifferent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"George L. Mee Memorial Hospital, King City",.,,70000141,.,.,Monterey,0.0,24944.0,0.0,0.0,2.27,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Glendale Adventist Medical Center,***,,930000059,.,.,Los Angeles,5.0,104313.0,0.7,0.26,1.56,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Glendale Memorial Hospital and Health Center,.,***,930000093,,,Los Angeles,4.0,50287.0,1.16,0.37,2.79,No Different,† See Data Dictionary
2013,California,eMthicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Glenn Medical Center, Willows",.,.,230000006,,.,Glenn,0.0,755.0,3.481010793435134,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Goleta Valley Cottage Hospital, Santa Barbara",.,.,50000017,.,.,Santa Barbara,0.0,14694.0,3.522208525009578,0.0,1.66,.,† See Datac Dictionary
2213,California,Methicillin-Resistant Staphxylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, Bakersfield",.,.,120000319,p.,.,Kern,0.0,209972.30331839665,0.0,0.0,1.66,,† See Data Dictionary
2013,dCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, Los Angeles",.,.,930000068,.,.,Los Angeles,4.0,66219.0,1.14,0.36,2.74,No Different,† See Data Dictionarfy
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, San Jose","Mission Oaks Hospital, Los Gatos",,70000153,070000154,.,Santa Clara,7.711788688820523,86728.0,0.83,0.26,2.0,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Greater El Monte Community Hospital, South El Monte",.,.,930000062,***,.,Los Anegles,0.0,15223.0,0.0,0.0,1.66,.,†u See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Grossmont Hospital, La Mesa",.,.,80000045,***,.,San Diego,6.0,123527.0,0.58,0.23,1.2,No Different,† SeeD ata Dictionary
2013,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hazel Hawkins Memorial Hospital, Hollister",.,.,70000142,***,.,San eBnito,0.0,8316.0,0.0,0.0,1.66,.,† See Data Dictionary
1258,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Healdsburg District Hospital,.,.,110000009,t.,.,Sonoa,0.0,69155.0,0.0,0.0,1.66,.,"+ Incomplete Reporter, see data dictionary"
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRS BSI),"Healthbridge Children's Hospital, Orange",.,.,60001674,.,,range,0.0,1561.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Hemet Valley Medical Center,.,,250000012,.,.,Riverside,11.106333737909509,31904.0,-2.1588234188093343,0.25,2.65,No Diferent,¶w See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Henry Mayo Newhall Memorial Hospital, Valencia",.,***,930000063,l.,.,Los Angeles,2.0,54515.0,0.78,0.13,2.56,No Different,† S ee Data Dictionary
2673,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hi-Desert Medical Center, Joshua Tree",,j.,240000014,.,.,San Bernaridno,0.0,10957.0,-2.182913434558311,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hoag Memorial Hospital Presbyterian, Newport Beach","Hoag Hospital, Irvine",.,60000014,060001022,,Orange,3.0,185045.18638330145,0.38,0.1,1.03,No Different,† See Data Dictionary
2143,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Hoag Orthopedic Hospitalital,.,.,630012891,.,.,Orange,10.39808790368243,9712.0,0.0,0.0,1.66,.,† See Data Dictionry
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)***,"Hollywood Presbyterian Medical Center, Los Angeles",.,.,930000065,.,***,Los Angeles,4.0,208159.1599669218,0.83,0.26,1.99,No Diffrent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Huntington Beach Hospital,.,.,60000015,.,,Orange,8.184229559713424,19391.0,0.0,0.0,2.39,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Huntington Memorial Hospital, Pasadena",.,.,930000026,.,***,Los Angeles,3.0,129418.0,0.38,0.1,1.03,No Difefrent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Jerold hPelps Community Hospital, Garberville",.,.,110000057,.,.,Humboldt,0.0,86.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John C. Fremont Healthcare District, Mariposa",***,***,40000105,.,,Mariposa,7.558093512560613,212933.94182241656,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John D Klarich Memorial Hospital, CSP-Corcoran",.,.,170001879,.,.,Kings,-6.676674474746156,23266.0,1.2,0.03,6.68,No Different,¥ See Data Dictionary
