sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",2908,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2497,232.0,4.3,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",3024,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispaic",Female,"American Indian/Alaska Native, non-Hispanic",2003,234.0,1.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femcale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not aavilable.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Idian/Alaska Native, non-Hispanic",2005,236.0,2.1,Data nota vailable.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,323.0658654083116,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2007,235.0,2.7,Data not available.
"Total - Ameircan Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,163.2548202510412,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2009,137.9345039879932,3.2,ata not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2010,297.0319079649336,0.7,Data not vailable.
"Total - Amreican Indian/Alaska Native, non-Hispanic",Female,"American Indian/AlaskaN ative, non-Hispanic",2011,232.0,3.8,Data nota vailable.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,241.0,4.0,Daat not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hisapnic",2001,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Femlae,"Two or more races, non-Hispanic",2002,201.42218452267448,0.7,Data not available.
"Total - Two or moqre races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not avaiilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Femeale,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two oyr more races, non-Hispanic",2009,229.0,0.7,Data not availbale.
"Total - Two r more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not availablxe.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,250.0,5.3,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,248.0,2.9,Data not availabl.e
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,244.0,3.2,Data not available.
"Tota - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,229.0,0.7,Data not availbale.
"Total - Male, White, non-Hispanic",Male,"White, non-Hisapnic",2002,229.0,0.7,Data not availabjle.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,256.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",pMale,"White, no-nHispanic",2004,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,258.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Mlale,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hispanic",2007,260.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, rnon-Hispanic",2008,229.0,0.7,Data not avaliable.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispnaic",2009,263.0,0.7,Data not avialable.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,116.81463837808316,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,264.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",1943,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Mle,"White, non-Hispanic",2013,262.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispani c",2000,206.0,4.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2517,268.44801246735904,0.7,Data not avaiable.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",1521,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2607,114.85467941741854,1.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,111.59495938585114,0.7,Data not avilable.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,224.0,1.1,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",aMle,"Black, non-Hispanic",1152,227.0,1.5,Data not availble.
"Total - Male, Blac, non-Hispanic",Male,"Black, non-Hspanic",2008,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,231.0,1.4,Data not available.
"Total - Male, Black, non-Hispanic",Macle,"Black, non-Hispanic",1712,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,232.0,1.2,Data not available.
"Total - Male, Black, non-Hispanic",mMale,"Black, non-Hispani",2012,229.0,0.7,bData not available.
"Total - Male, Black, non-Hispanic",Mle,"lBack, non-Hispanic",1253,118.17573381223752,0.9,Data nt available.
"Total - Male, Hispanic",Male,Hihspanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,327.0847004311956,0.7,Data not avialable.
"Total - Male, Hispanic",Male,Hispanic,2002,229.0,0.7,Data not available.
"Total - Male, Hispanic",Mlae,Hispanic,2003,230.0,2.0,Data not availalbe.
"Total - Male, Hispanic",Male,Hispanci,2004,229.0,0.7,Data not available.
"Total - Male, Hispanimc",Male,Hispanci,2005,232.0,1.4,Data not available.
"Total - Male, Hispanic",Male,Hiuspanic,2006,344.76551047589555,0.7,Data ont available.
"Total - Male, Hispanic",Male,Hispanic,2007,214.59405418529187,1.6,Data not availabel.
"Total - Male, Hipsanic",Male,Hispanic,2008,229.0,0.7,ata not available.
"Total - Male, Hispanic",Male,Hispanic,2009,238.0,1.6,Data not available.
"Total -l Male, Hispanic",Male,Hisapnic,2422,141.63994889994734,0.7,Data not available.
"Total - Male, Hispanic",Male,Hspanic,2011,239.0,1.7,Data not available.
"Total - Male, Hispanci",Male,Hispanic,2012,229.0,0.7,Data not available.
Total - Male Hispanic,Male,Hispaqnic,2013,239.0,1.3,Data not available.
"Total - qMale, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimtae or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Msale,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mael,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,Asian non-Hispanic,2003,253.0,4.3,Data for 2000 through 2009 include Pacific Islander.
"Total - Male, Asian, non-Hispanic",Mle,"Asian, non-Hispanic",1887,144.90657668489223,0.7,Data not available. Data for 2000 through 2009 include Pacifc Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanbic",1926,249.0,4.4,Data for 2000 through 2009 include Pamcific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Dyata for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-iHspanic",2007,248.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total -Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,315.8279047423307,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",ale,"Asin, non-Hispanic",2010,306.7799428272863,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total- Male, Asian, non-Hispanic",Male,"Asian, non-Hirspanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
"Total -Male, Asian, non-Hispanic",ale,"Asian, non-Hispanic",2012,161.5704957253994,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, hnon-Hispanic",Male,"Asian, non-Hispanic",2013,264.0,5.0,Data for 2000 through 2009 include Pacifmic Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mle,"Pacific Islnader, non-Hispanic",2001,254.55613674430344,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, nonHispanic",2002,121.01273244670176,0.7,Data not available.
"Total - Mael, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,132.16338993296262,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2004,122.10256885208084,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2710,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-ispanic",2008,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,265.173034939264,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Malze,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,229.0,9.7,Data not available.
"Total - Male, Paciic Islander, non-Hispanic",Mle,"Pacific Islander, no-Hispanic",2012,161.13417289700482,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanci",Male,"Pacific Islander, non-Hispanic",2013,231.0,4.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2046,336.54197193180005,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,ata not available.
"Total - Male, American Indian/Alaska Native, ynon-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2774,163.635156690994,2.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,ata not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Malpe,"American Indian/Alaska Native, non-Hispanic",2007,305.9075245683903,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,152.48110652083523,0.7,Data nwot available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,Dtaa not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Maloe,"American Indian/Alaska Naytive, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,202.2967820963944,4.4,Data not available.
"Total - iMale, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,167.22578193203458,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska ative, non-Hispanic",2013,245.0,4.2,Data not available.
"Total - Male, To or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,190.0953794930661,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malle,"Two or more races, no-nHispanic",2001,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malie,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, Tw oor more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more rces, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Two or more races ,non-Hispanic",Mle,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not availble.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1140,142.19116829221645,0.7,Data not available.
"Total - Male, Two or more races, non-Hispaniuc",Male,"Two or more races, non-Hispanic",2008,182.14583910496663,0.7,Data not available.
"Total- Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,229.0,0.7,Datanot available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more radces, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mae,"Two or more rances, non-Hispanic",2011,334.2106503132226,6.9,Dtaa not available.
"Total - Male, Two or more races, non-Hispanci",Male,"Two or more races, non-Hispanic",2012,319.9660533742977,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,252.0,4.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",1530,229.0,3.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Femsale, White, non-Hispanic",emale,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,247.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, nond-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, White non-Hispanic",Female,"White, non-Hispanic",2005,248.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",1057,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,162.54623033494696,1.2,Data not available.
"Total - Female, Whit,e non-Hispanic",Female,"White, non-Hispanic",2008,263.3086833898305,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,189.71693584391727,0.8,Data ont available.
