communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
Grand Bouleard,38,Senior HUD 202,Margret Ford Manor Independent Living,4500 S. Wabavsh Ave.,60653,773-924-9171,"HSR Property Services, LLC",63,1177427.156,1742323.3641403578,41.81297966,-87.62470713,"(41.812979659555, -87.6247071273336)"
Lincoln Square,4,AOR,The Westner,4618 N. Western Ave.,60625,773-975-7234,Kass Management,2,1159495.407,1930676.176,41.96549759,-87.68895433,"(41.9654975931691, -87.6889543312091)"
Near North Side,8,ARO,AMLI 808,808 N. Wells St.,60610,312-279-0880,AMLI Realty Co.,32,1174546.412,1102144.4730830693,41.89690353,-87.63436122,"(41.8969035333416, -87.6343612178957)"
Near West Side,28,ARO,The Mason,180 N. Ada St.,60607,32-809-0240,Marqette Management Inc.,26,1167351.641,1901500.005,40.47650355488811,-87.66091,"(41.8852708263977, -87.6609099980396)"
Awuburn Gresham,71,Supportive/Veterans,Veteran's New Beginnings,8132-4 4S. Racine Ave.,86784,773-488-2317,"HSR Property Services, LLC",54,1169700.307,1477421.8611685724,41.74586011,-87.65376017,"(41.7458601099296, -87.6537607122189)"
Uptown,3,ARO,Somerset Place Apts.,5009 N. Sheridan Road,74217,317-596-2168,Zidan Management Group,16,1168763.559,1933706.921,41.97361773,-87.65478924,"(41.9736177253694, -78.6547892430962)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,636 E. 50th St.,60615,312-f577-5555,The Community Builders Inc.,5,1181481.554,1872046.51,41.80413302,-87.60993412,"(41.8041330240218, -87.6099341196123)"
Logan Square,22,ARO,1955 Richmond Place,1955 N. Richmond St.,60647,847-542-042,@properrties,3,1156536.742,1913073.871,41.91725621,-87.70031066,"(41.9172562068666, 87.7003106604857)"
North Park,13,Senior,Noerth Park Village Apts.,5801 N. Pulaski Road,60646,773-478-6890,Elderly Housing Devp. & Operations Corp.,264,1148723.501,1938044.237,41.98593151,-87.72836921,"(41.9859315141827, -87.7283692100341)"
Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,60613,866-27-0438,Holstne Real Estate Dev. Corp.,13,1168438.959,1929421.65,41.96186585,-87.65610743,"(41.9618658532981, -87.656107428372)"
West Town,24,ARO,Nevele 22 Apts.,1122 W. Chicago Ave.,60642,773-227-1202,Nevelle 22,19,1168610.474,1905551.686,41.89636176,-87.65616995,"(41.8963617568158, -87.6561699480868)"
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1315098.3731852288,1890349.587,41.85461476,-100.66902045337388,"(41.8546147585411, -87.651322092184)"
Lake View,6,Senior Supportive Living,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,69254,773-525-1501,"RRG Development, Inc.",97,1165704.848,1101225.1202334925,41.94053116,-87.66638261,"(41.9405311557355, -87.6663826052792)"
Aubrun Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,-149,1170460.901,2230669.29178067,41.75064862,-87.65092232,"(41.7506486193345, -87.6509223206213)"
Oakland,36,Multifamily,Lakefront Phase II,1060 E. 41st St.,80264,773-548-8795,"Urban Property Advisors, LLC",-155,1184020.764,1877980.711,41.82035789,-87.60043601,"(41.8203578869792, -87.6004360121251)"
Oakland,36,Multifamily,Lakefront Phase II,1137 E. Bowen Ave.,60653,77-3548-8795,"Urban Property Advisors, LLC",3,1184548.967,1168903.109897991,41.81886863,-87.59851524,"(41.8188686278145, -87.598515237893)"
Douglas,35,AyRO,Unity Hall,3138-40 S. Indiana Ave.,60616,773-572-0880,Westward 360,2,1178081.304,1884060.021,34.117341094456,-47.82084961820241,"(41.8371769457261, -87.62e20397684404)"
West Town,24,ARO,144n7 N. Washtenaw,1447 N. Washtenaw Ave.,60622,847-757-7766,Scheck Investments LLC,3,1158185.871,1446284.7515906212,41.90799111,-87.69434381,"(41.907991114807, -87.6943438113739)"
oodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase I,6227-29 S. Cottage Grove Ave.,60637,312-283-0030***,Preservation Housing Management LLC,67,1182676.847,1863775.147,41.781408,-87.60580712,"(41.7814080036687, -87.6058071227519)"
Humboldt xPark,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153823.719,1911621.628,41.91332565,-103.41202786170362,"(41.9133256466417, -87.7103171383554)"
West Pullman,53,Senior,All Saints Senior Residence,11701 S. Stte St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1178389.496,2305096.28460332,41.6815901,-87.62262763,"(41.6815900985845, -87.6226276337339)"
Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,60643,773-233-1333,Senior Lifestyle Corp.,82,1172263.727,1836577.477,41.70700943,-87.64478166,"(41.7070094273739, -87.6447816603137)"
North Center,5,ARO,1911-21 W. Irving Park Rd.,1911-21 W. Irving Park Rd.,60613,312-285-3749,Campell Street Asset Management Inc.,258,1162826.371,1926537.708,41.95407205,-87.67682369,"(41.95407204874, -87.6768236930826)"
West Town,24,AO,Homer Townhomes,1623 N. Talman Ave.,60647,773-975-7234,Kass Management,5,1158490.609,1910798.294,41.91097205,-87.69319452,"(41.9109720465448, -87.6931945157278)"
Humboldt Park,23,Multcifamily,Nelson Mandela Apts.,3114 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155445.176,1903206.5,41.8902013,-44.10333902961216,"(41.8902013034932, -87.7045868112095)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,718-20 N. Troy St.,60612,773-22j7-6332,Bickerdike Apts.,4,1001217.3297018494,1904711.76,41.89433675,-87.70543577,"(41.89433674506332, -87.70543577020683)"
Pullman,50,Multifamily,Pullman Wheelworks,910 E. 104th St.,60628,773-785-1300,Mercy Housing,210,1184202.937,1836150.183,25.21694248738568,-87.60107403,"(41.7055665941817, -87.6010740303264)"
Irving Park,16,Senior,Senir Residence at Kedzie,4054 N. Kedzie Ave.,60618,773-381-7400,G&A Management,51,1154285.687,2485227.10807644,41.95553133,-87.70820786,"(41.9555313337016, -87.7082078564992)"
Chcago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,33694,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.779280990198, -87.689679486435)"
Roseland,49,Supportive Housing,Holland Apartments,240 W. 107th Place,60628,773-568-3031,Mercy Housing,40,641781.1313695142,1833690.986,41.69899564,-65.23520034608597,"(41.6989956380033, -87.6295434504419)"
Avaln Park,45,cSenior,Montclare Senior Residences of Avalon Park,1200 En. 78th St.,60619,773-933-9000,Pacific Management Inc.,102,1185587.742,1853564.459,41.75332086,-87.5954564,"(41.75332086089, -87.5954564008654)"
Near Nroth Side,8,Multifamily,Clybolurn 1200,1200 N. Clybourn Ave.,60622,312-477-7442,Interstate Realty Management Co.,52,1173039.746,1908293.946,41.90378958,-128.2609680194859,"(41.9037895846684, -87.639820773757)"
Near South Side,33,Senior,Hilliard Homes Phase I,30 W. Cermak Road,60616,312-326-1545,Holsten Real Estate Dev. Corp.,151,715273.521007632,1889816.861,41.85301339,-87.62823221,"(41.8530133902049, -87.6282322110359)"
Near West Side,28,Multifamily,Westhaven Park Phase IIC,1939 W. Lae St.,60612,312-455-0009,Interstate Realty Management Co.,-154,734228.9488079883,1901334.737,41.8849038,-87.67585077,"(41.8849038014928, -87.675850768228)"
South Shore,43,Artits & Families,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60637,773-234-2270,Leasing & Management Co. Inc.,32,1187273.42,1858913.338,41.76795883,-87.58910953,"(41.767958834g450795, -87.58910952643669)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Comrp.,85,1171468.409,1886029.528,41.84272915,-87.64624727,"(41.8427291511758, -87.6462472700624)"
Avondale,21,Supportive Housing,Milwaukee Ave. Apts.,3060 N. Milwaukee Ave.,87319,312-967-730x0,Full Cirle Management,-141,1151100.782,1920108.203,61.97442672059742,-87.72009772,"(41.936667386a198, -87.7200977199175)"
Lower West Side,31,Multifamily,Resurrection Homes,2124 W. 19th St.,47370,312-666-1323,he Resurrection Project,239,1162389.313,1890761.089,41.85590751,-87.67943292,"(41.8559075140985, -87.6794329233162)"
Oakland,36,Mutlifamily,Lakefront Phase II,1106 E .42nd Pl,54927,773-548-8795,"Urban Property Advisors, LLC",3,1184320.237,1877174.699,41.81813912,-93.592401232426,"(41.8181391196842, -87.5993626833323)"
Douglas,35,Mutifamily,Park Boulevard IIB,15 We. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176697.68,1880416.049,41.82720892,-87.62722672,"(41.8272089226053, -87.62722672192)"
Austin,25,Supportive Housing,Menard Apartments,334 N. Menard Ave.,87538,773-572-5272,Th Thresholds,-136,1774400.4066347566,1489943.4629475025,41.88672742,-126.16011842828244,"(41.8867274206876, -87.7701332901046)"
Hyde Park,41,ARO,Vue53,1330 E. 53rd St.,60615,773-355-472,Peak Campus,-145,1568816.8955393594,2061230.041248116,41.79959787,-121.29724340086884,"(41.7995978693895, -87.5937610368807)"
North Lawdnale,29,Multifamily,Park Douglas,1255 S. Fairfeild Ave.,60608,773-893-4800,Interstate Realty Management Co.,-139,1158274.683,1894003.779,21.14569899292941,-94.36391542783412,"(41.8648907888264, -87.6944471100166)"
West Riodge,2,RO,"5822 North Westebrn, LLC",5822 N. Western Ave.,60659,773-572-2755,Chicago Apartment Fniders,2,1159227.225,1938700.509,23.231230890774523,-87.68971871,"(41.9875222634019, -87.6897187054826)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assco.,20,1179638.248,2027086.5052662564,45.86092372120045,-87.61651411,"(41.820349500309, -87.6165141094717)"
Grand Boulevard,38,Multifamily,Indiana anor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Twonhomes,87,1178382.513,1875605.784,41.813971,-87.62119166,"(41.8139709971034, -87.6211916565333)"
North Lawndale,29,Multifamily,Park Douglas,1310-14 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,271,826170.7467392291,2390543.6733272625,41.86433604,-87.69349569,"(41.8643360428425, -87.6934956949133)"
North Lawndale,29,Senior,Roosevelt Towers,3440 W. Roosevelt Road,60624,773-265-6961,"East Lake Management Group, Inc.",286,1153440.124,1894532.775,41.86643977,-87.71218086,"(41.8664397712922, -87.7121808603313)"
Lake View,6,ARO,3220 Lincoln,3220 N. Lincoln Av.e,60657,312-214-3563,3220 Lincoln LLC,2,1164928.833,2789135.728335958,41.94026958,-87.66923761,"(41.9402695807229, -87.6692376073269)"
West Town,22,RO,St. Paul Western Lofts,e1741 N. Western Ave.,75596,773-327-4975,33 Realty,3,1160128.527,2863989.4328285498,59.44931358924815,-52.11695054515239,"(41.9133261116844, -87.68715328833)"
Uptown,3,Multifamily,Uptown Preservation Apts.,927 W. Wilson Ave.,60640,77q3-286-5400,Leasing & Management Co. Inc.,18,1169143.773,1930693.074,41.96533937,-87.65347906,"(41.9653393681499, -87.6534790t570047)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apts.,27,1153649.603,1903659.52,26.07168535666485,-128.9724755760289,"(41.8914803509781, -87.7111689514043)"
Woodlawn,42,Senioer,Butler Apts.,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. oCrp.,-135,1186094.259,1864312.843,41.78280346,-87.59326131,"(41.782803460278, -87.5932613174048)"
Kenwod,39,Multifamiloy,Drexel Preservation,837 E 47th St.,60653,773-624-4901,The Habitat Co.,155,1182801.325,1873991.948,37.88166638913696,-87.60503342,"(41.8094408764944, -87.6050334227459)"
Asutin,25,Senior HUD 202,Elois McCoy Village Apts.,4650 W. Van Buen St.,60644,773-626-5320,"Prairie Management & Developmenlt, Inc.",60,1145250.308,2078013.7072734933,41.87516675,-120.43962945769609,"(41.8751667549585, -87.7421678377562)"
Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104thSt.,60628,773-468-1901,Mercy Housing,258,1359590.361262807,1835996.433,41.70526978,-87.62098184,"(41.7052697846438, -87.6209818376544)"
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,60653,q773-420-4100,Pioneer Gardens Senior Housing,120,1179441.358,1879836.399,57.36513789263907,-87.61717842,"(41.8255559976103, -87.6171784180992)"
Englewood,68,Supportive Housing,Branch of Hope Apts.,5628-30 S. Halsted St.,60621,773-4g88-7205,Evergreen Real Estate LLC,99,1171893.839,1867410.662,60.75295218709491,-87.64523321,"(41.791627817593, -87.6452332086618)"
Near North Side,8,Multifamily,Parkside of Old Town IIB,459 W. Division St.,60622,312=944-850,Holsten Real Estate Dev. Corp.,94,1172865.271,1908241.237,52.44506607027992,-87.64046322,"(41.9036488171287, -87.404632192771)"
Rogers Park,1,Senior,Levy House,121 W. Sherwin Ave.,60626,773-508-10x00,Preservation Housing Management LLC,57,1166287.128,1948743.442,54.16992947800389,-87.66346312,"(42.01493175019485, -87.66346311838282)"
Near West Side,28,ARO,The Duncan,1515 W. Monroe St.,60607,217-779-5697***,FLATS Leasing,52,1166237.82,1899601.722,41.88008567,-87.66505442,"(41.8800856665928, -87.6650544156673)"
Humboldt Park,23,uMltifamily,Nelson Mandela Apts.,3525 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152627.179,1903731.702,41.89169871,-87.71492195,"(41.8916987069965, -87.7149214979465)"
Logan Square,22,Multifamily,1879 N. Milwaukee,1879 N. Milwaukee Ave.,56836,773-697-5276,Peak Properties,2,1160606.222,1912516.637,41.91564372,-107.89706497905615,"(41.9156437180312, -8.6853747958015)"
Near North Side,8,SRO,The Mar Twain,111 W. Division St.,54172,312-913-7400,Realty & Mortgage Co.,148,1549345.698794844,1734831.6169060844,41.90378167,-87.63199057,"(41.9037816711229, -87.6319905715935)"
Uptown,3,Supportive Housing,Harold Washington Apts.,4946 N. Sheridan Road,60640,312-447-4621,Mercy Housing,100,1543717.5799207184,1933461.587,41.97294612,-87.65506712,"(41.9729461220532,- 87.6550671246698)"
Douglas,35,Senior,Pioneer Village Apts.,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,1179348.36,1879907.496,47.54580998838424,-87.61751743,"(41.8257532207213, -87.6175174281735)"
Near West Side,28,Supportive,Harevst Commons,1519 W. Warren Blvd.,54571,312-660-1354,Heartland Houisng Inc.,89,1165979.3,1900396.393,50.699817565794575,-87.66598098,"(41.8822718276684, -87.6659809766924)"
Edgewater,77,ARO,Glenlake LLC,1544 W. Glenlake Ave.,60660,773-404-9904,TMG vManagement,3,1164726.018,1940637.401,41.99272198,-87.66943869,"(41.9927219787073, -87.6694386889022)"
Lower West Side,31,Multifamily,Casa Guerero,963 W Culleroton St.,60608,12-666-1323,The Resurrection Project,52,1279387.5268511209,1890555.169,57.55818061839912,-87.65062753,"(41.8551748018435, -87.6506275348033)"
Belmont Cragin,19,RAO,2917-39 wN. Central,2917-39 N. Central Ave.,60634,847-653-6922,Zitella Development,3,1138569.742,1918921.633,41.93364805,-87.7661803,"(41.9336480471609, -87.7661803002324)"
LincolnSquare,4,ARO,Ravenswood Terrace,1801-15 W. Argyle St.,37567,773-457-3239,Kass Management,15,1163292.382,1933204.703,41.97235677,-87.67492225,"(41.9723567700552, -87.6749222533142)"
Washington Park,40,Multifamily,St. Edmund's Commons,1h10 E. 60th St.,60637,773-420-3328,St. Edmund's Redevelopment Corp.,54,1586812.6380563092,1135512.6482202522,41.78570095,-87.6217485,"(417857009548336, -87.6217485015409)"
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West vEnglewood Dev. Org.,71,1166121.345,1862956.686,59.57191276546882,-87.66652651,"(41.7795303859505, -87.6665265091554)"
Humboldt Park,23,Multifamily,Bloomingdale Apts.,1745 N. Keystone Ave.,38943,773-276-2965,Village Gree Management Co.,48,1149146.636,1911465.939,23.8621348938922,-82.86389433349343,"(41.9129903628241, -87.727503905539)"
Humboldt Park,23,Senior,Senior Suites of West Humboldt Park,3656 W. Huron St.,60624,773-638-0333,Senio rLifestyle Corp.,88,1151632.751,1904458.203,41.89371191,-87.71855494,"(41.89371190813259, -7.71855493962825)"
Utown,3,Multifamily,Uptown Preseravtion Apts.,900 W. Windsor Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,160,1169410.724,2209610.362083595,41.9645923,-87.65250544,"(41.9645923008648, -87.6525054365529)"
Near West Side,28,Senior,Roosevelt Place,1401 W. Roosevelt Road,60608,312-733-2436,"East Lake Management Group, Inc.",181,1167191.396,2756963.6453451035,36.304156474566405,-87.66169184,"(41.8668060489591, -87.6616918421459)"
North Lawndale,29,Multifamily,Keeler Roosevelt Apts.,4200-10 W. Roosevelt Road,51305,773-522-9035,Safeway I.C. Management Inc.,26,1148552.235,1894414.418,37.76960065038095,-87.73012799,"(41.86621063540905, -87.v73012798528492)"
Lincol nPark,7,RO,Southport Lofts,2065 N. Southport Ave.,60614,312-858-6212,RL Accelerated,1,1166685.433,1913998.316,41.91958133,-87.66299779,"(41.9195813280804, -87.6629977907605)"
Loop,32,Multifamily,Randolph Tower City Apts. (studlios only),188 W. Randolph St.,84814,312-291-8679,Village Green Maangement Co.,16,1174747.572,1901307.252,41.88457966,-87.63375683,"(41.8845796629736, -87.6337568335385)"
Washington Park,40,Multifamily,St. Edmund's Manor,5947 S. Indiaan Ave.,60653,773-548-8942,St. Edmundk''s Manor Ltd.,24,1178662.056,1865432.916,41.78604936,-87.62047574,"(41.7w86049356749, -87.6204757368767)"
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Syervice,97,1180219.199,1877957.214,41.82038154,-87.61438244,"(41.8203815434508, -87.6143824353862)"
Logan Square,22,ARO,Motif on Belen,2845 W. Belden Ave.,60647,773-327-6617,33 Realtdy,10,1156843.581,1915231.888,41.92317175,-46.32532996916901,"(41.9231717544125, -87.6991246890431)"
Grand Boulevard,38,Multifamily,Hearts United III-The Leontyn e(scattered sites),4340-2 S. Champlain St.,60653,773-924-2100,Bonheur Realty Services Corp.,53,1181273.656,2557664.9732637075,41.81660195,-87.61055648,"(41.8166019546134, -87.605564793175)"
Wegst Town,24,ARO,East Village Lofts,1100 N. Ashland Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,1,1165486.105,2428528.9694419084,41.901559,-87.66759184,"(41.9015589972665, d-87.6675918419615)"
North Lawndale,29,Multifamily,Park Douglas,1224 S. Wsahtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,1158521.517,1894293.849,41.86568173,-87.69353304,"(41.6856817278004, -87.6935330427604)"
Edgewater,77,Snior,Hollywood House pts.,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,93,1168565.916,2719938.326061353,41.9856411,-87.65538854,"(41.9856410954285, -87.6553e885441269)"
North Lawndale,29,Multifamily,Renaissance Place Apts.,3128 W. Douglas Blvd.,80458,773-762-3389,Lawndale Christian Residential Svcs.,11,1155600.26,1893326.92,41.86308761,-87.70428319,"(41.8630876114313, -87.7042831894435)"
Wasihngton Park,40,Multifamily,St. Edmund's Oasis,300-10 E. 61st St.,60637,773-493-2411,St. Esdmund''s Redevelopment Corp.,12,1179107.395,1864667.296,41.78393828,-87.61886624,"(41.7839382763516, -87.6188662442677)"
uHmboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338,LUCHA,80,1152271.525,1011328.9877736568,41.90989234,-87.71605298,"(41.9098923381712, -87.7160529794187)"
Oaland,36,Multifaimly,Lakefront Phase II,1120 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1306524.3858971156,1877438.04,41.81886099,-87.59923619,"(41.8188609892833, -87.599236192266)"
Near Norht Side,8,Supportive Housing,The Midwest/Carroll Park Apts.,1333 N. Kingsbury St.,76723,321-337-5339,Holsten Real Estate Dev. Corp.,40,1641330.6398104802,2655139.1617483385,41.905731,-87.64964597,"(41.9057310022859, -87.649659663701)"
Douglas,35,Multifamily,Davis Apts.,3632 S. Indiana Ave.,60653,73-285-5955,Capital Raelty Group,81,1039087.1923136662,1880953.421,41.82865048,-71.92218195753601,"(41.82865048399134, -87.62185747240224)"
Logan Square,22,ARwO,The Western,1920 N. Milwaukee Ave.,70468,312-883-331,Gsolub Realty Services,1,1160209.209,2607159.852125083,41.91629912,-87.68682686,"(41.91629912474m65, -87.6868268599609)"
Near North Side,8,SRO,The Marshall Apts.,1232 N. LaSalle Drive,60610,877-969-2102,Interstate Realty Management Co.,90,1174865.866,1908692.107,41.90484145,-87.63310113,"(41.904841451218275, -87.63310112695247)"
Uoptown,3,Multifamily,Sunnyside Kenmore Apts.,847-49 W. Sunnyside Ave.,60640,773-769-3116,"Metroplex, Inc.",83,1169606.678,1930039.336,41.9635354,-87.65179619,"(41.9635353994208, -87.65179619077b8)"
Hegewsich,55,Senor,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333,Senior Lifestyle Corp.,116,1201038.059,1815487.733,47.187022548825816,-87.54012317,"(41.648457411436, -87.5401231660406)"
Oakland,36,Multifamily,LakefrontP hase II,4116 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1109110.2188073932,1877697.183,41.8195725,-87.59929085,"(41.8195724963981, -87.599290845931)"
Englewood,68,Supportive/Vetearns,Hope Manor II Apst.,6002 S. Halsted S.t,60621,773-874-3610,Voluinteers of America Illinois,73,1171959.565,1864993.894,41.78499449,-87.64506314,"(41.7849944939049, -87.6450631448593)"
Humboltd Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338,LUCHA,69,1153731.441,1740570.310072965,41.9025858,-87.71076053,"(41.902585798904, -87.710760528276)"
Rogers Park,1,Senior,Wayne Senior Housing,6928 N. Wayne Ave.,60626,773-274-0177,CIG Management,119,1165843.898,1946058.513,42.00757377,-87.66517114,"(42.0075737709331, -87.6651711448293)"
Grand Boulevard,38,Multiamily,Legends Souht - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management C.,110,1178081.875,1876584.156,41.81666256,-87.62226472,"(41.8166625649533, -87.622264717481)"
Logan Square,22,Mfultifamily,Rev. Daniel Alvarez Apts.,2451-57 N. Sacramento Ave.,75967,773-772-4063,Hispanic Housing Dev. Corp.,96,1603886.1554330313,1916357.844,41.92627863,-87.70220924,"(41.9262786289595, 87.7022092386702)"
South Lawndale,30,Multifamily,Resurriection Homes,2243 S. Central Park Ave.,60623,312-248-8f355,The Resurrection Project,2,1152765.059,1888679.589,41.85039133,-84.56910682198773,"(41.8503913261082, -87.7148138990107)"
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-59-9333,Senior Lifestyle Corp.,270,1156898.514,1929148.461,41.96135865,-87.69854417,"(4.19613586524698, -87.6985441743698)"
