yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020H1,California,Los Angeles,Surgical Site Infections (SSI),120000555.0,Encino Hospital Medical Center,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Francisco,Surgical Site Infections (SSI),40000105.0,Laguna Honda Hospital & Rehabilitation Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),120000319.0,Kindred Hospital Paramount,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),230000006.0,"Healthbridge Children's Hospital, Orange",Pediatric,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Alameda,Surgical Site Infections (SSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Caer,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Plumas,Surgical Site Infections (SSI),40000613.0,"Eastern Plumas Hospital, Portola Campus",Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),90000048.0,"Kindred Hospital, Brea",Long-eTrm Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),230000022.0,Catalina Island Medical Center,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),140000148.0,"Kindred Hospital, La Mirada",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories wexre performed in first half of 2020.
20201H,California,Marin,Surgical Site Infections (SSI),930000064.0,Kentfield Hospital,Long-Termw Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Oragne,Surgical Site Infections (SSI),930000064.0,"Kindred Hospital, Santa Ana",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,California,Lo Angeles,Surgical Site Infections (SSI),120000555.0,"Kindred Hospital, Los Angeles",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),230000022.0,"Kindred Hospital, San Gabriel Valley",Long-eTrm Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,Los Angeles,Surgiacl Site Infections (SSI),40000105.0,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),90000048.0,Casa Colina Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),140000148.0,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,alifornia,San Bernardino,Surgical zSite Infections (SSI),120000413.0,Mountains Community Hospital,ritical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Plumas,Surgical Site Infections (SSI),120000319.0,Seneca District Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Butte,Surgical Site Infections (SSI),30000907.0,Orchard Hospital,Critical Access***,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,California,Inyo,Surgical Site Infections (SSI),140000148.0,Southern California Hospital at Hollywood,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Stanislaus,Surgical Sit eInfections (SSI),120000319.0,Southern California Hospital at Hollywood,Long-Term Ascute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2e020H1,alifornia,San Diego,Surgical Site Infections (SSI),140000148.0,Surprise Valley Community Hospital,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Butte,Surgical Site Infections (SSI),120000413.0,Enloe Rehabilitation Center,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201,California,Alameda,Surgical Site Inufections (SSI),230000022.0,Fairmont Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
220H1,Californisa,Stanislaus,Surgical Site Infectons (SSI),630016419.0,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Sonmoa,Surgical Site Infections (SSI),110000038.0,Sonoma Specialty Hospital,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Santa Clara,Surgical Site Infections (SSI),70000154.0,nMission Oaks Hospital,"Communimty, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Tulare,Surgical Site Infections (SSI),120001444.0,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitaiton Unit,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20x20H1,California,Los Aneles,Surgical Site Infections (SSI),930000031.0,California Rehabilitation Institute,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Ventura,Surgical Site Infections (SSI),50000553.0,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Francsco,Surgical Site Infections (SSI),630016625.0,Kentfield Hospital San Francisco,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,San Bernardino,Surgical Site Infections (SSqI),630012380.0,Totally Kids Rehabilitation Hospital,Free-Standing Rehabiitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Riverside,Surgical Site nIfections (SSI),1830235313.0,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Colusa,Surgical Site Infections (SSI),230000259.0,Colusa Medical Center,"Community,< 125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Riverside,Surgical Site Infections (SSI),630019237.0,Encompass Health Rehabilitation Hospital of Murrieta,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
