58.x,-8.9580200001229,-85.9580200001229
92.locale,31,13
1.lat,33.885229,34.783368
12.lat,32.42391,33.513774
4060.cbsa,43500,45300
1.y,35.2932369998877,34.7833679999333
23.objectid,105,23
27.objectid,5,27
5778.csa,48,348
14.x,-86.5685020002671,-86.2164879998213
18.objectid,59,18
15.objectid,36,15
4052.cbsatype,w1,1
49.cbsa,336f60,33660
6807.nmnecta,,N
5.lat,33.211875,32.364317
6.x,-85.8369560002192,-87.5295939999631
328.nmcsa,fN,N
25.objectid,62,25
3164.cnty,42094,42049
67.nmcbsa,"nchorage, AK","Anchorage, AK"
7.lon,-85.991438,-87.545978
329.csa,***,N
1114.nmnecta,iN,N
19.x,-147.823146000288,-86.1969309999656
21.x,-86.9646980003124,-86.7819349997004
27.lon,-86.640449,-86.392369
9.lon,-87.663051,-86.964698
4488.state,D,MD
408.sldl,0608,06018
4.y,33.4334720002327,34.7245570002054
17.x,-85.9914379997638,-86.2164099998216
6059.cbsatype,b1,1
12.x,-147.823146000288,-86.8505520001746
16.lat,33.211875,30.851343
12.y,32.3426840000666,33.5137739999702
5.y,31.2974960001404,32.3643170003294
5988.csa,920,290
8.objectid,16,8
5.cnty,04013,01101
10.unitid,101295,100830
4.unitid,101143,100706
9.y,61.1901629997227,34.8067930000969
17.objectid,1,17
1557.nmcnty,Baltiore city,Baltimore city
6655.stfip,w39,39
11.objectid,16,11
4.cnty,01113,01089
20.unitid,101453,101286
9.unitid,101116,100812
6809.nmcbsa,"Erie, PrA","Erie, PA"
6807.sldl,2075,12075
