objectid(long),datevalue,countvalue(double precision)
141,08/14/2020 10:00:00 AM,5962.0
142,08/15/2020 10:00:00 AM,5995.0
143,08/16/2020 10:00:00 AM,6004.0
144,08/17/2020 10:00:00 AM,6008.0
145,08/18/2020 10:00:00 AM,6008.0
146,08/19/2020 10:00:00 AM,6030.0
147,08/20/2020 10:00:00 AM,6040.0
148,08/21/2020 10:00:00 AM,6047.0
149,08/22/2020 10:00:00 AM,6047.0
150,08/23/2020 10:00:00 AM,6047.0
151,08/24/2020 10:00:00 AM,6047.0
152,08/25/2020 10:00:00 AM,6056.0
153,08/26/2020 10:00:00 AM,27878.37927973213
154,08/27/2020 10:00:00 AM,6080.0
155,08/28/2020 10:00:00 AM,6124.0
156,08/29/2020 10:00:00 AM,6124.0
1370,08/30/2020 10:00:00 AM,6124.0
158,08/31/2020 10:00:00 AM,6124.0
159,09/01/2020 10:00:00 AM,6976.0
160,09/02/2020 10:00:00 AM,7026.0
161,09/03/2020 10:00:00 AM,7039.0
162,09/04/2020 10:00:00 AM,7072.0
163,09/05/2020 10:00:00 AM,7099.0
164,09/06/2020 10:00:00 AM,7103.0
165,09/07/2020 10:00:00 AM,7112.0
166,09/08/2020 10:00:00 AM,7142.0
1363,09/09/2020 10:00:00 AM,7157.0
1338,09/10/2020 10:00:00 AM,7166.0
169,09/11/2020 10:00:00 AM,7186.0
170,09/12/2020 10:00:00 AM,7221.0
171,09/13/2020 10:00:00 AM,7225.0
172,09/14/2020 10:00:00 AM,7229.0
173,09/15/2020 10:00:00 AM,7254.0
174,09/16/2020 10:00:00 AM,7286.0
175,09/17/2020 10:00:00 AM,7311.0
176,09/18/2020 10:00:00 AM,7351.0
177,09/19/2020 10:00:00 AM,7374.0
178,09/20/2020 10:00:00 AM,7377.0
179,09/21/2020 10:00:00 AM,7377.0
180,09/22/2020 10:00:00 AM,7394.0
181,09/23/2020 10:00:00 AM,7396.0
182,09/24/2020 10:00:00 AM,7416.0
183,09/25/2020 10:00:00 AM,7431.0
1417,09/26/2020 10:00:00 AM,7458.0
185,09/27/2020 10:00:00 AM,7463.0
1447,09/28/2020 10:00:00 AM,-3569.062244865962
187,09/29/2020 10:00:00 AM,7509.0
188,09/30/2020 10:00:00 AM,7536.0
189,10/01/2020 10:00:00 AM,7568.0
190,10/02/2020 10:00:00 AM,7606.0
191,10/03/2020 10:00:00 AM,7652.0
192,10/04/2020 10:00:00 AM,7653.0
193,10/05/2020 10:00:00 AM,7657.0
194,10/06/2020 10:00:00 AM,7661.0
195,10/07/2020 10:00:00 AM,7665.0
196,10/08/2020 10:00:00 AM,7676.0
197,10/09/2020 10:00:00 AM,7704.0
198,10/10/2020 10:00:00 AM,7721.0
199,10/11/2020 10:00:00 AM,7738.0
1389,10/12/2020 10:00:00 AM,7738.0
201,10/13/2020 10:00:00 AM,7744.0
202,10/14/2020 10:00:00 AM,7812.0
203,10/15/2020 10:00:00 AM,7851.0
204,10/16/2020 10:00:00 AM,7869.0
205,10/17/2020 10:00:00 AM,-3573.9139023590938
206,10/18/2020 10:00:00 AM,7890.0
1340,10/19/2020 10:00:00 AM,23343.40545975972
208,10/20/2020 10:00:00 AM,7926.0
209,10/21/2020 10:00:00 AM,7960.0
210,10/22/2020 10:00:00 AM,7999.0
211,10/23/2020 10:00:00 AM,8030.0
212,10/24/2020 10:00:00 AM,8055.0
213,10/25/2020 10:00:00 AM,8064.0
1414,10/26/2020 10:00:00 AM,8067.0
215,10/27/2020 10:00:00 AM,8099.0
216,10/28/2020 10:00:00 AM,-3466.9778082484845
217,10/29/2020 10:00:00 AM,8144.0
218,10/30/2020 10:00:00 AM,8164.0
219,10/31/2020 10:00:00 AM,8181.0
220,11/01/2020 10:00:00 AM,8199.0
1273,11/02/2020 10:00:00 AM,8201.0
222,11/03/2020 10:00:00 AM,8223.0
223,11/04/2020 10:00:00 AM,8235.0
224,11/05/2020 10:00:00 AM,8255.0
225,11/06/2020 10:00:00 AM,8262.0
226,11/07/2020 10:00:00 AM,8284.0
227,11/08/2020 10:00:00 AM,8291.0
228,11/09/2020 10:00:00 AM,8297.0
229,11/10/2020 10:00:00 AM,8305.0
230,11/11/2020 10:00:00 AM,8313.0
231,11/12/2020 10:00:00 AM,22001.654698070943
232,11/13/2020 10:00:00 AM,8343.0
233,11/14/2020 10:00:00 AM,8362.0
234,11/15/2020 10:00:00 AM,8374.0
235,11/16/2020 10:00:00 AM,8380.0
236,11/17/2020 10:00:00 AM,8408.0
1248,11/18/2020 10:00:00 AM,8421.0
238,11/19/2020 10:00:00 AM,8441.0
239,11/20/2020 10:00:00 AM,8474.0
240,11/21/2020 10:00:00 AM,8498.0
241,11/22/2020 10:00:00 AM,8506.0
242,11/23/2020 10:00:00 AM,8511.0
1324,11/24/2020 10:00:00 AM,8517.0
244,11/25/2020 10:00:00 AM,8549.0
245,11/26/2020 10:00:00 AM,8561.0
246,11/27/2020 10:00:00 AM,8565.0
247,11/28/2020 10:00:00 AM,8599.0
248,11/29/2020 10:00:00 AM,8607.0
249,11/30/2020 10:00:00 AM,8608.0
250,12/01/2020 10:00:00 AM,8613.0
251,12/02/2020 10:00:00 AM,8648.0
252,12/03/2020 10:00:00 AM,8675.0
253,12/04/2020 10:00:00 AM,8751.0
254,12/05/2020 10:00:00 AM,8780.0
255,12/06/2020 10:00:00 AM,8785.0
256,12/07/2020 10:00:00 AM,8797.0
257,12/08/2020 10:00:00 AM,8801.0
258,12/09/2020 10:00:00 AM,8833.0
259,12/10/2020 10:00:00 AM,8878.0
260,12/11/2020 10:00:00 AM,8910.0
261,12/12/2020 10:00:00 AM,8938.0
262,12/13/2020 10:00:00 AM,8944.0
263,12/14/2020 10:00:00 AM,8951.0
264,12/15/2020 10:00:00 AM,8958.0
265,12/16/2020 10:00:00 AM,8966.0
266,12/17/2020 10:00:00 AM,9044.0
267,12/18/2020 10:00:00 AM,9064.0
268,12/19/2020 10:00:00 AM,9098.0
269,12/20/2020 10:00:00 AM,9114.0
270,12/21/2020 10:00:00 AM,9128.0
271,12/22/2020 10:00:00 AM,9128.0
272,12/23/2020 10:00:00 AM,9197.0
273,12/24/2020 10:00:00 AM,26968.375660883597
274,12/25/2020 10:00:00 AM,9272.0
275,12/26/2020 10:00:00 AM,9272.0
276,12/27/2020 10:00:00 AM,20525.672739175083
277,12/28/2020 10:00:00 AM,9300.0
278,12/29/2020 10:00:00 AM,9302.0
279,12/30/2020 10:00:00 AM,9302.0
280,12/31/2020 10:00:00 AM,21774.582874506574
281,01/01/2021 10:00:00 AM,9358.0
282,01/02/2021 10:00:00 AM,9374.0
283,01/03/2021 10:00:00 AM,9378.0
284,01/04/2021 10:00:00 AM,9383.0
285,01/05/2021 10:00:00 AM,9388.0
1432,01/06/2021 10:00:00 AM,9391.0
287,01/07/2021 10:00:00 AM,9404.0
288,01/08/2021 10:00:00 AM,9419.0
289,01/09/2021 10:00:00 AM,9427.0
1434,01/10/2021 10:00:00 AM,26067.86195952085
1360,01/11/2021 10:00:00 AM,9431.0
292,01/12/2021 10:00:00 AM,9434.0
293,01/13/2021 10:00:00 AM,9439.0
294,01/14/2021 10:00:00 AM,9443.0
295,01/15/2021 10:00:00 AM,9444.0
296,01/16/2021 10:00:00 AM,9451.0
297,01/17/2021 10:00:00 AM,9454.0
298,01/18/2021 10:00:00 AM,27061.49383173284
299,01/19/2021 10:00:00 AM,9456.0
300,01/20/2021 10:00:00 AM,9457.0
301,01/21/2021 10:00:00 AM,9459.0
302,01/22/2021 10:00:00 AM,9469.0
303,01/23/2021 10:00:00 AM,9471.0
304,01/24/2021 10:00:00 AM,-3666.379962402658
305,01/25/2021 10:00:00 AM,9474.0
306,01/26/2021 10:00:00 AM,24670.55917413465
307,01/27/2021 10:00:00 AM,9479.0
308,01/28/2021 10:00:00 AM,9479.0
309,01/29/2021 10:00:00 AM,9482.0
310,01/30/2021 10:00:00 AM,9491.0
1333,01/31/2021 10:00:00 AM,9499.0
312,02/01/2021 10:00:00 AM,9501.0
313,02/02/2021 10:00:00 AM,9502.0
314,02/03/2021 10:00:00 AM,9511.0
315,02/04/2021 10:00:00 AM,9511.0
316,02/05/2021 10:00:00 AM,9514.0
317,02/06/2021 10:00:00 AM,-3521.0603555156613
318,02/07/2021 10:00:00 AM,9525.0
319,02/08/2021 10:00:00 AM,9526.0
320,02/09/2021 10:00:00 AM,9526.0
321,02/10/2021 10:00:00 AM,9526.0
322,02/11/2021 10:00:00 AM,9554.0
323,02/12/2021 10:00:00 AM,9559.0
324,02/13/2021 10:00:00 AM,9565.0
325,02/14/2021 10:00:00 AM,9569.0
326,02/15/2021 10:00:00 AM,9569.0
327,02/16/2021 10:00:00 AM,9571.0
328,02/17/2021 10:00:00 AM,9571.0
329,02/18/2021 10:00:00 AM,9587.0
1258,02/19/2021 10:00:00 AM,9591.0
331,02/20/2021 10:00:00 AM,9600.0
332,02/21/2021 10:00:00 AM,9606.0
333,02/22/2021 10:00:00 AM,9606.0
334,02/23/2021 10:00:00 AM,9606.0
335,02/24/2021 10:00:00 AM,9626.0
336,02/25/2021 10:00:00 AM,9635.0
1414,02/26/2021 10:00:00 AM,27200.739153646497
338,02/27/2021 10:00:00 AM,9659.0
339,02/28/2021 10:00:00 AM,9667.0
340,03/01/2021 10:00:00 AM,9669.0
341,03/02/2021 10:00:00 AM,9677.0
342,03/03/2021 10:00:00 AM,9685.0
343,03/04/2021 10:00:00 AM,9691.0
344,03/05/2021 10:00:00 AM,9701.0
345,03/06/2021 10:00:00 AM,9703.0
346,03/07/2021 10:00:00 AM,9703.0
347,03/08/2021 10:00:00 AM,9707.0
348,03/09/2021 10:00:00 AM,-3511.537850632932
349,03/10/2021 10:00:00 AM,9727.0
350,03/11/2021 10:00:00 AM,9732.0
351,03/12/2021 10:00:00 AM,9748.0
352,03/13/2021 10:00:00 AM,9765.0
353,03/14/2021 10:00:00 AM,9765.0
354,03/15/2021 10:00:00 AM,9765.0
355,03/16/2021 10:00:00 AM,9765.0
356,03/17/2021 10:00:00 AM,9765.0
357,03/18/2021 10:00:00 AM,-3478.510701333068
358,03/19/2021 10:00:00 AM,9797.0
359,03/20/2021 10:00:00 AM,9799.0
360,03/21/2021 10:00:00 AM,-3632.199403128364
361,03/22/2021 10:00:00 AM,9800.0
362,03/23/2021 10:00:00 AM,9800.0
363,03/24/2021 10:00:00 AM,9800.0
364,03/25/2021 10:00:00 AM,9808.0
365,03/26/2021 10:00:00 AM,9830.0
366,03/27/2021 10:00:00 AM,9830.0
367,03/28/2021 10:00:00 AM,9845.0
368,03/29/2021 10:00:00 AM,9845.0
369,03/30/2021 10:00:00 AM,9845.0
370,03/31/2021 10:00:00 AM,9862.0
371,04/01/2021 10:00:00 AM,9875.0
372,04/02/2021 10:00:00 AM,9881.0
373,04/03/2021 10:00:00 AM,9914.0
374,04/04/2021 10:00:00 AM,9918.0
375,04/05/2021 10:00:00 AM,9919.0
376,04/06/2021 10:00:00 AM,9919.0
1447,04/07/2021 10:00:00 AM,9953.0
378,04/08/2021 10:00:00 AM,9969.0
379,04/09/2021 10:00:00 AM,9989.0
380,04/10/2021 10:00:00 AM,10006.0
381,04/11/2021 10:00:00 AM,10026.0
382,04/12/2021 10:00:00 AM,10026.0
383,04/13/2021 10:00:00 AM,10026.0
384,04/14/2021 10:00:00 AM,10044.0
385,04/15/2021 10:00:00 AM,10045.0
386,04/16/2021 10:00:00 AM,10072.0
387,04/17/2021 10:00:00 AM,10089.0
1409,04/18/2021 10:00:00 AM,10095.0
1473,04/19/2021 10:00:00 AM,10095.0
390,04/20/2021 10:00:00 AM,10095.0
391,04/21/2021 10:00:00 AM,10115.0
392,04/22/2021 10:00:00 AM,10116.0
393,04/23/2021 10:00:00 AM,10139.0
394,04/24/2021 10:00:00 AM,10162.0
395,04/25/2021 10:00:00 AM,10176.0
396,04/26/2021 10:00:00 AM,10176.0
397,04/27/2021 10:00:00 AM,10176.0
398,04/28/2021 10:00:00 AM,10194.0
399,04/29/2021 10:00:00 AM,-3633.991687949776
400,04/30/2021 10:00:00 AM,10236.0
401,05/01/2021 10:00:00 AM,26731.28928616319
402,05/02/2021 10:00:00 AM,10237.0
403,05/03/2021 10:00:00 AM,10237.0
404,05/04/2021 10:00:00 AM,10239.0
405,05/05/2021 10:00:00 AM,10255.0
1411,05/06/2021 10:00:00 AM,10274.0
407,05/07/2021 10:00:00 AM,10302.0
408,05/08/2021 10:00:00 AM,10341.0
1264,05/09/2021 10:00:00 AM,22883.599618616205
410,05/10/2021 10:00:00 AM,10365.0
411,05/11/2021 10:00:00 AM,22401.47811277728
412,05/12/2021 10:00:00 AM,10395.0
413,05/13/2021 10:00:00 AM,10420.0
414,05/14/2021 10:00:00 AM,27446.942545137616
415,05/15/2021 10:00:00 AM,10471.0
416,05/16/2021 10:00:00 AM,10497.0
417,05/17/2021 10:00:00 AM,25854.924791611276
418,05/18/2021 10:00:00 AM,10508.0
419,05/19/2021 10:00:00 AM,10544.0
420,05/20/2021 10:00:00 AM,10574.0
421,05/21/2021 10:00:00 AM,10588.0
422,05/22/2021 10:00:00 AM,10609.0
423,05/23/2021 10:00:00 AM,10609.0
1331,05/24/2021 10:00:00 AM,10609.0
425,05/25/2021 10:00:00 AM,24898.58077901056
426,05/26/2021 10:00:00 AM,10610.0
427,05/27/2021 10:00:00 AM,10628.0
428,05/28/2021 10:00:00 AM,10657.0
429,05/29/2021 10:00:00 AM,10679.0
430,05/30/2021 10:00:00 AM,10684.0
431,05/31/2021 10:00:00 AM,10684.0
432,06/01/2021 10:00:00 AM,10684.0
1303,06/02/2021 10:00:00 AM,28323.37880270504
434,06/03/2021 10:00:00 AM,21398.33675936625
435,06/04/2021 10:00:00 AM,10701.0
436,06/05/2021 10:00:00 AM,10701.0
437,06/06/2021 10:00:00 AM,10706.0
438,06/07/2021 10:00:00 AM,10710.0
1287,06/08/2021 10:00:00 AM,10718.0
440,06/09/2021 10:00:00 AM,10745.0
441,06/10/2021 10:00:00 AM,10753.0
442,06/11/2021 10:00:00 AM,10776.0
443,06/12/2021 10:00:00 AM,10792.0
444,06/13/2021 10:00:00 AM,10804.0
445,06/14/2021 10:00:00 AM,10804.0
446,06/15/2021 10:00:00 AM,10804.0
447,06/16/2021 10:00:00 AM,10824.0
448,06/17/2021 10:00:00 AM,10868.0
449,06/18/2021 10:00:00 AM,10900.0
1303,06/19/2021 10:00:00 AM,10906.0
451,06/20/2021 10:00:00 AM,10908.0
452,06/21/2021 10:00:00 AM,10909.0
453,06/22/2021 10:00:00 AM,10915.0
454,06/23/2021 10:00:00 AM,10957.0
455,06/24/2021 10:00:00 AM,10968.0
456,06/25/2021 10:00:00 AM,10971.0
457,06/26/2021 10:00:00 AM,11001.0
458,06/27/2021 10:00:00 AM,-3599.8092851949086
459,06/28/2021 10:00:00 AM,11003.0
460,06/29/2021 10:00:00 AM,-3486.8708302094665
461,06/30/2021 10:00:00 AM,11005.0
462,07/01/2021 10:00:00 AM,11005.0
463,07/02/2021 10:00:00 AM,11014.0
464,07/03/2021 10:00:00 AM,11026.0
465,07/04/2021 10:00:00 AM,11029.0
466,07/05/2021 10:00:00 AM,11029.0
467,07/06/2021 10:00:00 AM,11038.0
468,07/07/2021 10:00:00 AM,11041.0
469,07/08/2021 10:00:00 AM,11043.0
470,07/09/2021 10:00:00 AM,11046.0
471,07/10/2021 10:00:00 AM,21705.54250846272
472,07/11/2021 10:00:00 AM,11047.0
473,07/12/2021 10:00:00 AM,11047.0
474,07/13/2021 10:00:00 AM,11047.0
475,07/14/2021 10:00:00 AM,11050.0
476,07/15/2021 10:00:00 AM,11063.0
477,07/16/2021 10:00:00 AM,11063.0
478,07/17/2021 10:00:00 AM,11063.0
479,07/18/2021 10:00:00 AM,11063.0
480,07/19/2021 10:00:00 AM,11063.0
481,07/20/2021 10:00:00 AM,11063.0
482,07/21/2021 10:00:00 AM,11064.0
483,07/22/2021 10:00:00 AM,11072.0
484,07/23/2021 10:00:00 AM,11076.0
485,07/24/2021 10:00:00 AM,11085.0
1427,07/25/2021 10:00:00 AM,-3509.623861946893
487,07/26/2021 10:00:00 AM,11087.0
488,07/27/2021 10:00:00 AM,11087.0
489,07/28/2021 10:00:00 AM,11092.0
490,07/29/2021 10:00:00 AM,11093.0
491,07/30/2021 10:00:00 AM,24958.26360626474
492,07/31/2021 10:00:00 AM,26745.2255544366
493,08/01/2021 10:00:00 AM,11097.0
494,08/02/2021 10:00:00 AM,-3463.984864690329
495,08/03/2021 10:00:00 AM,11097.0
496,08/04/2021 10:00:00 AM,11104.0
497,08/05/2021 10:00:00 AM,11104.0
498,08/06/2021 10:00:00 AM,11120.0
499,08/07/2021 10:00:00 AM,11129.0
500,08/08/2021 10:00:00 AM,-3596.806665658829
501,08/09/2021 10:00:00 AM,11141.0
502,08/10/2021 10:00:00 AM,11150.0
503,08/11/2021 10:00:00 AM,11161.0
504,08/12/2021 10:00:00 AM,11162.0
505,08/13/2021 10:00:00 AM,11162.0
506,08/14/2021 10:00:00 AM,11163.0
507,08/15/2021 10:00:00 AM,11163.0
508,08/16/2021 10:00:00 AM,11163.0
509,08/17/2021 10:00:00 AM,11164.0
510,08/18/2021 10:00:00 AM,11165.0
511,08/19/2021 10:00:00 AM,11165.0
512,08/20/2021 10:00:00 AM,11165.0
513,08/21/2021 10:00:00 AM,11168.0
514,08/22/2021 10:00:00 AM,11171.0
1390,08/23/2021 10:00:00 AM,11174.0
516,08/24/2021 10:00:00 AM,11175.0
517,08/25/2021 10:00:00 AM,21342.569040001057
518,08/26/2021 10:00:00 AM,11176.0
519,08/27/2021 10:00:00 AM,11179.0
520,08/28/2021 10:00:00 AM,11184.0
521,08/29/2021 10:00:00 AM,11185.0
522,08/30/2021 10:00:00 AM,-3590.1559431152514
523,08/31/2021 10:00:00 AM,11187.0
524,09/01/2021 10:00:00 AM,11189.0
525,09/02/2021 10:00:00 AM,11192.0
526,09/03/2021 10:00:00 AM,11196.0
527,09/04/2021 10:00:00 AM,11206.0
528,09/05/2021 10:00:00 AM,11214.0
529,09/06/2021 10:00:00 AM,11214.0
530,09/07/2021 10:00:00 AM,11214.0
531,09/08/2021 10:00:00 AM,11216.0
532,09/09/2021 10:00:00 AM,11231.0
533,09/10/2021 10:00:00 AM,27409.820446291236
534,09/11/2021 10:00:00 AM,11243.0
535,09/12/2021 10:00:00 AM,11247.0
536,09/13/2021 10:00:00 AM,11248.0
537,09/14/2021 10:00:00 AM,11248.0
538,09/15/2021 10:00:00 AM,11249.0
539,09/16/2021 10:00:00 AM,11253.0
540,09/17/2021 10:00:00 AM,11256.0
541,09/18/2021 10:00:00 AM,24763.607708048425
542,09/19/2021 10:00:00 AM,11264.0
543,09/20/2021 10:00:00 AM,-3510.937321313095
544,09/21/2021 10:00:00 AM,-3490.5207661958334
545,09/22/2021 10:00:00 AM,11268.0
546,09/23/2021 10:00:00 AM,25316.239498459192
547,09/24/2021 10:00:00 AM,11270.0
548,09/25/2021 10:00:00 AM,11291.0
549,09/26/2021 10:00:00 AM,11293.0
1368,09/27/2021 10:00:00 AM,11301.0
551,09/28/2021 10:00:00 AM,11318.0
552,09/29/2021 10:00:00 AM,11323.0
553,09/30/2021 10:00:00 AM,11323.0
554,10/01/2021 10:00:00 AM,11354.0
555,10/02/2021 10:00:00 AM,11357.0
556,10/03/2021 10:00:00 AM,11357.0
557,10/04/2021 10:00:00 AM,11357.0
558,10/05/2021 10:00:00 AM,11357.0
559,10/06/2021 10:00:00 AM,11363.0
560,10/07/2021 10:00:00 AM,11370.0
561,10/08/2021 10:00:00 AM,11379.0
562,10/09/2021 10:00:00 AM,20805.038773910277
563,10/10/2021 10:00:00 AM,11389.0
564,10/11/2021 10:00:00 AM,11394.0
565,10/12/2021 10:00:00 AM,19937.077198130544
566,10/13/2021 10:00:00 AM,11399.0
567,10/14/2021 10:00:00 AM,24257.977238661908
1450,10/15/2021 10:00:00 AM,11411.0
569,10/16/2021 10:00:00 AM,11413.0
570,10/17/2021 10:00:00 AM,11413.0
571,10/18/2021 10:00:00 AM,11413.0
572,10/19/2021 10:00:00 AM,11413.0
573,10/20/2021 10:00:00 AM,11418.0
574,10/21/2021 10:00:00 AM,25060.94703118001
575,10/22/2021 10:00:00 AM,11424.0
576,10/23/2021 10:00:00 AM,11426.0
577,10/24/2021 10:00:00 AM,11427.0
578,10/25/2021 10:00:00 AM,11427.0
579,10/26/2021 10:00:00 AM,11438.0
580,10/27/2021 10:00:00 AM,11449.0
581,10/28/2021 10:00:00 AM,11451.0
582,10/29/2021 10:00:00 AM,11452.0
583,10/30/2021 10:00:00 AM,20127.45172372636
1385,10/31/2021 10:00:00 AM,11459.0
585,11/01/2021 10:00:00 AM,11459.0
586,11/02/2021 10:00:00 AM,11459.0
587,11/03/2021 10:00:00 AM,11466.0
1465,11/04/2021 10:00:00 AM,11476.0
589,11/05/2021 10:00:00 AM,11484.0
590,11/06/2021 10:00:00 AM,26601.980374808183
591,11/07/2021 10:00:00 AM,11488.0
592,11/08/2021 10:00:00 AM,11488.0
593,11/09/2021 10:00:00 AM,11493.0
594,11/10/2021 10:00:00 AM,11501.0
595,11/11/2021 10:00:00 AM,11520.0
