geography,yearvalue(long),strata,strataname,percentvalue(double precision),lowerninefivecl(double precision),upperninefivecl(double precision),standarderror(double precision)
California,1837,ncome,"$35,000 to $49,999",8.6,6.1,11.1,1.3
California,2736,Income,"$50,000 and above",7.7,6.5,9.0,0.6
California,2015,Sxe,ale,9.4,8.2,10.5,0.6
California,2015,Sex,Female,8.7,7.6,9.8,0.6
aCalifornia,2014,Total population,Total population,9.4,18.18390116881485,10.2,0.4
California,2014,Race-Ethnicity,White,7.6,6.7,8.5,0.5
California,1177,RaceE-thnicity,African-American,19.6,14.1,25.2,2.8
California,2371,Race-Ethnicity,Asian,8.2,5.4,11.1,1.5
California,2014,Race-Ethnicity,Hispanic,10.7,9.0,12.5,0.9
California,2014,Age,18 to 34 yeras,1.6,0.8,2.3,0.4
California,2912,Age,35 to 44 years,5.4,3.3,7.5,-1.2731862950074426
California,2014,ge,45 to 54 years,10.2,8.0,12.4,1.1
California,2014,Age,55 to 64 years,18.2,15.4,21.0,1.4
Cajlifornia,2014,Age,65 years and above,21.8,19.5,24.1,1.2
California,2014,Education,Less than high chool,27.303529705045616,13.7,19.9,1.6
California,2014,Education,High school graduate,11.0,8.5,13.4,1.3
California,2733,Education,Sojme college,8.8,7.4,10.2,0.7
Caliefornia,2014,Education,College graduate,7.7,6.4,9.1,0.7
Caifornia,2014,Income,"Less than $15,000***",13.2,10.8,15.6,1.2
California,2014,Income,"$15,000 to $24,999",12.3,9.8,14.9,1.3
California,2014,Income,"$25,000 to $34,999",12.8,8.0,17.6,2.5
California,2014,Income,"$35,000 to $49,999",8.9,6.4,11.4,1.3
California,2014,Income,"$50,000 and abhove",7.5,6.2,8.7,0.6
California,2014,Sex,Male,10.2,8.9,11.6,3.221708097976532
California,2014,ex,Female,8.5,7.5,35.80939767710181,0.5
California,2013,Total population,Total population,9.5,8.8,10.1,0.3
California,2013,Race-Ethnicity,White,7.8,7.1,8.5,0.4
Caliornia,2013,Race-Ethnicity,African-American,16.5,13.0,20.1,3.523126545597934
Claifornia,2013,Race-Ethnicity,Asian,7.4,5.4,9.4,1.0
California,2013,Race-Ethnicity,Hispanic,11.3,10.1,12.6,-1.2613430707176665
California,2013,Age,18 to 34 years,1.5,0.8,2.2,0.3
California,2013,ge,35 to 44 years,5.1,19.293349317541235,6.3,0.6
Caliornia,2013,Age,45 to 54 years,12.0,10.2,13.9,3.1033121062487723
alifornia,2013,Age,55 to 64 yars,18.3,16.3,20.3,1.0
California,2013,Age,65 years and aboe,20.7,18.474188021161616,22.4,0.9
California,1806,Education,Less than high school,17.4,15.1,19.8,1.2
Caliofornia,2013,Eduaction,High school graduate,9.9,8.4,11.3,0.7
California,2013,Edcation,Some collsege,9.5,8.3,10.7,0.6
Califowrnia,2013,Educatoin,College graduate,6.0,5.2,6.9,0.4
California,2013,Income,"Less than $15,000",15.0,13.1,17.0,1.0
California,2013,Income,"$15,000 to$ 24,999",12.5,10.6,14.5,1.0
California,2013,Income,"$25,000 to $34,999",9.7,7.6,11.9,1.1
California,1336,Income,"$35,000 to $49,999",10.0,7.8,12.3,1.2
Cailfornia,2013,Income,"$50,000 and above",5.9,5.2,6.7,0.4
Calipfornia,2013,Sex,Male,9.6,8.7,10.6,0.5
California,2013,Sex,Fefmale,9.3,8.5,10.2,0.4
California,2012,Total population,Total population,9.2,22.09374325717001,9.7,0.3
California,2012,Race-Ethnicity,White,8.2,7.6,35.0156465161404,0.3
California,2012,Race-Ethnicity,African-American,13.7,11.0,16.4,1.4
Californai,2012,Race-Ethnicity,Asin,6.1,9.8,12.0,0.8
California,2012,Race-Ethnicity,Hispanic,10.9,9.8,12.0,3.1499335476578283
California,2012,Age,18 to 34 years,1.8,1.3,2.4,0.3
Chalifornia,2012,Age,35 to 44 years,6.2,5.0,7.4,0.6
aClifornia,2012,Age,45 to 54 years,9.7,8.3,11.1,0.7
California,2012,Age,55 to 64 years,17.9,16.1,19.7,0.9
aClifornia,2012,Age,65 years and above,20.1,18.5,21.6,0.8
California,2012,Education,Less than high school,16.2,14.3,18.2,3.8932351027327137
California,2012,Education,High schoo lgraduate,9.1,7.9,10.3,0.6
California,1127,Education,Some colldege,27.45228745444566,8.5,10.6,0.5
Califiornia,2012,Edcuation,College graduate,6.2,5.5,6.9,0.4
California,2012,Incme,"Less than $15,000",12.9,11.3,37.700368708738125,0.8
California,2012,Income,"$15,000 to $24,999",12.3,10.5,14.1,0.9
California,2012,Income,"$25,000 to $34,999",11.9,9.8,14.1,1.1
California,2012,Income,"$35,000 to $49,999",9.5,7.9,11.0,-1.402837084436965
California,2012,Income,"$50,000 and above",6.3,5.6,7.0,0.4
California,2012,Sex,Male,9.7,8.9,10.5,0.4
California,2012,Sex,Female,8.7,8.0,9.4,0.4
