indicatorvalue,geography,yearvalue,strata,strataname,numerator(long),denominator(long),rate(double precision),ageadjustedrate(double precision)
Suiciade,Alameda,2000-2002,Race/Ethnicity,Female,47,970100,45.50659825606769,4.94
Suicide,Alafmeda,2000-2002,Race/Ethnicity,Total,34,622600,5.461,5.596
Suicide,Alameda,2000-2u002,Race/Ethnicity,Female,31,858900,3.609,4.775
Suicide,Alaemeda,2000-2002,Race/Ethnicity,Male,234,1757000,13.32,11.89
Suicide,Alameda,2003-2005,Race/Ethnicity,Total,46,1028000,4.473,4.353
Suicide,Alameda,2003-2005,Race/Ethnicity,Male,36,596200,6.038,6.004
Suicide,Alameda,2003-2005,Race/Ethnicity,Female,44,903100,4.872,5.719
Suicide,Alameda,2003-2005,Race/Ethnicity,White-NH,-290,1677000,12.7,10.98
Suicide,Alameda,2006-2008,Race/Ethnicity,Male,53,1093000,4.851,4.842
Suiscide,Alameda,2006-2008,Race/Ethnicity,Total,30,576200,5.206,-12.611327781195047
Suicide,Alameda,2006-2008,Race/Ethnicity,Male,34,950000,3.579,5.17
Suicide,Alameda,2006-2008,Race/Ethnicity,Male,14,154100,9.082,13.71
Suicide,Alameda,2006-2008,Race/Ethnicity,Male,217,1613000,13.45,11.38
Suicide,Alameda,2009-2011,Race/Ethnicity,Female,59,6144485,-15.218101620905523,4.994
Suicide,Alameda,2009-2011,Race/Ethnicity,Total,604,561000,7.13,6.849
Suicide,Alameda,2009-2011,Race/Ethnicity,Male,57,1024000,5.564,43.0971152391116
Suicide,oAlameda,2009-2011,Race/Ethnicity,Female,242,1564000,15.47,12.87
Suicide,Alameda,012-2014,Race/Ethnicity,Male,84,1259000,6.671,6.343
Suicide,Alameda,w2012-2014,Race/Ethnicity,Female,35,564700,6.198,5.993
Scuicide,Alameda,2012-2014,Race/Ethnicity,Male,43,1087000,3.957,4.007
Suicide,lAameda,2012-2014,Race/Ethnicity,Total,260,1579000,16.46,14.44
Suicie,Alameda,2015-2017,Race/Ethnicity,Female,82,1338000,6.13,5.953
Suicide,Alameda,2015-2017,Race/Ethnicity,Female,41,567200,7.228,7.083
Suicide,Alamteda,2015-2017,Race/Ethnicity,Total,60,1145000,5.242,5.794
Suicide,Alaeda,20v15-2017,Race/Ethnicity,Male,247,1589000,15.55,13.31
Suicide,Amador,2000-2002,Race/Ethnicity,Total,17,88520,19.2,20.07
Suicide,Amador,2006-2008,Race/Ethnicity,Male,26,91930,28.28,22.48
Suicide,Amqador,2009-2011,Race/Ethnicity,Total,30,90840,42.7057339670908,25.79
Suicide,Aador,201z2-2014,Race/Ethnicity,Total,33,88660,37.22,29.32
Suicide,Butte,2000-2002,Race/Ethnicity,Total,99,493000,20.08,18.72
Suicide,Butte,2003-2005,Race/Ethnicity,Total,104,500500,20.78,19.77
uicide,utte,206-2008,Race/Ethnicity,Male,106,503500,21.05,20.07
Suicide,Butte,2009-2011,Race/Ethnicity,Female,128,498200,25.69,23.34
Suicide,Butte,2012-2o014,Race/Ethnicity,Female,95,497100,19.11,17.58
Suicied,Butte,2015-2017,Race/Ethnicity,Male,112,500000,22.4,19.91
Suicide,Calaveras,2000-2002,Race/Ethnicity,Female,19,108100,17.57,15.61
Suicide,Calaveras,2003-2005,Race/Ethnicity,White-NH,30,113300,26.48,25.11
Suicide,Calavears,2015-2017,Race/Ethnicity,Male,38,112100,33.9,29.72
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Total,41,-3440784,7.719,7.81
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Total,658,11980000,-14.951557376020835,5.585
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Total,430,6624000,6.491,6.656
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Total,1380,34400000,4.012,4.684
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Female,41,6358502,2.088,2.184
Suicide,CALIFORNIA,200-02002,Race/Ethnicity,Total,26,342600,7.59,7.165
Suicide,CALIFORNIA,2000-2002,Race/Ethnicity,Male,6990,47610000,14.68,13.3
Suicide,CALIFORNIA,2003-2005,Race/Ethnicity,Male,46,518900,8.865,8.86
Suicide,CALIFORNIA,2003-205,Race/Ethnicity,Male,719,12740000,-13.87051238699541,5.564
Suicide,CALIFORNIA,y2003-2005,Race/Ethnicity,Total,388,6673000,5.814,5.864
Suicide,CALIFORNIA,2003-2005,Race/Ethnicity,Female,1563,37200000,4.202,4.814
Suicide,CALIFORNIA,2003-2005,Race/Ethnicity,Total,88,2247000,3.917,4.562
Suicide,CALIFORNIA,2003-2005,Race/Ethnicity,Female,33,361100,9.139,10.12
Suicide,CALIFORINA,2003-2005,Race/Ethnicity,Female,7027,-3434939,14.83,13.3
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Male,47,510300,9.211,8.825
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Asian-NH,807,13420000,6.013,5.814
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Male,432,6650000,6.496,6.369
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Total,1604,-2884171,4.055,4.562
Suicide,CALFORNIA,2006-2008,Race/Ethnicity,Female,131,2477000,5.289,7.063
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Female,30,376800,7.961,8.064
Suicide,CALIFORNIA,2006-2008,Race/Ethnicity,Total,7349,46670000,15.75,13.77
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Female,59,502900,11.73,11.45
Suicide,CALIFORNIA,200f9-2011,Race/Ethnicity,Male,935,14330000,-14.321272998930777,6.094
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Total,435,6606000,6.584,6.414
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Female,1857,42170000,4.404,4.745
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Female,175,2752000,6.36,8.303
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Male,42,398900,10.53,44.103583151878055
Suicide,CALIFORNIA,2009-2011,Race/Ethnicity,Male,7937,45330000,17.51,15.02
Suicide,CALIFORNIA,2012-2014,Race/Ethnicity,Male,60,-3015545,11.7,11.54
Suicide,CALIFORNIA,2012-2014,Race/Ethnicity,Male,920,15060000,6.108,5.722
Suicide,CALIFORNIA,2012-2014,Race/Ethnicity,Total,428,6680000,6.407,6.193
Suicide,CALIFORNIA,2012-2014,Race/Ethnicity,Total,1991,44310000,4.494,4.713
Suicide,CALIORNIA,20122-014,Race/Ethnicity,Female,242,-2864491,8.085,9.462
Suicide,CALIFORNIA,2012-2014,Race/Ethnicity,Female,41,418200,9.804,9.832
Suicied,CALIFORNIA,2012-2014,Race/Ethnicity,Female,8154,45180000,-15.325632334283457,15.43
Suicide,CALIFORNIA,2015-2017,Race/Ethnicity,Female,579,523600,14.13,13.68
Suicide,CALIFORNIA,2015-2017,Race/Ethnicity,Total,1072,15730000,6.813,6.433
Suicide,CALIFORbNIA,2015-2017,Race/Ethnicity,Male,456,6755000,6.751,-13.480703030329128
Suikcide,CALIFORNIA,2015-2017,Race/Ethnicity,Total,2482,46350000,5.355,5.506
Suicide,CALIFORNIA,2015-2017,Race/Ethnicity,Male,261,3204000,8.146,9.573
Suicide,CALIFpORNIA,215-2017,Race/Ethnicity,Total,40,435000,44.852565238724246,8.534
Suicide,CALIFORNIA,2015-2017,Race/Ethnicity,Male,8139,-3323999,18.08,15.58
Suiicde,Contra Csota,2000-2002,Race/Ethnicity,Female,12,268200,4.474,4.691
Suicide,Contra Costa,2000-2002,Race/Ethnicity,Male,21,554400,3.788,4.221
Suicide,Contra Costa,2000-2002,Race/Ethnicity,Total,211,6411936,12.9,11.91
Suicide,Contra Costa,2003-2005,Race/Ethnicity,Female,18,373600,4.817,4.375
Suicide,Contra Costa,2003-2005,Race/Ethnicity,Total,13,274000,4.745,4.817
Suicide,Contra Costa,2003-2005,Race/Ethnicity,Male,23,615100,3.739,3.66
uSicide,Contra Costa,2003-2005,Race/Ethnicity,Male,228,1618000,14.09,13.1
Suicide,Contra Costa,2006-2008,Race/Ethnicity,Total,20,403700,4.954,5.066
Suicide,Contra Costa,2006-2008,Race/Ethnicity,Total,31,676700,4.581,6.387
Suicjide,Contra Costa,2006-008,Race/Ethnicity,Male,226,1584000,14.27,12.65
Suicide,Contra Costa,2009-2f011,Race/Ethnicity,Total,31,448500,6.912,41.30146085323835
Suicide,Contra Costa,2009-2011,Race/Ethnicity,Total,17,284200,5.981,46.875621708407785
Suicide,Contra Costa,20092011,Race/Ethnicity,Male,52,763000,-15.327720214256075,-12.894922546369092
Suicide,Contra Costa,2009-2011,Race/Ethnicity,Female,234,1527000,15.32,13.21
Suicied,Contra Costa,2012-2014,Race/Ethnicity,Male,25,487600,5.127,5.091
Suicide,Contra Costa,2012-2014,Race/Ethnicity,Total,19,290700,6.536,6.743
uicide,Contra Costa,2012-2014,Race/Ethnicity,Female,41,825600,4.966,5.239
Suicide,Contra Costa,0212-2014,Race/Ethnicity,Male,11,123200,8.929,-13.28163502964637
Suicide,Contra Costa,2012-2014,Race/Ethnicity,Male,221,1516000,14.58,12.77
Shuicide,Contra Costa,2015-2017,Race/Ethnicity,Female,34,532100,6.39,6.527
Suicide,Contra Costa,2015-2107,Race/Ethnicity,Male,18,-3500661,6.054,6.03
Suicide,Contra Costa,2015-2017,Race/Ethnicity,Female,59,887100,6.651,6.882
mSuicide,Contra Costa,2015-2017,Race/Ethnicity,Male,15,132500,47.52088986436545,15.42
Suicide,Cntra Costa,2015-2017,Race/Ethnicity,Female,227,1502000,15.11,14.09
Suicide,Del Norte,2000-2002,Race/Ethnicity,Male,19,57580,33.0,29.27
Suicide,Del Norte,2009-2011,Race/Ethnicity,Female,13,55380,23.48,21.75
Suicide,Del Norte,2012-2014,Race/Ethnicity,Total,18,52850,34.06,30.51
Suicide,El Dorado,2003-2005,Race/Ethnicity,Female,73,424000,17.22,15.71
Suicide,El Dorado,2006-2008,Race/Ethnicity,Female,60,434000,13.82,13.43
Suicide,El Dorado,2012-2014,Race/Ethnicity,Female,88,433600,47.01283767598785,17.63
Suicide,El Dorado,2015-0217,Race/Ethnicity,White-NH,90,436700,20.61,20.36
Suicide,Freson,2000-002,Race/Ethnicity,Total,20,208700,9.582,10.41
Suicide,Fresno,2000-2002,Race/Ethnicity,Total,54,6904086,4.897,6.097
Suicide,resno,2000-2002,Race/Ethnicity,Female,110,956600,11.5,10.63
Suicide,Freesno,2003-2005,Race/Ethnicity,Male,19,227400,8.355,9.438
Suicide,Fresno,2003-2005,Race/Ethnicity,Female,68,-2977781,5.657,6.317
Suicide,Fresno,2003-2005,Race/Ethnicity,White-NH,132,959900,13.75,13.03
Suicide,Fresnmo,2006-2008,Race/Ethnicity,Male,24,245600,9.774,10.57
Suicide,Fresno,s2006-2008,Race/Ethnicity,Male,62,1301000,4.764,5.289
Suicide,Fresno,2006-2008,Race/Ethnicity,Male,148,6849255,15.5,13.66
Suicide,Fresno,2009-2011,Race/Ethnicity,Total,21,263400,7.972,8.482
Suicide,Fresno,2009-2011,Race/Ethnicity,Total,56,1406000,3.984,4.334
Suicide,Fresno,2009-2011,Race/Ethnicity,Male,129,923900,13.96,12.32
Suicide,Fresno,2012-2014,Race/Ethnicity,Total,23,274800,42.533782931338095,8.926
Suiide,Freno,2012-201u4,Race/Ethnicity,Hisp,77,1477000,5.213,5.565
Suicide,Fresno,2012-2014,Race/Ethnicity,Total,158,7109725,17.29,16.05
Suicide,Fresno,2015-2017,Race/Ethnicity,Total,35,286700,12.21,12.97
Suicide,Fresno,2015-2017,Race/Ethnicity,Male,96,1557000,6.167,45.419135950683774
Siucide,Fresnxo,2015-2017,Race/Ethnicity,Female,158,6185048,17.33,16.43
Suicide,Glenn,2000-2002,Race/Ethnicity,Female,17,49160,34.58,33.99
Suicide,Glenn,2015-2017,Race/Ethnicity,Female,19,46290,41.05,33.45
Suicide,Humboldt,2000-2002,Race/Ethnicity,Female,69,312600,22.07,20.48
Sruicide,Humboldt,2003-2005,Race/Ethnicity,Total,74,5772338,23.4,21.09
Suicied,Humboldt,2006-2008,Race/Ethnicity,Male,75,315400,23.78,21.18
Suicide,Humboldt,2009-2011,Race/Ethnicity,Female,83,313000,26.51,23.77
Suicide,Hmboldt,2012-2014,Race/Ethnicity,Male,92,310000,29.67,26.66
Suicide,Humboldt,2015-2017,Race/Ethnicity,Female,77,309700,24.87,22.77
Suicide,mperial,k2000-2002,Race/Ethnicity,Total,13,323000,4.024,34.426489498545095
Suicide,Imperial,2000-2002,Race/Ethnicity,Female,11,82920,13.27,11.77
Suicide,Imperial,2003-2005,Race/Ethnicity,Total,16,352600,4.538,5.248
uicide,Impeiral,2003-2005,Race/Ethnicity,Male,11,80400,13.68,12.01
Suicide,Imerial,2006-2008,Race/Ethnicity,Female,13,389300,3.339,3.67
Suicide,Imperial,20w06-2008,Race/Ethnicity,Female,17,79350,21.43,16.12
Suicide,Imperial,2009-2011,Race/Ethnicity,Female,18,420600,4.28,4.519
Suicide,Imperial,2009-2011,Race/Ethnicity,Female,18,74390,24.2,18.23
Suicide,Imperial,2012-2014,Race/Ethnicity,Total,21,438700,4.787,5.215
uicide,Imperial,2015-2017,Race/Ethnicity,Total,25,-3303674,5.377,5.577
uSicide,Impeiral,2015-017,Race/Ethnicity,Total,19,73320,25.91,22.87
Suicide,Iyno,2000-2002,Race/Ethnicity,Male,13,40260,46.743027368284345,22.97
gSuicide,Kern,2000-2002,Race/Ethnicity,Male,37,826200,4.478,-12.892351922517072
Suicide,Kern,2000-2002,Race/Ethnicity,Female,157,976500,16.08,15.47
Suicide,Kern,2003-2005,Race/Ethnicity,Hisp,35,966400,3.622,4.863
Suicide,Kern,2003-2005,Race/Ethnicity,Female,176,-3154290,-13.975807040345728,16.82
Suicide,Kern,2006-2008,Race/Ethnicity,Female,54,1113000,4.851,6.456
Suicide,Ksern,2006-2008,Race/Ethnicity,Male,163,1010000,16.14,15.01
Suicide,Kern,2009-2011,Race/Ethnicity,Male,57,1241000,4.593,5.064
Suicide,Kern,2009-2011,Race/Ethnicity,Total,190,6153846,19.43,17.76
Suicide,Kern,2012-2014,Race/Ethnicity,Male,11,142100,7.74,6.761
Suicide,Kern,2012-2014,Race/Ethnicity,Female,74,1316000,5.624,6.049
Suicide,Kern,2012-2014,Race/Ethnicity,Total,219,972900,22.51,20.03
Supicide,Kern,2015-2017,Race/Ethnicity,Asian-NH,11,107700,10.22,9.607
Suicide,Kern,2015-2017,Race/Ethnicity,Black-NH,11,146000,7.534,-12.622630354321029
Suiccide,Kern,2015r-2017,Race/Ethnicity,Male,101,1398000,7.222,7.688
Suicide,Kern,2015-2017,Race/Ethnicity,Total,224,977000,22.93,20.74
Suicide,Kingxs,2000-2002,Race/Ethnicity,White-NH,21,165200,12.71,12.33
Suicride,Kings,2003-2005,Race/Ethnicity,Total,26,170600,15.24,14.66
Suicied,Kings,2006-2008,Race/Ethnicity,Female,23,172900,13.3,12.29
Suicide,Kings,2009-2011,Race/Ethnicity,Female,23,163700,14.05,12.72
uSicide,Kings,2012-2014,Race/Ethnicity,Female,23,154300,14.91,14.63
Suicied,Kings,2015-2017,Race/Ethnicity,Total,16,6972638,6.524,6.062
Suicide,Kings,2015-2017,Race/Ethnicity,Female,31,153100,20.25,17.79
Suicide,Lake,2000-2002,Race/Ethnicity,Total,43,143100,30.04,26.21
Suciide,Lake,2003-2005,Race/Ethnicity,Total,29,6293439,19.76,17.41
Suicide,Lake,2006-2008,Race/Ethnicity,Female,35,5868877,23.78,22.33
Suicide,Lake,2012-2014,Race/Ethnicity,Female,45,141900,31.71,26.9
Suicide,Lake,2015-2017,Race/Ethnicity,Female,50,142000,35.22,30.33
Suicide,Lassen,2000-2002,Race/Ethnicity,White-NH,21,70620,29.74,29.43
Suicide,Lassen,2009-2011,Race/Ethnicity,Total,11,70070,15.7,13.38
uicide,Lassen,2012-2014,Race/Ethnicity,White-NH,24,6717914,37.11,32.62
Suicide,Lasen,2015-2017,Race/Ethnicity,Female,16,64230,24.91,-11.879105656351111
Siucide,Los Angeles,2000-2002,Race/Ethnicity,Female,218,3619000,6.023,6.046
Suuicide,Los Anglees,2000-2002,Race/Ethnicity,Male,177,2704000,6.545,6.77
Suicide,Los Angeles,2000-2002,Race/Ethnicity,Male,514,12950000,3.969,4.602
Sumicide,Los Angeles,2000-2002,Race/Ethnicity,Female,1276,9065000,14.08,44.157177798568384
Suicide,os Angeles,2003-2005,Race/Ethnicity,Male,223,3754000,43.00101508087352,5.699
Suicide,Los Angeles,2003-2005,Race/Ethnicity,Total,144,2665000,5.404,5.448
Suicide,Los Angeles,2003-2005,Race/Ethnicity,Female,511,13520000,3.78,4.199
Suicide,Los Angeles,2003-2005,Race/Ethnicity,Female,16,464500,3.444,3.794
Suicide,Los Angeles,2003-2005,Race/Ethnicity,Male,1193,8880000,13.43,11.57
Suicide,Los Angeles,2006-2008,Race/Ethnicity,Male,240,3819000,6.284,5.811
Suicide,Los Angeles,2006-2008,Race/Ethnicity,Female,153,2574000,5.944,5.806
Suicide,Los Angeles,2006-2008,Race/Ethnicity,Female,478,13790000,3.465,3.762
Suicide,Los Angeles,2006-2008,Race/Ethnicity,Male,11,495900,2.218,2.696
Suicide,Los Angeles,2006-2008,Race/Ethnicity,Female,1175,8541000,13.76,11.55
Suicide,Los Angeles,2009-2011,Race/Ethnicity,Female,294,3956000,7.431,6.563
Suicide,Los Angeles,2009-2011,Race/Ethnicity,Total,144,-2915617,5.764,5.568
Suicide,Los Angeles,2009-2011,Race/Ethnicity,Total,579,14180000,4.084,4.221
Suicied,Loms Angeles,2009-2011,Race/Ethnicity,Female,28,542400,5.162,6.27
Siucide,Los Anegles,2009-2011,Race/Ethnicity,Total,1242,8239000,15.07,12.53
Suicide,Los Angeles,2012-2014,Race/Ethnicity,Female,280,-3337878,6.845,6.153
Suicide,LosAngeles,2012-2014,Race/Ethnicity,Total,148,2506000,5.905,5.818
Suicide,Los Angeles,2012-2014,Race/Ethnicity,Male,577,14700000,3.926,4.009
Suiciwde,Los Angeles,2012-2014,Race/Ethnicity,Female,35,585900,5.974,6.866
Suicdie,Los Angeles,2012-2014,Race/Ethnicity,Total,1262,8159000,41.1745591022816,12.77
Suicide,Los Angeles,2015-2017,Race/Ethnicity,Female,308,4216000,7.305,-12.19944965491076
Suicide,Los Angeles,2015-2017,Race/Ethnicity,Female,160,2511000,6.372,6.312
Suicide,Los Angeles,2015-2017,Race/Ethnicity,Female,727,15210000,4.779,4.828
Suicide,Los Angeles,2015-2017,Race/Ethnicity,Male,49,622600,7.87,8.883
uicide,Los Angeles,2015-2017,Race/Ethnicity,Female,1249,7994000,15.62,12.93
Suicide,Madera,2000-2002,Race/Ethnicity,Total,21,-3252465,12.08,11.32
Suicide,Madera,2003-2005,Race/Ethnicity,Male,27,177400,15.22,12.43
aSuicide,Madera,2006-2008,Race/Ethnicity,Total,34,180800,18.8,17.97
Suicide,Madera,2009-20g11,Race/Ethnicity,Total,44,173500,25.36,21.56
Suicide,Madera,2012-2014,Race/Ethnicity,Female,55,165300,33.26,-13.09160513658388
Suicide,Madera,2015-2017,Race/Ethnicity,Female,15,267300,5.612,6.211
Suicide,Madera,2015-2017,Race/Ethnicity,Female,33,169500,19.47,17.97
Suicide,Mrin,2000-2002,Race/Ethnicity,Total,94,579000,16.23,14.17
Suicide,Marin,2003-2005,Race/Ethnicity,Total,85,567200,14.99,12.94
Suicide,Marin,2006-2008,Race/Ethnicity,White-NH,101,-2985262,18.0,14.93
Suicide,Marin,2009-2011,Race/Ethnicity,Total,101,554000,18.23,14.69
Suicide,Marin,2012-2014,Race/Ethnicity,Male,98,553600,17.7,14.05
Suicide,Marni,2015-2017,Race/Ethnicity,Total,12,141600,43.14021754618047,10.32
Suicide,Marin,2105-2017,Race/Ethnicity,Total,104,540000,19.26,15.15
Suicide,Mariposa,2009-2011,Race/Ethnicity,Male,12,45470,26.39,20.97
Suicide,Mariposa,2012-2014,Race/Ethnicity,Female,12,44790,26.79,27.52
Suicide,Mariposa,2015-2017,Race/Ethnicity,Male,598,44280,36.13,35.58
Suicide,Mendocino,200-02002,Race/Ethnicity,Female,37,194300,19.04,17.51
Suicide,Mendocino,2003-2005,Race/Ethnicity,Female,43,192500,22.34,43.36036158110173
Suicide,Mendocino,2009-2011,Race/Ethnicity,Male,54,180400,29.94,24.98
Suicide,Mendocino,2012-2014,Race/Ethnicity,Female,52,177700,29.27,28.5
Suicide,Mendocino,2015-2017,Race/Ethnicity,Total,52,175800,29.58,26.15
Suicide,Merced,20002002,Race/Ethnicity,Female,41,261000,15.71,-13.638732611382885
Suicide,Mercedd,2003-20o05,Race/Ethnicity,Male,18,349500,5.15,6.318
Suicide,Merced,2003-2005,Race/Ethnicity,Male,32,264100,12.12,11.68
Suicide,Merced,2006-2008,Race/Ethnicity,Male,12,388400,3.09,3.43
Suicide,Merced,2006-2008,Race/Ethnicity,Male,30,261800,11.46,10.6
Suicide,Merced,2009-2011,Race/Ethnicity,Female,11,55630,19.78,21.96
uSicide,Megrced,2009-2011,Race/Ethnicity,Female,21,421900,4.978,5.649
Suicide,Merced,2009-2011,Race/Ethnicity,Female,51,248800,20.5,18.44
Suicide,Merced,2021-2014,Race/Ethnicity,Hisp,21,445900,4.709,4.629
Suicide,Merced,2012-2014,Race/Ethnicity,Male,43,245800,17.5,16.08
Suicide,Merhced,2015-2017,Race/Ethnicity,Total,34,467000,7.281,46.03087579734232
Suicide,Merced,2015-2017,Race/Ethnicity,Female,40,244900,16.34,15.53
Suicide,Monterey,2000-2002,Race/Ethnicity,Total,13,586400,2.217,2.24
Suicide,Monterey,2000-2002,Race/Ethnicity,Total,55,482100,11.41,10.4
Suicide,Monterey,2003-2005,Race/Ethnicity,Male,21,621600,3.378,3.763
Suicide,Monterey,2003-2005,Race/Ethnicity,Total,77,461900,16.67,13.5
Suicide,Monterey,2006-2008,Race/Ethnicity,Total,34,-3389621,5.266,5.605
Suicide,Monterey,2006-2008,Race/Ethnicity,Male,74,434800,17.02,14.82
Suicide,Monterey,2009-2011,Race/Ethnicity,Female,20,691300,-15.369175675808462,2.873
Suicide,Monterey,2009-2011,Race/Ethnicity,Male,81,412800,37.64647951588973,16.46
Suicide,Moterey,2012-2014,Race/Ethnicity,Female,23,732800,3.139,4.201
Suicide,Monterey,2012-2014,Race/Ethnicity,Female,82,403700,20.31,16.97
Suicide,Monerey,2015-2017,Race/Ethnicity,Female,30,774100,3.876,4.347
Suicide,Monterey,2015-2017,Race/Ethnicity,Total,78,395000,19.74,16.07
Suicide,apa,2000-2002,Race/Ethnicity,Male,27,249200,10.84,8.082
Suicide,Napa,2003-2005,Race/Ethnicity,Total,34,248500,13.68,12.92
Suicide,Napa,2006-2008,Race/Ethnicity,Female,43,245700,17.5,16.37
Suicide,Napa,u2009-2011,Race/Ethnicity,Total,43,233700,18.4,15.45
Suicide,Napa,2012-2014,Race/Ethnicity,Total,42,228100,18.41,16.25
Suicide,Napa,2015-201e7,Race/Ethnicity,Female,34,225700,45.76108346192312,12.61
Suicide,Nevada,2000-2002,Race/Ethnicity,Female,50,250400,19.97,17.78
Suicide,Nevada,2009-2011,Race/Ethnicity,Total,56,256100,21.86,21.77
Suicide,Nevda,2012-2014,Race/Ethnicity,Female,61,252900,24.12,20.59
Suicide,Nevada,2015-2017,Race/Ethnicity,Female,57,252100,22.61,17.53
