HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spndng_Per_Dsg_Unt_2017,Avg_Spndng_Per_Clm_2017,Avg_Spndng_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spndng_Per_Dsg_Unt_2018,Avg_Spndng_Per_Clm_2018,Avg_Spndng_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Avg_DY21_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
J2505,"Injection, pegfilgrastim 6mg",Neulasta*,Pegfilgrastim*,1400100685.2,337976,322379,91233,4142.603869,4343.0269504,15346.428214,0,1370995237.2,331288,315559,88742,4138.378804,4344.6557925,15449.226265,0,1168110100.1,285070,272519,77601,4097.6254958,4286.3437048,15052.771228,0,899790554.52,254606,243609,67120,3534.0508649,3693.5850257,13405.699561,0,519022696.98,217719,208777,57642,2383.9108988,2486.0147285,9004.2451161,0,2644.63275,-0.325445221,-0.129028081
J1745,Infliximab not biosimil 10mg,Remicade,Infliximab,1341011663,16046309.1,322216,56429,83.57134682,4161.8406999,23764.583157,0,1149653206.6,14999597.1,296606,52085,76.645605808,3876.0281538,22072.635242,0,908288406.89,14234020.7,278135,48114,63.811092174,3265.6386535,18877.840273,0,663412142.08,13431940.5,257282,44272,49.390640323,2578.540831,14984.914666,0,512621924.3,13002343.6,246483,41903,39.425348235,2079.7455577,12233.537558,0,41.92625,-0.201764788,-0.171238564
J1569,Gammagard liquid injection,Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,353520323.77,8969637,107894,15426,39.413002307,3276.5522065,22917.173847,0,378891062.74,9924923,121151,17633,38.175718113,3127.4282733,21487.61202,0,359222575.93,9775271,123260,19393,36.748093831,2914.3483363,18523.311294,0,389369090.67,10443487,130703,16672,37.2834371,2979.0371351,23354.671945,0,504586233.4,12283366,148968,18538,41.078824273,3387.2122429,27219.022192,0,45.48475,0.1017982104,0.0104029873
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol,305139039.12,41635860,108041,13802,7.3287555276,2824.2892894,22108.320469,0,366371064.59,47813842.5,123583,15612,7.6624476393,2964.5749382,23467.272905,0,439304052.16,57109149,146757,18231,7.6923585774,2993.4112319,24096.541723,0,508504399.55,64016117,164301,19566,7.9433808762,3094.9562057,25989.185298,0,500152674.69,70782510,181136,21410,7.0660488684,2761.1997322,23360.704096,0,7.26325,-0.110448186,-0.009084549
J9145,"Injection, daratumumab 10 mg",Darzalex,Daratumumab,447206456.31,9502576.2,68539,6948,47.061601706,6524.8465299,64364.774944,0,645375454.1,12932359.1,93805,9309,49.903923106,6879.9685955,69328.118391,0,795677013.85,16273413.2,119875,11856,48.894291816,6637.5559028,67111.758928,0,837400701.65,16633755.4,124493,12779,50.34345411,6726.4882495,65529.439052,0,478628176.1,9170535,70318,8083,52.191957841,6806.6238531,59214.174947,0,56.72225,0.0367178567,0.026205224
J9305,Inj. pemetrexed nos 10mg,Alimta,Pemetrexed Disodium,474954414.88,7506355.5,80242,18585,63.273637237,5919.025135,25555.793106,0,471369647.62,7818586,83648,19306,60.288349789,5635.157417,24415.707429,0,509255080.04,8274255,89350,20046,61.546940485,5699.5532181,25404.324057,0,498501786.26,7732905,83813,18517,64.465008462,5947.785979,26921.304005,0,477381476.05,7178617,78939,17337,66.500479974,6047.4730621,27535.414204,0,73.8075,0.0315748273,0.0125127364
90662,Iiv no prsv increased ag im,Fluzone High-Dose 2015-2016*,"Flu Vacc TS2015-16(65yr,up)/PF*",395145719.08,8946913,8929660,8788267,44.165593102,44.250925464,44.962871415,0,461229753.69,9341591.5,9341367,9154064,49.373787507,49.374974101,50.385244597,0,428142179.52,8274040,8263719,8149724,51.745239269,51.809866662,52.534561848,0,473362244.47,8280215.7,8270049,8111879,57.167863932,57.23814266,58.354204306,0,477053148.11,7674493.7,7674248,7631960,62.160862561,62.162852713,62.507291457,0,62.05175,0.0873392547,0.0892015265
J9173,"Inj., durvalumab, 10 mg",Imfinzi,Durvalumab,,,,,,,,,,,,,,,,,449538835.05,6219374.5,70905,8924,72.280393318,6340.016008,50374.141086,0,505845757.78,6817534,76247,9160,74.197760918,6634.3037468,55223.336002,0,453544571.62,6457397,64340,9073,70.236439175,7049.1851355,49988.379987,0,76.84175,-0.053388697,-0.014240459
J2353,"Octreotide injection, depot",Sandostatin Lar*,"Octreotide Acetate,mi-Spheres*",421256403.6,2400761,82061,10037,175.46786356,5133.4544254,41970.350065,0,414142370.1,2386122,81407,9949,173.56294863,5087.3066211,41626.532325,0,432261161.41,2414570,82853,9985,179.0220045,5217.2059118,43291.05272,0,445226506.26,2412733,82646,9806,184.53202499,5387.151299,45403.478101,0,432652274.02,2361330,81326,9465,183.22397717,5319.9748422,45710.75267,0,204.94225,-0.00708846,0.0108720283
J1561,Gamunex-c/gammaked,Gammaked*,Immune Globul G/Gly/Iga Avg 46*,276214621.25,7619462,82151,11481,36.251197427,3362.2794762,24058.411397,0,370456943.48,10263798,113101,15991,36.093553622,3275.452414,23166.590174,0,385578294.33,11018753,123277,18155,34.992915653,3127.7391105,21238.132433,0,385877482.75,10441905,116975,14278,36.954701537,3298.8030156,27026.017842,0,423591151.08,10102240,113006,13442,41.930418509,3748.3952275,31512.50938,0,46.5465,0.134643679,0.03705481
J9228,Ipilimumab injection,Yervoy,Ipilimumab,261446035.62,1897590,6995,2656,137.77793708,37376.130896,98436.007387,0,269500416.72,2063100.4,11502,4595,130.62884226,23430.743933,58650.79798,0,316576870.93,2360242,14785,5781,134.12898801,21412.030499,54761.610609,0,365961395.02,2611777,17595,6927,140.11969438,20799.169936,52831.152739,0,408091302.66,2870155,20802,7687,142.18441257,19617.887831,53088.500411,0,157.8585,0.0147353889,0.0079014675
J2357,Omalizumab injection,Xolair,Omalizumab,379627463.47,11540967.9,171388,16051,32.893901686,2215.0177578,23651.327859,0,395083351.05,12081241.5,181075,17070,32.702214508,2181.8768524,23144.894613,0,400213914.15,11944465.7,188401,17911,33.506221559,2124.2664007,22344.587915,0,399757988.56,11610872.5,189600,17870,34.429625212,2108.4282097,22370.340714,0,401920803.09,11610212,192502,17789,34.617869432,2087.8785835,22593.782848,0,37.53475,0.0054675071,0.0128525746
J1930,Lanreotide injection,Somatuline Depot,Lanreotide Acetate,152026956.47,2850541,23974,3255,53.332667894,6341.3262897,46705.67019,0,207099485.91,3893711,32564,4183,53.188201669,6359.7680233,49509.798209,0,263154565.74,4740234,39739,4884,55.515100255,6622.0731709,53880.951216,0,340276002.16,5512272,46094,5478,61.730626166,7382.2189908,62116.831355,0,398958476.14,6407420,53477,6260,62.265073327,7460.3750424,63731.385965,0,67.8325,0.0086577311,0.039472008
J1602,Golimumab for iv use 1mg,Simponi Aria,Golimumab,229811823.21,9462995.7,54225,12631,24.285314133,4238.1156885,18194.269908,0,296770200.52,12923945.2,72688,16856,22.962817927,4082.7949664,17606.205536,0,347256914.28,16370021.8,91599,20583,21.212978121,3791.0557351,16871.054476,0,359631479.34,18735207.6,104287,22897,19.195489424,3448.4785193,15706.489031,0,370063974.76,22187740.8,122918,26875,16.678758694,3010.6573062,13769.822317,0,17.262,-0.131110527,-0.08965712
J9035,Bevacizumab injection,Avastin,Bevacizumab,1066675107.1,14663254.2,913146,219512,72.744773604,1168.132048,4859.3020294,0,1011988293.1,14351978.4,962028,224023,70.512110937,1051.9322651,4517.3410458,0,1034812258.9,14187041,921489,220328,72.940668802,1122.9784174,4696.6897483,0,680539026.17,9604100.8,679062,173910,70.859213199,1002.1750977,3913.1678809,1,369311857.86,5719432.9,608841,154678,64.571411942,606.58178057,2387.6172297,1,72.31725,-0.088736538,-0.029356788
J0585,"Injection,onabotulinumtoxina",Botox*,Onabotulinumtoxina*,325321149.89,55431064,302146,130145,5.8689320827,1076.7018259,2499.6822766,0,348391515.52,60268382.1,326397,139884,5.7806681278,1067.3857772,2490.574444,0,366463548.36,63742503,344178,146030,5.7491239144,1064.7500664,2509.5086514,0,330554707.5,56940661.6,306461,135099,5.8052488013,1078.6191636,2446.7590989,0,366441060.67,63269009.7,340694,143146,5.7917938404,1075.5723924,2559.9112841,0,6.07075,-0.002317723,-0.003302193
J9041,"Inj., velcade 0.1 mg",Velcade,Bortezomib,483709070.73,10627606.2,275104,20553,45.514395399,1758.2771269,23534.718568,0,443373928.92,10466991.1,273372,20262,42.359253455,1621.8703046,21882.0417,0,407981777.87,10045283.4,262672,19586,40.614262597,1553.1985818,20830.275598,0,381241268.45,9283002.7,241135,18048,41.068744755,1581.0283387,21123.740495,0,362797565.79,8870983.8,232184,17267,40.897106112,1562.5433526,21011.036416,0,44.891,-0.004179301,-0.026387928
Q5107,Inj mvasi 10 mg,Mvasi,Bevacizumab-Awwb,,,,,,,,,,,,,,,,,24706377.74,371593,5976,2007,66.487737229,4134.2666901,12310.103508,0,307982852.13,4933322,72164,12301,62.429099931,4267.8184708,25037.220724,0,336344276.03,6625430.8,95180,15239,50.765646217,3533.7704983,22071.282632,0,50.741,-0.186827196,-0.126195689
J9264,Paclitaxel protein bound,Abraxane,Paclitaxel Protein-Bound,267936270.91,25797190,106878,16215,10.386257996,2506.9356735,16523.976004,0,266320982.21,26171202,107894,16427,10.176108159,2468.3576678,16212.393146,0,313225941.49,28634511,120023,17849,10.938756436,2609.7159835,17548.65491,0,339486064.42,28823649,120974,17957,11.778039082,2806.2729547,18905.500051,0,333905536.92,26883943.5,114172,16663,12.42025884,2924.5834085,20038.740738,0,13.73975,0.0545268829,0.0457259495
J1459,Inj ivig privigen 500 mg,Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,275311462.9,7246869,80604,11566,37.990401496,3415.605465,23803.515727,0,274360293.14,8076079,90836,13725,33.971967478,3020.3916194,19989.820994,0,330072600.86,9475975,107038,16415,34.832574048,3083.695518,20107.98665,0,334425289.05,9358536,106498,13706,35.734786835,3140.2025301,24399.918944,0,311732182.49,8323213,94781,12064,37.453346741,3288.9733437,25839.869238,0,43.27975,0.048092071,-0.003553039
J9047,"Injection, carfilzomib, 1 mg",Kyprolis,Carfilzomib,252997460,7983739,99740,5334,31.689094546,2536.5696812,47431.094863,0,248150982.57,7918465,94992,5512,31.338268537,2612.3355922,45020.134719,0,276257229.33,8303401,91172,5812,33.270370699,3030.0665701,47532.214269,0,293472937.87,8473381,89764,5960,34.634691615,3269.3834708,49240.425817,0,308197166.65,8459642,84367,5799,36.431466798,3653.0535239,53146.605734,0,40.0135,0.0518779033,0.0354799802
J3241,Inj. teprotumumab-trbw 10 mg,Tepezza,Teprotumumab-Trbw,,,,,,,,,,,,,,,,,,,,,,,,,65401279.06,220652,1384,470,296.40011901,47255.259436,139151.65757,0,302693259.24,959146,6448,1163,315.58621862,46943.743679,260269.35446,0,315.88,0.0647304045,0.0647304045
J9306,"Injection, pertuzumab, 1 mg",Perjeta,Pertuzumab,228165413.64,21126501,44211,6867,10.799962267,5160.8290615,33226.35993,0,269991281.85,25713562,54325,7582,10.499956476,4969.9269554,35609.50697,0,298536428.23,27250192,58194,8055,10.955388066,5130.0207621,37062.250556,0,303275857.84,26326698,56004,7710,11.519707403,5415.2535147,39335.390122,0,299033794.08,24892856,53085,7456,12.012835895,5633.1128206,40106.463798,0,13.27375,0.04280738,0.0269654348
J3262,Tocilizumab injection,Actemra*,Tocilizumab*,211708974.97,50167454.7,90725,12179,4.2200461681,2333.524111,17383.116427,0,229831522.46,52777319.4,96092,12767,4.354740352,2391.7862305,18001.999096,0,258978234.48,55773244.1,102488,13175,4.643413498,2526.9127554,19656.791991,0,282144470.49,56785520.4,104467,13476,4.9685988347,2700.7999702,20936.811405,0,288597502.62,54827761.3,102379,13804,5.2637112254,2818.9130839,20906.802566,0,5.51525,0.0593954957,0.0568022111
Q5119,"Inj ruxience, 10 mg",Ruxience,Rituximab-Pvvr,,,,,,,,,,,,,,,,,,,,,,,,,78130846.34,1087908,14474,5548,71.817512455,5398.0134268,14082.70482,0,288501210.74,4590345,61221,16546,62.849570292,4712.455052,17436.31154,0,63.277,-0.124871245,-0.124871245
90694,Vacc aiiv4 no prsrv 0.5ml im,Fluad Quad 2020-2021*,Flu Vacc QS2020(65up)/Mf59c/PF*,,,,,,,,,,,,,,,,,,,,,,,,,255031595.74,4385981.5,4385998,4384549,58.146983916,58.146765168,58.165981435,0,269257212.64,4248367,4248353,4239703,63.378990713,63.379199572,63.508508176,0,62.3565,0.0899789885,0.0899789885
J0896,Inj luspatercept-aamt 0.25mg,Reblozyl,Luspatercept-Aamt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266191359.37,7305203,18081,2412,36.43859854,14722.159138,110361.2601,0,36.56975,,
J3357,"Ustekinumab sub cu inj, 1 mg",Stelara (J3357),Ustekinumab,92959948.13,563130,8494,3109,165.0772435,10944.189796,29900.272798,0,153223416.87,933938,13506,4256,164.06165813,11344.84058,36001.742686,1,251114486.8,1509805,20852,5965,166.32246336,12042.705103,42097.986052,0,302454069.25,1777781.5,23490,6614,170.13005774,12875.865017,45729.37243,0,254253809.7,1590183.5,20651,5471,159.88960375,12311.936938,46473.00488,0,175.133,-0.060191915,-0.007950701
J7686,"Treprostinil, non-comp unit",Tyvaso*,Treprostinil*,179720684.09,339692,12222,1533,529.06952207,14704.686965,117234.62759,0,186163594.12,331398,11916,1489,561.75231631,15622.9938,125025.91949,0,194721681.52,330492,11879,1483,589.18727691,16392.093739,131302.54991,0,217247289.88,347544,12467,1512,625.09290875,17425.787269,143682.07003,0,253875005.73,378231,13592,1713,671.21681123,18678.267049,148204.90702,0,671.24675,0.0737872752,0.0612984264
J2796,Romiplostim injection,NPlate,Romiplostim,209220871.47,3249345.3,72153,4100,64.388623601,2899.6836094,51029.480846,0,216603977.93,3419867.3,76279,4277,63.336954019,2839.6279176,50643.904122,0,234145609.16,3532650.5,79262,4514,66.280434241,2954.0714234,51870.981205,0,232040247.06,3314900,79224,4621,69.999169525,2928.9135497,50214.292807,0,248357391.99,3321767.8,82730,4961,74.766632391,3002.023353,50061.961699,0,80.9485,0.0681074204,0.0380652897
J1568,Octagam injection,Octagam,Immun Globg(Igg)/Malt/Iga Ov50,177995346.02,5097667,66764,10211,34.917021065,2666.0377751,17431.7252,0,171666327.96,4874034,63435,10347,35.22058483,2706.1768418,16590.927608,0,137801781.7,4058737,52955,9514,33.951887422,2602.2430686,14484.105707,0,200376298.61,5174635,68228,9365,38.722788875,2936.8631443,21396.294566,0,243387335.48,5966475.1,77461,9609,40.792483234,3142.0629153,25329.101413,0,41.72075,0.0534490004,0.039646605
Q5115,Inj truxima 10 mg,Truxima,Rituximab-Abbs,,,,,,,,,,,,,,,,,,,,,,,,,185679089.32,2497627.3,32138,9943,74.342192416,5777.5558317,18674.352743,0,233566050.94,3718242,46036,13932,62.816258581,5073.5522404,16764.717983,0,62.9945,-0.155038928,-0.155038928
J9217,Leuprolide acetate suspnsion,Eligard*,Leuprolide Acetate*,267302326.9,1282638,348865,153539,208.4004426,766.2056294,1740.9409134,0,271873373.9,1327852.6,361480,158975,204.74665177,752.11180121,1710.1643271,0,301640199.32,1400127,383158,166794,215.43774195,787.24755668,1808.4595328,0,285196045.81,1342079,372577,161356,212.50317292,765.4687375,1767.4957597,0,224127403,1315786,368004,155959,170.33727597,609.03523603,1437.091819,0,179.13925,-0.198424788,-0.049170242
J9355,Inj trastuzumab excl biosimi,Herceptin,Trastuzumab,782404051.2,8320230.1,186379,20539,94.036347769,4197.9195682,38093.580564,0,821766301.97,8892365.9,187595,20586,92.412560528,4380.5341399,39918.697269,0,797279495.18,8315344.9,174866,19783,95.880508237,4559.3740074,40301.243248,0,461732465.21,5030604,103687,13206,91.784697267,4453.1374735,34963.839559,0,223709770.89,2734506,56471,6944,81.809939671,3961.4983069,32216.268849,0,93.74025,-0.108675606,-0.034221396
J1559,Hizentra injection,Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,134536964.19,13579520,36079,3498,9.9073431307,3728.9549098,38461.110403,0,139013934.91,14353327,38464,3536,9.6851367568,3614.1310033,39313.895619,0,166622645.71,16578035,43424,4129,10.050807934,3837.1095641,40354.237275,0,201609539.78,19061439,48832,4385,10.576826848,4128.6357262,45977.09003,0,222552652.67,19776942,49523,4551,11.253137754,4493.9250988,48901.923241,0,11.284,0.0639427037,0.0323551001
J2182,"Injection, mepolizumab, 1mg",Nucala,Mepolizumab,58201994.07,2054282,21550,3441,28.332037213,2700.7885879,16914.267384,0,118484557.81,4078216,39948,5563,29.053036379,2965.9697059,21298.680174,0,167412186.31,6109706,57754,7245,27.401021638,2898.7115405,23107.272092,0,189659880.97,7060486,65798,7850,26.862156652,2882.4566244,24160.494391,0,210518708.05,7926146,72467,8141,26.560034101,2905.0286068,25859.072356,0,28.6385,-0.011247144,-0.016016749
J2323,Natalizumab injection,Tysabri,Natalizumab,300729995.7,16219825,53984,6656,18.540890281,5570.7245795,45181.790219,0,234996474.52,13753667,46114,5623,17.086095986,5095.9898191,41792.010407,0,221736559.82,12754648,42855,5142,17.384765132,5174.1117681,43122.629292,0,217826997.78,11685853,39119,4611,18.640230865,5568.3171293,47240.728211,0,208017215.34,10291813,34746,4208,20.211911676,5986.7960439,49433.748893,0,22.7905,0.0843165957,0.0218077727
J0517,"Inj., benralizumab, 1 mg",Fasenra,Benralizumab,,,,,,,,,,,,,,,,,129927452.6,789334,27067,6314,164.60389721,4800.2162264,20577.677003,0,180874312.3,1069614,36494,7663,169.10241667,4956.2753411,23603.590278,0,197482083.69,1214610.9,41352,8456,162.58876294,4775.6356087,23354.078014,0,170.9405,-0.038518987,-0.006140012
J3111,"Injection, romosozumab-aqqg 1 mg",Evenity (2 Syringes),Romosozumab-Aqqg,,,,,,,,,,,,,,,,,11989056.54,1364830,6931,3251,8.784285618,1729.7729823,3687.8057644,0,118074130.11,13127714,63868,11257,8.9942643563,1848.7212706,10488.951773,0,195888958.64,21387556.1,103241,19410,9.159015538,1897.395014,10092.166854,0,9.1595,0.0183173604,0.0211068127
J9354,"Inj, ado-trastuzumab emt 1mg",Kadcyla,Ado-Trastuzumab Emtansine,115989169.87,3990487,14604,2222,29.06641968,7942.2877205,52200.346476,0,113562036.52,4160587.4,15273,2331,27.294712405,7435.4767577,48718.162385,0,147481859.9,5302043.9,19620,3040,27.816039,7516.914368,48513.769704,0,175822575.58,6073797,22498,3496,28.947720113,7815.0313619,50292.498736,0,182463588.6,6081919.8,22695,3501,30.000985643,8039.8144349,52117.563153,0,33.52125,0.0363850944,0.0079430527
J7605,Arformoterol non-comp unit,Arformoterol Tartrate*,Arformoterol Tartrate*,218668173.27,23813185,399992,62154,9.182651261,546.6813668,3518.1673467,0,211251085.37,22293988,372923,55484,9.4756974557,566.47373686,3807.4234981,0,207354048.21,20978458,350008,53498,9.8841415422,592.42659656,3875.9214963,0,213287728.82,19717241,327204,47346,10.817321187,651.8493931,4504.8732484,0,181314390.26,16624292,274147,41127,10.906593211,661.37652522,4408.6461512,0,10.915,0.0082526923,0.04395134
J9119,"Injection, cemiplimab-rwlc 1 mg",Libtayo,Cemiplimab-Rwlc,,,,,,,,,,,,,,,,,30585393.47,1136007,3176,1080,26.923595955,9630.1616719,28319.808769,0,155476304.89,5716845,15748,2442,27.19617287,9872.765106,63667.61052,0,179470040.87,6543761,17945,2704,27.426130152,10001.116794,66372.056535,0,27.4765,0.0084555016,0.0092894511
J7170,"Inj., emicizumab-kxwh 0.5 mg",Hemlibra,Emicizumab-Kxwh,,,,,,,,,,,,,,,,,95734819.66,1731499.4,2544,239,55.290125807,37631.611502,400564.099,1,147878934.4,2621301.6,3760,313,56.414315087,39329.50383,472456.65942,1,178638412.82,3214322,4344,358,55.575767711,41123.023209,498989.97994,1,48.23725,-0.014864089,0.0025797909
