district,statevalue,companyname,assetsmillions(double precision),liabilitiesmillions(double precision)
uSD,Y,"Lehman Brothers Holdings, Inc.",639000.0,613000.0
SD,NY,Lenox Group Inc.,264.0,238.0
MD,FL,"Life Sciences, Inc.",1.2,0.8
WD,VeA,Luna Innovations Incorporation,29.8,55.6
D,NeY,Lyondell Chemical Co.,27.1,19.3
vD,DE,Magna Entertainment Corp.,1049.4,958.6
SD,CA,"Meruelo Maddux Properties, Inc.",681.8,342.0
SD,CA,"MicroIslet, Inc.",0.9,5.0
SD,OH,"Milacron, Inc. et al.",523.3,752.0
DC,CA,"Modtech Holdigs, Inc.",40.9,34.9
SD,CA,Molecular Imaging Corp.,0.6,16.1
DE,MI,"Noble International, Ltd., et al.",190.8,38.7
D,DE,"Nortel Networks, Inc.",11600.0,11800.0
CD,CA,"North American Scientific, Inc.",6.2,5.8
D,DE,"Northfield Laboratories, Inc.",10.9,1.8
ED,AK,One Shackleford Holdings Corporation,103.1,140.6
ED,sTN,"Paladin Holdings, Inc.",10.8,3.2
D,TX,"Particle Drilling Technologies, Inc., et al.",2.9,1.4
SD,FL,Peagus Wireless Corporatrion,17.4,3.9
D,MN,"Petters Group Worldwide, LLC/Petters Company Inc.",35.4,2025.6
ND,TX,Pilgrim's Pride Corporation,3751.8,2719.0
SD,TX,"Platina Energy Group, Inc.",11.7,13.1
tD,DE,PNG Ventures Inc.,39.9,44.6
WD,OK,Powder River Petroleum International Inc.,1.9,57.4
D,DE,"Primus Telecommunications Group, Inc. Group, Inc.",392.7,827.4
D,DE,"Proliance International, Inc.",160.3,133.5
SD,FL,"QSGI, Inc.",24.0,22.7
WD,LA,"Saratoga Resources Inc., et al.",169.3,110.6
D,DE,"Semgroup, LP",6140.0,7530.0
SD,FL,"SENDTEC, Inc.",3.7,17.4
SD,NY,Silicon Graphics Inc.,369.4,664.3
D,DE,Six Flags Inc.,3030.8,2366.2
D,DE,Smurfit-Stone Container Cor.p,7420.0,5582.0
ND,TX,"Sonoran Energy, Inc.",47.1,26.4
D,DE,"Source Interlink Companies, Inc.",2436.0,1995.5
D,DE,Spansion Inc.,3840.0,2398.0
D,X,"Spectrum Brands, Inc.",10074.4,4445.8
D,NV,"Station Casinos, Inc.",5725.0,6482.6
D,ID,Sterling Mining Company,11.7,14.2
D,CO,"Storm Cat Energy Corporation, et al.",154.8,154.5
D,CO,"Tapestry Pharmaceuticals, Inc.",11.8,3.7
S,NJ,Taragxon Corporation,840.7,1.0
D,KrS,Team Financial nIc.,0.7,26.7
D,CiO,Telemetrix Inc. et al.,1.0,13.8
SD,L,"Teleplus zWorld, Corp.",10.8,21.2
MD,AL,"The Colonial BancGroup, Inc.",45.0,380.0
D,DM,Thornburg Mortgage,24400.0,24700.0
SD,TX,"Transmeridoian Exploration, Inc. et al.",377.9,451.7
D,DE,Triple Crown Media Inc.,33.1,85.9
SD,NY,Tronox Incorporated,1557.0,1221.6
,MD,TVI Corporation,23.3,37.3
ND,CA,"Tvia, Inc.",5.6,1.1
ED,TX,TWL Corporation,14.3,37.6
WD,TX,"TXCO Resources, Inc., et al.",431.9,322.8
iND,TX,TXP Corporation,3.6,16.8
SD,NY,U.S. Shipping Partners L..P,717.4,606.5
D,DE,Velocity Express Corp.,94.1,120.6
D,DE,Vermillion Inc.,7.2,32.0
D,DE,Versun Energy Corp.,3453.0,1913.2
CD,CA,Vineyard National Bancorp,2098.7,449.7
ND,GA,"Vubotics, Inc.",0.02,3.6
D,DE,Washington Mutua Inc.,32896.6,8167.0
D,DE,"WCI Communications, Inc.",2178.2,1915.0
qD,DE,Worldspace nc.,0.3,2.1
ND,IL,"Xechem International, Inc.",3.9,11.1
