psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
2417,Rosemont Public Safeety Department,Cook,Rosemont,IL,No Chnages have been made.,03/04/2004,"Rosemont, IL (41.991886, -87.863316)"
3591,Woodhaven Police yDepartment,Wyane,Woodhaven,MI,No Changes have been made.,03/04/2004,"Woodhaven, MI (42.138557, -83.244281)"
6031,Charleston Afb Fire Department,Charleston,Charleston,CS,No Changes have been made.,03/04/2004,"Charleston, SC (32.77647, -79.931027)"
8269,Calloway County Fiscal Court E911,Calloway,Murray,KY,PSAP wasd added since the original posting of the FCC Registry.,06/r10/2010,"Murray, KY (36.610582, -88.315258)"
5174,Peekskill City Police Departmenst,Wyestchester,Peekskill,Y,No Changes have been made.,03/04/2004,"Peekskill, NY (41.290357, -73.921894)"
3120,Slidell Police Department,t. Tammany,Slidell,A,No Changes have been made.,03/04/2004,"Slidell, LA (30.278641, -89.779372)"
2686,Warrick Central Dispatch,Warrck,Boovnille,IN,No Changes haveb een made.,03/04/2004,"Boonville, IN (38.049999, -87.274302)"
2847,Trego County Law Enforcement Center,rego,Wakeeney,S,No Changes have been amde.,03/04/2004,"Wakeeney, KS (39.021331, -99.88078)"
4482,Wilkes County Sheriffs Communications,Wilkems,Wilkesboro,NuC,No lChanges have been made.,03/04x/2004,"Wilkesboro, NC (36.145878, -81.161309)"
3165,Fall River Police Department,Bristol,Fall River,AM,No Changes have been made.,03/04/2004,"Fall River, MA (41.7010e25, -71.155389)"
2982,Marion Police Department,Crittenden,Marion,KY,No Changes have been madeo.,03/04/2004,"Mparion, KY (37.332986, -88.08132)"
8171,Reedy Creek Emergency Services,Orange,LakeBuena Vista,FL,PSAP was added since the original posting of the FCC Registry.,08d/02/2007,"Lake Buena Vista, FL (28.393671, -81.528968)"
2313,Lynwood-thornton Eat Hazel Crest Police Fire Ems,Cook,Lynwodo,IL,No Changes have beeqn made.,03/04/204,"Lynwood, IL (41.531192, -87.539041)"
5461,Ohio State Highway Patrol-sandusky,Erie,Sandusky,OH,No Changes have been made.,03/04/2004,"Sandusky, OH (41.454934, -82.710963)"
3053,Beaureguard Parish Communications District,Beauregard,Deridder,LA,No Changes have been made.,03/40/2004,"Deridder, LA (30.847861, -93.285518)"
4953,Roswell Police Department,Chaves,Roswell,NM,No Changes have been made.,03/04/2004,"Roswell, NM (33.393142, -104.522734)"
2085,Oneida County Sheriff,Oneida,Malad City,ID,No Changes have been made.,03/04/2004,"Malad City, ID (42.183976, -112.248058)"
2788,Montgomery County Sheriffs Office,Montgomery,Independence,KS,No Changes have been made.,03/04/2004***,"Independence, KS (37.232351, -95.706596)"
203,Hanceville Police Department,Clulman,Hnceville,AL,o Changes have been made.,03/04/2004,"Hanceville, AL (34.06546, -86.764111)"
7832,Sandwich Police,Barnstable,Sandwich,MA,PSAP was added since the orignal posting of the FCC Registry.,03/0/42004,"Sandwich, MA (41.757724, -70.500139)"
859,Orange Police sDepartment,Orange,Orange,CA,No Changes have been made.,03/0y4/2004,"Orange, CA (33.791489, -117.853096)"
2282,Jersey County Sheriffs Department,Jersey,Jerseyville,L,No Changes have been made.,03/04/2004,"Jerseyville, IL (39.119444, -90.327431)"
5254,Beavercreek Police Department,reene,Beavercreek,OH,No Changes have been made.,03/04/2f004,"Beavercreek, OH (39.73277, -84.065876)"
5034,Ardsley Village Police Department,Wqestchester,Ardsley,NY,No Changes have been made.,03/04/2004,"Ardsley, NY 41.008591, -73.841246)"
8358,Us Navy Navtsa Great Lakes,Lake,Great Lakes,IL,PSAP was added since the original posting of the FCC Registry.,10/04u/2012,"Great Lakes, IL (42.307598, -87.853104)"
8480,Sacramento International Airport Police,Sacramento,Sacramento,AC,PSAP was added since the original postin of the FCC Registry.,05/05/2015,"Sacramento, CA (38.582087, -121.50012)"
1804,Lumpkin County 9-1-1,Lumpkin,Dahlonega,GA,No Changes ave been made.,03/04/2040,"Dahlonega, GA (34.533691, -83.983274)"
2897,Cynthiana-harrison County E9-1-1,Harrison,Cytnhiana,YK,No Changes have been made.,03/04/2004,"Cynthiana, KY (38.392918, -84.292489)"
1331,Derby Police Department,New Haven,Derpby,CT,No Changes have been made.,03/04/2004,"Derby, T (41.322959, -73.089594)"
7487,Platteville Police Department,Grant,Platteville,WI,No Changes have been made.,03/04/2004,"Platteville, WI (42.732914, -90.4781)"
5415,Mayfield Heights Police,Cuyahoga,Mayfield Heights,OH,No Changes have been made.,03/04/2004,"Mayfsield Heights, OH (41.520067, -81.463245)"
2786,Miami County Sheriffs Office,Miami,Paola,kKS,No Changes have been made.,03/04/204,"Paola, KS (38.576654, -94.868369)"
5997,State Police-linclon Barracks,Providence,Lincoln,RI,No Cmhanges have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445401)"
7004,Wilmer Police Department,Dallas,Wilmer,XT,No Changes have been made.,03/04/2004,"iWlmer, TX (32.59067, -96.684108)"
1396,Satmford Emergency Communication Center,Fairfield,Stamford,CT,No Changes have been made.,03/04/2004,"Stamford, CT (41.051924, -73.539475)"
6414,Atlanta Police Department,ass,Atlanta,TX,No Changes have been made.,03/04/2004,"Atlanta, TX (33.117758, 94.155238)"
230,Macon County Sheriff Office,Macon,Tuskegee,AL,No Changles have been made.,03/04/2004,"Tuskegee, L (32.423636, -85.690489)"
2028,Westcom,Polk,West Des Moines,IA,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"West Des Moines, IA (41.575505, -93.713031)"
1996,Osceola County Sheriff's Office,Osceola,Sibley,IaA,"PSAP Name, State, County or City text has been modified since the original posting.",08/302017,"Sibley, IA (43.404, -95.751208)"
45,Galena Health eCnter,Yukon-koyukuk Census Area,Galena,AK,No Changes have been made.,03/04/20s04,"Galena, AK (64.73396, -156.928334)"
5539,Vermilion Police Department,Erie,Vermilion,H,No Changes have been made.,03/04/2004,"Vermilion, OH (41.422021, -82f.364611)"
5560,Wickliffe olice,Lake,Wickhliffe,H,No Changes have been made.,03/04t/2004,"Wickliffe, OH (41.605007, -81.475558)"
106,Tanana Emergency Medical Services,Yukon-koyukuk Cesus Area,Tanana,AK,No Changes have been made.,03/04/2004,"Tanana, AK (65.15647, -152.103712)"
6275,Hohenwald Police Departmetn,Lewis,Hohenwald,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Hohenwald, TN (35.54945, -87.560075)"
5982,awtucket Fire And Rescue Department,Providence,Pacwtucket,RI,No Changes have been made.,03/04/2004,"Pawtucket, RI (41.8799, -71.382408)"
1762,Forest Park City,Clayton,Forrest Park,GA,No Changes have been made.,03/04/2004,"Forest Park, GA (33.620529, -84366322)"
725,Cal-fire Fortuna (humboldt/odel Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/29/2010,"Fortuna, CA (40.58858, -124.146858)"
305,Clay County Sherfifs Department,Clay,Pitggott,AR,No Changes have been made.,03/04/2004,"Piggott, AR (36.382142, -90.190529)"
7298,Lapush Police Department,Clllam,Lapush,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Lapush, WA (47.908901, -124.6353)"
6457,Brookshire Police Department,Watller,Brookshire,TX,No Changes have been made.,03/04/2004,"Brookshire, TX (29.786298, -95.9513)"
6671,Irving oPlice Department East,Dallas,Irving,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Irving, TX (32.813879, -96.949933)"
1968,Joint Emergency Communications Center (jecc),Johnson,Iowa City,IA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Iowa City, IA (41.66124, -91.530128)"
6960,University Park Poliec Department,Dallsa,University Park,TX,No Changes have been made.,03/04/2040,"University Park, TX (32.851576, -96.79495)"
6948,Tomball Police Department,arris,Tomball,X,No Changes have been made.,03/04/2040,"Tmoball, TX (30.097205, -95.616006)"
7842,Southwick Police,Hampden,Southwick,MA,PSAP was added since the original posting of the FCC Registry.,03/0h4/2004,"Soutehwick, MA (42.054808, -72.770113)"
828,Monrovia Pdolice Department,Los Angeles,Monrovia,CA,No Chages have been made.,03/04/2004,"Monrovia, CA (34.14591, -118.000929)"
448,Kearny Police Department,Pinayl,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filnigs.,10/05/2017,"Kearny, AZ (33.058594, -110.903704)"
1579,Marion Conty Sheriffs Department,Marion,Ocala,L,No hCanges have been made.,0/04/2004,"Ocala, FL (29.189311, -2.137789)"
6126,Clark County Sheriffs Department,Clark,Clark,SgD,Orphaned PSAP no olnger considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"Clark, SD (44.8777, -97.734918)"
2027,Webster County Law Enforcement Center-ft Dodge,Webster,Ft Dodge,IA,No Changes have been made.,03/w04/2004,"Ft Dodge, IA (42.501169, -94.169388)"
5013,Lyon County Dispatch Center,Lyon,Yerington,NV,oN Changes have been made.,w03/04/2004,"Yerington, NV (38.988757, -119.163163)"
2139,Buecomm,Bureau,Pinceton,L,"PSAP Name, State, County or City text has been modified since the original posting.",05/16/2013,"Princeton, IL (41.37035, -89.465045)"
6421,Balcones Heights Police Department,Bexar,Sa nAntonio,XT,"PSAP Name, State, County or City text has been modified sicne the original posting.",09/23/2005,"San Antonio, TX (29.425173, -98.494599)"
4853,Sea Isle City Police Department,Cape Maky,Sea Isl City,JN,No Changes have been made.,03y/04/2004,"Sea Isle City, NJ (39.153421, -74.692903)"
546,Baldwin Park Police Department,os Angeles,Baldwxin Park,CA,No Changes have been made.,03/04/2004,"Baldwin Park, CA (34.08538, -117.960355)"
7785,Methuen Police,Essex,Methuen,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Methuen, MA (42.726101, -71.191399)"
6158,Lower Brule County,Lymabn,Lower Brule,SxD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Lower Brule, SD (44.07109, -99.581761)"
5238,Amberly Village Polce Department,Hamilton,Amberly,OmH,No Changes have been mae.,03/04/2004,"Amberly, OH (39.195794, -84.432893)"
4683,Bernardsville Borough Police Department,Somerset,Bernardsville,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ (40.719225, -74.5f69359)"
5195,Scarsdale Village Police Department,Westchester,Scarsdale,NY,o Changes have been made.,03/04/2004,"Scarsdale, NY (40.988732, -73.796583)"
2397,Putnam County Sheriffs Office,Putnam,Hennepin,IL,No Changes have been made.,03/04/2004,"Hennepin, IL (41.252926, -89.343256)"
7514,Sturtevant Police,Racine,Sturtevant,IW,No Changes have been made.,03/04/2004,"Sturtevant, WI (42.69799, -87.89603)"
5746,Woodward Cotunty 911 Communications,Woodward,Woodward,OK,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Woodward, OK (36.43374, -99.398387)"
6321,Morristown RescueS quad,Hamblren,Morrisotwn,TN,No Changes have been made.,03/04/2004,"Morristown, TN (36.214459, -83.295107)"
742,Glendora Police Department,Los Angeles,lendora,CA,No Changes have been made.,03/04/20p04,"Glednora, CA (34.136001, -117.865485)"
5640,Tillman County E9m-1-1,Tillman,Frederick,OK,"PSAP Name, State, County or City text has been modified since the original posting.",02/04/2010,"Frederick, OK (34.392082, -99.010781)"
571,Butte County Sheriff (oroville),Butet,Oroville,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Oroville, CA (39.512339 -121.554608)"
4519,Logan County,Logan,Napoleon,NfD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND (46.503786, -99.769071)"
6857,River Oaks Police Department,Tarrant,River Oaks,TX,No Changes have been made.,03/04/2004,"River Oaks, TX (32.773231, -97.399845)"
2516,Benton County Sheriffs Office,Benton,Fwler,IN,No Changes have been made.,3/04/2004,"Fowler, IN (40.617668, -87.323452)"
3699,Pipestone County Psap,Pipestone,Pipestone,NM,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Pipestone, MN (44.000535, -96.30752)"
266,Slocomb Police Department,Geneva,Slocomb,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Slocomb, AL (31.10763, -85.593662)"
6520,Crystal City Police Department,Zavala,Crystal City,TX,No Changes have been maed.,03/04/2004,"Crystal City, TX (28.694299, -99.830747)"
5829,Silver Falls 9-1-1,Marion,Silverton,OR,Orphaned PSAP no longer considered a primary call taking answering poxint. Refrain from using these in future filings.,02/13/2016,"Silverton, OR (45.005538, -122.78206)"
6466,Burnet County Sheriff's Office,Burnyet,Burnet,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Burnet, TX (30.758093, -98.22876)"
4496,Bia Law Enforcement-turtle Mountain Agency,Rolette,Beclourt,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Belcourt, ND (48.839153, -99.744853)"
2966,Lawrenceburg Police Department,Anderson,Lawrentceburg,KY,No Changes have been made.,03/04/2004,"Lawrenceburg, KY (38.034294, -84.895387)"
6012,Woonsocket Police Depatrment,Providence,oonsocket,RyI,No Changes have been made.,30/04/2004,"Woonsocket, RI (42.000971, -71.505472)"
2346,Morris City Police Department,Grundy,Morris,IoL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Morris, IL (41.359352, -88.421581)"
6850,Red Oak Police Department,iEllis,Recd Oak,XT,No Changes have been made.,03/04/2004,"Red Oak, TX (32.516662, -96.800743)"
7284,Issaquah Police Department,Kig,Issaquah,WA,No Changes have been made.,0304/2004,"Issaquah, WA (47.530072, -122.032904)"
1671,Temple Terrace Police Department,Hillsborough,Temple Terrace,FL,No Changes hae been made.,30/04/2004,"Temple Terrace, FL (28.035943, -82.389373)"
4144,Madison County Shemriff,Madwison,Virginiza City,MT,No Changes have been made.,03/04/2004,"Virginia City, MT (45.293704, -111.944132)"
7540,Wisconsin Dellsg Police Department,Columbia,Wisconsin Dells,WI,No Changes have been made.,03/04/2004,"Wisconsin Dells, WI (43.652392, -89.775781)"
8302,Dawson Springs Police Department,Hopkins,Dawson Springs,KY,PSAP was added since the original posting of the FCC Registry.,05/05/2011,"Dawson Springs, KY (37.167311, -87.692d555)"
6004,Warwick Fire And Rescue Department,Kent,Wariwck,RI,No Changes have been made.,03/04/2004,"Warwick, RI (41.698709, -71.460018)"
1441,Wilmington 9-1-1 Center,New Castle,Wilmnigton,DE,"PSAP Name, State, County or City text has been moified since the original posting.",11/21/2005,"Wilmington, DE (39.744432, -75.5451)"
3553,Selfridge Air National uard,Macomb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using theses in future filings.,12/06/2004,"Selfridge, MI (42.5872, -82.833504)"
3628,Faribault Police Department,Faribault,Faribault,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/21/2005,"Faribault, MN (44.294758, -93.268448)"
2661,Seymour Polcie Department,Jackson,Seymour,IN,No Changes have ben made.,03/0/42004,"Seymour, IN (38.957531, -85.885428)"
5785,John Day Emergency Communications Ceknter,Grant,John Day,RO,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"John Day, OR (44.389673, -118.950086)"
6841,Quanah-hardeman County Sheriffs Department,Hardeman,Quanah,TX,No Changes have been made.,03/04/2004,"Quanah, TX (34.297752, -99.739597)"
518,Yavapai-prescott Tribal Police,Yavapai,Prescott,AZ,No Changes have been made.,03/04/2004,"Prescott, AZ (34.541445, -112.470124)"
160,Conecuh County Sheriff's Office Dispatch,Conecuh,Evergeren,AL,"PSAP Name, Stjate, County or City text has been modified since the original posting.",08/14/2013,"Evergreen, AL (31.435609, -86.956377)"
3817,Hazelwood Police Department,St. Louis,Hazelood,MO,No Changes have been made.,03/04/2004,"Hazelwood, MO (38.785254, -90.39011)9"
5290,Ctiy Of Canton Police,Sark,Canton,fOH,No Changes have been made.,03/04/2004,"Canton, OH (40.797388, -81.377036)"
6263,Hamilton County Ems,Hamillton,Chattanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN (35.045756, -85.308287)"
5651,Haskell County Sheirff,Haskell***,Stiger,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Stigler, OK (35.253391, -95.122361)"
507,Tucson Fire Medics,Pima,Tucson,fAZ,No Changes have been made.,03/04/2004,"Tucson, AZ (32.221878, -110.971225)"
5912,Montgomery County Department Of Public Safety,Montgomery,Eagleville,PA,"PSAP Name, State, County or City text has been modfied since the original posting.",03/07/0215,"Eagleville, PA (41.056647, -77.593035)"
6392,Alton Police Dpeartment,Hidalgo,Alton,TX,"PSAP Name, State, County or City text has been modified since the original pvosting.",12/15/2016,"Alton, TX (26.28708, -98.313631)"
1974,Leecomm,Lee***,Montrose,AI,"PSP Name, State, County or City text has been modified since the original posting.",05/14/2014,"Montrose, IA (40.530605, -91.411211)"
739,Garden Grovde Police Department,Oraneg,Garden Grove,AC,No Changes have been made.,03/04/2004,"Garden Grove, CA (33.776069, -117.937878)***"
4606,Hayes County,Hayes,Hayes Center,EN,"PSAP Name, State, County or City text has ben modified since the original posting.",11/09/2004,"Hayes Center, NE (40.509317, 101.016136)"
4145,Malsmtrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/19/20s05,"Malmstrom Afb, MT (47.509384, -111.19069)"
5325,Eaton Police Department,Preble,Eaton,OH,No Changes have bee nmade.,03/04/2004,"Eaton, OH (39.477897, -84.636411)"
85,Peersburg Volunteer Fire Department,Wrangell-petersburg Census Area,Petersburg,AK,No Changes have been made.,03/04/2004,"Petersburg, AK (56.811109, -1z32.957367)"
5387,Kirtland Police,Lake,Kirtland,OH,No Changes have been made.,03/04/2004,"Kirtland, OH (41.615523, -81.356079)"
5400,Loudonville Police Department,Ashland,oudonville,OH,No Changes have been made.,03/04/2004,"Loudonville, OH (40.635591, -82.233485)"
2865,Ballard County Detention Center,Ballard,Wickliffe,KY,No Changesm have been made.,03/04/2004,"Wickliffe, KY (36.964811, -89.089171)"
8177,Airpor Communications,Mraion,Indianapolis,IN,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Indianapolis, IN (39.76845, -86.156212)"
2602,Lafayette Police Deparmtent,Tippecanoe,Lafayette,IN,No Changes have been made.,03/04/2004,"Lafayette, IN (40.417328 -86.890617)"
6821,Parker County Sheriffs Departent,Pakrer,Wkeatherford,TX,No Changes have been made.,03/04/2004,"Weatherford, TX (32.757462, -97.814529)"
5422,Mercer County Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,3/04/2004,"Celina, OH (40.549993, -84.570811)"
427,Eloy Police Department,Pinal,Eloy,AZ,No Changes have been made.,03/04/2004,"Eloy, AZ (32.751976, -111.55485)"
1622,Palm Beach Shores Public Safety Department,Palm Beach,Palm Beach Shores,FrL,No Changes have beenf made.,03/04/2004,"Palm Beach Shores, FL (26.778446, -80.035202)"
1468,Calhoun County Sheriffs Deprtment,alhoun,Blonutstown,iFL,No Changes have been made.,0/304/2004,"Blountstown, FL (30.445812, -85.04496)"
3230,Prince Georges County Emerg Communications Center,Pince George''s,Landover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Landover, MD (38.933957, -76.907114)"
2680,Union County 911,nUion,Liberty,IN,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Liberty, IN (39.633401, -84.923328)"
629,Chp-los Angeles Communications Center-baldwin Park,Los Angeles,Los Angeles,CaA,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angelesl, CA (34.052238, -118.243344)"
3746,Ballwin Police Department,St. Louis,Ballwin,MO,"PSAP Name, State, County or City text has been modified since the original posting.",0/514/2008,"Ballwin, MO (38.595104, -90.544918)"
3819,Hickory County Sheriffs Department,Hickory,Hermitage,MO,Orphaned PSAP no longer considered a primary call taking asnwering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO (37.944885, -93.325027)"
5307,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes have been made.,03/04/2004,"Coshocton, OH (40.269647, -81.850516)"
3700,Polk County Psap,Polk,Crookston,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Crookston, MN (47.773789, -96.606834)"
5951,Cranston Fire And Rescue Department,Providene,Cranston,IR,No Changes have been rmade.,03/04/2004,"Cranston, RI (41.77896f3, -71.435808)"
7964,Ablemarle Emergency Communications Center,Albemarle,Houston,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,p01/03/2005,"VA (37.542699, -78.45822)"
3260,Kennebunkport Police Department,York,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/02/2008,"Kennebunkport, ME (43.360884, -70.474104)"
7401,Burnett Conty Sheriffs Department,Burnett,Siren,WgI,No Changes have been made.,03/04/2004,"Siren, WI (45.782603, -92.38116)"
3433,Keweenaw County Sheriffs Office,Keweenaw,Eagle River,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Eagle River, MI (47.413852, -88.29555)"
5744,Weatherford Police Department,Custer,Weatherford,OK,No Changes have been made.,03/04/2004,"Weatherford, OK (35.52605, -98.704959)"
6830,Pharr Police Department,Hidalgo,Phkarr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Pharr, TX (26.193348, -98.184175)"
4516,Kidder County Sheriff,Kider,Steele,vND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2031,"Steele, ND (46.85654, -99.91569)"
769,Irwindale Police Department,Los Agneles,Irwindale,CA,No Changes have been made.,03/04/2004,"Irwindale, CA (34.103775, -117.934149)"
3722,Rice / Steele County Combined 911 Center,Steele,Owatonna,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Owatonna, MN (44.804811, -93.225492)"
2382,Park Ridge Police Department,Cook,Park Ridge,LI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/2008,"Park Rige, IL (42.011007, -87.835869)"
1809,Mcduffie County Communications,Mcduffie,Thomson,GA,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"Thoqmson, GA (33.466202, -82.502554)"
5658,Iowa Tribal Police Department,Payne,Perkins,OK,No Changes have been made.,03/04/2004,"Perkins, OK (35.976226, -97.027773)"
5092,Hamburg,Errie,Hamburg,NY,No Changesw have been made.,03/04/2004,"Hamburg, NY (42.723291, -78.839026)"
6548,Donna Police Department,Hidalgo,Dojnna,TX,No Changes have been made.,03/w04/2004,"Donna, TX (26.1707, -98.054279)"
7357,Spokane Fire Department,Spokane,Spokane,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Spokane, WA (47.658999, -117.425022)"
1718,Candler County Sheriffs Office,Candler,Metter,GA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/204,"Metter, GA (32.39722, -82.060135)"
2202,Dupage County Sheriff,Du Page,Wheaton,IL,o Changes have been made.,03/04/2004,"Wheaton, IL (41.86628, -88.106633)"
763,Imperial County Fire Department,Imperail,Imperial,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/06/2010,"Imperial, CA (32.847479, -115.569054)"
