OBJECTID,NAMELSAD,Households_Total,Households_Total_Less_than__10_,Households_Total__10_000_to__14,Households_Total__15_000_to__24,Households_Total__25_000_to__34,Households_Total__35_000_to__49,Households_Total__50_000_to__74,Households_Total__75_000_to__99,Households_Total__100_000_to__1,Households_Total__150_000_to__1,Households_Total__200_000_or_mo,Households_Median_income__dolla,Households_Mean_income__dollars,Families_Total,Families_Total_Less_than__10_00,Families_Total__10_000_to__14_9,Families_Total__15_000_to__24_9,Families_Total__25_000_to__34_9,Families_Total__35_000_to__49_9,Families_Total__50_000_to__74_9,Families_Total__75_000_to__99_9,Families_Total__100_000_to__149,Families_Total__150_000_to__199,Families_Total__200_000_or_more,Families_Median_income__dollars,Families_Mean_income__dollars_,Marriedcouple_families_Total,Marriedcouple_families_Total_Le,Marriedcouple_families_Total__1,Marriedcouple_families_Total__2,Marriedcouple_families_Total__3,Marriedcouple_families_Total__4,Marriedcouple_families_Total__5,Marriedcouple_families_Total__7,Marriedcouple_families_Total__6,Marriedcouple_families_Total__8,Marriedcouple_families_Total__9,Marriedcouple_families_Median_i,Nonfamily_households_Total,Nonfamily_households_Total_Less,Nonfamily_households_Total__10_,Nonfamily_households_Total__15_,Nonfamily_households_Total__25_,Nonfamily_households_Total__35_,Nonfamily_households_Total__50_,Nonfamily_households_Total__75_,Nonfamily_households_Total__100,Nonfamily_households_Total__150,Nonfamily_households_Total__200,Nonfamily_households_Median_inc,Nonfamily_households_Mean_incom,City,Shape__Length_1,Shape__Area_1,Shape__Area,Shape__Length
1,Census Tract 8100,1261,0.8,2.4,5.2,5.4,5.3,10.5,5.2,25.9,26.8,12.5,119340,128998,822,0,1,5.7,7.4,3.4,3.2,1.3,30,30.8,17.2,144224,145961,696,0,1.1,1.3,4.2,1.4,3.7,1.6,33.8,32.6,20.3,155118,439,2.3,5,4.1,1.6,13,24.4,12.3,21,12.5,3.9,74531,90493,Tempe,,,29927931.9466553,27935.8476574031
2,Census Tract 8101,2175,0,0,2.9,0,4,6.9,15.3,27.4,13.9,29.4,141359,180092,1819,0,0,0.6,0,3.9,7.9,13.2,26.4,16.6,31.4,145598,186013,1520,0,0,0.7,0,3.5,6.5,13.9,22.6,17.7,35.1,163864,356,0,0,14.9,0,4.8,4.2,26.1,30.9,4.8,14.3,103750,137694,Tempe,,,55493834.5514526,41937.6501215206
3,Census Tract 8103,2573,2.1,4.6,2.1,0.8,13.3,24.8,19.3,22.6,6.3,4.1,77875,90171,1580,3.5,0,2.6,0,8.8,17.4,23,29.9,8.2,6.6,93571,104978,1124,0,0,3.6,0,1.7,17.2,20.9,36.8,11.6,8.2,109333,993,0,11.9,1.4,2,20.5,41.9,9.6,11.1,1.6,0,60568,63453,Chandler,,,27595092.6945801,21171.9569646148
4,Census Tract 8104,2112,1.8,1.4,4.7,2.9,15,13.7,15,18,14.4,13.1,96250,118176,1361,0.7,0.4,5.6,0,13.1,10.1,8.2,22.9,21.4,17.6,137604,137478,1114,0,0,2.4,0,8.6,10.5,8.3,24.1,24.6,21.4,145870,751,4.9,3.2,2,8.1,25.3,20.9,21.2,7.7,3.5,3.2,53547,77122,Chandler,,,58446007.3277588,37438.7513553466
5,Census Tract 8105,2000,1.4,4.8,3.3,10.7,1.7,23.5,7.8,24.3,3.5,19.1,90800,115475,1331,1,4.3,0.5,13,0,15.5,11.3,23,6.4,25.1,101836,134355,1069,0,0,0.6,16.2,0,16.1,14.1,13.8,8,31.2,118125,669,2.2,5.8,9,6.1,4.9,39.5,0.7,28.4,0,3.3,62188,70764,Chandler,,,31551125.9501953,23795.5790532326
6,Census Tract 8106,2729,1.3,2.1,1.1,5.3,5.2,12.8,13.2,32.1,13.1,13.8,106397,128834,2051,1.8,1,0,5.5,3.9,8.5,12.7,37.4,12.7,16.5,115275,140329,1588,1.1,1.3,0,2.3,1.2,8.8,10.7,38,15.2,21.3,126318,678,0,5.3,4.4,4.7,11.8,26.5,11.2,23.6,6.9,5.5,73681,89760,Chandler,,,38331250.6889038,26516.1748299071
7,Census Tract 3197.10,987,18.1,2,2.1,5.6,8.1,18.4,15.8,20.9,3.2,5.7,72636,83989,366,19.7,0,2.5,3.6,5.2,15.8,19.9,29.5,1.4,2.5,78700,75596,238,0,0,2.1,5.5,3.4,11.8,30.7,40.8,2.1,3.8,96447,621,17.2,3.2,1.9,6.8,9.8,24.5,13.4,13.5,2.1,7.6,61875,84870,Tempe,,,65506564.1577148,42080.1897892385
8,Census Tract 1167.38,2700,1,0.9,4.8,4.3,17.6,14.7,15.5,25.9,1.9,13.5,79599,105191,1807,1.8,0,5.3,3,10,13.5,16.5,29.4,2.8,17.7,99479,116770,1266,0,0,3.9,0,0,14.5,23.6,30.6,4,23.5,140129,893,2.9,2.8,0,8.6,33.4,22.4,12.9,12,0,5,52135,74920,Phoenix,,,57145345.6504517,56220.6321628928
9,Census Tract 3197.08,1909,1.3,1.5,7.4,13.8,15.3,27.1,20.5,9.1,2.9,1,57357,64616,974,0,0,1.3,8.8,9.7,31.9,30.6,10,5.7,2,74315,79875,619,0,0,0,4.7,12.6,27.3,36.7,13.7,5,0,83750,935,2.7,3,13.7,18.9,21.3,29.9,3.9,6.6,0,0,44489,46633,Tempe,,,21917801.8861694,22911.3870046425
10,Census Tract 4222.27,645,1.7,1.7,4.3,15,6.4,23.9,11.2,19.1,15.7,1.1,73682,85434,438,1.1,0.9,3.2,21.7,3,17.8,11.6,19.2,19.9,1.6,85000,88427,292,0,1.4,0,24.7,1.7,18.5,13.4,26.4,11.6,2.4,92857,207,2.9,3.4,13.5,12.1,13.5,18.8,11.6,17.4,6.8,0,53438,69109,Mesa,,,12828212.6981812,15370.1627395272
11,Census Tract 3190.02,886,14.6,5.2,15.7,4.5,15,12.3,5.2,6.7,10.5,10.4,39259,79750,268,7.8,0,9,0,13.4,5.6,6,12.7,19,26.5,132857,140870,185,5.9,0,0,0,2.7,7,0,18.4,27.6,38.4,168250,618,17.5,7.4,18.6,6.5,19.7,11.2,4.9,4,6.8,3.4,31250,51837,Tempe,,,17622649.5286255,21785.9883780308
12,Census Tract 3198.01,1329,4.2,3.8,0,14.1,16.3,27.7,14.1,16.7,1.4,1.7,55747,66774,596,4.2,8.4,8.4,10.6,10.6,31.7,12.9,13.3,0,0,55670,59381,137,18.2,0,0,0,8.8,32.1,0,40.9,0,0,68992,733,7.6,0,0,16.9,23.1,21.8,13,15,2.6,0,50653,60993,Tempe,,,13290819.2783203,15343.1825431724
13,Census Tract 3198.02,1964,1.9,0.8,1.6,17.4,17.7,35.6,13.3,4,6.8,1.1,53494,64947,839,0,0,4.1,11.4,18.2,31.7,11.9,9.3,10.7,2.6,70596,79513,399,0,0,4,16,2,19.8,19.5,16,22.6,0,79193,1125,3.3,1.3,1.3,21.8,19.2,34.9,14.3,0,3.8,0,52632,52982,Tempe,,,14156858.6065063,15926.9851297517
14,Census Tract 1138,1287,5.7,2.7,4.4,13.6,12.2,29.8,11.7,15.6,1.7,2.6,59418,79544,343,0.6,2.9,2.3,13.7,10.2,27.7,12,27.1,0,3.5,65927,76051,273,0.7,0,2.9,9.2,12.8,26.7,9.2,34.1,0,4.4,67460,944,7.5,2.6,5.2,13.6,12.9,30.6,11.5,11.4,2.3,2.2,58060,80520,Phoenix,,,194921550.91449,63992.6398358492
