X,Y,OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_WTLND_AREA_NM,AREA_ID,NWI_NHD_RCH_CD,ASMNT_APRCH,ACRES,AREA_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,LENTIC_TYPE,SPRING_TYPE,GEOL_STR_TYPE,PRMRY_LITHOLOGY,DISCHARGE_PERMANENCE,DEV_NOTES,LIVESTOCK_SEASON,COMMENTS,RPRN_WTLND_AREA_SAT,RATIONALE,FLUCTUATE_WTR_LVL_NOT_EXCSVE,RATIONALE_2,RPRN_WTLND_AREA_ENLRGE,RATIONALE_3,WTRSHD_NOT_CONTRIBUTE_DEGRADE,RATIONALE_4,WTR_QLTY_SFCNT,RATIONALE_5,SRFCE_SBSRFCE_FLOW_NOT_ALT,RATIONALE_6,STRCTRE_ACCOMMODATE,RATIONALE_7,DVRSE_AGE_DSTRBN_VEG,RATIONALE_8,DVRSE_CMPSTN_VEG,RATIONALE_9,SPCS_INDCT_MAINT_SOIL,RATIONALE_10,ROOT_WTHSTND_EVENT,RATIONALE_11,RPRN_PLANT_HIGH_VIGOR,RATIONALE_12,VEG_DSPTE_ENERGY,RATIONALE_13,HEAVE_NOT_PRSNT,RATIONALE_14,FVRBL_MICROSITE_CND_MAINT,RATIONALE_15,CHEM_NOT_AFFECT_PLANT,RATIONALE_16,SOIL_SAT_SFCNT,RATIONALE_17,WTR_PERCOLATION_RSTRCT,RATIONALE_18,RPRN_WTLND_AREA_IN_BAL,RATIONALE_19,SHORELINE_CHAR_DSPTE_EVENT,RATIONALE_20,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,FLOW_REGLTN,CHANNELIZATION,DEWATERING,DREDGING,LND_OWN,MINING,ROAD,SPRING_DEV,WTRSHD_CND,OIL_FLD_WTR_DISCH,AGMNT_FLOW,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL
,,11,{813A0559-83EE-4686-8A64-8C86C9803492},406HINC0101,2010/08/30 00:00:00+00,CO,COS01000,HINCHMAN RESERVOIR,,,COMPLETE_RECON,,,,,,,,,,,,WILDLIFE NOTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,WILDLIFE NOTED,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{103FD06C-EE16-4407-A8AA-CE06C30B70FD},,
,,12,{27CC2EB8-CF05-4414-A8B6-191C0360D969},204UWET0101,2011/08/17 00:00:00+00,CO,COS01000,UNNAMED WETLAND,,,COMPLETE_RECON,,,,,,,,,,,,USED BY LIVESTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,USED BY LIVESTOCK,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{B24A6AC7-4D55-40B0-9A9A-AA91852C0078},,
,,13,{43D1073D-2F2F-4197-951C-832228F76206},204ALKA0101,2011/08/17 00:00:00+00,CO,COS01000,ALKALI FLATS,,,COMPLETE_RECON,,,,,,,,,,,,SOME USE BY LIVESTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,SOME USE BY LIVESTOCK,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{8E73691A-3FEF-4E77-973E-B5266EFD3B00},,
147292.8867,4164720.293,14,{A4BCD081-6D98-4827-9763-738C852C415E},405HOSP0101,2003/04/02 00:00:00+00,CO,COS01000,H-O SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,OLD DAM BREACHED WITH ACTIVE HEADCUT. ROAD AND UPLANDS CONTRIBUTING LOTS OF SEDIMENT. ,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{0A30EBF4-A2ED-472B-A7AE-D2ADFB926E91},,
154874.5472,4159870.4332,15,{DAF3FDCD-E6FA-42C9-BACB-7ABC067F780B},209MISP0101,2003/04/07 00:00:00+00,CO,COS01000,MILLER SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,TRAMPLING AT HEAD OF SPRING. DRAINAGE BELOW INCISED. TRAILS IN AREA COULD CHANNELIZE OVERLAND FLOWS.,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{C45CC4A1-7446-467E-B5F0-4AFB83FDD4BE},,
150955.7682,4155664.9713,16,{EEBFE565-2C9B-4B10-A3F6-26A6B7E78F2F},209COSP0101,2003/04/07 00:00:00+00,CO,COS01000,CONFLUENCE SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{C27EA7F5-9205-4381-A051-264FD6F53BFC},,
148105.5049,4140599.3826,17,{CE16B962-A311-4202-ADD8-B1094C163564},210CASP0101,2003/04/09 00:00:00+00,CO,COS01000,CANNONBALL RUIN SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{3FB3B597-7908-4784-B32A-A826C5D5074D},,
149350.5667,4135658.8966,18,{D09C73DD-63AB-4D76-8A56-13D0A9759926},305BLSP0101,2003/01/30 00:00:00+00,CO,COS01000,BLUEWATER SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"HEAVILY USED BY LIVESTOCK, COMPACTION AROUND TROUGH",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{C8ED9908-DA62-4C67-9118-3051E8DD583E},,
150543.6301,4148870.5586,19,{7B4047EB-BBE4-4EF9-8C84-56639662B8F4},207OLSP0101,2003/01/30 00:00:00+00,CO,COS01000,OLD 160 SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,COTTONWOODS AND WILLOWS HEAVILY BROWSED. SPRING COMPLETELY BURIED UNDER SEDIMENT. ,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{4B54C6E6-50D0-4C78-A148-5A4543E1A1BE},,
148973.8491,4155377.1481,20,{68354096-3409-414C-831E-C741BD640ED8},406NISP0101,2003/01/30 00:00:00+00,CO,COS01000,NICE SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,NO EVIDENCE OF CATTLE USE. RIPARIAN VEG NOT AT POTENTIAL. SEDIMENTATION FROM TOP ROCK BELOW RES. ,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{1BB7C46C-D954-496D-AFDD-7523E986562A},,
154059.6346,4152003.9839,21,{21DF8855-2295-45BA-8C5E-9FE2816A8999},207WMOC0101,2003/04/02 00:00:00+00,CO,COS01000,WEST MOCKINGBIRD SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,RECENT WELL PAD POSSIBLY AFFECTING SPRING. SPRING IS DRY AND RECEIVING SEDIMENT FROM UPLANDS. ,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{B1403DF0-E295-4765-A845-7F35DCE4811D},,
150956.0196,4171845.857,22,{43455F02-981D-4C05-8226-F056E5ABC948},405BRSP0101,2003/04/02 00:00:00+00,CO,COS01000,BRAVEN SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,PRIVATE LAND UPSTREAM CONTRIBUTING GREATLY TO SEDIMENTATION AND POLLUTION.  LIMITED RIPARIAN VEG.,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{A49596C2-6691-41E5-A391-2DEB66A605EB},,
149069.7945,4158732.3591,23,{34AF292E-11D1-4FBE-9679-4FA60FDAF1BC},406FRSP0101,2003/04/09 00:00:00+00,CO,COS01000,FROTHY SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{F7E1D580-FBF2-4125-A747-63E106957732},,
195167.9864,4210737.5248,24,{DAD2170D-7B78-4A34-92BD-A5C125669A36},402UNAM0101,2004/05/04 00:00:00+00,CO,COS01000,UNNAMED SPRING,,,COMPLETE_RECON,,,,,,,,,,,,"NAMED ""SPR"" ON LENTIC PFC DATA SHEET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,SITE IS VERY DRY.  PROBABLY BEING FED BY GROUNDWATER TABLE THAT MAY HAVE LOWERED. ,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{34842680-613C-458C-98B4-6957CBC9636C},,
193921.7984,4211269.7929,25,{5605DCB4-70FE-4DCB-BCBD-6F42F072E735},402UNAM0102,2004/05/04 00:00:00+00,CO,COS01000,UNNAMED SPRING NO. 2,,,COMPLETE_RECON,,,,,,,,,,,,"NAMED ""SPR 2"" ON LENTIC PFC DATA SHEET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,SPRING DRYING OUT.  DROUGHT PROBABLY HAVING LARGE INFLUENCE.,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{A5CB4B56-408F-424D-8A01-374CA685579E},,
181771.9756,4221830.384,26,{EC81BE2D-7C66-4439-9DD3-18159AEE1CB2},404SBSP0101,2004/06/02 00:00:00+00,CO,COS01000,SOUTH BASIN SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{F9D45238-7C0F-4E9A-BD2D-76C8CD23560C},,
181675.9086,4221791.5339,27,{D0BE42B5-2A5F-4DDB-AFD3-A4C1AC3DB6CE},404SBSW0101,2004/06/02 00:00:00+00,CO,COS01000,SOUTH BASIN SPRING WEST,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{91A92254-C50B-4967-8B2B-9D1970090302},,
173832.7365,4226233.1149,28,{7EB31FA5-453C-4A8B-91EF-14EA9B7FD271},405WFDR0101,2004/06/09 00:00:00+00,CO,COS01000,WEST FORK DRY CREEK SPRING NO. 1,,,COMPLETE_RECON,,,,,,,,,,,,"CALLED ""1ST SPR WF DRY CK"" & WFSPRING 1 ON LENTIC PFC DATA SHEET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{07FB2782-259C-4C42-AD06-32FC2688D692},,
177819.3094,4223523.082,29,{566CD83E-F542-4647-8C3D-502641E526BA},405SSSP0101,2004/06/09 00:00:00+00,CO,COS01000,SOUTH SALT SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{62B60C10-08D8-437E-932F-13C145E2E8D5},,
185295.41,4208262.2294,30,{FE67F46F-EAF8-46A1-9B66-87C3C5814B62},508BESP0101,2003/09/03 00:00:00+00,CO,COS01000,BASSNET POINT SPRING,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{ABA96195-8176-41E5-A74E-9F6C11FFEC44},,
159531.5028,4145276.9032,31,{78DE414B-065E-44C4-B675-97C20E8AF9AB},208HACK0101,2003/08/26 00:00:00+00,CO,COS01000,HACKLE SPRING,,,COMPLETE_RECON,,,,,,,,,,,,FORMERLY WAGONBOX SPRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,SEVERE DROUGHT CONDITIONS. OLD ROAD ABOVE SOURCE. PLANTS HAVE LOW VIGOR AND CATTAILS GONE.,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{729A67DD-8F6A-40DD-8577-748138C8CC3D},,
149882.6495,4205409.1131,32,{1ECF7D4E-56DC-46BB-ADAB-6854BDC5D161},702BASP0101,2007/05/16 00:00:00+00,CO,COS01000,BANANA SPRING,,,COMPLETE_RECON,,,,,,,,,,,,POSSIBLY A NEW SOURCE (COMES OUT OF SIDE OF HILL JUST ABOVE ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,POSSIBLY A NEW SOURCE (COMES OUT OF SIDE OF HILL JUST ABOVE ROAD),,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{4A7E4E2D-9428-464D-9664-B4DD7BC3E730},,
162419.9843,4215816.8013,33,{E0E82C06-2755-497B-92B0-F3653A6F5260},706UNAM0101,2007/07/24 00:00:00+00,CO,COS01000,UNNAMED SPRING,,,COMPLETE_RECON,,,,,,,,,,,,IN TRIBUTARY TO NICHOLAS WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,IN TRIBUTARY TO NICHOLAS WASH,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{7389F7FF-A2ED-42F7-8CFB-BEBA44A77D3B},,
222510.2709,4150925.158,34,{7A117FD4-945C-4687-BF4D-9E19E03C07FE},102WMAN0101,2007/08/14 00:00:00+00,CO,COS01000,WEST MANCOS RIVER LENTIC SITE 14 ,,,COMPLETE_RECON,,,,,,,,,,,,NEAR 2 SMALL PONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,NEAR 2 SMALL PONDS,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{EB88C39A-31D7-444C-880E-FAF82D72C02C},,
216472.9102,4150514.1027,35,{3C491033-A086-4320-9F7A-386C4E4F772A},102WMAN0102,2007/08/13 00:00:00+00,CO,COS01000,WEST MANCOS RIVER LENTIC SITE 13 ,,,COMPLETE_RECON,,,,,,,,,,,,"HEAVILY TRAMPLED WITH NO NEW OR YOUNG WILLOW, LITTLE GRADIENT CHANGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"HEAVILY TRAMPLED WITH NO NEW OR YOUNG WILLOW, LITTLE GRADIENT CHANGE",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{7A8755C0-5385-4381-82B5-A7CBD3AB858B},,
216319.9487,4150365.1039,36,{1D53E5D9-F813-491D-9B61-47CC1C0B6B83},102GRBE0101,2007/08/13 00:00:00+00,CO,COS01000,GRAY BEAL SPRING,,,COMPLETE_RECON,,,,,,,,,,,,"SPRINGBOX WORKING BUT TROUGHS ARE BROKEN, SURROUNDING AREA VERY TRAMPLED AND BARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"SPRINGBOX WORKING BUT TROUGHS ARE BROKEN, SURROUNDING AREA VERY TRAMPLED AND BARE",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{556F45E2-F22B-430A-9B13-F2BA40AE4540},,
220712.2071,4147031.6005,37,{A78AD620-BC31-4FFC-B7A1-B47E9E190E4C},101BURI0101,2007/07/11 00:00:00+00,CO,COS01000,BURNT RIDGE POND LENTIC PFC SITE 5,,,COMPLETE_RECON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,,,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{9FD63B6C-C05E-439F-A33E-D75EC7E9B5EF},,
219399.3205,4147061.109,38,{B74287AB-711C-446D-86DD-ADD2E24D4868},101UPTD0101,2007/07/11 00:00:00+00,CO,COS01000,UPPER T-DOWN WETLAND LENTIC PFC SITE 7,,,COMPLETE_RECON,,,,,,,,,,,,"BROWSE ON WILLOW.  OUTLET IS SLIGHTLY DOWNCUT, BUT OK FOR NOW.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,,,,,NO,,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,YES,"BROWSE ON WILLOW.  OUTLET IS SLIGHTLY DOWNCUT, BUT OK FOR NOW.",,,,,2021/09/15 16:03:23+00,2021/09/15 16:03:23+00,{6915B1F5-9840-430A-9993-960D7C66713A},,
