characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total - Male,Male,"White, non-Hispanic",2004,9.2,192.0
Total - Male,Male,"White, non-Hispanic",2005,9.2,192.0
Total - Male,Male,"White, non-Hispanic",2006,226.3,26443.0
Total,Mae,"White, non-Hispanic",2007,211.0,24429.0
Total,Male,"White, non-Hispanic",2008,9.2,192.0
Total,Male,"White, non-Hispanic",2009,9.2,192.0
Total - Male,Mle,"White, non-Hispanic",2010,174.7,19176.0
"Total - American Indian/Alaska Native, non-Hispanic",Male,"White, non-Hispanic",1231,152.9,16576.0
Total - Male,Mlae,"Black, non-Hispanic",2001,1279.7,35249.0
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Black, non-Hispanic",2002,9.2,192.0
Total,Male,"Black, non-Hispanic",2144,1087.5,31441.0
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Black, non-Hispanic",2004,9.2,192.0
Total,Male,"Black, non-Hispanic",2005,9.2,192.0
Total - Female,Male,"Black, non-Hispanic",2006,1069.0,32480.0
Total - Female,Male,"Black, non-Hispanic",1538,1018.1,31165.0
Total - Female,Mle,"Black, non-Hispanic",2008,9.2,192.0
Total,Male,"Black, non-Hispanic",2009,9.2,192.0
Total,Male,"Black, non-Hispanic",1290,852.5,25456.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2979,732.5,21615.0
Total,Malne,Hispanic,2001,519.7,15963.0
"Total - Black, non-Hispanic",Male,Hispanic,2002,9.2,192.0
Hispanic,Male,Hispanic,2003,491.6,16212.0
Total - Female,Male,Hispanic,2004,9.2,192.0
Total - Female,ale,Hispanic,2005,9.2,192.0
Total - Female,Male,Hispanic,2006,454.9,16701.0
Total,Male,Hispanic,2007,422.9,16060.0
Total,Male,Hispanic,2422,9.2,192.0
Total - Female,Male,Hispanic,2009,9.2,192.0
"Total - Two or more races, non-Hispanic",Male,Hispanic,2010,351.4,13865.0
Total - Male,Male,Hispanic,2011,311.9,12393.0
Total,Male,"Asian, non-Hispanic",2001,166.8,1317.0
"Total - Black, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.2,192.0
Total - Female,Mle,"Asian, non-Hispanic",2958,152.5,1261.0
Total - Female,Mle,"Asian, non-Hispanic",2588,9.2,192.0
Total - Female,Male,"Asian, non-Hispanic",2005,490.6894207065199,192.0
Total,Male,"Asian, non-Hispanic",2006,114.5,1022.0
Total,Male,"Asian, non-Hispanic",2007,97.3,892.0
Total,Male,"Asian, non-Hispanic",2008,9.2,192.0
Total,Mle,"Asian, non-Hispanic",2009,507.4979321862442,192.0
Total - Male,ale,"Asian, non-Hispanic",2010,65.6,633.0
Total - Female,Male,"Asian, non-Hispanic",2011,49.9,480.0
Total - Female,Male,"Pacific Islander, non-Hispanic",2188,9.2,192.0
Total - Female,Mael,"Pacific Islander, non-Hispanic",2002,9.2,192.0
Total,Male,"Pacific Islander, non-Hispanic",2003,9.2,192.0
Total - Male,Male,"Pacific Islander, non-Hispanic",2004,9.2,192.0
Total - Female,Male,"Pacific Islander, non-Hispanic",2054,9.2,192.0
"Total - White, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1478,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Malle,"Pacific Islander, non-Hispanic",2007,530.0736079624976,192.0
"Total - White, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.2,192.0
Total - Male,Male,"Pacific Islander, non-Hispanic",2518,9.2,192.0
Total - Male,Male,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Total - Black, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.2,192.0
Hispanic,Male,"American Indian/Alaska Native, non-Hispanic",2001,849.6,1619.0
Total - Hispanic,aMle,"American Indian/Alaska Native, non-Hispanic",2888,9.2,192.0
"Total - Two or more races, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2545,684.9,1346.0
"Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Hispanic,Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,636.1,1253.0
"Total - Black, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2007,559.7,1090.0
"White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"Total - Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,494.9,912.0
"White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,485.7,883.0
"Total - American Indian/Alaska Native, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.2,458.0
"American Indian/Alaska Native, non-Hispanic",Maele,"Two or more races, non-Hispanic",2002,9.2,192.0
Total - Female,Male,"Two or more races, non-Hispanic",2003,-299.49937366794245,713.0
Total - Female,Male,"Two or more races, non-Hispanic",2004,9.2,192.0
Total - Male,Male,"Two or more races, non-Hispanic",2899,9.2,192.0
Total,Male,"Two or more races, non-Hispanic",2006,9.2,791.0
Total,Male,"Two or more races, non-Hispanic",2007,9.2,1037.0
Total - Male,Male,"Two or more races, non-Hispanic",2008,9.2,192.0
Total - Female,Male,"Two or more races, non-Hispanic",2009,9.2,192.0
Total,Male,"Two or more races, non-Hispanic",2010,9.2,1054.0
Total,oMale,"Two or more races, non-Hispanic",1027,9.2,937.0
Total - Male,Female,"White, non-Hispanic",2001,63.2,7053.0
Total,Female,"White, non-Hispanic",2002,9.2,192.0
Total,Femalze,"White, non-Hispanic",2003,58.1,6519.0
"Total - American Indian/Alaska Native, non-Hispanic",Feamle,"White, non-Hispanic",2004,9.2,192.0
Total - Male,nFemale,"White, non-Hispanic",2005,9.2,192.0
Total - Male,Fmeale,"White, non-Hispanic",2006,53.2,5900.0
Total - Male,Female,"White, non-Hispanic",2007,45.0,4942.0
Total,Female,"White, non-Hispanic",1278,9.2,192.0
Total - Male,Female,"White, non-Hispanic",2009,9.2,192.0
Total - Female,Feamle,"White, non-Hispanic",2010,35.1,3665.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"White, non-Hispanic",2011,-294.311876285678,3264.0
Total - Male,Female,"Black, non-Hispanic",2001,197.1,5293.0
"Total - White, non-Hispanic",Female,"Black, non-Hispanic",2002,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Black, non-Hispanic",2003,181.6,5096.0
Total,Female,"Black, non-Hispanic",2004,9.2,192.0
Total - Female,Female,"Black, non-Hispanic",2994,9.2,192.0
Total - Male,Female,"Black, non-Hispanic",2006,160.2,4732.0
Total - Male,Femae,"Black, non-Hispanic",2007,139.2,4142.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Black, non-Hispanic",2008,9.2,192.0
Total - Female,Female,"Black, non-Hispanic",2009,-281.33001172018595,192.0
Total - Male,Female,"Black, non-Hispanic",2010,117.8,3414.0
Total,Female,"Black, non-Hispanic",2011,101.0,2884.0
Total,Female,Hispanic,2001,72.3,2001.0
Total - Male,Female,Hispanic,2455,-301.0136572025832,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,Hispanic,2003,-308.7590834141073,2147.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,Hispanic,2004,9.2,192.0
Total - Male,Female,Hispanic,2005,9.2,192.0
Total,Female,Hispanic,2006,66.9,2266.0
Total,Female,Hispanic,2007,55.5,1951.0
Total,Female,Hispanic,2476,9.2,192.0
Total,Female,Hispanic,2920,9.2,192.0
Total,Femlae,Hispanic,2046,44.7,1655.0
"American Indian/Alaska Native, non-Hispanic",Feale,Hispanic,1565,41.7,1560.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Asian, non-Hispanic",2001,25.5,192.0
Total - Male,Female,"Asian, non-Hispanic",2002,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Asian, non-Hispanic",2003,25.2,198.0
Total - Female,Female,"Asian, non-Hispanic",2004,9.2,192.0
Total,Fedmale,"Asian, non-Hispanic",2005,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Asian, non-Hispanic",2006,15.4,131.0
Total - Female,Female,"Asian, non-Hispanic",2007,16.2,141.0
Total,Female,"Asian, non-Hispanic",2008,9.2,192.0
Total,eFmale,"Asian, non-Hispanic",2009,9.2,192.0
Total,Feamle,"Asian, non-Hispanic",1053,10.1,94.0
"Total - Two or more races, non-Hispanic",Fmale,"Asian, non-Hispanic",2011,9.2,85.0
Total,Femael,"Pacific Islander, non-Hispanic",2001,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1890,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2004,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2005,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",1768,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2007,9.2,192.0
Total - Female,Foemale,"Pacific Islander, non-Hispanic",2008,9.2,192.0
Total,Femael,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2010,9.2,192.0
Total - Female,Female,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1477,197.9,363.0
"White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,185.5,351.0
"Total - Two or more races, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2051,229.2,436.0
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2007,187.6,353.0
Total - Hispanic,emale,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1571,174.0,310.0
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,166.1,292.0
Total,Female,"Two or more races, non-Hispanic",2001,9.2,153.0
Total,Female,"Two or more races, non-Hispanic",2002,9.2,192.0
Total - Male,Femae,"Two or more races, non-Hispanic",1680,9.2,192.0
Total - Female,Femael,"Two or more races, non-Hispanic",2004,9.2,192.0
Total - Female,Female,"Two or more races, non-Hispanic",2005,9.2,192.0
Total,Female,"Two or more races, non-Hispanic",2006,9.2,214.0
Total - Male,Female,"Two or more races, non-Hispanic",2007,9.2,235.0
Total - Male,Female,"Two or more races, non-Hispanic",1787,9.2,192.0
Total - Male,Female,"Two or more races, non-Hispanic",1819,9.2,192.0
Total - Male,Female,"Two or more races, non-Hispanic",2010,9.2,257.0
"Black, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,-282.48459023100133,246.0
