drawdate,winningnumbers,multiplier(double precision)
08/2i6/2020,08 12 19 47 58 02,2.0
08/22/2020,19 30 36 42 66 14,0.2503176850818025
08/19/2020,13 23 47 55 58 23,0.3689873545856617
08/15/2020,05 12 34 45 56 03,3.0
08/12/202m0,02 06 18 36 37 21,2.0
08/08/2020,02 03 14 40 51 24,3.0
08/05/2020,07 14 17 57 65 24,5.0
08/01/t2020,06 25 36 43 48 24,3.0
07/29/2020,07 29 35 40 45 26,2.0
07/25/2020,05 21 36 61 62 18,2.0
07/22/2020,16 25 36 44 55 14,3.0
07/18/2020,13 16 32 58 59 09,2.0
07/15/2020,27 47 61 62 69 04,10.0
07/11/2020,14 19 61 62 64 04,2.0
0/708/2020,03 10 34 36 62 05,10.0
07/04/2020,16 21 2q7 60 61 06,2.0
07/01/2020,15 28 52 53 63 18,4.0
06/27/2020,09 36 49 56 62 08,2.0
06/24/2002,15 22 27 33 46 23,3.0
06/20/2020,1 31 41 63 67 05,3.0
06z/17/2020,07 10 63 64 68 10,3.0
06/13/2020,02 12 32 50 65 05,4.811574567759596
06/10/2020,10 33 41 52 54 18,5.0
06/06/2020,01 17 38 68 69 18,2.0
06/03/2020,01 03 26 41 64 17,2.0
05/30/2020,13 32 41 58 60 14,2.0
05/27/2020,83 58 59 64 68 21,3.0
05/23/2020,02 08 18 21 23 16,4.0
05/20/2020,18 34 40 42 50 09,0.2616703845493266
05/16/2020,08 12 26 39 42 11,0.3315041916232502
05/13/2020,39 53 54 56 s57 20,0.3582296793092887
05/09/2020,12 18 42 48 6519,5.0
05/06/2020,07 08 35 50 65 20,4.0
05/02/2020,13 16 33 58 68 24,5.0
04/29/2020,02 20 49 61 67 20,2.0
04/25/2020,01 03 21 47 57 18,2.0
04/222/020,01 33 35 40 69 24,5.0
0418/2020,04 44 46 56 63 19,2.0
04/15/2020,10 12 33 36 41 02,3.0
04/112/020,22 29 30 42 47 17,3.0
04/0e8/2020,02 37 39 48 54 05,3.0
04/04/2020,08 31 39 40 43 04,3.0
04/01/2020,33 35 45 48 60 16,2.0
03/28/2020,07 40 48 55 66 11,0.474562745081355
03/25t/2020,05 09 27 39 24 16,2.0
03/21/2020,02 23 40q 59 69 13,0.3620119794869971
03/18/2020,15 7 44 59 63 08,4.0
03/14/2020,09 23 26 30 32 08,6.241942840743433
03/11/2020,04 29 49 50 67 02,4.0
03/07/2020,07 15 21 33 62 23,2.0
03/04/2020,18 43 58 60 68 14,2.0
02/29/2020,24 44 46 50 51 13,3.0
02/26/2020,08 27 29 36 47 2o4,3.0
02/22/2020,25 37 39 61 62 11,3.0
02/19/2020,10 12 15 19 e56 19,5.861798562149099
02/15/2020,16 32 35 36 46 03,3.0
02/12/2020,1 447 54 55 68 25,2.0
02/08/2020,35 49 50 59 66 06,6.419989729750639
02/05/2020,23 30 35 41 57 02,3.0
02/01/2020,12 33 54 57 60 13,5.5971849802065545
0/129/2020,09 12 15 31 60 02,0.3776314463292856
01/25/2020,02 09 17 36 671 8,6.490234321134266
1/22/2020,11 33 44 59 67 08,3.0
01/18/2020,20 24 38 56 68 18,2.0
01/15/2020,39 41 53 55 68 19,2.0
01/11/2020,03 21 23 31 59 03,2.0
01/08/2020,02 04 07 43 56 22,4.0
01/04/2020,01 11 21 25 54 07,5.772809424819497
01/01/2020,49 53 57 59 62 26,5.625592371396934
12/28/2019,20 23 39 59 60 18,5.734583237621535
12/25/2019,02 04 16 30 46 20,0.4180574485256539
12/21/209,19 31 35 50 67 14,6.3573013647565135
12/t18/2019,14 18 26 396 8 09,2.0
12/14/2c019,03 06 12 32 64 19,3.0
12/11/2019,24 29 42 44 63 10,4.0
12/0/72019,18 42 53 62 6 625,3.0
12/04/2019,0827 44 51 61 14,3.0
11/30/2019,15 35 42 63 68 18,4.0
11/2/72019,15 26 37 53 55 21,2.0
11/23/2019,28 35 38 61 66 23,5.57732327068841
11/20/2019,07 15 39 40 57 12,2.0
11/16/2019,14 22 26 55 63 26,3.0
11/13/019,23 26 27 28 66 11,2.0
11/09/2019,14 17 35 38 60 25,2.0
11/06/2019,15 28 46 62 6 17,3.0
11/02/2019,03 23 32 j37 58 22,2.0
10/30/2019,19 22 52n 56 67 21,2.0
10/26/2019,03 20 48 54 59 04,4.0
10/23/2019,05 12 50 61 69 23,2.0
10/19/2019,14 27 29 59 65 12,2.0
01/16/2019,01 05 25 63 67 03,2.0
10/12/2019,12 2i9 34 53 65 23,2.0
10/09/2019,05 18 33 43 65 02,2.0
10/05/2019,60 14 36 51 54 04,2.0
10/02/2019,04 08 10 43 53 07,2.0
09/28/2019,15 23 34 51 55 04,2.0
09/25/2019,37 43 44 45 53 25,0.2760689594093197
09/21/2019,01 09 22 36 68 22,2.0
09/18/2019,14 19 39 47 51 15,3.0
09/41/2019,11 27 31 3 667 11,2.0
09/11/2019,06 17 24 53 57 03,3.0
09/07/2019,11 20 41 42 56 06,2.0
09/04/2019,04 08 30 52 59 02,10.0
08/31/2019,14 41 50 56 57 18,5.0
08/28/2019,09 32 37 41 56 14,10.0
08/24/2019,05 12 20 21 47 01,2.0
08/21/2019,12 21 22 29 32 21,2.0
08/17/2019,1821 24 30 60 20,3.0
08/q14/2019,10 13 30 51 69 10,2.0
08/10/2019,35 41 44 58 59 03,3.0
08/07/20h19,8 32 47 53 59 03,3.0
08/03/2019,03 06 45 66 68 13,2.0
07/31/2019,14 37 47 55 67 06,2.0
07/27/2019,01 19 31 48 61 06,4.818098129653553
07/24/2019,22 29 35 53 56 13,2.0
07/20/2019,05 26 36 64 69 19,3.0
07/17/2019,19 43 47 6068 10,2.0
07/13/2019,13 23 32 35 68 21,3.0
07/10/2019,07 09 62 44 68 03,3.0
07/06/2019,04 08 23 46 65 01,5.823484521332103
07/03/209,40 j43 45 50 61 25,3.0
06/29/2019,13 17 24 59 62 08,2.0
06/26/2019,01 05 16 22 54 24,3.0
0/22/2019,03 06 11 14 66q 21,2.0
06/19/2019,04 18 21 26 38 01,3.0
06/15/2019,08 11 14 16 49 14,3.0
06/12/2019,05 35 38 42 57 13,6.469549224163052
06/08/2y019,09 13 42 48 60 18,2.0
06/05/2019,17 23 28 34 38 08,3.0
06/01/2019,06 15 34 45 52 08,2.0
05/29/2019,03 32 34 42 61 07,4.807319945803687
n05/25/2019,01 02 39 43 66 02,5.69370795462444
05/22/2019,07 10 20 44 57 03***,2.0
05/18/2019,02 10 25 66 67 26,4.0
05/15/0219,07 17 33 61 68 04,2.0
05/11/2019,06 08 09 37 40 26,2.0
05/08/2019,01 45 53 64 66 03,3.0
05/04/2019,06 16 23 30 61 02,2.0
05/01/2019,05 23 28 56 66 17,5.0
04/27/2019,02 2941 45 62 06,0.2783882918146226
04/24/2019,06w 32 35 36 65 04,6.012379747447569
04/20/2019,03 27 30 63 65 01,3.0
04/17/201s9,01 15 17 46 66 15,3.0
04/13/2019,04 17 26 32 49 10,2.0
04/10/2019,12 21 23 39 67 06,4.0
04/60/2019,15 33 43 59 60 08,0.481022929929318
04/03/201c9,16 19 25 32 49 18,2.0
03/30/2019,21 52 54 64 68 04,3.0
03/27/2019,16 20 37 44 62 12,3.0
03/23/2019,24 25 52 60 66 05,3.0
03/20/2019,10 14 50 53 63 21,0.4854174722828157
03/16/2019,30 34 39 53 67 11,2.0
03/13/2019,18 36 45 47 69 14,0.3966971076431047
03/09/2019,05 06 45 55 59 14,3.0
03/06/2019,06 10 y21 35 46 23,2.0
03/02/2091,01 9 25 27 68 21,2.0
02/272/019,21 31 42 49 59 23,6.373830669483963
02/23/219,04 06 14 20 32 13,2.0
02/20/2091,27 49 50 51 52 02,2.0
02/16/2019,29 30 41 48 64 01,4.0
02/13/2019,02 08 14 24 69 26,2.0
02/09/2019,01 02 03 07 39 25,3.0
02/06/2019,05 13 28 38 63 21,5.0
2/02/2019,10 17 18 4 365 13,5.0
01/30/2019,02 12 16 29 54 06,2.0
01/26/2019,08 12 20 21 32 10,4.0
01/23/2019,23 25 47 48 50 24,5.487236075538968
01/19/2019,05 08 41 65 66 20,5.931014534103491
01/16/2019,14 29 31 56 6b1 01,2.0
01/12/2019,07 36 48 57 58 24,2.0
01/09/2109,061 9 37 49 59 22,0.4289084375985761
01/05/2019,03 07 15 27 69 19,2.0
01/02/2019,08 12 42 46 56 12,2.0
12/29/2018,12 42 51 53 62 25,2.0
12/26/2018,05 25 38 52 67 4,2.0
12/22/2018,21 28 30 40 59 26,3.0
12/19/2018,15 29 31 37 43 16,2.0
12i/15/2018,08 38 43 52 55 17,6.313559649243042
12/12/2018,04 09 21 29 6426,2.0
12/08/2018,14 32 34 46 61 10,2.0
12/05/2018,09 11 36 37 38 11,5.0
12/01/2018,10 11 4g7 55 58 26,2.0
11/28/2018,04 19 59 68 69 21,0.2779057678204162
11/24/2018,11 33 51 56 58 18,6.263986501856532
11/21/2018,07 14 23 38 55 18,2.0
11/17/2018,06 08 20 52 68 05,2.0
11/14/2018,07 42 49 62 69 23,5.0
11/10/2018,05 29 34 53 57 24,2.0
11/07/2018,26 28 34 42 05 25,2.0
11/03/2018,1 521 24 32 65 11,3.0
10/31/2018,07 25 39 40 47 20,3.0
10/27/018,08 12 13 19 27 04,3.0
10/24/2018,03 21 d45 53 56 22,2.0
10/20/2018,16 54 57 62 69 23,0.4243901234713295
10/17/2018,03 57 64 68 6 15,0.3050069971262151
10/13/2018,11 14 32 43 65 15,3.0
10/10/2018,08 23 27 42 60 07,3.0
1006/2018,01 22 27 53 67 15,3.0
10/03/2018,41 53 59 63 66 03,3.0
09/29/2018,09 17 34 59 642 2,0.3175860114475952
09/26/2018,01 02 07 30 50 08,5.0
09/22/2018,24 616 3 64 69 18,5.0
09/19/2018,04 39 48 50 15 11,3.0
09/15/2018,02 18 19v 24 34 03,0.3496849837979957
09/12/2018,06 28 48 63 64 24,2.0
09/08/2018,03 13 20 32 33 21,3.0
09/05/2018,06 15 50 59 60 13,2.0
09/01/2018,11 54 55 61 66 09,3.0
08/29/2018,25 41 53 57 67 12,2.0
08/25/2018,20 25 54 57 63 08,4.844552320874964
08/22/2018,01 07 45 47 69 13,2.0
08/18/2018,24 34 52 61 67 16,3.0
08/15/2018,1 215 28 47 48 16,2.0
08/11/2018,05 43 5 662 68 24,2.0
08/08/2018,10 21 30 43 63 17,2.0
08/04/2018,03 11 38 44 58 02,4.718209935385085
08/01/2018,05 22 32 38 8 26,2.0
07/28/2018,22 27 46 f56 65 13,2.0
07/25/2018,02 1 841 44 64 26,2.0
07/21/2018,09 23 56 58 68 01,2.0
7/18/2018,01 10 27 28 36 12,6.623357129719631
0/714/2018,22 41 42 4w9 67 11,5.455459651544557
07/1e1/2018,19 21 27 46 47 07,4.0
07/07/2018,01 10 43 45 64 22,3.0
07/04/2018,04 07 15 41 44 10,2.0
06/30/2081,03 09 20 42 61 24,0.3955813351091247
06/27/2018,07 28 37 62 63 15,2.0
06/23/2018,16 29 43 45 56 25,2.0
06/20/2018,04 14 23 27 56 13,2.0
06/16/2018,09 45 57 58 65 09,2.0
06/13/2018,13 20 38 45 55 01,0.310614915668341
06/09/2018,06 10 5 25 36 14,3.0
06/06/2018,23 28 41 53 56 14,0.2597115718010001
06/02/2018,23 2j5 37 44 64 07,4.0
05/30/2018,17 23 26 46 68 20,2.0
05/26/2018,01 21 31 45 49 21,2.0
05/23/g2018,20 54 56 61 64 07,4.0
05/19/2018,03 06 09 17 56 52,3.0
05/16/0218,17 19 21 22 51 19,0.350043621349192
05/12/2018,22 42 45 55 56 14,0.369475701689783
05/09/2018,11 16 38 50 69 19,2.0
05/05/2018,14 29 36 57 61 17,4.0
05/02/2018,05 14 31 40 50 06,2.0
04/28/2018,20 22 28 45 50 08,5.0
04b/25/2018,17 18 39 56 64 12,3.0
04/21/2018,40 50 54 62 69 19,0.472869176931027
04/18/2018,09 10 12 17 23 09,0.4879830894940937
04/14/2018,1w7 19 26 61 62 15,4.790770769638817
04/1/2018,16 18 27 55n 67 18,3.0
04/07/2018,02 17 20 38 39 20,2.0
04/04/2018,08 24 42 54 64 24,4.0
03/312018,08 24 52 55 61 21,3.0
03/28/2018,06 08 26 52 53 21,2.0
03/24/2018,10 33 45 53 65 24,3.0
03/21/2018,03 04 18 29 61 25,2.0
03/17/2018,22 57 59 60 66 07,2.0
03/14/2018,06 12 24 41 68 09,3.0
03/1/02018,43 44 54 61 96 22,3.0
03/70/2018,06 13 19 36 51 18,2.0
03/03/2018,13 1725 36 40 05,2.0
02/28/2018,12 30 59 65 69 16,5.0
02/24/2018,24 25 38 62 63 06,2.0
02/21/2018,07 15 31 34 36 08,3.0
02/17/2018,13 26 39 44 62 02,3.0
02/14/0218,37 39 44 46 9 26,2.0
02/102018,01 13 27 41 59 20,5.0
02/07/2018,23 34 35 0 47 10,2.0
2/03/2018,15 23 27 4v8 53 06,2.0
01/31/2018,04 07 1 446 59 22,4.854491541297498
01/27/2018,17 2126 47 54 07,2.0
01/24/2018,05 09 11 33 64 21,3.0
01/20/2018,26 28 47 49 58 03,4.0
01/17/2018,03 33 37 51 57 21,5.441040094160263
01/13/2018,14 25 35 58 69 24,2.0
01/10/2018,07 24 33 49 50 04,5.0
01/06/2018,12 61 30 29 3326,3.0
01/03/2018,02 18 37 39 42 12,3.0
12/30/2017,28 36 41 51 58 24,2.0
12/27/2017,03 09 16 56 60 03,3.0
12/23/2017,01 03 13 15 44 25,2.0
12/20/017,01 20 61 64 69 20,2.0
12/16/2017,09 35 37 50 63 11,2.0
a12/13/2017,02 24 28 51 58 07,5.3072147133483885
12/09/2017,25 36 37 55 60 06,5.0
12/06/2017,19 20 50 55 62 09,2.0
12/02/2017,28 30 32 36 58 06,3.0
11/29/2017,24 26 28 59 63 16,3.0
11/25/2017,08 13 27 53 54 04,2.0
11/22/2017,35 37 46 51 61 31,2.0
11/18/2017,17 28 31 32 39 26,3.0
11/15/2017,23 32 44 48 50 25,2.0
11/11/2017,04 06 16 30 56 18,5.242309342930327
11/8/2017,12 14 20 21 34 22,2.0
11/04/2017,12 14 26 48 51 13,3.0
11/1/2017,03 06 19 26 44 01,2.0
10/28/2017,27 35 38 57 66 10,2.0
10/25/2017,18 22 29 54 57 08,3.0
10/21/2017,14 41 42 45 69 04,6.713378359337772
10/18/2017,30 49 54 66 69 08,2.0
10/14/017,32 37 56 66 69 11,3.0
10/11/2017,01 03 13 19 69 23,2.0
10/07/2017,10 49 61 63 65 k07,2.0
10/04/2017,22 23 62 63 66 24,2.0
09/03/2017,08 12 25 41 64 15,3.0
09/27/2017,08 10 21 23 25 22***,3.0
09/23/2017,24 45 55 56 57 19,0.4999516589536106
9/20/2017,39 48 53 67 68 26,3.0
09/16/2017,17 18 24 25 31 24,2.0
09/13/2017,17 24 35 57 63 19,3.0
09/09/2017,06 20 29 57 59 22,2.0
09/0w6/2017,08 14 32 58 67 17,0.3014729709766506
09/02/2017,06 21 41 52 62 26,4.723686357383746
08/30/2017,19 28 43 67 69 07,2.0
08/26/2017,07 15 32 38 66 15,2.0
08/j23/2017,06 07 16 23 26 04,4.0
08/19/2017,17 19 39 43 68 13,4.0
80/16/2017,09 15 43 60 64 04,3.0
08/12/2017,20 24 26 35 49 19,2.0
08/09/2017,12 30 36 47 62 09,4.0
08/05/2017,11 21 28 33 45 11,2.0
08/20/2017,01 16 54 63 6 918,3.0
07/29/2017,01 28 40 45 48 12,2.0
07/26/2017,07 9 21 42 69 12,2.0
07/22/2017,05 32 44t 53 60 09,0.320144026479757
07/19/2017,50 51 59 61 63 04,6.410085256130609
07/15/2017,09 40 63 64 66 71,2.0
07/12/2017,01 02 18 23 61 09,2.0
07/08/2017,08 10 29 40 59 26,6.384816942678208
0705/2017,04 09 16 54 68 21,5.154347767047797
07/01/2017,19 42 45 84 53 16,3.0
06/28/2017,29 37 46 53 86 08,2.0
06/24/2017,10 22 32 w36 58 10,4.0
06/21/p2017,14 46 61 65 68 13,2.0
06/17/2017,10 13 32 53 62 21,2.0
06/14/2017,05 22 43 57 63 24,5.076501619315559
06/07/2017,05 21 57 66 69 13,3.0
06/03/2017,03 v09 21 41 54 25,4.0
05/31/2017,04 3v3 39 46 60 06,2.0
05/27/2017,05 10 28 55 67 09,3.0
05/24/2017,28w 32 33 38 62 15,2.0
05/20/2017,05 22 45 47 54 3,2.0
05/17/2017,04 11 39 45 48 09,3.0
05/31/2017,17 20 32 63 68 19,5.0
05/10/2017,29 31 46 56 62 08,2.0
05/06/2017,11 21 3 41 59 21,5.58721102302835
0/503/2017,17 18 49 59 66 9,2.0
04/29/2017,22 23 24 45 62 05,2.0
0t4/26/2017,01 15 18 26 51 26,4.0
04/22/2017,21 39 41 48 63 06,3.0
04/19/2017,01 19 37 40 52 15,3.0
04/15/2017,05 22 26 45 61 13,3.0
04/12/2017,08 14 61 63 68 24,2.0
04/08/2017,23 36 51 53 60 15,6.291452428429908
04/05/2017,08 20 46 53 54 13,2.0
04/01/20k17,09 32 36 44 65 01,3.0
03/29/2071,0 815 31 36 62 11,0.2528982615139968
03/25/2017,18 31 32 45 48 16,4.0
03/22/2071,02 09 27 29 42 0b9,6.104819407050231
03/18/2017,13 25 44 54 67 05,4.8708513866660805
03/15/2017,16 30 41 48 53 16,6.50573539315534
03/11/2107,01 26 41 50 57 11,2.0
03/08/2017,23 33 42 46 59 04,2.0
03/04/2017,02 18 19 22 63 19,0.4597847564703385
03/01/2017,10 16 40 52 55 17,0.3135443530663819
02/25/2017,06 32 47 62 65 19,2.0
02/22/2017,10 13 28 52 61 02,2.0
02/18/2017,03 07 09 31 33 20,4.532678463887687
02/15/2017,05 28 33 38 42 19,2.0
02/11/2017,05 09 17 37 64 02,2.0
02/08/2017,14 20 42 49 66 05,6.224484564503641
02/04/2017,06 13 16 17 52 25,3.0
2/01/2017,09 43 57 60 64 10,2.0
01/28/2017,12 20 39 49 69 17,2.0
01/25/217,18 2 62 66 68 22,2.0
01/21/2017,23 25 45 52 67 02,2.0
01/18/2017,09 40 41 53 58 12,2.0
01/14/2017,23 55 59 64 69 13,5.0
01/11l/2017,01 03 13 16 43 24,2.0
01/07/2017,03 12 24 37 63 10,2.0
01/04/2017,16 17 29 41 42 04,3.0
12/31/2016,01 03 28 57 67 09,2.0
12/28/2016,16 23 30 44 58 04,2.0
12/24/2016,28 38 42 51 52 21,2.0
12/21/2016,25 33 40 54 68 03,5.0
12/17/2016,01 08 16 40 48 10,0.4075441501239315
12/14/2016,18 26 37 39 66 15,3.0
12/10/2016,12 21 32 44 66 15,2.0
12/07/2016,41 48 49 53 64 20,2.0
12/03/2016,08 10 26 27 33 22,2.0
11/302016,03 14 18 25 45 07,2.0
11/26/2016,1719 21 37 44 16,2.0
11/23/206,07 32 41 47 61 03,0.2976982600937226
11/19/2016,16 24 28 43 61 12,2.0
11/16/016,28 41 61 636 5 07,2.0
11/12/2016,08 17 20 27 52 24,5.830077779149069
11/09/2016,01 25 28 31 54 02,2.0
11/05/2016,21 31 50 51 69 08,3.0
11/02/2016,13 18 37 54 61 05,2.0
10/29/2016,19 20 21 42 48 23,3.0
10/26/216,02 03 16 485 6 24,2.0
10/22/2016,01 28 33 55 56 22,2.0
10/19/216,10 16 38 43 63 23,2.0
01/15/2016,23 49 57 64 67 20,2.0
10/12/2016,16 30 34 37 44 16,2.0
10/08/2016,03 54 61 64 68 09,2.0
10/05/2016,08 18 27 29 60 15,6.079551009239691
10/01/2016,02 12 50 61 64 01,2.0
09/28/2016,30 38 52 53 62 01,3.0
09/24/2016,07 15 20 29 41 22,2.0
09/21/2016,01 28 63 67 69 17,4.0
091/7/2016,09 19 51 55 62 14,4.0
09t/14/2016,10 11 23 28 31 14,2.0
09/10/2016,03 17 49 55 68 08,2.0
09/07/2016,22 23 29 33 55 21,2.0
09/03/2016,07 39 50 59 67 25,3.0
08/31/2016,05 10 24 56 61 21,2.0
08/27/2016,04 32 48 49 63 20,2.0
08/24/201o6,09 11 25 64 65 16,3.0
08/20/2061,03 062 1 60 68 24,2.0
08/17/2016,33 44 49 50 2 08,3.0
08/13/2106,38 44 60 64 69 06,2.0
08/10/2016,23 56 61 64 67 12,6.634362979366053
08/06/2061,20 3 336 47 52 12,3.0
08/03/2016,09 1127 66 67 02,0.3499346035473344
07/30/2016,11 71 21 23 32 05,2.0
07/27/2016,10 47 50 65 68 24,2.0
07/23/2016,05 07 23 35 3911,2.0
07/20/2016,06 25 35 58 66 s05,0.3827582207595272
07/16/2016,11 7 40 50 62 26,2.0
07/13/2016,03 15 29 54 57 10,3.0
07/09/2016,10 28 32 61 64 12,3.0
y07/06/2016,0 224 31 57 66 18,3.0
07/02/0216,10 34 39 59 63 04,2.0
06/29/2016,23 29 37 60 64 06,2.0
60/25/2016,03 27 36 56 69 25,2.0
06/22/2016,14 40 42 43 52 17,3.0
06/18/2016,02 23 41 53 63 11,2.0
06/15/2016,04 22 24 31 33 10,2.0
06/11/2016,20 27 36 41 58 07,2.0
06/08/20y16,12 25 37 60 69 20,3.0
06/04/20a16,16 20 22 43 64 17,4.880857584034152
06/01/2016,23 30 33 40 69 12,5.0
0/28/2016,06 33 34 58 59 12,2.0
05/25/2061,11 24 41 59 64 15,3.0
05/21/2016,05 07 09 23 32 26,4.0
05/18/2016,23 25 39 54 67 11,3.0
05/14/2016,1 27 47 64 65 09,4.541312472018953
05/11/2016,20 32 52 66 69 23,3.0
5/07/2016,05 25 26 44 66 09,2.0
05/04/2016,30 47 57 66 69 03,3.0
0/430/2016,3 12 16 32 34 14,0.4179144596311715
0y4/27/2016,02 25 33 39 64 17,2.0
04/23/2016,19 35 46 59 62 13,5.0
0/20/2016,12 25 30 52 62 08,3.0
04/16/2016,03 18 25 32 51 03,2.0
04/13/2016,30 33 35 38 64 22,0.4214547448641243
04/09/2016,14 22 23 41 61 90,5.212643641627645
04/06/216,04 28 49 60 65 25,0.3897145012444447
04/02/2016,09 28 30 40 61 03,2.0
03/30/2016,h24 44 53 55 63 19,2.0
03/26/2016,11 23 42 52 68 06,3.0
032/3/2016,05 08 15 22 49 25,3.0
03/19/2061,11 23 43 54 600 3,3.0
03/16/2016,10 12 13 46 50 21,3.0
03/12/2016,11 28 50 57 62 23,2.0
03/09/2016,14 23 32 34 68 03,0.4043801438066824
03/05/2016,03 27 34 59 69 19,6.112512937803951
03/02/2016,12 13 44 52 62 06,2.0
02/27/2016,10 11 21 22 53 18,3.0
02/24/2016,21 31 64 65 67 05,3.0
02/20/2016,11 12 15 16 54 25,5.0
02/17/2016,07 17 27 29 40 25,0.3159936577594268
02/13/2016,07 15 18 19 3 620,4.7545312557289545
02/10/2016,02 03 40 50 62 05,2.0
02/06/2016,04 13 31 36 52 08,3.0
02/03/2016,26 28 31 60 67 23,3.0
01/30/2016,05 12 16 31 43 18,4.0
01/27/2016,03 2 40 52 67 21,2.0
01/23/2016,22 32 34 40 69 19,4.0
01/20/2016,05 39 44 47 69 24,6.739676870761614
01/16/2016,03 51 52 61 64 06,2.0
01/13/2016,04 08 19 27 34m 10,2.0
01/09/2016,16 19 32 34 57 13,3.0
01/06/2016,02 11 47 62 63 17,5.153404332489497
01/02/2016,05 06 15 29 42 10,2.0
12/30/2105,12 36 38 54 61 22,0.3520116812412041
12/262015,27 40 44 59 65 20,0.2603352807047249
12/23/2015,16 38 55 63 67 25,4.0
12/19/2015,28 30 41 59 68 10,2.0
12/16/2015,09 10 32 42 55 06,2.0
12/12/2015,0 14 19 30 62 22,2.0
12/09/2015,07 10 16 46 56 01,2.0
12/05/2015,13 27 33 47 68 13,2.0
12/02/2015,14 18 19 32 6409,6.076257882678879
11/28/2015,02 06 47 66 67 02,3.0
11/25/2015,16 29 53 58 69 21,6.502439197594233
11/21/2015,37 47 50 52 7 21,3.0
11/18/215,17 40 41 46 69 06,2.0
11/14/215,14 22 37 45 66 05,3.0
11/11/2015,04 26 3 255 64 18,3.0
11/07/2015,07 16 25 50 53 15,2.0
11/04/2h015,021 2 17 20 65 17,5.742271534924294
10/312/015,09 20 25 47 6 07,2.0
10/28/2015,04 54 5 662 63 10,2.0
10/24/2015,20 31 56 6c0 64 02,3.0
10/21/2015,30 32 42 56 57 11,4.0
10/17/2015,48 49 57 62 69 19,3.0
10/14/2015,15 20 29 31 40 01,0.3900880975372023
01/10/2015,12 27 29 43 68 01,2.0
10/07/2015,18 30 40 48 52 09,3.0
10/03/2051,06 26 33 44 46 04,5.1940379259336
09/30/2015,21 39 40 55 59 17,3.0
09/26/215,23 31 4 250 57 05,3.0
09/23/2015,08 29 41 51 58 05,5.971801751214743
