characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American India/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femavle,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Ftemale,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Femle, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hsipanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
