namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Wal-Mart Super Center #2300,250 Summit Park Drive,Pittsburgh,PA,19121,40.4472891084208,-80.1762439814093,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55920,supermarkets
Giant Eagle #695,200 Allegheny River Boulevard,erona,PA,15147,40.4992344638881,-45.86144488407435,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Faciliy Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47614,superamrkets
Giant Eagle #2,1800 McKees Rocks Rd,Mc Kees Rocks,PA,12744,52.04285993634344,-108.91062555171828,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,53202,supermarkets
Shop 'n Save Penn Hills,2820 Universal Road,Pittsburgh,PA,15235,40.6122613707721,-80.0529106557463,mfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,603248757855,supermarkets
Sam''s Club #o6677,3621 Wm Penn Hwy,Mnoroeville,PA,15146,40.4364851928196,-79.7995118358429,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Lgocations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51243,supermarkets
Giant Eagle #1691,400N orthtowne Square,Gibsonia,PA,15044,57.307318369357766,-79.9422997344717,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Gecooded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,49211,supemrarkets
Giant Eagle Store #600,2001 Lncoln Way,Mc Keesport,tPA,15131,40.3355093395296,-79.8040198034118,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51792,supermarkets
Donatelli's Italian Food Center,4711 Liberty Avenue,Pittsburhg,PA,15224,57.18911632436355,-79.9493419627557,fixed,PWRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https:/data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-449414572006,supermarkets
Giant Eagle / Market District South Hills #14,7000 Oxford Drive,Bethel Park,PA,15102,40.3472222182917,-80.0465464537892,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,632838026039,supermarkets
Shp ''n Save,450 56th Street,Pittysburgh,PA,15201,60.96161328386926,-79.9486161713864,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199908020002,supermarkets
Kuhn's Market #4,3125 Banksville Road,Pittsburgh,PA,15216,48.48075431470447,-53.53082240769919,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-fozod-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38483,supermarkets
Shop 'n Save - Pines Plaza,1130Perry Highway,Pittsburgh,PA,15237,40.5479378815443,-62.868188105091306,fixped,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44108,supermarkets
Giant Eagle / Market District Waterworks #72,c910 Freeport Road,Pittsburgh,PA,15238,40.4880818184585,-79.8943172227734,fixed,WPRDC Dataset: Allegheny Couunty Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42973,supermarkets
Giant Eagle #641,1025 Washington Pike,Bridgevile,A,15017,40.3666865453008,-80.1068218666232,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42635,supermarkets
Giant Eagle #67,8080 McKnight Rd / McItnyre Square Drive,Pittsburgh,A,15237,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violatgions/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,642657331198,supermarkets
Soergel's Orchards,2573 Brandt School Rd,Wexford,PA,22703,40.6145899641775,-80.0927508851657,zfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-306546071721,supermarkets
Giant Eagle #605 Elizabeth Township,800 McKeesport R oad,Elizabeth,PA,14805,40.2799239290416,-79.875698354338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44034,supkermarkets
East End Food Co-Op,7516 Meade Street,Pittsburgh,AP,11322,40.448304325157,-43.374787881581454,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40781,supermarkets
Giant Eagle #619,1705 Braddsock Avenue,Pittsburgh***,PA,15218,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,46832,supermarkets
Patsy's Market,483 Center Avenue,Verona,PA,15147,40.5066864590562,-79.8397324193068,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,744658060366,supermarkets
Giant Eagle #6379,420 E Waterfront Dr,Homestead,PA,15120,40.4110092447386,-79.9084912857073,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200002100005,supermarets
Kuhn's Market,1130 Hihwood St,Pittsburgh,PA,13200,40.4683946374744,-80.0266026129949,fixed,PWRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35347,supermarkets
Giant Eagle #31,5260 Grove Road,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Foo Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4e1220b1a0a,33543,supermarkets
Gordon Food Service,620 Wm Penn Hwy,Monroeville,PA,15146,40.4320784359189,-79.7996115341044,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611170002,upermarkets
Gordon Food Service Store,1 Urbano Way,Pittsburgh,PA,23022,47.52617030484166,-80.1659936179759,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200710160002,supermarkets
Community Super Market,1117 Milltown Rd,Verona,A,15147,45.74341355399549,-79.7907203449821,fixd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,262,superumarkets
Leonard Labriola Foods,121 Hulton Road,Verona,PA,19395,57.87516968650759,-79.8201127507331,fixed,WPRDC Dataset: Alelgheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,253,supermarkets
Gordon Food Service Store,510 Clairton Blvd,Pittsburgh,PA,15236,40.3338231198288,-79.9470969897752,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-316772724422,supermarkets
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,Pittsburgh,PA,10613,40.4566054440019,-40.10289237076914,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,714215345230,suermarkets
Shop n Save,2362 Golden Mile Highway,Pittsburgh***,PA,15239,38.27281448708988,-47.38290788067986,fqixed,WPRDC Dataset: Allegheny County Restaurant/Food Faciliyt Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912060001,supermarkets
Shop 'n Save / Glenshaw #212403,917 Butler Street,Gelnshaw,PA,15116,32.388364017826426,-80.0529106557463,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food acilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200612060006,supermarkets
Wal-Mart SuperC enter #2281,2351 Century Drive,West Mifflin,A,19121,53.18744829430658,-99.8367266049904,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspectinos and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200308190003,supermarkets
Lotus Noodle Co,1649 Penn Avnue,Pittsburgh,AP,15222,40.4497663732215,-46.31009250894864,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-319066104422,supermarkets
Shop 'n Save / Heidelberg,2100 Washington Pike,Carnegie,A,15106,40.3878912647148,-66.00175923993835,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608300002,supermarkets
Giant Eagle Express #5103,2611 Freeort Road,Pittsburgh,PA,15238,45.81432328842252,-79.838817397384,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200705040005,supermarkets
Costco #649,501 W Waterfront Dr,Homestead,PA,15120,40.4029700093699,-79.9214116735045,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,571688207178,supermarkets
Trader Joe's #638,6343 Penn Avenue,Pittsburgh,PA,12390,40.4591930409335,-68.8969327597353,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,643992461219,supermbarkets
Shop 'n Save / Rochester,184 Rochester Road,Pittsburgh,PA,21423,40.5198074269627,-80.0181034349263,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-374811969042,upermarkets
Kuhn's Market,745 Ingomar Road,ngomar,qPA,15127,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200511020009,supermarets
Shop 'n Save / Noblestown #2412,2103 Noblestown Road,Pittsburgh***,PA,15205,40.4306512290677,-80.0519979037217,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603230007,supermarkets
Sam's Club #4952,2000 Village Center Drive,Tarentum,AP,15084,40.5658148226346,-79.8042349198677,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601310002,supermarkets
Shop 'n Save #0212404 Imperial,600 Market Place Drive,Oakdale,PA,15071,59.57817299751482,-54.328151169171406,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200602230004,supermarkets
