X,Y,OBJECTID,TRAILSYSID,INTEREST,MAPLABEL
1070568.13699999,771682.099000007,47,3,Scenic View,Scenic View
1072621.353,771669.751000002,48,3,Point of Interest,Picnic Table
1073904.76800001,770228.506999999,49,3,Point of Interest,Geologic Outcrop
1146649.873,820224.797000006,50,216,Bridge,Willimantic Pedestrian Bridge
1148399.48800001,819768.512999997,51,216,Bridge,Willimantic Flower Bridge
1147828.538,820364.677000001,52,3,Point of Interest,War Memorial
1150956.32099999,824026.582000002,53,3,Bridge,Nautchaug River
1155784.75300001,829089.604000002,54,3,Point of Interest,Egret Bird Nests
1155801.68000001,829096.186000004,55,3,Scenic View,"Atlantic White Cedar Bog
Atlantic White Cedar Bog"
1163188.501,834126.370000005,56,3,Bridge,Boulevard Rd. Bridge
1165165.873,836860.497999996,57,3,Point of Interest,Two Sisters Trail Crossing
1174162.229,839047.129999995,58,3,Point of Interest,Geologic Outcrop
1179888.311,841604.454999998,59,3,Bridge,Bridge
1179552.833,840893.944999993,60,3,Point of Interest,Rock Retaining Wall
1179305.008,840619.209999993,61,3,Point of Interest,Geologic Outcrop
1180056.63500001,852995.143000007,62,3,Scenic View,Scenic View
1183202.90099999,854714.092999995,63,3,Scenic View,Scenic View
1187988.454,860754.655000001,64,3,Point of Interest,Geologic Outcrop
1204150.712,871053.872999996,65,3,Scenic View,Scenic View
1204201.583,872632.299999997,66,3,Stream Crossing,Stream Crossing
1204242.45999999,873606.248999998,67,3,Scenic View,Scenic View
1208696.67200001,876463.656000003,68,3,Point of Interest,Geologic Outcrop
1115092.009,771534.184,69,201,Point of Interest,Colchester Bakery
1114319.368,770953.215000004,70,201,Scenic View,Colchester Green
1215480.264,878570.156000003,71,3,Point of Interest,Audobon Trail
1218041.01800001,880393.996000007,72,3,Point of Interest,Abutment
1225620.777,884569.326000005,73,3,Point of Interest,Geologic Outcrop
1229166.778,892614.577000007,74,3,Point of Interest,Informational Sign
1229194.73800001,892754.196999997,75,3,Bridge,Bridge
1228806.199,892998.513999999,76,203,Point of Interest,Bike Rack
1228564.846,892917.724999994,77,203,Point of Interest,Picnic Tables
1228458.311,895379.725999996,78,203,Scenic View,Cargill Falls
1228295.18099999,895967.311000004,79,203,Point of Interest,Rotary Park
1229407.63600001,898004.401999995,80,203,Point of Interest,Robert Miller Park
1228470.949,892998.026999995,81,203,Point of Interest,Simonzi Park
1234222.95900001,905808.627000004,82,3,Scenic View,Scenic View
1235132.29700001,907164.0,83,3,Point of Interest,Cemetary
1236414.359,909844.598000005,84,3,Bridge,395 Onramp Bridge
1236742.17,910278.905000001,85,3,Bridge,Bridge Out
1237981.74699999,913868.802000001,86,3,Point of Interest,Bridge Abutment
1239103.64300001,915798.054000005,87,3,Bridge,Bridge
1243821.947,921731.539000005,88,3,Point of Interest,Hwy 395 Underpass
1245973.458,923522.751000002,89,30,Scenic View,Scenic View Janson Brook
1246726.271,924122.886999995,90,3,Bridge,Bridge
1253636.292,928668.533999994,91,3,Scenic View,5 Miile River Scenic View
1258495.811,931376.984999999,92,3,Point of Interest,Rhode Island Border Gate
1055544.54700001,766851.642000005,93,3,Scenic View,Scenic View
1057742.37800001,766819.827999994,94,3,Point of Interest,Tunnel under Rt. 66
1060907.34900001,766476.993000001,95,3,Bridge,Pine Brook Bridge
1059958.983,839445.045000002,96,212,Point of Interest,Cheney Historical Information
1064559.76899999,838599.843999997,97,213,Bridge,Bridge
1064990.794,838456.713,98,213,Bridge,Bridge
1023275.567,841045.535999998,99,210,Scenic View,Scenic View
1022513.76100001,840967.340000004,100,212,Other,USGS High Water Plaques
1022648.252,839607.351999998,101,210,Point of Interest,Riverfront Plaza
1022350.039,839565.828999996,102,210,Point of Interest,Founder's Bridge Promenade
1024531.958,836257.603,103,210,Scenic View,Scenic View
1026601.99600001,836006.768999994,104,210,Bridge,Bridge
1024817.478,837336.596000001,105,210,Point of Interest,Amphitheater
1024318.66599999,837767.012999997,106,210,Point of Interest,Boat Launch
1024161.904,837901.484999999,107,210,Scenic View,Overlook Platform
1023933.786,838291.555999994,108,210,Scenic View,Overlook Platform
1023089.528,839708.625,109,210,Scenic View,Scenic View
1026177.98199999,835242.150000006,110,210,Scenic View,Scenic View
1023096.193,843187.393000007,111,210,Point of Interest,The Greater Hartford Jaycees Community Boathouse
1016689.163,752989.303000003,112,1,Scenic View,Little Falls
1017883.41,756410.111000001,113,1,Other,Picnic Area
1017773.844,756158.108999997,114,1,Other,Picnic Area
1017472.538,756048.542999998,115,1,Other,Picnic Area
1017488.973,755456.887999997,116,1,Other,Picnic Area
1014862.88600001,752521.785999998,117,1,Scenic View,Big Falls
1042921.303,693630.405000001,118,16,Scenic View,rock outcrop
1045924.29000001,695842.914000005,119,16,Scenic View,the lookout
1045997.91500001,693714.966000006,120,16,Scenic View,spiral cave
1042412.786,698353.392000005,121,16,Scenic View,water wheel
1043829.273,696451.189999998,122,16,Scenic View,split rock passage
1045212.883,694074.789000005,123,16,Scenic View,indian caves
1042200.704,694224.794,124,16,Scenic View,scenic view
1043130.925,697022.528999999,125,16,Other,Picnic Area
1044606.86499999,694992.849999994,126,16,Point of Interest,Nature 14
1044655.463,695067.799999997,127,16,Point of Interest,Nature 13
1044865.48199999,695035.513999999,128,16,Point of Interest,Nature 12
1044869.396,695242.481999993,129,16,Point of Interest,Nature 11
1044828.34,695282.305000007,130,16,Point of Interest,Nature 10
1044947.287,695289.577000007,131,16,Point of Interest,Nature 9
1044939.728,695212.353,132,16,Point of Interest,Nature 8
1044966.059,695119.253000006,133,16,Point of Interest,Nature 7
1044965.01899999,695068.832000002,134,16,Point of Interest,Nature 6
1044971.594,694945.546000004,135,16,Point of Interest,Nature 5
1044919.587,694909.420000002,136,16,Point of Interest,Nature 4
1044855.26100001,694824.309,137,16,Point of Interest,Nature 3
1044847.314,694793.241999999,138,16,Point of Interest,Nature 2
1044887.013,694744.319999993,139,16,Point of Interest,Nature 1
1044210.994,694937.781000003,140,16,Other,Handicapped Fishing
1033574.382,734783.165000007,141,72,Point of Interest,Geologic Outcrop
1032650.70200001,735795.204999998,142,72,Point of Interest,Old Foundations
1032152.376,735441.579999998,143,72,Other,Picnic Area
1032307.48100001,735562.452999994,144,72,Other,Picnic Area
1032545.24699999,735341.417999998,145,72,Other,Picnic Area
1031568.596,735884.349000007,146,72,Scenic View,Scenic View
1044094.473,690611.716999993,147,17,scenic view,Scenic View
1017833.873,690001.979000002,148,17,cultural feature,archery meeting area
1039946.513,738351.813999996,149,17,Scenic View,Scenic View
1079638.664,701689.114999995,150,17,Scenic View,Scenic View
1064002.664,683788.588,151,17,cultural feature,paintball headquarters
1012002.252,665440.925999999,152,17,cultural feature,bernard n kane memorial
1011283.374,660737.925999999,153,17,Scenic View,Scenic View
1012053.494,659117.678000003,154,17,Scenic View,Scenic View
1031362.575,733999.416999996,155,72,Bridge,Bridge
1058314.46699999,720894.143000007,156,17,Point of Interest,fire tower
1053963.22400001,726635.976999998,157,17,Point of Interest,old fire place
1058014.024,730746.778999999,158,17,Point of Interest,old fire place
1031769.30400001,675714.570999995,159,17,Point of Interest,charcoal pit
1036532.3,673385.817000002,160,17,Point of Interest,lost pond
1035982.359,670653.648000002,161,17,Point of Interest,camp hadley company 201 ccc
1036705.301,671182.981000006,162,17,Point of Interest,chimney
1012053.494,659117.678000003,163,17,Scenic View,Scenic View
1011283.374,660737.925999999,164,17,Scenic View,Scenic View
1079638.664,701689.114999995,165,17,Scenic View,Scenic View
1039946.513,738351.813999996,166,17,Scenic View,Scenic View
1044094.473,690611.716999993,167,17,scenic view,Scenic View
1032998.62100001,735730.635000005,168,72,Other,Chemical Toilet
958112.291999996,711773.379999995,169,208,Point of Interest,Convenience Stores
957324.342999995,711054.647,170,208,Point of Interest,Signs
955715.306999996,708298.452999994,171,208,Bridge,Bridge
955384.444000006,707602.981000006,172,208,Point of Interest,Private Rest Area
955197.245000005,707130.312000006,173,208,Bridge,Bridge
954613.755999997,704151.613999993,174,208,Bridge,Bridge
954654.187999994,702637.732999995,175,208,Bridge,Bridge
957185.156000003,715096.241999999,176,208,Bridge,Bridge
957554.415000007,713701.004999995,177,208,Point of Interest,Geologic Outcrop
952397.778999999,734029.150999993,178,208,Point of Interest,Water Fountain
952426.229000002,733954.785999998,179,208,Point of Interest,Historical Lock 12
961123.770999998,774934.171000004,180,208,Point of Interest,9/11 Memorial
962626.878000006,777729.157000005,181,208,Bridge,Bridge
981264.606999993,865100.096000001,182,208,Scenic View,Scenic View
986556.209999993,879079.893999994,183,208,Point of Interest,Water Fountain
987911.714000002,884339.800999999,184,208,Scenic View,Scenic View - Farmington River
992976.354000002,902211.613000005,185,208,Bridge,Bridge Closed but Passable
990930.515000001,894331.873999998,186,208,Scenic View,Scenic View
997714.473000005,917116.634000003,187,208,Scenic View,Scenic View
996582.665000007,919997.506999999,188,208,Scenic View,Scenic View
967029.052000001,831140.287,189,209,Scenic View,Scenic View
961231.608999997,836054.474999994,190,209,Scenic View,Scenic View
952930.722000003,846051.503999993,191,209,Stream Crossing,Burlington Brook
952706.915999994,846504.066,192,209,Point of Interest,Art Trail Information Sign
951740.243000001,852393.920000002,193,209,Point of Interest,Dam
952919.888999999,855223.475999996,194,209,Bridge,Bridge
953698.913000003,857376.327999994,195,209,Scenic View,Scenic View
961311.987000003,860675.785999998,196,209,Scenic View,Scenic View
1093268.083,840929.431999996,197,43,Point of Interest,Geologic Outcrop
1084505.15700001,847115.772,198,43,Point of Interest,Ice Rink
1084974.20299999,847305.925999999,199,43,Point of Interest,Stores
1083755.634,847955.619000003,200,43,Point of Interest,Geologic Outcrop
1082518.04799999,848630.665000007,201,43,Point of Interest,Geologic Outcrop/Tunnel
1135876.73800001,823596.363999993,202,43,Point of Interest,Tunnel
1129818.75300001,824470.148000002,203,43,Point of Interest,Underpass
1130325.792,824107.613999993,204,43,Point of Interest,Underpass
1127397.498,825628.528999999,205,43,Point of Interest,Beaver Dam
1126309.566,825850.224000007,206,43,Point of Interest,Tunnel
1120982.582,826722.506999999,207,43,Point of Interest,Dam/Waterfall
1119219.419,827339.026999995,208,43,Bridge,Bridge
1120184.722,827250.246999994,209,43,Bridge,Bridge
1137963.029,822849.496999994,210,43,Bridge,Bridge
1135044.396,823844.083000004,211,43,Bridge,Bridge
1093736.131,836618.003000006,212,43,Bridge,Bridge
1104038.31200001,829872.366999999,213,43,Bridge,Bridge
1104174.618,829835.005999997,214,43,Bridge,Bridge
1106310.883,828023.332000002,215,43,Bridge,Bridge
1107328.935,827239.803000003,216,43,Bridge,Bridge
1133913.80400001,824136.718999997,217,43,Bridge,Bridge
1117827.089,827481.967999995,218,43,Bridge,Columbia Lake Brook
1107328.935,827239.803000003,219,43,Bridge,Bridge
1104441.855,829982.059,220,43,Point of Interest,Andover Museum of History
1104318.737,829939.824000001,221,43,Point of Interest,Informational Sign
1104207.851,829991.715000004,222,43,Point of Interest,War Memorial
1103482.60600001,830054.560000002,223,43,Point of Interest,Convenience Store
1101848.71699999,830684.387999997,224,43,Point of Interest,Post Office
1101951.892,830615.442000002,225,43,Point of Interest,Park and Ride Lot
1096442.79899999,833285.522,226,43,Stream Crossing,Burnap Brook
1095314.95299999,835181.406000003,227,43,Point of Interest,Gun Club - Stay on Trail
1082799.598,848594.049999997,228,43,Point of Interest,Tunnel
1081089.68799999,849810.306999996,229,43,Point of Interest,Informational Sign
1082982.502,860152.128000006,230,43,Point of Interest,Bike Rack
1078381.435,861150.699000001,231,43,Point of Interest,Bridge over Tunnel Rd.
1073616.509,860402.638999999,232,43,Point of Interest,Picnic Area
1073616.509,860402.638999999,233,43,Point of Interest,Train Turnabout
1071621.59100001,860735.982999995,234,43,Stream Crossing,Tucker Brook
1071467.086,860868.929000005,235,43,Point of Interest,Old Cistern
1071440.493,861019.430000007,236,43,Scenic View,Waterfall/Dam/Foundations
1070255.038,860614.731000006,237,43,Point of Interest,Geologic Outcrop
1066075.528,852546.736000001,238,43,Point of Interest,Rails to Trails Sign
1074954.368,862063.026999995,239,43,Bridge,Tankerhoosen River
1074976.98800001,863067.740999997,240,43,Point of Interest,Underpass HW 84
1074095.757,867587.391000003,241,43,Stream Crossing,Ogden Brook
1079855.846,875534.517000005,242,43,Point of Interest,Concrete Platform
1109622.264,826361.387999997,243,43,Point of Interest,1912 Stream Tunnel
862950.419,674909.875,244,214,Scenic View,Scenic View
862575.704999998,677811.327000007,245,214,Point of Interest,Geologic Outcrop
862851.5,683898.276999995,246,214,Bridge,Bridge
1008949.073,773398.885000005,247,215,Point of Interest,Picnic Tables
1010361.31,773511.603,248,215,Bridge,Bridge
1235849.655,852233.084999993,249,204,Scenic View,Scenic View 4
1235585.573,853112.297000006,250,204,Scenic View,Scenic View 3
1235539.21699999,853759.336999997,251,204,Point of Interest,Picnic tables
1235427.027,853888.666999996,252,204,Scenic View,Scenic View 2
1235307.435,854011.375,253,204,Scenic View,Scenic View 1
1237548.94400001,821903.627000004,254,77,Bridge,Bridge
1242625.287,823211.884000003,255,77,Scenic View,Scenic View
1242616.39,823222.263999999,256,77,Bridge,Bridge
1243160.781,823611.211999997,257,77,Point of Interest,Geologic Outcrop
1243880.59100001,825022.194000006,258,77,Point of Interest,Geologic Outcrop
1249433.631,821733.790999994,259,77,Bridge,Bridge
1226600.11300001,828917.224999994,260,207,Point of Interest,Pasture Pond
1251044.31200001,820341.858999997,261,77,Other,Convenience Store
1251629.757,819808.800999999,262,77,Point of Interest,Park & Picnic Tables
1255461.289,816568.147,263,77,Point of Interest,Geologic Outcrop
1256875.854,816385.760000005,264,77,Bridge,Bridge
1109553.486,840151.356000006,265,84,Point of Interest,Strong Porter House
1110210.833,839421.100999996,266,84,Point of Interest,Nathan Hale Homestead
907742.724999994,675710.011999995,267,302,Point of Interest,Boat Launch
908819.909999996,676027.709000006,268,302,Point of Interest,Fishing Spot
906503.759000003,677336.299999997,269,302,Point of Interest,Trail Start
908916.717999995,676055.123999998,270,303,Point of Interest,Fishing Pier
909223.621000007,675808.237000003,271,303,Point of Interest,Deerfield Parking Lot
908887.807999998,675950.998999998,272,302,Scenic View,Scenic View
909595.267000005,674896.840000004,273,304,Point of Interest,Fishing Access
916660.209000006,686614.084999993,274,301,Point of Interest,Nature Center
917121.084999993,686399.752000004,275,301,Point of Interest,Picnic Area
916903.420000002,687271.262999997,276,301,Point of Interest,Picnic Area
912470.598000005,707778.246999994,277,307,Point of Interest,Recreation Area
911727.920000002,708817.996000007,278,307,Point of Interest,Fishing Area
911568.774000004,712160.048999995,279,307,Point of Interest,Fishing Area
917288.248999998,706980.949000001,280,308,Point of Interest,Playscape
917161.997999996,706497.838,281,308,Point of Interest,Gazebo
917175.753000006,706547.006999999,282,308,Point of Interest,Picnic Area
917310.936000004,706546.800999999,283,308,Point of Interest,Gazebo
917243.870000005,707191.675999999,284,308,Point of Interest,Bench
917086.409999996,707409.744000003,285,308,Point of Interest,Bench
917078.597000003,707288.930999994,286,308,Point of Interest,Gazebo Bench
917021.627000004,706567.561000004,287,308,Point of Interest,Henry Hamel Environmental Center
913367.185000002,747173.736000001,288,141,Point of Interest,Geologic Outcrop
912703.799999997,746732.371999994,289,141,Point of Interest,Geologic Outcrop
905140.672000006,745093.099000007,290,141,Point of Interest,Geologic Outcrop
900303.612000003,738020.728,291,144,Point of Interest,Geologic Outcrop
900368.880999997,737281.670000002,292,144,Point of Interest,Geologic Outcrop
900342.782000005,736177.965000004,293,144,Scenic View,Scenic View
899113.280000001,733860.901999995,294,144,Point of Interest,Jack's Brook
888263.287,733733.233999997,295,144,Stream Crossing,8 Mile Brook
887398.213,732719.986000001,296,144,Bridge,Bridge
