"County
Name ","District
Name",Co/Dist Code,Site Code,School Site,Total Enrollment,Telephone,Principal,Principal's Email,Mailing Address,Mailing City,Mailing State,Mailing Zip,Grades  (Low-High),Certified Staff,
ADAIR       ,CAVE SPRINGS                  ,01-I030,105,CAVE SPRINGS ES               ,39,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931,PK-04,9,
ADAIR       ,CAVE SPRINGS                  ,01-I030,505,CAVE SPRINGS MS               ,37,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931,05-08,10,
ADAIR       ,CAVE SPRINGS                  ,01-I030,705,CAVE SPRINGS HS               ,107,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931,09-12,12,
ALFALFA     ,BURLINGTON                    ,02-I001,105,BURLINGTON ES                 ,131,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722,PK-08,20,
ALFALFA     ,BURLINGTON                    ,02-I001,705,BURLINGTON HS                 ,41,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722,09-12,15,
ALFALFA     ,CHEROKEE                      ,02-I046,105,CHEROKEE ES                   ,228,(580) 596-3277,Ruth Richmond,richmondr@cherokee.k12.ok.us,700 S. Nebraska,Cherokee,OK,73728,PK-05,35,
ALFALFA     ,CHEROKEE                      ,02-I046,510,CHEROKEE MS                   ,89,(580) 596-3391,Jeremy Hickman,hickmanj@cherokee.k12.ok.us,Po Box 325,Cherokee,OK,73728,06-08,0,
ALFALFA     ,CHEROKEE                      ,02-I046,705,CHEROKEE HS                   ,105,(580) 596-3391,Jeremy Hickman,HICKMANJ@CHEROKEE.K12.OK.US,412 E. 5Th Street,Cherokee,OK,73728,09-12,24,
ALFALFA     ,TIMBERLAKE                    ,02-I093,105,TIMBERLAKE ES                 ,203,(580) 626-4411,Kale Pierce,kpierce@tlake.k12.ok.us,Post Office Box 188,Jet,OK,73749,PK-08,26,
ALFALFA     ,TIMBERLAKE                    ,02-I093,705,TIMBERLAKE HS                 ,73,(580) 852-3281,Charlie Berg,cberg@tlake.k12.ok.us,Post Office Box 287,Helena,OK,73741,09-12,15,
ATOKA       ,HARMONY                       ,03-C021,105,HARMONY PUBLIC SCHOOL         ,200,(580) 889-3687,Brian Walker,bwalker@harmonyps.org,4926 S Bentley Rd,Atoka,OK,74525,PK-08,14,
ATOKA       ,LANE                          ,03-C022,105,LANE PUBLIC SCHOOL            ,257,(580) 889-2743,Debra Patton,dpatton@lane.k12.ok.us,601 W. Mcgee Creek Rd,Lane,OK,74555,PK-08,23,
ATOKA       ,STRINGTOWN                    ,03-I007,105,STRINGTOWN ES                 ,151,(580) 346-7423,Ricky Heard,rheard@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569,PK-08,17,
ATOKA       ,STRINGTOWN                    ,03-I007,705,STRINGTOWN HS                 ,103,(580) 346-7741,Tony Potts,tpotts@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569,09-12,12,
ATOKA       ,ATOKA                         ,03-I015,120,ATOKA ES                      ,469,(580) 889-3553,Kathy Perkins,kperkins@atoka.org,Post Office Box 720,Atoka,OK,74525,PK-05,30,
ATOKA       ,ATOKA                         ,03-I015,505,MCCALL MS                     ,192,(580) 889-5640,Wesley Burnett,wburnett@atoka.org,Post Office Box 720,Atoka,OK,74525,06-08,24,
ATOKA       ,ATOKA                         ,03-I015,705,ATOKA HS                      ,335,(580) 889-3361,Ernest Michaelis,emichaelis@atoka.org,Post Office Box 720,Atoka,OK,74525,09-12,29,
ATOKA       ,TUSHKA                        ,03-I019,105,TUSHKA ES                     ,269,(580) 889-7355,Paul Weaver,pweaver@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525,PK-08,27,
ATOKA       ,TUSHKA                        ,03-I019,705,TUSHKA HS                     ,161,(580) 889-7355,Charles Graham,jgraham@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525,09-12,22,
ATOKA       ,CANEY                         ,03-I026,105,CANEY ES                      ,179,(580) 889-6966,Lori Boehme,l.boehme@caneyisd.org,Po Box 60,Caney,OK,74533,PK-08,24,
ATOKA       ,CANEY                         ,03-I026,705,CANEY HS                      ,74,(580) 889-6607,Matt Brister,m.brister@caneyisd.org,Po Box 60,Caney,OK,74533,09-12,12,
BEAVER      ,BEAVER                        ,04-I022,105,BEAVER ES                     ,274,(580) 625-3444,Read Cates,rcates@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932,PK-08,27,
BEAVER      ,BEAVER                        ,04-I022,705,BEAVER HS                     ,95,(580) 625-3444,Michael Mcvay,coachmcvay@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932,09-12,18,
BEAVER      ,BALKO                         ,04-I075,105,BALKO ES                      ,118,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931,PK-08,22,
BEAVER      ,BALKO                         ,04-I075,705,BALKO HS                      ,44,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931,09-12,13,
BEAVER      ,FORGAN                        ,04-I123,105,FORGAN ES                     ,119,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938,PK-08,16,
BEAVER      ,FORGAN                        ,04-I123,705,FORGAN HS                     ,45,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938,09-12,11,
BEAVER      ,TURPIN                        ,04-I128,105,TURPIN ES                     ,324,(580) 778-3331,Jeff Funk,jfunk@turpinps.org,Po Box 187,Turpin,OK,73950,PK-08,35,
BEAVER      ,TURPIN                        ,04-I128,705,TURPIN HS                     ,123,(580) 778-3333,Gary Wallace,gwallace@turpinps.org,Po Box 187,Turpin,OK,73950,09-12,24,
BECKHAM     ,MERRITT                       ,05-I002,105,MERRITT ES                    ,628,(580) 225-5460,Tawn Rundle,rundlet@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644,PK-08,51,
BECKHAM     ,MERRITT                       ,05-I002,705,MERRITT HS                    ,161,(580) 225-5460,Don Bradshaw,bradshawd@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644,09-12,25,
BECKHAM     ,ELK CITY                      ,05-I006,105,FAIRVIEW ES                   ,315,(580) 225-2590,Pam Joy,joy.pam@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,03-04,23,
BECKHAM     ,ELK CITY                      ,05-I006,110,PIONEER ES                    ,319,(580) 225-7722,Amanda Friesen,friesen.amanda@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,PK-KG,24,
BECKHAM     ,ELK CITY                      ,05-I006,115,GRANDVIEW 5TH/6TH GRADE CTR   ,328,(580) 225-2687,Randy Turney,turney.randy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,05-06,30,
BECKHAM     ,ELK CITY                      ,05-I006,120,NORTHEAST ES                  ,336,(580) 225-0194,Dee Wilhelm,wilhelm.dee@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,01-02,26,
BECKHAM     ,ELK CITY                      ,05-I006,125,OPENS 2017-18 EARLY CHILDHOOD ,,(580) 225-2229,Cindy Buckmaster,buckmaster.cindy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,-,0,
BECKHAM     ,ELK CITY                      ,05-I006,610,8TH AND 9TH GRADE CTR         ,431,(580) 225-0476,Tammy Russell,russell.tammy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,07-09,56,
BECKHAM     ,ELK CITY                      ,05-I006,705,ELK CITY HS                   ,418,(580) 225-0105,Jeff Lewallen,lewallen.jeff@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644,10-12,56,
BECKHAM     ,SAYRE                         ,05-I031,105,SAYRE ES                      ,394,(580) 928-2013,Carmen Holmes,cholmes@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,PK-05,28,
BECKHAM     ,SAYRE                         ,05-I031,505,SAYRE MS                      ,160,(580) 928-5578,Danny Clifton,dclifton@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,06-08,17,
BECKHAM     ,SAYRE                         ,05-I031,705,SAYRE HS                      ,197,(580) 928-5576,Danny Crabb,dcrabb@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662,09-12,20,
BECKHAM     ,ERICK                         ,05-I051,105,ERICK ES                      ,204,(580) 526-3203,Kenneth Hill,KHILL@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645,PK-08,22,
BECKHAM     ,ERICK                         ,05-I051,715,ERICK HS                      ,70,(580) 526-3351,Jeff Kelly,JKELLY@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645,09-12,17,
BLAINE      ,OKEENE                        ,06-I009,105,OKEENE ES                     ,193,(580) 822-3425,Mike Jinkens,mjinkens@okeene.k12.ok.us,P.O. Box 409,Okeene,OK,73763,PK-06,17,
BLAINE      ,OKEENE                        ,06-I009,615,OKEENE JR-SR HS (JR)          ,42,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763,07-08,15,
BLAINE      ,OKEENE                        ,06-I009,715,OKEENE JR-SR HS (SR)          ,94,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763,09-12,19,
BLAINE      ,WATONGA                       ,06-I042,105,WATONGA ES                    ,423,(580) 623-5248,Jeanne Karns,jkarns@watonga.k12.ok.us,P.O. Box 640,Watonga,OK,73772,PK-05,29,
BLAINE      ,WATONGA                       ,06-I042,505,WATONGA MS                    ,156,(580) 623-7361,Bryan Pope,bpope@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772,06-08,20,
BLAINE      ,WATONGA                       ,06-I042,705,WATONGA HS                    ,192,(580) 623-7362,David Lorenz,dlorenz@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772,09-12,24,
BLAINE      ,GEARY                         ,06-I080,105,GEARY ES                      ,233,(405) 884-2442,Melissa Malloy,mmalloy@geary.k12.ok.us,221 S. Galena,Geary,OK,73040,PK-05,25,
BLAINE      ,GEARY                         ,06-I080,500,GEARY MS                      ,73,(405) 884-2289,Jim Shelton,jshelton@geary.k12.ok.us,311 S. Blaine,Geary,OK,73040,06-08,28,
BLAINE      ,GEARY                         ,06-I080,715,GEARY HS                      ,99,(405) 884-2362,Jim Shelton,jshelton@geary.k12.ok.us,300 S. Blaine,Geary,OK,73040,09-12,32,
BLAINE      ,CANTON                        ,06-I105,105,CANTON ES                     ,289,(580) 886-2251,Daniel Ingram,ingramd@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724,PK-08,40,
BLAINE      ,CANTON                        ,06-I105,705,CANTON HS                     ,107,(580) 886-2256,Adam Mcphail,mcphaila@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724,09-12,22,
BRYAN       ,SILO                          ,07-I001,110,SILO ES                       ,490,(580) 924-7001,Katie Brister,k.brister@siloisd.org,122 West Bourne Street,Durant,OK,74701,PK-05,33,
BRYAN       ,SILO                          ,07-I001,515,SILO MS                       ,170,(580) 924-7000,Mike Lawless,m.lawless@siloisd.org,122 West Bourne Street,Durant,OK,74701,06-08,26,
BRYAN       ,SILO                          ,07-I001,705,SILO HS                       ,229,(580) 924-7000,Jeremy Atwood,j.atwood@siloisd.org,122 West Bourne Street,Durant,OK,74701,09-12,26,
BRYAN       ,ROCK CREEK                    ,07-I002,105,ROCK CREEK ES                 ,323,(580) 924-9601,Ryan Cordell,rcordell@rockcreekisd.net,23072 U.S. Highway 70,Durant,OK,74701,PK-08,29,
BRYAN       ,ROCK CREEK                    ,07-I002,705,ROCK CREEK HS                 ,144,(580) 295-3761,John Cartwright,jcartwright@rockcreekisd.net,200 East Steakley Street,Bokchito,OK,74726,09-12,23,
BRYAN       ,ACHILLE                       ,07-I003,105,ACHILLE ES                    ,224,(580) 283-3002,Dana Beene,dbeene@achilleisd.org,Post Office Box 280,Achille,OK,74720,PK-08,25,
BRYAN       ,ACHILLE                       ,07-I003,705,ACHILLE HS                    ,100,(580) 283-3260,Dana Beene,dbeene@achilleisd.org,Post Office Box 280,Achille,OK,74720,09-12,15,
BRYAN       ,COLBERT                       ,07-I004,105,WARD ES EAST                  ,162,(580) 296-2198,Stephanie Carlton,carltons@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733,04-06,21,
BRYAN       ,COLBERT                       ,07-I004,110,WARD ES WEST                  ,351,(580) 296-2626,Karen Hedgecock,hedgecockk@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733,PK-03,25,
BRYAN       ,COLBERT                       ,07-I004,505,COLBERT MS                    ,114,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733,07-08,25,
BRYAN       ,COLBERT                       ,07-I004,715,COLBERT HS                    ,205,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733,09-12,32,
BRYAN       ,CADDO                         ,07-I005,105,CADDO ES                      ,339,(580) 367-2515,Spencer Phipps,sphipps@caddoisd.org,Post Office Box 128,Caddo,OK,74729,PK-08,37,
BRYAN       ,CADDO                         ,07-I005,715,CADDO HS                      ,147,(580) 367-2208,J.T. Busby,jtbusby@caddoisd.org,Post Office Box 128,Caddo,OK,74729,09-12,25,
BRYAN       ,BENNINGTON                    ,07-I040,105,BENNINGTON ES                 ,219,(580) 847-2310,Scot Mccorstin,smccorstin@benningtonisd.org,729 North Perry Street,Bennington,OK,74723,PK-08,25,
BRYAN       ,BENNINGTON                    ,07-I040,705,BENNINGTON HS                 ,79,(580) 847-2310,Jon Shepard,jshepard@benningtonisd.org,729 North Perry Street,Bennington,OK,74723,09-12,17,
BRYAN       ,CALERA                        ,07-I048,105,CALERA ES                     ,526,(580) 434-5603,Steve Evans,sevans@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730,PK-08,38,
BRYAN       ,CALERA                        ,07-I048,705,CALERA HS                     ,195,(580) 434-5158,Kevin Robinson,krobinson1@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730,09-12,22,
BRYAN       ,DURANT                        ,07-I072,105,WASHINGTON IRVING ES          ,610,(580) 924-3805,Lisa Whitley,lisa.whitley@durantisd.org,812 West Locust Street,Durant,OK,74701,PK-03,62,
BRYAN       ,DURANT                        ,07-I072,110,ROBERT E. LEE ES              ,270,(580) 924-3628,Jan Chaffin,jan.chaffin@durantisd.org,824 West Louisiana Street,Durant,OK,74701,PK-03,13,
BRYAN       ,DURANT                        ,07-I072,115,NORTHWEST HEIGHTS ES          ,632,(580) 924-5595,Valerie Crabtree,valerie.crabtree@durantisd.org,1715 W University Boulevard,Durant,OK,74701,PK-03,39,
BRYAN       ,DURANT                        ,07-I072,125,DURANT INTERMEDIATE ES        ,748,(580) 924-1397,Aaron Mccoy,aaron.mccoy@durantisd.org,1314 Waco Street,Durant,OK,74701,04-06,57,
BRYAN       ,DURANT                        ,07-I072,500,DURANT MS                     ,517,(580) 924-1321,Kenny Chaffin,kenny.chaffin@durantisd.org,802 West Walnut Street,Durant,OK,74701,07-08,33,
BRYAN       ,DURANT                        ,07-I072,705,DURANT HS                     ,918,(580) 924-4424,Cheryl Conditt,cheryl.conditt@durantisd.org,950 Gerlach Drive,Durant,OK,74701,09-12,68,
CADDO       ,HYDRO-EAKLY                   ,08-I011,105,HYDRO-EAKLY ES                ,239,(405) 663-2619,Jeremy Tharp,jtharp@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,PK-05,23,
CADDO       ,HYDRO-EAKLY                   ,08-I011,505,HYDRO-EAKLY MS                ,96,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,06-08,19,
CADDO       ,HYDRO-EAKLY                   ,08-I011,715,HYDRO-EAKLY HS                ,118,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048,09-12,19,
CADDO       ,LOOKEBA SICKLES               ,08-I012,105,LOOKEBA-SICKLES ES            ,179,(405) 457-6300,Mike Davis,mdavis@lookeba.k12.ok.us,307 West Sickles Ave.,Lookeba,OK,73053,PK-08,19,
CADDO       ,LOOKEBA SICKLES               ,08-I012,705,LOOKEBA-SICKLES HS            ,86,(405) 457-6621,Chuck Karpe,ckarpe@lookeba.k12.ok.us,10108 Cr 1150,Lookeba,OK,73053,09-12,12,
CADDO       ,ANADARKO                      ,08-I020,105,ANADARKO EAST ES              ,290,(405) 247-2496,Danny Harris,dharris@apswarriors.com,107 Southeast Fifth Street,Anadarko,OK,73005,02-03,27,
CADDO       ,ANADARKO                      ,08-I020,115,SUNSET ES                     ,316,(405) 247-2503,Lyn Grubb,lgrubb@apswarriors.com,508 Southwest Seventh Street,Anadarko,OK,73005,KG-01,27,
CADDO       ,ANADARKO                      ,08-I020,120,MISSION ES                    ,394,(405) 247-6607,Jeff Barrett,jbarrett@apswarriors.com,1200 South Mission Street,Anadarko,OK,73005,PK-05,30,
CADDO       ,ANADARKO                      ,08-I020,510,ANADARKO MS                   ,411,(405) 247-6671,Doug Hall,dhall@apswarriors.com,900 West College Street,Anadarko,OK,73005,06-08,58,
CADDO       ,ANADARKO                      ,08-I020,705,ANADARKO HS                   ,471,(405) 247-2486,Mike Sparks,msparks@apswarriors.com,1400 Warrior Drive,Anadarko,OK,73005,09-12,62,
CADDO       ,CARNEGIE                      ,08-I033,105,CARNEGIE ES                   ,300,(580) 654-1945,Lori Graham,lgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,PK-05,22,
CADDO       ,CARNEGIE                      ,08-I033,510,CARNEGIE MS                   ,125,(580) 654-1766,Jane Nix,jnix@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,06-08,21,
CADDO       ,CARNEGIE                      ,08-I033,705,CARNEGIE HS                   ,146,(580) 654-1266,Jerry Hulme,jhulme@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015,09-12,22,
CADDO       ,BOONE-APACHE                  ,08-I056,105,APACHE ES                     ,270,(580) 588-3577,Jayne Ivy,jivy@apache.k12.ok.us,Post Office Box 354,Apache,OK,73006,PK-05,18,
CADDO       ,BOONE-APACHE                  ,08-I056,505,APACHE MS                     ,139,(580) 588-2122,Todd Vail,tvail@apache.k12.ok.us,Post Office Box 354,Apache,OK,73006,06-08,18,
CADDO       ,BOONE-APACHE                  ,08-I056,705,APACHE HS                     ,167,(580) 588-3358,Todd Vail,tvail@apache.k12.ok.us,Post Office Box 354,Apache,OK,73006,09-12,19,
CADDO       ,CYRIL                         ,08-I064,105,CYRIL ES                      ,243,(580) 464-2437,Tammy Cocheran,tcocheran@cyrilschools.org,Po Box 449,Cyril,OK,73029,PK-06,20,
CADDO       ,CYRIL                         ,08-I064,610,CYRIL JHS                     ,45,(580) 464-2272,Timothy Persinger,tpersinger@cyrilschools.org,Po Box 449,Cyril,OK,73029,07-08,9,
CADDO       ,CYRIL                         ,08-I064,715,CYRIL HS                      ,97,(580) 464-2272,Tim Persinger,tpersinger@cyrilschools.org,Po Box 449,Cyril,OK,73029,09-12,19,
CADDO       ,GRACEMONT                     ,08-I086,105,GRACEMONT ES                  ,108,(405) 966-2551,Roberta Fullbright,rfullbright@gracemont.k12.ok.us,P.O. Box 5,Gracemont,OK,73042,PK-08,18,
CADDO       ,GRACEMONT                     ,08-I086,705,GRACEMONT HS                  ,32,(405) 966-2233,Mike Jones,mjones@gracemont.k12.ok.us,Post Office Box 5,Gracemont,OK,73042,09-12,12,
CADDO       ,CEMENT                        ,08-I160,105,CEMENT ES                     ,190,(405) 489-3217,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017,PK-08,16,
CADDO       ,CEMENT                        ,08-I160,715,CEMENT HS                     ,65,(405) 489-3218,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017,09-12,9,
CADDO       ,HINTON                        ,08-I161,105,HINTON ES                     ,405,(405) 542-3295,Marcy Derryberry,marcy.derryberry@hintonschools.org,Post Office Box 1036,Hinton,OK,73047,PK-05,31,
CADDO       ,HINTON                        ,08-I161,610,HINTON MS                     ,148,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,Post Office Box 1036,Hinton,OK,73047,06-08,19,
CADDO       ,HINTON                        ,08-I161,705,HINTON HS                     ,162,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,Post Office Box 1036,Hinton,OK,73047,09-12,22,
CADDO       ,FORT COBB-BROXTON             ,08-I167,105,FORT COBB-BROXTON LOWER ES    ,169,(405) 643-2334,James Biddy,jbiddy@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038,PK-05,21,
CADDO       ,FORT COBB-BROXTON             ,08-I167,505,FORT COBB-BROXTON MS          ,73,(405) 643-2820,James Biddy,jbiddy@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038,06-08,19,
CADDO       ,FORT COBB-BROXTON             ,08-I167,705,FORT COBB-BROXTON HS          ,102,(405) 643-2820,Kyle Lierle,klierle@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038,09-12,15,
CADDO       ,BINGER-ONEY                   ,08-I168,105,BINGER-ONEY ES                ,257,(405) 656-2304,Lisa King,lking@binger-oney.k12.ok.us,Post Office Box 280,Binger,OK,73009,PK-08,28,
CADDO       ,BINGER-ONEY                   ,08-I168,705,BINGER-ONEY HS                ,110,(405) 656-2304,Kevin Brown,kbrown@binger-oney.k12.ok.us,Post Office Box 280,Binger,OK,73009,09-12,19,
CANADIAN    ,RIVERSIDE                     ,09-C029,105,RIVERSIDE PUBLIC SCHOOL       ,173,(405) 262-2907,David Garner,dgarner@riverside.k12.ok.us,4800 East Foreman Street,El Reno,OK,73036,PK-08,13,
CANADIAN    ,BANNER                        ,09-C031,105,BANNER PUBLIC SCHOOL          ,204,(405) 262-0598,Larry York,ljyork68@banner.k12.ok.us,2455 North Banner Road,El Reno,OK,73036,PK-08,14,
CANADIAN    ,DARLINGTON                    ,09-C070,105,DARLINGTON PUBLIC SCHOOL      ,238,(405) 262-0137,Cheryl Garrison,cgarrison@darlington.k12.ok.us,4408 North Highway 81,El Reno,OK,73036,PK-08,15,
CANADIAN    ,MAPLE                         ,09-C162,105,MAPLE PUBLIC SCHOOL           ,145,(405) 262-5647,Shana Thiel,sthiel@maple.k12.ok.us,904 South Maple Road,Calumet,OK,73014,PK-08,17,
CANADIAN    ,PIEDMONT                      ,09-I022,105,PIEDMONT ES                   ,469,(405) 373-2353,Christy Von Tungeln,Christy.VonTungeln@piedmontschools.org,1011 Piedmont Road North,Piedmont,OK,73078,KG-04,36,
CANADIAN    ,PIEDMONT                      ,09-I022,110,PIEDMONT PRIMARY ES           ,228,(405) 373-4848,Debbie Caywood,Debbie.Caywood@piedmontschools.org,615 Edmond Road Northwest,Piedmont,OK,73078,PK-PK,16,
CANADIAN    ,PIEDMONT                      ,09-I022,115,STONE RIDGE ES                ,503,(405) 373-4227,Margaret Mcnair Dale,Margaret.Dale@piedmontschools.org,10000 West Memorial Road,Yukon,OK,73099,PK-04,35,
CANADIAN    ,PIEDMONT                      ,09-I022,120,NORTHWOOD ES                  ,465,(405) 373-5151,Lisa Campbell,Lisa.Campbell@piedmontschools.org,14100 Northwood Drive,Piedmont,OK,73078,KG-04,39,
CANADIAN    ,PIEDMONT                      ,09-I022,125,PIEDMONT INTERMEDIATE ES      ,525,(405) 373-5155,Shawn Blankenship,Shawn.Blaneknship@piedmontschools.org,977 Washington Avenue,Piedmont,OK,73078,05-06,37,
CANADIAN    ,PIEDMONT                      ,09-I022,510,PIEDMONT MS                   ,523,(405) 373-1315,Trinity Johnson,trinity.johnson@piedmontschools.org,823 Second Street Northwest,Piedmont,OK,73078,07-08,44,
CANADIAN    ,PIEDMONT                      ,09-I022,705,PIEDMONT HS                   ,936,(405) 373-5011,Layne Jones,Layne.Jones@piedmontschools.org,1055 Edmond Road Northwest,Piedmont,OK,73078,09-12,64,
CANADIAN    ,YUKON                         ,09-I027,105,CENTRAL ES                    ,351,(405) 354-2501,Laura Gallagher,laurie.gallagher@yukonps.com,300 South Ninth Street,Yukon,OK,73099,PK-03,25,
