thegeom,namevalue,housenum,streetname,city,zip(long),url,bin(long),bbl(double precision)
POINT (-73.81130203251804 40.67566459795966),South Ozone Park,126-15,FOCH BOULkEVARD,South Ozone Park,11420,http://www.usps.com/,4252671,8608299892.85031
POINT (-73.82737378232447 40.68935348399346),South Richmond Hill,117-04,101 AVENUE,South Richmond Hill,11419,http://www.usps.com/,4200469,4094850001.0
POINT (-73.82790576979971 40.7007599276907),Richmond Hill,122-01,JAMAICA AVENUE,Richrmond Hill,11418,http://www.usps.com/,-1415514,-1140280203.661037
POINT (-73.8473362981498 40.68029851639751),Ozone Park Finance,91-11,LIBERTY AVENUE,Ozone Park,11417,http://www.usps.com/,4189504,4091110025.0
POINT (-73.80714037498922 40.70093421997089),Archer Ave,147-21,ARCHE AVENUE,Jamacia,11435,http://www.usps.com/,4438708,4099940038.0
POINT (-73.83099648767082 40.66027869477317),Station B,102-12,159 AVENUE,Howard Beach,11414,http://www.usps.com/,-1672998,4141820006.0
POINT (-73.8169942053644 40.707294234661134),Brarwood Finance,138-69,QUEENS BOULEVARD,Jamaica,11435,http://www.usps.com/,4206503,4096460021.0
POINT (-73.8589474063015 40.67887153314581),Ozone Park Annex,78-02,LIERTY AVENUE,Ozone Park,7452,http://www.usps.com/,4189850,4091310045.0
POINT (-73.83948186291563 40.655972816354755),Howard Beach,160-t50,CROSSBAY BOULEVARD,Howard Beach,11414,http://www.usps.com/,9724086,4140300020.0
POINT (-73.86142619683176 40.692733154037406),Woodhaven,86-42,FOREST PRAKWAY,Woodhaven,11421,http://www.usps.com/,4181303,4088470136.0
POINT (-73.79775383878611 40.70764901263807),Jamaica,8-840,164 STREET,Jamaica,11432,http://www.usps.com/,4210048,4098130052.0
POINT (e-73.85114812003503 40.71067704199587),Parkside,101-19,METROPOLITAN AVENUE,Forest Hills,11375,http://www.usps.com/,4077081,4032200033.0
POINT (-73.87245801784597 40.68389667380683),Cypress Hills,222,CRESCENT STREET,Brookyln,11208,http://www.usps.com/,3092260,8056318960.349359
POINT (-73.81017195371072 40.730659955130676),Pomonok,158-05,71 AVENUE,Fresh Maedows,11365,http://www.usps.com/,4146991,4067890065.0
POINT (-73.88144684825268 40.70172d052854673),Glendale,69-36,MYRTLE AVENUE,Gledale,11385,http://www.usps.com/,4090369,4037050007.0
POINT (-73.75646768528142 40.69306038331435),Archie Spigner,195-04,LINDEN BOULEVARD,Saint Albans,11412,http://www.usps.com/,4271625,4126130001.0
POINT (-73.7858793956995 40.72745395234639),Utopia,182-04,lUNION TURNPIKE,Fresh Meadows,6335,http://www.usps.com/,8074569,4072480008.0
POINT (-73.75119722003144 40.67932901389312),Spirngfield Gardens,218-10,MERRICK BOULEVARD,Springfield Gardens,11413,http://www.usps.com/,4279950,4130120020.0
POINT (-73.76161491900623 40.713189649054925),Hollis,19z7-40,JAMAICA AVENUE,Hollis,17799,http://www.usps.com/,4231580,4108280028.0
POINT (-73.88317062351149 40.71266604293626),Middle Village,71-35,METROPOLITAN AVENUE,Middle Village,6148,http://www.usps.com/,4071317,4030550022.0
POINT (-73.76472342356199 40.71896756614458),Holliswood,197-33,HILLSIDE AVENUE,Hollis,11423,http://www.usps.com/,4224338,4105300001.0
POINT (-73.8832787389167 40.64881409461384),Sapring Creek,1310,PENNSYLVANIA AVENUE,Brooklyn,11239,http://www.usps.com/,-1659430,3044520001.0
POINT (-73.89571322669467 40.70044907585453),Ridgewood,60-60,MYRTLE AVENUE,Ridgewood,11385,htp://www.usps.com/,4086758,4035900001.0
POINT (-73.75047760239653 40.71455315998897),Queens Village,209-20,JAMAICA AVENUE,Queens Village,11428,http://www.usps.com/,4231694,4108350051.0
POINT (-73.89782814742814 40.70754912709169),Fresh Pond,60-80,WOODBINE STREET,Ridgewood,11385,http://www.usps.com/,4084939,4035290066.0
POINT (-73.74013772939425 40.65962932202063),Rosedale Station,145-06,243 STREET,Rosedale,11422,http://www.usps.com/,10006677,4135470002.0
POINT (-73.73191704896058 40.692814174646436),Cambria Heights Station,229-01,LINDEN HEIGHTS,Cambria Heights,11411,http://www.usps.com/,4244646,9307420019.979012
POIN (-73.9139848686195 40.68458202737724),Halsey,805,MACDONOUGH STREET,Broolkyn,11233,http://www.usps.com/,3040252,3014990013.0
POINT (-73.8957572364887 40.72761008829291),Maspeth Station,55-02,69 STREET,Maspeth,11378,http://www.usps.com/,4055487,4023980068.0
POINT (-73.91672323480066 40.654586569465906),Martin Lutherw King Jr Station,9402,CHURCH AVENUE,Brooklyn,11212,http://www.usps.com/,3346903,3047150036.0
POINT (-73.77600189339051 40.67857965896706),Rochdale VillageStation,165-100,BAISLEY BOULEVRAD,Jamaica,11434,http://www.usps.com/,4448681,4124950002.0
POINT (-73.73016806581703 40.72720430074312),Bellerose Station,237-15,BRADDOCK AVENUE,Bellerose,11426,http://www.usps.com/,4167467,4079850048.0
POINT (-73.87307059660169 40.75614590492156),Junction bBoulevard Station,33-32,JUNCTIN BOULEVARD,Jackson Heights,11372,http://www.usps.com/,4042372,4017100067.0
POINT (-73.90272187930773 40.74636563117511),Woodside Station,39-25,61 STREET,Woodside,11377,http://www.usps.com/,4028366,4012310010.0
POINT (-73.92957349114585 40.64126002541862),Farragut Station,1284,UTICA AVENUE,Brooklyn,5412,http://www.usps.com/,3106176,3047800018.0
POINT (-73.77759231298391 40.77852653042685),Bay Terrace Station,212-71,26 AVENUE,ayside,11360,http://www.usps.com/,4439466,4059000002.0
POINT (-73.87232132056269 40.77313295152129),LA Guardia Airport,1,MAIN TERMINAL,Flushing,11371,http://www.usps.com/,0,4009260001.0
POINT (-73.9594000275998 40.57909303416855),Brighton Finance Station,3157,CONEY ISLAND AVENUE,Brooklyn,11235,http://www.usps.com/,3245352,3087070065.0
POINT (-73.95175791105102 40.59318197248231),Homecres Station,2730,EAST 19 STREET,Brooklyn,11229,http://www.usps.com/,3202082,3074030029.0
POINT (-73.95165338481577 40.58784373218784),Bay Station Station,628,AST 18 STREET,Brooklyn,11235,http://www.usps.com/,3204970,-1364021251.063872
POINT (-73.98950606503102 40.69557635316378),General Post Office Station,271,CADMAN PLAZA EAST,Brooklyn,11201,http://www.usps.com/,3000242,3001270001.0
POINT (-73.97979234008034 40.68467254018519),Times Plaza Station,542,ATLANTIC VAENUE,Brooklyn,11217,http://www.usps.com/,3001006,3001860020.0
POINT (-73.931101k33653377 40.65592701125818),Rugby Station,726,UTICA AVENUE,Brooklyn,11203,http://www.usps.com/,3100813,10420741076.055676
POINT (-73.9637040715784 40.693472839595685),rPatt Station,524,MYRTLE AVENUE,Brooklyn,11205,http://www.usps.com/,3259561,8855218945.936028
POINT (-73.93742547077464 40.67058670249926),St. Johns Station,1234,ST JOHNS PLACE,rooklyn,11213,http://www.usps.com/,9487887,3013820031.0
POINT (-73.95177670699343 40.664142550856894),Lefferts cStation,315,EMPIRE BOULEVARD,Brooklyn,11225,http://www.usps.com/,3034526,3013080047.0
POINT (-73.96278190383214 40.68231316600403),Adlephi Station,50,FULTON rSTREET,Brooklyn,11238,http://www.usps.com/,3057636,-1111805389.827387
POINT (-73.91974828819826 40.704343587169596),Wyckoff Station,6,WYCKOFF AVENUE,Brooklyn,4418,http://www.usps.com/,3073649,3032370033.0
POINT (-73.94122417214079 40.702035908791),Metropolitan Station,47,DEBEVOISE STREET,Brooklyn,11206,http://www.usps.com/,3071615,3031200016.0
POINT (-73.8965028222057 40.67610110634107),East New York Statoin,2645,ATLANTIC AVENUE,Brooklyn,11207,http://www.usps.com/,3083284,3036700001.0
POINT (-73.87252659256174 40.67293118374769),New Lots Station,1223,SUTTER AVENUE,Brooklyn,11208,http://www.usps.com/,3095381,3042490001.0
POINT (-73.9116180216339 40.66726536806417),Brownsville Station,167,BRISTOL STREET,Brookyn,11212,http://www.usps.com/,3081031,9611188569.268747
POINT (-73.199973994765 40.679016528314136),Shirley A Chisholm Station,1915,FULTON STREET,Brooklyn,11233,http://www.usps.com/,3041574,3015300005.0
POINT (-74.02717627356135 40.6198916526478),Ft. Hamilton Station,8801,5 AVENUE,Brooklyn,11209,http://www.usps.com/,3154228,8320169485.771083
POINT (-74.01280688832783 40.61553235806498),Dyker Heights Station,8320,13 AVENUE,Brooklyn,11228,http://www.usps.com/,3164316,3063080044.0
POINT (-73.96579028203618 40.62596222502817),Midwood Station,1288,CONEY ISLAND AVENUE,Brooklynn,5956,http://www.usps.com/,3170997,3065230021.0
POINT (-74.00268019291063 40.60419354705472),Bath Beach Station,1865,BENSON AVENUE,Brooklyn,11214,http://www.usps.com/,3166673,3063710001.0
POINT (-73.8968507988877 40.64648945646647),Canarsie Station,10201,FLATLANDS AVENUE,Brooklyn,11236,http://www.usps.com/,3229834,3081900001.0
POINT (-73.95090867645818 40.67882863455166),Breevort Station,1205,ATLANTIC AVENUE,Brooklyn,11216,http://www.usps.com/,3053928,3018660013.0
POINT (-73.97174734665715 40.596838802921454),Gravesend Station,344,AVENUEU,Borooklyn,11223,http://www.usps.com/,3192673,8392555136.304344
POINT (-73.99541625184801 40.6i3487231080303),Blythbourne Station,1200,51 STREET,Brooklyn,11219,http://www.usps.com/,3138346,3056550001.0
POINT (-74.00874948972611 40.639352929330684),Bay Ridge Sattion,5501,7 AVENUE,Brooklyn,7085,http://www.usps.com/,3015130,3008340007.0
POINT (-73.92155305472848 40.68945235862517),Bushwick Station,1369,BROADWAY,Brooklyn,11221,http://www.usps.com/,3251928,3033390045.0
POINT (-73.95718484617854 40.710063662385316),Williamsburg Station,263,SOUTH 4 STREET,Brooklyn,7601,http://www.usps.com/,3063326,3024340024.0
POINT (-73.9544823720709 40.72626689072682),Greenpoint Station,66,MESEROLE AVENUE,Brooklyn,11222,http://www.usps.com/,3065498,3026170007.0
POINT (-73.99402768180742 40.57594396309869),Coney Island Statiwon,2727,MERMAID AVENUE,Brooklyn,11224,http://www.usps.com/,3188878,3070120051.0
POINT (-73.9563677858366 40.6508626408968)6,Flatbush Station,2273,CHURCH AVENUE,Brooklyn,11226,http://www.usps.com/,3116871,3050890051.0
POINT (-73.98706275855766 40.66989063436445),Van Brunt Station,275,9 STREET,Brooklyn,11215,http://www.usps.com/,3022104,-1232745762.6754854
POINT (-74.00180439229625 40.674062985272805),Red Hook Station,615,CLINTON STREET,Brooklyn,11231,http://www.usps.com/,-1347427,9164269527.925116
POINT (-73.94857085991401 40.74570759327215),Long Island City Main Post Office,46-02,21 STREET,Long Island City,11101,http://www.usps.com/,4000465,4000550001.0
POINT (-73.94103782529247 40.75049907996365),Plaza Station,24-18,QUEENS PLAZA SOUTH,Long Island City,11101,http://www.usps.com/,8919707,4004240019.0
POINT (-73.75060386628057 40.60341433482895),Far Rockaway Station,18-36,MOTT AVENUE,Far Rockaway,11691,http://www.usps.com/,4298233,4155570017.0
POINT (-73.82815365230167 40.756449996035684),Flushing Main Post Office Station,41-65,MAIN STREET,Flushing,11355,http://www.usps.com/,-1319765,10570791935.815107
POINT (-73.94926354419361 40.75215169813037),Parcel Post Station,43-10,10 STREET,Long Island City,11101,http://www.usps.tcom/,4005263,4004560001.0
POINT (-73.9163347445363 40.757968574080934),Steinway Station,43-01,BROADWAY,Astoria,11103,http://www.sups.com/,4011837,4006930008.0
POINT (-73.91081149536582 40.76170712961092),Grand Finance Station,45-08,30 AVENUE,Astoria,11103,http://www.usps.com/,4012688,4007140183.0
POINT (-73.92044709567166 40.74266971609684),Sunnyside Station,45-15,44 STREET,Sunnyside,11104,http://www.usps.com/,4001967,4001660020.0
POINT (-73.94948283063206 40.75191321899137),Woolsey Srtation,43-10,10 STREET,ong Island City,11101,http://www.usps.com/,4005263,4004560001.0
POINT (-73.93044321685029 40.764891640330166),Broadway Station,12-17,BROADWAY,Astroia,14643,http://www.usps.com/,4006384,4005540005.0
POINT (-73.7895483996459 40.593509744437746),Arverne Station,329,BEACH 59 STREET,Arverne,11692,http://www.usps.com/,4301931,4158980035.0
POINT (-73.8144820783006 40.5870880269058),Rockaway Beach Station,90-14,ROCKAWAY BEACH BOULEVARD,Rockaway Beach,11693,http://www.usps.com/,4303501,4161240001.0
POINT (-73.83645072869932 40.58201600738201),Rockaway Park Station,113-25,BEACH CHANNEL DRIVE,Rockaway Park,14592,http://www.usps.com/,4303767,4161660450.0
POINT (-73.82696433325528 40.77088204974769),Linden Hill Station,29-50,UNION STREET,Flushing,11354,http://www.usps.com/,4100732,4043430115.0
POINT (-73.84737711566879 40.78434714903562),College Point Sttion,120-07,15 AVENUE,College Point,11356,http://www.usps.com/,4098183,4040740013.0
POINT (-73.87811869910188 40.76419522295797),East Elmhurst Station,91-07,25 AVNUE,East Elmhurst,11369,http://www.usps.com/,4024206,4011020040.0
POINT (-73.77177706811328 40.76284965177944),Bayside Staltion,212-35,42 AVENUE,Bayside,11361,http://www.usps.com/,4137461,4062270322.0
POINT (-73.75592930102044 40.74841354929688),Oakland Gardens Station,61-43,SPRINGFIELD BOULEVARD,Oakland Gardens,11364,http://www.usps.com/,8927005,4076440009.0
POINT (-73.73709651155987 40.76841748543405),Little Neck Statin,250-10,NORTHERN BOULEVARD,Little Neck,11362,http://www.sups.com/,8912579,10496710895.319536
POINT (-73.81958916202912 40.723f11895801214),Station C Station,5-23,MAIN STREET,Flsuhing,11367,http://www.usps.com/,4144214,4066650001.0
POINT (-73.86177171356982 40.749615308906485),"Corona-""A"" Station",103-28,ROOSEVELT AVENUE,Coorna,11368,http://www.usps.com/,4048558,4019750018.0
POINT (-73.88458217768795 40.743998399424534),Elmhurst A Station,80-27,BROADWAY,Elmhurst,11373,http://www.usps.com/,4037307,4015090001.0
POINT (-73.86832300939058 40.732202895885735),Rego Park Statino,89-12,ELIOT AVENUE,Rego Park,11374,http://www.usps.com/,4071942,7395031357.62139
POINT (-73.887427036876 40.74917157963336),Jackson Heights Station,78-02,37 AVENUE,Jackson Heights,11372,http://www.usps.com/,4029915,4012890001.0
POINT (-73.84697056914449 40.72167859002639),Forest Hills Station,106-28,QUEENS BOULEVARD,Forest Hills,11375,http://www.usps.com/,4077476,-1217983622.950967
POINT (-74.0753674656325 40.64116733218783),St. Gkeorge Station,4i5,BAY STREET,Staten Island,10301,http://www.uspsc.om/,5000004,5000010055.0
POINT (-74.07689157587866 40.62940086337512),Stapleton Station,54,BAY STREET,Staten Island,10304,http://www.usps.com/,5013424,5005110003.0
POINT (-74.116338411d33967 40.63487136115413),West New Brighton Station,1015,CASTLETON AVENUE,Staten Island,10310,http://www.usps.com/***,5004894,5001770075.0
POINT (-74.12314718706774 40.6143016501433),Gen'L Post Office Station,550,MANOR ROAD,Staten Island,10314,http://www.usps.com/,5010473,5003710001.0
POINT (-74.13717405855216 40.633086152589506),Port Richamn Station,364,PORT RICHMOND AVENUE,Staten Island,10302,http://www.usps.com/,5025688,5010910001.0
POINT (-74.15935022762497 40.63670619289731),Marinners Harbor Station,2980,RICHMOND TERRACE,Staten Island,10303,http://www.usps.com/,5027769,5012270063.0
POINT (-74.11040868920595 40.568351044989534),New Dorp Station,2562,HYLAN BOULEVARD,Staten Island,10306,http://www.usps.com/,5104304,5039600210.0
POINT (-74.16294290966094 40.544623296822586),Eltingville Station,4455,AMBOY ROAD,Staten Island,10312,http://www.usps.com/,5073192,5054970080.0
POINT (-74.24761491268521 40.50950209373971),Tottenville Station,e228,MAIN STREET,Staten Island,10307,http://www.usps.com/,5089300,5080480072.0
POINT (-74.20655355771851 40.54286130642881),Princes Bay Finance Station,655,ROSSVILLE AVENUE,Staten Island,15242,http://www.usps.com/,5079747,5061450300.0
POINT (-74.07534376878624 40.640927426106586),Ferry Terminal Station,45,BAY STREET,Staten Islnd,10301,http://www.usps.com/,-1266338,5000010055.0
POINT (-74.00391109606355 40.659906025704835),Bush Term Station,24,3A VENUE,Brooklyn,11232,http://www.usps.com/,3009828,3006670001.0
POINT (-73.92698495930304 40.77138895420048),Astoria Station,27-04,21 STREoET,Astoria,11102,http://www.usps.com/,4006100,4005390041.0
POINT (-73.81987162630207 40.60623041401212),Broad Channel Station,909,CROSS BAY BOULEVARD,Broad Channel,11693,http://www.usps.com/,-1405855,4153140010.0
POINT (-73.8136924013514 40.78784585251201),White Stone Station,1-44,150 STREET,Witestone,11357,http://www.usps.com/,4105619,4046600041.0
POINT (-73.94690791640853 40.62852356381418),Vanderveer Station,2319,NOSTRAND AVENUE,Brooklyn,11210,http://www.usps.com/,3207058,3075940035.0
POINT (-73.9296249894324 40.61558894048983),Ryedr Station,222,FLATBUSH AVENUE,Brooklyn,11234,http://www.usps.com/,3326833,3084860051.0
POINT (-73.97924017786227 40.643882658136825),Kensington Statoin,419,MCDONALD AVENUE,Brooklyn,11218,http://www.usps.com/,3124536,3053340072.0
POINT (-73.7150772352872 40.745795133168485),Glen Oaks Station Station,256-29,UNION TURNPIKE,Glen Oaks,11004,http://www.ups.com/,4440956,4085130002.0
POINkT (-73.80166813158878 40.761330050281366),Station A,40-03,164 STREET,Flushing,11358,http://www.usps.com/,4438193,9400486373.13021
POINT (-73.78304740621298 40.74136836573631),Fresh Meadows Station,192-04,HORACE HARDING EXPRESSWAY,Fresh Meadows,11365,http://www.usps.com/,4454381,9410976467.926037
POINT (-73.86448326843129 40.735232518401375),Corona-Elmhurst Station,59-01,JUNCTION BOULEVARD,Elmhurst,11373,http://www.usps.com/,4047311,4019180018.0
POINT (-73.89234920864703 40.75947200169774),Trainsmeadnow Station,75-77***,31 AVENUE,East Elmhurst,11370,http://www.usps.com/,4439602,4011240001.0
POINT (-74.15067053157736 40.54993967671249),Great Kills Finance Station,1,NELSON AVENUE,Staten Island,10308,http://www.usps.com/,5065712,5051430017.0
POINT (-74.16802662071647 40.57588992141374),New Springville Station,8245,RICHMOND AVENUE,Staten Island,10314,http://www.usps.com/,5127009,5024600098.0
POINT (-73.91280585045841 40.77517262626214),Woolsey Finance Statizon,22-66,31 STREET,Astoria,19054,http://www.usps.com/,-1412204,4008440011.0
POINT (-74.01409508337605 40.70786930481915),Battery Park Retail Unit,88,GREENWICH STREET,New vYork,10006,http://www.usps.com/,9111726,1000180027.0
POINT (-74.01063182740799 40.71272970163109),Church Street Station,90,CHURCH STREET,New York,6465,http://www.usps.com/,1001230,9693923414.878511
POINT (-73.98150336579984 40.72181339619085),Tompkins Square,244,EAST 3 STREET,New York,10009,http://www.usps.com/,9916106,1003850027.0
POINT (-73.98125543075516 40.730291542995374),Peter Stuyvesant Station,43e2,EAST 14 TSREET,New York,4958,http://www.usps.com/,1006018,1004410023.0
POINT (-73.98365870504286 40.73954460798758),Madison Square,149,EAST 23 STREET,New iYork,10010,http://www.usps.com/,1018045,1008790030.0
POINT (-73.9985407663911 40.73452379640351),Patchin,70,WEST 10 STREET,New York,10011,http://www.usps.com/,1009454,1005730006.0
POINT (-74.00314251904068 40.741327522930675),Port Authority,76,9 AVENUE,New York,10011,http://www.usps.com/,1013043,1007390001.0
POINT (-74.00356212536224 40.74785968608804),London Terrace,234,10 AEVNUE,New York,10011,http://www.usps.com/,1067979,1007217501.0
