OBJECTID,LARID,LARNAME,CLASSIFICATION,GISACRES,CREATOR,CREATEDATE,LASTEDITOR,LASTEDITDATE,REGION,AGENCY,GlobalID,ShapeSTArea,ShapeSTLength
17,LAR0017,Bois Forte (Deer Creek) LAR,1,50863.81911997,,,BRENT.SHAFRANEK,2020/12/07 15:58:39+00,Midwest,Minnesota,{98B41455-3FAB-43E1-A2C5-2F16077A095F},0.0111460474397778,0.431909952890352
18,LAR0018,Bois Fort (Nett Lake) LAR,1,250192.00005052,,,BRENT.SHAFRANEK,2020/12/07 15:59:01+00,Midwest,Minnesota,{8B754CB3-214C-43CC-81BD-A4B674A91C76},0.054573681649309,0.995610836498191
19,LAR0019,Bois Forte (Vermillion Lake) LAR,1,4970.13413689,,,BRENT.SHAFRANEK,2020/12/07 15:59:19+00,Midwest,Minnesota,{80CA9635-7FB9-46E9-B1E8-D739460CEB5B},0.00108929523919775,0.306278657012579
20,LAR0020,Fond du Lac LAR,1,215726.39698358,,,BRENT.SHAFRANEK,2020/12/07 15:59:32+00,Midwest,Minnesota,{315B835E-166F-4BE9-BCA5-160FCD357B50},0.0482607432474971,0.977801431878543
21,LAR0021,Forest County Potawatomi LAR,1,25145.48433371,,,BRENT.SHAFRANEK,2020/12/07 15:59:52+00,Midwest,Great Lakes,{C8E30520-823D-4735-9A15-A3CB1619C165},0.00575651729731877,2.09744106273673
22,LAR0022,Grand Portage LAR,1,107543.62375643,,,BRENT.SHAFRANEK,2020/12/07 16:00:06+00,Midwest,Minnesota,{945595CD-A65F-457C-ACC8-05A6A726BF95},0.0235177410276804,1.51894539473949
23,LAR0023,Grand Traverse LAR,1,1907.96866118,,,BRENT.SHAFRANEK,2020/12/07 16:00:29+00,Midwest,Michigan,{A03B8522-84E8-4306-9CAE-D7F2E6F7645E},0.000440830090946139,0.380078256389801
24,LAR0024,Hannahville LAR,1,6949.220203,,,BRENT.SHAFRANEK,2020/12/07 16:00:42+00,Midwest,Michigan,{449A81D3-B0EC-40C1-959D-2FA1F951DE7B},0.00158401751788534,0.655482822479076
25,LAR0025,Ho-Chunk LAR,1,19802.74562046,,,BRENT.SHAFRANEK,2020/12/07 16:01:04+00,Midwest,Great Lakes,{0553E29F-5261-40AA-9AC7-667DB15DBE4C},0.00468143604556879,1.79995080542478
26,LAR0026,Huron Potawatomi LAR,1,363.77739808,,,BRENT.SHAFRANEK,2020/12/07 16:01:15+00,Midwest,Michigan,{AC872607-03E8-4DC4-9F39-9B4BB3C622D1},8.80335175264655e-05,0.0588456285128538
27,LAR0027,Isabella LAR,1,268646.32447134,,,BRENT.SHAFRANEK,2020/12/07 16:01:30+00,Midwest,Michigan,{34BFC129-1DFB-47FF-A38F-7EAF68C35264},0.0634538137094557,1.58538055917456
28,LAR0028,L'Anse Ontonagon LAR,1,5513.02424629,,,BRENT.SHAFRANEK,2020/12/07 16:01:40+00,Midwest,Michigan,{2F75C1C8-1FA6-4400-8F4A-A2000B1B2335},0.00122844214383799,0.14768062989011
29,LAR0029,L'Anse LAR,1,121972.46428295,,,BRENT.SHAFRANEK,2020/12/07 16:01:55+00,Midwest,Michigan,{E624B23B-7861-4EBB-AC46-DDB85F791505},0.0272805185268386,1.24858069430376
30,LAR0030,Lac Courte Oreilles LAR,1,164532.17285832,,,BRENT.SHAFRANEK,2020/12/07 16:02:08+00,Midwest,Great Lakes,{F5AB7FD6-EDD6-481A-9C07-8AB7DD5EB507},0.0374030283249374,2.7860758780484
31,LAR0031,Lac du Flambeau LAR,1,179119.10201644,,,BRENT.SHAFRANEK,2020/12/07 16:02:18+00,Midwest,Great Lakes,{D3867712-B6F0-4A24-A579-60F12A5F7E83},0.0406450267035558,0.907130644972298
32,LAR0032,Lac Vieux Desert LAR,1,656.12098241,,,BRENT.SHAFRANEK,2020/12/07 16:02:31+00,Midwest,Michigan,{27D5C4EF-1D04-443A-BC17-C685790FEECD},0.000148173274391493,0.107750538570946
33,LAR0033,Leech Lake LAR,1,1794106.38135835,,,BRENT.SHAFRANEK,2020/12/07 16:02:48+00,Midwest,Minnesota,{DAC8AF9F-AC3F-4D66-B9AE-0C309390FD4F},0.396888987891156,5.62134158452475
34,LAR0034,Little River LAR,1,4287.56820546,,,BRENT.SHAFRANEK,2020/12/07 16:03:07+00,Midwest,Michigan,{2FEC2F34-9D70-4933-A971-5810CE6C1E31},0.00100404247585689,0.585942742814641
35,LAR0035,Little Traverse Bay LAR,1,2073.27998839,,,BRENT.SHAFRANEK,2020/12/07 16:03:20+00,Midwest,Michigan,{595B67DB-6273-443A-8291-1DACE87F866D},0.000474078860367956,0.353951615779175
36,LAR0036,Lower Sioux LAR,1,3082.91973432,,,BRENT.SHAFRANEK,2020/12/07 16:03:34+00,Midwest,Midwest Regional Office,{79C97786-482A-48AE-B5CA-A45BBD1BECDD},0.000717728186701947,0.261538326518487
37,LAR0037,Match-e-be-nash-she-wish LAR,1,450.461961,,,BRENT.SHAFRANEK,2020/12/07 16:03:45+00,Midwest,Michigan,{1886C4D1-649E-461F-880E-33CA0AE11A62},0.000108232435631337,0.0786149014384976
38,LAR0038,Menominee LAR,1,469149.99837664,,,BRENT.SHAFRANEK,2020/12/07 16:03:58+00,Midwest,Midwest Regional Office,{315E8584-ACE7-43E2-AAFF-F9452285222A},0.10832780620533,1.67070372941958
39,LAR0039,Mole Lake LAR,1,6333.86474173,,,BRENT.SHAFRANEK,2020/12/07 16:04:13+00,Midwest,Great Lakes,{28D2DAE7-550E-4BA4-8C87-9B994763B615},0.00144982694423943,0.347341695753643
40,LAR0040,Oneida LAR,1,128686.95140303,,,BRENT.SHAFRANEK,2020/12/07 16:04:23+00,Midwest,Great Lakes,{50B461E8-8454-47AD-965C-29E9D141C5A8},0.0299812220017467,0.937142222252782
41,LAR0041,Pokagon of Potawatomi LAR,1,5783.26431966,,,BRENT.SHAFRANEK,2020/12/07 16:04:40+00,Midwest,Michigan,{98B30E35-C7CC-46A3-BBA1-08B29FF6DE7A},0.00140378065271216,0.713983483407355
42,LAR0042,Prairie Island LAR,1,3601.67448615,,,BRENT.SHAFRANEK,2020/12/07 16:04:57+00,Midwest,Midwest Regional Office,{32BECDAE-E600-4CFB-BA1F-8A82F15855BF},0.000836874076880997,0.3481654634245
43,LAR0043,Red Cliff LAR,1,31247.56426737,,,BRENT.SHAFRANEK,2020/12/07 16:05:08+00,Midwest,Great Lakes,{81F4599E-2E66-49F2-9D23-B1913C50BA59},0.00697085784090121,0.760198819266416
44,LAR0044,Red Lake LAR,1,1879230.19257483,,,BRENT.SHAFRANEK,2020/12/07 16:05:25+00,Midwest,Red Lakes,{E9B4255F-A918-473E-A6DB-91708D2389FC},0.409257772587159,27.6255688042299
45,LAR0045,Sac and Fox (Iowa) LAR,1,8915.95033318,,,BRENT.SHAFRANEK,2020/12/07 16:05:37+00,Midwest,Midwest Regional Office,{5E6A29F6-75F4-48E2-B6EB-10756329A475},0.00216459533352919,0.554886698043359
46,LAR0046,Sault Ste. Marie LAR,1,3547.19949124,,,BRENT.SHAFRANEK,2020/12/07 16:06:00+00,Midwest,Michigan,{13F8DDD6-C6F0-46EE-9575-321682EA7C6A},0.000800047720616283,0.498404520488658
47,LAR0047,Shakopee LAR,1,3704.62314491,,,BRENT.SHAFRANEK,2020/12/07 16:06:10+00,Midwest,Midwest Regional Office,{F5397E66-E97F-475D-BA79-C477D718B54E},0.000859189641265595,0.296805076407579
48,LAR0048,St. Croix LAR,1,4458.70910363,,,BRENT.SHAFRANEK,2020/12/07 16:06:26+00,Midwest,Great Lakes,{6848F816-CF82-4E52-A772-A903DC1F635D},0.00101694395064594,0.532944785256343
49,LAR0049,Stockbridge Munsee LAR,1,33202.57195091,,,BRENT.SHAFRANEK,2020/12/07 16:06:37+00,Midwest,Great Lakes,{DE8C62C0-C049-41D9-A5AC-1000F0A2DD53},0.00767901697705873,1.36249215798838
50,LAR0050,Upper Sioux LAR,1,2489.31790296,,,BRENT.SHAFRANEK,2020/12/07 16:06:49+00,Midwest,Midwest Regional Office,{9D189270-03B0-4538-958C-5C2166845A7B},0.000577188188574676,0.298638157201012
51,LAR0051,White Earth LAR,1,1621000.15551224,,,BRENT.SHAFRANEK,2020/12/07 16:07:08+00,Midwest,Minnesota,{2266EC2D-D09D-44AA-93C7-EECEC009BACD},0.359484094027158,3.53882708247732
52,LAR0053,Annette Island LAR,1,403840.13118252,,,BRENT.SHAFRANEK,2020/12/07 15:34:28+00,Alaska,Unknown,{01F25B23-40FC-458D-8E21-689720F8BD13},0.0754054649623471,1.39078997199078
53,LAR0054,Burns Paiute LAR,1,25382.23003924,,,BRENT.SHAFRANEK,2020/12/07 16:08:59+00,Northwest,Warm Springs,{22237080-019A-449E-A833-A192831EB48E},0.00600734559963295,1.6887093305115
54,LAR0055,Celilo LAR,3,68.09713586,,,BRENT.SHAFRANEK,2020/12/07 16:09:12+00,Northwest,Northwest Regional Office,{903F5A80-5872-402F-B3EB-0ADDB1F72C9F},1.55464512576615e-05,0.0222679880010951
55,LAR0056,Coeur D'Alene LAR,1,748323.68429207,,,BRENT.SHAFRANEK,2020/12/07 16:09:30+00,Northwest,Coeur d'Alene,{C6E5EA21-49CD-4D2D-ABBA-7A015AB3D472},0.165713496228457,2.16416160922067
56,LAR0057,Colville LAR,1,3148526.63993054,,,BRENT.SHAFRANEK,2020/12/07 16:09:45+00,Northwest,Colville,{24458D31-E591-4BD6-9D6D-32C6656E6846},0.68493604598254,4.8594512731525
57,LAR0058,Coquille of Oregon LAR,1,11503.61443953,,,BRENT.SHAFRANEK,2020/12/07 16:10:04+00,Northwest,Siletz,{3D5060C7-0CD3-4F5B-9D0D-34A9F6E9E378},0.00274351399982768,1.03815638002139
58,LAR0059,Cow Creek LAR,1,41721.00875497,,,BRENT.SHAFRANEK,2020/12/07 16:10:32+00,Northwest,Siletz,{FD446984-2EB3-49DE-98D6-BB9CB15ABBAA},0.00996527311957219,2.69485256316661
59,LAR0060,Flathead LAR,1,2886743.93386235,,,BRENT.SHAFRANEK,2020/12/07 16:11:26+00,Northwest,Flathead,{5E85552B-0660-4824-A730-F448607AAE66},0.636873824656147,5.02084877960488
60,LAR0061,Fort Hall LAR,1,1016273.49299835,,,BRENT.SHAFRANEK,2020/12/07 16:11:43+00,Northwest,Fort Hall,{AF7808EB-7B34-47A9-A5A6-557BB3D2256B},0.242858130677204,3.69694622139281
61,LAR0062,Grand Ronde LAR,1,21659.17500992,,,BRENT.SHAFRANEK,2020/12/07 16:12:21+00,Northwest,Siletz,{C22928FB-6323-43C8-AFA4-68E47D365B75},0.00498887778871511,0.843975434999164
62,LAR0063,Hoh LAR,1,1073.07711337,,,BRENT.SHAFRANEK,2020/12/07 16:12:37+00,Northwest,Olympic Peninsula,{6E1AED4C-F6E5-4F3B-9343-0DCEAB794BF3},0.000235659680782562,0.0713308840139543
63,LAR0064,Jamestown LAR,1,48.11036376,,,BRENT.SHAFRANEK,2020/12/07 16:12:47+00,Northwest,Olympic Peninsula,{EAB9730C-D807-4ECC-A5C0-0988BA5191F1},1.0504584330804e-05,0.0331780727281248
64,LAR0065,Kalispel LAR,1,11861.92405422,,,BRENT.SHAFRANEK,2020/12/07 16:13:01+00,Northwest,Spokane,{F4B294DE-A5B7-452D-AAFA-F9C5D1F755D0},0.0025732744021726,0.44175080357132
65,LAR0066,Klamath LAR,1,1744.55195533,,,BRENT.SHAFRANEK,2020/12/07 16:13:16+00,Northwest,Northwest Regional Office,{E75C2553-8650-4722-868A-A123A00D814D},0.000419610238799563,0.469335336653548
66,LAR0067,Kootenai LAR,1,4758.54490408,,,BRENT.SHAFRANEK,2020/12/07 16:13:29+00,Northwest,Northern Idaho,{F3D40EEF-6027-4948-BAF4-718276192D42},0.00102422303652272,0.665543677262446
67,LAR0068,Lower Elwha LAR,1,887.48996038,,,BRENT.SHAFRANEK,2020/12/07 16:13:39+00,Northwest,Olympic Peninsula,{35B0692B-A126-4A68-9CB6-C116F96486B2},0.000193396597947677,0.142987999887262
68,LAR0069,Lummi LAR,1,28966.45591264,,,BRENT.SHAFRANEK,2020/12/07 16:13:52+00,Northwest,Puget Sound,{CB6E249E-6A28-4781-A686-71B2DEA062DD},0.00623373298144447,0.780711272620722
69,LAR0070,Makah LAR,1,66018.67213767,,,BRENT.SHAFRANEK,2020/12/07 16:14:04+00,Northwest,Makah,{547AF365-2C1F-46D2-B0FE-8BCD6413FAAE},0.0143347891667326,1.05481020346318
70,LAR0071,Muckleshoot LAR,1,8328.88436203,,,BRENT.SHAFRANEK,2020/12/07 16:14:41+00,Northwest,Puget Sound,{BD101092-9E1A-458D-BA13-4DFB50B9D4C2},0.00184588310380423,0.359546149486619
71,LAR0072,Nez Perce LAR,1,1615556.26850328,,,BRENT.SHAFRANEK,2020/12/07 16:14:56+00,Northwest,Northern Idaho,{66F89672-1747-4063-ABC9-5EDBFE494307},0.364449155481257,2.65643604421205
72,LAR0073,Nisqually LAR,1,11445.15619811,,,BRENT.SHAFRANEK,2020/12/07 16:15:11+00,Northwest,Puget Sound,{A99600B2-E9F3-4FCE-92B8-B0BBEC7F2724},0.00254813581740833,0.299086687072779
73,LAR0074,Nooksack LAR,1,4996.36569382,,,BRENT.SHAFRANEK,2020/12/07 16:15:25+00,Northwest,Puget Sound,{8C8F982A-F4E8-4A0D-81B2-D3C3053DE153},0.00107344599898724,0.732744578401548
74,LAR0075,Northwestern Shoshoni LAR,1,1346.7624812,,,BRENT.SHAFRANEK,2020/12/07 16:15:39+00,Northwest,Fort Hall,{F47B330B-0905-4C14-8EB5-9DD359BFC404},0.000327242338987505,0.189950194957772
75,LAR0076,Port Gamble LAR,1,3737.68378313,,,BRENT.SHAFRANEK,2020/12/07 16:15:51+00,Northwest,Puget Sound,{1792E5F9-4B88-4A83-9EEC-3D111408DBE9},0.000819151196099937,0.188297286855037
76,LAR0077,Port Madison LAR,1,16885.39503438,,,BRENT.SHAFRANEK,2020/12/07 16:16:01+00,Northwest,Puget Sound,{CC15C12F-CD48-4C1A-AC28-984E7BB9DDE1},0.00370843361174878,0.461840350994253
77,LAR0078,Puyallup LAR,1,40030.82904286,,,BRENT.SHAFRANEK,2020/12/07 16:16:12+00,Northwest,Puget Sound,{60E73200-9552-4960-8DD6-1E854C541C20},0.00887495594153481,0.499725993088141
78,LAR0079,Quileute LAR,1,2084.34936648,,,BRENT.SHAFRANEK,2020/12/07 16:16:26+00,Northwest,Olympic Peninsula,{786048F1-EEA4-4C17-88F9-34CBD8674467},0.000456310530885293,0.187791961121677
79,LAR0081,Sauk-Suiattle LAR,1,2905.17044269,,,BRENT.SHAFRANEK,2020/12/07 16:16:42+00,Northwest,Puget Sound,{8DA8ADFF-22BB-4A0E-B636-D7F1678651AC},0.00062979984587626,0.560739308102114
80,LAR0082,Shoalwater LAR,1,726.40727854,,,BRENT.SHAFRANEK,2020/12/07 16:16:55+00,Northwest,Olympic Peninsula,{1E6588F6-2E84-46D2-BC93-27A51BDC35E8},0.000162606552299902,0.0612320979494488
81,LAR0083,Siletz LAR,1,7425.27007996,,,BRENT.SHAFRANEK,2020/12/07 16:17:17+00,Northwest,Siletz,{53B1E442-7BFE-44A2-80B6-3A62F5B38155},0.00172250847008991,1.16309188682188
82,LAR0084,Skokomish LAR,1,11219.66218853,,,BRENT.SHAFRANEK,2020/12/07 16:17:33+00,Northwest,Olympic Peninsula,{7E6F59FA-0871-4851-8746-E86D7A731B45},0.00248311097217955,0.278876099894822
83,LAR0085,Spokane LAR,1,353072.70841849,,,BRENT.SHAFRANEK,2020/12/07 16:17:49+00,Northwest,Spokane,{A1744A5F-AB32-4C10-8B57-063B281E8FAA},0.0772586663687264,1.80795187280839
84,LAR0086,Squaxin Island LAR,1,3760.48547929,,,BRENT.SHAFRANEK,2020/12/07 16:18:01+00,Northwest,Olympic Peninsula,{40705624-AF42-46FF-83AE-5064E605F096},0.00083465244530734,0.346659732567998
85,LAR0087,Stillaguamish LAR,1,143.25874402,,,BRENT.SHAFRANEK,2020/12/07 16:18:13+00,Northwest,Puget Sound,{042E648D-9EA0-4233-8001-18588B4E17E8},3.1175192233695e-05,0.031336985047418
86,LAR0088,Swinomish LAR,1,16498.7425787,,,BRENT.SHAFRANEK,2020/12/07 16:18:35+00,Northwest,Puget Sound,{8C7DB13E-DBEE-42AA-93CF-261350441C2B},0.00357593235301862,0.371970942159673
87,LAR0089,The Dalles Unit LAR,3,11733.53954367,,,BRENT.SHAFRANEK,2020/12/07 16:18:55+00,Northwest,Warm Springs,{0308758A-9876-4CFF-9084-70E6FFB5EE2C},0.00268248491571392,1.06652897122527
88,LAR0090,Tulalip LAR,1,50424.97831985,,,BRENT.SHAFRANEK,2020/12/07 16:19:12+00,Northwest,Puget Sound,{79AA27EC-B922-4604-8EF3-933919FBD524},0.0110002812551687,0.645137798487852
89,LAR0091,Umatilla LAR,1,598337.7885908,,,BRENT.SHAFRANEK,2020/12/07 16:19:28+00,Northwest,Umatilla,{44D5B021-2256-473E-9728-019E1D83D604},0.136745671378882,1.8070908759613
90,LAR0092,Upper Skagit LAR,1,531.30407461,,,BRENT.SHAFRANEK,2020/12/07 16:19:40+00,Northwest,Puget Sound,{FFBD0D9C-BE41-4CAA-AFE6-CF1060B5F4A6},0.000114843848192194,0.085431606863066
91,LAR0093,Warm Springs LAR,1,1308225.35419586,,,BRENT.SHAFRANEK,2020/12/07 16:19:52+00,Northwest,Warm Springs,{E9165206-5572-44F9-9DF5-A6C36BD616AF},0.302791609303226,3.44389184672068
92,LAR0094,Yakama LAR,1,2877303.10425039,,,BRENT.SHAFRANEK,2020/12/07 16:20:05+00,Northwest,Yakama,{F25F85C5-3ECD-4D0E-931F-10939DCF45EF},0.649887498470882,4.73847443585088
93,LAR0095,Agua Caliente LAR,1,51045.13354931,,,BRENT.SHAFRANEK,2020/12/07 16:20:20+00,Pacific,Palm Springs,{AE89499A-3B16-4DDA-835A-BBD385DCB3DF},0.0138550527696686,2.96968227608406
94,LAR0096,Alturas LAR,1,35.36362203,,,BRENT.SHAFRANEK,2020/12/07 16:36:35+00,Pacific,Northern California,{0C6DCC65-9EF2-4F2F-8C94-4BD0A573CFBF},8.652378497401e-06,0.0123492875477729
95,LAR0097,Auburn LAR,1,1934.90677062,,,BRENT.SHAFRANEK,2020/12/07 16:36:00+00,Pacific,Central California,{1F7F0BAA-4C39-45D8-862E-95F99BA1C4E2},0.000490957265852943,0.124258864663842
96,LAR0098,Augustine LAR,1,938.68933158,,,BRENT.SHAFRANEK,2020/12/07 16:38:24+00,Pacific,Southern California,{02D13B43-59F8-4D41-95F8-A9F0824274D7},0.00025518355694547,0.0639885204052223
97,LAR0099,Barona LAR,1,10577.24719562,,,BRENT.SHAFRANEK,2020/12/07 16:38:25+00,Pacific,Southern California,{AB591A10-57F2-4BF6-BEE2-5B87ACFCF356},0.00289851259920869,0.481668168986369
98,LAR0100,Benton Paiute LAR,1,638.98890867,,,BRENT.SHAFRANEK,2020/12/07 16:21:43+00,Pacific,Central California,{45770691-F66E-487B-BA1F-3A66D25E98FC},0.000164909906948763,0.0562993651872169
99,LAR0101,Berry Creek LAR,1,237.35527317,,,BRENT.SHAFRANEK,2020/12/07 16:21:58+00,Pacific,Central California,{CF636234-54DD-45DB-A391-D8E75212DC9B},5.97833209475605e-05,0.0568023271571459
100,LAR0102,Big Bend LAR,1,69.66991462,,,BRENT.SHAFRANEK,2020/12/07 16:36:35+00,Pacific,Northern California,{EBB13A84-E1B9-47CE-A8E7-F5308FE556A5},1.71642764714155e-05,0.0167690652006627
101,LAR0103,Big Lagoon LAR,1,42.12399797,,,BRENT.SHAFRANEK,2020/12/07 16:36:36+00,Pacific,Northern California,{4771D380-6FC1-4D2B-8F95-09E2509D9466},1.03563496412755e-05,0.0221846684774875
102,LAR0104,Big Pine LAR,1,431.47080379,,,BRENT.SHAFRANEK,2020/12/07 16:36:00+00,Pacific,Central California,{9C0D3AE0-3F33-47D7-92B8-F019AAE97F91},0.000112296032644587,0.056754039539909
103,LAR0105,Big Sandy LAR,1,506.58540777,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{2734BA42-B5AD-45D2-B490-B23CA95A42CB},0.000131974278544788,0.0750635482616308
104,LAR0106,Big Valley LAR,1,284.12282603,,,BRENT.SHAFRANEK,2020/12/07 16:22:51+00,Pacific,Central California,{A6C82FE7-BBE5-47A3-B562-58131F52E424},7.2240265469667e-05,0.0534539731683397
105,LAR0107,Bishop LAR,1,1391.4009075,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{BD25F560-0174-4818-BA83-AF0C4BA92C1A},0.000361136446263462,0.0944410280830373
106,LAR0108,Blue Lake LAR,1,164.18492465,,,BRENT.SHAFRANEK,2020/12/07 16:23:13+00,Pacific,Northern California,{8A780D06-DFE1-46A5-AA51-390BB483BD09},4.0536414033294e-05,0.0547163653843456
107,LAR0109,Bridgeport LAR,1,130.10627686,,,BRENT.SHAFRANEK,2020/12/07 16:23:24+00,Pacific,Central California,{67F99582-BC23-456D-9BD7-31A581B85D26},3.33476340376165e-05,0.0320391915705444
108,LAR0110,Buena Vista LAR,1,109.38923492,,,BRENT.SHAFRANEK,2020/12/07 16:23:39+00,Pacific,Central California,{F2F3EB47-AC31-44AD-BD9E-249B1F42B11A},2.80449991725965e-05,0.0319409245230153
109,LAR0111,Cabazon LAR,1,2777.70266104,,,BRENT.SHAFRANEK,2020/12/07 16:24:02+00,Pacific,Southern California,{0C616056-FE0A-4D20-BC17-C1250F03B551},0.000754969295892744,0.231990225408761
110,LAR0112,Cahuilla LAR,1,27331.12926725,,,BRENT.SHAFRANEK,2020/12/07 16:38:25+00,Pacific,Southern California,{1BAE336E-017F-4DE5-A27F-940E0B4B0FE0},0.00744138856298148,0.472846498246546
111,LAR0113,Campo LAR,1,22132.61160264,,,BRENT.SHAFRANEK,2020/12/07 16:38:25+00,Pacific,Southern California,{DA148F44-4DF6-4024-9860-4BF87D0283B3},0.00608419100733788,0.660932368099434
112,LAR0114,Capitan Grande LAR,1,22230.80370365,,,BRENT.SHAFRANEK,2020/12/07 16:24:39+00,Pacific,Southern California,{FED2F1DC-6851-49A5-82E1-6358A1778A12},0.00609449007730644,0.902195037567044
113,LAR0115,Cedarville LAR,1,45.00299578,,,BRENT.SHAFRANEK,2020/12/07 16:36:36+00,Pacific,Northern California,{67F1AB91-73EA-42FA-B574-E1D384B4F0DD},1.1002583123562e-05,0.0245847012682433
114,LAR0116,Chicken Ranch LAR,1,133.69882438,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{1D72B62A-839F-412F-9EC7-86F4D323DB08},3.44397008090855e-05,0.0320124806834099
115,LAR0117,Chico LAR,1,615.77754489,,,BRENT.SHAFRANEK,2020/12/07 16:25:15+00,Pacific,Central California,{BE624177-B076-4E98-8D84-D975EBE21A0B},0.000261517763536251,0.0838556465083581
116,LAR0118,Cloverdale LAR,1,20.70659764,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{C37F96B9-447A-40D2-81B0-AD81B53EE2FC},5.270901004842e-06,0.0114994336636658
117,LAR0119,Cold Springs LAR,1,327.16315327,,,BRENT.SHAFRANEK,2020/12/07 16:25:33+00,Pacific,Central California,{BC4B7B8F-22F4-4177-B371-01A324F6EFBB},8.5358284524904e-05,0.0834604880375894
118,LAR0120,Colusa LAR,1,788.42509219,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{E04B27A6-0F37-4F81-8376-06FCAED8094D},0.000199353429486098,0.135925055509235
119,LAR0121,Cortina Indian LAR,1,1052.37641141,,,BRENT.SHAFRANEK,2020/12/07 16:36:01+00,Pacific,Central California,{BE680F03-2D8A-4399-879F-202441B03F77},0.000267016210778988,0.0655769273836651
