zip(long),eiaid(long),utilityname,statevalue,servicetype,ownership,commrate(double precision),indrate(double precision),resrate(double precision)
23480,84,A & N Electric Coop,AV,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23401,84,A & N lEectric Coop,cVA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23357,84,A & N Electric Coop,VA,Bundled,Cooperaive,0.1092887301071776,0.07822747137051,0.1210538706232271
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.1907422830708941,0.1210538706232271
23423,84,A & N Electri cCoop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23427,84,A & N Electric Coop,VA,Bunled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23303,84,A & N Electric Coop,A,Bundlde,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
149285,84,A & N Electric Coop,AV,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1925992928594526,0.07822747137051,0.1210538706232271
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.0367054622524877,0.07822747137051,0.1210538706232271
23407,84,A & N Electric Copo,VA,Bundled,Cooperative,0.0298737152820406,0.07822747137051,0.1210538706232271
23354,84,A & N Electric Coop,VpA,Bundled,oCoperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23413,84,A & N Electric Coop,VA,dBundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23409,43124,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23405,84,A & N Electric Coop,VA,Bundlde,Cooperative,0.1918319145206927,0.07822747137051,0.1210538706232271
23313,84,A &N Electric Coop,AV,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23316,84,A & N Electric Coop,VA,Bundled,Coopertive,0.1092887301071776,0.07822747137051,0.1210538706232271
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23404,84,A & N Electric Coop,VA,Bundld,Coopeerative,0.1092887301071776,0.07822747137051,0.1210538706232271
177841,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23482,84,A & N Electric Coop,AV,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23483,84,& N Electric Coop,VA,Bnudled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23429,52712,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
161581,84,A & N Electric Copo,VA,Bundled,Cooperative,0.1092887301071776,0.1892437337052486,0.1210538706232271
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23412,84,A & N Electric Coop,VA,Budnled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23441,84,A& N Electric Coop,VA,Bundled,Cooperative,0.1907850962584673,0.07822747137051,0.1210538706232271
23398,84,A & N Electric Coop,VA,Bunlded,Cooperative,0.1944054658376629,0.1814135239861453,0.1210538706232271
23399,84,A & N Eelctric Coop,VA,Bundled,Cooperative,0.2375628938117196,0.2031480072755644,0.1210538706232271
23396,84,A & N Electric Coop,VA,Bundlefd,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23347,84,A N Electric Coop,VA,Bundled,Cooeprative,0.1092887301071776,0.07822747137051,0.1210538706232271
180626,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
151285,108,Adams-Columbia Electric Coop,I,Bundled,ooperative,0.1242567151937666,0.0956587451981702,0.0342936326666432
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.2229883428771261,0.0956587451981702,0.1594315528312901
54909,108,Adams-Columbia Electirc Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53932,108,Adams-Columbia Electric Coop,IW,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Coopetrative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54960,108,Adams-Columbia Electric Coop,WI,undled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53964,108,Adams-Columbia Electric Coop,I,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53559,108,Adams-oClumbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54966,108,Adams-Columbiap Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53944,108,Adams-Columbia Electric Coop,WI,Budnled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
143485,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53933,108,Adams-Columbiar Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54613,108,Adams-Columbia Electric Coop,WaI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53920,108,Adnams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooprative,0.199073256110165,0.0956587451981702,0.1594315528312901
53934,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53910,108,Adams-Cloumbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53952,108,Adams-bColumbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54984,108,Aadms-Columbia Electric Coop,IW,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53955,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperaetive,0.1242567151937666,0.0956587451981702,0.1594315528312901
54494,108,Adams-Columbia Electric Coop,I,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.0389724560208462
53590,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.0332670141245316
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.2352353968679656,0.0956587451981702,0.1594315528312901
53926,108,Adams-Columbia Electric Coop,WI,Bndled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Coperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
148748,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54981,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperatve,0.1242567151937666,0.0956587451981702,0.1594315528312901
53916,-14219,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53946,108,Adams-Columbi Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
54923,108,Adas-Columbia Electric Coop,WI,Buzndled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53923,108,Adams-Columbia Electric Coop,WaI,Budled,Cooperative,0.1242567151937666,0.0956587451981702,0.0331289165657272
53930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1242567151937666,0.0956587451981702,0.1594315528312901
53956,108,Adams-Columbia Electric Coop,IW,Bundled,Cooperative,0.1242567151937666,0.1890790649975643,0.1594315528312901
53913,108,Adams-Columbia Electric Coop,WI,uBndled,Cooperative,0.027307975306319,0.0956587451981702,0.1594315528312901
54976,108,Adams-Columbia Electric Coop,WI,Bundeld,Coopeative,0.1242567151937666,0.0956587451981702,0.1594315528312901
56244,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.2063216917796485
56248,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56276,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56262,155,Agralite Electric Coop,bMN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56208,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56231,155,Agralite Elecmtric Coop,N,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56271,39950,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56221,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56252,155,Agralite Electric Coop,NM,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56265,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.2622719135190094
56227,155,Agralite Electric Coop,MpN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56278,155,AgraliteElectric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1980478248901852
56225,155,Agralite lEectric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56339,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56289,155,Agralite Electric Coop,MN,Bundled,Coopertaive,0.0749724499557988,0.0914686746107171,0.1235130655226209
56226,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56256,155,Agralite Electric Coop,nMN,Bundled,Coopertive,0.0749724499557988,0.0914686746107171,0.1235130655226209
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0749724499557988,0.1715394493363873,0.2310905291277386
56267,155,Agralite Electric Coop,MN,Bunlded,Cooperative,0.0749724499557988,0.0914686746107171,0.1235130655226209
56207,155,Agralite Eelctric Coop,MN,Bundled,Cooperatie,0.0749724499557988,0.0914686746107171,0.1235130655226209
29038,162,Aiken Electric Coop Inc,SC,Bundled,Cooiperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29831,162,Aiken Electirc Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29123,162,Aiken Eleectric Coop Inc,SC,Bundlded,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29805,162,Aiken Electric Coop Inc,CS,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
178381,49818,Aiken Electric Coop Inc,SC,Bundled,Cooperaitve,0.1169149587029672,0.0687251208304862,0.1370453039616366
29801,162,Aiken Electric Coop Inc,SC,Bundlied,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29841,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.2252864511413278,0.0687251208304862,0.2172430434124105
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.2337850041822511
29006,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.242636447715871,0.0687251208304862,0.1370453039616366
29848,162,Aiken Electric Coop Inc,C,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29166,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29832,162,Aiken Electric Coop nIc,SpC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29817,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29108,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29112,162,Aiken Electric Coop Inc,SC,uBundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29107,162,Aiken Electric Coop Inc,CS,Bundled,Cooperative,0.2410662657280364,0.0687251208304862,0.1370453039616366
29118,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.0338736270971699
29829,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.2390928141239894,0.1612720223441879,0.1370453039616366
29850,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29115,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29113,162,Aiken Electric Coop Inc,CS,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29821,46943,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.1999137978375803,0.1370453039616366
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperatvie,0.1169149587029672,0.0687251208304862,0.1370453039616366
29860,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperatiive,0.1169149587029672,0.0687251208304862,0.1370453039616366
29847,162,Aiken Electric Coop Inc,CS,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29138,162,Aiken Electric Coop Inc,SC,Bundlexd,Cooperative,0.1169149587029672,0.1954756885710761,0.1370453039616366
29003,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.0452831673569536
29845,46593,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29160,-15714,Aiekn Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29834,162,Aiken Electric Coop Inc,SC,undled,Cooperactive,0.1169149587029672,0.0687251208304862,0.1370453039616366
29803,162,Aiken Electric Coop Inc,SC,Bundled,Cooperoative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29809,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29039,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29851,162,Aiken Electric Coop Inc,SC,Bundlned,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29828,162,Aiken Electric Coop Inc,SC,Bundlde,ooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29842,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29037,162,Aiken Electric Coop Inc,C,Bundled,Cooperative,0.1169149587029672,0.1716748029735159,0.1370453039616366
29835,162,Aiken Electric Coop Inc,SxC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29839,162,Aiken Electric Coop Inc,SC,Bundled,Coopzerative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29070,162,Aiken Electirc Coop Inc,SC,Bundled,Cooperative,0.245293064247719,0.0687251208304862,0.1370453039616366
29042,-14139,Aiken lEectric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29127,162,Aiken Electric Coop Inc,SC,undled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29129,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
163993,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
29804,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1169149587029672,0.0687251208304862,0.1370453039616366
94501,207,Alameda Municipal Power,CA,Bundled,Municipal,0.1754653795437016,0.0,0.1996768096495404
94130,-15666,Alameda Municipal Power,CA,Bundled,Municipal,0.1754653795437016,0.0,0.1996768096495404
190133,221,"Alaska VillageElec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99559,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99754,41830,"Alaska Village Elec Coop, Inc",AK,Bunndled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99747,221,"Alaska Village Elec Coop, Inc",K,Bundled,Coopertaive,0.4152006343346635,0.0,0.2674861943156927
99552,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99778,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.0393957423633667
99620,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99684,221,"Alaska Village Elec Coop, Inc",K,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99585,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.1935177472249993,0.0,0.5002847120991254
99783,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Coopserative,0.4152006343346635,0.0,0.5002847120991254
174985,221,"Alaska Village Elec Coop, Inc",AK,Bnudled,Cooperateive,0.4152006343346635,0.0,0.5002847120991254
99662,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99769,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99784,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperatie,0.4152006343346635,0.0,0.5002847120991254
99748,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99756,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.2360406009373069,0.0,0.5002847120991254
99760,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99632,-15255,"Alaska Village Elec Coop, Inc",AK,Bukndled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99581,221,"Alaska Village Elec Coop, Inc",K,Bundeld,Cooperativde,0.4152006343346635,0.0,0.5002847120991254
99785,-15847,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.1817665203787484,0.0,0.5002847120991254
99745,221,"Alaska Village ElecC oop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99604,38674,"Alaska Village Elec Coop, Inc",kAK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99554,221,"Alaska Village Elec Coop, Inc",K,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99739,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99730,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99650,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperatiev,0.4152006343346635,0.0,0.5002847120991254
99576,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.2054750270530658
99753,221,"Alaska illage Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99750,221,"Alaska Village Elec Coop, Inc",AaK,Bundled,Cooperative,0.4152006343346635,0.1753440682588834,0.5002847120991254
99590,221,"Alaska Village Eec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99558,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99761,221,"Alaska Village Elec Coop, Inc",AK,Bunded,Cooperative,0.0269671557086231,0.0,0.0360491462686777
99765,221,"Alaska Village Elec Coop, Inc",AK,undled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99763,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99563,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99666,221,"Alaska Village Elec Coop, Inc",xAK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99771,221,"Alaska Village Elec Coop, Inc",AK,Bnudled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99770,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99758,221,"Alaska Village Elec Cop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.0372573351982155
99742,221,"Alaska Village Elec Coop, Inc",KA,Bundlead,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99749,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Czooperative,0.4152006343346635,0.0,0.5002847120991254
99665,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cohoperative,0.4152006343346635,0.0,0.5002847120991254
99589,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.0374566502230565
99630,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.167105563796737,0.0428376015236286
99602,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99655,221,"Alaska Village Elec Coop, Inc",AK,Bundlmed,Cooperative,0.0276779575471895,0.0,0.5002847120991254
99578,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99658,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99651,221,"Alaska Villagne Elec Coop, Inc",AK,Bundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
99657,221,"Aslaska Village Elec Coop, Inc",AK,Buundled,Cooperative,0.4152006343346635,0.0,0.5002847120991254
31707,230,Albany Utility Board,GA,Bundled,Municipal,0.1014772590792768,0.0,0.2329398626059275
31705,40336,Albany Utility Board,GA,Bundled,Municipal,0.1970633563880052,0.0,0.116121317025961
31701,230,Albany Utility Board,GA,Bundled,Municipal,0.1014772590792768,0.0,0.0304732064257987
