Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Patient Days by Payer,Total Patient Days,Total Patient Days Percent,Payer,LTC Patient Days,Location
2011,106301234,LA PALMA INTERCOMMUNITY HOSPITAL,Orange,Investor,Comparable,,,141,141,141,$244.00,16899,1.4%,Other Payers,0,"LA PALMA, California
(33.849902, -118.037303)"
2010,106321016,SENECA HEALTHCARE DISTRICT,PLUMAS,District,Comparable,,Small,26,26,26,$372.00,6157,6%,Other Payers,5039,"CHESTER, California
(40.311547, -121.227165)"
2012,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,49,$249.00,6922,3.6%,Other Payers,0,"CRESCENT CITY, California
(41.754772, -124.204373)"
2015,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,223,223,223,$408.00,49678,0.8%,Other Payers,0,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106100797,SIERRA KINGS DISTRICT HOSPITAL,FRESNO,District,Comparable,,Small,42,36,20,$256.00,4798,5.3%,Other Payers,0,"REEDLEY, California
(36.597911, -119.456221)"
2013,106250956,MODOC MEDICAL CENTER,Modoc,City/County,Comparable,,Rural,87,87,48,$352.00,16224,2.2%,Other Payers,14998,"ALTURAS, California
(41.490967, -120.542538)"
2014,106190587,COLLEGE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$98.00,35395,0.3%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106014132,KAISER FDN HOSP - FREMONT,Alameda,Non-Profit,Kaiser Foundation Health,,,106,106,38,$185.00,12119,1.5%,Other Payers,0,"FREMONT, California
(37.550195, -121.980829)"
2012,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Los Angeles,Investor,Comparable,,,159,159,159,$120.00,36199,0.3%,Other Payers,0,"HOLLYWOOD, California
(34.098301, -118.325798)"
2014,106013687,MERRITT PERALTA INSTITUTE CDRH,Alameda,Non-Profit,Comparable,,,24,24,24,$385.00,7017,5.5%,Other Payers,0,"OAKLAND, California
(37.804828, -122.27248)"
2013,106034002,SUTTER AMADOR HOSPITAL,Amador,Non-Profit,Comparable,,Rural,52,52,23,$28.00,8387,0.3%,Other Payers,0,"JACKSON, California
(38.347604, -120.772295)"
2015,106060870,COLUSA REGIONAL MEDICAL CENTER,Colusa,Non-Profit,Comparable,,Rural,48,48,36,$142.00,3979,3.6%,Other Payers,0,"COLUSA, California
(39.209238, -122.008373)"
2015,106070934,SUTTER DELTA MEDICAL CENTER,Contra Costa,Non-Profit,Comparable,,,145,145,106,$148.00,32777,0.5%,Other Payers,0,"ANTIOCH, California
(38.016907, -121.813771)"
2015,106500939,MEMORIAL MEDICAL CENTER - MODESTO,Stanislaus,Non-Profit,Comparable,,,423,423,250,$253.00,78005,0.3%,Other Payers,0,"MODESTO, California
(37.640735, -121.002435)"
2010,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,ORANGE,Investor,Comparable,,,48,48,42,$9.00,15151,0.1%,Other Payers,0,"TUSTIN, California
(33.742072, -117.818805)"
2010,106171395,SUTTER LAKESIDE HOSPITAL,LAKE,Non-Profit,Comparable,,Small,49,25,25,$84.00,7047,1.2%,Other Payers,334,"LAKEPORT, California
(39.043171, -122.915171)"
2010,106260011,MAMMOTH HOSPITAL,MONO,District,Comparable,,Small,17,17,17,$93.00,1671,5.6%,Other Payers,0,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2010,106560501,OJAI VALLEY COMMUNITY HOSPITAL,VENTURA,Non-Profit,Comparable,,Small,103,103,66,$54.00,23744,0.2%,Other Payers,20921,"OJAI, California
(34.447966, -119.242981)"
2015,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,City/County,Comparable,,,146,146,119,$18.00,45209,0%,Other Payers,0,"MARTINEZ, California
(38.018992, -122.134855)"
2015,106301209,HUNTINGTON BEACH HOSPITAL,Orange,Investor,Comparable,,,131,131,131,$206.00,17166,1.2%,Other Payers,0,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2015,106301140,CHAPMAN GLOBAL MEDICAL CENTER,Orange,Investor,Comparable,,,114,100,100,$143.00,20444,0.7%,Other Payers,0,"ORANGE, California
(33.791489, -117.853096)"
2010,106150736,KERN MEDICAL CENTER,KERN,City/County,Comparable,Teaching,,222,194,169,$176.00,52031,0.3%,Other Payers,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2014,106301188,WESTERN MEDICAL CENTER-ANAHEIM,Orange,Investor,Comparable,,,188,188,181,$11003.00,37412,29.4%,Medicare,0,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106531059,TRINITY HOSPITAL,TRINITY,City/County,Comparable,,Small,51,51,37,$296.00,9356,3.2%,Other Payers,7665,"WEAVERVILLE, California
(40.732757, -122.940515)"
2013,106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,Investor,Comparable,,,164,164,61,$207.00,22877,0.9%,Other Payers,0,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2012,106434218,KAISER PERMANENTE PHF-SANTA CLARA,Santa Clara,Non-Profit,Psychiatric Health Facilities,,,24,24,24,$66.00,7225,0.9%,Other Payers,0,"SANTA CLARA, California
(37.352395, -121.953076)"
2011,106564121,THOUSAND OAKS SURGICAL HOSPITAL,Ventura,Investor,Comparable,,,21,21,21,$56.00,2984,1.9%,Other Payers,0,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2012,106481094,SUTTER MEDICAL CENTER - SOLANO,Solano,Non-Profit,Comparable,,,102,102,102,$106.00,18907,0.6%,Other Payers,0,"VALLEJO, California
(38.101088, -122.254959)"
2015,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,,,48,48,40,$40.00,14485,0.3%,Other Payers,0,"TUSTIN, California
(33.742072, -117.818805)"
2015,106190298,FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,105,105,105,$350.00,21194,1.7%,Other Payers,0,"GLENDORA, California
(34.136001, -117.865485)"
2013,106434138,ST. LOUISE REGIONAL HOSPITAL,Santa Clara,Non-Profit,Comparable,,,93,72,29,$399.00,10540,3.8%,Other Payers,0,"GILROY, California
(37.006768, -121.568708)"
2012,106370714,SHARP GROSSMONT HOSPITAL,San Diego,Non-Profit,Comparable,,,540,484,330,$242.00,122933,0.2%,Other Payers,1744,"LA MESA, California
(32.766157, -117.024725)"
2015,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,117,117,117,$286.00,17132,1.7%,Other Payers,0,"SOUTH EL MONTE, California
(34.043996, -118.046258)"
2015,106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,Non-Profit,Comparable,,,402,402,288,$236.00,91175,0.3%,Other Payers,0,"BERKELEY, California
(37.869058, -122.270455)"
2010,106190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,213,210,210,$34.00,38870,0.1%,Other Payers,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,Investor,Comparable,,,40,40,40,$47.00,12270,0.4%,Other Payers,0,"PERRIS, California
(33.786558, -117.228201)"
2014,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,Los Angeles,Non-Profit,Comparable,,,302,302,128,$403.00,48978,0.8%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
2014,106190818,USC VERDUGO HILLS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,158,156,86,$170.00,29168,0.6%,Other Payers,0,"GLENDALE, California
(34.148138, -118.246437)"
2014,106190176,CITY OF HOPE HELFORD CLINICAL RES HOSPITAL,Los Angeles,Non-Profit,Comparable,,,217,186,186,$148.00,57757,0.3%,Other Payers,0,"DUARTE, California
(34.139586, -117.973256)"
2014,106370721,KINDRED HOSPITAL - SAN DIEGO,San Diego,Investor,Comparable,,,70,70,70,$95.00,17515,0.5%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106361458,COLORADO RIVER MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,25,25,25,$42.00,1733,2.4%,Other Payers,0,"NEEDLES, California
(34.848419, -114.614002)"
2010,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,RIVERSIDE,City/County,Comparable,Teaching,,439,410,410,$15753.00,116396,13.5%,Medicare,0,"MORENO VALLEY, California
(33.917114, -117.261144)"
2013,106380857,KAISER FDN HOSP - GEARY (S.F.),San Francisco,Non-Profit,Kaiser Foundation Health,Teaching,,247,247,173,$421.00,42681,1%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,49,25,25,$313.00,6982,4.5%,Other Payers,201,"LAKEPORT, California
(39.043171, -122.915171)"
2011,106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,San Luis Obispo,Investor,Comparable,,,164,164,77,$201.00,26298,0.8%,Other Payers,0,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2011,106074017,SAN RAMON REGIONAL MEDICAL CENTER,Contra Costa,Investor,Comparable,,,123,123,52,$250.00,18822,1.3%,Other Payers,0,"SAN RAMON, California
(37.764907, -121.951061)"
2015,106434138,ST. LOUISE REGIONAL HOSPITAL,Santa Clara,Non-Profit,Comparable,,,93,72,28,$27.00,10030,0.3%,Other Payers,0,"GILROY, California
(37.006768, -121.568708)"
2012,106484044,KAISER FDN HOSP - VACAVILLE,Solano,Non-Profit,Kaiser Foundation Health,,,64,64,50,$243.00,14793,1.6%,Other Payers,0,"VACAVILLE, California
(38.349747, -121.995003)"
2015,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,144,144,144,$15942.00,34247,46.6%,Medicare,9195,"ALHAMBRA, California
(34.095162, -118.126842)"
2013,106304460,HOAG ORTHOPEDIC INSTITUTE,Orange,Investor,Comparable,,,70,70,70,$72.00,9703,0.7%,Other Payers,0,"IRVINE, California
(33.685908, -117.824719)"
2012,106382715,CHINESE HOSPITAL,San Francisco,Non-Profit,Comparable,,,54,52,31,$53.00,10424,0.5%,Other Payers,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106344035,KINDRED HOSPITAL - SACRAMENTO,Sacramento,Investor,Comparable,,,39,39,39,$159.00,12794,1.2%,Other Payers,0,"FOLSOM, California
(38.681325, -121.163738)"
2013,106410806,KAISER FDN HOSP - SOUTH SAN FRANCISCO,San Mateo,Non-Profit,Kaiser Foundation Health,,,120,120,64,$356.00,18099,2%,Other Payers,0,"SOUTH SAN FRANCISCO, California
(37.65568, -122.412482)"
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,District,Comparable,,Small,17,17,17,$86.00,3327,2.6%,Other Payers,0,"GARBERVILLE, California
(40.101491, -123.792756)"
2012,106231396,UKIAH VALLEY MEDICAL CENTER,Mendocino,Non-Profit,Comparable,,Rural,78,61,56,$186.00,12009,1.5%,Other Payers,0,"UKIAH, California
(39.149997, -123.207635)"
2015,106301155,COLLEGE HOSPITAL COSTA MESA,Orange,Investor,Comparable,,,122,122,111,$98.00,40964,0.2%,Other Payers,0,"COSTA MESA, California
(33.663857, -117.904765)"
2010,106361266,MOUNTAINS COMMUNITY HOSPITAL,SAN BERNARDINO,District,Comparable,,Small,37,37,37,$46.00,8278,0.6%,Other Payers,7523,"LAKE ARROWHEAD, California
(34.251974, -117.181983)"
2013,106040962,ENLOE MEDICAL CENTER-ESPLANADE CAMPUS,Butte,Non-Profit,Comparable,,,298,277,265,$145.00,67598,0.2%,Other Payers,0,"CHICO, California
(39.728956, -121.838779)"
2015,106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,107,107,28,$239.00,16308,1.5%,Other Payers,0,"HAWAIIAN GARDENS, California
(33.829474, -118.081829)"
2015,106110889,GLENN MEDICAL CENTER,Glenn,Non-Profit,Comparable,,Rural,47,15,15,$4.00,1087,0.4%,Other Payers,0,"WILLOWS, California
(39.520518, -122.198176)"
2012,106160702,CORCORAN DISTRICT HOSPITAL,Kings,District,Comparable,,Rural,32,32,9,$388.00,1800,21.6%,Other Payers,0,"CORCORAN, California
(36.098048, -119.559687)"
2011,106481094,SUTTER MEDICAL CENTER - SOLANO,Solano,Non-Profit,Comparable,,,102,102,102,$211.00,19186,1.1%,Other Payers,0,"VALLEJO, California
(38.101088, -122.254959)"
2011,106560473,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,Ventura,Non-Profit,Comparable,,,242,242,126,$359.00,49163,0.7%,Other Payers,0,"VENTURA, California
(34.280832, -119.293107)"
2010,106190020,BHC ALHAMBRA HOSPITAL,LOS ANGELES,Investor,Comparable,,,100,100,80,$204.00,28821,0.7%,Other Payers,0,"ROSEMEAD, California
(34.080676, -118.077638)"
2015,106304113,CHILDREN'S HOSPITAL - MISSION,Orange,Non-Profit,Comparable,,,54,54,22,$66.00,7540,0.9%,Other Payers,0,"MISSION VIEJO, California
(33.595018, -117.659099)"
2011,106190307,PACIFIC ALLIANCE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,142,142,142,$9347.00,25605,36.5%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,,,100,100,100,$125.00,16412,0.8%,Other Payers,0,"PARADISE, California
(39.752081, -121.621973)"
2012,106420483,GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,,122,72,72,$121.00,14610,0.8%,Other Payers,0,"SANTA BARBARA, California
(34.420867, -119.698342)"
2013,106210993,KENTFIELD REHABILITATION HOSPITAL,Marin,Investor,Comparable,,,60,60,45,$145.00,16345,0.9%,Other Payers,0,"KENTFIELD, California
(37.956815, -122.549121)"
2010,106374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Comparable,,,80,80,68,$358.00,24468,1.5%,Other Payers,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106494106,SUTTER SANTA ROSA REGIONAL HOSPITAL,Sonoma,Non-Profit,Comparable,,,84,84,84,$21.00,4363,0.5%,Other Payers,0,"SANTA ROSA, California
(38.439698, -122.715642)"
2015,106310791,SUTTER AUBURN FAITH HOSPITAL,Placer,Non-Profit,Comparable,,,64,64,37,$45.00,11235,0.4%,Other Payers,0,"AUBURN, California
(38.897916, -121.074314)"
2015,106190587,COLLEGE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,157,157,$111.00,38404,0.3%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106034002,SUTTER AMADOR HOSPITAL,Amador,Non-Profit,Comparable,,Rural,52,52,31,$23.00,9639,0.2%,Other Payers,0,"JACKSON, California
(38.347604, -120.772295)"
2010,106564121,THOUSAND OAKS SURGICAL HOSPITAL,VENTURA,Investor,Comparable,,,21,21,21,$34.00,2436,1.4%,Other Payers,0,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2013,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,144,$10469.00,50155,20.9%,Medicare,39851,"JOSHUA TREE, California
(34.126919, -116.315127)"
2015,106190522,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,334,321,167,$314.00,56293,0.6%,Other Payers,0,"GLENDALE, California
(34.148138, -118.246437)"
2012,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,Non-Profit,Comparable,,,50,50,50,$1.00,12963,0%,Other Payers,0,"OAKLAND, California
(37.804828, -122.27248)"
2011,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,Non-Profit,Comparable,,Rural,76,76,66,$286.00,9061,3.2%,Other Payers,0,"RED BLUFF, California
(40.176607, -122.234146)"
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,,Rural,107,107,107,$364.00,17827,2%,Other Payers,0,"BRAWLEY, California
(32.978688, -115.539429)"
2015,106560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,Ventura,Non-Profit,Comparable,,,155,153,103,$42.00,34509,0.1%,Other Payers,19546,"CAMARILLO, California
(34.225403, -119.050667)"
2013,106191231,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,355,275,220,$296.00,66935,0.4%,Other Payers,0,"SYLMAR, California
(34.3078, -118.448303)"
2014,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,458,458,296,$-109.00,98620,-0.1%,Other Payers,0,"LONG BEACH, California
(33.767168, -118.193723)"
