doi,title,title_cn,abstract,abstract_cn
10.1038/nphoton.2010.240,Coherent lensless X-ray imaging,相干无透镜X射线成像 ,"<p>Very high resolution X-ray imaging has been the subject of considerable research over the past few decades. However, the spatial resolution of these methods is limited by the manufacturing quality of the X-ray optics. More recently, lensless X-ray imaging has emerged as a powerful approach that is able to circumvent this limitation. A number of classes of lensless X-ray imaging have been developed so far, with many based on other forms of optics. Here we report the key progress in this area, describe the potential applications for biology and materials science, and discuss the prospect for imaging single molecules using X-ray free-electron lasers.</p>",在过去的几十年中，非常高分辨率的X射线成像一直是大量研究的主题。 但是，这些方法的空间分辨率受到X射线光学器件制造质量的限制。 最近，无透镜X射线成像已经成为一种能够克服这一限制的强大方法。 迄今为止，已经开发出许多类型的无透镜X射线成像，其中许多基于其他形式的光学器件。 在这里，我们报告了该领域的关键进展，描述了生物学和材料科学的潜在应用，并讨论了使用X射线自由电子激光对单分子成像的前景。</ p> 
10.1038/nphoton.2010.267,Nanoscale X-ray imaging,纳米X射线成像 ,"<p>Recent years have seen significant progress in the field of soft- and hard-X-ray microscopy, both technically, through developments in source, optics and imaging methodologies, and also scientifically, through a wide range of applications. While an ever-growing community is pursuing the extensive applications of today's available X-ray tools, other groups are investigating improvements in techniques, including new optics, higher spatial resolutions, brighter compact sources and shorter-duration X-ray pulses. This Review covers recent work in the development of direct image-forming X-ray microscopy techniques and the relevant applications, including three-dimensional biological tomography, dynamical processes in magnetic nanostructures, chemical speciation studies, industrial applications related to solar cells and batteries, and studies of archaeological materials and historical works of art.</p>",<p>近几年来，软X射线显微镜和硬X射线显微镜领域都取得了重大进展，无论是在技术上，还是在光源，光学和成像方法学上的发展，还是在科学上，都通过了广泛的应用。 在不断发展的社区寻求当今可用的X射线工具的广泛应用的同时，其他小组也在研究技术的改进，包括新的光学元件，更高的空间分辨率，更明亮的紧凑型光源和更短时间的X射线脉冲。 这篇综述涵盖了直接成像X射线显微镜技术及其相关应用开发的最新工作，包括三维生物体层摄影术，磁性纳米结构的动力学过程，化学形态研究，与太阳能电池和电池相关的工业应用以及 考古材料和历史艺术品的研究。</ p> 
10.1038/nphoton.2010.238,Rewritable nanoscale oxide photodetector,可重写纳米级氧化物光电探测器 ,"<p>Nanophotonic devices are designed to generate, guide or detect light using structures with nanoscale dimensions that are closely tied to their functionality. However, the integration of photonic nanostructures with electronic circuitry remains one of the most challenging aspects of device development. Here we report the development of rewritable nanoscale photodetectors created at the interface between LaAlO<sub>3</sub> and SrTiO<sub>3</sub>. Nanowire junctions with characteristic dimensions of 2&#8211;3&#160;nm are created using a reversible conductive atomic force microscope writing technique. These nanoscale devices exhibit remarkably high gain for their size, in part because of the large electric fields produced in the gap region. The photoconductive response is electric field-tunable and spans the visible-to-near-infrared regime. The ability to integrate rewritable nanoscale photodetectors with nanowires and transistors in a single material platform foreshadows new families of integrated optoelectronic devices and applications.</p>",<p>纳米光子器件被设计为使用具有与其功能紧密相关的纳米级尺寸的结构来生成，引导或检测光。然而，光子纳米结构与电子电路的集成仍然是设备开发中最具挑战性的方面之一。在这里，我们报告了在LaAlO <sub> 3 </ sub>和SrTiO <sub> 3 </ sub>之间的界面处创建的可重写纳米级光电探测器的发展。使用可逆的导电原子力显微镜书写技术创建具有2＆＃8211; 3＆＃160; nm特征尺寸的纳米线结。这些纳米级器件的尺寸显示出非常高的增益，部分原因是在间隙区域中产生的电场很大。光电导响应是电场可调的，并且跨越可见到近红外范围。将可重写纳米级光电探测器与纳米线和晶体管集成在单一材料平台中的能力预示了集成光电器件和应用的新系列。</ p> 
10.1038/nphoton.2010.228,Fast high-resolution spectroscopy of dynamic continuous-wave laser sources,动态连续波激光源的快速高分辨率光谱 ,"<p>Time-resolved, high-accuracy and high-resolution spectroscopy of rapidly tuned continuous-wave lasers is critical to realizing their full potential for sensing, but is not possible with conventional spectrometers. We demonstrate a coherent dual-comb-based spectrometer capable of measuring continuous-wave optical waveforms at time resolutions of 30&#160;&#181;s and 320&#160;&#181;s over terahertz bandwidths. Within each time interval, the spectrometer returns the laser frequency spectrum with kilohertz absolute accuracy and time-bandwidth limited precision. Unlike etalon-based techniques, each measurement is independently calibrated, which allows for discontinuous source tuning between measurements and the characterization of arbitrary continuous-wave waveforms. To demonstrate the broad applicability of the technique, we measure a laser during a nonlinear scan over 28&#160;nm, a laser step-scanned over a 42-nm span containing several molecular absorption lines, a mechanically perturbed laser, and two lasers tuned simultaneously. Our approach should enable optimized waveforms for sensing applications including multispecies gas detection, coherent laser radar and optical metrology.</p>",<p>快速调谐的连续波激光器的时间分辨，高精度和高分辨率光谱对于实现其全部感测潜力至关重要，但是传统光谱仪无法实现。我们演示了一种基于双梳的相干光谱仪，该光谱仪能够在太赫兹带宽上以30 s和320 s的时间分辨率测量连续波光学波形。在每个时间间隔内，光谱仪均以千赫兹绝对精度和时间带宽受限精度返回激光频谱。与基于标准具的技术不同，每个测量都是独立校准的，这允许在测量之间进行不连续的源调谐以及任意连续波波形的表征。为了证明该技术的广泛适用性，我们在非线性扫描过程中测量了28纳米以上的激光，在包含多个分子吸收线的42纳米跨度上步进扫描了一个激光，机械地扰动了激光，并调谐了两个激光同时。我们的方法应该为包括多种气体检测，相干激光雷达和光学计量学在内的传感应用实现优化的波形。</ p> 
10.1038/nphoton.2010.222,Robustness of bipartite Gaussian entangled beams propagating in lossy channels,高斯纠缠光束在有损通道中传播的鲁棒性。 ,"<p>Subtle quantum properties offer exciting new prospects in optical communications. For example, quantum entanglement enables the secure exchange of cryptographic keys and the distribution of quantum information by teleportation. Entangled bright beams of light are increasingly appealing for such tasks, because they enable the use of well-established classical communications techniques. However, quantum resources are fragile and are subject to decoherence by interaction with the environment. The unavoidable losses in the communication channel can lead to a complete destruction of entanglement, limiting the application of these states to quantum-communication protocols. We investigate the conditions under which this phenomenon takes place for the simplest case of two light beams, and analyse characteristics of states which are robust against losses. Our study sheds new light on the intriguing properties of quantum entanglement and how they may be harnessed for future applications.</p>",<p>微妙的量子特性为光通信提供了令人兴奋的新前景。 例如，量子纠缠实现了密码密钥的安全交换和通过隐形传送的量子信息的分发。 纠缠在一起的光束对于此类任务越来越有吸引力，因为它们可以使用公认的经典通信技术。 但是，量子资源是脆弱的，并且会通过与环境的相互作用而退相干。 通信通道中不可避免的损耗会导致纠缠彻底破坏，从而限制了这些状态在量子通信协议中的应用。 我们研究了在最简单的两个光束情况下发生这种现象的条件，并分析了对损耗具有鲁棒性的状态特征。 我们的研究为量子纠缠的引人入胜的性质以及如何将其用于未来的应用提供了新的思路。</ p> 
10.1038/nphoton.2010.261,Temporal solitons and pulse compression in photonic crystal waveguides,光子晶体波导中的时间孤子和脉冲压缩 ,"<p>Solitons are nonlinear waves that exhibit invariant or recurrent behaviour as they propagate. Precise control of dispersion and nonlinear effects governs soliton propagation and, through the formation of higher-order solitons, permits pulse compression. In recent years the development of photonic crystals&#8212;highly dispersive periodic dielectric media&#8212;has attracted a great deal of attention due to the facility to engineer and enhance both their nonlinear and dispersive effects. In this Article, we demonstrate the first experimental observations of optical solitons and pulse compression in &#8764;1-mm-long photonic crystal waveguides. Suppression of two-photon absorption in the GaInP material is crucial to these observations. Compression of 3-ps pulses to a minimum duration of 580 fs with a simultaneously low pulse energy of &#8764;20 pJ is achieved. These small-footprint devices open up the possibility of transferring soliton applications into integrated photonic chips.</p>",<p>孤子是非线性波，在传播时表现出不变或重复的行为。 色散和非线性效应的精确控制控制着孤子的传播，并通过形成高阶孤子来实现脉冲压缩。 近年来，光子晶体的高度分散的周期性介电介质的开发由于能够工程化并增强其非线性和色散效应而受到了广泛的关注。 在本文中，我们演示了在1毫米长的光子晶体波导中光学孤子和脉冲压缩的首次实验观察。 GaInP材料中双光子吸收的抑制对于这些观察至关重要。 可以将3-ps脉冲压缩到580 fs的最小持续时间，同时脉冲能量为＆＃8764; 20 pJ。 这些小尺寸设备为将孤子应用转移到集成光子芯片中提供了可能性。</ p> 
10.1038/nphoton.2010.235,Real-space imaging of transient carrier dynamics by nanoscale pump–probe microscopy,纳米级泵浦-探针显微镜对瞬态载流子动力学的真实空间成像 ,"<p>Smaller and faster are key concepts underlying the progress of current nanoscience and nanotechnology. The development of a method of exploring the transient carrier dynamics in organized nanostructures with pinpoint accuracy is therefore highly desirable. Here, we present a new microscopy that enables real-space measurement of the spatial variation of ultrafast dynamics. It is a pulse-laser-combined scanning tunnelling microscopy with a novel delay-time modulation method based on a pulse-picking technique. A non-equilibrium carrier distribution is generated with ultrashort laser pulses, and its relaxation processes are observed by scanning tunnelling microscopy using a pump&#8211;probe technique. We have directly analysed the recombination of excited carriers via the gap states associated with a cobalt nanoparticle/GaAs structure in real space. Through the site dependence of the decay time on the tunnelling current injection from the scanning tunnelling microscopy tip, the hole capture rate at the gap states has been imaged on the nanoscale for the first time.</p>",<p>更小和更快是当前纳米科学和纳米技术进步的关键概念。因此，迫切需要开发一种能够精确查明有组织的纳米结构中瞬态载流子动力学的方法。在这里，我们提出了一种新的显微镜，可以对超快动力学的空间变化进行真实空间测量。它是一种结合了基于脉冲拾取技术的新型延迟时间调制方法的脉冲激光组合扫描隧道显微镜。用超短激光脉冲产生非平衡载流子分布，并使用泵探针技术通过扫描隧道显微镜观察其弛豫过程。我们已经通过与真实空间中的钴纳米颗粒/ GaAs结构相关的间隙状态直接分析了激发载流子的重组。通过衰减时间对扫描隧道显微镜尖端注入的隧道电流的位置依赖性，首次在纳米尺度上对间隙态的空穴捕获率进行了成像。</ p> 
10.1038/nphoton.2010.250,High-energy isolated attosecond pulses generated by above-saturation few-cycle fields,饱和度以上的几个周期场产生的高能孤立阿秒脉冲 ,"<p>The applications of isolated attosecond pulses reported to date, which have demonstrated the great potential of attosecond technology in the investigation of ultrafast electronic processes, have been limited by the low photon flux of the available attosecond sources. We report on the generation of isolated sub-160-as pulses (at a photon energy of &#8764;30 eV) with a pulse energy, on target, of a few nanojoules. The efficient generation of isolated attosecond pulses in noble gases is produced by 5-fs driving pulses with controlled electric field and peak intensity beyond the gas saturation intensity. The availability of attosecond sources with high peak intensities has potential in opening new avenues for attosecond-pump/attosecond-probe studies of electronic processes in atomic and molecular physics, with interesting prospects in the field of coherent control of electronic motion in complex systems in the attosecond temporal regime.</p>",迄今为止，已报道的孤立的阿秒脉冲的应用已经证明了阿秒技术在超快电子过程研究中的巨大潜力，但受到可用阿秒源低光子通量的限制。 我们报告了孤立的sub-160-as脉冲（光子能量为＆＃8764; 30 eV）的产生，目标上的脉冲能量为几纳焦。 稀有气体中孤立的阿秒脉冲的有效产生是由具有受控电场且峰值强度超过气体饱和强度的5 fs驱动脉冲产生的。 具有高峰值强度的阿托秒源的存在潜力为原子和分子物理学中电子过程的阿托普泵/阿托秒探针研究开辟了新途径，在复杂系统中电子运动的相干控制领域中具有令人感兴趣的前景。 阿秒时态。</ p> 
10.1038/nphoton.2010.273,Optical polishing equipment,光学抛光设备 ,,
10.1038/nphoton.2010.271,Ultrafast nanoprobing,超快速纳米探测 ,,
