OBJECTID,SLDLST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
81,081,26081,51,1644,9,10,32,,,7,494,3,92,13843175971.2104,1041184.14830504
82,082,26082,56,1998,18,9,29,1,8,8,766,3,151,18475917646.8052,567963.964959257
83,083,26083,74,2308,18,18,38,,,17,1070,6,238,45544588139.5537,1102236.24902536
84,084,26084,84,2136,18,25,41,,,18,769,13,346,85055422541.3921,1403966.09999041
85,085,26085,85,2839,19,32,34,2,146,20,1637,10,714,23936272097.7861,749690.86016212
86,086,26086,103,3925,15,38,50,1,8,7,223,2,56,10966449156.9258,677380.794429411
87,087,26087,91,2119,29,32,30,1,50,10,328,3,108,28322018417.646,1057415.4135649
88,088,26088,100,3236,8,60,32,,,5,833,2,127,6015970926.19922,408420.760322886
89,089,26089,96,2677,9,50,37,,,9,478,1,17,6902235143.52539,437760.657946922
90,090,26090,125,3927,9,71,45,2,129,9,947,3,161,3166820057.56348,295930.640241054
91,091,26091,106,2606,24,45,37,,,10,598,7,402,11443006997.5166,775484.571117782
92,092,26092,102,3400,37,36,29,,,9,1242,4,983,3261827236.5376,345428.842561199
93,093,26093,97,2741,29,35,33,2,44,13,645,7,414,27907188949.6914,860278.520632802
94,094,26094,94,3004,21,36,37,,,8,336,6,209,9247052654.93457,718787.50965538
95,095,26095,105,2953,16,46,43,5,454,26,1532,9,797,4639589102.83252,368188.306536374
96,096,26096,89,2702,23,25,41,,,15,785,4,232,6708743898.72559,378935.528917482
97,097,26097,74,2268,27,13,34,,,16,654,12,417,58457446404.0195,1598637.75050622
98,098,26098,118,3504,30,41,47,,,11,690,5,158,12604363891.7979,632971.315613606
99,099,26099,86,2946,36,20,30,1,16,6,567,2,78,25470083663.5098,933705.208015802
100,100,26100,81,3745,20,21,40,4,349,13,948,8,688,76444155670.7603,1463030.70506895
101,101,26101,99,2380,28,31,40,,,17,884,8,354,165036272034.396,1985095.51970101
102,102,26102,97,2399,25,28,44,1,38,19,839,14,496,38905495524.8164,1335547.51257383
103,103,26103,80,1693,25,24,31,,,14,624,7,219,79856692723.7188,1263518.93657212
104,104,26104,118,3629,18,52,48,1,52,14,911,7,313,16777902542.0098,667602.094755671
105,105,26105,109,2773,30,38,41,1,173,17,963,14,541,101973408397.018,1977050.06503293
106,106,26106,94,1533,31,35,28,,,12,412,11,328,238511685798.852,2478118.77808718
107,107,26107,122,2495,24,44,54,5,183,21,780,18,518,164478967402.172,2781771.58647452
108,108,26108,79,2143,16,26,37,3,310,9,480,7,459,114741921559.054,1979044.0149871
109,109,26109,79,2102,14,27,38,1,50,10,385,8,307,293269369789.885,3448904.20129719
110,110,26110,70,2463,12,23,35,8,401,16,1085,13,1062,426640042280.723,3615290.68520751
