_id,record_id,census_date,gender,race,age_at_booking,age_at_census
231,1848,2015-01-01,M,W,28,29
232,1856,2015-01-01,M,B,25,26
233,1864,2015-01-01,M,B,24,25
234,1872,2015-01-01,M,B,33,33
235,1880,2015-01-01,M,B,42,43
236,1888,2015-01-01,F,B,45,46
237,1896,2015-01-01,M,B,22,22
238,1904,2015-01-01,M,B,23,24
239,1912,2015-01-01,M,B,29,30
240,1920,2015-01-01,M,A,19,20
241,1928,2015-01-01,M,B,20,21
242,1936,2015-01-01,M,B,44,45
243,1944,2015-01-01,M,B,32,33
244,1952,2015-01-01,M,B,23,24
245,1960,2015-01-01,M,W,36,36
246,1968,2015-01-01,F,B,41,42
247,1976,2015-01-01,M,B,35,36
248,1984,2015-01-01,M,B,21,21
249,1992,2015-01-01,M,B,20,21
250,2000,2015-01-01,M,W,42,43
251,2008,2015-01-01,F,W,27,28
252,2016,2015-01-01,M,B,25,26
253,2024,2015-01-01,M,B,27,28
254,2032,2015-01-01,M,U,25,26
255,2040,2015-01-01,M,B,21,22
256,2048,2015-01-01,M,B,19,20
257,2056,2015-01-01,M,W,31,32
258,2064,2015-01-01,M,B,48,49
259,2072,2015-01-01,M,W,24,25
260,2080,2015-01-01,M,B,32,33
261,2088,2015-01-01,M,B,43,44
262,2096,2015-01-01,M,W,25,26
263,2104,2015-01-01,M,B,29,30
264,2112,2015-01-01,M,B,19,20
265,2120,2015-01-01,M,B,23,24
266,2128,2015-01-01,M,B,16,18
267,2136,2015-01-01,M,B,20,21
268,2144,20
