X,Y,OBJECTID,FET_TYPE,FET_SUBTYPE,FET_NAME,ADM_UNIT_CD,ADMIN_ST,LAT,LONG,created_date,last_edited_date,DESCRIPTION,WEB_LINK,UNIT_NAME,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,SEASON_RSTRCT,SEASON_OPEN,SEASON_CLOSE,NOTES,GlobalID,COORD_SRC_TYPE,ORIG_STATE_FET_TYPE
397039.7597,4525453.3073,204,10,Campground,North Sand Hills Campground,CON02000,CO,40.87368282,-106.2218941,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,,YES,,,,,,,{81766C65-6153-44BC-92DB-7D399C499956},OTH,
292537.1327,4382245.5434,206,8,Parking Area,South Canyon Parking Area,COG02000,CO,39.56396666,-107.41248333,,2017/10/20 15:16:39+00,Parking for River Recreationalists,,,YES,,,NO,,,,{D8DC67DD-2F8C-47C9-9649-627F59AF47C0},UNK,
330515.7487,4391339.0169,208,10,Campground,Gypsum Rec. Site,COG02000,CO,39.65506508,-106.97555189,,2017/10/20 15:16:39+00,Gypsum Campground Steel Kiosk,,,YES,,,NO,,,,{B808640F-A6AC-4FE6-A326-B1FA20D5DF72},UNK,
258451.7047,4384356.6503,210,8,Parking Area,Hubbard Mesa OHV Parking Area,COG02000,CO,39.57491279,-107.81219328,2015/11/17 15:58:10+00,2017/10/20 15:16:39+00,Hubbard Mesa Rec Site,,,YES,,,NO,,,,{64BE238D-F126-4C7F-AC1A-1F60AE1CC441},UNK,
276954.3455,4380744.0132,212,4,Point of Interest,Garfield Creek River Access,COG02000,CO,39.54740681,-107.5957817,2015/11/17 16:05:37+00,2017/10/20 15:16:39+00,River Access,,,YES,,,NO,,,,{63788B2F-7456-482C-B0D7-6498876D93C7},UNK,
277835.7845,4380872.8495,213,4,Point of Interest,Garfield Creek River Access,COG02000,CO,39.54879508,-107.5855765,2015/11/17 16:05:37+00,2017/10/20 15:16:39+00,River Access,,,YES,,,NO,,,,{07CAFAC3-6B9A-4E57-A33F-0BF68D41195D},UNK,
290899.7556,4383291.8665,214,7,Trail Head,Storm King Trailhead,COG02000,CO,39.57385394,-107.43443075,2015/11/17 16:07:15+00,2017/10/20 15:16:39+00,Interpretive Trailhead,,,YES,,,NO,,,,{48AF0D55-6BA1-4286-B9D4-4E58EED24D33},UNK,
292342.9981,4388634.5588,215,7,Trail Head,Keyser Creek Trailhead,COG02000,CO,39.6223016,-107.41931575,2015/11/17 16:07:15+00,2017/10/20 15:16:39+00,Keyser Creek Trail Access,,,YES,,,NO,,,,{098DBDAC-0558-4C76-BE0F-912A3F8CBFA0},UNK,
300910.125,4382265.4999,216,8,Parking Area,Transfer Trail Parking Area,COG02000,CO,39.56699599,-107.31766985,2015/11/17 16:09:20+00,2017/10/20 15:16:39+00,Parking Area,,,YES,,,NO,,,,{73BF9523-0975-4BDE-B754-149B4B67F518},UNK,
301720.1342,4381294.7384,217,4,Picnic Area,Horseshoe Bend Picnic Area,COG02000,CO,39.5584437,-107.30795759,2015/11/17 16:10:23+00,2017/10/20 15:16:39+00,,,,YES,,,NO,,,,{BD4CDEAE-9981-4D83-AAB5-6E736D95EFB3},UNK,
306002.1916,4377818.3011,219,7,Access Point,Lookout Mountain,COG02000,CO,39.52812247,-107.25713689,2015/11/17 16:12:33+00,2017/10/20 15:16:39+00,Lookout Mountain Trailhead,,,YES,,,NO,,,,{255B2EC0-1ADE-4C80-935F-ED5C47C034A7},UNK,
303702.1184,4354562.0978,221,7,Trail Head,Thompson Creek Trailhead,COG02000,CO,39.31821156,-107.27705068,2015/11/17 16:15:50+00,2017/10/20 15:16:39+00,Trailhead,,,YES,,,YES,4/16,12/1,Big Game Winter Closure for motorized and mechanized,{D42BCF4C-175E-47F6-9061-3EA777CD5BC4},,
314561.6991,4355872.9726,224,10,Campground,Upper Prince Creek Campground,COG02000,CO,39.33241079,-107.15152715,2015/11/17 16:17:22+00,2017/10/20 15:16:39+00,Kiosk/ Campground,,,YES,,,YES,4/16,12/1,Big Game Winter Closure for motorized and mechanized,{175D766A-43DD-428A-87E4-D1CFC47CE70D},,
313924.3466,4356729.1258,225,10,Campground,Lower Prince Creek Campground,COG02000,CO,39.33787999,-107.15598823,2015/11/17 16:17:55+00,2017/10/20 15:16:39+00,Campground,,,YES,,,YES,4/16,12/1,Big Game Winter Closure for motorized and mechanized,{914991BD-F2BF-48C9-8078-919C12FF34C4},,
327141.9598,4356708.0297,230,2,Boat Ramp,Wingo Boat Ramp,COG02000,CO,39.34253679,-107.00586783,2015/11/17 16:38:38+00,2017/10/20 15:16:39+00,Boat Ramp- Concrete,,,YES,,,YES,4/16,12/1,Big Game Winter Closure,{4A8598F6-E864-4FFF-99E2-3D7F41F930A9},UNK,
314080.2531,4372113.008,235,7,Access Point,Fisher Creek Access Point,COG02000,CO,39.47853782,-107.16162116,2015/11/17 16:42:25+00,2017/10/20 15:16:39+00,Main Fisher Creek Access with Kiosk,,,YES,,,YES,4/16,12/1,Big Game Winter Closure,{3DB7C2B0-FCAD-4048-BB0A-AB5A3259594A},UNK,
322805.9909,4391060.0964,238,7,Trail Head,Ute Trailhead,COG02000,CO,39.6509906,-107.06529036,2015/11/17 16:45:08+00,2017/10/20 15:16:39+00,Trail access and Upper CO River SRMA,,Upper Colorado River SRMA,YES,,,NO,,,,{4853C8D9-3C83-426C-B87E-455412FAC794},UNK,
325506.0102,4390285.8022,239,7,Access Point,Lava Flow Fishing Access,COG02000,CO,39.64457355,-107.03363462,2015/11/17 16:45:49+00,2017/10/20 15:16:39+00,Fishing Access- Parking,,Upper Colorado River SRMA,YES,,,NO,,,,{2F769656-C567-4601-A9BB-11AF1BF2087E},UNK,
324682.6279,4397817.7448,240,2,Boat Ramp,Cottonwood Island Boat Ramp,COG02000,CO,39.71222698,-107.04522524,2015/11/17 16:46:19+00,2017/10/20 15:16:39+00,Boat Ramp- aggregate,,Upper Colorado River SRMA,YES,,,NO,,,,{405716F2-D1B6-4E2E-91B7-00EF96D2C252},UNK,
324672.0331,4397824.5894,241,4,Picnic Area,Cottonwood Island Picnic Area,COG02000,CO,39.71228643,-107.04535059,2015/11/17 16:46:19+00,2017/10/20 15:16:39+00,Picnic Area,,Upper Colorado River SRMA,YES,,,NO,,,,{E731971D-88D0-40F6-9298-91F546154BCC},UNK,
329085.8691,4390747.3238,242,7,Access Point,Horse Pasture Fishing Access,COG02000,CO,39.64945233,-106.99205651,2015/11/17 16:47:48+00,2017/10/20 15:16:39+00,Steel Kiosk,,,YES,,,NO,,,,{0C63F4CC-894C-4055-B5D5-E43BF0487FDA},UNK,
329689.9958,4390985.19,243,2,Boat Ramp,Community Boat Ramp,COG02000,CO,39.65171482,-106.98508049,2015/11/17 16:48:16+00,2017/10/20 15:16:39+00,Boat Ramp- Natural,,,YES,,,NO,,,,{02E34643-8097-4522-B40B-F45ABB2652E5},UNK,
329756.0734,4391079.2304,244,7,Access Point,Community Fishing Access,COG02000,CO,39.6525748,-106.98433496,2015/11/17 16:48:38+00,2017/10/20 15:16:39+00,parking area,,,YES,,,NO,,,,{CFD6F058-AB99-46CD-AB57-2BF36A4072F6},UNK,
320176.308,4394153.4985,250,8,Parking Area,Deep Creek Parking Area,COG02000,CO,39.67829554,-107.09676362,2015/11/17 22:33:54+00,2017/10/20 15:16:39+00,"Kiosk- wood, and parking area",,Upper Colorado River SRMA,YES,,,NO,,,,{D122D578-0276-4AF2-A3FB-5A7816C2BC74},UNK,
320193.5269,4394129.3818,251,5,Toilet,Deep Creek Recreation Area Toilet,COG02000,CO,39.67808201,-107.0965564,2015/11/17 22:34:16+00,2017/10/20 15:16:39+00,Toilet,,Upper Colorado River SRMA,YES,,,NO,,,,{2FED4A22-ACB5-42E3-995F-B647A783E972},UNK,
322343.484,4396334.1734,254,2,Boat Ramp,Lyon's Gulch Boat Ramp,COG02000,CO,39.69838458,-107.07209688,2015/11/17 22:38:07+00,2017/10/20 15:16:39+00,Boat Ramp- Aggregate,,Upper Colorado River SRMA,YES,,,NO,,,,{B7B7AD98-46E1-43CD-97B3-20C0C9E18226},UNK,
322352.5622,4396378.8354,255,10,Campground,Lyons Gulch Campground,COG02000,CO,39.69878863,-107.07200309,2015/11/20 13:43:16+00,2017/10/20 15:16:39+00,Campsite- multiples,,Upper Colorado River SRMA,YES,,,NO,,,,{71781967-14DA-4E10-AD3F-B57E51EC775E},UNK,
322296.5774,4396352.2612,256,5,Toilet,Lyons Gulch Restroom,COG02000,CO,39.69853769,-107.07264851,2015/11/20 13:46:29+00,2017/10/20 15:16:39+00,Restroom,,Upper Colorado River SRMA,YES,,,NO,,,,{77CE65F5-5312-4B1A-B83D-BCDA5EA0D04F},UNK,
319935.7622,4404017.3271,260,8,Parking Area,Sheep Creek Parking Area,COG02000,CO,39.76706041,-107.10226303,2015/11/20 14:13:33+00,2017/10/20 15:16:39+00,Sheep Creek Parking/ Kiosk,,,YES,,,NO,,,,{7B2F3829-F72A-4E56-8D35-20B4D7E8BA9A},UNK,
320333.5257,4410302.0706,261,7,Trail Head,Hack Lake Trailhead,COG02000,CO,39.82373265,-107.0993425,2015/11/20 14:14:56+00,2017/10/20 15:16:39+00,Kiosk- Wood,,,YES,,,NO,,,,{B93BE802-57E3-496C-A5E1-80733BA85674},UNK,
333345.9477,4411030.2608,262,2,Boat Ramp,Pinball Access Boat Ramp,COG02000,CO,39.83294102,-106.94756786,2015/11/20 14:16:42+00,2017/10/20 15:16:39+00,Boat Ramp- natural,,Upper Colorado River SRMA,YES,,,NO,,,,{06D43C83-8771-482B-960D-85CE9FECB56F},UNK,
333904.3544,4412003.9518,264,5,Toilet,Pinball Restroom,COG02000,CO,39.84181833,-106.94129263,2015/11/20 14:19:21+00,2017/10/20 15:16:39+00,Restroom,,Upper Colorado River SRMA,YES,,,NO,,,,{46172258-3973-43D2-A1AD-DFF990FED48C},UNK,
333921.5246,4412024.9549,265,8,Parking Area,Pinball Parking Area,COG02000,CO,39.84201082,-106.94109739,2015/11/20 14:20:18+00,2017/10/20 15:16:39+00,Kiosk and parking,,Upper Colorado River SRMA,YES,,,NO,,,,{C0D4990D-3463-4BD5-A590-E304F927E44E},UNK,
333936.6784,4412004.3988,266,10,Campground,Pinball Camping Area,COG02000,CO,39.84182868,-106.94091516,2015/11/20 14:21:11+00,2017/10/20 15:16:39+00,Camping- single,,Upper Colorado River SRMA,YES,,,NO,,,,{D5143EED-03FA-4AAE-ADED-070C6CF8E851},UNK,
341507.4224,4411159.8853,267,7,Trail Head,Winter Ridge Trailhead,COG02000,CO,39.83567,-106.85227,2015/11/20 14:27:07+00,2017/10/20 15:16:39+00,Kiosk- Steel,,,YES,,,YES,4/16,12/1,Big Game Winter Closure Motorized/ Mechanized,{93C22C48-B831-4997-9869-D19FAEA83D91},,
347169.818,4404967.4997,268,7,Trail Head,Picture Ridge Trailhead,COG02000,CO,39.78094065,-106.78468256,2015/11/20 14:28:50+00,2017/10/20 15:16:39+00,Kiosk with Castle Peak map,,,YES,,,YES,4/16,12/1,Big Game Winter Closure Motorized/ Mechanized,{4E85609F-E833-40AB-8E64-C0DE7398F699},,
343250.2544,4417239.2961,269,2,Boat Ramp,Catamount Bridge Boat Ramp,COG02000,CO,39.89074086,-106.83336873,,2017/10/20 15:16:39+00,Boat Ramp- concrete,,Upper Colorado River SRMA,YES,,,YES,4/16,12/1,Big Game Winter Closure,{67F2F9F0-BF50-4274-807F-DC55E870AB89},UNK,
343326.3737,4417234.1852,274,10,Campground,Catamount Bridge Campground,COG02000,CO,39.8907089,-106.83247763,2015/11/20 14:33:53+00,2017/10/20 15:16:39+00,Campground- multiple sites,,Upper Colorado River SRMA,YES,,,YES,04/16,12/1,Big Game Winter Closure,{734697E1-3E95-48C3-B919-2CF5599C256C},UNK,
343341.3187,4417203.9591,275,5,Toilet,Catamount Bridge Restroom,COG02000,CO,39.89042788,-106.83216153,2015/11/20 14:34:42+00,2017/10/20 15:16:39+00,Toilet,,Upper Colorado River SRMA,YES,,,YES,4/15,12/1,Big Game Winter Closure,{58B1BF16-FB65-4F11-B5FE-A4CC938C531E},,
345960.3748,4420213.4426,278,7,Trail Head,Stifel Creek Trailhead,COG02000,CO,39.91802117,-106.80238756,2015/11/20 14:37:31+00,2017/10/20 15:16:39+00,Kiosk,,Upper Colorado River SRMA,YES,,,NO,,,,{01B9460F-E873-4498-88D6-02E9208F9F38},UNK,
346533.3893,4431241.3038,280,7,Trail Head,East King Mountain Trailhead,COG02000,CO,40.01743561,-106.79828707,2015/11/20 14:41:10+00,2017/10/20 15:16:39+00,East King Mtn Trailhead (Hwy 131) South,,,YES,,,NO,,,,{458CD6B1-BBA5-4FFF-9416-C29BDE98ADF9},UNK,
347955.1791,4432777.2939,281,7,Trail Head,Egeria Creek Trailhead,COG02000,CO,40.03152511,-106.78199446,2015/11/20 14:41:10+00,2017/10/20 15:16:39+00,Egeria Creek Trailhead (Hwy 131) North,,,YES,,,NO,,,,{059F2F68-988E-4DA8-A07E-ACAF3267F58C},UNK,
342396.3471,4432712.8788,282,7,Trail Head,King Creek Trailhead,COG02000,CO,40.0298038,-106.84733969,2015/11/20 14:43:18+00,2017/10/20 15:16:39+00,,,,YES,,,NO,,,,{F6DEE067-0ECC-4CD0-A5CB-F5A8C8234E57},,
353950.1364,4400557.7986,292,7,Trail Head,Bocco Mountain Trailhead,COG02000,CO,39.74241654,-106.70455906,2015/11/23 16:15:24+00,2017/10/20 15:16:40+00,Bocco Mtn Trailhead Parking and Kiosk,,,YES,,,YES,4/16,12/1,Big Game Winter Closure Motorized/ Mechanized,{AEFB5ED0-483A-48B9-9285-C671A4522D4A},,
354745.9178,4397164.32,293,10,Campground,Wolcott Campsite,COG02000,CO,39.71198992,-106.69452671,,2017/10/20 15:16:40+00,Camping- single,,,YES,,,NO,,,,{512EA95C-73B1-430E-A36C-A17C09E7C08C},UNK,
354496.9367,4397255.4662,294,5,Toilet,Wolcott Toilet,COG02000,CO,39.71276838,-106.69745024,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,Wood double vault toilet,,,YES,,,NO,,,,{9839B52A-4429-4498-8523-B3226622FBC6},UNK,
354454.9137,4397310.8218,295,2,Boat Ramp,Wolcott Boat Ramp,COG02000,CO,39.71325977,-106.69795251,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,Concrete Boat Ramp,,,YES,,,NO,,,,{09C2A77B-9356-438E-8FF3-D4769F63CC33},UNK,
354662.7277,4397180.8876,296,3,Campsite - Developed - Non Reservable - Fee,Wolcott Campsite,COG02000,CO,39.71212496,-106.69550046,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{3A8E3FAF-0022-436E-B984-E654DB90621D},UNK,
354581.6413,4397212.5039,297,3,Campsite - Developed - Non Reservable - Fee,Wolcott Campsite,COG02000,CO,39.71239589,-106.696453,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{F9E1371B-4069-40A7-9390-FCCDDD01B058},UNK,
354610.2819,4397220.687,298,3,Campsite - Developed - Non Reservable - Fee,Wolcott Campsite,COG02000,CO,39.71247447,-106.69612082,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{5EEDA090-72D9-4ECC-B999-8E883131B6A7},UNK,
354563.7874,4397243.7482,299,3,Campsite - Developed - Non Reservable - Fee,Wolcott Campsite,COG02000,CO,39.71267425,-106.69666809,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,Host Campsite,,,YES,,,NO,,,,{05351816-9825-45A9-946B-D0084E55070C},UNK,
354621.4406,4397188.3268,300,3,Campsite - Developed - Non Reservable - Fee,Wolcott Campsite,COG02000,CO,39.71218493,-106.69598356,2015/11/23 16:19:51+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{5ED5D4B6-9F47-4AA3-B8F3-870B8F6A1AC5},UNK,
358776.7934,4393059.191,302,4,Point of Interest,Bellyache Fishing Access,COG02000,CO,39.67569357,-106.64664231,2015/11/23 16:43:37+00,2017/10/20 15:16:40+00,River Access via BLM,,,YES,,,NO,,,,{291E9F55-05BD-4617-9A57-5598C10DD417},UNK,
351352.7192,4396075.5134,303,7,Access Point,Hell's Pocket Access Point,COG02000,CO,39.70159961,-106.73384921,2015/11/23 16:44:19+00,2017/10/20 15:16:40+00,BLM Access point to North Side of Interstate,,,YES,,,YES,4/16,12/1,Big Game Winter Closure Motorized/ Mechanized,{EAB6E8B0-AD27-4B67-BA39-E54754E7E8F5},,
350515.5404,4395256.4554,304,4,Point of Interest,Red Canyon Fishing Access,COG02000,CO,39.69407689,-106.74342432,2015/11/23 16:45:08+00,2017/10/20 15:16:40+00,River Access,,,YES,,,NO,,,,{6FEF17EF-A0E4-47BB-8F0C-1AF697D6B9C9},UNK,
350709.5199,4395360.7136,305,4,Point of Interest,Red Canyon Fishing Access,COG02000,CO,39.69504979,-106.74118653,2015/11/23 16:45:08+00,2017/10/20 15:16:40+00,River Access,,,YES,,,NO,,,,{F9285E35-9732-4FFB-863B-415559F3A1B3},UNK,
350074.0918,4394671.3789,306,4,Point of Interest,Red Canyon Fishing Access,COG02000,CO,39.68873024,-106.74843767,2015/11/23 16:45:08+00,2017/10/20 15:16:40+00,River Access,,,YES,,,NO,,,,{239E16FC-858B-4268-A33F-24396241942B},UNK,
163229.6107,4190580.0904,307,10,Campground,Box Elder Rec Site,COS01000,CO,37.80054,-108.82472,2016/01/21 22:08:00+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{9CC9A11D-55E6-4DCC-BFB0-D60586788C47},GIS,
163260.7539,4190651.0921,308,5,Toilet,Boxelder Restroom,COS01000,CO,37.80119,-108.8244,2016/01/21 22:39:57+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{7BAEC70D-9E57-4D83-8C38-9FF7068144E1},GIS,
166014.485,4191001.2872,313,5,Toilet,Dolores R Overlook - New Restroom,COS01000,CO,37.80535,-108.79335,2016/01/27 15:57:44+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{51C6A4FA-0A8B-4A6A-9F72-E653E64DD994},GIS,
166084.0614,4191085.1899,314,5,Toilet,Dolores R Overlook - Old Restroom,COS01000,CO,37.80613,-108.7926,2016/01/27 15:59:34+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{CCA37EBF-4CDC-46AC-A831-12B65F695ECF},GIS,
165985.2625,4190976.9007,315,4,Scenic Overlook,Dolores River Overlook,COS01000,CO,37.80512,-108.79367,2016/01/27 16:02:55+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{A7EADAC0-DD3A-4DCA-9D06-F47F4B785FBF},GIS,
166143.8055,4191296.252,318,4,Scenic Overlook,Observation Platform,COS01000,CO,37.80805,-108.79202,2016/01/27 16:37:10+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{756771D8-FD7B-442D-9ED9-CF019CB7E43F},GIS,
165992.3755,4190999.962,319,8,Parking Area,Parking - 30' x 50' - Aggregate,COS01000,CO,37.80533,-108.7936,2016/01/27 16:40:07+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{1F285C96-31EF-4F1D-B1F2-F7125418116C},GIS,
165982.3044,4190969.2374,320,4,Point of Interest,Site Road - Aggregate,COS01000,CO,37.80505,-108.7937,2016/01/27 16:45:13+00,2017/10/20 15:16:40+00,,,,YES,,,NO,,,,{289DB9CD-540B-4378-87AF-698E701F83A5},GIS,
159838.5592,4227788.0233,321,2,Boat Ramp,Boat Ramp - Aggregate - 20' x 65',COS01000,CO,38.13387,-108.88075,2016/01/27 17:02:35+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{C9F52DC4-6F2A-4513-89DC-F84BACAC9A02},GIS,
159974.345,4227821.26,322,4,Picnic Area,Cabana - East - Wood,COS01000,CO,38.13422,-108.87922,2016/01/27 17:07:14+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{9ADCDC6A-B1BC-4852-A145-85573EE1BFC4},GIS,
159946.6448,4227789.0569,323,4,Picnic Area,Cabana - East Ramp - Wood,COS01000,CO,38.13392,-108.87952,2016/01/27 17:33:39+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{8143B2AC-EFD0-4D5B-8B60-5C5E5F969263},GIS,
159822.6895,4227807.5939,324,4,Picnic Area,Cabana - West Ramp - Wood,COS01000,CO,38.13404,-108.88094,2016/01/27 17:42:08+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{086C0638-1665-48C2-9513-A3DF8DE2F630},GIS,
159972.7499,4227888.0529,325,3,Campsite - Primitive - Non Reservable - No Fee,Camping - Single,COS01000,CO,38.13482,-108.87927,2016/01/27 18:14:47+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{B69987BB-D0AC-4BE1-AFB0-5AFE8D80E682},GIS,
160012.7255,4227919.7421,326,4,Picnic Area,Gypsum Valley Rec Site,COS01000,CO,38.13512,-108.87883,2016/01/27 18:16:22+00,2017/10/20 15:16:40+00,,,Dolores River,YES,,,NO,,,,{5012615B-DC85-495F-B3D7-DD666EF302BD},GIS,
