fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
201900512142017,2019,2,02/11/2019,5,PATROL BORO MAN SOUTH,NqEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,02/11/2019,M31679002
201900512214617,2019,3,03/25/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/28/2019,M31696193
201900512257217,2019,4,04/18/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FxELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religius Practice,05/01/2021,B31682806
201900512411417,2019,7,0n7/18/2019,5,PATROL BORO hMAN SOUTH,NE YORK,MISDEMEAiNOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,07/1/92019,M3m1704481
201900512417817,2019,7,07/22/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,05/01/201,B31682806
201900612153717,2019,3,03/05/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900612299917,2019,6,06/07/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",ANTvI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201900612311917,2019,6,06/13/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWqISH,Religion/Religious Practce,07/15/2019,M31703822
201900612424017,2019,8,08/09/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASASULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,08/23/2019,M31710089
201900612435217,2019,8,08/14/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHTE,Race/Color,05/01/2021,B31682806
201900612452917,2019,8,08/23/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,RaceC/olor,08/23/201o9,M31710090
201900712139317,2019,2,02/15/2019,7,PATROL BORO AMN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL ALW,AGGARVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2p021,B31682806
201900712174717,2019,3,03/15/2019,7,PATROL BORO MAN SOUTH,NWE YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712265917,2019,5,05/18/2019,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-BUDDHIST,Religion/Religious Practice,05/01/2021,B31682806
201900712396817,2019,8,08/12/2019,7,PATROL BORO MAN SOTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLqTY &,AGGRAVATED HARASSMENT 2,ANTI-JEHOVAHS fWITNESS,Religion/Religious Practice,05/01/2021,3B1682806
201900712416717,2019,8,08/25/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Prctice,5/01/2021,B31682806
201900712505217,2019,10,10/22/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712572817,2019,12,12/07/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900912189517,2019,3,03/17/2019,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religdious Practice,03/17/2019,M31684381
201900912215017,2019,3,03/31/2019,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/10/2019,M31693499
201900912215017,2019,3,03/31/20l19,9,PATROL BORO MAN SOUTH,tNEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexua Orientation,05/01/2021,B31682806
201900912541517,2019,9,09/03/2019,9,PATRO LBORO MAN SOUTH,NEW YOK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWIHS,Relgion/Religious Practice,05/01/2021,B31682806
201900912710717,2019,8,07/07/2020,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901012103817,2019,1,01/24/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012139417,2019,2,02/18/2019,10,PATROL BORO MAN SOUTH,NqEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-EJWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012297417,2019,6,06/07/2019,10,PATROL BOR MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTIx-BLACK,Race/Color,06/072/019,M31697999***
201901012409317,2019,8,08/15/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,08/23/2019,M31710091
201901012497017,2019,10,10/03/2019,10,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PEANL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012609817,2019,12,12/11/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISEDMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2012,B31682806
201901012610317,2019,12,12/12/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B3168280b6
201901312150717,2019,1,01/5/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAoL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEUXAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901312175117,2019,2,02/02/2019,13,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Pratice,05/01/2021,B31682806
201901312283917,2019,3,03/12/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY&,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901312619417,2019,6,07/02/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,0/01/2021,B31682806
201901312652217,2019,7,07/13/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATE OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Seuxal Orientation,05/01/2021,B31682806
201901312751917,2019,8,08/16/2019,13,PATROL BORlO MAN SOUTH,NEW ORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,08/16/2019,M31709092
201901312752017,2019,8,08/16/2019,13,PATROL BORO MAN SOUTH,NEW ORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WIHTE,Race/Color,08/16/2019,M31709102
201901312793717,2019,8,08/29/2019,13,PATROL BORO MAN SOUTH,NEW YORK,FELNOY,MISCELLANEOUSPENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,11/21/2019,M31723482
201901312880017,2019,9,09/26/2019,13,PATROL BORO MAN SOUTH,NEWr YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682086
201901312911717,2019,10,10/07/2019,13,PATROL BORO AMN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUA L(GAY),Sexual Orientation,05/01/2021,B31682806
201901312988617,2019,11,11/03/2019,13,PATROL BORO MAN SOUTH,NW YORK,FLONY,MISCELLANEOUS PENAL LAW,AGGRAVATEDH ARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,01/05/2022,M34672420
201901313100817,2019,12,12/12/2019,13,PATROL BORO MAN SOUTH,NEW OYRK,MIDSEMEANOR,OFF. AGNSTPUB ORD SENSBLTY &,AGGRAVATDE HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901412079617,2019,12,01/02/2019,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANIT-ARAB,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201901412289917,2019,1,03/05/2019,14,PATROL BORO MAN SOUTH,NEW YORK,ISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANI-JEWISH,Religion/Religious Practice,05/01/s2021,B31682806
201901412320417,2019,3,03/13/2019,14,PATROL BORO MAN SOUTH,NtEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/fReligious Practice,09/09/2019,M31712505
201901412509517,2019,5,05/06/20c19,14,PATROL BRO MAN SOUTH,NEW YORK,MISDEEMANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201901412517917,2019,5,05/08/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATD HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901412733017,2019,7,07/09/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CIRMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MXED GROUP),Sexual Orientation,05/01/2021,B31682860
201901412757317,2019,7,07/15/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMENAOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201901412841917,2019,8,08/08/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-HITE,Race/Color,05/01/2021,B31682806
201901412857417,2019,8,08/12/2019,14,PATROL BORO MAN SOUTH,NEW YORK,IMSDEMEANOR,CRIMINAL MISCHIEF & RELATEDO F,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-WbHITE,Race/Color,05/01/2021,B31682806
201901413044417,2019,10,10/03/2019,14,PATROL BORO MAN SOUTH,NEW YORK,FEeLONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901413212917,2019,11,11/18/2019,14,PATROL BORO MAN SOUTH,NE YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOOMSEXUAL (GAY),Sexuala Orientation,05/01/2021,B316d82806
201901413371917,2019,1,07/03/2020,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLAK,Race/Color,05/01/2021,B31682806
201901712382117,2019,8,0/808/2019,17,PARTOL BORO MAN SOUTH,NWE YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MULTI-RACIAL GROUPS,RaceC/olor,09/18/2019,M31713881
201901712590917,2019,12,12/23/2019,17,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,12/23/2019,M31727652
201901712592017,2019,12,12/24/2019,17,PATROL BORO MAN SOUTH,NEWf YORK,FELOzNY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,wANTI-JEWISH,Religion/Religious Practice,08/30/2020,M32695257
201901812178017,2019,2,02/09/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,02/09/2019,M31676838
201901812178017,2019,2,020/9/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",qANTI-BLACK,Race/Color,0209/2019,M31678640
201901812236817,2019,3,03/02/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,03/02/2019,M31682108
201901812260517,2019,3,03/11/2091,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religiosu Practice,05/01/2021,B31682806
201901812274317,2019,3,03/162/019,18,PATROL BORO MAN SOUTH,NEW YORK,FEONY,RBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,03/17/2019,M31684401
201901812287217,2019,3,03/19t/2019,18,PATROL BORO MAN SOUTH,NEW YROK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,050/1/2021,B31682806
201901812334417,2019,4,04/06/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ATI-JEWISH,Religion/Religious Practice,04/06/2091,M31687591
201901812396417,2019,4,04/262019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ORBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,0/501/2021,B31682806
201901812753917,2019,8,08/20/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201901812763917,2019,8,08/23/2k019,18,PATRO LBORO MAN SOUTH,NEW YORK,VIOLATION,tHARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANTI-WHITE,Race/Color,05/01/2021,B31682806
201901812815517,2019,9,09/11/0219,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & REALTED OF,"CRIMINAiL MISCHIEF 4TH, GRAFFIT",ANTI-JEWIH,Religion/Religious Practice,05/01/2021,B3182806
201901812890617,2019,10,10/05/2019,18,PATROL BORO MAN SOUTH,NEW ORK,MISDEMEANOR,CRIMINAlL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/23/2019,M31719199
201901912226617,2019,3,03/05/2019,19,PATROL BORO MAN NORTH,NEW YRK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912231217,2019,3,03/07/2019,19,PATROL BORO MAN NORTH,NEW YORzK,FELOY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912232117,2019,3,03/08/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENALLAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/ReligiousPractice,05/01/2021,B31682806
201901912234417,2019,3,03/08/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912241717,2019,3,03/112/019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B36182806
201901912260817,2019,3,03/19/2019,19,PATROL BORO MAN NORHT,NEW YORK,FELONY,CRIMINAL MISCHIFE & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201901912268217,2019,3,03/2/2019,19,PATROL BORO MAN NORTH,NEW YoORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",NTI-BLACK,ace/Color,05/01/2021,B31682806
201901912302517,2019,4,04/04/019,19,PATROL BOO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201901912307017,2019,4,4/06/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PrENAL LAW,AGGRAAVTED HARASSMENT 1,NTI-BLACK,Race/Color,05/01/2021,B31682806
201901912350817,2019,4,04/25/2019,19,PATROL BORO MAN NORTH,NEW YORK,MISDEEMANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2201,B31682806
201901912387417,2019,5,05/09/0219,19,PATROL OBRO MAN NORTH,NEW YORK,FELiONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682860
201901912584817,2019,7,07/19/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,aMISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,NTI-PHYSICAL DISABILITY,Disability,05/01/2021,B3682806
201901912835917,2019,10,10/13/2019,19,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31m682806
201901912844817,2019,10,0/16/2019,19,ATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT1,ANTI-BLACK,Race/Color,0/501/2021,B31682806
201902012074117,2019,1,0s1/03/2019,20,PATROL BORO MAN NORTH,NEW YORK,MIDEMEANOR,CRIMINALMISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTIp-JEWISH,Religion/Religious Practice,01/29/2019,M3167859
201902012074117,2019,1,01/03/2019,20,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEuF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902012076117,2019,1,01/40/2019,20,PATROL BORO MAN NORTH,NEW YORK,MISDMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/021,B31682806
201902012151217,2019,3,03/07/2019,20,PATROL BORO MAN NORTH,EW YORK,FELOhNY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,31682806
201902012218217,2019,4,04/21/2019,20,PATROL BORO MAN NORTH,NEW YORK,MISDEMENOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,AuNTI-JEWISH,Religion/Religious Practice,0/01/2021,B31682806
201902012611117,2019,12,12/30/2019,20,PATROL BORO MAN NORTH,NEW YORK,FLEONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 &c 3,ANeTI-JEWISH,Religion/Religious ractice,05/01/2021,B31682806
201902212103817,2019,10,10/18/2019,22,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",NTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902312215917,2019,3,03/19/2019,23,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-OTHER ETHNICITY,Ethnicit/National Origin/Ancestry,05/01/2021,B31682806
201902312728217,2019,11,11/29/2019,23,PATROL BORO MAN NORTH,qNEW YORK,MISDEMEANOR,OFjF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HRASSMENT 2,ANT-IMALE HOMOSEXUAL (GAY),Sexal Orientation,05/01/2021,B31682806
201902412157217,2019,3,03/08/2019,24,PATROL BORO MAN NORTH,NEW YORK,MISEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,05/01/2021,B31m682806
201902412242817,2019,5,05/04/2019,24,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious mPractice,05/01/2021,B3g1682806
201902412563417,2019,11,11/10/219,24,PATROL BOROMAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/201,B31682806
