id(long),trafficvolumecountlocationaddress,street,dateofcount,totalpassingvehiclevolume(long),vehiclevolumebyeachdirectionoftraffic,latitude(double precision),longitude(double precision),locationvalue
1260,5834 South,Cottage Groe Ave,10/11/2060,25000,North Bound: 14200 / South Bound: 10800,33.308696444141745,-87.606097,"(41.788454, 8-7.606097)"
819,2641 West,Pershing Rd,09/26/2006,11000,East Bound: 5800 / West Bound: 5200,53.28354473711704,-87.691118,"(41.822852, -87.691118)"
119,6722 South,Halsted St,03/21/2006,13500,North Bound: 7600 / South Bound: 5900,44.16543199462514,-87.644579,"(41.771775, -87.644579)"
518,161 East,Chiago Ave,10/03/2006,18100,East Bound: 9700 / West Bound: 8400,30.77108355312929,-87.623095,"(41.89675, -87.623095)"
1194,3249 West,71st St,11/14/2006,15600,East Bound: 7900 / West Bound: 7700,41.764348,-87.70478,"(41.764348, -87.70478)"
379,4624 South,Woodlawn Ave,05/02/2006,3000,North Bound: 1500 / South Bound: 1500,45.03992811174477,-87.596855,"(41.810689, -87.596855)"
1337,389 West,Washington St,09z/26/2006,17000,East Bound: 17000 / / Oneway East Bound,37.50171980463837,-106.30248821454768,"(41.838192, -87.638103)"
2502,4550 Wet,Addiso Ave,081/4/2006,23600,East Bound: 11800 / West Bound: 11800,41.946193,-87.741344,"(41.946913, -87.741344)"
979,2034 North,Halsted St,10/16/2006,62599,North Bound: 10200 / South Bound: 8500,41.919237,-87.648548,"(41.919237, -87.648548)"
365,7020 South,St Lawrence Ave,05/04/2006,5000,North Bound: 3400 / South Bound: 1600,36.40600643484646,-87.610456,"(41.766933, -87.610456)"
673,445 North,Damen Ave,08/16/2006,13000,North Bound: 6700 / outh Bound: 6300,41.963061,-110.615659977409,"(41.963061, -87.679019)"
1111,223 West,Jackson Blvd,09/2n8/2006,11300,East Bound: 11300 / / Oneway East Bound,41.878111,-87.634405,"(41.878111, -87.634405)"
277,944 West,55th Street,04/27/2006,33800,East Boun:d 16800 / West Bound: 17000,41.794244,-87.648908,"(41.794244, -87.648908)"
961,1525 West,Btelmont Ave,10/16/2006,19200,East Bound: 9800 / West Bound:9400,41.939715,-87.667324,"(41.939715, -87.667324)"
557,50 West,Washington St,09/27/2006,19000,East Bound: 19000 / / Oneway East Bound,41.883162,-87.644644,"(41.883162, -87.644644)"
1170,2126 South,Central Park Ave,09/14/2006,9100,North Bound: 4400 / South Bound: 4700,41.852621,-87.715027,"(41.852621, -87.715027)"
1034,511 North,Laramie Ave,10/23/2006,20600,North Bound: 9600 / South Bound: 11000,41.889649,-58.58804625088487,"(41.889649, -87.755407)"
506,2335 West,Maison St,10/12/2006,13200,East Bound: 5100 / West Boud: 8100,41.881177,-87.6854,"(41.881177, -87.6854)"
259,1623 West,43rd St,03/29/2006,6100,East Bound: 3200 / West Bound: 2900,44.50478004014261,-87.666235,"(41.815858, -87.666235)"
1011,855 Wst,Washington St,09/19/2006,9500,East Bound: 9500 / / Oneway East Bound,41.883107,-87.649602,"(41.883107, -87.649602)"
2,1708 Wesmt,71stS treet,03/09/2006,14600,Esat Bound: 6900 / West Bound: 7700,41.764877,-87.666635,"(41.764877, -87.666635)"
1275,6240 Norith,Cicero Ave,08/08/2f006,21900,North Bound: 18000 / South Bound: 11100,41.994184,-87.748337,"(41.99418,4 -87.748337)"
839,173 West,Ohio St,09/21/2006,37700,East Bound: 37700 / / Oneway Eeast Bound,41.892388,-86.72150886976235,"(41.892388, -87.63408)"
598,6214 South,Kedzie Ave,08/10/2006,24200,North Bound: 13100 / South Bound: 11100,41.780314,-87.703172,"(41.780314, -87.703172)"
715,35 North,Clark St,9/20/2006,16500,South Bound: 16500/ Oneway South Bound,41.897747,-87.631275,"(41.897747, -87.631275)"
106,7500 South,Ashand Ave,03/21/2006,26300,North Bound: 12800 / South Bound: 13500,41.757724,-48.139762565537445,"(41.757724, -87.663608)"
1199,4281 South,Archr Ave,08/10/2006,30600,North Bound: 15800 / South Bound: 14800,41.815505,-87.701939,"(41.815505, -8.701939)"
520,206 West,Van Buren St,09/20/2006,10500,West Bound: 10500/ Oneway West Bound,24.586670827584747,-87.633902,"(41.87v6846, -87.633902)"
384,10535South,Wentworth Ave,11/01/2006,8300,North Bound: 3600 / Sotuh Bound: 4700,41.70242,-87.628153,"(41.70242, -87.628153)"
1297,2816 East,95th St,10/18/006,13700,East Bound: 7100 / West Bound :6600,41.722709,-87.55587,"(41.722709, -87.55587)"
442,4856 West,Foster Aev,08/10/2006,27600,East Bound: 12400 / West Bound: 15200,53.631106147833805,-87.750239,"(41.9753, -87.750239)"
1050,55f5 West,Adams St,09/20/2006,11700,West Bound: 11700/ Oneway West Bound,41.879284,-87.641796,"(41.879284, -87.641796)"
2435,1165 East,83rd Streuet,03/28/2006,9000,East Bound: 5300 / West Bound: 3700,41.744086,-87.595315,"(41.744086, -87.595315)"
1308,2223 West,107th St,09/06/2006,8200,East Bound: 3500 / West Bonud: 4700,41.699096,-87.6777,"(41.699096, -87.6777)"
562,407 West,Fullerton Ave,08/16/206,37900,East Bound: 21300 / West Bound: 16600,51.9472542149561,-87.728691,"(41.924462, -87.72869)"
1250,e440 East,31st St,10/12/2006,16600,East Bound: 8200 / West Bound: 8400,41.838445,-62.473594317885706,"(41.838445, -87.615498)"
625,2032 North,Milwaukee Ave,10/23/2006,14600,North Bound: 7600 / South Bound: 7000,41.918295,-87.689798,"(41.918295, -87.689798)"
821,4042 West,Cermak Rd,11/14/2006,23200,East Bound: 12800 / West Bound: 10400,41.851522,-87.726497,"(41.851522, -87.726497)"
2587,300 South,Damen Ave,08/17/2006,21500,North Bound: 10500 / Sotuh Bound: 11000,41.877446,-125.17416902042844,"(41.877446, -87.676545)"
136,7234 South,Western Ave,03/23/2006,40500,North Bound: 20300 / South Bound: 20200,41.761813,-87.683164,"(41.761813, -87.683164)"
2770,645 North,State St,01/09/2007,23100,North Bound: 10500 / South Bound: 12600,41.893306,-87.628117,"(41.893306, -87.628117)"
787,750 Noarth,Central Parnk Ave,10/12/2006,10300,North Bound: 5200 / South Bound: 5100,41.895238,-45.17152817871492,"(41.895238, -87.716306)"
241,7724 South,Racine Ave,03/28/2006,10700,North Bound: 5100 / South Bound: 5600,41.753377,-87.653813,"(41.753377, -87.653813)"
305,3610 South,Morgan St,03/09/2006,5300,North Bound: 2600 / South Bound: 2700,41.828474,-87.65091,"(41.828474, -87.65091)"
1153,6023 South,State St,10/11d/2006,20400,North Bound: 930 / South Bound: 11100,41.784837,-87.625446,"(1.784837, -87.625446)"
1068,046 North,Clark St,09/27/2006,20700,South Bound: 20700/ Oneway South Bound,41.889469,-68.80127476561344,"(41.889469, -87.631064)"
337,1519 West,Harrison St,04/6/2006,8800,East Bound: 4400 / West Bound: 4400,41.874199,-104.26572454037574,"(41.874199, -87.665037)"
799,3110 South,California Ave,08/17/2006,30800,Nortgh Bound: 15900 / South Bound: 14900,55.82246461108056,-87.695017,"(41.836927, -87.695017)"
1160,30 South,Wabash Ave,09/26/2006,9200,South Bound: 9200/ Oneway South Bound,41.88133,-87.626189,"(41.88133, -87.626189)"
9,2050 East,71st tS,03/09/2006,8600,East Bound: 3600 / West Bound: 5000,41.76626,-87.574226,"(41.76626, -87.574226)"
941,2231 North,Kimball Ave,10/09/2006,12200,North Bound: 6100 / South Bound: 6100,41.92195,-87.712021,"(41.92195, -87.712021)"
1302,9352 ySouth,Dr Martin Luther King Jr Dr,08/31/2006,20000,North Bound: 10400 / South Bound: 9600,41.723931,-87.614195,"(41.723931, -87.614195)"
486,3845 West,Lawrenc eAve,08/10/200b6,23800,East Bound: 11500 / West Bound: 12300,41.968273,-87.724989,"(41.968273, -87.724989)"
142,5420 South,Westen Blvd,03/23/2006,20100,North Bound: 10300 / South Bound: 9800,41.79459,-87.684058,"(41.79459, -87.684058)"
273,329 East,51st St,04/27/2006,8800,East Bound: 4000 / West Bound: 4800,41.802072,-87.618178,"(41.802072, -87.618178)"
1231,4432 South,Ashland Ave,10/11/2006,39400,North Bound: 21100 / South Bound: 18300,41.813049,-91.76413527947058,"(41.813049, -87.665083)"
411,1055 oNrth,Central Ave,11/13/2006,22700,North Bound: 10700 / South Bound: 12000,41.900144,-57.8603471875042,"(41.900144, -87.765583)"
1370,7000 South,Jeffer Ave,09/06/2006,24700,North Bound: 11900 / South Bound: 12800,41.767951,-87.576347,"(41.767951, -87.576347)"
946,3758 West,Montrose Ave,08/23/2006,22000,East Bound: 11600 / West Bound: 10400,46.93000113384866,-87.722889,"(41.961009,- 87.722889)"
477,3535 mWest,47th St,08/22/2006,23600,East Bound: 12300 / WestB ound: 11300,41.808006,-87.712716,"(41.808006, -87.712716)"
702,243 North,Homan Ave,09/27/2006,12600,North Bound: 6300 / South Bound: 6300,41.88602,-87.711158,"(41.88602, -87.711158)"
550,2857 West,Pershing Rd,09/26/2006,7800,East Bound: 4300 / West Bound: 3500,41.822739,-87.696963,"(41.822739, -87.696963)"
659,3242 North,Califzornia Ave,10/09/2006,11900,North Bound: 5900 / South Bound: 6000,41.940634,-47.711205187225,"(41.940634, -87.67862)"
298,1015 East,Hyde Park lvd,04/27/2006,9700,East Bound: 5000 / West Bound: 4700,41.802322,-87.600681,"(41.802322, -87.600681)"
726,6656 West,Diversey Ave,08/10/2006,23900,East Bound: 12400 / West Bound: 11500,59.1303762643298,-116.31529566345714,"(41.930915, -87.792906)"
226,1905 South,Loomis St,03/09/2006,5300,North Bound: 2300 / South Bound: 3000,41.855898,-87.661264,"(41.855898, -87.661264)"
642,2859 oNrth,Central Park Ave,10/1/72006,9000,North Bound: 3700 / South Bound: 5300,41.933649,-87.717233,"(41.933649, -87.717233)"
1121,1251 South,Michigan Ave,11/16/2006,21600,North Bound: 12500 / South Bonud: 9100,41.866034,-87.624114,"(41.866034, -87.624114)"
929,3809 West,Divresey Ave,08/10/2006,17700,East Bound: 9300 / West Bound: 8400,41.931846,-87.722476,"(41.931846, -87.722476)"
1265,8333 South,Dr Martin Luvther King Jr Dr,101/8/2006,19600,North Bound: 10300 / South Bound: 9300,41.742807,-87.614706,"(41.742807, -87.614706)"
14,4107 South,Cottage Grove Ave,03/30/2006,10800,North Bound: 5600 / South Bound: 5200,41.820171,-87.606798,"(41.820171, -87.606798)"
1165,1629 West,Warren Blvd,10/05/2e006,4500,East Bound: 4500 / / Oneway East Bound,41.882362,-45.72436100375123,"(41.882362, -87.l668041)"
418,5900 West,Diverse Ave,08/10/2006,21800,East Bound: 11000 / West Bound: 10800,41.931174,-87.77358,"(41.931174, -87.77358)"
417,5741 Wets,Grand Ave,10/23/2006,21700,East Bound: 11700 / West Bound: 10000,41.919484,-87.769758,"(41.919484, -87.769758)"
70,2950 South,Michigan Ave,03/02/2006***,13200,North Bound: 5100 / South Bound: 8100,41.839562,-60.18733312679508,"(41.839562, -87.623493)"
1226,222 West,57th St,10/04/200q6,20300,East Bound: 9800 / West Bound: 10500,61.56792374979637,-87.630684,"(41.758139, -87.630684)"
2542,2208 West,111th St,i08/22/2006,22600,East Bound: 11100 / West Bound: 11500,41.69184,-87.676796,"(41.69184, -87.676796)"
593,7d845 South,Cottage Grove Ave,10/18/2006,27300,North Bound: 13700 / South Bound 13600,41.75174,-87.605221,"(41.75174, -87.605221)"
164,1445 West,6rd Street,n03/28/2006,10800,East Bound: 5600 / West Bound: 5200,41.779519,-87.661134,"(41.779519, -87.661134)"
2942,210 South,Cqlinton St,10/02/2006,11600,South eBound: 11600/ Oneway South Bound,41.878904,-87.641098,"(41.878904, -87.641098)"
1256,2856 Eat,79th St,10/18/2006,8600,East Bound: 3800 / West Bound: 4800,41.751887,-87.554734,"41.751887, -87.554734)"
859,3501 North,Central Ave,10/262006,27200,North Bound: 14000 / South Bound: 13200,61.96930011759158,-87.766693,"(41.944d085, -87.766693)"
770,2761 North,oNarragansett Ave,10/25/2006,23700,North Bound: 11100 / South Bound: 12600,41.931002,-71.57553469426564,"(41.931002, -87.785687)"
1376,1235 West,Granville Ave,11/02/2060,6400,East Bound: 3300 / West Bound: 3100,41.994513,-87.663898,"(41.994513, -87.663898)"
511,777 West,Chicago Ave,09/19/2006,27600,East Bound: 13000 / West Bound: 14600,41.896397,-87.647745,"(41.896397, -87.647745)"
1333,290 North,Wells St,09/19/2006,12200,South Bound: 12200/ Oneway South Bound,41.886932,-87.633964,"(41.886932, -87.633964)"
876,8050 West,Forest Preserve Ave,10/25/0206,10400,East Bound: 4200 / West Bound: 6200,41.939787,-87.837966,"(41.939787, -87.837966)"
1361,140 East,South Whater Lower St,09/26/2006,10600,East Bound: 6400 / West Bound: 4200,41.88673,-87.623929,"(41.88673, -87.623929)"
749,186 North,Des Plaines St,10/02/2006***,7300,South Bound: 7300/ Oneway South Bound,41.885696,-87.644242,"(41.885696, -87.644242)"
806,1West,Grand Ave,09/21/2006,18800,West Bound: 18800/ Oneway West Bound,57.02333782647838,-87.628113,"(41.891671, -87.628113)"
2682,1350 West,Lawrence Ave,11/07/2006,20700,East Bound: 10300 / West Bound: 10400,46.89915017912561,-129.6334044612653,"(41.968951, -8.66443)"
1015,15 South,Wells St,09/19/b2006,9900,South Bound: 9900/ Oneway South Bound,41.881401,-87.633811,"(41.881401, -87.633811)"
1147,115South,Sacamento Ave,10/0f9/2006,22100,North Bound: 11200 / South Bound: 10900,41.879204,-87.701155,"(41.897204, -87.701155)"
372,1760 West,Ogden Ave,05/09/2006,20100,iEast Bound: 9700 / West Bound: 10400,41.876773,-87.671635,"(41.876773, -87.671365)"
578,158 East,170th St,08/29/2006,8000,East Bound: 3600 / West Bound: 4400,41.69994,-87.618575,"(41.69994,- 87.618575)"
175,718 West,76tlh Street,03/28/2006,15400,East Bound: 7800 / West Bound: 7600,41.756101,-59.52505706254801,"(41.756101, -87.642566)"
1321,b3018 East,95tfh St,11/14/2006,8000,East Bound: 3700 / West Bound: 4300,41.722773,-87.550305,"(41.72273, -87.550305)"
1000,5017 North,Western Ave,08/15/2006,33100,North Bound: 1730 0/ South Bound: 15800,41.972841,-87.689047,"(41.972841, -87.689047)"
2659,5205 North,Nagle Ave,08/22/2006,18300,North Bound: 9400 / South Bound: 8900,41.975916,-120.75846158379406,"(41.975916, -87.787866)"
893,6911 West,Irving Park Rd,08/24/2006,28600,East Bound: 13600 / West Bound: 15000,41.952742,-87.799221,"(41.95272, -87.799221)"
197,1428 West,87th Street,03/28/2006,31600,East Bound: 16000 / West Bound: 15600,31.611898160501,-87.659417,"(41.735844, -87.659417)"
1184,1257 West,Roosevelt Rd,0/19/2006,26800,East Bound: 1300 / West Bound: 13100,41.866958,-87.659,"(41.866958,s -87.659)"
438,3543 West,North Ave,10/18/2006,39500,East Bound: 20200 / West Bound: 19300,41.910014,-87.713878,"(41.91001, -87.713878)"
1293,3755 East,112th St,10/18/2006,6300,East Bound: 3500 / West Bound: 2800,41.69183,-87.531879,"(41.69183, -87.531879)"
967,5051 North,Broadway,08/24/2006,25000,North Bound: 13100 / South Bound: 11900,41.974157,-87.659809,"(41.974157, -87.659809)"
208,9r48 West,95th Street,03/22/2006,29100,East rBound: 14900 / West Bound: 14200,41.721409,-123.90631768732815,"(41.721409, -87.647429)"
1077,843 South,Columbus Dr,09/19/2006,37000,North Bound: 18700 / South Bound: 18300,41.87138,-87.620556,"(41.87138, -87.620556)"
1343,425 South,Wacker Dr,09/19/2006,4900,North Bound: 2400 / Suth Bound: 2500,41.876342,-87.636323,"(41.876342, -87.636323)"
1216,6231 South,Narragansett Ave,09/12/2006,10800,NorthBound: 5500 / South Bound: 5300,41.778562,-87.781296,"(41.778562, -87.781296)"
55,5848 South,Indiana Ave,03/02/2006,4400,North Bound: 4400 / / Oneway North Bound,41.787779,-87.620665,"(41.787779, -87.620665)"
844,2830 West,87th St,08/17/2006,29400,East Bound: 14800 / West Bound: 14600,34.06876044037949,-87.693452,"(41.735341, -87.693452)"
763,2235 South,Damen Ave,08/17/2006,24000,North Bound: 12900 / South Bound: 11100,41.851171,-87.675811,"(41.851171, -87.675811)"
908,4850 West,Peterson Ave,09/21/2006,42800,East Bound: 21200 / West Bound: 21600,41.990126,-87.750526,"(41.990126, -87.750526)"
2946,1420 West,Pratt Blvd,08/23/2006,7100,East Bound: 3900 / West Bound: 3200,61.61787189280599,-87.666635,"(42.00544, -87.666635)"
29,3360 South,Damen Ave,03/01/2006,7000,North Bound: 3200 / Soutqh Bound: 3800,41.827625,-87.675208,"(41.827625, -87.s675208)"
1046,335 West,59th St,09/20/2006,16800,East Bound: 8000 / West Bound: 8800,41.787212,-87.634206,"(41.787212, -87.364206)"
953,1256 West,Addison Ave,08/15/2006,19800,East Bound: 10100 / West Bound: 9700,36.07015199012914,-87.661464,"(41.947109, -87.661464)"
1126,624 South,Michigan Ave,09/26/2006,33100,North Bound: 16400 / South Bound: 16700,41.873905,-87.624218,"(41.873905, -87.624218)"
317,575 est,26T ST,03/28/2006,6900,East Bound: 2500 / West Bound: 440,41.845391,-87.641581,"(41.845391, -87.641581)"
330,1650 East,Midway Plaisance,03/28/2006,13400,East Bound: 7600 / West Bound: 5800,41.786166,-87.584966,"(41.786166, -87.584966)"
350,2010 South,Calumet Ave,10/17/2006,2400,North Bound: 1700 / South Bound: 700,41.855226,-87.619095,"(41.855226, -87.619095)"
608,3835 South,amen Ave,08/17/2006,25800,North Bound: 12200 / Souht Bound: 13600,41.82387,-87.675108,"(41.82387, -87.675108)"
472,3908 West,Marquette St,08/22/2006***,18000,East Bound: 8300 / West Bound: 9700,41.771406,-87.720493,"(41.771406, -87.720493)"
45,7952 South,Exchange Ave,03/07/2006,7400,North Bound: 3500 / SouthBound: 3900,41.7504,-87.5528,"(41.750h4, -87.5528)"
1366,6350 South,Cornell Dr,08/24/2006,47900,North Bound: 25800 / South Bound: 22100,41.778752,-87.585085,"(41.778752, -87.585085)"
1328,333 North,Wabash Ave,09/19/006,10400,North Bound: 2500 / South Bound: 7900,56.50085819714306,-87.626842,"(418.88062, -87.626842)"
31,4936 South,Dmaen Ave,03/09/2060,10900,Nroth Bound: 5900 / South Bound: 5000,41.803741,-87.674569,"(41.803741, -87.674569)"
1355,430 South,Michigan Ave,10/31/20l06,33500,North Bound: 17200 / South Bound: 16300,41.876241,-87.624273,"(41.876241, -h87.624273)"
698,249 Souht,Columbus Dr,11/07/2006,30100,oNrth Bound: 13900 / South Bound: 16200,41.878842,-87.620705,"(41.878842, -87.620705)"
285,261 East,59th St,0c3/28/2006,6500,East Bound: 3400 / West Bound: 3100,41.78747,-87.619044,"(41.78747, -87.619044)"
422,3220 East,134th St,08/31/2006,4700,East Bound: 2500 / West Bound: 2200,41.651861,-87.54501,"(41.651861, -87.54501)"
66,2350 South,Dr Martin Luther King Jr Dr,05/02/0206,18100,North Bound: 10700 / South Bound: 7400,41.849344,-87.618459,"(41.849344, -87.618459)"
1138,346 Stouth,PulaskiRd,10/04/2006,23800,North Bound: 12200 / South Bound: 11600,41.875691,-87.725497,"(41.875691, -87.725497)"
779,5543 North,Lincoln Aev,08/16/2006,24400,North Bound: 12000 / South Bound: 12400,41.982351,-87.693821,"(41.982351, -87.693821)"
18,6533 South,Cottage Grove Ave,03/01/2006,19100,North Bund: 9800 / South Bound: 9300,41.775779,-87.605826,"(41.775779, -87.605826)"
613,2130 South,Marshall Blvd,09/14/2006,63056,North Bound: 8600 / South Bound: 10200,39.05575885702356,-87.04425546936432,"(4.852795, -87.699117)"
2798,1222 West,95th Street,03/28/2006,32900,East Bound: 17200 / West Bound: 15700,41.721324,-87.653942,"(41.721324, -87.653942)"
774,3531 North,Brohadway,10/16/2006,14700,North Bound: 6200 / South Bound: 8500,49.63338230375359,-87.646666,"(41.946355, -87.646666)"
847,1420 West,Madison St,10/12/2006,12400,East Bound: 5300 / West Bound: 7100,61.31094077765239,-87.66285,"(41.881522, -87.66285)"
404,2125 North,Cicero Ave,10/1/62006,39900,North Bound: 18800 / South Bound: 21100,41.919517,-87.746187,"(41.919517, -87.746187)"
543,239 Sokuth,Dearborn St,90/20/2006,17900,North Bound: 17900 / / Oneway North Bound,41.878484,-87.629312,"4(1.878484, -87.629312)"
130,721 South,Western Ave,03/22/2006,29500,North Bound: 14900 / South Bound: 14600,41.872427,-80.85012609882183,"(41.872427, -87.686197)"
1365,7139 South,Stony Island Ave,08/24/2006,81100,North Bound: 46300 / South Bound: 34800,41.764923,-87.585887,"(41.764923, -87.585887)"
631,2427 North,Kdezie Ave,10/09/2006,17400,North Bound: 8500 / South Bound: 8900,45.810691691532185,-87.707248,"(41.92573, -87.707248)"
664,3620 North,Lake Shore Inner Dr,09/18/2006,18900,North Bound: 6100 / South Bound: 12800,41.949054,-87.643703,"(41.949054, -87.643703)"
905,2228 North,Narragansett Ave,10/25/2006,60249,North Bound: 8500 / South Bound: 7700,41.920893,-53.0745150027719,"(41.920893, -87.785358)"
987,4322 North,Lincoln Ave,09/18/2006,14100,North Bouqnd: 7100 / South Bound: 7000,41.960186,-87.68299,"(41.960186, -87.68299)"
753,9761 South,ottage Grove Ave,10v/04/2006,14000,North Bound: 7400 / South Bound: 6600,41.716726,-87.604408,"(41.716726, -87.604408)"
810,408 Suth,Clark St,09/20/2006,63035,South Bound: 13000/ Oneway South Bound,41.876698,-87.630742,"(41.876698, -87.630742)"
864,5050 Notrh,Cicero Ave,08/08/2006,25900,North Bound: 12700 / South Bound: 13200,41.972925,-87.747914,"(41.972925, -87.747914)"
2417,8216 Soukth,Stony Island Ave,04/04/2007,61695,North Bound: 32800 / South Bound: 28800,33.18688006786744,-87.585819,"(41.45515, -87.585819)"
376,742 West,Root St,05/09/006,3200,East Bound: 1400 / West Bound: 1800,41.818962,-87.645802,"(41.818962, -87.645802)"
1004,1031 South,Austin Ave,10/26/2006,26100,North Bound: 12800 / South Bound: 13300,41.868169,-87.774229,"(41.868169, -87.774229)"
389,11600 South,Halsted St,08/31/2006,30300,North Bound: 16100 / South Bound: 14200,41.682968,-87.642082,"(41.682968, -87.642082)"
1287,12535 South,Halsted St,11/08/2006,23600,North Bound: 12500 / South Bound: 11100,41.665826,-76.31862360919509,"(41.665826, -87.641508)"
220,7141 South,Chicago Ave,03/28/2006,19100,North Bound: h10000 / South Bound: 9100,41.764998,-102.99888575183904,"(41.764998, -87.60436)"
1142,225 Wset,Randolph St,09/19/2006,18500,West Bound: 18500/ Oneway West Boun d,41.884466,-87.634637,"(41.884466, -87.634637)"
1221,3636 eSouth,Western Ave,10/26/2006,32200,North Bound: 15600 / South Bound: 16060,41.827315,-87.684942,"(41.827315, -87.684942)"
1020,1314 West,18th St,10/16/2006,9500,East Bound: 5000 / West Bound: 4500,41.857903,-87.659605,"(41.857903, -87.659605)"
582,11810 South,Western Ave,08/22/2006,23600,North Bound: 11300 / Soutch Bound: 12300,56.20085496956313,-87.680741,"(41.678624, -87.680741)"
498,3n50 East,Jackson Dr,09/b28/2006,17600,East Bound: 8900 / West Bound: 8700,41.878356,-87.618837,"(41.878356, -7.618837)"
179,2830 West,79th Street,03/28/2006,33300,East Bound: 20600 / Wes tBound: 12700,47.41293166955419,-87.695059,"(41.749936, -87.695059)"
879,6058 West,Foster Ave,10/11/2006,17300,East Bound: 9100 / West Bound: 8200,41.975664,-87.78048,"(41.975664, -87.78048)"
971,3137 North,Dammen Ave,08/16/2006,19200,North Bound: 10100 / South Bound: 9100,41.938823,-127.16739926368616,"(41.938823, -87.678334)"
602,413 South,Kedzie Ave,08/10/2006,24300,North Bound: 12500 / South Bound: 11800,41.794916,-87.703597,"(41.794916, -87.703597)"
3055,5232 North,Western Ave,08/15/2006,34600,North Bound: 17000 / South Bound: 17600,41.976829,-87.689187,"(41.976829, -87.689187)"
921,2737 West,Belmont Aev,10/16/2006,23800,East Bound: 11900 / West Bound: 11900,24.92232936872087,-87.696701,"(41.939398, -87.696701)"
1175,2222 South,Halsted St,10/f24/2006,21900,North Bound: 10800 / South Bound: 11100,41.851922,-112.3938017667453,"(41.851f922, -87.646473)"
212,1057 East,95th Street,03/22/2006,22000,East Bound: k11500 / West Bound: 10500,58.164768798390114,-87.597339,"(41.722153, -87.597339)"
2893,19i59 South,Damen Ave,03/02/2006,15300,North Bound: 7700 / South Bound: 7600,62.080428950316666,-87.67592,"(41.854926, -87.67592)"
1236,3210 South,Halsted St,10/26/2006,17600,North Bound: 920 0/ South Bound: 8400,41.836075,-87.646231,"(41.836075, -87.646231)"
1347,475 South,Financial PL,09/21/2006,2800,North Bound: 2200 / South Bound: 600,41.87559,-87.633082,"(4.87559, -87.633082)"
457,1649 West,Foster Ave,08/22/2006,25600,East Bound: 11600 / West Bound: 14000,41.976144,-87.671622,"(41.976144, -87.671622)"
938,4875 North,Kedzie Ave,08/16/2006,14300,North Bound: 7300 / South Bound: 7000,41.970273,-87.708529,"(41.970273, -87n.708529)"
60,7335 South,Jeffrey Blvd,05/04/2p006,24300,North Bound: 11200 / South Bound: 13100,41.761454,-87.576196,"(41.761454, -87.576196)"
1042,310 West,31st St,10/19/2006,14300,East Bound: 6900 / West Bound: 7400,43.1878022993359,-86.8493055319017,"(41.838197, -87.634579)"
111,1515 South,Clark St,03/22/2006,23000,North Bound: 12700 / South Bond: 10300,41.861478,-87.630255,"(41.861478, -87.630255)"
651,3647 North,Oak Park Ave,10/25/2006,18800,North Bound: 9600 / South Bound: 9200,41.946811,-126.2248842629604,"(41.946811, -87.796043)"
