namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
4525 Dryades St,4525 Dryades St,Short Term Rental Commercial Owner,2.0,12.959818566242369,11/22/2022 1t1:59:59 PM,"(29.9295658135833, -90.1043947464636)",3670098.84,521965.74
1572 Magazine St Apt D,1572 Magazzine St Apt D,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3680130.36,523224.9
1572 Muagazine St Apt E,1572 Magazine St Apt E,Short Term Rental Commrecial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3680135.08,523224.35
2247 St Claude Ave,2247 St Claude Ave,Short Term Rental Commercial Owner,3.0,6.0,03/23/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3685510.89,536451.94
1572 Magazine St Apt B,1572 Magazine St Apt B,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3680117.58,523227.4
1u572 Magazine St Apt F,1572 Magazine St Apt F,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3680141.74,314876.63323589973
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,-5.219060446599935,03/23/2023 11:59:a59 PM,"(29.9409105746801, -90.0673505685156)",3681786.51,526218.84
1572 Magazine St Apt G,1572 Mgaazine St Apt G,Short Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3680149.24,523221.01
4703 Freret St,4703 Freret St,Short Term Rental Commercial Owner,2.0,12.56138100700801,11/23/2022 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3669367.6,523960.94
737 Eleonore St,737 Eleonore St,Short Term Rental Commercial Owner,5.0,10.0,01/11/2032 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3665250.75,519020.47
1524 Baronne St Apt 3B,1524 Baronne St Apt 3B,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3678401.49,525780.5
855 Baronne St Unit 5D,855 Baronne St Unit 5D,Short Term Rental Commercial Owner,3.0,12.353696937473098,01/10/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3679403.23,495332.7909205966
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3684295.51,535783.16
2000 Burgundy St Ste 301,2000 Burgundy St Ste 301,Short Term Rental Commercial Owner,6.627770668809677,-4.626241105338988,01/11/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3684320.46,535470.7
719 France St,719 France St,Short Term Rental Residential Owner,2.0,4.0,02/15/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3692081.83,533812.47
1218 Joliet St,1218 Joliet St,Short Term Rental Residential Owner,2.0,4.0,02/13/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3660990.06,529482.76
1724 Louisiana Ave Apt 1A,1724L ouisiana Ave Apt 1A,Short Term Rental Commercial Oner,3.0,6.0,03/22/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3673894.94,522097.19
1916 Washivngton Ave,1916 Washington Ave,Short Temr Rental Residential Owner,2.0,17.837751620635625,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3675202.11,523548.49
600 Canal St Apt 505,600 Canal St Apt 505,Short TermR ental Commercial Owner,1.0,2.0,07/13/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3681356.19,530414.64
2014 St Philip St,2014 St Philip St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3679457.43,536214.86
161r7 Arts St,1617 Arts St,Short Term Rental Residentia Owner,2.0,4.0,05/02/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3687083.91,538480.01
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4.0,-5.234761329573097,1/011/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3678656.96,521750.38
639 S Tonti tS,639 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3675025.57,532515.06
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Term Rental Commercial Owner,2.0,4.0,10/10/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3679422.17,527962.2
1572 Magazine St Apt C,1572 Magzine St Apt C,Short Term Rental Commerwcial Owner,2.0,16.56058730615566,11/23/2022 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3680123.41,523225.73
1002 VerretSt,1002 Verret St,Short Term Rental Commercial Owner,1.0,2.0,11/22/2022 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3687264.34,527910.06
1572 Magazine St Apt A,1572 Magazine St Apt A,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3680110.08,523229.07
"1505 Robert C Blakes, SR Dr","1505 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3678744.34,525748.2
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4.0,8.0,08/03/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679476.18,542841.14
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2.0,13.04161916880956,10/05/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3678947.49,525872.33
635 S Tonti St,635 S Tonti St,Short erm Rental Commercial Owner,5.0,-5.316855554420549,08/03/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3675037.53,532533.74
1524 Baronne St Apt 3A,1524 Baronne St Apt 3A,Short Term Rental Commercial Owner,5.0,10.0,01/11/0223 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3678390.96,525787.83
QUALITY INN,01020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",-1.0,-1.0
2101 Josephine St,211 Josephine St,Short Term Rental Residential Owner,3.0,6.0,06/06/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3676768.74,525485.62
1300 Socrates St,1300 Socrates Snt,Short Term Rental Residential Owner,3.0,6.0,07/31/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3689418.1,526419.91
1831 Hastings Pl,1831 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3679891.36,522748.95
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Bvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 MP,"(29.938697391877, -90.0808102249235)",3677532.63,525367.2
623 S Lopez St,623 S LopezSt,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3672406.33,534472.42
2507 Bell St,2507 Bell St,Short Term Rental Commercial Owner,3.0,-5.246360155742616,11/30/2022 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3678603.76,784302.5871241705
114 Atlantic Ave,114 Atlatnic Ave,Short Term Rental Commercial Owner,4.0,8.0,01/10/2023 11:5:59 PM,"(29.9314269620729, -90.0734543476571)",3688910.48,531135.76
4849 Tchoupitoulas St,4849 Tchouitoulas St,Short Ter mRental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3669278.21,650132.0055389411
645 S Dupre St,645 S Dupre St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3673191.79,533932.4
2000 Burgundy St Ste 202,2000 Burgundy St Ste 202,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3684319.96,535478.57
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.9410719890831, -90.1038509996286)",3670226.17,526151.66
643 SD upre St,643 S Dupre St,Short Term Rentgal Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3673196.27,533940.02
722 S Lopez St,7s22 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,2/16/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3672266.99,534026.82
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3.0,-5.324469626739173,03/21/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3667719.41,538973.97
2317 Gravier St,2317 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:595:9 PM,"(29.9327267848643, -90.0726684417138)",3675429.0,532659.92
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(29.9684668112717, -90.074357136476)",3662525.42,529231.42
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1.0,2.0,01/11/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3684880.07,535786.65
1524 Baronne St Apt 2B,1524 Baronne St Apt 2B,Short Term Rental Commercial Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3678381.34,525793.32
"1817 Martin Luther King, Jr Blvd","1817 Martin Luther King, Jr Blvd",Shor tTerm Rental Commercial Owner,2.0,-4.64496376397906,01/12/2023 11:59:59 PM,"(29.9408289824332, -90.0783152735474)",3678314.31,526150.97
3102 Esplanade Ave,312 Esplanade Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.979445631573, -90.0835752864682)",3676495.3,540175.23
211 PelicanA ve,211 Pelican Ave,Short Term Rental Residential Owner,2.0,4.0,03/01m/2023 12:00:00 AM,"(29.9513745008304, -90.0538897261756)",3686007.07,530071.25
724 S Lpez St,724 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/2022 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3672262.96,534018.11
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercial Owner,2.0,4.0,10/12/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3687247.45,537399.31
619 Frankln Ave,619 Franklin Ave,Short Term Rental Residential Owner,1.0,12.400068944782864,08/01/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3686733.42,534777.12
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3675075.74,532583.97
1604 Prytaina St,1604 Prytania St,Short Term Rental Commercial Oner,5.0,10.0,03/21/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short mTerm Rental Commercial Owner,1.0,2.0,03/20/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3679312.24,672251.0858100159
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3677859.25,565971.9118653685
838 Valence St,838 Valence St,Short Term Rental Commercial Owner,1.0,2.0,08/04/2023 11:59:9 PM,"(29.9606030466068, -90.0892656704537)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2.0,4.0,08/03/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3677563.97,525422.92
1027 Delachaise St,102u7 Delachaise St,Short Term Rental Commercial Owner,2.0,4.0,08/04/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3674767.44,519359.77
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1.0,2.0,07/22/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3679906.11,526431.88
1309 St Anthony ySt,1309 St Anthony St,Short Term Rental Residential Owner,1.0,-4.937825502523207,07/28/2023 11:59:59 PM,"(29.9695456048789, -90.0615639211484)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1.0,-5.399848256943528,07/31/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3664900.49,528470.17
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4.0,-4.959418943528146,10/10/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679444.05,559768.2282423142
4853 Tchoupitoulas St,4853 Tcuhoupitoulas St,Short Trm Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3669248.74,517289.84
1018 Third St,1018 Third St,Short Term Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3677647.04,520955.37
2427 Iberville St,2427 Iberville St,Short Term Rental Residential Owner,2.0,16.261942699719203,07/31/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3676508.23,805064.9636340466
5444 Durham Dr,444 Durham Dr,Short Term Rental Residential Onwer,5.0,13.546127082049926,05/16/2023 11:59:59P M,"(29.920072176059, -89.9966939616468)",3704251.78,518895.44
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2.0,4.0,08/18/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3683423.81,542693.98
829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2.0,4.0,08/01/2023 11:59:59 PM,"(29.9684668112717, -90.074357136476)",3691967.42,538302.37
643 S Tonti St,643 S Tonti St,Short Tenrm Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3675005.04,532491.49
113 S Salcedo St,113 S Sacledo St,Short Term Rental Residential Owner,1.0,2.0,08/02/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3673937.69,745742.6120466529
2319 Gravier St,2319 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3675418.17,532667.83
849 Alvar St,849 Alvar St,Short Term Rental Commercial Owner,5.0,10.0,11/29/2022 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3691322.58,534547.15
855 Baronne St Unit 4D,855 Baronne St Unit 4D,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3679399.13,527758.29
1383 Hastings Pl,1833 Hastings Pl,Short Term Rental Commercial Owner,2.0,-4.145835662140907,01/12/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3679886.15,522743.74
4100 St Peter St Apt 2B,4100 St Peter St Apt 2B,Short Term Rental Commercial Owner,1.0,15.376815371965158,01/09/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3672431.57,539994.23
1524 Baronne St Apt 1A,1524 Baronne St Apt 1A,Short Term Rental Commercial Owner,4.0,16.293938512605255,01/11/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3678363.03,525808.29
1330 Prytania St Apt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3679891.08,577426.667938331
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 PM,"(29.9513745008304, -90.0538897261756)",3677548.57,577713.2557322084
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3.0,4.0,08/04/2023 11:59:59 M,"(29.9605816137577, -90.0892762017721)",3672721.49,354665.5533135462
1438 N Claiborne Ave,1438 N Claiborne Ave,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9699320369842, -90.0676573264579)",3681572.79,536771.04
1040 Marigny St,1040 Marigny St,Shor Term Rental Commercial Owner,3.0,6.0,01/07/2023 11:59:59 PM,"(29.9684668112717, -90.074357136476)",3685383.86,536236.04
1515 Calliope St Apt 201,1515 Calliope rSt Apt 201,Short Term Rental Commercial Owner,3.0,15.704757490815169,10/07/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3680246.54,526589.76
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,1.0,2.0,10/11/202 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3680375.08,529906.15
1324 Clouet St,1324 Clouet St,Short Term Rental Residential Owner,2.0,4.0,08/30/2023 02:31:01 PM,"(29.9580154964913, -90.0871467011987)",3689201.81,536927.68
1524 Baronne St Apt 2C,1524 Baronne St Apt 2C,Short Term Rental Commercimal Owner,3.0,14.746879883366734,01/11/2023 11:59:59 PM***,"(29.935070719781, -90.1066658406292)",3678386.71,525790.11
4025 Pitt St,4025 Pitt St,Short Term Rental Residential Owner,1.0,2.0,10/18/2023 01:11:27 PM,"(29.9663236986569, -90.0626983550869)",3672101.62,520726.72
1524 Baronne St Apt 2A,1524 Baronne St Apt 2A,Short Term Rental Commercial Owner,4.0,16.80100894478059,01/11/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3678373.56,525799.73
3109 Lafite Ave,3109 Lafitte Ave,Short Term Rental Commercial Owner,3.0,17.95819144777329,12/17/2022 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3674914.97,537403.64
6399 West End Blvd,6399 Westf End Blvd,Short Term Rdental Residential Owner,3.0,6.0,10/11/2023 12:37:11 PM,"(30.0076810893974, -90.1142226970163)",3666683.74,550338.26
4100 St Peter St Apt 2A,4100 St Peter St Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9790585780278, -90.0963903685695)",3672439.84,539990.46
2138 Farragut St,2138 Farragut St,Short Term Rental Residential Owner,2.0,4.0,0u3/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3692244.79,523097.06
621 S Lopez St,621 S Lopez St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3672413.01,534482.27
2221 Dleachaise St,2221 Delachaise St,Short Term Rental Residential Owner,2.0,4.0,02/16/2023 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3672970.03,523559.09
209 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental Rbesidential Owner,2.0,4.0,10/09/2023 10:59:09 AM,"(29.9453933043394, -90.049996322177)",3684833.36,539731.12
68 Baronne St Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,11/13/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3679834.0,801313.8808040451
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Shotr Term Rental Commercial Owner,4.0,15.684752783689405,03/21/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3670893.28,517466.12
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,6.262956398653891,4.0,03/22/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3686323.7,531219.56
1920 Elysian Fields Ave,1920 Elysian Fields Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9771241994762, -90.0578615108104)",3684645.11,539420.77
CASA PELICAN LLC,712 PELICoAN ST,4703 -BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9314269620729, -90.0734543476571)",-1.0,-1.0
4108 Laurel St,4108 Laure St,Short Term Rental Residential Owner,3.0,6.0,08/01/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3672133.8,518111.99
334 Carondelet St Unit 20v4,334 Carondelet St Unit 204,Short Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3680492.28,401999.6453023386
1666 N Claiborne Ave,1666 N Claiborne Ave,Short Term Rental Commercial Owner,6.593713494213178,8.0,11/14/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3682754.68,403012.2258883205
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3669262.8,517292.28
1429 N ClaiborneA ve Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2.0,13.012872865277185,11/15/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3681257.22,536907.97
301 Magazine St Apt 201,301 Magazine St Apt 201,Short Term Rental Commercial Owner,2.0,17.986938519823717,11/17/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3681589.71,529678.84
1316 Frenchmen St,1316 Frenchmen St,Short Term Rental Residential Owner,6.344099120653216,2.0,11/14/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3684490.12,537163.28
2036 Magazine St Apt 2,2036 Magazine St Apt 2,Short Term Rental Commercial Owner,3.0,-4.550117435715444,30/20/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679317.71,522372.05
2709 Dryades St,2709 Dryades St,Short Term Rental Residential Owner,4.0,8.0,07/24/2023 08:26:51 AM,"(29.9409105746801, -90.0673505685156)",3675484.38,523586.73
2363 N Vilere St,2363 N Villere St,Short Term Rental Residential Owner,1.0,2.0,10/25/2023 03:53:59 PM,"(29.9719262377724, -90.0529637740574)",3686216.78,537547.89
3125 Toulouse St,3125T oulouse St,Short Term Rental Residential Ower,2.0,17.230789310928238,10/23/2023 08:40:42 AM,"(29.979445631573, -90.0835752864682)",3675028.48,353293.0300839074
6212 Spain St,6212 Spain St,Short Term Rental Residential Owner,1.0,2.0,11/17/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3684504.04,556022.65
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",1848025.1692090544,529222.91
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,-5.227987101185757,03/24/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3669233.77,517289.19
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3684783.85,534209.51
4110 Piedmont Dr,4110 Piedmont Dr,Short Trem Rental Residential Owner,1.0,2.0,05/04/2023 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3684953.73,547746.28
3927 Eagle St,3927 Eagle St,Short Term Rntal Residential Owner,1.0,2.0,06/29/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3666816.03,537321.59
529 Third St,529 Third St,Short Term Rental Commercial Owner,5.0,10.0,1104/2022 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3678717.39,519530.92
3412 Prytania St,3412 Prytania St,Short Term Rental ommercial Owner,4.0,8.0,05/04/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3674293.76,520937.9
2260 St Claude Ave,2260 St Cluade Ave,Short Term Rental Commercial Owner,5.0,-5.734702662137065,05/04/2023 11:59:59 PM,"(30.0076810893974, -90.1142226970163)",3685600.9,536320.38
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1.0,12.403498527552976,04/29/2032 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3686967.09,534450.38
134t5 Franklin Ave,345 Franklin Ave,Short Term Rental Commercial Owner,3.0,6.0,05/04/2023 11:59:59 PM,"(29.9718178231718, -90.0491496120162)",3687424.79,537521.98
504 David St,504 David St,ShortTerm Rental Commercial Owner,5.0,10.0,04/06/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3671898.56,539691.96
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3684783.85,534209.51
428 Opelousas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2.0,4.0,05/04/2023 11:59:59 PM,"(29.9410719890831, -90.1038509996286)",3686831.51,614107.0236323269
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3686287.25,553953.02
503 N Salcedo St,503 N Salcedo St,Short Term Rental Commercial Owner,3.0,6.0,01/15/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3679427.22,521541.52
2224 Marais St Apt1 A,2224 Marais St Apt 1A,Shoart Term Rental Residential Owner,2.0,4.0,07/18/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3685271.62,536652.74
135 N Clark St,135 N ClarkS t,Short Term Rental Commercial Owner,6.139769777494817,6.0,06/30/2023 11:59:59 PM,"(29.9327267848643, -90.0726684417138)",3673053.1,537318.3
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3.0,6.0,05/11/2023v 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3679870.04,528679.79
