OBJECTID,DISTRICT,ParkID,Name,Address,County,ParkType,Zip,Owner,PublicPrivate,Acreage,PerviousSurf,WEBSITE,PHOTO,HOURS,ACCESSIBLERESTROOMS,ALCOHOLALLOWED,CLASSIFICATION,OperatedBy,PlanningType,GlobalID,AssetID,created_user,created_date,last_edited_user,last_edited_date,ShortLabel,ShapeSTArea,ShapeSTLength
11,4,P414,LYON PARK,600 S PHILLIPS AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,2.30790877,,https://siouxfalls.org/parks/parks/locations/lyon,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/lyonmainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Downtown,,{FE27C12C-DBFC-4338-8D47-AE05A636C6E6},{FE27C12C-DBFC-4338-8D47-AE05A636C6E6},,,C6776,2022/12/05 17:23:00+00,LYON,100532.10390468,1599.29974518566
12,3,P211,MENLO PARK,1200 S MENLO AVE,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,1.63559001,,https://siouxfalls.org/parks/parks/locations/menlo,https://gis.siouxfalls.org/data/ActivitiesPhotos/communitycenter/menlomainview.jpg,5am-10pm,No,,Neighborhood,Parks Field User Sertoma,,{B6360617-1D58-4C4B-A3DC-B147995741F7},{B6360617-1D58-4C4B-A3DC-B147995741F7},,,C6776,2022/12/05 17:23:42+00,MENLO,71246.0159326831,1067.6923507503
13,3,P309,MCKENNAN PARK,400 E 26TH ST,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,19.50664249,,https://siouxfalls.org/parks/parks/locations/mckennan,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/mckennanfrontview.jpg,5am-10pm,Yes,,Regional,Parks Field User McKennan_Tuthill,,{E1E577CB-CDB5-452B-A19E-62AD9490E723},{E1E577CB-CDB5-452B-A19E-62AD9490E723},,,C6776,2022/12/05 17:23:37+00,MCKENNAN,849705.948007568,4063.32710340693
14,3,P325,SPELLERBERG PARK,1601 S WESTERN AVE,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,16.41610801,,https://siouxfalls.org/parks/parks/locations/spellerberg,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/spellerbergfrontview.jpg,5am-10pm,,,Community,Parks Field User Spellerberg,,{51949AF8-3A19-4D5F-B889-8D580C7B4A86},{51949AF8-3A19-4D5F-B889-8D580C7B4A86},,,C6776,2022/12/05 17:25:41+00,SPELLERBERG,715082.804617289,4804.53013884094
15,3,P301,CAMPUS PARK,1700 S SUMMIT AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,1.61386456,,https://siouxfalls.org/parks/parks/locations/campus,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/campusmainview.jpg,5am-10pm,,Yes,Neighborhood,Parks Field User Sertoma,,{E597CDA5-4DEA-49C3-AC53-FAF88CCC0D55},{E597CDA5-4DEA-49C3-AC53-FAF88CCC0D55},,,C6776,2022/12/05 17:20:16+00,CAMPUS,70299.659047201,1060.59960500554
16,5,P511,NORLIN GREENWAY,2201 S SOUTHEASTERN AVE,Minnehaha,GREENWAY,57103,CITY OF SIOUX FALLS,Public,48.42230436,,https://siouxfalls.org/parks/parks/locations/norlin-greenway,,5am-10pm,,,Greenway,Parks Field User Pasley,,{74D2D321-2AE3-4CBD-BD36-D300E7952038},{74D2D321-2AE3-4CBD-BD36-D300E7952038},,,C6776,2022/12/05 17:24:20+00,NORLIN,2109267.14071574,12958.4983216118
17,99,P901,LEIF ERICKSON,2201 E 26TH ST,Minnehaha,OTHER,57103,YMCA,Private,57.65780602,,https://www.siouxfallsymca.org/ymca-camp-leif-ericson/leif-ericson-day-camp,,,,,Greenway,,,{7CC959B5-5D33-41FF-8A84-F10E3B3A2435},{7CC959B5-5D33-41FF-8A84-F10E3B3A2435},,,C6776,2022/12/05 17:22:49+00,LEIF ERICKSON,2511563.9840865,13416.3363014794
18,5,P517,TOWN ONE PARK,2900 E BRADSTAD DR,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,4.70343471,,https://siouxfalls.org/parks/parks/locations/town-one,,5am-10pm,,,Neighborhood,Parks Field User Arrowhead,,{08E0ED0A-A3F7-4085-89A1-BD2895B74670},{08E0ED0A-A3F7-4085-89A1-BD2895B74670},,,C6776,2022/12/05 17:25:56+00,TOWN ONE,204880.796346345,4916.3273649542
20,5,P512,PASLEY PARK,2521 S SOUTHEASTERN AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,51.69401818,,https://siouxfalls.org/parks/parks/locations/pasley,,5am-10pm,,,Regional,Parks Field User Pasley,,{5FCC567B-7313-46FD-94A7-AE8F86905E9C},{5FCC567B-7313-46FD-94A7-AE8F86905E9C},,,C6776,2022/12/05 17:24:33+00,PASLEY,2251782.42487387,6893.26259489218
21,3,P306,JEFFERSON PARK,2301 W 39TH ST,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,3.9376822,,https://siouxfalls.org/parks/parks/locations/jefferson,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/jeffersonmainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User Sertoma,,{F3DDCB94-D56F-4813-AF7F-A4B74CB3AD86},{F3DDCB94-D56F-4813-AF7F-A4B74CB3AD86},,,C6776,2022/12/05 17:21:57+00,JEFFERSON,171524.75059396,1763.29920906134
22,3,P319,TUTHILL PARK,3500 S CLIFF AVE,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,93.84231041,,https://siouxfalls.org/parks/parks/locations/tuthill,,5am-10pm,,,Regional,Parks Field User McKennan_Tuthill,,{963A3990-C7DC-4F69-A618-D22DD5469A8B},{963A3990-C7DC-4F69-A618-D22DD5469A8B},,,C6776,2022/12/05 17:25:58+00,TUTHILL,4087754.69048362,9452.12465313298
23,3,P317,SPENCER PARK,3501 S CLIFF AVE,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,85.82916134,,https://siouxfalls.org/parks/parks/locations/spencer,,5am-10pm,,,Community,Parks Field User Yankton Trail,,{5588B15D-70B6-45F0-921B-AD4566D0511C},{5588B15D-70B6-45F0-921B-AD4566D0511C},,,C6776,2022/12/05 17:25:43+00,SPENCER,3738703.31332912,13203.7282648893
24,3,P312,OXBOW GREENWAY,3501 S KIWANIS AVE,Minnehaha,NATURE AREA,57105,CITY OF SIOUX FALLS,Public,66.6019953,,https://siouxfalls.org/parks/parks/locations/oxbow,,5am-10pm,,,Greenway,Parks Field User Sertoma,,{76EB1882-0CFE-4D1D-B85F-C200870C6E3F},{76EB1882-0CFE-4D1D-B85F-C200870C6E3F},,,C6776,2022/12/05 17:24:28+00,OXBOW,2901171.3104557,8732.90246255287
25,5,P508,LIONS CENTENNIAL PARK,2701 E MARSON DR,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,13.56715094,,https://siouxfalls.org/parks/parks/locations/lions-centennial,,5am-10pm,,,Community,Parks Field User Pasley,,{A14E4363-4245-430D-A34C-78E061D20EDB},{A14E4363-4245-430D-A34C-78E061D20EDB},,,C6776,2022/12/05 17:22:58+00,LIONS CENTENNIAL,590982.730947361,3428.55372537604
26,3,P318,TOMAR PARK,100 W TWIN OAKS RD,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,52.36207938,,https://siouxfalls.org/parks/parks/locations/tomar,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/tomarmainview.jpg,5am-10pm,Yes,,Community,Parks Field User Yankton Trail,,{772EE1E7-11DB-4300-B1DA-AD39A8CBA8C7},{772EE1E7-11DB-4300-B1DA-AD39A8CBA8C7},,,C6776,2022/12/05 17:25:52+00,TOMAR,2280883.05434724,6897.83011916513
27,3,P308,MARION PARK,5330 W 45TH ST,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,3.718944,,https://siouxfalls.org/parks/parks/locations/marion,,5am-10pm,,,Neighborhood,Parks Field User Kuehn,,{66EE071E-8B03-4859-AA8C-D52F31F2D357},{66EE071E-8B03-4859-AA8C-D52F31F2D357},,,C6776,2022/12/05 17:23:20+00,MARION,161996.552644354,1834.05175998424
28,3,P323,Maintenance Shop & Administration,2401 W 49TH ST,Minnehaha,ADMINISTRATION,57106,CITY OF SIOUX FALLS,Public,7.19739011,,,,,,,Special Use,,,{A29AC76A-18B7-4E0C-9310-AA3C20F6E35C},{A29AC76A-18B7-4E0C-9310-AA3C20F6E35C},,,city\svcvwgis,2023/02/16 15:47:10+00,,313517.058913454,2438.13721149053
29,3,P315,SERTOMA PARK,4300 S OXBOW AVE,Minnehaha,PARK,57106,CITY OF SIOUX FALLS,Public,105.47592474,,https://siouxfalls.org/parks/parks/locations/sertoma,,5am-10pm,,,Regional,Parks Field User Sertoma,,{278F2714-D59E-4BBD-93EE-FFF0D22836CD},{278F2714-D59E-4BBD-93EE-FFF0D22836CD},,,C6776,2022/12/05 17:25:24+00,SERTOMA,4594512.90377358,9336.69638838703
30,3,P310,MEMORIAL PARK,1511 S SERTOMA AVE,Minnehaha,PARK,57106,"CITY OF SIOUX FALLS, SIOUX FALLS SCHOOL DISTRICT",Public,19.16242868,,https://siouxfalls.org/parks/parks/locations/memorial,,5am-10pm,,,Community,Parks Field User Kuehn,,{3EBAEC1A-2964-491D-BA0C-206FC821B9E7},{3EBAEC1A-2964-491D-BA0C-206FC821B9E7},,,C6776,2022/12/05 17:23:40+00,MEMORIAL,834712.05423154,4903.80673427717
31,4,P426,WINONA PARK,1501 E 4TH ST,Minnehaha,SITE,57103,CITY OF SIOUX FALLS,Public,0.20895696,,https://siouxfalls.org/parks/parks/locations/winona,,,,,Urban Plaza,Parks Field User Nelson,,{EAD0A996-1476-4CE0-AEE3-AA8BF9F240FD},{EAD0A996-1476-4CE0-AEE3-AA8BF9F240FD},,,C6776,2022/12/05 17:26:36+00,WINONA,9102.12861073414,443.648195477438
32,4,P420,PHILLIPS AVE PLAZA,105 S PHILLIPS AVE,Minnehaha,PLAZA,57104,CITY OF SIOUX FALLS,Public,0.16300825,,https://siouxfalls.org/parks/parks/locations/phillips-ave-plaza,,5am-10pm,,,Urban Plaza,Parks Field User Downtown,,{317A2E22-EE83-4803-9002-BE30A1F3868A},{317A2E22-EE83-4803-9002-BE30A1F3868A},,,C6776,2022/12/05 17:24:38+00,PHILLIPS AVE,7100.61093752923,388.965074679142
34,4,P430,PIONEER PLAZA,144 N PHILLIPS AVE,Minnehaha,PLAZA,57104,CITY OF SIOUX FALLS,Public,0.16615315,,https://siouxfalls.org/parks/parks/locations/pioneer-plaza,,5am-10pm,,,Urban Plaza,Parks Field User Downtown,,{F166D26A-67AF-4882-8069-F5ACB7EBFA32},{F166D26A-67AF-4882-8069-F5ACB7EBFA32},,,C6776,2022/12/05 17:24:41+00,PIONEER,7237.6022159871,394.9866710939
37,8,P100,ELMWOOD PUBLIC GOLF COURSE,2601 W RUSSELL ST,Minnehaha,GOLF COURSE,57104,CITY OF SIOUX FALLS,Public,261.05354071,,https://dakotagolf.com/course/elmwood/,,,,No,Special Use, ,,{7374C937-F322-49ED-AA7C-B9131B2226C7},{7374C937-F322-49ED-AA7C-B9131B2226C7},,,C6776,2022/12/05 17:20:57+00,ELMWOOD GC,11371446.7476172,16783.2742267111
38,99,P902,W H LYON FAIRGROUNDS,100 N LYON BLVD,Minnehaha,FAIRGROUNDS,57107,MINNEHAHA COUNTY,Public,142.83065733,,,,,,,Special Use,,,{49E80EAC-9CE4-4EC2-82B9-9BADBD11FE5B},{49E80EAC-9CE4-4EC2-82B9-9BADBD11FE5B},,,C6776,2022/12/05 17:26:15+00,W H LYON,6221678.54649848,14196.3527179775
39,5,P502,FRANK OLSON PARK & POOL,4001 E 16TH ST,Minnehaha,PARKPOOL,57103,CITY OF SIOUX FALLS,Public,29.27834473,,https://siouxfalls.org/parks/parks/locations/frank-olson,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/frankolsonmainview.jpg,5am-10pm,Yes,Yes,Community,Parks Field User Arrowhead,,{AA5E9C63-9E00-4873-BFDC-FCA63A934A04},{AA5E9C63-9E00-4873-BFDC-FCA63A934A04},,,C6776,2022/12/05 17:21:10+00,FRANK OLSON,1275359.59499721,7434.26055387778
40,5,P516,ROTARY PARK,2400 E 26TH ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,12.27160809,,https://siouxfalls.org/parks/parks/locations/rotary,,5am-10pm,,,Community,Parks Field User Pasley,,{93E5E90B-E80E-4474-92F2-3E056A5A99D2},{93E5E90B-E80E-4474-92F2-3E056A5A99D2},,,C6776,2022/12/05 17:25:19+00,ROTARY,534549.110372163,3372.52139639289
41,5,P515,RIVERDALE PARK,2000 E 24TH ST,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,45.31500248,,https://siouxfalls.org/parks/parks/locations/riverdale,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/riverdalemainview.jpg,5am-10pm,,,Regional,Parks Field User Pasley,,{5A7FF0A4-EA73-4660-ADD2-350D78F952F9},{5A7FF0A4-EA73-4660-ADD2-350D78F952F9},,,C6776,2022/12/05 17:25:16+00,RIVERDALE,1973913.61219884,6194.96950187947
42,4,P403,FAWICK PLAZA,200 S 2ND AVE,Minnehaha,PLAZA,57104,CITY OF SIOUX FALLS,Public,3.31945233,,https://siouxfalls.org/parks/parks/locations/fawick,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/fawickparkriverview.jpg,5a.m.-10p.m.,No,No,Urban Plaza,Parks Field User Downtown,,{BE70D30E-AA2A-491B-92A7-80C43EF3BC0A},{BE70D30E-AA2A-491B-92A7-80C43EF3BC0A},,,C6776,2022/12/05 17:21:07+00,FAWICK,144594.765177983,1647.42653826633
43,2,P218,TERRACE PARK & POOL,1001 W MADISON ST,Minnehaha,PARKPOOL,57104,CITY OF SIOUX FALLS,Public,55.25452333,,https://siouxfalls.org/parks/parks/locations/terrace,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/terracemainview.jpg,5am-10pm,Yes,,Regional,Parks Field User Terrace,,{9770AB80-10C1-4D0F-A6E1-DA581CF56871},{9770AB80-10C1-4D0F-A6E1-DA581CF56871},,,C6776,2022/12/05 17:25:49+00,TERRACE,2406877.40869657,8218.18883550808
44,3,P320,YANKTON TRAIL PARK,3901 S MINNESOTA AVE,Minnehaha,PARK,57105,CITY OF SIOUX FALLS,Public,155.45719487,,https://siouxfalls.org/parks/parks/locations/yankton-trail,,5am-10pm,,,Regional,Parks Field User Yankton Trail,,{BF2BF04B-8D6D-47FC-9504-232594269680},{BF2BF04B-8D6D-47FC-9504-232594269680},,,C6776,2022/12/05 17:26:38+00,YANKTON TRAIL,6150500.31251945,12202.6027191778
45,2,P206,GREEN HILLS,4101 N CAREER AVE,Minnehaha,SITE,57107,CITY OF SIOUX FALLS,Public,21.26441054,,,,5a.m.-10p.m.,,,Neighborhood,Parks Field User Elmwood,,{77AC2C4C-10B2-4D16-AA72-BBFBCCDAE372},{77AC2C4C-10B2-4D16-AA72-BBFBCCDAE372},,,C6776,2022/12/05 17:21:39+00,GREEN HILLS,926274.018185828,6912.5939740612
46,2,P200,BURNSIDE PARK,525 N WEST AVE,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,9.23136959,,https://siouxfalls.org/parks/parks/locations/burnside,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/burnsidemainview.jpg,5am-10pm,,Yes,Community,Parks Field User Elmwood,,{E944E179-5E4F-4B25-9751-6BF16979D171},{E944E179-5E4F-4B25-9751-6BF16979D171},,,C6776,2022/12/05 17:20:14+00,BURNSIDE,402116.850795681,2691.6347242697
47,2,P210,MCCART PARK,2001 W MADISON ST,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,15.47971295,,https://siouxfalls.org/parks/parks/locations/earl-mccart-fields,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/mccartsignview.jpg,5am-10pm,,,Community,Parks Field User Elmwood,,{D73FEF02-8B6D-4888-8E29-80B60A9E0E5E},{D73FEF02-8B6D-4888-8E29-80B60A9E0E5E},,,C6776,2022/12/05 17:23:32+00,MCCART,674293.598827686,3615.97364854619
49,2,P216,SKUNK CREEK SITE,6800 W 12TH ST,Minnehaha,NATURE AREA,57107,CITY OF SIOUX FALLS,Public,16.37663603,,,,,,,Nature Preserve,Parks Field User Dunham,,{6C8CA5DD-099F-4E90-A32F-0D0E0D2126B6},{6C8CA5DD-099F-4E90-A32F-0D0E0D2126B6},,,C6776,2022/12/05 17:25:35+00,SKUNK CREEK,713363.412042666,3614.9281506572
50,2,P208,HUSTRULID SITE,7409 W SONGBIRD ST,Minnehaha,NATURE AREA,57107,CITY OF SIOUX FALLS,Public,11.01072919,,,,,,,Nature Preserve,Parks Field User Dunham,,{4F6D32F2-333F-425A-94E7-9B71DF742FC1},{4F6D32F2-333F-425A-94E7-9B71DF742FC1},,,C6776,2022/12/05 17:21:51+00,HUSTRULID,479625.444940151,7000.39034702024
51,3,P300,BAKKER PARK,6201 W 61ST ST,Minnehaha,PARK,57106,CITY OF SIOUX FALLS,Public,5.31510178,,https://siouxfalls.org/parks/parks/locations/bakker,https://gis.siouxfalls.org/data/ActivitiesPhotos/additionalviews/bakkerview.jpg,5am-10pm,,,Neighborhood,Parks Field User Kuehn,,{6A8D2B53-DC77-4BAB-9B02-E764D9489F54},{6A8D2B53-DC77-4BAB-9B02-E764D9489F54},,,C6776,2022/12/05 17:19:50+00,BAKKER,231524.907570795,2134.71468270129
52,3,P313,PLATINUM VALLEY PARK,7301 S HUGHES AVE,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,11.88306293,,https://siouxfalls.org/parks/parks/locations/platinum-valley,,5am-10pm,,,Neighborhood,Parks Field User Sertoma,,{8949B07F-82DA-4B45-AD23-E7E58BE7CD4E},{8949B07F-82DA-4B45-AD23-E7E58BE7CD4E},,,C6776,2022/12/05 17:24:46+00,PLATINUM VALLEY,517624.150729182,3754.30417786257
54,4,P424,VAN EPS PARK,300 N MINNESOTA AVE,Minnehaha,PLAZA,57104,CITY OF SIOUX FALLS,Public,0.73738195,,https://siouxfalls.org/parks/parks/locations/van-eps,,5am-10pm,,,Urban Plaza,Parks Field User Downtown,,{60D92827-3318-43C4-BB1F-B40A57FF3D62},{60D92827-3318-43C4-BB1F-B40A57FF3D62},,,C6776,2022/12/05 17:25:59+00,VAN EPS,32120.2292846004,728.299463398432
56,4,P410,LACEY PARK,3212 N LACEY LN,Minnehaha,PARK,57104,CITY OF SIOUX FALLS,Public,5.3637967,,https://siouxfalls.org/parks/parks/locations/lacey,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/laceymainview.jpg,5am-10pm,,,Neighborhood,Parks Field User Great Bear,,{93698C2A-987D-422F-90F4-0298600752EE},{93698C2A-987D-422F-90F4-0298600752EE},,,C6776,2022/12/05 17:22:40+00,LACEY,233646.049881535,1959.33641786021
57,4,P419,OAK VIEW PARK,3700 E 3RD ST,Minnehaha,NATURE AREA,57103,CITY OF SIOUX FALLS,Public,13.51567124,,https://siouxfalls.org/parks/parks/locations/oak-view,,5am-10pm,,,Neighborhood,Parks Field User Great Bear,,{8C75B632-0D3D-4BCB-9E99-6275C2365153},{8C75B632-0D3D-4BCB-9E99-6275C2365153},,,C6776,2022/12/05 17:24:26+00,OAK VIEW,588740.284076979,3474.48827323302
58,4,P408,KENNY ANDERSON PARK,3918 E 6TH ST,Minnehaha,PARK,57103,CITY OF SIOUX FALLS,Public,25.19341946,,https://siouxfalls.org/parks/parks/locations/kenny-anderson,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/kennyandersonmainview.jpg,5a.m.-10p.m.,,,Community,Parks Field User Great Bear,,{19FBCE6B-DAE6-4533-B912-0105F1489B95},{19FBCE6B-DAE6-4533-B912-0105F1489B95},,,C6776,2022/12/05 17:22:07+00,KENNY ANDERSON,1097420.96205923,5217.95423309214
59,5,P504,HARMODON PARK,5721 E 41ST ST,Minnehaha,PARK,57110,CITY OF SIOUX FALLS,Public,146.74928433,,https://siouxfalls.org/parks/parks/locations/harmodon,,5a.m.-10p.m.,,,Regional,Parks Field User Harmodon,,{69247D2B-F6EA-450C-8A17-F60F86CF2048},{69247D2B-F6EA-450C-8A17-F60F86CF2048},,,C6776,2022/12/05 17:21:42+00,HARMODON,6392373.25580557,11562.3704304598
60,5,P506,LAUREL OAK PARK & POOL,3401 E 49TH ST,Minnehaha,PARKPOOL,57103,CITY OF SIOUX FALLS,Public,13.93659746,,https://siouxfalls.org/parks/parks/locations/laurel-oak,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/laureloakmainview.jpg,5am-10pm,Yes,,Community,Parks Field User Pasley,,{8263087E-FA9A-45FB-8BC7-97832093E834},{8263087E-FA9A-45FB-8BC7-97832093E834},,,C6776,2022/12/05 17:22:42+00,LAUREL OAK,607075.756942559,3105.68876209983
62,3,P503,GLENVIEW PARK,1401 E 57TH ST,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,13.30775697,,https://siouxfalls.org/parks/parks/locations/glenview,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/glenviewmainview.jpg,5a.m.-10p.m.,,,Neighborhood,Parks Field User McKennan_Tuthill,,{69C176C8-69AA-4F20-9C27-CB10E446B79E},{69C176C8-69AA-4F20-9C27-CB10E446B79E},,,C6776,2022/12/05 17:21:22+00,GLENVIEW,579683.57499446,4017.7871615853
63,3,P314,PRAIRIE MEADOWS PARK,801 W LAQUINTA ST,Lincoln,PARK,57108,CITY OF SIOUX FALLS,Public,7.57692862,,https://siouxfalls.org/parks/parks/locations/prairie-meadows,https://gis.siouxfalls.org/data/ActivitiesPhotos/frontview/prairiemeadowsmainview.JPG,5am-10pm,,,Neighborhood,Parks Field User Sertoma,,{7583227F-FB0E-4BD4-A78B-B9644466FE94},{7583227F-FB0E-4BD4-A78B-B9644466FE94},,,C6776,2022/12/05 17:24:58+00,PRAIRIE MEADOWS,330049.690447037,2437.36026351586
64,4,P406,GREAT BEAR PARK & SKI,5901 E RICE ST,Minnehaha,PARK,57110,CITY OF SIOUX FALLS,Public,234.91914142,,https://greatbearpark.com/,,,,,Regional,Parks Field User Great Bear,,{68872066-25CB-4AA0-BB68-36658F42038A},{68872066-25CB-4AA0-BB68-36658F42038A},,,C6776,2022/12/05 17:21:28+00,GREAT BEAR,10233036.8680851,17045.4514925877
