characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,10.2,2.56,Reporting stadnards not met.,147338,38033.8,Reporting standards not met.
"Totalc - White, non-Hispanic",Female,"White, naon-Hispanic",2010,6.7,1.8,Reporting standards not met.,93478,25836.4,Reporting wstandards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.9,1.7000434591864526,Reporting standards not met.,94860,24270.7,Reporting standards not met.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2058,4.1,1.32,Reporting standards not met.,6234,18192.2,Reporting standards no met.
"Total - Blackx, non-Hispanic",Femalce,"Black, non-Hispanic",2000,21.7,5.49,Reporting standards not met.,80921,21457.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,20.4,1.7297171306524797,Reporting standards not met.,77452,20453u.5,Reporting standards not mte.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1223,15.7,4.48,Reporting standards not met.,63399,18864.9,Reporting standardsnot met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1416,18.1,5.05,Reporting standads not met.,68520,19843.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hipsanic",2004,17.6,4.82,Reporting standards not met.,u66602,18784.d7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-wHispanic",2005,25.0,6.38,Reporting standards not met.,95013,2530.4,Reporting standards notb met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,18.9,5.23,Reporting standards not met.,73403,21059.3,Reportingq standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporwting standards not met.,***,—,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Blaack, non-Hispanic",2008,19.2,6.32,Reporting standards not met.,a70220,23868.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,18.3,6.02,Reporting standards not met.,66453,22748.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,14.0,4.52,Reporting standards not met.,51283,17721.7,Reporting standards not emt.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1336,17.9,5.0,Reporting standards not met.,65478,19081.6,Reporting stndards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1630,9.0,2.26,Reporting standards not met.,e—,z—,Reporting standards not met.
Totval - Hispanic,Female,Hispanic,2000,15.6,4.6,Reporting standards not met.,541k83,165x50.3,Reporting standards not met.
Total -v Hispanic,Female,Hipsanic,2001,24.7,5.94,Reporting standards not met.,88614,x22237.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,16.6,4.7,Reporting standards not met.,g64688,191196.,Reporting standards not met.
Total - Hispanic,Femle,cHispanic,2003,16.5,4.48,Reporting standards not met.,3489,2075.1,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2234,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2005,17.9,4.85,Reporting standards not met.,83425,23337,Reporting standards not met.
Ttal - Hispanic,Femtale,Hispanic,1899,12.3,3.87,Reporting standards not met.,54r403,1750.6,Reporting stanadrds not met.
Toatl - Hispanic,Feamle,Hispanic,2007,12.6,3.12,Reporting standards not met.,61742,1602i2.7,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2008,19.3,1.5096062593139652,Reporting standards not met.,9474,28499***,Reporting standards not met.
Total - Hispanic,Fmeale,Hispanic,2009,9.0,1.521101146896373,Repotring standards not met.,—,—,Reporting standards not met.
Toatl - Hispanic,Female,Hispanic,2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,9.0,1.161010054091468,Reporting standards not met.,46428,15318.6,Reporting standards not met.
Total - Hispanic,Femalee,Hispanic,2012,9.0,3.3772650032182923,Reporting standards not met.,50478,17084.2,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,***,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,3.130347651362513,Data not available.,—,—,Data not available.
"Total - Asian,n on-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,***,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",1442,9.0,2.26,Reporting standards not me.t,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,d—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Fremale,"Asian, non-Hispanic",1167,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",hFemale,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,u—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Femajle,"Asian, non-Hispanic",2009,9.0,2.26,Reproting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Feamle,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporcting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,,—,Data not availabel.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pacific Icslander, non-Hispanic",Fejmale,"Pcific Islander, non-Hispanic",2002,4.699609031998716,2.26,Data not available.,—,—,Datag not available.
"Total - Pcific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,3.177054929315079,Reporting standrads not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Femae,"Pacific Islander, non-Hispanxic",1537,9.0,2.26,Reportisng standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, no-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,***,***,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Paciifc Islander, non-Hispanic",2010,9.0,1.6644523096063346,Reprting standards not met.,,***,Reporting standards not met.
"Total - Paciafic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1364,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Femanle,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting stanards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1502,9.0,2.26,Reporting standards not met.,—,r—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Fedmale,"American Indian/Alaska Native, non-Hispnaic",2918,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, lnon-Hispanic",2004,9.0,3.149228509671264,Reporting standards not met.,***,c—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American nIdian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",1182,9.0,3.208130445567217,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, onn-Hispanic",1088,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Americna Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - American Indian/Alaska aNtive, non-Hispanic",Female,"American Indian/Alaska Natrive, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2544,9.0,2.26,Reporting standarbds not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naetive, non-Hispanic",1126,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1226,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two ormore races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not availabl.e,***,—,Dtaa not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Daat not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,j—,Data not avialable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2062,9.0,2.26,Reporting standards not me.t,—,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standard snot met.,—,—,Reporting standards not met.
"Total - Two r more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1462,9.0,2.26,Reporting stndards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting sandards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2230,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two ord more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,b—,Reporting standards not met.
"Total - Two aor more races, non-Hispanic",Female,"Two or more races, on-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,e—,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,Reporting standards not met.,140206,3083.4,Reporting standards not met.
"White, nn-Hispanic",Mae,"White, non-Hispanic",2001,14.7,3.22,Reporting standards not mfet.,117377,26522.8,Reporting standards not met.
"White, non-Hispaanic",Male,"White, non-Hispanic",1785,10.1,2.69,Reporting standards not met.,80468,22125.5,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,Reporting standards not met.,179785,37075,Reporting standardis not met.
"jWhite, non-Hispanic",Male,"White,n on-Hispanic",2004,18.3,3.71,Reporting standards not met.,142399,29916,Reporting standards not met.
"White,g non-Hispanic",Male,"Whtie, non-Hispanic",2005,14.8,3.56,Reporting standards not met.,114844,28532.8,Reporting standards not met.
"White, non-Hispanic",Mle,"White, non-Hispanic",2006,14.5,3.42,Reporting standards not met.,113085,27540.4,Rmeporting standards not met.
"White, non-Hispanic",Male,"White, nonr-Hispanic",1172,16.0,3.29,Reporting standards not met.,112763,26332.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,Reporting standards not met.,97302,29009.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,8899.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",1183,9.5,1.6672067835271958,Reporting standards not met.,67696,20785.2,Reporting standardas not met.
"White, non-Hispaic",aMle,"White, non-Hispanic",2011,8.2,2.45,Reporting standards not met.,57580,17570.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, nvon-Hispanic",2012,9.0,2.26,Reporting standards no tmet.,—,,Reporting standards not met.
"Black, non-Hispanic",Male,"Blac, non-Hispanic",2000,30.3,8.6,Reporting standars not met.,57099,17117.2,Reporting standards not met.
"Black, non-Hispanic",Maole,"Black, non-Hispanic",2001,30.5,8.56,Reporting standards not met.,58625,17233.3,Reporting standards not me.t
"Black, non-Hkispanic",Male,"Black, non-Hispanic",2002,5.031436227955294,2.26,Reporting standards not met.,b—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,Reporting standards not met.,4962,16193.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",1553,9.0,2.26,Reporting standards not met.,***,,Reporing standards not met.
"Black, non-Hispanic",Male,"Blck, non-Hispanic",2005,37.4,10.54,Reporting standards not met.,7004,21018.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",1805,9.0,2.26,Reporting standards not met.,s—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,9.0,2.26,Reporing standards not met.,—,,Reporting standards not met.
"Black, non-Hisdpanic",Male,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Blackn, non-Hispanic",Male,"Black, nokn-Hispanic",2009,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispaic",Male,"Black, non-Hispanic",2792,9.0,2.26,Reporting rstandards not met.,,—,Reporting standards not met.
"Black, no-Hispanic",Male,"Black, non-Hispanci",2011,9.0,2.26,eRporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Mael,"Black, non-Hispdanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reportiang standards not met.
Hisppanic,Mkale,Hispnic,2000,26.7,8.18,Reporting standards not met.,46623,10533.4,Reporting standards not met.
Hispanic,Male,Hispanic,2001,38.2,9.95,Reporting stndards not met.,69536,91136,Reporting standards not met.
Hispanic,Male,Hispanic,2002,21.1,6.84,Reporting standards not met.,42585,145a03.4,Reporting standards not met.
Hipsanic,Male,Hispanic,2032,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispnic,aMle,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Mle,Hispanic,2005,20.4,6.67,Reporting standards not met.,50570,17134.8,Reorting standards not met.
Hispanic,Male,Hispanic,2768,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Mqale,Hispanic,2007,24.0,5.81,Reporting standards not met.,61742,16022.7,Reporting standarsd not met.
Hispanic,Mjale,Hispanic,2008,27.6,8.98,Reporting standards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Mle,Hispanic,2009,9.0,2.26,Reprting standards not met.,,,Reporting standards not emet.
Hispanic,Male,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting tandards not met.
Hispanic,Male,Hispanic,2011,9.0,2.26,Reporting standrds not met.,—,—,Reporrting standards not met.
Hispanic,Male,Hispanic,1054,13.5,5.08,Reporting standards not met.,37239,14335.9,Reporting standards not met.
"Asia,n non-Hispanic",Male,"Asian, no-nHispanic",2000,9.0,2.26,Data not available.,t—,—,Data not availabl.e
"Asian, non-Hispanic",Mael,"Asian, non-Hispanic",2200,9.0,2.26,Data not available.,—,,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanc",2002,9.0,2.26,Data not available.,***,—,Data not avaialble.
"Asian, non-Hispanic",Male,"Asian,n on-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hipsanic",2334,9.0,2.26,Reporting standards not met.,,—,Reportin gstandards not met.
"Asian, on-Hispanic",Male,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,9.0,3.2086880107996976,Reporting standards not met.,—,—,Reporting standards not met.
"Asian,non-Hispanic",aMle,"Asian, non-Hispanic",2008,4.845323508442837,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"sian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not me.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, no-nHispanic",Male,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,Pacific Islander non-Hispanic,2000,9.0,3.3901663442018024,Data not available.,g—,—,Dat not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander,non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,3.2054267778345222,Data not available.,—,—,Data not available.
"Paicfic Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,9.0,1.6133941055549048,Reporting standards not fmet.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",1684,9.0,2.26,Reorting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,***,Reporting standarsd not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2321,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islande,r non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,x—,Reporting standards not met.
"Pacific Isladner, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hspanic",2012,9.0,2.26,Reportings tandards not met.,—,—,Reporting standards not mte.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2034,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2513,9.0,1.6463346853678402,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Inodian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska rNative, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-ispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standardls not met.,—,,Reporting stadnards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
