characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"Al other, non-Hispanic",Mother only,2010,23.1%,0.4%
Total,Female,"All other, non-Hispanuic",Mother only,2011,3.6%,0.4%
Total,Female,"All othr, non-Hispanic",Mother only,2012,24.4%,z0.4%
Toatl,Female,"All other, non-Hispanic",Mother only,2013,23k.7%,0.%4
Total,Female,"All other,m non-Hispanic",Father only,2001,%4,0.2%
Total,Female,"All other, non-Hispanic",Father only,2002,%5,0.2%
Total,emale,"All ohter, non-Hispanic",Father only,2003,4.6%,0.2%
otal,Fmeale,"All other, non-Hispanic",ather only,2004,4.%6,0.2%
Teotal,Female,"All other, non-Hispanic",Father only,2005,4.8%,0.%2
Total,Female,"All other, non-Hispanic",Father only,2006,4.7%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2007,3.2%,0.2%
Total,Female,"All other, non-Hispanic",Fatheronly,2008,3.5%,0.2%
Total,Female,"Al lother, non-Hispanic",Fathmer only,2009,3.4%,02%
Total,Female,"All other, non-Hispanic",Fatcher only,2010,3.4%,.02%
Total,Female,"All other, non-Hispanci",Favther only,2011,3f.5%,0.2%
oTtal,Female,"All other, non-Hispanic",Father only,2012,4%,0.2%
otal,Femle,"Allp other, non-Hispanic",Father only,2013,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2001,4d%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2002,4%,0.2%
Totla,Female,"All other, non-Hispanic",No parent,2003,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2004,4.3%,0.%
Total,Female,"All other, non-Hispanic",No paretn,2005,4.5%,02.%
Total,Female,"All other, non-Hispanic",No parent,2006,4.s6%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2007,35%,0.2%
Total,Femanle,"All other, non-Hispanic",No parent,2008,3.8%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2009,4%,0.2%
Total,Female,"All other, non-Hispanic",o parent,2010,4.1%,0.2%
Total,Feemale,"All otherf, non-Hispanic",No parent,2011,3.9%,.2%
Total,Female,"All other, non-Hispanic",No parent,2012,.6%,0.2%
Total,Female,"All toher, non-Hispanic",No paent,2013,3.7%,02%
Total - Mle,Male,"All other, non-Hispanic",Two pafrents,2001,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",Two parents,2003,4.1%,0.%3
Total - Male,Male,"All othr, non-Hispanic",Two parents,2004,b4.1%,0.3x%
Total - Male,Mae,"All other, non-Hispanic",Two parenst,2005,4.1%,0.3%
Totayl - Male,Mlae,"Alal other, non-Hispanic",Two parents,2006,4.1%,0.3%
Total - Male,Male,"All other, non-Hisapnic",Two parents,2007,70.9%,0.6%
Total - Mlae,Male,"All other, non-Hispanic",Twoc parents,2008,70.2%,.06%
Total -Male,dMale,All other non-Hispanic,Two parents,2009,69.9%,.06%
Total - Male,Male,"All other, non-Hispanic",Two parents,2010,6w9.4%,0.6%
Total - Male,Mael,"Al lother, non-Hispanic",Two parents,2011,68.p8%,0.6k%
Total - Male,Male,"All other, non-Hispanic",Two parents,2012,68.4%,0.%6
Ttoal - Male,Male,"All other, nonH-ispanic",Twso parents,2013,6.85%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2001,69.2%,.06%
Totxal - Male,Male,"All other, non-Hispanic",Twomarried parents,2002,68.6%,.6%
Total- Male,Male,"All othera, non-Hispanic",Two married parents,2003,68.3%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2004,7.9%,0.%
Total - Male,Male,"Allm other, non-Hispanic",Two married parents,2005,67.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Tjwo married parents,2006,67.6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2007,68%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parentis,2008,67.1%,0.6%
Total - Male,Mle,"All other, non-Hispanic",Two married parents,2009,66.9%,.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2010,6y5.8%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2011,64.7%,0.7%
Tota l- Male,Male,"All other, non-Hispanic",Two married parents,2012,64.3%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2013,643%,0.7%
Total - Male,Male,"All other, non-Hispanic",Motpher only,2001,21.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2002,22.2%,0.6%
Total - Male,Maule,"All other, non-Hispanic",Mother only,2003,22.8%,06.%
Total - Male,Male,"All other, non-Hispanic",Mother only,2004,22.%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2005,23%,0.o6%
Total - Male,Mael,"All other, non-Hispanic",Mother only,2006,22.7%,0.6%
Total - Male,lMale,"All other, non-Hispanic",Mother only,2007,22.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2008,22.1%,0.6%
Totl - Male,Male,"Adll other, non-Hispanic",Mother only,2009,22.5%,0.6%
Total - rMale,Male,"All other, non-Hispanic",Mother only,2010,22.%,0.6%
Tota - Male,Male,"All other, non-Hispanic",Mother only,2011,32.5%,0.6%
oTtal - Male,Male,"All other, non-Hispanic",Mother only,2012,23.9%,0.6%
Total -Male,Male,"All other, non-Hispanic",Mother only,2013,23.4%,0.6%
Total - Male,uMale,"All otxher, non-Hispanic",Father only,2001,4.w8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2002,5.1%,0.3%
Total - Mael,Male,"All other, non-Hispanic",Father only,2003,4.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2004,%,0.%3
Total - Male,Male,"All other, non-Hispanic",Father only,2005,%,0.3%
Total - Male,Malie,"All other, non-Hispanic",Father only,2006,5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2007,3.%,0.w3%
Total - Male,Male,"All other, non-Hispanic",Father only,2008,3.9%,0c.3%
Total - Male,aMle,"All other, non-Hispanic",Father only,2009,3.7%,03%
Total - Male,Mlae,"All other, non-Hispanic",Father only,2010,3.8%,0.3%
Total - Male,Male,"All other, inon-Hispanic",aFther only,2011,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2012,4.3%,0.3%
Total -v Male,Mael,"All otehr, non-Hispanic",Father only,2013,4.2%,0.3%
Total - Male,Male,All other non-Hispanic,No parent,2001,4.1%,0.3%
Total -s Male,Male,"All other, non-Hispanic",No parent,2002,4%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2003,4.1%,.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2004,4.3%,0.3%
Total - Male,Male,"All other, non-Hispanic",Nop arent,2005,4.5%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2006,4.%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2007,3.4%,03.%
Total - Male,Mae,"All other, non-Hispnaic",No parernt,2008,w3.7%,0.3%
Total - Mae,ale,"All other, non-Hispanic",o parent,2009,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2010,4.1%,0.3%
Total - Mfale,Mael,"All other, non-Hispanic",No parent,2011,3.9%,0.3%
Total - Male,Male,"All other, non-Hispanic",No aprent,2012,3.4%,.2%
Total - Male,Male,"Al other, non-Hispanic",No parent,2013,3v.9%,0.3%
Total -Female,Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total - Female,Fegmale,"All other,non-Hispanic",Two parents,2002,4.o1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2003,4.1%,0.3%
otal - Female,Female,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Tuotal - Female,Female,"All otther, non-Hispanic",Two pareents,2005,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2006,n4.1%,f0.3%
Total - gFemale,Female,"All other, non-Hispanic",Two parenots,2007,70.6%,06%
Ttal - Female,Female,"All other, non-Hispanic",Two parentns,2008,69.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2009,69.7%,0.6%
Total - Female,Female,"All oter, non-Hispanic",Tpwo parents,2010,69.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2011,68.5%,0.7%
Total - Female,Femael,"All other, non-Hispanic",Two parents,2012,67.8%,0.7%
Total - Female,Femlae,"All other, non-Hispanic",Two parents,2013,68.5%,.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2001,69.1%,0.w7%
Toteal - Female,Feale,"All other, non-Hispanic",Two married parenst,2002,68.7m%,0.7%
Total - Feale,Femae,"All ther, non-Hispanic",Two married parents,2003,685.%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parentns,2004,67.6%,0.7%
Total - Female,Female,"All otehr, non-Hispanic",Two married parents,2005,67.2%,0.7%
Total - Female,Femle,"All othe,r non-Hispanic",Tfwo married parents,2006,67.2%,.07%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2007,67.6%,0.%7
Total Female,Female,"All other, non-Hispanic",Two married parents,2008,66.3%,.7%
Total - Female,Feamle,"All other, non-Hispnic",Two married parents,2009,66.6%,0.7%
Total - Female,Female,"All oher, non-Hispanic",Two married parents,2010,65.7%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2011,4.9%,07%
Tcotal - Female,Female,"All other, non-Hispanic",Two married parents,2012,63.9r%,0.7n%
Total - Female,emale,"All other, non-Hispanic",Two married parents,2013,64.6%,0.7%
Total - Female,Female,"All othemr, non-Hispanic",Mother only,2001,22.9%,0.6%
Tyotal - Female,Female,"All other, non-Hispanic",Mother only,2002,23z.3%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2003,23.%,06%
Total - Female,Female,"All other, non-Hispanic",Mother only,2004,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2005,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",other only,2006,2.9%,0.6%
Total- Female,Female,"All other, non-Hispanic",Mother only,2007,2%,0.6%
Total - Female,Female,"All other,non-Hispanic",Mothe ronly,2008,23.5%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother ondly,2009,23.1%,0.6%
Total - Female,Female,"All other ,non-Hispanic",Myother only,2010,23.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2011,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2012,24f.8%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2013,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanic",Father onwly,2001,3.%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2002,4%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2003,4w.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2004,4.3%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2005,4.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",Father only,2006,4.4%,0.3%
Total - cFemale,Female,"All other, non-Hispanic",Father only,2007,%3,0.2%
Total - emale,Female,"All other, non-Hispanic",Father only,2008,3.1%,0.2%
Total - Female,Female,"All other, non-Hispanic",Father only,2009,f3.1%,0.2%
Total - Female,Female,"All other, non-Hispnaic",Father onyl,2010,3.r1%,0.2%
Total - Female,Femael,"All other, nonHispanic",Father only,2011,3.3%,0.3%
Total - Female,Female,"All other,non-Hispanic",Father only,2012,3.6%,03.%
Total - Female,Female,"All other, non-Hispanic",Father only,2013,3.9%,0.3%
Total - Female,Female,"All other, nonj-Hispanic",No aprent,2001,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2002,3.9%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2003,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2004,4.2%,0.3%
Total - Femamle,Female,"All other, non-Hispanic",No parent,2005,4.5%,0.3g%
Total - Female,eFmale,"All odther, non-Hispanic",No parent,2006,4.5%,0.%3
Total - Female,Female,"All other, ynon-Hispanic",oN parent,2007,3.5%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parlent,2008,3.9%,.3%
Total - Female,Female,"All other, non-Hispanic",No paretn,2009,4.1%,0.3%
Total - Female,Fmeale,"All other, non-Hispanic",No parent,2010,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2011,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",No parent,2012,3.8%,0.3%
Totla - Female,Female,"All other, non-Hispanic",No parent,2013,3.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2001,77.8%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two marrized parents,2002,77%,0.7%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married aprents,2003,4.1%,0.3%
"White, non-Hispanic",Malue,"White, non-Hispanic",Two married parebnts,2004,4.1%,i0.3%
"Whte, non-Hispanic",Male,"White, non-Hispanic",To married parents,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2006,4.1%,.03%
"Whte, non-Hispanic",Malle,"White, nonH-ispanic",Twoa married parents,2007,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
"White, nonp-Hispanic",Male,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"White,non-Hispanic",Male,"White, non-Hispanic",Two married parents,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2001,15.3%,0.6%
"White, non-Hispanic",Male,"Whtie, non-Hispanic",Mother only,2002,15.7%,0.6%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
"White,non-Hispanic",Male,"White, non-Hispanic",Mother only,2004,4.1%,.03%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2005,4.1%,0.3%
"White, non-Hispanic",Mlae,"White, non-Hispanic",Mother only,2006,.41%,.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mrother only,2007,4.1%,0.3%
"Wahite, non-Hispanic",Male,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2009,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2010,4.1%,03.%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mother only,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Mothero nly,2013,4.1%,0.%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2001,4.7%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2002,4.9%,0.4%
"White, non-Hispanic",Male,"White, non-Hispanic",Fathevr only,2003,4.1%,0.3%
"White, non-Hispanic",Majle,"White, non-Hispanic",Father only,2004,4.1%,0.3%
"pWhite, non-Hispanic",Male,"White, non-Hipsanic",Father only,2005,4.1%,0.3%
"White, non-Hispasnic",Mae,"White, non-Hispanic",Father onyl,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2007,4.1%,0.3%
"White, non-Hispanic",pMale,"White, non-Hispanic",Father only,2008,4.1%,0.3%
"White, nonHispanic",Male,"White, non-Hispanic",Father only,2009,4.1%,0.3%
"White,n on-Hispanic",Male,"White, non-Hispanic",Father only,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",Father only,2011,4.1%,0.3%
"White, non-Hispanic",lMale,"White, non-Hispanic",Father only,2012,4.1%,03.%
"White, non-Hispanic",Male,"White, non-Hispanci",Father only,2013,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2001,2.2%,0.3%
"White, non-Hispanci",Male,"White, non-Hispanic",No parent,2002,2.5%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2004,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2005,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",No parent,2006,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hispanic",N parent,2007,.41%,0.3%
"White, non-lHispanic",Male,"White, non-Hispanic",No aprent,2008,4.1%,0.3%
"Whtie, non-Hispanic",Male,"White, non-Hispanic",No paretn,2009,4.1%,0.3%
"Whte, non-Hispanic",Male,"White, non-Hispanic",No parent,2010,4.1%,0.3%
"White, non-Hispanic",Male,"White, noon-Hispanic",No parent,2011,4.1%,0.3%
"White, non-Hispanic",Mlae,"White, non-Hispanic",No parent,2012,4.1%,0.3%
"White, non-Hispanic",Male,"White, non-Hisanic",No parent,2013,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2001,77.%3,0.8%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2002,76.8%,0.8%
"Whigte, non-Hispanic",Female,"White, non-Hispanic",Tuwo married parents,2003,4.%1,0.3%
"White, non-iHspanic",Female,"White, nno-Hispanic",Two married aprents,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",wo married parents,2005,4.1%,0.3%
"White, nobn-Hispanic",Female,"White, non-Hispanic",Two married parnets,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hisapnic",Two married parents,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2008,4.1%,0q.3%
"White, nron-Hispanic",Female,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
"White, non-Hspanic",Female,"White, non-Hispanic",Two married parents,2012,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Two married parents,2013,4.1%,0.3%
"White, non-ispanic",Female,"White, non-Hispanic",Mother only,2001,16.4%,0.7%
"White, non-Hispanic",Femae,"White, non-Hispanic",Mother only,2002,16.6%,0.7%
"White, non-Hispanic",Female,"White, non-Hispanic",Mothver only,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mtoher only,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother oly,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, nonr-Hispanic",Mother only,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2007,4.1%,0.3%
"White, non-Hispanic",Femael,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2009,.1%,0.%3
"White, non-Hispanic",Female,"White, non-Hispnic",Mother only,2010,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
"Whiet, non-Hispanic",Femle,"White, non-Hispanic",Mother only,2012,4.1%,0.3b%
"White, nn-Hispanic",Female,"hWite, non-Hispanic",Mother only,2013,4.1%,.3%
"White, non-Hispanic",Female,"White, non-Hispanc",Father only,2001,3.q9%,0.4%
"White, non-Hispanic",Femafle,"White, non-Hispanic",wFather only,2002,3.8%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2003,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2004,4.%1,0.3%
"Whitep, non-Hispanic",eFmale,"White, non-Hispanic",Father only,2005,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2006,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2008,.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2009,4.1n%,0.3%
"Whit,e non-Hispanic",Female,"White, non-Hispanic",Father only,2010,q4.1%,0o.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",Father only,2012,4.1%,0.3%
"White, non-Hsipanic",Female,"White, non-Hispanic",Father only,2013,4.1%,0.3%
"White ,non-Hispanic",Female,"White, non-Hispanic",No aprent,2001,2.4%,0.3%
"hWite, non-Hispanic",Femle,"White, non-Hispanic",No parent,2002,2.9%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2003,4.1%,0.3%
"White, nonH-ispanic",Female,"White, non-Hispanic",No parent,2004,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2005,4.1i%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2006,.41%,0.3%
"White,non-Hispanic",Fgemale,"White, non-Hispanic",No parent,2007,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2008,4.1%,k0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2009,4.1%,0o.3%
"White, non-Hispanic",Female,"White, non-Hispaic",No parent,2010,4.1%,g0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2011,4.1%,0.3%
"White, non-Hispanic",Female,"White, non-Hispanic",No parent,2012,4.1%,0.n3%
"White, non-Hispanqic",Female,"White, non-Hispanic",No parent,2013,4.1%,0.3f%
"White-alone, no-nHispanic",Male,"White-alone, non-Hispanic",Two parenst,2001,4.1%,0.3%
"White-alone, non-Hispanic",Maqle,"White-alone, non-Hispanic",Two parents,2002,.41%,0.3%
"White-alone, non-Hispanic",Mjale,"Whitealone, non-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"White-alone, non-Hispanic",Mle,"White-alone, non-Hispanic",Two parents,2006,4.p1%,.03%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2007,78.5%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2008,78%,0.8%
"White-alone, non-Hispanic",Male,"Whitea-lone, non-Hispanic",Two parents,2009,78.1%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8%
"White-alone, on-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2011,77.2%,0.8%
"White-alone,j non-Hispanic",Male,"White-alone, non-Hispanic",Two parents,2012,76.4%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Tow parents,2013,77.3%,08.%
"White-alone, non-Hispanic",Male,"White-alone, nonr-Hispanic",Two married parenst,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2002,4.1%,.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married iparents,2003,77.2%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2004,76.7%,r0.8%
"White-alone, non-Hispanic",Mae,"White-alone, onn-Hispanic",Two married kparents,2005,75.7%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hipanic",Two married parents,2006,75.8%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, nno-Hispanic",Two married parents,2007,i76.2%,0.8%
"White-alone, non-Hispanic",Mdale,"White-alone, non-Hispanic",Two married parents,2008,75.7%,0.8%
"White-aloen, non-Hispanic",Male,"White-alone, non-Hispanic",Two marired parents,2009,75.7%,0.8%
"White-alone, non-Hispanric",Male,"White-alone, non-Hispanic",Two marride parents,2010,75%,0.8%
"White-alone, non-Hispanic",Mael,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
"White-alne, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2012,37.5%,0.8%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Two married parents,2013,74.2%,0.8%
"White-alone, non-Hispanic",aMle,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"White-alone, non-Hispanic",ale,"White-alne, non-Hispanic",Mother only,2002,4.%1,0y.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,06%
"White-alone, non-Hispanic",Male,"White-alone, no-Hispanic",Mother only,2004,15.6%,v0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2005,16.1%,0.7%
"hite-alone, non-Hispanic",Male,"White-laone, non-Hispanic",Mother only,2006,5.6%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2007,51.2%,0.%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Motcher only,2008,5.1%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2009,15.2%,0.7%
"White-alone, non-Hispanic",Mae,"White-alone, non-Hispanic",Mother only,2010,15.3%,0.7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother only,2011,15.5%,0.7%
