Agency Number,Agency Name,Class Field,Class Description,Statutory Reference,Calendar Year,Month,Total Amount
1400,OSU COLLEGE OF VETERINARY MEDICINE,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2013,1,$898460.04
1400,OSU COLLEGE OF VETERINARY MEDICINE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2013,1,$1882.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$3505641.55
1400,OSU COLLEGE OF VETERINARY MEDICINE,450,Master Lease Purchase Fund, ,2013,1,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,479,Capital Bond Projects, ,2013,1,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,490,American Recov. & Reinv. Act, ,2013,1,$297812.81
1400,OSU COLLEGE OF VETERINARY MEDICINE,495,McElroy Hall Antimicrobial Act, ,2013,1,$0.00
1500,OSU-OKLAHOMA CITY,290,Educational And Gen Operations,"TITLE 70, SEC. 3901",2013,1,$876958.58
1500,OSU-OKLAHOMA CITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2013,1,$1645146.96
1500,OSU-OKLAHOMA CITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$2390705.37
1500,OSU-OKLAHOMA CITY,479,Capital Bond Projects, ,2013,1,$0.00
1500,OSU-OKLAHOMA CITY,485,Revenue Bond Fund,"TITLE 70, SEC. 3412  AND 4006",2013,1,$0.01
1500,OSU-OKLAHOMA CITY,487,Student Center Revenue Bonds,"TITLE 70, SECTION 4004",2013,1,$0.00
1500,OSU-OKLAHOMA CITY,490,American Recov. & Reinv. Act, ,2013,1,$16351.08
1600,OSU-TULSA,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2013,1,$563872.59
1600,OSU-TULSA,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2013,1,$1550481.14
1600,OSU-TULSA,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$146459.77
1600,OSU-TULSA,450,Master Lease Purchase Fund,"TITLE 70,SECTION  3206.6",2013,1,$0.00
1600,OSU-TULSA,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2013,1,$0.00
1600,OSU-TULSA,479,Capital Bond Projects, ,2013,1,$0.00
1600,OSU-TULSA,490,American Recov. & Reinv. Act, ,2013,1,$0.00
2000,OKLAHOMA ACCOUNTANCY BOARD,200,Accountancy Fund,"TITLE 59, SEC. 15.7",2013,1,$2691166.15
2200,OKLAHOMA ABSTRACTORS BOARD,200,OK  ABS BRD REVOLVING FUND,"TITLE 1, SEC. 26",2013,1,$219706.48
2500,OKLAHOMA MILITARY DEPARTMENT,200,OK MILITARY DEPT REVOLVING FUN,"TITLE 44, SEC. 233.7",2013,1,$247.99
2500,OKLAHOMA MILITARY DEPARTMENT,205,45Th Infantry Div. Museum Fd.,"TITLE 44, SEC. 235.1",2013,1,$12217.69
2500,OKLAHOMA MILITARY DEPARTMENT,210,Oklahoma Military Dept,"TITLE 44, SEC. 233.7",2013,1,$404784.90
2500,OKLAHOMA MILITARY DEPARTMENT,220,Income Tax Checkoff Revolving,TITLE 68 SEC 2368.14,2013,1,$121237.43
2500,OKLAHOMA MILITARY DEPARTMENT,225,Patriot License Plate Revolvin,TITLE 47 SECTION 1104.11,2013,1,$37068.47
2500,OKLAHOMA MILITARY DEPARTMENT,230,Military Justice Fund,"TITLE 44, SEC. 3398",2013,1,$5000.00
2500,OKLAHOMA MILITARY DEPARTMENT,400,Army Federal Reimbursement,"TITLE 62, SEC. 34.48",2013,1,$1877649.11
2500,OKLAHOMA MILITARY DEPARTMENT,405,Air Guard Reimbursement Fds,"TITLE 62, SEC. 34.48",2013,1,$821210.83
2500,OKLAHOMA MILITARY DEPARTMENT,410,Army Advance Funds,"TITLE 62, SEC. 34.48",2013,1,$0.03
2500,OKLAHOMA MILITARY DEPARTMENT,415,Counter Drug,"TITLE 44, SEC. 231",2013,1,$34458.42
2500,OKLAHOMA MILITARY DEPARTMENT,424,State Emergency Fund,"TITLE 62, SEC. 139.42",2013,1,$79590.97
2500,OKLAHOMA MILITARY DEPARTMENT,490,American Recov. & Reinv. Act, ,2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,200,ABLE Comm. Revolving Fund,"TITLE 37, SEC. 567",2013,1,$146774.35
3000,ALCOHOLIC BEV. LAWS ENFORCE.,205,Seized And Forfeited Property,"TITLE 37, SEC. 539",2013,1,$58704.19
3000,ALCOHOLIC BEV. LAWS ENFORCE.,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 1347",2013,1,$198588.34
3000,ALCOHOLIC BEV. LAWS ENFORCE.,491,Sales Fund - Surplus Property, ,2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,492,Sales Fund - Surplus Property,"TITLE 74, SECTION 62.5",2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,494,Sales Fund Surplus,"TITLE 74, SECTION 62.5",2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,495,Sales Fund-Surplus Property,"TITLE 74, SEC. 62.5  (LAPSES JUNE 30)",2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,496,Sales Fund - Surplus Property,"TITLE 74, SEC. 62.5, (LAPSES JUNE 30)",2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,497,Sales Fund - Surplus Property, ,2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,498,Sales Fund - Surplus Property, ,2013,1,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,499,Sales Fund - Surplus Property, ,2013,1,$0.00
3900,BOLL WEEVIL ERADICATION ORG.,200,Boll Weevil Eradication Rev Fd,"TITLE 2, SEC. 3-50.10",2013,1,$1278371.05
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",200,OK County Fair Enhancement Fnd,"TITLE 2, SEC 15-60.3",2013,1,$0.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",205,Rural Fire Defense Eqp Rev Fd,"TITLE 19, SECTION 901.58",2013,1,$184301.42
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",210,Agriculture Revolving Fund,"TITLE 2, SEC. 2-10",2013,1,$1028659.70
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",212,Urban Forestry & Beaut Rev Fd,"TITLE 47, SEC 1104.5",2013,1,$19580.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",213,Eastern Red Cedar Revolving Fd, ,2013,1,$3063.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",215,Vol Firefighter Employer Contr,"TITLE 2, SECTION 16-81",2013,1,$0.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",220,Gifts And Donations Fund,"TITLE 60, SEC.384",2013,1,$21936.08
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",225,Enhancemnt & Diversificatn Fnd,"TITLE 2, SECTION 5-3.3",2013,1,$782237.20
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",230,Okla Pet Overpopulation Fund,"TITLE 68, SECTION 2368.13.C",2013,1,$1293.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",235,Animal Friendly Revolving Fund,"TITLE 47, SECTION 1104.10",2013,1,$7220.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",240,Unwanted Pesticide Disp Fund,TITLE 2 SECTION 3-82.1,2013,1,$18101.62
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",245,Rural Fire Revolving Fund,"TITLE 2, SECTION 16-83",2013,1,$1915721.38
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",250,Rural Fire Equipment Grant Rev,"TITLE 2, SEC 16-83",2013,1,$111743.60
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",285,Milk & Milk Prod Inspec Rev Fd,"TITLE  2, SEC 7-416",2013,1,$287533.10
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",286,Ag In The Classrm Educ Rvlv Fd,"TITLE 47, SECTION 1104.3",2013,1,$30992.96
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",290,Jr Livestock Auction Revolv Fn,"TITLE 68, SEC 2368.9",2013,1,$175.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",415,OAMP - Ag Mediation Fund, ,2013,1,$0.00
4000,"DEPARTMENT OF AGRICULTURE, FOOD, ANF FOR",490,American Recov. & Reinv. Act, ,2013,1,$67013.68
4100,WESTERN OKLA. STATE COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2013,1,$5410560.78
4100,WESTERN OKLA. STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2013,1,$1028225.52
4100,WESTERN OKLA. STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$397101.56
4100,WESTERN OKLA. STATE COLLEGE,479,Capital Bond Projects, ,2013,1,$0.00
4100,WESTERN OKLA. STATE COLLEGE,490,American Recov. & Reinv. Act, ,2013,1,$0.00
4400,STATE ANATOMICAL BOARD,200,Anatomical Board Fund,"TITLE 63, SEC. 98.1",2013,1,$167.18
4500,OKLA. BD. OF ARCHITECTS,200,Revolving Fund,"TITLE 62, SEC. 155; TITLE 59, SEC. 46.19",2013,1,$1311079.93
4700,INDIGENT DEFENSE SYSTEM,200,Indigent Defense System Rev.Fd,"TITLE 22, SEC. 1368",2013,1,$830652.01
4700,INDIGENT DEFENSE SYSTEM,230,Contract Retention Rev Fund,"TITLE 22, SECTION 1369",2013,1,$773837.07
4700,INDIGENT DEFENSE SYSTEM,240,Forensic Testing Revolv Fund,"TITLE 22, SECTION 1370.1",2013,1,$0.00
4700,INDIGENT DEFENSE SYSTEM,410,"DOJ, Non-ARRA Grants", ,2013,1,$0.01
4700,INDIGENT DEFENSE SYSTEM,490,American Recov. & Reinv. Act,"TITLE 44, SEC. 231",2013,1,$0.00
4900,ATTORNEY GENERAL,200,Atty Gen Rev. Fund,"TITLE 74, SEC. 20",2013,1,$82121.02
4900,ATTORNEY GENERAL,205,Telemarketer Revolving Fund,"TITLE 15, SEC. 775B.7",2013,1,$72089.19
4900,ATTORNEY GENERAL,220,Workers' Comp Fraud Fund,"TITLE 74, SEC 19.2, OSL 1992",2013,1,$52070.87
4900,ATTORNEY GENERAL,225,Insurance Fraud Unit Rev Fnd,"TITLE 74, SECTION 19.3",2013,1,$590757.11
4900,ATTORNEY GENERAL,230,C.I.T.F. State Matching Fund,"TITLE 74, SECTION 19.1",2013,1,$0.00
4900,ATTORNEY GENERAL,240,Court Appointed Special Advoca,"TITLE 68, SECTION 2368.12",2013,1,$38277.00
4900,ATTORNEY GENERAL,245,Medicaid Fraud Revolving Fund,"TITLE 56, SEC. 1003 D & E",2013,1,$1535743.19
4900,ATTORNEY GENERAL,250,Legal Services Revolving Fund,"TITLE 74, SECTION 18L",2013,1,$301924.01
4900,ATTORNEY GENERAL,260,Victim Services Unit Fund,"TITLE 74, SEC. 18P-1",2013,1,$134072.24
4900,ATTORNEY GENERAL,400,Federal Funds (DAC),"TITLE 62, SEC. 34.48",2013,1,$18674.79
4900,ATTORNEY GENERAL,405,Family Violence Prevention Grt,"TITLE 62, SECTION 34.9",2013,1,$36373.19
4900,ATTORNEY GENERAL,410,Medicaid Fraud Unit Fund,"TITLE 62, SECTION 34.48",2013,1,$9242.62
4900,ATTORNEY GENERAL,425,VINES Grant,TITLE 62 SECTION 34.48,2013,1,$31223.61
4900,ATTORNEY GENERAL,440,VPO Grant,TITLE 62 SECTION 34.48,2013,1,$558.12
5500,STATE ARTS COUNCIL,200,OK Arts Council Arts Ed Rev Fu,"TITLE 53, SEC. 175",2013,1,$236864.02
5500,STATE ARTS COUNCIL,440,Natl Endow For Arts Federal,"TITLE 62 SEC 34.48, 34.9",2013,1,$66199.50
5500,STATE ARTS COUNCIL,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2013,1,$2942.63
5500,STATE ARTS COUNCIL,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2013,1,$0.00
6000,OKLAHOMA AERONAUTICS COMMISSION,200,Revolving Fund,"TITLE 3, SECTION 91",2013,1,$14556256.52
6000,OKLAHOMA AERONAUTICS COMMISSION,205,Desig. Aeronautics Excise Tax,"TITLE 62, SECTION 34.9",2013,1,$1122915.14
6000,OKLAHOMA AERONAUTICS COMMISSION,400,Federal Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$306039.07
6500,STATE BANKING DEPARTMENT,200,Revolving Fund,"TITLE 6, SEC. 211.1",2013,1,$10585621.30
6500,STATE BANKING DEPARTMENT,205,Cemetery Mrchd Trst Act Rev Fd,"TITLE 36, SEC. 7135",2013,1,$0.00
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,200,Revolving Fund,"TITLE 62, SECTION 41.40",2013,1,$5960630.84
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,210,Centrex Revolving Fund,"TITLE 62, SECTION 41.5 H D",2013,1,$-7590173.12
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,215,ICS Revolving Fund,"TITLE 62, SECTION 41.21",2013,1,$-409525.58
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,220,Construction Fund, ,2013,1,$1126772.59
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,230,Vol Buyout Ag Reimb Revol Fd, ,2013,1,$82647.72
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,250,CMIA Revolving Fund,"TITLE 62, SECTION 41.21 H",2013,1,$288780.00
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,295,Emergency & Transportation Rev, ,2013,1,$15679675.50
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,400,Federal Funds, ,2013,1,$0.00
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,436,Oil Settlmt-Diamond Shamrock,"TITLE 62, SECTION 7.5",2013,1,$0.00
9000,OFFICE OF MANAGEMENT AND ENTERPRISE SERV,490,American Recov. & Reinv. Act, ,2013,1,$0.00
9200,TOBACCO SETTLEMENT ENDMT TRUST,200,Revolving Fund,"TITLE 62, CH 1, SEC 50",2013,1,$5436588.23
9200,TOBACCO SETTLEMENT ENDMT TRUST,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2013,1,$9127064.91
9200,TOBACCO SETTLEMENT ENDMT TRUST,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2013,1,$0.00
10000,CAMERON UNIVERSITY,290,Educational & Gen Operation,"TITLE 70, SEC. 3901",2013,1,$3970207.48
10000,CAMERON UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70,SEC 3901",2013,1,$209388.04
10000,CAMERON UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$761147.29
10000,CAMERON UNIVERSITY,452,OCIA STATE FACILITIES REV BOND,"TITLE 73, SECTION 301",2013,1,$0.00
10000,CAMERON UNIVERSITY,460,Donated Fund For Cap Imprvmts,"TITLE 70, SEC. 3305 F  AND 4306",2013,1,$1016994.38
10000,CAMERON UNIVERSITY,470,Auxiliary Funds For Cap Imprvm,"TITLE 70, SEC. 4001",2013,1,$4366.90
10000,CAMERON UNIVERSITY,479,Capital Bond Projects, ,2013,1,$0.00
10000,CAMERON UNIVERSITY,485,Revenue Bond Fund-Cap Imprv.,"TITLE 62, SEC. 7.5",2013,1,$0.00
10000,CAMERON UNIVERSITY,490,American Recov. & Reinv. Act, ,2013,1,$0.00
10000,CAMERON UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2013,1,$1330446.51
10000,CAMERON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2013,1,$744090.23
10500,CAPITOL IMPROVEMENT AUTHORITY,401,2006A - Agriculture Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$158373.44
10500,CAPITOL IMPROVEMENT AUTHORITY,402,2006A - Agriculture Rev Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,403,2006B DMH Constr Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$73553.48
10500,CAPITOL IMPROVEMENT AUTHORITY,404,2006B DMH Revenue Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,405,2006C Appell Crts - Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$15727.85
10500,CAPITOL IMPROVEMENT AUTHORITY,406,2006C Appell Crts - Revenu Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,407,2006D Higher Ed Var Rt - Const,"TITLE 62, SEC 34.48, 34.9",2013,1,$327108.53
10500,CAPITOL IMPROVEMENT AUTHORITY,408,2006D Higher Ed Var Rt - Rev F,"TITLE 62, SEC 34.48, 34.9",2013,1,$407987.97
10500,CAPITOL IMPROVEMENT AUTHORITY,409,OCIA 2005E Att Gen Constr Fund, ,2013,1,$41613.77
10500,CAPITOL IMPROVEMENT AUTHORITY,410,OCIA 2005E Att Gen Operat Fund, ,2013,1,$38147.50
10500,CAPITOL IMPROVEMENT AUTHORITY,411,OCIA 2005 Revenue Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,413,OCIA 94A Revenue Fund,"TITLE 62, SEC. 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,414,OCIA 2005C Nat Amer - Admin,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,415,OCIA 2005C Nat Amer - Constr, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,416,OSBI Construction Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,417,OSBI Revenue Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,418,OCIA-Administrative Services,TITLE 73 SECTIONS 151 THRU 321,2013,1,$395081.65
10500,CAPITOL IMPROVEMENT AUTHORITY,420,Const & Op Fund Okmulgee,"TITLE 73, SEC. 168.2B",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,421,OCIA 2005 F High Ed Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$828574.80
10500,CAPITOL IMPROVEMENT AUTHORITY,422,OCIA 2005 G High Ed Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2013,1,$12.97
10500,CAPITOL IMPROVEMENT AUTHORITY,424,OCIA 2005 F Bond Sinking Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.27
10500,CAPITOL IMPROVEMENT AUTHORITY,425,OCIA 2005 G Bond Sinking Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,427,Higher Ed Endowed Chairs Reven,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,428,Higher Ed Endowed Chairs Progr,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.15
10500,CAPITOL IMPROVEMENT AUTHORITY,429,Dept of Trans. Sinking Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,431,Conservation Comm Cons Fd, ,2013,1,$6726978.54
10500,CAPITOL IMPROVEMENT AUTHORITY,432,Conservation Comm Sinking Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,435,Native Amer Cultural & Educ Au, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,436,NACEA Sinking Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,437,Supreme Court Construction Fun, ,2013,1,$1025747.98
10500,CAPITOL IMPROVEMENT AUTHORITY,438,Supreme Court Sinking Fund, ,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,439,Dept of Transportation Cons Fu, ,2013,1,$4.84
10500,CAPITOL IMPROVEMENT AUTHORITY,440,Operations & Maintenance Fund,"TITLE 62, SEC. 34.9",2013,1,$3491.78
10500,CAPITOL IMPROVEMENT AUTHORITY,441,ODOT Construction Fund 2009B, ,2013,1,$5277669.32
10500,CAPITOL IMPROVEMENT AUTHORITY,442,ODOT Sinking Fund 2009B, ,2013,1,$0.01
10500,CAPITOL IMPROVEMENT AUTHORITY,445,OCIA 1994B Construction Fund,"TITLE 62, 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,446,Capitol Dome Bond - Proceeds,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,447,Capitol Dome Bond - Revenue Fu,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,449,Regents 2005F 2010A Partial, ,2013,1,$-1246810.37
10500,CAPITOL IMPROVEMENT AUTHORITY,450,OCIA 1994B Revenue Fund,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,451,OCIA 1999 Revenue Bond Series,"TITLE 62, SEC 34.48, 34.9",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,452,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2013,1,$79022.20
10500,CAPITOL IMPROVEMENT AUTHORITY,453,45300 OCIA 2013B Rev Bd Series,"TITLE 73, SECTION 301",2013,1,$0.05
10500,CAPITOL IMPROVEMENT AUTHORITY,454,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,456,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,457,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,458,OCIA 1999D Revenue Bond Fund,TITLE 73 SECTION 311,2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,459,OCIA 1999D Construction Fund,"TITLE 73, SECTION 311",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,460,OCIA 1999D Revenue Bond Fund,"TITLE 73, SECTION 168.7",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,461,OCIA 1999D Construction Fund,"TITLE 73, SECTION 168.7",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,465,OCIA 2005A Military Dept Admin,"TITLE 62, SECTION 34.48",2013,1,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,466,OCIA 2005A Mil Dept - Construc,"TITLE 62, SECTION 34.48",2013,1,$2538.66
10500,CAPITOL IMPROVEMENT AUTHORITY,467,OCIA 2005B Att Gen - Admin,"TITLE 62, SECTION 34.48",2013,1,$50554.58
10500,CAPITOL IMPROVEMENT AUTHORITY,468,OCIA 2005B Att. Gen. - Constru,"TITLE 62, SECTION 34.48",2013,1,$1876.88
10500,CAPITOL IMPROVEMENT AUTHORITY,469,Regents 2005F 2010B Partial, ,2013,1,$0.01
