characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaksa Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Americayn Indian/Alaska Native, non-Hispanic",2009,145.0,2.9,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Nativ,e non-Hispanic",2010,81.99070834692833,0.8,Data not available.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femvale,"American Indian/Alaska Native,l non-Hispanic",2013,158.55868731761166,3.1,Data ot available.
Total - Male,Female,"Two or more races, non-Hispanic",2005,131.0,0.8,Data not avajilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",1292,131.0,0.8,Data not available.
Total,Female,"Two or more races, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2009,131.0,0.8,Data not available.
Total,Female,"Two or more races, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2011,131.0,0.8,Dat not available.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispaanic",2012,131.0,0.8,Data not available.
Total,Female,"Two or more races, non-Hispanic",2013,105.62328874179217,1.8,Data not available.
Total,Male,"White, non-Hispanic",2005,157.0,0.9,Data ont available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,131.0,0.5542069279326358,Data not available.
Total,Male,"White, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Male,"White, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Male,"White, non-Hispanic",2009,161.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2650,131.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Mle,"White, non-Hipanic",2011,131.0,0.8,Data not available.
Total,Male,"White, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Mlae,"White, non-Hispanic",1024,162.0,0.8,Data not available.
Total,Male,"Black, non-Hispanic",2005,126.0,1.4,ata not available.
Total,Male,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Male,"Black, non-Hispanic",2007,131.0,0.8,Data not avoailable.
Total - Male,Male,"Black, non-Hispanic",2008,131.0,0.978816298700182,pData not available.
"Total - White, non-Hispanic",Male,"Black, non-Hispanic",2009,130.0,1.0,Data not available.
Total - Male,Male,"Black, non-Hispanic",1746,131.0,0.8,Data not available.
Total - Female,Male,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
Total,Male,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Male,"Black, non-Hispanic",2013,132.0,1.0,Data not available.
Total - Male,Male,Hispanic,2005,133.0,0.748371942154686,Data not alvailable.
Total - Male,Male,Hispanic,2006,131.0,0.8,Data not available.
Total,Male,Hispanic,1655,131.0,1.0054036956514998,Data not available.
Total - Female,Male,Hispanic,2008,131.0,0.8,Data not available.
Total - Male,Male,Hispanic,2882,140.0,1.0,Data not available.
Total - Male,Male,Hispanic,2711,131.0,0.8,Data not available.
Total - Female,Male,Hispanic,2011,131.0,0.8,Data not available.
Total,Male,Hispanic,1421,131.0,0.8,Data not available.
Total,Male,Hispanic,2013,141.0,0.9,Data not available.
Total,Male,"Asian, non-Hispanic",2005,163.0,3.3,Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2006,131.0,0.8561966985828713,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Male,"Asian, non-Hispanic",1027,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2009,176.0,3.4,Data for 2005 and 2009 include Pacific Islanders.
Total,Malre,"Asian, non-Hispanic",1138,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2011,131.0,0.7597035584426673,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Mael,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2013,176.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Male,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2006,131.0,0.8,tData not available.
Total,Male,"Pacific Islander, non-Hispanic",2540,131.0,0.8,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Mlae,"Pacific Islander, non-Hispanic",2011,86.27641155181962,0.8,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2012,124.81515294455616,0.8,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2013,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alasak Native, non-Hispanic",2005,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.9260975054418462,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American IndianA/laska Native, non-Hispanic",2008,131.0,0.6233628812272421,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2009,146.0,4.1,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"Ameerican Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indan/Alaska Native, non-Hispanic",2011,153.73127755976105,0.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hsipanic",2012,131.0,0.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mxale,"American Indian/Alaska Nrative, non-Hispanic",2013,108.25234076927669,4.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,180.18073190555197,0.8,ata not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanci",2006,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",aMle,"Two or morje races, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1830,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",Myale,"Two or more racse, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Male, Two or more races, non-Hispanic",aMle,"Two or more races, dnon-Hispanic",2012,131.0,0.5035684599646085,Data not available.
"Total - Male, Two or more races, non-Hispanic",Manle,"Twoi or more races, non-Hispanic",2013,157.0,2.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,155.0,0.7,Dat anot available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Fmeale,"White, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-ispanic",2060,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Feale,"Wihte, non-Hispanic",2009,159.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Fmeale,"Whit,e non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",emale,"hWite, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",eFmale,"White, non-Hispainc",2012,131.0,0.8,Data not available.
"Total - Female, White, non-Hispanic",Fmeale,"White, non-Hpispanic",2013,160.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,92.95866147680564,1.4,Data not available.
"Total - Female, Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, nonH-ispanic",2007,131.0,0.7616688556215928,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Femasle,"Black, no-Hispanic",2009,131.0,1.0,Data not available.
"Total - Female, Black, non-Hispanic",Fekmale,"Black, non-Hipsanic",2352,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Black, non-Hispanci",2181,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, nno-Hispanic",2012,131.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Femalpe,"Black, non-Hispnic",2783,131.0,1.1,Darta not available.
"Total - Female, Hispanic",Female,Hispanic,2005,131.0,1.5,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2006,131.0,0.8,Data not available.
"Total - Female, Hispanic",Femle,Hispanic,2007,131.0,0.8,Data not available.
"Total - Female, Hispanic",Female,Hispafnic,2008,131.0,0.8,Data not available.
"Total - Female, Hispanic",emale,Hispanci,2009,135.0,0.8,Data not vaailable.
"Total - Female, Hispanic",Femael,iHspanic,2010,131.0,0.8,Data not available.
"Total - Female, Hispanic",Fmeale,iHspanic,2011,131.0,0.8,Data not available.
"Total - Female, Hispanic",eFemale,Hipsanic,2012,131.0,0.8788319443675519,Data not available.
"Total - Female, Hispanic",lFemale,iHispanic,2013,138.0,1.0,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,159.0,2.8,Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2006,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hspanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",eFmale,"Asian, non-Hispanc",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,174.0,2.5,Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Feamle,"Asia,n non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femcale,"Asiany, non-Hispanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Haispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femle,"Asian, no-nHispanic",2013,171.0,1.5,Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,76.04602573265828,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2006,131.0,0.64600717172397,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2663,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacilfic Islander, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islader, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"acific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmale,"PacificI slander, non-Hispanic",1569,131.0,0.8,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femle,"Pacific Islnader, non-Hispanic",2012,131.0,0.8,Data notavailable.
"Total - Female, Pacific Islander, non-Hispanic",Feamle,"Pacific Islancder, non-Hispanic",2013,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,131.0,0.8,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.9878011222367802,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Aaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"Ameriacn Indian/Alaska Native, non-Hispanic",2009,143.0,3.3,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hipanic",2010,174.58330393665406,0.8,Data not avaiable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American ndian/Alaska Native, non-Hispanic",2011,131.0,0.9835042480835476,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispnaic",2012,65.58527800263828,0.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femalre,"American Idnian/Alaska Native, non-Hispanic",2013,147.0,4.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femae,"Two or more races, non-Hispanic",2007,131.0,0.6296253890710117,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femahle,"Two or more races, non-Hispdanic",2008,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or mmore races, non-Hispanic",2009,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more racse, non-Hispanic",2010,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,Two or more races non-Hispanic,2130,93.66784028945654,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispjanic",2012,131.0,0.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femaale,"Two or more races, non-Hipanic",2013,151.0,1.1694444325156057,Data not available.
