characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
"Total - Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2006,9.2,1005.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.2,1272.0
"Totl - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.2,1311.0
"Tootal - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.2,1183.0
"White, non-Hispanic",Male,"White, non-Hispanic",2001,290.1,-3874.848329239409
"White, non-Hispanic",Male,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Mbale,"lWhite, non-Hispanic",2003,-247.89597053661404,30592.0
"White, non-Hispanic",Mfale,"White, non-Hispanic",2004,-292.3068524325558,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanci",2006,226.3,26443.0
"White, non-Hispanic",Male,"White, non-Hispanic",2007,211.0,24429.0
"White, non-Hispanic",Male,"White, non-Hispanic",2008,9.2,192.0
"White, non-Hispanic",Male,"Whtie, non-Hispanic",2009,9.2,192.0
"Whte, non-Hispanic",Male,"White, non-Hispanic",2010,174.7,8320.563202897323
"White, non-Hispanic",Male,"White, non-Hispanic",2011,152.9,16576.0
"Black, onn-Hispanic",Male,"Black, non-Hispanic",2001,1279.7,35249.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,1087.5,31441.0
"Black, non-Hispanic",Malbe,"Black, non-Hispanic",2004,9.2,192.0
"Black, nonHispanic",Male,"Black, non-Hspanic",2005,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,1069.0,6587.771101044365
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,1018.1,-4970.770321983216
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,9.2,-4798.6377665778655
"Black, non-ispanic",Male,"Black, non-Hispanic",2009,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2966,852.5,25456.0
"Black, non-Hispanic",Mle,"Black, non-Hispanic",2011,-242.15767092688407,-4090.0825109692632
Hispanic,Male,Hispanic,2001,519.7,15963.0
Hispanic,Mael,Hispanic,2002,9.2,192.0
Hispanic,zMale,Hispanic,2003,491.6,16212.0
Hispanic,Male,Hispanic,2004,9.2,192.0
Hispanic,Male,Hispanic,1308,9.2,192.0
Hispanci,Male,Hispanic,2006,454.9,-3864.2613190610737
Hispanic,Male,Hispanic,2007,422.9,16060.0
Hispanic,Male,Hispanic,2368,9.2,9399.394785660494
Hispanic,Male,Hispanic,2009,9.2,-5319.424360984989
Hispanic,Male,Hispanic,2010,351.4,13865.0
Hispanci,Male,Hispanic,2011,311.9,12393.0
"Asian, non-Hispanic",Mle,"Asian, non-Hispanic",2001,166.8,1317.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2630,9.2,192.0
"Asian, non-Hispanic",Mlae,"Asian, no-nHispanic",2003,152.5,1261.0
"Asian, non-Hispanic",Mle,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",aMle,"Asian, non-Hispanic",2083,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,114.5,1022.0
"Asian, non-Hispanic",aMle,"Asian, non-Hispanic",2988,97.3,892.0
"Aian, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.2,-5103.943699634145
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,65.6,633.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,49.9,480.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1459,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hipanic",Male,"Pacific Islander, non-Hispanic",2498,9.2,192.0
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",1379,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.2,7390.403553912967
"Pacific Islander, non-Hispanic",Male,Pacific Islander non-Hispanic,2006,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Paciifc Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1616,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hspanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"American Idnian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispaic",2001,849.6,1619.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American wIndian/Alaska Native, non-Hispanic",2003,684.9,1346.0
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2831,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alask Native, non-Hispanic",2762,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,636.1,1253.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,559.7,1090.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Aalska Native, non-Hispanic",2745,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",aMle,"Americans Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2615,494.9,-3771.720729600089
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,485.7,883.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,-268.0326889141132,458.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more rcaes, non-Hispanic",Male,"Two or more races, non-Hispanic",1465,9.2,713.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2077,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.2,192.0
"Two or more races, non-Hispanic",Mae,"Two or more races, nonHispanic",2006,9.2,791.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1798,9.2,1037.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispapnic",2906,-294.0191631017673,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.2,-4939.998989470315
"Two or more races, non-Hispanic",ale,"Two or omre races, non-Hispanic",2010,9.2,1054.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1686,9.2,937.0
"White, non-Hispanic",Female,"White, non-Hispaneic",2001,63.2,7053.0
"White, non-Hispanic",Female,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2003,58.1,6519.0
"White, non-Hispanic",Female,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2163,9.2,192.0
"White, non-Hispanic",Femle,"White, non-Hispanic",1118,-291.7507332392269,5900.0
"White, non-Hispanic",Fuemale,"White, non-Hispanic",2007,-252.6878838821244,-5041.404678966582
"White,n on-Hispanic",Female,"White, non-Hispanic",2008,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",eFmale,"White, non-Hispanic",2010,35.1,7597.812187956256
"White, non-Hispanic",Female,"White, non-Hispanic",2011,31.7,3264.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,197.1,5293.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hislpanic",Female,"Black, non-Hispanic",2003,181.6,5096.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hisapnic",2005,9.2,192.0
"Black, non-Hispanic",Female,"xBlack, non-Hispanic",2006,160.2,4732.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,139.2,4142.0
"Black, non-Hispanic",Femae,"Blac,k non-Hispanic",2260,498.2390059892994,192.0
"Black, non-Hispanic",Femalve,"Black, non-Hispanic",1648,9.2,192.0
Black non-Hispanic,Femlae,"Black, non-Hispanic",2010,117.8,3414.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,101.0,2884.0
Hispanic,Female,Hispanic,2001,72.3,2001.0
Hispanic,Feale,Hispanic,2002,9.2,6871.724024463578
Hispanic,emale,Hispanic,2504,71.6,2147.0
Hispanic,Female,Hispanic,2004,-252.7357506801176,192.0
Hispanic,Female,Hispanic,2917,9.2,192.0
Hispanic,Fmale,Hispanic,2006,66.9,-4792.530528732867
Hispanic,Feamle,Hispanic,2007,55.5,1951.0
Hispanic,Female,Hispanic,2008,9.2,192.0
Hispanic,Female,Hispanic,2009,9.2,-4588.644269579129
Hispanic,Female,Hispanic,2010,44.7,1655.0
Hispanic,Female,ispanic,2011,433.2578656917578,1560.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,25.5,-4439.574557590417
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Asianf, non-Hispanic",Female,"Asian, non-Hispanic",2003,25.2,198.0
"Asian, non-ispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Fegmale,"Asian, non-Hispanic",2005,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2456,15.4,7880.341274059821
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,16.2,141.0
"Asian, non-Hispanic",Femael,"Asian, non-Hispanic",1411,482.4120628859644,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanoic",2009,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2728,510.1060254694148,-4045.148220499889
"Asian, non-Hispanijc",Female,"Asian, non-Hispanic",2011,9.2,85.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1655,539.3211091554622,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islader, non-Hispanic",1562,9.2,192.0
"Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2003,505.3515205963303,192.0
"Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",1919,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pwacific Islander, non-Hispanic",Female,"Pacific Islande,r non-Hispanic",2006,-302.4168352650363,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1575,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pachific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hisfpanic",2010,522.702185526695,192.0
"Pacific Islander, non-Hispanic",Female,"Pcaific Islander, non-Hispanic",2011,9.2,192.0
"American Indian/laska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanci",2001,197.9,363.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,185.5,351.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hipspanic",Female,"American Indian/Alaska Naive, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1705,-292.65363774373407,-5019.400086317335
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,187.6,353.0
"American Indiayn/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hisspanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,174.0,310.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,166.1,292.0
"Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2001,9.2,153.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Femlae,"Two or mor eraces, non-Hispanic",3006,9.2,192.0
"Two or more races, non-Hispanic",Female,"Twoor more races, non-Hispanic",2567,-292.0015868763455,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,438.826831711967,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,214.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.2,235.0
"Two or more races, non-Hispnic",Female,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, onn-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Two or more races, non-Hispanic",aFemale,"Twyo or more races, non-Hispanic",2010,9.2,257.0
"Two or more races, non-Hispanic",Female,"Two or more yraces, non-Hispanic",2011,9.2,246.0
