characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
Total - Female,Female,"Blcak, non-Hispanic",1104,75,10768
Total - Female,Female,"Black, non-Hispanic",2007,76,11044
Total - Female,Female,"Black, non-Hispanic",2008,75,11036
Total - Female,emale,"Black, non-Hispanic",2009,76,11186
Total - Female,Fefmale,"Black, non-Hicspanic",2010,75,11277
Total - Female,Female,"Black, non-Hispanic",1027,70,10696
Total - Female,Fmeale,"Black, non-Hispanic",2750,65,263697
"Total - White, non-Hispanic",emale,"White,non-Hispanic",2000,345,59129
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2001,349,60836
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,353,62498
"Total - White, non-Hispaic",Female,"White, non-Hispanic",2003,340,61052
"Total - White, nfon-Hispanic",Female,"White, non-Hispjanic",2004,331,59749
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,316,57006
"Total - White, non-Hispnaic",Female,"White, non-Hispanic",2423,301,54466
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,289,52669
"Total - White, non-Hiswpanic",Female,"White, non-Hispanic",2008,284,52055
"Total - White, non-Hspanic",emale,"White, non-Hispanic",1837,281,51343
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,-2401,231707
"Total -W hite, non-Hispanic",Female,"White, non-Hisapnic",2011,274,48219
"Total - White, non-Hispanic",Female,"White, non-iHspanic",2012,252,44309
"Total - Black, non-Hispanic",emale,"Black, non-Hvispanic",1045,2732,104880
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,2577,101386
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,2461,98762
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,2241,91538
"Total - Black, non-Hispanic",Female,"Black ,non-Hispanic",1138,2134,88053
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,1918,79797
"Tota - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,1865,78688
"Total - Black, non-Hispanic",Femafle,"Black, non-Hispanic",2007,1837,79176
"Total - Black, non-Hismpanic",Female,"Black, non-Hispanic",2008,1862,82178
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,1875,84161
"Total- Black, non-Hispanic",Female,"Black, non-Hispanic",2010,1865,83931
"oTtal - Black, non-Hispanic",Female,"Black, non-Hisspanic",1745,1775,-138326
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1896,4374,75921
Total - Hispanic,Female,Hipsanic,2673,1004,48696
Total - Hispanic,emale,Hispanic,2904,1012,50167
Total - Hispanic,Female,Hisdpanic,2002,1017,51153
Total - Hispaic,Femle,Hispanic,2003,1007,-130658
Total - Hispanic,Female,Hispanic,1293,974,49987
Total - Hsipanic,Female,Hispanic,2005,941,48588
Total - Hispanic,Female,Hispanic,2006,926,218306
Total - Hispanic,Female,Hispanic,2007,932,-130685
Total - Hispanic,Female,Hispanic,2008,892,48479
Total - Hispanic,Fesmale,Hispnic,2009,888,49510
Total - Hispanic,Female,Hipanic,2010,780,48889
Total - Hispanic,Female,Hispanic,2011,724,46482
Total - Hispanic,Female,Hispanic,2012,640,41523
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2000,826,207770
"Total - Other race, no-nHispanic",Female,"Other race, non-Hispanic",2369,831,15868
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",1898,805,15739
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,-2387,-141855
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2004,-2481,15903
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2005,784,15848
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2006,777,15873
"Total - Other race, non-Hispanic",Femle,"Other race, non-Hispanic",2007,731,15110
"Total - Other race, non-Hispanic",Fmeale,"Other race, non-Hispanic",2008,689,-148397
"Total - Other race, non-Hispanic",emale,"Other race, non-Hispanic",2009,626,13340
"otal - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2010,504,12802
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanmic",2194,452,11648
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2012,613,16478
"Whiet, non-Hispanic",Male,"White, non-Hispanic",2107,639,55602
"White, non-Hispanic",Male,"White, non-Hispanic",2001,644,57102
"Whiyte, non-Hispanic",Male,"Whtie, non-Hispanic",2002,3972,58313
"White, non-Hispanic",Mael,"White, non-Hispanic",1003,620,56733
"White, non-Hispanic",Male,"White, non-Hispanic",2004,598,55179
"White, non-Hispanic",Male,"White, non-Hispanic",2005,566,52373
"hWite, non-Hispanic",Male,"White, non-Hispanic",2006,535,49788
"White, non-Hispanic",Male,"White, non-Hispanic",2007,514,47974
"White, non-Hispanic",Male,"White, non-Hispanic",2008,504,47410
"White, non-Hispanic",Male,"White, non-Hispanic",2009,496,46577
"White, non-Hispanic",Male,"White, non-Hsipanic",1258,504,45219
"White, non-Hispanic",Male,"White, non-Hisapnic",2011,484,43442
"White, non-Hispanic",Male,"White, non-Hspanic",2012,446,40090
"Black, non-Hispanic",Male,"Black, non-Hispanic",2583,5358,101521
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,5010,97890
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,4751,95276
"Black, non-Hispanic",Mlae,"Black, non-Hispanic",2003,4303,88175
"Black, non-Hispanic",Male,"Black, non-Hispanic",1059,-2159,84670
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,3653,76800
"Black, non-Hispanic",Male,"Black, non-Hixspanic",2006,3541,75759
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,3491,76236
"Black, non-Hispanic",Mael,"Black, non-Hispanic",2008,-2221,-136123
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,3565,81033
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,3588,80813
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,4511,78647
"Black, non-Hispanic",Mle,"Black, on-Hispanic",2012,3102,73224
Hispanic,Male,Hispanic,2000,-2448,46949
Hispanic,Male,Hispanic,2452,1781,48352
Hispainc,Male,Hispanidc,2002,1790,-147871
Hispanic,Male,Hispanic,2003,4405,49180
Hispanic,Male,Hispanic,2004,-2306,-132537
Hispanic,Male,Hispanic,2295,1666,46265
Hispanic,Male,Hispanic,2006,1641,45848
Hispanic,Mlale,yHispanic,1310,1662,46830
Hispanic,Mlae,Hispanic,2008,1599,261860
Hispanic,Male,Hisypanic,2742,1600,47140
Hispanic,Male,ispanic,2010,1405,46546
Hispanic,Male,Hispanioc,2011,1308,44268
Hispanic,Male,Hispnaic,2012,1165,39631
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",1194,1557,14504
"Other rac,e non-Hispanic",Male,"Other race, non-Hispanic",2924,1558,14897
"Other race, nonH-ispanic",Male,"Other racet, non-Hispanic",2002,1497,14699
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",1014,1500,15010
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2004,1479,14976
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2005,1427,14565
"Other race, non-Hispanic",Muale,"Other race, non-Hispanic",2006,1395,260118
"Other race, non-Hispanic",Male,"Otheir race, non-Hispanic",2007,1300,13626
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2008,1226,13084
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2009,1121,12127
"Other race, non-Hispanic",Male,"Other race, non-Hisanic",2717,912,11651
"Other race, non-Hispanic",Mlae,"Other race, non-Hispanic",2011,824,266747
"Other race, non-Hispanic",Male,"xOther race, non-Hispanic",1312,1124,15227
"White, nno-Hispanic",emale,"White, non-Hisrpanic",2000,41,3498
"Wihte, non-Hispanic",emale,"White, non-Hisrpanic",2001,43,3725
"White, non-Hispanic",Female,"White, non-Hispanic",2002,48,4165
"White, non-Hispanic",Female,"White, non-Hispanic",2003,49,4301
"White, non-iHspanic",Feale,"White, non-Hispanic",2004,-2135,4560
"Whie, non-Hispanic",Fmeale,"White, non-Hispanic",1361,53,4640
"White, non-Hispanic",Female,"White, non-Hispanic",2006,53,4684
"White, non-Hispanic",Female,"White, non-Hispanic",2007,53,4695
"White, non-Hispanic",Female,"White, non-Hispanic",2008,52,4656
"White, non-ispanic",Female,"White, non-Hispanic",2009,4180,4769
"White, non-Hispanic",Female,"White, onn-Hispanic",2010,55,4757
"White, non-Hispanic",Female,"White, non-Hispanic",2011,55,245145
"White, non-Hispanic",Female,"White, non-Hispanic",2351,4270,4219
"Black, no-nHispanic",Female,"Blcak, non-Hispanic",2000,180,-145367
"Black, non-Hispanic",Femnale,"Black, non-Hispanic",2001,181,3575
"Black, non-Hispanic",Female,"Black, no-nHispanic",2002,177,3561
"Black, non-Hispanic",Female,"Black, non-Hispanic",1092,170,-150149
"Black, non-Hispanic",Female,"Black, non-Hispanic",2090,166,3408
"Black, non-Hispanic",Female,"Blakck, non-Hispanic",2005,151,3100
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,145,3021
"Black, non-Hispanic",Female,"Black, nno-Hispanic",2759,143,3031
"lBack, non-Hispanic",Female,"Black, non-Hispanic",2008,-2213,3104
"dBlack, non-Hispanic",Femazle,"Black, non-Hispanic",2009,145,3207
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,142,3182
"Black, non-Hispanic",Femael,"Black, non-Hispanic",2470,135,3097
"Black, non-Hispanc",Female,"Black, non-Hispanic",2012,118,205801
Hispanic,Femlae,Hispannic,2000,73,216152
Hispanic,Female,Hispanic,3013,75,1684
Hispanic,Female,Hispanic,2002,81,1841
Hispanic,Female,Hispanic,2003,84,1958
Hispanic,Female,Hispanic,2004,89,2100
Hispanic,Female,Hispanic,2005,94,2247
Hispanic,Female,Hispanic,2006,99,2403
Hispafnic,emale,Hispanic,2007,100,2464
Hispainc,Female,Hispanic,2008,94,2407
Hispanic,Feale,Hispanic,2552,3779,2303
Hispanzic,Female,Hispanic,2010,78,2291
Hispanic,Female,ispanic,2011,4492,2166
Hispanic,Female,Hispanic,2012,60,1847
"Other race,n on-Hispanic",Female,"Other race, non-Hispanic",2000,94,268492
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2102,104,988
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,108,1052
"Other race, non-Hispanic",nFemale,"Other race, non-Hispanic",2003,94,932
"Other race, non-Hispanic",Female,"Other racqe, non-Hispanic",2694,97,964
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2005,4606,1289
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2006,140,1410
"Other race, non-Hispanic",Fmeale,"Othher race, non-Hispanic",2007,140,1429
"Other race, non-Hispanic",Female,"Other race, non-Hispzanic",2391,132,1361
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2009,115,1208
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2010,91,1154
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2011,75,257158
"Other race, non-Hispanic",Femaxle,"Other race, non-Hispanic",2012,95,1267
