OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_AREA_STRM_NM,REACH_ID,NHD_RCH_CD,ASMNT_APRCH,REACH_LGTH_KM,REACH_LGTH_MI,REACH_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,ENTRENCHMENT_RATIO,SBTRT_MATRL,STREAM_TYPE,WIDTH_DEPTH_RATIO,SINUOSITY,GRADIENT,LIVESTOCK_SEASON,COMMENTS,FLOW,FLOODPLAIN_INUNDATED,RATIONALE,STABLE_BEAVER_DAM,RATIONALE_2,SINUOSITY_WIDTH_DEPTH_GRADE_BAL,RATIONALE_3,RPRN_AREA_EXPND,RATIONALE_4,WTRSHD_NOT_CONTRIBUTE_IMPAIR,RATIONALE_5,STABLE_RPRN_VEG,RATIONALE_6,RCRT_STABLE_RPRN_VEG,RATIONALE_7,SPCS_INDCT_RPRN,RATIONALE_8,ROOTS_WTHSTND_HI_FLOW,RATIONALE_9,VEG_HIGH_VIGOR,RATIONALE_10,VEG_PRTCT_BANKS,RATIONALE_11,WOODY_MAT_SOURCE,RATIONALE_12,CHAR_ADEQUATE_DSPTE_ENERGY,RATIONALE_13,POINT_BARS_REVEG,RATIONALE_14,BANK_LTRLY_STABLE,RATIONALE_15,STRM_NOT_INCISING,RATIONALE_16,STRM_BLNCD,RATIONALE_17,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,AGMNT_FLOWS,CHANNELIZATION,FLOW_REG,MINING,OIL_FIELD_DSCHRGE,ROAD,UPSTRM_CHNL_CND,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL,Shape__Length
11,{7A47FECE-9A52-49CA-A392-0098CCD9452D},205WOOD0102,2002/04/17 00:00:00+00,CO,COS01000,WOODS CYN,,,COMPLETE_RECON,0,0,"T37N, R18W, SEC 12 - 16, 1.4 MILES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{9FAD7A46-ED75-44C2-A086-90131FA1C95B},,,2287.08103450613
12,{8A7EBD61-A362-464C-B10F-00A7F6DB99BB},402DRYC0102,2004/05/06 00:00:00+00,CO,COS01000,DRY CREEK,,,COMPLETE_RECON,0,0,"4.62 MILES, TOP OF SECTION 33 TO POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARU,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{C401374C-0E9D-4045-9563-E1DC61B1347A},,,7349.62625080303
13,{5A4264C2-65A3-481A-A498-00C55BE1DC14},34,1998/08/11 00:00:00+00,CO,CON05000,WEST_HUNTER_CREEK_REACH 2,,,COMPLETE_RECON,0,0,,,,,,,,,,,,,YES,,NA,,NO,,NO,,YES,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,FARD,,,,,MED,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{FA7147CE-21AE-4B8F-BA5E-9096686BDDAA},,,2871.33256013033
14,{3AD3A0D0-D639-4F74-81A8-00C7D2AFE352},255,1999/06/29 00:00:00+00,CO,COF02000,Cottonwood_Ck,139,,,0,0,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{F676515C-1282-448B-AD12-1FD8BFBB3A26},,,9702.45627770163
15,{99677574-E548-4F1A-91CF-00CBF78D50E6},261,1999/09/08 00:00:00+00,CO,CON01000,NS Creek (ANTONE CANYON) -  R2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,DN,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1404010903,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{B4282D2C-2A2D-4776-A2AC-0016EF4167E0},,,1571.04915652914
16,{7F0465A8-036E-45E3-91F3-00D3EF50C011},42,1995/08/18 00:00:00+00,CO,CON05000,BIG_DUCK_CREEK_REACH 2,,,COMPLETE_RECON,0,0,,,,,,,,,,,,,YES,,NA,,YES,,NO,,YES,(4) Few obligative riparian species.,NO,,YES,,NO,,YES,,NO,,YES,,NO,"(6) Grasses (mainly upland - Redtop, Bluegrass) and some Willow & Tamarisk. (7) Mainly upland (Sage & Thistle at stream edge). (8) Mainly upland species. (9) Upland vegetation very dense. (10) Few riparian plants aside from Willow & Tamarisk. (11) Upland",NO,,NO,,YES,,YES,,YES,"(13) Stream very sinuous for landscape. (16) Banks vegetated. Dominant Vegetation Species:  Mainly upland vegetation - Grasses (Redtop & Bluegrass), Willow. Tamarisk - but many upland Forbs - Thistle, Composites, etc.  Utilization:  This area is used by",FARNA,"*  If it had riparian vegetative cover, this reach would be PFC.
**  Depends on grazing practices",,,,HIGH,,YES,NO,NO,NO,NO,NO,NO,NO,YES,"CATTLE/RANGE USE;Other (specify)",NO,"This reach is confined within a wide shallow gully (5'-7').  It meanders back & forth & is very sinuous.  It has a gravel/silt bed & its small banks & floodplains are heavily vegetated.  This vegetation is mainly, with the exception of Willows, Tamarisk,",,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{E2F97540-3A22-486C-9795-DF4770144BF7},,,715.797084084621
17,{A1388A68-12FC-44D3-867C-00E66C1E27CE},,1995/09/13 00:00:00+00,CO,COS06000,West Fork Indian Creek,,14020002000340,COMPLETE_RECON,6.27245163,0,,,,,,,,,,,,,YES,,NA,Not Applicable,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NA,Not Applicable,YES,,YES,,YES,,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2015/01/12 12:00:05+00,2022/01/12 23:21:29+00,{421216CD-A0A7-4228-93E1-8AFEEA25DD85},,,6272.45162946988
18,{A1938708-2A75-4A9E-BDAE-00F24184CF64},Cottonwood Creek,2015/08/15 00:00:00+00,CO,CON05000,Cottonwood_Creek_Rch_1,,,,,0.25,,,,,,,,,,,Limited water in system. Intermitted flow. Two ponds in system. Moderate flows and draws a lot of livestock into system. Heavy us by livestock to the ponds and trailing. No vegetation around pond. Breach lower pond on BLM.,,YES,Intermittent system with a pond at the top and another on bottom 1/3 of reach moderating water flow in system.,NA,,NO,,NO,,YES,,YES,Isolated and not continuous patch throughout reach.,YES,Very patchy throughout reach. Dominated by upland vegetation and facultative wet vegetation.,YES,"Patchy throughout a lot of the facultative wet vegetation (rose, foxtail, Etc).",NO,,YES,Where present but there is use by livestock. Ponds in system draw a lot of livestock right down the reach.,NO,,NA,,NO,,NA,,YES,,NO,Two nick points on top 1/3 of reach.,YES,No deposition and little water in system.,FARD,Limited obligate vegetation and pond moderating flow really impacted system. If we could improve water by breaching lower pond may help. Two nick points and indicating downward trend.,,,,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2017/05/09 21:04:25+00,2021/09/15 16:04:52+00,{CC458AA4-462F-4B0D-96D2-77C00A53DF9B},,,467.257642240469
19,{07991805-DEAD-406B-AB01-0137FE27C4BE},,2013/07/10 00:00:00+00,CO,COG02000,Trapper Creek - Upper,,,COMPLETE_RECON,4.1,2.46,From headwaters of Trapper Creek to top of Upper Exclosure,,,,,,,,,summer,,,YES,,NO,Inactive beaver dams are beginning to breach,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,"Beaver dam sediments are being washed down, creating some bare ground ",YES,,YES,,YES,,YES,,YES,,YES,,PFC,Streambanks are stable and well-vegetated except just below a couple of inactive beaver dams that are washed out,,,PFC-LOW,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2019/08/16 13:32:26+00,2021/11/15 15:58:44+00,{7250D374-56B4-4D08-A617-446AE12C31C5},,,3966.23103692229
20,{1BC23351-00CB-46AC-A3F8-01468C1625A4},,2000/05/03 00:00:00+00,CO,COG02000,WALLACE_CREEK,,,COMPLETE_RECON,,1.33172925,,,,,,,,,,,From BLM private boundary upstream to where side channel enters from northeast,PERENNIAL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,PFC,,,,,,"cottonwood, willow, red-osier dogwood",,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2015/03/17 22:50:34+00,2021/09/15 16:04:47+00,{6B0F8F32-D33A-48FC-937D-2CB67089A996},,,2143.11106693634
21,{8E5B2988-DB47-4D30-96E5-018241A1467C},Piney River ,1993/06/10 00:00:00+00,CO,CON02000,Piney River,0191-3,1401000118010000,COMPLETE_RECON,0.332,0.21,confinement,medium stream with spruce/alder community,,,,,,,,not grazed,,PERENNIAL,YES,,NA,,YES,,YES,,YES,,YES,"alder, sedge, rush",YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,PFC,,APPARENT,,PFC-MID,LOW,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2020/03/11 22:19:36+00,2020/03/11 16:19:32+00,{09365DF2-B8CD-4B0F-ABC2-5A01FA60FF15},,,332.797069679074
22,{53F0AFF7-F6D3-4438-B18A-01B63852349C},337,2002/08/16 00:00:00+00,CO,COF02000,Fernleaf_Gulch,99,,COMPLETE_RECON,0,2.8,,,,,,B3,,,,,,,YES,,NA,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,YES,,YES,,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{056D2E12-A0C5-4661-A5A0-D32F766701AB},,,4789.21164287563
23,{1E21B7E4-691E-4AA9-B98A-01BC6E4F02DC},47,2000/08/02 00:00:00+00,CO,CON01000,First Creek -  R2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,NA,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000305,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{F6D75F3E-0545-4173-9C0D-DD22B4B6AA88},,,1712.07263523598
24,{2071F42E-C5E3-47BC-A03B-01C7ADAACD2E},,,CO,CON05000,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{011EE8D1-00DC-47FA-91BD-7FB0708B1F1F},,,3752.35308549288
25,{272F74BD-5C68-4111-9B15-01C82DC7C732},West Hunter Creek Rch 2,2017/07/06 00:00:00+00,CO,CON05000,West Hunter Creek Rch 2,Rch 2,,COMPLETE_RECON,0,1.8,"fence at top, BLM/pvt boundary at bottom",,,,,C (top) E (mid) G (lower),,,,,,PERENNIAL,YES,"less entrenched especially upper third, - more access to floodplain.",NA,Not expected at this location.,NO,"Could be more sinuous, especially in lower third – more entrenched and channelized.",NO,No evidence of lateral expansion.,YES,No evidence noted.,YES,Rationale Not Recorded,YES,Rationale Not Recorded,YES,Rationale Not Recorded,YES,Rationale Not Recorded,YES,Rationale Not Recorded,YES,Rationale Not Recorded,NA,Rationale Not Recorded,YES,Rationale Not Recorded,YES,Rationale Not Recorded,NO,Some undercutting and bank-shearing common in lower half.,YES,No signs of vertical instability noted.,YES,Moderate sediment attributable to bank erosion.,FARU,"<span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,serif;
mso-fareast-font-family:&quot;Times New Roman&quot;;mso-ansi-language:EN-US;mso-fareast-language:
EN-US;mso-bidi-language:AR-SA"">Upper third close to PFC. Incontinuous obligate
vegetation, bank-shearing, scattered woody debris and reduced livestock impacts
would allow improvement/recovery.</span>",APPARENT,Reach appears improved from 1998 assessment.,FAR-MID,MED,"Riparian Vegetation: 3+spp of sedge, including NE, 2+ rush spp. including equisetum, 1 mid-age narrow leaf cottonwood,  red top brookgrass, ranunculus, veronica, clematis .
Noxious/invasive weeds: Bull thistle, Canada thistle, musk thistle (mid-reach patch), leafy spurge.
",NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,General  - upper 1/3 (near cross fence) more impacted by livestock. Creating upland water source would reduce livestock impacts to system. Permittee needs to move salt out of bottoms. ,,,,,2017/11/30 19:33:15+00,2022/11/30 16:56:08+00,{863A4D8A-416B-4BF4-A754-E6C214672228},,,2871.33256013033
26,{C5578294-C5DB-4097-A6BF-01CDDAA83C58},267,,CO,CON01000,Thornburg Gulch -  R1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000308,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{2283649B-C5C4-4429-94D9-92A141BA8BB5},,,599.318309025119
27,{1AF8837B-F17D-48F0-9631-01E9A73D25A2},,2005/04/20 00:00:00+00,CO,COG02000,HORSE_CREEK_LOWER,,,COMPLETE_RECON,,4.10510535,,,,,,,,,,,Lower,PERENNIAL,NA,,NA,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,NA,,YES,,YES,,YES,,PFC,,,,,,"Alder, Narrowleaf Cottonwood, Bebbs & other species, Sedge/Rush, Woods Rose, Dogwood",,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2015/03/17 22:50:34+00,2021/09/15 16:04:47+00,{763E3445-68A7-4056-89B1-0A51286C5489},,,6606.22032840542
28,{D8294D55-0564-48E4-80E5-01F484A0FD68},,2008/10/22 00:00:00+00,CO,COS06000,6317 Sage Hen CAR02,CAR 02,14020003001492,COMPLETE_RECON,0,0,,,,,,,,,,,Ephemeral,,NO,,NA,Not Applicable,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,NA,,NO,,NA,Not Applicable,NO,,NO,,NO,,NF,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2022/01/12 23:22:52+00,{7844B9CD-810D-4672-9413-EA285596E271},,,58.161991344246
29,{F115331B-BB64-4D1D-8F54-021A6BA3AC44},556,2010/06/23 00:00:00+00,CO,CON05000,EAST_DOUGLAS_CREEK_REACH 4,,,COMPLETE_RECON,0,0,,,,,,,,,,,,,YES,,NO,,YES,,YES,,YES,"1) Where it can access   2) beaver tracks, fresh beaver sign, 2 breached beaver dams",YES,,YES,,YES,,YES,,YES,,YES,,NA,"cattail, sedges, rush, scouring rush, rose, young willows, horsetail  6) mostly young willows  Noxious weeds include canada thistle",YES,,YES,,YES,,NO,,YES,16)  large headcut (see photo) possible old beaver dams,FARNA,everything appears to be function but large headcut cause of FAR rating,,,,HIGH,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,"beaver tracks, fresh beaver sign, 12"" trout, no apparent livestock even though should be on now",,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{FF8F4414-9C1A-4A9B-999B-5D47B8127DFE},,,423.418756903656
30,{67D0CB2A-1A2F-4F8E-95E6-021E7C818151},144,2000/09/27 00:00:00+00,CO,CON05000,DEEP_CHANNEL_CREEK_REACH 1,,,COMPLETE_RECON,0,0,,,,,,,,,,,,,YES,,NA,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,,,,,,MED,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{33D5040B-73D4-46D4-81B3-8E012BD513CC},,,1313.6498902317
31,{14861EBF-740A-46C8-BB76-02297179DD17},602FARD0101,2001/11/14 00:00:00+00,CO,COS01000,FAR DRAW,,,REMOTE_SENSING,0,0,LOWER PART TO CONFLUENCE WITH NARRAGUINNEP CANYON,,,,,,,,,,THIS REACH'S SURVEY DATA COMBINED WITH NARRAGUINNEP CANYON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARNA,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{83C56A95-909D-47A3-B976-749899F2CEA5},,,1602.5028310466
32,{7ACBD72C-C6AD-494C-83D7-022D5E7E9B8B},,1995/09/25 00:00:00+00,CO,COS06000,Gunnison,,14020002000616,COMPLETE_RECON,0,0,,,,,,,,,,,,,NO,,NA,Not Applicable,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,NO,,NO,,NO,,NF,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,"Multiple incisions, livestock impacts, livestock waters etc (also a road) some remnant salix etc",,,,,2015/01/12 12:00:05+00,2022/01/12 22:15:04+00,{131B4722-D076-4163-A503-60AB5711486A},,,2612.55904055091
33,{5573E638-14F0-4E6E-A049-0237C100E0A0},613,1999/10/27 00:00:00+00,CO,CON01000,Mud Spring Draw -  R5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,NO,1405000307,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{EE28C355-B898-43B5-BEC9-E24E4B3FDFB3},,,425.856144696467
