yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,Fresno Surgical Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,s2,1.58,16161
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),-257859439.02369004,The General Hospital,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.03,1446
2020H1,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,"Enloe Medical Center, Esplanade",Acute Care Hspital,"Community, <125 Beds",0,0.54,13228
2020H1,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Critical Access Hospital,Major Teaching,0,0.03,1565
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Eden Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.06,1221
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Enloe Rehabilitation Center,Acute Care Hospital,Rehabilitation Unit,4,2.54,35269
2020H1,Californa,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),-262163729.42701495,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.21,10831
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,Oroville Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.05,2704
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospital,Major Teaching,3,1.84,22603
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Oroville Hospital,Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.03,1275
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Providence Redwood Memorial Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,t1,4.1773346773052005,10415
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Carue Hospital,"Community, <125 Beds",0,0.48,13249
2020H1,Califrnia,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,"John Muir Medical Center, Concord Campus",Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.07,3385
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Critical Access Hospital,Major Teaching,0,0.05,2403
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Critical Access Hospital,Major Teaching,0,0.07,3184
2020H1,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Eden Medical Center,Critical Access Hospital,Critical Access,0,0.04,1852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Eden Medical Center,Acute Care xHospital,"Community, 125-250 Beds",0,0.43,9037
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Providence Queen of the Valley Medical Center,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.02,1303
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,2.22,43134
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstrdeam Infections (MRSA BSI),930000014.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Long-Term Acute Care Hospital,Major Teaching,3,2.35,73039
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Providence Queen of the Valley Medical Center,Acute Care Hospital,Rehabilitation Unit,e0,0.96,18027
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,Providence Queen of the Valley Medical Center,Acute Care Hohspital,Major Teaching,3,3.03,36840
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,California Rehabilitation Institute,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.44,22981
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,t0,0.26,13438
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,"Sutter Coast Hospital, Rehabilitation Unit",Acute Care Hospital,Rehabilitation Unit,,0.05,2407
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,Alta Bates Summit Medical Center,Critical Access Hospital,"Community, >250 Beds",0,0.0,90
2020H1,Califvornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,Oroville Hospital,Acute Care Hospital,Rehabilitation Unit,1,0.34,9612
2020H1,Califoria,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",4,1.43,32672
2020H1,Calfornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Major Teaching,***,0.04,2222
2020H1,California,Los Angeels,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,"Enloe Medical Center, Esplanade",Acute Care Hospital,Pediatric,1,2.01,54780
2020H1,California,iLos Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,2,3.97,35705
2020H1,Califorina,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,Alta Bates Summit Medical Center,Acute Care Hospital,Free-Standing Rehabilitation,0,0.3,5479
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,0.91,14888
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,Critical Access,0,0.17,7448
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Rehabilitation Unit,0,0.01,336
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,"Community, 125-250 Beds",2,0.45,10443
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.35,68455
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,"Community, 125-250 Beds",1,0.9,17610
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Barton Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",2,1.12,28751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.03,1324
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,The General Hospital,Acute Care Hosvpital,"Community, 125-250 Beds",0,0.15,84695
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,***,0.03,1394
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Providence Queen of the Valley Medical Center,Acute Care Hospital,Critical Access,1,1.25,19769
020H1,Califocrnia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,UCSF Benioff Children's Hospital Oakland,Rehabilitation Hospital or Unit,Long-Term Acute Care,0,0.05,2751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",0,0.78,15429
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Providence Queen of the Valley Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Rehabilitation Unit,2,2.14,39221
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,"Community, <125 Beds",,-2.2563487278438297,2779
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,***,0.43,9296
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,Rehabilitation Unit,1,1.42,22639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.03,1475
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,Free-Standing Rehabilitation,1,1.65,-34202
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,UCSF Benioff Children's Hospital Oakland,Rehabilitation Hospital or Unit,Major Teaching,1,0.04,2357
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,3.31,-40875
2020H1,Californipa,Los Angelevs,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,"John Muir Medical Center, Concord Campus",Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.05,2612
200H1,Californai,Los Angeles,Methicillin-Resistant Staphylococcus aureuws Bloodstream Infections (MRSA BSI),930001543.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospital,Rehabilitation Unit,2,0.83,22849
20g20H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,Oroville Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,2.18,39090
2020H1,California,oLos Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,Contra Costa Regional Medical Center,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,4.339059357458186,53345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,"Sutter Coast Hospital, Rehabilitation Unit",Acute Care Hospital,Rehabilitation Unit,0,1.18,19241
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,Long-Term Acute Care,3,1.29,25100
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Rehabilitation Unit,0,0.75,-40475
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,Contra Costa Regional Medical Center,Acute Care Hospital,Rehabilitation Unit,1,0.83,18045
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Sutter Delta Medical Center,Acute Care Hospital,Major Teaching,0,1.25,16245
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.01,345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,Eden Medical Center,Long-Term Acute Care Hospital,"Community, <125 Beds",3,2.0,14998
2020H1,California,Ls Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,"Enloe Medical Center, Esplanade",Long-Term Acute Care Hospital,"Community, <125 Beds",3,-2.9239009590956138,13237
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kaiser Foundation Hospital, Fremont",Long-Term Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,1.09,8746
